Target_genes	Rbpj|Average	SRX13832280|BEko	SRX13832281|BEko	SRX13832282|BEko	SRX13832297|BEko	SRX13832298|BEko	SRX13832303|BEko	SRX13832304|BEko	SRX20794974|BEko	SRX20794975|BEko	SRX20794984|BEko	SRX20794985|BEko	SRX20794986|BEko	SRX20794987|BEko	SRX23493367|BEko	SRX23493368|BEko	SRX4670704|BEko	SRX4670705|BEko	SRX19144157|Brain_endothelial_cells	SRX19144158|Brain_endothelial_cells	SRX4740104|Brain_pericytes	SRX4740105|Brain_pericytes	SRX140327|C2C12	SRX140328|C2C12	SRX140329|C2C12	SRX140330|C2C12	SRX140331|C2C12	SRX140332|C2C12	SRX140337|C2C12	SRX140338|C2C12	SRX140339|C2C12	SRX140340|C2C12	SRX140342|C2C12	SRX140343|C2C12	SRX262848|F9	SRX262849|F9	SRX297989|F9	SRX297990|F9	SRX884573|GM18946	SRX070892|Leukemia,_Lymphoid	SRX070895|Leukemia,_Lymphoid	SRX287018|Neural_tube	SRX287019|Neural_tube	SRX485442|Neural_tube	SRX702808|T-ALL	SRX702809|T-ALL	SRX266509|T29	SRX266510|T29	SRX13239041|T_cells	SRX13239042|T_cells	SRX13239043|T_cells	SRX13239044|T_cells	SRX13239045|T_cells	SRX13239049|T_cells	SRX13239050|T_cells	SRX13239052|T_cells	SRX13239053|T_cells	SRX13239055|T_cells	SRX13239056|T_cells	SRX5551015|Unclassified	SRX5551016|Unclassified	SRX5551019|Unclassified	SRX5551020|Unclassified	STRING
Zc3h15	287.548387	306	778	812	697	471	417	345	778	812	577	731	687	535	644	1060	617	401	0	0	310	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	784	330	337	0	0	0	109	208	0	0	254	218	302	0	0	461	456	399	246	657	581	0	83	767	498	0
Sspn	281.096774	190	500	251	216	0	0	184	500	251	0	317	289	370	163	464	247	273	0	0	598	569	0	0	0	0	0	0	0	0	0	280	0	0	1607	1506	981	972	773	1239	323	132	217	0	463	721	0	0	0	0	342	0	0	312	262	345	234	271	244	483	339	0	0	0
Tpmt	277.887097	155	998	540	626	482	347	383	998	540	857	810	510	485	768	757	683	643	0	0	203	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	116	184	0	0	347	252	220	0	0	407	350	321	234	413	385	0	0	1234	1167	0
Kdm1b	277.887097	155	998	540	626	482	347	383	998	540	857	810	510	485	768	757	683	643	0	0	203	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	116	184	0	0	347	252	220	0	0	407	350	321	234	413	385	0	0	1234	1167	0
Uqcrc2	263.709677	241	593	410	561	277	343	272	593	410	560	519	344	165	442	571	423	584	0	0	505	492	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	1031	461	388	278	480	276	111	117	0	0	408	313	373	0	0	424	445	533	195	557	533	176	147	327	313	0
Cox18	260.064516	0	601	444	420	273	206	208	601	444	449	501	451	322	432	534	481	352	0	0	141	127	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	867	486	125	224	134	226	134	240	0	0	234	305	325	0	0	507	386	543	274	749	678	240	175	1175	899	0
Isg15	255.354839	813	619	892	959	479	2021	896	619	892	318	223	169	110	257	516	722	1438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629	144	148	0	151	517	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	371	0
Wwox	250.387097	0	193	110	0	0	136	0	193	110	190	180	225	0	203	276	0	0	0	0	0	0	664	746	763	798	876	728	774	752	629	665	694	715	0	0	0	0	261	411	515	382	385	408	0	251	364	455	0	0	0	0	0	0	0	0	0	0	0	265	215	470	522	0
Thumpd3	238.225806	167	681	566	583	238	270	364	681	566	510	598	437	325	579	588	642	482	0	0	194	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	396	164	0	0	0	0	0	0	0	208	191	235	0	0	433	256	477	173	553	417	177	0	1074	786	0
Ptger1	229.903226	0	439	302	0	0	0	0	439	302	323	265	316	239	332	469	509	324	0	0	715	626	89	88	0	0	117	100	0	0	73	112	0	0	604	250	246	0	1663	475	0	500	321	502	0	0	0	0	0	0	181	0	0	0	0	0	0	356	376	120	0	1233	1248	0
Actn4	225.935484	263	735	544	676	327	311	234	735	544	543	658	521	411	520	494	464	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	118	0	192	0	192	0	0	0	0	0	197	180	0	0	332	334	310	116	311	423	0	0	1064	1114	0
Notch3	218.919355	425	1017	820	345	309	737	555	1017	820	560	468	583	301	491	747	802	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	305	145	0	0	0	194	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0
Dennd6a	217.983871	239	794	618	507	276	312	256	794	618	437	395	408	446	352	686	602	553	0	0	563	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	196	114	0	0	0	160	152	0	0	0	0	360	0	0	0	154	0	0	477	357	103	0	785	808	0
Abhd6	214.661290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	501	667	739	768	797	677	715	572	442	702	657	0	208	0	0	372	390	529	479	451	455	208	579	333	412	0	0	0	0	0	0	0	0	0	0	0	403	579	0	0	0
Prc1	210.596774	0	530	395	484	222	247	0	530	395	446	411	325	213	515	743	504	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1352	92	113	0	148	0	0	0	0	0	147	0	151	0	0	215	218	233	0	294	318	0	0	1766	1755	0
Atp5k	201.887097	0	287	321	0	0	166	0	287	321	301	297	0	228	218	257	320	0	0	0	540	362	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	1110	346	0	189	119	191	0	362	0	0	0	205	488	0	0	403	348	290	159	580	619	247	145	1353	1168	0
Sh3glb1	201.274194	156	397	415	182	0	0	0	397	415	400	292	417	199	453	438	416	305	0	0	185	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1045	160	0	241	147	275	0	137	0	0	0	0	359	0	0	461	370	507	215	667	556	351	184	874	694	0
Gpkow	201.016129	167	418	145	0	0	0	0	418	145	233	193	0	0	302	332	368	369	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	1150	414	0	366	193	366	107	288	0	0	237	229	401	0	0	647	531	409	269	635	641	0	0	1113	1102	0
Olfr806	200.887097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	525	596	698	664	647	612	534	571	576	676	669	0	0	0	0	372	544	661	610	589	500	183	469	330	447	0	0	0	0	0	0	0	0	0	0	0	235	197	0	0	0
Tfam	190.290323	165	458	320	294	246	200	219	458	320	284	425	255	148	406	407	388	314	0	0	225	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1105	256	317	0	203	0	175	269	0	0	232	240	300	0	0	314	342	135	0	583	460	121	106	477	331	0
Bicdl1	189.048387	216	484	373	479	281	307	199	484	373	366	339	357	240	428	519	538	385	0	0	625	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745	375	245	0	104	0	0	154	0	0	248	187	429	0	0	395	339	264	139	463	342	0	0	0	0	0
Pnrc2	188.370968	224	562	481	331	295	245	184	562	481	390	416	396	0	255	633	434	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	723	520	95	166	0	167	0	332	0	0	0	0	0	0	0	191	222	0	0	381	431	0	0	971	1027	0
Oasl1	188.048387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	260	522	621	385	434	548	598	549	639	660	483	575	549	253	0	0	0	590	424	108	422	327	398	0	129	0	298	0	0	0	0	0	178	0	0	0	0	0	238	318	410	446	0
Hjurp	186.967742	0	525	422	287	0	218	0	525	422	591	379	283	306	404	488	502	346	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	371	172	340	103	0	102	67	156	0	0	0	0	206	0	0	184	0	133	0	203	185	377	367	1316	1350	0
A730008H23Rik	186.967742	0	525	422	287	0	218	0	525	422	591	379	283	306	404	488	502	346	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	371	172	340	103	0	102	67	156	0	0	0	0	206	0	0	184	0	133	0	203	185	377	367	1316	1350	0
Zfp821	186.032258	0	552	499	238	273	0	0	552	499	577	378	415	218	449	535	528	247	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	368	306	0	266	213	263	0	0	0	0	0	0	220	0	0	261	0	169	0	210	220	107	0	1281	1270	0
Ist1	185.935484	0	552	499	238	273	0	0	552	499	577	378	415	218	449	535	528	247	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	368	306	0	266	207	263	0	0	0	0	0	0	220	0	0	261	0	169	0	210	220	107	0	1281	1270	0
Gnl3l	184.935484	179	580	566	575	281	152	196	580	566	565	512	323	301	404	585	414	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	369	252	309	0	0	467	265	423	294	596	482	0	0	228	195	0
Pheta2	183.500000	168	615	472	620	335	188	191	615	472	425	393	425	296	424	484	670	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	216	0	0	0	0	0	0	0	0	156	0	218	0	0	254	272	264	0	187	221	0	0	921	1033	0
Timm44	183.112903	156	578	301	210	197	245	0	578	301	498	436	314	215	415	390	364	369	0	0	221	135	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	971	823	0	274	93	273	0	193	0	0	0	0	0	0	0	0	178	229	0	198	335	258	242	615	492	0
Rbpj	179.387097	0	406	277	254	123	0	149	406	277	223	182	347	87	236	416	197	226	0	0	516	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1204	245	91	0	325	0	133	260	0	0	163	180	229	0	0	353	420	194	92	314	499	180	214	606	666	0
Plcxd2	179.177419	122	626	368	423	387	151	176	626	368	541	430	356	276	468	705	561	598	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	150	0	0	357	0	156	0	0	159	207	199	185	356	315	0	0	694	575	0
Smdt1	178.854839	168	615	472	620	335	188	191	615	472	425	393	259	296	424	484	670	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	216	0	0	0	0	0	0	0	0	156	0	144	0	0	254	272	264	0	187	198	0	0	921	1033	0
Rictor	175.951613	269	615	360	154	172	169	154	615	360	494	378	392	227	521	836	585	462	0	0	308	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	724	270	147	0	120	0	0	176	0	0	0	0	225	0	0	216	186	210	0	277	299	0	0	234	385	0
Get4	174.096774	185	439	394	237	247	219	243	439	394	403	457	210	138	462	362	499	193	0	0	104	141	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	585	0	0	0	0	0	64	174	0	0	0	0	107	0	0	222	177	273	133	294	216	257	173	1264	1016	0
Zbtb11	167.983871	144	316	195	189	0	339	146	316	195	196	147	210	117	221	245	154	221	0	0	260	115	0	0	0	0	0	0	0	0	0	0	0	0	837	0	203	0	1178	421	0	811	237	813	0	370	0	0	129	0	154	0	0	195	0	148	0	209	197	0	88	334	365	0
Poc5	166.629032	0	388	238	346	256	178	0	388	238	285	335	203	266	206	556	512	256	0	0	573	361	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	525	0	0	198	146	197	0	0	0	0	0	0	0	0	0	200	246	422	0	275	421	157	155	750	879	0
Zfp433	162.387097	233	633	390	242	0	191	0	633	390	410	586	638	499	443	559	452	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	854	0	0	216	313	108	0	362	0	0	0	0	0	0	0	0	0	0	0	198	220	0	0	435	481	0
Gm32687	162.387097	233	633	390	242	0	191	0	633	390	410	586	638	499	443	559	452	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	854	0	0	216	313	108	0	362	0	0	0	0	0	0	0	0	0	0	0	198	220	0	0	435	481	0
Tonsl	160.983871	211	704	670	626	237	205	215	704	670	452	502	268	276	393	394	572	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	254	0	193	0	0	0	934	698	0
Copg1	159.629032	122	385	287	446	338	309	171	385	287	451	439	280	237	374	503	482	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	118	0	0	0	0	0	0	0	0	0	0	160	0	0	252	116	205	130	186	244	90	95	946	990	0
Spry4	157.338710	0	331	354	370	0	259	0	331	354	188	280	203	202	0	394	155	0	0	0	383	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	262	321	463	167	466	0	265	0	0	0	0	210	0	0	242	298	251	227	355	406	0	0	860	559	0
Gigyf2	152.483871	0	323	279	326	191	0	0	323	279	453	502	238	161	542	482	673	339	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	0	0	0	0	0	0	0	0	0	188	0	254	0	0	222	202	344	0	453	359	83	0	719	646	0
Rara	152.096774	0	337	241	249	140	0	0	337	241	371	192	154	171	382	519	329	250	0	0	696	686	0	0	0	0	0	0	0	0	0	0	0	0	193	0	145	0	275	0	0	505	321	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	1104	985	0
Plekhg2	149.548387	180	493	303	248	144	178	116	493	303	317	320	217	153	239	203	533	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	105	123	236	0	236	0	127	0	0	0	0	118	0	0	182	0	155	0	238	262	80	0	994	1032	0
Rps16	149.016129	0	461	370	324	349	207	0	461	370	256	365	271	394	420	467	471	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	183	298	0	364	220	0	0	898	878	0
Timm13	146.225806	0	365	159	157	0	0	0	365	159	229	127	233	0	121	278	229	0	0	0	341	325	0	0	0	0	0	0	0	0	0	0	0	0	260	98	0	0	577	0	0	532	187	532	0	120	0	0	0	0	126	0	0	197	140	0	0	320	251	122	0	1343	1173	0
Pla2g12a	144.596774	0	514	401	356	228	0	208	514	401	274	640	292	235	315	424	422	292	0	0	185	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	342	0	0	151	0	0	0	0	0	0	0	0	0	0	179	0	183	0	361	387	0	0	412	433	0
Rpl36a	140.870968	0	147	0	159	0	0	0	147	0	0	193	0	161	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	75	0	0	855	170	0	436	106	436	128	275	0	0	217	0	437	0	0	382	276	267	254	579	664	293	0	571	824	0
Btk	140.870968	0	147	0	159	0	0	0	147	0	0	193	0	161	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	75	0	0	855	170	0	436	106	436	128	275	0	0	217	0	437	0	0	382	276	267	254	579	664	293	0	571	824	0
Zmym4	140.758065	0	380	380	223	170	200	0	380	380	287	401	197	367	367	582	303	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	626	214	202	0	137	0	0	0	0	0	0	0	0	0	0	215	0	186	197	308	391	0	0	627	559	0
Trim41	139.354839	0	321	249	190	0	126	0	321	249	547	390	366	288	464	503	542	289	0	0	222	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	123	0	0	0	0	0	0	0	0	0	0	189	0	0	231	157	183	169	189	237	146	159	636	536	0
Rpl39	137.822581	0	349	315	216	0	309	0	349	315	312	193	180	275	493	492	398	299	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	554	217	0	188	139	190	0	0	0	0	205	114	194	0	0	354	179	218	0	413	295	0	0	108	248	0
Snrnp35	136.887097	280	462	462	149	0	0	0	462	462	436	446	167	364	431	522	339	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	165	0	0	230	0	192	0	315	270	0	0	833	786	0
Rilpl2	136.887097	280	462	462	149	0	0	0	462	462	436	446	167	364	431	522	339	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	165	0	0	230	0	192	0	315	270	0	0	833	786	0
Eef1g	134.322581	0	414	411	200	0	228	0	414	411	369	264	331	206	367	436	360	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	139	0	257	200	127	120	1195	992	0
Trim37	133.580645	0	407	344	213	258	0	0	407	344	256	278	318	244	333	392	419	278	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	106	0	234	0	0	284	282	205	0	236	250	0	0	956	785	0
Chd1l	133.403226	0	321	0	170	0	159	0	321	0	118	0	236	0	0	208	122	203	0	0	352	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	444	205	0	0	0	0	203	0	0	0	0	379	0	0	416	542	357	212	482	493	131	0	289	516	0
Rgl2	131.725806	0	331	195	253	0	0	0	331	195	346	226	149	92	275	265	394	214	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1089	0	0	175	176	175	0	0	0	0	185	196	174	0	0	201	198	149	0	227	371	164	0	643	612	0
Esr1	131.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	501	444	500	471	451	462	519	535	419	461	520	0	0	0	0	0	407	319	269	273	216	0	0	199	287	0	0	0	0	0	0	0	0	0	0	0	0	0	179	225	0
Hat1	130.870968	133	225	271	277	317	239	151	225	271	320	262	192	172	306	365	322	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	115	134	0	0	0	0	0	0	0	0	0	206	0	0	188	166	0	0	210	149	0	0	898	1101	0
Rpl22l1	128.564516	0	391	156	193	192	200	0	391	156	224	202	208	0	349	319	282	222	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	624	161	0	132	172	133	0	151	0	0	197	0	149	0	0	208	224	257	0	365	276	0	0	489	603	0
Sarnp	128.225806	0	271	185	143	0	0	0	271	185	414	210	185	0	249	223	339	290	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	543	0	0	250	0	252	0	180	0	0	0	0	0	0	0	286	183	169	0	162	257	120	116	1114	922	0
Ormdl2	128.225806	0	271	185	143	0	0	0	271	185	414	210	185	0	249	223	339	290	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	543	0	0	250	0	252	0	180	0	0	0	0	0	0	0	286	183	169	0	162	257	120	116	1114	922	0
Sidt2	128.161290	0	287	0	192	139	0	0	287	0	176	178	280	166	163	253	236	143	0	0	537	543	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	790	170	0	253	133	253	0	0	0	0	0	0	0	0	0	156	0	213	0	0	251	115	130	906	779	0
Zfp850	127.935484	167	331	323	0	0	0	0	331	323	255	322	238	173	296	289	295	231	0	0	194	143	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	1326	691	164	177	314	178	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	286	265	0
Hinfp	127.435484	0	290	247	287	146	0	0	290	247	257	303	201	241	217	375	413	170	0	0	185	143	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	335	112	0	65	0	65	0	0	0	0	0	0	0	0	0	165	0	147	0	223	116	0	0	1330	1179	0
Pars2	124.338710	0	289	317	207	0	0	0	289	317	492	287	239	173	477	259	324	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	147	0	147	0	158	0	0	0	0	146	0	0	0	174	355	0	370	265	141	135	442	772	0
Tmem87a	123.741935	133	347	245	138	164	206	0	347	245	314	252	249	210	273	317	374	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	358	0	0	97	86	97	0	0	0	0	0	0	0	0	0	212	178	0	0	215	337	0	0	1003	853	0
Ganc	123.741935	133	347	245	138	164	206	0	347	245	314	252	249	210	273	317	374	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	358	0	0	97	86	97	0	0	0	0	0	0	0	0	0	212	178	0	0	215	337	0	0	1003	853	0
Tmx3	122.887097	0	165	0	282	0	219	0	165	0	0	131	0	0	0	116	106	0	0	0	653	452	0	0	0	0	0	0	0	0	0	0	0	0	724	0	0	0	1004	462	0	616	279	617	0	417	0	0	0	0	0	0	0	0	0	0	0	139	168	0	0	370	534	0
Nampt	122.774194	0	528	354	315	231	137	0	528	354	369	338	285	149	396	400	341	184	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	183	0	0	0	0	0	0	0	0	0	104	0	266	0	0	185	120	180	0	190	170	75	0	556	437	0
Trappc9	120.645161	0	303	260	241	200	101	0	303	260	328	439	229	140	360	337	271	181	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	426	131	0	204	377	198	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	404	302	627	528	0
Naga	119.403226	0	438	264	347	198	0	156	438	264	362	349	425	210	277	309	454	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	218	0	0	159	163	138	0	127	221	0	0	492	552	0
Ddx55	118.306452	0	181	208	0	0	0	0	181	208	177	175	0	0	182	191	0	185	0	0	388	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785	234	71	353	108	346	0	0	0	0	0	0	0	0	0	139	177	201	0	185	201	0	129	963	957	0
Tmx4	118.241935	0	371	358	260	0	0	0	371	358	261	354	243	249	483	387	354	292	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	132	0	0	200	202	0	0	210	0	0	0	818	919	0
Hspe1	118.032258	0	239	205	136	0	101	108	239	205	270	307	138	99	269	422	183	130	0	0	302	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	259	165	0	0	0	0	168	0	0	0	0	260	0	0	280	284	103	0	157	377	139	104	352	361	0
Hspd1	118.032258	0	239	205	136	0	101	108	239	205	270	307	138	99	269	422	183	130	0	0	302	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	743	259	165	0	0	0	0	168	0	0	0	0	260	0	0	280	284	103	0	157	377	139	104	352	361	0
