Target_genes	Rest|Average	SRX3660765|Bone_Marrow_Cells	SRX3660766|Bone_Marrow_Cells	SRX142526|C2C12	SRX3660763|CD4_CD8_double_negative_cells	SRX3660764|CD4_CD8_double_negative_cells	SRX13924406|Cortex	SRX13924407|Cortex	SRX13924408|Cortex	SRX13924409|Cortex	SRX21301484|Cortex	SRX21301485|Cortex	SRX21301486|Cortex	SRX21301487|Cortex	SRX8342507|Cortex	SRX8342508|Cortex	SRX8342509|Cortex	SRX8342510|Cortex	SRX11249163|Embryonic_pancreas	SRX11249164|Embryonic_pancreas	SRX11249165|Embryonic_pancreas	SRX11249166|Embryonic_pancreas	SRX11249167|Embryonic_pancreas	DRX013319|EpiSC	DRX013336|EpiSC	DRX013348|ES_cells	SRX039034|ES_cells	SRX041297|ES_cells	SRX041298|ES_cells	SRX041299|ES_cells	SRX041307|ES_cells	SRX047144|ES_cells	SRX310328|ES_cells	SRX310329|ES_cells	SRX315199|ES_cells	SRX3827070|ES_cells	SRX3827071|ES_cells	SRX3827072|ES_cells	SRX3827073|ES_cells	SRX4551451|ES_cells	SRX4551452|ES_cells	SRX4551453|ES_cells	SRX4551454|ES_cells	SRX4551457|ES_cells	SRX4551458|ES_cells	SRX4551459|ES_cells	SRX4551460|ES_cells	SRX4980243|ES_cells	SRX4980244|ES_cells	SRX4980245|ES_cells	SRX4980246|ES_cells	SRX9172002|ES_cells	SRX9172003|ES_cells	SRX9172004|ES_cells	SRX9172005|ES_cells	SRX9172006|ES_cells	SRX9172007|ES_cells	SRX9172008|ES_cells	SRX9172009|ES_cells	SRX7627564|Hippocampus	SRX7627566|Hippocampus	SRX9552253|MEF	SRX9552254|MEF	SRX9552255|MEF	SRX9552256|MEF	SRX11127137|mESC_derived_cardiac_cells	SRX11127139|mESC_derived_cardiac_cells	SRX11127141|mESC_derived_cardiac_cells	SRX11127143|mESC_derived_cardiac_cells	SRX041302|mESC_derived_neural_cells	SRX041303|mESC_derived_neural_cells	SRX041304|mESC_derived_neural_cells	SRX9084749|Placenta	SRX9084750|Placenta	SRX1559578|RAW_264.7	SRX1559579|RAW_264.7	SRX3660793|Scid.adh.2c2	SRX3660794|Scid.adh.2c2	SRX10580902|Unclassified	SRX10580903|Unclassified	STRING
Cldn34d	836.632911	1856	1481	153	1403	1509	1031	473	496	255	177	0	0	206	274	225	476	366	131	331	266	103	0	200	227	381	181	168	453	665	530	879	1215	678	764	1182	1263	1287	1360	1390	1291	1333	1316	1798	1561	940	747	861	0	681	1147	933	897	977	919	1018	1037	939	943	1919	1787	2051	1400	1477	911	598	707	817	406	280	255	397	916	1475	942	1062	1480	1554	669	1618	0
Tas1r3	831.037975	3136	3338	1190	2923	3126	265	492	230	259	502	287	1200	1194	0	0	0	0	0	438	274	0	101	218	168	506	1887	286	1137	1431	0	1982	2019	0	841	2155	1535	2030	1328	1568	2229	1693	1504	2030	2228	257	288	0	0	3491	3253	156	146	233	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	128	210	611	1251	1219	462	672	3424	1631	0	340	0
Scrt1	826.405063	3053	2891	1149	2807	2767	0	0	93	0	304	245	777	819	0	0	0	0	372	594	725	191	598	376	429	534	0	257	1373	1401	0	1227	744	0	536	1332	974	1542	863	1295	1754	1545	1460	2208	2368	271	415	0	0	2860	2985	219	134	250	97	273	527	0	154	0	0	0	0	0	0	0	0	0	0	164	1023	1164	1763	1618	1729	1774	3326	3408	381	1148	0
Brox	824.367089	797	540	111	1209	1251	615	145	586	145	137	0	184	227	310	453	476	292	146	186	157	0	0	129	119	212	412	0	226	261	240	722	989	504	641	1249	1459	1502	1317	1239	1435	1327	1516	1234	1188	741	512	523	566	1657	1773	641	630	694	628	756	737	677	710	1514	1663	2352	2460	1585	1541	426	962	367	612	217	194	363	2658	2608	1112	1185	2074	2386	662	1051	0
Aida	824.367089	797	540	111	1209	1251	615	145	586	145	137	0	184	227	310	453	476	292	146	186	157	0	0	129	119	212	412	0	226	261	240	722	989	504	641	1249	1459	1502	1317	1239	1435	1327	1516	1234	1188	741	512	523	566	1657	1773	641	630	694	628	756	737	677	710	1514	1663	2352	2460	1585	1541	426	962	367	612	217	194	363	2658	2608	1112	1185	2074	2386	662	1051	0
Golga7b	803.974684	3004	3200	1362	2893	3157	383	153	372	0	275	0	492	838	0	0	0	0	131	399	313	0	0	199	125	410	1612	178	1308	1314	0	1973	1500	0	777	1831	1243	2014	1354	1351	1990	1437	1507	1747	1977	152	163	0	0	3436	3575	0	83	195	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	259	619	858	1666	1290	319	618	3461	1776	520	1609	0
Gprin1	800.050633	2723	2854	1167	2419	2592	269	623	215	359	310	129	844	1028	0	0	0	0	100	261	316	108	327	156	147	401	441	296	810	1535	0	1642	1817	0	572	2017	1462	2181	1448	1413	2210	1773	1810	1889	2055	360	432	0	0	2700	2416	109	110	244	0	266	287	149	102	0	0	0	0	0	0	0	0	0	0	426	478	1172	755	406	1203	1515	3344	3357	119	535	0
Rtbdn	773.164557	2848	2952	1568	2581	2796	128	170	176	115	287	0	655	753	0	0	0	0	0	264	195	108	0	0	0	316	209	253	961	1411	0	1263	1802	0	461	1416	1138	1940	1172	1188	1736	1656	1824	1749	1928	220	242	0	0	3096	3207	0	0	169	0	122	286	0	0	0	0	0	0	0	0	0	0	0	0	248	363	831	1726	1244	1675	1761	3264	3395	227	985	0
Lin28a	770.189873	2735	2919	1422	2477	2621	230	526	136	205	649	263	1223	1486	0	0	0	0	0	254	261	124	159	155	183	441	418	265	793	1306	0	1609	1948	0	660	1631	916	1791	903	1284	1459	1382	1253	1685	1733	255	300	0	0	3094	3037	0	0	169	0	159	338	0	0	0	0	0	0	0	0	0	0	0	0	302	498	1183	1075	1053	1618	1496	2986	2833	179	765	0
Snap25	743.696203	2996	3236	1562	2949	2996	339	507	367	325	402	165	817	850	0	0	0	0	156	327	273	75	135	0	0	471	887	135	1033	1296	0	1751	1284	0	584	1264	830	1384	783	900	1479	960	1255	1314	1561	118	235	0	0	3382	3730	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	153	470	1014	2302	1800	641	775	3432	1346	312	1164	0
Cyb5r4	710.518987	2878	3055	1168	2781	2860	370	685	516	524	532	291	1894	2058	0	0	0	0	0	211	179	0	0	0	0	185	475	130	386	1265	0	1787	1570	0	447	1015	650	1003	645	693	1067	935	810	1274	1528	84	116	0	0	3316	3688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	1489	1322	1400	1636	3245	3180	0	376	0
Insm2	708.582278	2884	3039	1427	2804	3046	311	165	289	0	0	0	768	600	0	0	0	0	158	531	347	167	102	0	123	292	443	208	1110	1273	0	1444	1045	0	571	1810	1238	1928	1005	1266	1943	1818	1620	1744	1935	237	348	0	0	3070	3332	119	169	340	0	181	448	0	114	0	0	0	0	0	0	0	0	0	0	173	427	969	1804	1207	0	0	1941	427	292	926	0
Disp2	675.708861	3113	3294	1555	3006	3191	515	389	302	190	236	0	1021	1147	0	0	0	0	0	282	209	0	0	0	126	155	582	0	596	1202	0	1365	663	0	648	528	362	799	477	469	738	815	640	1002	1004	132	153	0	0	3373	3767	0	0	0	0	0	94	0	0	0	189	0	0	0	0	0	0	0	0	102	273	400	2055	1687	1302	1440	3341	3490	200	762	0
Barhl1	673.620253	2840	3135	1122	2798	2949	0	0	0	0	0	0	0	152	0	0	0	0	93	291	310	137	58	128	174	504	598	112	1349	1014	0	1620	1122	0	581	1405	1163	1727	1100	1294	1945	1294	1450	1843	2116	181	254	0	0	3500	3457	98	0	155	0	163	351	0	79	0	0	0	0	0	0	0	0	0	0	73	195	445	1741	1450	149	246	2268	529	385	1073	0
Cacng3	667.924051	2876	3160	1475	2721	2846	577	613	703	381	373	366	1570	1727	0	0	0	0	0	147	206	68	0	116	110	247	1109	0	726	913	0	1905	1228	0	639	905	519	1050	527	674	901	858	775	1011	1246	0	94	0	0	3238	3499	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	194	188	706	1425	1106	149	291	3099	2781	200	410	0
Chgb	659.316456	2949	3224	1335	2859	3056	265	183	295	153	0	0	751	1050	0	0	0	0	0	143	251	0	0	0	108	200	757	106	829	1100	0	1337	1403	0	626	577	399	1287	559	552	925	1041	720	958	1245	128	157	0	0	3495	3622	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	188	387	721	1704	1592	912	1293	3208	2385	159	772	0
Unc13a	643.658228	2973	3081	1414	2782	2911	308	294	432	389	273	169	1244	1253	0	0	0	0	171	285	253	0	131	148	163	266	0	0	734	1100	0	782	537	0	423	498	459	894	478	484	845	518	647	723	971	0	186	0	0	3001	3172	0	0	0	0	0	82	0	0	0	153	0	0	0	0	0	0	0	0	121	143	857	1867	1593	977	1358	3313	3253	359	1381	0
Jak3	641.784810	2973	3081	1414	2782	2911	308	294	432	389	273	169	1244	1253	0	0	0	0	171	285	253	0	131	0	163	266	0	0	734	1100	0	782	537	0	423	498	459	894	478	484	845	518	647	723	971	0	186	0	0	3001	3172	0	0	0	0	0	82	0	0	0	153	0	0	0	0	0	0	0	0	121	143	857	1867	1593	977	1358	3313	3253	359	1381	0
Cd300ld3	638.962025	2804	2989	1333	2815	2864	0	0	0	0	0	0	261	189	0	0	0	0	0	140	183	0	0	0	187	355	741	147	599	1466	0	1799	2025	0	786	1046	652	1357	779	637	1316	1050	1024	1218	1491	187	151	0	0	3419	3550	0	0	94	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	132	110	607	599	578	838	1055	3063	3238	0	493	0
Kcnc3	636.924051	2932	3238	1504	2938	3107	470	351	373	177	223	182	928	996	0	0	0	0	0	254	179	120	0	0	0	232	768	138	957	1215	0	1559	891	0	479	881	552	1212	668	597	1463	1034	963	1314	1524	120	171	0	0	3408	3755	0	0	0	0	159	190	0	0	0	127	0	0	0	0	0	0	0	0	168	491	807	1577	1349	231	435	2077	540	151	142	0
Lrp11	634.822785	2843	3014	1518	2811	3051	593	443	593	460	302	232	1567	1766	0	0	0	0	120	196	284	111	139	145	153	350	0	0	821	708	0	1145	364	0	416	548	299	543	334	321	595	512	551	766	815	0	109	0	0	2789	3573	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	101	321	654	1858	1616	1281	1417	3210	2863	158	656	0
Lrrc61	617.341772	2667	2867	1272	3003	3064	0	0	93	0	0	0	172	148	0	0	0	0	0	0	0	0	0	0	101	358	717	0	814	1411	0	1764	1741	0	569	1013	796	969	730	784	1188	930	907	1549	1634	0	93	0	0	3491	3663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	1234	974	1226	1203	3462	1837	0	206	0
Sez6l2	617.113924	2977	3098	1483	2811	2887	238	325	331	157	139	92	765	969	0	0	0	0	174	255	265	126	0	0	162	185	405	0	707	918	0	1233	661	0	391	716	322	717	473	511	832	556	602	884	810	96	156	0	0	2634	3246	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	134	193	726	1638	1337	1380	1528	3298	3430	0	669	0
Asphd1	617.113924	2977	3098	1483	2811	2887	238	325	331	157	139	92	765	969	0	0	0	0	174	255	265	126	0	0	162	185	405	0	707	918	0	1233	661	0	391	716	322	717	473	511	832	556	602	884	810	96	156	0	0	2634	3246	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	134	193	726	1638	1337	1380	1528	3298	3430	0	669	0
Ccdc92b	613.443038	3180	3409	1629	3283	3470	260	0	157	0	0	0	0	247	0	0	0	0	124	288	335	107	67	405	158	169	506	0	869	1045	0	1267	751	0	502	387	327	666	278	331	819	400	475	796	1071	0	135	0	0	3051	3677	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	124	233	830	1463	879	986	1316	3721	3043	205	889	0
Scamp5	609.329114	2950	3223	1468	3058	3268	0	0	153	0	284	103	737	868	799	544	187	0	0	152	146	0	0	0	116	137	358	0	580	951	0	1395	831	0	356	723	279	633	438	460	756	487	503	851	1087	115	169	0	0	2966	3567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	158	412	2657	2730	1207	1502	1965	677	184	822	0
Tph2	607.379747	3089	3314	1692	3211	3357	0	0	0	0	0	0	251	202	0	0	0	0	0	352	205	0	0	0	0	213	501	0	711	804	0	1454	873	0	434	466	316	554	483	389	814	543	471	779	1129	112	187	0	0	3307	3882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	150	604	1290	858	1463	1641	3652	3369	150	579	0
Gja10	605.189873	2920	3096	1609	2946	2965	0	0	0	0	0	0	0	162	0	0	0	0	0	178	262	0	0	130	67	125	468	134	928	1153	0	1371	1532	0	665	572	352	733	378	364	840	461	376	1056	1184	0	141	0	0	3455	3895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	190	740	1513	763	1501	1548	3233	3127	0	455	0
Chrnb2	604.772152	3053	3183	1644	2940	3073	264	233	273	0	0	0	576	517	0	0	0	0	0	187	227	136	0	168	216	298	602	103	882	1046	0	1342	662	0	517	437	302	542	476	446	858	667	651	1024	1141	0	266	0	0	3133	3493	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	174	226	906	1834	1364	752	1018	3064	1684	142	952	0
Mapk8ip2	602.746835	2889	3117	1459	2909	3105	163	0	0	0	163	0	558	453	0	0	0	0	0	209	262	0	0	229	80	232	347	85	775	1285	0	1343	1276	0	639	807	533	874	544	651	1142	759	800	1366	1484	126	193	0	0	2699	3243	0	95	90	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	120	175	464	1516	1056	1194	1397	2735	1291	0	516	0
Yif1a	599.455696	2502	2788	1388	2549	2626	468	516	475	464	550	370	1609	1729	0	0	0	0	99	213	158	0	0	0	0	98	424	157	577	752	0	1405	748	0	420	357	229	574	247	234	676	392	337	563	776	0	67	0	0	3030	3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	548	1664	1523	1221	1391	3052	2918	140	654	0
Tmem151a	599.455696	2502	2788	1388	2549	2626	468	516	475	464	550	370	1609	1729	0	0	0	0	99	213	158	0	0	0	0	98	424	157	577	752	0	1405	748	0	420	357	229	574	247	234	676	392	337	563	776	0	67	0	0	3030	3445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	548	1664	1523	1221	1391	3052	2918	140	654	0
Rad51	596.949367	2599	2956	1443	2901	3132	0	0	0	0	0	0	79	132	0	0	0	0	0	0	0	0	0	0	0	164	523	167	1112	1658	0	1883	2079	0	770	887	665	1096	869	803	1254	964	1251	1430	1584	74	91	0	0	3195	3590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	844	643	313	604	3155	1924	0	198	0
Dlgap3	585.670886	2907	2931	1230	2992	3191	0	0	0	121	0	0	356	374	0	0	0	0	0	289	250	87	0	220	251	401	548	120	644	1144	0	1448	1105	0	608	471	344	447	287	466	653	509	566	1036	1319	0	0	0	0	3181	3406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	180	603	1358	1243	1359	1476	3221	2076	0	664	0
BC048679	578.746835	2775	2941	1585	2973	3191	109	141	344	0	0	0	418	574	0	0	0	0	242	300	344	89	401	0	199	282	144	120	1041	1213	0	756	587	0	536	886	576	950	487	651	1167	889	841	1312	1718	195	230	0	0	3110	3507	0	0	119	0	77	255	0	0	0	0	0	0	0	0	0	0	0	0	161	295	855	1454	864	742	1029	836	332	138	740	0
Ap3b2	578.746835	2775	2941	1585	2973	3191	109	141	344	0	0	0	418	574	0	0	0	0	242	300	344	89	401	0	199	282	144	120	1041	1213	0	756	587	0	536	886	576	950	487	651	1167	889	841	1312	1718	195	230	0	0	3110	3507	0	0	119	0	77	255	0	0	0	0	0	0	0	0	0	0	0	0	161	295	855	1454	864	742	1029	836	332	138	740	0
Fbxl16	572.240506	2966	3152	1454	2948	3119	0	139	93	0	0	0	325	422	0	0	0	0	114	210	338	0	0	0	190	216	457	0	778	1016	0	1336	1048	0	561	581	285	440	246	244	661	494	458	877	971	0	198	0	0	2565	3127	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	146	110	499	1084	767	1411	1695	3281	3398	133	552	0
Vgf	571.531646	2396	2441	1120	2235	2285	384	433	513	275	313	171	1029	1085	0	0	0	0	87	239	283	0	0	0	245	339	420	122	966	907	0	1217	751	0	441	846	456	1259	596	665	961	825	911	1118	1355	0	253	0	0	2181	2409	0	0	0	0	0	134	0	0	0	257	0	0	0	0	0	0	0	0	189	399	926	1417	1356	1343	1423	1619	374	304	878	0
Scg2	568.556962	2761	3042	1699	3227	3419	0	147	0	0	0	0	282	250	0	0	0	0	0	156	106	0	0	0	0	155	344	0	525	778	0	1041	753	0	404	564	278	588	319	357	828	506	572	636	657	0	0	0	0	3112	3698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	803	1761	1122	996	1187	3584	3579	0	424	0
Scg3	559.291139	2389	2701	1571	2929	3226	220	0	262	196	146	0	511	582	0	0	0	0	0	274	314	0	0	0	71	282	628	0	733	961	0	1499	696	0	606	569	372	865	579	504	900	699	695	945	1214	155	151	0	0	3274	3776	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	189	593	2085	1216	0	162	2778	1251	0	277	0
Scnn1g	551.835443	2754	3046	1639	2833	3174	0	0	0	0	0	0	0	0	0	0	0	0	0	200	271	0	0	158	220	333	251	0	517	1150	0	1422	947	0	477	486	368	569	302	379	823	572	627	770	1104	0	116	0	0	2851	3462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	1228	820	1322	1491	3215	2953	0	274	0
Maneal	548.772152	2621	2897	1544	2799	2997	191	169	0	0	0	0	208	340	0	0	0	0	0	177	179	0	126	0	208	0	304	0	648	1112	0	1296	893	0	391	409	299	553	383	550	629	505	398	741	909	54	139	0	0	2899	3204	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	279	78	591	1402	1260	1263	1606	3178	2425	0	363	0
Slc39a3	543.911392	2490	2668	1499	2716	2960	92	119	157	116	153	0	695	655	0	0	0	0	0	159	280	0	0	0	91	155	304	102	544	1191	0	1329	1194	0	382	527	360	392	304	526	665	388	381	1160	1339	133	161	0	0	3088	3349	0	0	90	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	102	207	594	853	515	904	1235	3027	2218	0	316	0
Eid2	542.329114	2907	2995	1609	3136	3038	0	0	0	0	0	0	0	0	0	0	0	0	0	85	240	0	0	310	542	95	351	0	821	1123	0	1352	1405	0	471	338	142	386	203	345	508	467	523	668	842	0	137	0	0	2452	3027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	235	603	1088	742	1434	1672	3159	2929	0	306	0
Gm1096	541.658228	1487	1510	1595	2087	2315	0	0	0	0	0	0	0	0	0	0	0	0	0	139	157	0	0	233	222	363	711	0	832	1529	0	1911	1877	0	625	950	582	1194	454	698	1321	730	762	1738	1713	0	128	0	0	3391	3669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	317	358	922	1283	3479	1195	0	0	0
Tmem181a	541.329114	2908	3072	1249	2898	3105	0	0	104	0	142	0	154	226	0	0	0	0	0	177	363	173	98	215	180	418	292	0	508	1057	0	1109	739	0	418	447	311	612	362	309	605	721	542	337	495	0	0	0	0	3201	3257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	409	637	642	659	1347	1554	3106	3065	0	409	0
Cpne4	540.936709	2799	3053	1670	3447	3632	0	0	0	0	0	0	226	0	0	0	0	0	0	229	221	0	85	104	176	265	438	0	729	876	0	1129	301	0	205	491	506	455	233	559	905	296	347	1198	1238	0	146	0	0	3097	3754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	532	1521	1086	455	776	3336	1529	0	341	0
Dynlt1a	538.037975	2708	3049	1264	2687	2810	0	0	117	0	146	0	175	198	0	0	0	0	0	211	320	182	0	186	149	379	460	0	371	1245	0	1245	1081	0	393	481	325	765	328	383	658	588	503	303	434	0	0	0	0	2978	3188	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	121	356	719	648	705	1421	1611	3054	3155	0	248	0
5031439G07Rik	537.924051	2597	2729	1545	2541	2681	0	0	0	0	0	0	309	219	0	0	0	0	0	209	291	0	0	130	142	200	259	0	860	1082	0	1039	1223	0	417	402	261	577	199	373	604	538	533	1021	1131	80	128	0	0	2978	3637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	393	1196	982	1010	1184	3185	2919	0	551	0
Ogdhl	534.670886	2998	3145	1564	3182	3457	274	192	236	92	189	324	801	989	0	0	0	0	121	236	234	0	0	0	0	216	439	0	621	731	0	1354	560	0	453	641	245	881	318	479	864	620	670	629	608	0	0	0	0	2906	3613	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	311	506	1734	1193	343	651	1686	453	129	227	0
