Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX23761407|Ependymoma	SRX4988100|ES_cells	SRX4988101|ES_cells	SRX4988102|ES_cells	SRX4988103|ES_cells	SRX4988104|ES_cells	SRX4988105|ES_cells	STRING
Ptdss1	299.875000	2399	0	0	0	0	0	0	0	0
Mterf3	299.875000	2399	0	0	0	0	0	0	0	0
Hspe1	299.750000	2191	207	0	0	0	0	0	0	0
Hspd1	299.750000	2191	207	0	0	0	0	0	0	0
Atg101	298.625000	2244	145	0	0	0	0	0	0	0
Rmnd1	297.125000	2200	177	0	0	0	0	0	0	0
Armt1	297.125000	2200	177	0	0	0	0	0	0	0
Lrpprc	295.750000	2366	0	0	0	0	0	0	0	0
Spty2d1	293.125000	2042	303	0	0	0	0	0	0	0
Kdm5a	290.750000	1986	340	0	0	0	0	0	0	0
Fkbp3	290.750000	2326	0	0	0	0	0	0	0	0
Fancm	290.750000	2326	0	0	0	0	0	0	0	0
Tmem260	288.000000	2094	210	0	0	0	0	0	0	0
Spred2	286.750000	2109	185	0	0	0	0	0	0	0
Raly	284.000000	2272	0	0	0	0	0	0	0	0
Dut	283.000000	2264	0	0	0	0	0	0	0	0
Ndufb1	282.625000	2261	0	0	0	0	0	0	0	0
Cpsf2	282.625000	2261	0	0	0	0	0	0	0	0
Zfp292	282.375000	2151	108	0	0	0	0	0	0	0
Ublcp1	278.750000	1900	330	0	0	0	0	0	0	0
Ube2n	278.625000	2229	0	0	0	0	0	0	0	0
Tbck	277.500000	1672	548	0	0	0	0	0	0	0
Aimp1	277.500000	1672	548	0	0	0	0	0	0	0
Hjurp	276.500000	1936	276	0	0	0	0	0	0	0
A730008H23Rik	276.500000	1936	276	0	0	0	0	0	0	0
Tnrc6a	276.375000	2211	0	0	0	0	0	0	0	0
Sspn	272.250000	1200	0	150	122	183	133	184	206	0
Tomt	272.000000	1974	202	0	0	0	0	0	0	0
Lamtor1	272.000000	1974	202	0	0	0	0	0	0	0
Sftpb	270.500000	2164	0	0	0	0	0	0	0	0
Git2	270.375000	2163	0	0	0	0	0	0	0	0
Ankrd13a	270.375000	2163	0	0	0	0	0	0	0	0
Rhbdd3	269.375000	2155	0	0	0	0	0	0	0	0
Ewsr1	269.375000	2155	0	0	0	0	0	0	0	0
Polg	268.625000	2029	120	0	0	0	0	0	0	0
Cltc	265.500000	1866	258	0	0	0	0	0	0	0
Ndst2	264.875000	2119	0	0	0	0	0	0	0	0
Cnot6	263.125000	2105	0	0	0	0	0	0	0	0
Abhd18	262.875000	1810	293	0	0	0	0	0	0	0
Zfp219	262.125000	2097	0	0	0	0	0	0	0	0
Tmem253	262.125000	2097	0	0	0	0	0	0	0	0
Hmgxb3	261.000000	1967	121	0	0	0	0	0	0	0
Pih1d2	260.625000	1721	364	0	0	0	0	0	0	0
Nkapd1	260.625000	1721	364	0	0	0	0	0	0	0
Mff	259.750000	1805	273	0	0	0	0	0	0	0
Ctdp1	259.750000	2078	0	0	0	0	0	0	0	0
Akt2	258.625000	2069	0	0	0	0	0	0	0	0
Zfp384	256.875000	1903	152	0	0	0	0	0	0	0
Ubr2	255.625000	2045	0	0	0	0	0	0	0	0
Tsnax	255.625000	1744	301	0	0	0	0	0	0	0
Ceacam20	255.250000	0	0	231	259	426	261	453	412	0
Ccdc85c	254.125000	2033	0	0	0	0	0	0	0	0
Pik3r3	253.750000	2030	0	0	0	0	0	0	0	0
Uros	253.125000	1873	152	0	0	0	0	0	0	0
Bccip	253.125000	1873	152	0	0	0	0	0	0	0
Arih2	253.000000	1946	78	0	0	0	0	0	0	0
Atg12	252.250000	2018	0	0	0	0	0	0	0	0
Ap3s1	252.250000	2018	0	0	0	0	0	0	0	0
Ubr4	248.875000	1764	227	0	0	0	0	0	0	0
Rpl8	248.375000	1790	197	0	0	0	0	0	0	0
Commd5	248.375000	1790	197	0	0	0	0	0	0	0
Tigd5	246.625000	1973	0	0	0	0	0	0	0	0
Eef1d	246.625000	1973	0	0	0	0	0	0	0	0
Sash1	246.000000	1968	0	0	0	0	0	0	0	0
Taf15	245.000000	1960	0	0	0	0	0	0	0	0
Ap4e1	244.625000	1362	595	0	0	0	0	0	0	0
Btaf1	244.375000	1955	0	0	0	0	0	0	0	0
Septin11	244.125000	1953	0	0	0	0	0	0	0	0
Atxn2l	244.000000	1786	166	0	0	0	0	0	0	0
Myl12b	242.750000	1853	89	0	0	0	0	0	0	0
Tada3	242.125000	1937	0	0	0	0	0	0	0	0
Arpc4	242.125000	1937	0	0	0	0	0	0	0	0
Kmt2a	241.750000	1641	293	0	0	0	0	0	0	0
Iqch	241.250000	1930	0	0	0	0	0	0	0	0
Aagab	241.250000	1930	0	0	0	0	0	0	0	0
Mcl1	241.125000	1719	210	0	0	0	0	0	0	0
Cd164	240.875000	1927	0	0	0	0	0	0	0	0
Fchsd2	240.500000	1797	127	0	0	0	0	0	0	0
Nfat5	240.000000	1661	259	0	0	0	0	0	0	0
Uchl3	239.875000	1919	0	0	0	0	0	0	0	0
Prkci	239.750000	1836	82	0	0	0	0	0	0	0
Vps11	239.625000	1199	718	0	0	0	0	0	0	0
Pnrc1	238.875000	1731	180	0	0	0	0	0	0	0
Nme1	236.000000	1519	369	0	0	0	0	0	0	0
Ago3	235.375000	1883	0	0	0	0	0	0	0	0
Rpn2	235.000000	1766	114	0	0	0	0	0	0	0
Mroh8	235.000000	1766	114	0	0	0	0	0	0	0
Atf4	232.750000	1692	170	0	0	0	0	0	0	0
Spring1	232.625000	1513	348	0	0	0	0	0	0	0
Rnft2	232.625000	1513	348	0	0	0	0	0	0	0
Tpp2	232.375000	1680	179	0	0	0	0	0	0	0
Mtmr14	232.125000	1716	141	0	0	0	0	0	0	0
Frat1	231.625000	1853	0	0	0	0	0	0	0	0
Galnt10	229.500000	1836	0	0	0	0	0	0	0	0
Rpl32	229.125000	1524	309	0	0	0	0	0	0	0
Zfp335	228.625000	1638	191	0	0	0	0	0	0	0
Phrf1	228.375000	1827	0	0	0	0	0	0	0	0
Lonp2	228.125000	1825	0	0	0	0	0	0	0	0
Nol8	227.500000	1737	83	0	0	0	0	0	0	0
Mterf1a	227.500000	1504	316	0	0	0	0	0	0	0
Cenpp	227.500000	1737	83	0	0	0	0	0	0	0
Cdiptos	227.375000	1819	0	0	0	0	0	0	0	0
Cdipt	227.375000	1819	0	0	0	0	0	0	0	0
Fam104a	227.250000	1818	0	0	0	0	0	0	0	0
D11Wsu47e	227.250000	1818	0	0	0	0	0	0	0	0
Arfip1	226.125000	1682	127	0	0	0	0	0	0	0
Ap1s2	225.625000	1805	0	0	0	0	0	0	0	0
Abi2	225.625000	1805	0	0	0	0	0	0	0	0
Mettl25	225.375000	1655	148	0	0	0	0	0	0	0
Ccdc59	225.375000	1655	148	0	0	0	0	0	0	0
Klhl18	224.375000	1521	274	0	0	0	0	0	0	0
Kif9	224.375000	1521	274	0	0	0	0	0	0	0
Oasl1	224.125000	0	363	312	129	256	275	224	234	0
Zfp518a	223.000000	1503	281	0	0	0	0	0	0	0
Asah1	223.000000	1784	0	0	0	0	0	0	0	0
Nbn	222.750000	1629	153	0	0	0	0	0	0	0
Lrrc8a	221.875000	1650	125	0	0	0	0	0	0	0
Arih1	221.750000	1774	0	0	0	0	0	0	0	0
Mcm7	220.750000	1518	248	0	0	0	0	0	0	0
Ap4m1	220.750000	1518	248	0	0	0	0	0	0	0
Mterf1b	218.375000	1539	208	0	0	0	0	0	0	0
Yap1	217.375000	1625	114	0	0	0	0	0	0	0
Ddx5	216.375000	1412	319	0	0	0	0	0	0	0
Cep95	216.375000	1412	319	0	0	0	0	0	0	0
Mfsd8	216.125000	1729	0	0	0	0	0	0	0	0
Tcp11l2	215.750000	1726	0	0	0	0	0	0	0	0
Dusp6	215.000000	553	1167	0	0	0	0	0	0	0
Prdm10	214.375000	1715	0	0	0	0	0	0	0	0
Cops8	214.000000	1394	318	0	0	0	0	0	0	0
Prkdc	213.125000	1705	0	0	0	0	0	0	0	0
Mcm4	213.125000	1705	0	0	0	0	0	0	0	0
Lsr	212.875000	1703	0	0	0	0	0	0	0	0
Fam187b	212.875000	1703	0	0	0	0	0	0	0	0
Slc25a32	212.125000	1451	246	0	0	0	0	0	0	0
Dcaf13	212.125000	1451	246	0	0	0	0	0	0	0
Vps26c	211.500000	1584	108	0	0	0	0	0	0	0
Rtf2	211.375000	1484	207	0	0	0	0	0	0	0
Srxn1	210.000000	1680	0	0	0	0	0	0	0	0
Washc1	209.750000	1419	259	0	0	0	0	0	0	0
Tmem198	209.750000	1678	0	0	0	0	0	0	0	0
Chpf	209.750000	1678	0	0	0	0	0	0	0	0
Slc35a1	209.375000	1452	223	0	0	0	0	0	0	0
Setx	207.625000	1661	0	0	0	0	0	0	0	0
Tpm1	207.250000	1658	0	0	0	0	0	0	0	0
Appl2	207.250000	1508	150	0	0	0	0	0	0	0
Tst	206.375000	1651	0	0	0	0	0	0	0	0
Rrp1	206.375000	1541	110	0	0	0	0	0	0	0
Mpst	206.375000	1651	0	0	0	0	0	0	0	0
Usp34	206.250000	1650	0	0	0	0	0	0	0	0
Krt19	205.625000	303	0	236	116	253	154	266	317	0
Sart3	205.500000	1401	243	0	0	0	0	0	0	0
Iscu	205.500000	1401	243	0	0	0	0	0	0	0
Prdm15	205.000000	1640	0	0	0	0	0	0	0	0
Flcn	204.875000	1639	0	0	0	0	0	0	0	0
Wdr27	203.625000	1365	264	0	0	0	0	0	0	0
1600012H06Rik	203.625000	1365	264	0	0	0	0	0	0	0
Pcyt1a	203.500000	1532	96	0	0	0	0	0	0	0
Zfp865	203.000000	1458	166	0	0	0	0	0	0	0
Zfp524	203.000000	1458	166	0	0	0	0	0	0	0
Dvl3	202.375000	1619	0	0	0	0	0	0	0	0
Sec14l4	201.125000	1609	0	0	0	0	0	0	0	0
Pfdn4	200.625000	1605	0	0	0	0	0	0	0	0
Dap3	200.500000	1491	113	0	0	0	0	0	0	0
D030056L22Rik	200.125000	1471	130	0	0	0	0	0	0	0
Gmfb	199.500000	1464	132	0	0	0	0	0	0	0
Gipc1	199.500000	1596	0	0	0	0	0	0	0	0
Ppp4r3b	199.125000	1315	278	0	0	0	0	0	0	0
Rabgap1	198.625000	1589	0	0	0	0	0	0	0	0
Srp19	198.000000	1584	0	0	0	0	0	0	0	0
Mat2a	196.875000	1575	0	0	0	0	0	0	0	0
Hnrnpa2b1	196.875000	1277	298	0	0	0	0	0	0	0
Cbx3	196.875000	1277	298	0	0	0	0	0	0	0
Lamtor3	196.750000	1574	0	0	0	0	0	0	0	0
Sde2	196.500000	1380	192	0	0	0	0	0	0	0
Ttc13	196.000000	1458	110	0	0	0	0	0	0	0
Arv1	196.000000	1458	110	0	0	0	0	0	0	0
Tmem125	195.375000	674	268	114	0	118	131	114	144	0
Prepl	195.375000	1099	298	0	0	106	60	0	0	0
Camkmt	195.375000	1099	298	0	0	106	60	0	0	0
Rpl37	194.125000	1095	160	0	0	134	0	0	164	0
Taf11	193.500000	1458	90	0	0	0	0	0	0	0
Anks1	193.500000	1458	90	0	0	0	0	0	0	0
Gabpb1	193.000000	1544	0	0	0	0	0	0	0	0
Prox2	192.625000	1541	0	0	0	0	0	0	0	0
Dlst	192.625000	1541	0	0	0	0	0	0	0	0
Fbxw2	192.125000	1321	216	0	0	0	0	0	0	0
Ap1m1	191.250000	1431	99	0	0	0	0	0	0	0
Nectin2	191.125000	1283	246	0	0	0	0	0	0	0
Calm3	190.750000	1388	138	0	0	0	0	0	0	0
Mrps35	190.125000	1374	147	0	0	0	0	0	0	0
Arl2	189.500000	1516	0	0	0	0	0	0	0	0
Pofut2	189.125000	1363	150	0	0	0	0	0	0	0
Riok1	188.875000	1286	225	0	0	0	0	0	0	0
Cage1	188.875000	1286	225	0	0	0	0	0	0	0
Hnrnpd	188.500000	1508	0	0	0	0	0	0	0	0
Zfand3	187.750000	1502	0	0	0	0	0	0	0	0
Zer1	187.750000	1406	96	0	0	0	0	0	0	0
Wrap53	187.500000	1132	368	0	0	0	0	0	0	0
Trp53	187.500000	1132	368	0	0	0	0	0	0	0
Frat2	186.625000	1493	0	0	0	0	0	0	0	0
Rac1	185.250000	1482	0	0	0	0	0	0	0	0
Niban2	185.250000	1482	0	0	0	0	0	0	0	0
Arpc2	185.250000	1482	0	0	0	0	0	0	0	0
Nudcd3	184.625000	1212	265	0	0	0	0	0	0	0
Pank3	183.750000	1470	0	0	0	0	0	0	0	0
Zzz3	183.250000	1227	239	0	0	0	0	0	0	0
Rassf1	183.250000	1466	0	0	0	0	0	0	0	0
Actl6a	183.250000	1363	103	0	0	0	0	0	0	0
Nol10	183.000000	1196	268	0	0	0	0	0	0	0
Nsun6	182.875000	1463	0	0	0	0	0	0	0	0
Arl5b	182.875000	1463	0	0	0	0	0	0	0	0
Spata33	182.750000	1462	0	0	0	0	0	0	0	0
Ska3	182.750000	1189	185	0	0	0	88	0	0	0
Mrpl57	182.750000	1189	185	0	0	0	88	0	0	0
Chmp1a	182.750000	1462	0	0	0	0	0	0	0	0
Golga5	182.375000	1459	0	0	0	0	0	0	0	0
Nfkbiz	182.250000	1349	109	0	0	0	0	0	0	0
Cfap20	182.125000	1457	0	0	0	0	0	0	0	0
Eed	181.750000	1454	0	0	0	0	0	0	0	0
Atxn2	181.375000	1451	0	0	0	0	0	0	0	0
Ube2v1	181.250000	1450	0	0	0	0	0	0	0	0
Csnk1a1	180.750000	1280	166	0	0	0	0	0	0	0
Rita1	180.625000	1445	0	0	0	0	0	0	0	0
Ddx54	180.625000	1445	0	0	0	0	0	0	0	0
Lmbrd1	180.000000	1440	0	0	0	0	0	0	0	0
Fbxo22	179.625000	1147	290	0	0	0	0	0	0	0
Psma6	179.500000	1303	133	0	0	0	0	0	0	0
Senp1	179.375000	1278	157	0	0	0	0	0	0	0
Pfkm	179.375000	1278	157	0	0	0	0	0	0	0
Smim40	179.250000	1434	0	0	0	0	0	0	0	0
Daxx	179.250000	1434	0	0	0	0	0	0	0	0
Kifc1	178.875000	1204	227	0	0	0	0	0	0	0
Tasor2	178.375000	1427	0	0	0	0	0	0	0	0
Neurl4	178.250000	1278	148	0	0	0	0	0	0	0
2810408A11Rik	178.250000	1278	148	0	0	0	0	0	0	0
Dnajb1	177.875000	1423	0	0	0	0	0	0	0	0
Krt10	177.750000	1422	0	0	0	0	0	0	0	0
Timmdc1	177.375000	1299	120	0	0	0	0	0	0	0
Kansl2	177.375000	1419	0	0	0	0	0	0	0	0
Sf3b1	177.000000	1416	0	0	0	0	0	0	0	0
Oga	177.000000	1416	0	0	0	0	0	0	0	0
Wdr45b	176.875000	1415	0	0	0	0	0	0	0	0
Prpf19	176.875000	1415	0	0	0	0	0	0	0	0
Utp3	176.250000	1137	273	0	0	0	0	0	0	0
Rps14	176.000000	1134	274	0	0	0	0	0	0	0
Prkacb	175.750000	1308	98	0	0	0	0	0	0	0
Usp4	175.500000	1233	171	0	0	0	0	0	0	0
Etf1	175.500000	1272	132	0	0	0	0	0	0	0
Trnau1ap	175.375000	1228	175	0	0	0	0	0	0	0
Spred1	175.375000	1403	0	0	0	0	0	0	0	0
Arhgef7	175.375000	1310	93	0	0	0	0	0	0	0
Dnajc16	175.250000	992	410	0	0	0	0	0	0	0
Casp9	175.250000	992	410	0	0	0	0	0	0	0
Dnajc1	175.125000	1111	235	0	0	55	0	0	0	0
Oxnad1	174.375000	1071	324	0	0	0	0	0	0	0
Nfe2l2	174.375000	1395	0	0	0	0	0	0	0	0
Dph3	174.375000	1071	324	0	0	0	0	0	0	0
Dnaja1	174.000000	1392	0	0	0	0	0	0	0	0
Tstd2	173.875000	1391	0	0	0	0	0	0	0	0
Ncbp1	173.875000	1391	0	0	0	0	0	0	0	0
Zfp623	173.250000	1267	119	0	0	0	0	0	0	0
Tent5c	172.625000	0	0	220	245	222	184	301	209	0
Pigm	172.625000	1245	136	0	0	0	0	0	0	0
Mrpl39	172.375000	1057	322	0	0	0	0	0	0	0
Aaas	172.375000	918	461	0	0	0	0	0	0	0
Tbccd1	172.000000	1376	0	0	0	0	0	0	0	0
Dnajb11	172.000000	1376	0	0	0	0	0	0	0	0
Tbpl1	171.875000	1375	0	0	0	0	0	0	0	0
Hps5	171.875000	1375	0	0	0	0	0	0	0	0
Gtf2h1	171.875000	1375	0	0	0	0	0	0	0	0
Diaph1	171.375000	1371	0	0	0	0	0	0	0	0
Hlcs	170.625000	1277	88	0	0	0	0	0	0	0
Rpia	170.375000	1259	104	0	0	0	0	0	0	0
Sf3b2	169.625000	992	365	0	0	0	0	0	0	0
Gal3st3	169.625000	992	365	0	0	0	0	0	0	0
Adrm1	169.250000	1189	165	0	0	0	0	0	0	0
Tcf3	169.000000	901	451	0	0	0	0	0	0	0
Zfp24	168.875000	1351	0	0	0	0	0	0	0	0
Gar1	168.750000	1184	166	0	0	0	0	0	0	0
Eif2s1	168.125000	1179	166	0	0	0	0	0	0	0
Atp6v1d	168.125000	1179	166	0	0	0	0	0	0	0
Mdfic	168.000000	1213	131	0	0	0	0	0	0	0
Otud7b	167.875000	1343	0	0	0	0	0	0	0	0
Ate1	167.500000	1340	0	0	0	0	0	0	0	0
Txndc17	167.375000	1157	182	0	0	0	0	0	0	0
4933427D14Rik	167.375000	1157	182	0	0	0	0	0	0	0
Ssrp1	167.125000	1337	0	0	0	0	0	0	0	0
P2rx3	167.125000	1337	0	0	0	0	0	0	0	0
Seh1l	166.500000	1332	0	0	0	0	0	0	0	0
Hinfp	166.500000	1097	235	0	0	0	0	0	0	0
Tm9sf2	166.375000	1172	159	0	0	0	0	0	0	0
Ubfd1	166.250000	1330	0	0	0	0	0	0	0	0
Kat5	166.250000	1230	100	0	0	0	0	0	0	0
Ears2	166.250000	1330	0	0	0	0	0	0	0	0
Cops7a	166.250000	1186	144	0	0	0	0	0	0	0
Pramel12	165.875000	1177	150	0	0	0	0	0	0	0
Ankrd12	165.875000	1327	0	0	0	0	0	0	0	0
Morc3	165.625000	1325	0	0	0	0	0	0	0	0
Gpr84	165.375000	1022	301	0	0	0	0	0	0	0
Erlin2	165.125000	1186	135	0	0	0	0	0	0	0
Vamp3	164.875000	1319	0	0	0	0	0	0	0	0
Slc7a6	164.625000	1170	147	0	0	0	0	0	0	0
Rsph3a	164.625000	1202	115	0	0	0	0	0	0	0
Lmnb1	164.375000	1315	0	0	0	0	0	0	0	0
Akirin1	163.875000	1311	0	0	0	0	0	0	0	0
Cep63	163.625000	1145	164	0	0	0	0	0	0	0
Anapc13	163.625000	1145	164	0	0	0	0	0	0	0
Hivep1	163.375000	1205	102	0	0	0	0	0	0	0
Ssbp1	163.000000	1150	154	0	0	0	0	0	0	0
Pnpla8	163.000000	1304	0	0	0	0	0	0	0	0
Ulk4	162.500000	1160	140	0	0	0	0	0	0	0
Tspan4	162.500000	1153	147	0	0	0	0	0	0	0
Polr2l	162.500000	1153	147	0	0	0	0	0	0	0
Ndfip2	162.125000	1297	0	0	0	0	0	0	0	0
Mettl23	161.875000	1145	150	0	0	0	0	0	0	0
Sod2	161.750000	1294	0	0	0	0	0	0	0	0
Caap1	161.625000	1293	0	0	0	0	0	0	0	0
Cox20	161.500000	1292	0	0	0	0	0	0	0	0
Trim44	161.375000	1291	0	0	0	0	0	0	0	0
Tmem230	161.250000	1143	147	0	0	0	0	0	0	0
Pcna	161.250000	1143	147	0	0	0	0	0	0	0
Mtmr2	160.875000	1181	106	0	0	0	0	0	0	0
Dgat2	160.750000	1286	0	0	0	0	0	0	0	0
Coq10b	160.375000	1283	0	0	0	0	0	0	0	0
Aurkaip1	160.250000	1134	148	0	0	0	0	0	0	0
Atp13a3	160.250000	1282	0	0	0	0	0	0	0	0
Caprin2	160.000000	1178	102	0	0	0	0	0	0	0
Gspt1	159.625000	902	375	0	0	0	0	0	0	0
Ythdf3	159.375000	1163	112	0	0	0	0	0	0	0
Fam110a	159.250000	1274	0	0	0	0	0	0	0	0
Tmem39a	159.125000	1136	137	0	0	0	0	0	0	0
Ippk	159.000000	1083	189	0	0	0	0	0	0	0
Cct8	158.750000	1270	0	0	0	0	0	0	0	0
Epc1	158.250000	1266	0	0	0	0	0	0	0	0
Selenow	158.125000	1265	0	0	0	0	0	0	0	0
Slx4	158.000000	1264	0	0	0	0	0	0	0	0
Gnas	158.000000	1264	0	0	0	0	0	0	0	0
Fam13b	158.000000	1264	0	0	0	0	0	0	0	0
Zc3h18	157.875000	1263	0	0	0	0	0	0	0	0
Ern1	157.875000	1263	0	0	0	0	0	0	0	0
Asmt	157.875000	367	227	0	0	0	160	241	268	0
Senp7	157.625000	1261	0	0	0	0	0	0	0	0
Mdm4	157.375000	1259	0	0	0	0	0	0	0	0
Endov	157.000000	1132	124	0	0	0	0	0	0	0
Itpkc	156.875000	1255	0	0	0	0	0	0	0	0
Coq8b	156.875000	1255	0	0	0	0	0	0	0	0
Rab5if	156.750000	1036	218	0	0	0	0	0	0	0
Rmnd5a	156.625000	1253	0	0	0	0	0	0	0	0
Cherp	156.625000	1253	0	0	0	0	0	0	0	0
Frmd6	156.375000	1251	0	0	0	0	0	0	0	0
Fndc11	156.250000	1067	183	0	0	0	0	0	0	0
BC005537	156.250000	1250	0	0	0	0	0	0	0	0
Zfp512b	156.125000	1249	0	0	0	0	0	0	0	0
Sec24a	156.125000	1167	82	0	0	0	0	0	0	0
Sowahc	156.000000	1248	0	0	0	0	0	0	0	0
Septin10	156.000000	1248	0	0	0	0	0	0	0	0
Cct5	155.875000	1247	0	0	0	0	0	0	0	0
Atpsckmt	155.875000	1247	0	0	0	0	0	0	0	0
Fbxo33	155.750000	1246	0	0	0	0	0	0	0	0
Mlycd	155.625000	1245	0	0	0	0	0	0	0	0
Atp6v0c	155.625000	1245	0	0	0	0	0	0	0	0
Ccni	155.375000	1020	223	0	0	0	0	0	0	0
2010109A12Rik	155.375000	1020	223	0	0	0	0	0	0	0
Prps1l3	155.250000	1242	0	0	0	0	0	0	0	0
Mipol1	155.250000	1242	0	0	0	0	0	0	0	0
Paxip1	155.125000	1241	0	0	0	0	0	0	0	0
Dhx36	155.000000	1240	0	0	0	0	0	0	0	0
Isy1	154.375000	1055	180	0	0	0	0	0	0	0
Zfp668	154.125000	961	272	0	0	0	0	0	0	0
Zfp646	154.125000	961	272	0	0	0	0	0	0	0
Rps12	154.000000	942	290	0	0	0	0	0	0	0
Ppp4c	154.000000	1104	128	0	0	0	0	0	0	0
Them6	153.750000	1230	0	0	0	0	0	0	0	0
Katna1	153.625000	1229	0	0	0	0	0	0	0	0
Rmdn1	153.375000	1125	102	0	0	0	0	0	0	0
Pgs1	153.375000	1097	130	0	0	0	0	0	0	0
Cpne3	153.375000	1125	102	0	0	0	0	0	0	0
Syt11	153.250000	556	0	0	0	145	131	199	195	0
Slc35f6	153.000000	1224	0	0	0	0	0	0	0	0
Sdhaf2	153.000000	1224	0	0	0	0	0	0	0	0
Rraga	153.000000	1224	0	0	0	0	0	0	0	0
Cpsf7	153.000000	1224	0	0	0	0	0	0	0	0
Ccndbp1	153.000000	1044	180	0	0	0	0	0	0	0
Aff1	152.750000	1222	0	0	0	0	0	0	0	0
Akap10	152.375000	1219	0	0	0	0	0	0	0	0
N6amt1	152.000000	994	222	0	0	0	0	0	0	0
Zbtb45	151.750000	1015	199	0	0	0	0	0	0	0
Epn1	151.625000	999	214	0	0	0	0	0	0	0
Bcl2l1	151.375000	1211	0	0	0	0	0	0	0	0
Togaram1	151.000000	1208	0	0	0	0	0	0	0	0
Scrib	151.000000	1011	197	0	0	0	0	0	0	0
Klhl28	151.000000	1208	0	0	0	0	0	0	0	0
Fubp3	150.875000	1042	99	0	0	0	66	0	0	0
Comt	150.875000	1106	101	0	0	0	0	0	0	0
Bmt2	150.875000	1070	137	0	0	0	0	0	0	0
Zbtb9	150.750000	1053	153	0	0	0	0	0	0	0
Wdr37	150.750000	1206	0	0	0	0	0	0	0	0
Cfap54	150.500000	665	539	0	0	0	0	0	0	0
Ccnl1	150.500000	954	250	0	0	0	0	0	0	0
