Target_genes	Atf7|Average	SRX520193|3T3-L1	SRX5088371|Testicular_germ_cells	SRX5088372|Testicular_germ_cells	SRX5088373|Testicular_germ_cells	SRX5088374|Testicular_germ_cells	SRX5088375|Testicular_germ_cells	SRX5088376|Testicular_germ_cells	SRX5088377|Testicular_germ_cells	SRX5088378|Testicular_germ_cells	DRX230417|Testis	DRX230418|Testis	DRX230419|Testis	DRX230420|Testis	DRX230421|Testis	DRX230422|Testis	DRX230423|Testis	DRX230424|Testis	DRX230425|Testis	STRING
Ppfia3	559.000000	0	0	0	0	0	0	0	0	0	0	0	0	1795	1800	1544	1839	1648	1436	0
Lin7b	559.000000	0	0	0	0	0	0	0	0	0	0	0	0	1795	1800	1544	1839	1648	1436	0
Ubap1	556.111111	240	0	0	0	0	0	0	0	0	0	0	0	1824	2013	1653	1806	1113	1361	0
Chmp7	554.722222	266	0	0	0	0	0	172	0	0	172	115	146	1241	1650	1456	1660	1503	1604	0
Sema3b	551.388889	0	0	0	0	0	0	208	0	0	0	0	0	1437	1868	1732	1815	1448	1417	0
Tmem250-ps	548.500000	0	120	0	0	0	0	202	0	0	136	0	0	1524	1857	1440	1567	1505	1522	0
Kctd5	548.444444	856	0	0	0	0	0	0	0	0	158	0	0	1885	1665	1524	1694	1199	891	0
Zfp335	548.055556	576	179	0	0	0	0	114	0	0	81	0	0	1590	1893	1426	1689	1165	1152	0
Ccni	547.166667	579	0	0	0	0	0	0	0	0	100	105	136	1699	1682	1557	1886	1175	930	0
2010109A12Rik	547.166667	579	0	0	0	0	0	0	0	0	100	105	136	1699	1682	1557	1886	1175	930	0
Dvl1	541.055556	0	203	213	0	0	0	328	0	0	0	0	0	1452	1746	1386	1488	1483	1440	0
Rhob	540.888889	131	0	0	0	0	0	0	0	0	0	0	106	1575	2020	1641	1876	1114	1273	0
Cd2ap	539.000000	115	0	0	0	0	0	261	0	0	160	137	212	1581	1768	1380	1669	1197	1222	0
Abhd2	538.055556	0	160	0	0	0	0	0	0	0	0	0	0	2191	2095	2136	2032	555	516	0
Klf6	533.666667	236	0	0	0	0	0	0	0	0	0	0	0	1519	1984	1644	1937	1177	1109	0
Rnf44	533.611111	270	0	0	0	0	0	0	0	0	0	0	0	1486	1838	1699	2149	925	1238	0
Braf	527.444444	501	0	152	0	0	0	0	0	0	92	95	169	1395	1707	1622	1780	972	1009	0
Ddx5	525.833333	0	157	0	0	0	0	0	0	0	74	96	103	1354	1446	1441	1749	1578	1467	0
Cep95	525.833333	0	157	0	0	0	0	0	0	0	74	96	103	1354	1446	1441	1749	1578	1467	0
Ext1	525.222222	130	0	0	0	0	0	205	0	0	0	0	0	1468	1618	1448	1547	1398	1640	0
Uvssa	524.000000	137	0	0	0	0	0	0	0	0	0	0	119	1501	1942	1605	1713	1140	1275	0
Rccd1	521.944444	245	0	0	0	0	0	0	0	0	0	0	118	1662	1934	1597	1569	1120	1150	0
Tle3	520.277778	0	0	0	0	0	0	0	0	0	0	0	0	1579	2004	2024	1914	857	987	0
Bsdc1	517.500000	257	122	0	0	0	0	0	0	0	0	81	0	1335	1791	1526	1697	1272	1234	0
Mrtfa	516.166667	287	0	0	0	0	0	0	0	0	99	120	117	1561	1760	1479	1858	894	1116	0
Tpt1	515.666667	0	112	0	0	0	0	208	0	0	78	115	136	1145	1625	1355	1493	1610	1405	0
Bcl10	513.055556	0	0	0	0	0	0	0	0	0	87	143	119	1309	1621	1545	1835	1254	1322	0
Birc2	512.666667	316	150	0	0	0	0	198	0	0	107	109	181	1344	1660	1485	1617	992	1069	0
Brox	505.944444	727	386	0	0	0	0	0	0	0	453	1503	720	1585	867	1048	1172	280	366	0
Aida	505.944444	727	386	0	0	0	0	0	0	0	453	1503	720	1585	867	1048	1172	280	366	0
Hivep1	501.388889	0	0	0	0	0	0	217	0	0	94	0	87	1466	1540	1548	1578	1197	1298	0
Pak1	498.555556	0	0	0	0	0	0	166	0	0	110	0	123	1344	1778	1460	1754	990	1249	0
Foxo3	498.555556	234	0	0	0	0	0	0	0	0	0	0	0	1587	1839	1413	1787	1067	1047	0
Galnt11	498.055556	0	0	0	0	0	0	210	0	0	0	0	0	1524	1749	1446	1744	940	1352	0
Pafah1b1	497.388889	0	0	199	0	0	0	163	0	0	0	125	101	1300	1527	1337	1360	1282	1559	0
Coq7	496.388889	425	0	0	0	0	0	0	0	0	0	0	0	1734	1850	1588	1719	671	948	0
Cycs	495.388889	201	0	0	0	0	0	0	0	0	107	198	147	1406	1792	1421	1456	1022	1167	0
Ccnl1	493.333333	118	169	0	0	0	0	148	0	0	99	116	129	1527	1595	1346	1490	1150	993	0
Samd4b	489.611111	0	0	0	0	0	0	116	0	0	110	0	120	1381	1434	1450	1594	1410	1198	0
Gmfg	489.611111	0	0	0	0	0	0	116	0	0	110	0	120	1381	1434	1450	1594	1410	1198	0
Homer1	489.111111	193	0	0	0	0	0	140	0	0	0	100	0	1406	1745	1565	1651	988	1016	0
Mterf1a	488.722222	292	188	0	0	0	0	207	0	0	148	131	0	1457	1320	1344	1265	1081	1364	0
Prcd	487.666667	169	0	0	0	0	0	0	0	0	0	0	0	1938	1510	1533	1672	609	1347	0
Cygb	487.666667	169	0	0	0	0	0	0	0	0	0	0	0	1938	1510	1533	1672	609	1347	0
Psph	486.166667	265	0	0	0	0	0	0	0	0	125	136	182	1216	1521	1479	1751	1100	976	0
Cct6a	486.166667	265	0	0	0	0	0	0	0	0	125	136	182	1216	1521	1479	1751	1100	976	0
Hjurp	483.944444	0	0	0	0	0	0	0	0	0	345	566	587	1186	1516	1058	1642	976	835	0
A730008H23Rik	483.944444	0	0	0	0	0	0	0	0	0	345	566	587	1186	1516	1058	1642	976	835	0
Pnrc1	482.333333	145	158	0	0	0	0	0	0	0	131	0	178	1236	1512	1112	1711	1205	1294	0
Sidt2	480.333333	228	0	0	0	0	0	0	0	0	102	0	69	1403	1707	1482	1411	1145	1099	0
Pdcl3	479.555556	359	0	0	0	0	0	0	0	0	158	81	118	1303	1627	1603	1438	867	1078	0
Myh10	477.388889	0	0	0	0	0	0	0	0	0	0	0	163	1431	1652	1293	1417	1201	1436	0
Oxnad1	471.388889	158	0	0	0	0	0	0	0	0	0	0	112	1304	1504	1187	1707	1175	1338	0
Dph3	471.388889	158	0	0	0	0	0	0	0	0	0	0	112	1304	1504	1187	1707	1175	1338	0
Vps37b	470.777778	302	0	0	0	0	0	129	0	0	146	0	0	1568	1564	1274	1623	984	884	0
Nlk	468.500000	0	236	0	0	0	0	169	0	0	0	0	0	1728	2050	1649	1678	420	503	0
Tra2a	468.166667	198	0	0	0	0	0	0	0	0	0	182	162	1036	1432	1398	1399	1178	1442	0
Stk38l	467.388889	510	0	0	0	0	0	0	0	0	104	125	179	1394	1511	1424	1501	806	859	0
Rab5b	464.833333	0	0	0	0	0	0	0	0	0	0	114	100	1879	1952	1583	2047	267	425	0
Mterf1b	463.166667	169	217	0	0	0	0	191	0	0	161	152	0	1273	1235	1259	1341	1105	1234	0
Rab1a	462.500000	236	0	0	0	0	0	0	0	0	0	111	134	1134	1455	1200	1429	1390	1236	0
Ilrun	462.166667	0	0	0	0	0	0	0	0	0	0	0	130	1346	1760	1400	1567	1069	1047	0
Irx5	461.333333	180	0	0	0	0	0	0	0	0	0	0	0	1580	1718	1263	1427	1042	1094	0
Klf11	459.666667	0	0	0	0	0	0	155	0	0	123	97	84	1196	1519	1264	1282	1268	1286	0
Ppp2r2a	459.055556	0	0	169	0	0	0	137	0	0	118	139	142	1005	1575	1334	1490	965	1189	0
Mrpl16	458.611111	490	0	0	0	0	0	0	0	0	0	0	0	1504	1456	1651	1857	626	671	0
Nemf	458.222222	423	0	0	0	0	0	0	0	0	114	357	212	1409	1449	1329	1339	908	708	0
Mrps23	455.611111	556	0	0	0	0	0	0	0	0	0	97	76	1413	1370	1177	1337	1067	1108	0
Senp2	454.444444	151	0	0	0	0	0	0	0	0	125	105	175	1480	1436	1493	1377	876	962	0
Hlf	453.500000	0	0	0	0	0	0	169	0	0	0	0	0	1197	1692	1257	1411	1328	1109	0
Nsd3	452.277778	296	0	0	0	0	0	0	0	0	103	90	75	1535	1461	1293	1398	986	904	0
Letm2	452.277778	296	0	0	0	0	0	0	0	0	103	90	75	1535	1461	1293	1398	986	904	0
Skiv2l	450.722222	0	133	0	0	0	0	210	0	0	0	0	0	967	1473	1388	1344	1240	1358	0
Nelfe	450.722222	0	133	0	0	0	0	210	0	0	0	0	0	967	1473	1388	1344	1240	1358	0
Otud7a	449.500000	0	0	0	0	0	0	0	0	0	126	0	133	1358	1609	1216	1288	1416	945	0
Btg1	448.500000	0	0	0	0	0	0	0	0	0	0	0	125	1214	1590	1412	1469	1014	1249	0
Cdip1	448.166667	316	0	0	0	0	0	0	0	0	138	100	131	1012	1431	1284	1438	1095	1122	0
Usp36	446.000000	335	0	0	0	0	0	0	0	0	110	0	130	1152	1450	1448	1481	895	1027	0
Rpl26	444.055556	509	0	0	0	0	0	0	0	0	0	0	0	1372	1606	1188	1584	791	943	0
Pitpnb	442.888889	143	0	0	0	0	0	133	0	0	115	137	92	1226	1524	1069	1150	1303	1080	0
Dusp1	442.833333	216	0	0	0	0	0	270	0	0	0	0	66	1027	1466	1294	1334	1172	1126	0
Phlpp1	439.722222	90	0	0	0	0	0	0	0	0	0	105	136	1198	1447	1349	1461	1051	1078	0
Nsun6	439.000000	0	0	0	0	0	0	156	0	0	96	122	126	1275	1569	1182	1278	1040	1058	0
Arl5b	439.000000	0	0	0	0	0	0	156	0	0	96	122	126	1275	1569	1182	1278	1040	1058	0
Hsp90ab1	438.833333	158	0	0	0	0	0	0	0	0	0	0	0	1225	1524	1170	1553	1151	1118	0
Bcl2l13	437.500000	176	0	0	0	0	0	0	0	0	143	119	145	1269	1243	1123	1322	1181	1154	0
Mbd6	433.000000	0	0	0	0	0	0	206	0	0	0	0	0	1223	1435	1393	1315	1124	1098	0
Ddit3	433.000000	0	0	0	0	0	0	206	0	0	0	0	0	1223	1435	1393	1315	1124	1098	0
Zfp711	432.555556	0	0	0	0	0	0	157	0	0	0	0	137	1416	1543	1150	1261	1181	941	0
Zbtb11	431.055556	152	0	0	0	0	0	0	0	0	112	122	139	1325	1311	1315	1478	862	943	0
Golph3	429.000000	0	152	0	0	0	0	132	0	0	129	0	126	1341	1253	1192	1379	1020	998	0
Ipo5	428.277778	0	0	174	0	0	0	121	0	0	138	99	117	936	1506	1155	1065	1249	1149	0
Myl6b	426.166667	202	0	0	0	0	0	0	0	0	0	0	0	1420	1432	988	1478	949	1202	0
Myl6	426.166667	202	0	0	0	0	0	0	0	0	0	0	0	1420	1432	988	1478	949	1202	0
Arih1	421.555556	249	143	0	0	0	0	0	0	0	0	139	101	1158	1240	1213	1257	1070	1018	0
Kif11	418.500000	192	0	0	0	0	0	0	0	0	146	205	229	1186	1408	1114	1222	806	1025	0
Zfp593	416.944444	236	0	0	0	0	0	143	0	0	0	0	0	1340	1320	1233	1302	980	951	0
Gm30191	416.944444	236	0	0	0	0	0	143	0	0	0	0	0	1340	1320	1233	1302	980	951	0
Ubn1	415.444444	0	0	0	0	0	0	0	0	0	103	125	125	1079	1399	1179	1409	1088	971	0
Glyr1	415.444444	0	0	0	0	0	0	0	0	0	103	125	125	1079	1399	1179	1409	1088	971	0
Lekr1	415.222222	0	0	0	0	0	0	120	0	0	0	136	126	1209	1433	1052	1298	1107	993	0
Cds1	413.833333	0	0	0	0	0	0	0	0	0	105	84	120	1099	1487	1004	1167	991	1392	0
Crebzf	413.722222	275	223	224	287	272	310	335	381	334	0	0	90	872	1030	817	997	413	587	0
Zgrf1	413.166667	0	0	0	0	0	0	0	0	0	0	0	0	1292	1574	1181	1498	1018	874	0
Larp7	413.166667	0	0	0	0	0	0	0	0	0	0	0	0	1292	1574	1181	1498	1018	874	0
Zfp184	412.055556	0	0	0	0	0	0	148	0	0	88	128	145	1271	1385	915	1370	915	1052	0
Filip1l	412.055556	0	0	0	0	0	0	167	0	0	119	152	155	1233	1334	1139	1058	1116	944	0
Ppp1r11	411.944444	472	0	0	0	0	0	0	0	0	0	0	0	1440	1507	1273	1589	633	501	0
Dusp10	411.944444	124	0	0	0	0	0	0	0	0	0	0	0	1571	1538	1258	1310	648	966	0
1700056E22Rik	411.944444	124	0	0	0	0	0	0	0	0	0	0	0	1571	1538	1258	1310	648	966	0
Cystm1	411.777778	0	0	0	0	0	0	149	0	0	101	0	110	1247	1498	1200	1151	916	1040	0
Ddx42	408.444444	152	0	0	0	0	0	0	0	0	99	122	167	1227	1304	1186	1474	645	976	0
Ccdc47	408.444444	152	0	0	0	0	0	0	0	0	99	122	167	1227	1304	1186	1474	645	976	0
Nrip3	407.444444	0	0	0	0	0	0	0	0	0	107	65	120	1203	1500	1056	1056	915	1312	0
Usp32	404.555556	0	0	0	0	0	0	177	0	0	128	120	89	1143	1269	1119	1219	955	1063	0
Kmt2c	404.500000	123	0	0	0	0	0	0	0	0	0	93	102	1199	1260	1102	1156	1172	1074	0
Trmt2a	403.777778	156	0	0	0	0	0	231	0	0	0	0	0	989	1499	1084	1173	991	1145	0
Ranbp1	403.777778	156	0	0	0	0	0	231	0	0	0	0	0	989	1499	1084	1173	991	1145	0
Celf6	403.555556	0	0	0	0	0	0	0	0	0	106	0	95	955	1412	1145	1458	1002	1091	0
Gnao1	402.888889	0	0	240	0	0	0	149	0	0	0	0	0	968	1309	1085	1083	1247	1171	0
Purb	402.388889	0	140	199	0	0	0	231	0	0	0	77	126	925	1191	1085	1177	1127	965	0
Tmem248	400.055556	156	0	0	0	0	0	0	0	0	124	0	96	1012	1536	1098	1258	1030	891	0
Ubald1	398.611111	106	0	0	0	0	0	0	0	0	0	0	0	1156	1383	1267	1432	697	1134	0
Nupl2	396.444444	99	0	0	0	0	0	0	0	0	0	222	164	1096	1183	1071	1320	964	1017	0
Ndufa10	396.111111	273	0	0	0	0	0	0	0	0	0	105	85	1251	1587	1160	1369	640	660	0
Csf2ra	395.888889	0	169	0	0	0	0	246	0	0	0	0	0	1080	1340	1057	1218	1113	903	0
Rap2a	395.722222	131	0	0	0	0	0	103	0	0	0	0	0	1151	1272	1146	1295	1040	985	0
Wars2	395.500000	135	0	0	0	0	0	0	0	0	0	141	0	993	1246	879	1364	1216	1145	0
Slc20a1	395.500000	0	0	0	0	0	0	110	0	0	96	0	144	1075	1231	1146	1259	991	1067	0
Orc5	394.888889	221	0	0	0	0	0	0	0	0	0	124	0	1139	1444	1149	1445	803	783	0
Sytl3	393.666667	142	0	0	0	0	0	0	0	0	0	0	0	874	1458	1172	1251	1109	1080	0
Magi3	392.611111	0	171	0	0	0	0	0	0	0	127	0	132	1319	1429	1144	1200	711	834	0
Mturn	391.000000	0	0	0	0	0	0	0	0	0	76	0	117	1077	1214	1045	1285	1047	1177	0
Dnajc27	389.944444	199	0	0	0	0	0	0	0	0	117	135	119	1205	1263	924	1314	874	869	0
Rbm4b	388.944444	0	0	0	0	0	0	0	0	0	117	127	0	835	1233	1111	1158	1341	1079	0
Mrpl38	387.444444	0	0	0	0	0	0	0	0	0	0	0	0	971	1367	1064	1329	1081	1162	0
Rnasek	386.111111	0	0	129	0	0	0	171	0	0	97	0	0	1035	1262	1129	1147	959	1021	0
0610010K14Rik	386.111111	0	0	129	0	0	0	171	0	0	97	0	0	1035	1262	1129	1147	959	1021	0
Dynlt1f	385.777778	0	0	0	0	0	0	0	0	0	0	0	0	874	1458	1172	1251	1109	1080	0
Dynlt1c	385.777778	0	0	0	0	0	0	0	0	0	0	0	0	874	1458	1172	1251	1109	1080	0
Ift81	385.500000	0	0	0	0	0	0	115	0	0	113	0	158	1329	1370	1022	1128	884	820	0
Map1lc3a	384.222222	191	142	239	0	0	0	190	0	0	0	0	0	945	1245	956	1106	911	991	0
Zfp868	383.222222	180	0	0	0	0	0	0	0	0	170	141	193	1236	1298	1036	1306	718	620	0
Fam53a	381.500000	0	0	0	0	0	0	208	0	0	92	85	118	706	1327	971	1203	1063	1094	0
Tmem219	381.444444	0	143	0	0	0	0	0	0	0	98	97	133	1053	1187	917	1216	1029	993	0
Ythdf3	380.777778	0	0	0	0	0	0	0	0	0	118	157	119	872	1257	983	1383	996	969	0
Iba57	380.055556	175	0	0	0	0	0	145	0	0	94	0	0	1171	1378	1214	1173	639	852	0
Rnf32	378.833333	0	99	0	0	0	0	0	0	0	122	111	173	1026	1225	1144	1268	980	671	0
Tmem183a	377.777778	0	0	0	0	0	0	214	0	0	171	90	174	876	1275	1045	1301	843	811	0
Sp2	376.777778	0	0	0	0	0	0	121	0	0	106	0	0	1364	1570	1218	1537	358	508	0
Scrt1	375.722222	0	0	0	0	0	0	0	0	0	0	0	0	1365	1209	1158	1236	986	809	0
Leng8	375.388889	0	0	0	0	0	0	0	0	0	96	117	0	1134	1067	1159	1274	1020	890	0
Sphk2	374.111111	217	0	0	0	0	0	0	0	0	0	0	0	1294	1371	1219	1423	549	661	0
Rpl18	374.111111	217	0	0	0	0	0	0	0	0	0	0	0	1294	1371	1219	1423	549	661	0
Fam83e	374.111111	217	0	0	0	0	0	0	0	0	0	0	0	1294	1371	1219	1423	549	661	0
Trap1	373.055556	220	0	0	0	0	0	144	0	0	76	112	140	1102	1165	1129	1246	793	588	0
Nudt18	372.722222	162	0	0	0	0	0	0	0	0	0	0	0	1176	1411	1123	1461	618	758	0
Znrd1as	370.888889	303	0	0	0	0	0	0	0	0	0	0	0	1445	1274	1290	1438	354	572	0
Znrd1	370.888889	303	0	0	0	0	0	0	0	0	0	0	0	1445	1274	1290	1438	354	572	0
Chd2	370.777778	143	0	0	0	0	0	0	0	0	0	0	0	1125	1317	1081	1453	927	628	0
Tmem251	370.277778	116	0	0	0	0	0	148	0	0	121	79	91	1062	1082	915	1120	959	972	0
Moap1	370.277778	116	0	0	0	0	0	148	0	0	121	79	91	1062	1082	915	1120	959	972	0
Clk4	369.222222	132	0	0	0	0	0	0	0	0	110	126	181	1062	1352	964	1091	858	770	0
BC049762	369.222222	132	0	0	0	0	0	0	0	0	110	126	181	1062	1352	964	1091	858	770	0
Gmeb2	368.444444	0	130	0	0	0	0	137	0	0	118	100	0	1098	1170	1093	1010	940	836	0
H4c2	367.277778	131	0	0	0	0	0	0	0	0	0	158	142	1124	1156	1043	1133	899	825	0
Prmt9	366.944444	0	0	0	0	0	0	0	0	0	0	111	131	1073	1281	1119	1281	742	867	0
Gtpbp4	361.000000	181	0	0	0	0	0	0	0	0	71	163	140	961	1240	1058	1190	700	794	0
A430005L14Rik	360.222222	0	0	0	0	0	0	154	0	0	109	0	117	926	1141	1249	1085	952	751	0
Polr2j	358.000000	114	0	0	0	0	0	0	0	0	0	0	106	1037	1282	929	1069	909	998	0
Rps29	356.500000	136	0	0	0	0	0	0	0	0	81	301	224	938	1050	1177	1206	733	571	0
Ankrd11	356.500000	0	0	0	0	0	0	0	0	0	85	0	0	1106	1126	979	1294	822	1005	0
Tle4	355.055556	0	0	0	0	0	0	0	0	0	0	0	116	828	1344	1091	1266	870	876	0
Sp1	355.055556	0	0	0	0	0	0	0	0	0	0	86	0	1497	1498	1401	1342	235	332	0
H4c1	354.388889	131	0	0	0	0	0	0	0	0	0	68	0	1124	1156	1043	1133	899	825	0
H3c1	354.388889	131	0	0	0	0	0	0	0	0	0	68	0	1124	1156	1043	1133	899	825	0
H1f1	354.388889	131	0	0	0	0	0	0	0	0	0	68	0	1124	1156	1043	1133	899	825	0
Nedd1	352.166667	0	0	0	0	0	0	0	0	0	126	104	99	1149	1120	892	846	841	1162	0
Crocc	349.166667	0	0	0	0	0	0	0	0	0	0	0	0	1048	1295	846	1151	980	965	0
Coa7	347.388889	126	0	0	0	0	0	0	0	0	0	0	0	1097	1148	1055	1329	511	987	0
Golga5	347.333333	0	0	0	0	0	0	0	0	0	151	141	143	903	1115	927	1077	805	990	0
Insig1	347.111111	0	155	0	0	0	0	177	0	0	108	0	135	812	998	764	1157	1013	929	0
Serinc3	347.055556	116	0	0	0	0	0	0	0	0	132	142	148	862	1082	996	928	915	926	0
Ube2d2a	346.388889	271	0	0	0	0	0	101	0	0	121	0	135	894	981	1115	1186	629	802	0
Scyl2	346.000000	0	0	0	0	0	0	0	0	0	109	105	175	1025	1174	942	1376	518	804	0
Zscan20	345.722222	0	0	0	0	0	0	0	0	0	0	0	0	1019	1262	1207	1299	680	756	0
Kif5a	343.333333	172	0	0	0	0	0	0	0	0	0	0	82	938	1096	1123	1292	669	808	0
Dctn2	343.333333	172	0	0	0	0	0	0	0	0	0	0	82	938	1096	1123	1292	669	808	0
Med21	343.000000	0	0	0	0	0	0	0	0	0	82	80	106	923	1209	892	1221	871	790	0
Tecpr2	342.666667	247	0	0	0	0	0	0	0	0	133	0	186	1020	1159	931	1084	742	666	0
Cinp	342.666667	247	0	0	0	0	0	0	0	0	133	0	186	1020	1159	931	1084	742	666	0
Naf1	341.944444	165	0	0	0	0	0	0	0	0	0	126	131	1114	1167	1104	1155	488	705	0
Pabpn1	341.500000	0	0	0	0	0	0	0	0	0	0	0	0	1551	1257	1218	1508	247	366	0
Tle6	341.444444	0	0	0	0	0	0	0	0	0	0	0	0	885	1279	1215	1368	751	648	0
Mapre1	341.444444	0	0	0	0	0	0	165	0	0	0	0	0	751	1179	775	1014	1254	1008	0
