Target_genes	Elk1|Average	SRX10221012|3T3-L1	SRX10221013|3T3-L1	SRX10221014|3T3-L1	SRX10221015|3T3-L1	SRX9144796|3T3-L1	SRX9144797|3T3-L1	SRX7115524|Corpus_Striatum	SRX7115525|Corpus_Striatum	SRX1462209|MEF	SRX1462210|MEF	SRX1462211|MEF	SRX1462212|MEF	SRX1462213|MEF	SRX1462214|MEF	SRX1462215|MEF	SRX1462216|MEF	SRX1618614|MEF	SRX1618615|MEF-derived_neural_cells	SRX1618616|MEF-derived_neural_cells	SRX1618617|MEF-derived_neural_cells	SRX1618618|MEF-derived_neural_cells	SRX262793|NIH/3T3	SRX262794|NIH/3T3	SRX262795|NIH/3T3	SRX262796|NIH/3T3	STRING
Paics	105.280000	0	243	275	351	576	677	359	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnrc18	104.640000	232	1039	418	369	237	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc5	104.560000	0	243	190	258	365	459	591	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap5m1	104.560000	0	243	190	258	365	459	591	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfg	103.680000	0	0	0	0	462	652	693	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7l2	103.400000	495	1184	326	389	0	0	112	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctdsp1	103.360000	199	1204	290	248	185	132	138	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9030025P20Rik	102.960000	0	258	176	201	309	481	710	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gar1	101.920000	0	427	199	323	469	271	423	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nagk	101.760000	0	163	149	153	562	859	346	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etfrf1	101.560000	0	162	159	162	645	839	371	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casc1	101.560000	0	162	159	162	645	839	371	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl35	100.000000	0	0	145	0	561	812	584	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpc5l	100.000000	0	0	145	0	561	812	584	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cbr3	98.960000	0	0	0	0	0	0	0	0	265	239	0	348	207	385	251	321	0	0	0	0	0	0	0	225	233	0
4930453N24Rik	98.080000	0	185	161	374	575	472	454	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp865	97.320000	0	168	196	290	305	287	740	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp524	97.320000	0	168	196	290	305	287	740	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmgxb3	97.040000	0	183	0	255	454	397	480	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdrg1	96.760000	0	140	89	207	467	537	650	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uvssa	96.640000	0	144	0	0	353	681	715	523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N6amt1	96.520000	0	241	224	314	559	334	430	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulp4	96.360000	0	498	334	425	377	486	110	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccn1	96.080000	0	280	367	575	397	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srp19	95.240000	0	301	162	297	449	313	464	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r4	94.520000	0	0	0	0	0	0	220	211	0	0	343	276	241	0	156	0	237	250	251	178	0	0	0	0	0	0
Csgalnact2	94.360000	0	454	250	385	428	576	112	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scrib	94.240000	0	131	127	155	268	369	634	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasip1	93.560000	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	177	0	0	0	0	382	486	367	804	0
Bcl7b	93.120000	0	216	0	137	421	555	595	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkdc	91.720000	0	0	0	0	168	122	142	163	0	0	0	0	0	0	0	0	202	0	0	0	0	242	399	284	571	0
Sec61a1	91.200000	0	200	0	164	453	643	391	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmd12	89.480000	0	252	235	225	268	339	500	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsga10	89.360000	0	0	0	0	379	567	763	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minpp1	89.080000	0	256	216	281	338	459	305	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Izumo1	88.640000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	382	486	367	804	0
Rad1	88.160000	0	0	135	237	364	316	516	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brix1	88.160000	0	0	135	237	364	316	516	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh3	88.040000	0	167	0	194	648	945	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhfr	88.040000	0	167	0	194	648	945	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef7	87.520000	0	0	263	453	554	261	396	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp263	87.160000	0	0	0	0	164	107	125	264	200	0	0	206	0	275	207	0	0	266	202	0	0	0	163	0	0	0
Ddx39b	87.120000	0	156	146	203	316	574	489	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phb2	86.920000	0	142	151	186	371	470	560	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emg1	86.920000	0	142	151	186	371	470	560	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspe1	86.880000	0	249	136	231	338	297	590	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspd1	86.880000	0	249	136	231	338	297	590	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bms1	86.600000	0	202	221	276	429	476	364	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nbn	86.520000	0	204	277	374	523	475	160	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chordc1	86.400000	0	0	0	129	281	301	857	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrm1	86.000000	0	99	89	195	459	648	394	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg7	85.880000	0	131	165	208	374	272	566	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxnad1	85.440000	0	263	96	209	333	527	324	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dph3	85.440000	0	263	96	209	333	527	324	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3h	85.360000	0	137	141	266	410	702	270	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2aip	84.720000	0	192	113	165	474	614	249	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srf	83.840000	0	0	0	148	215	349	151	93	275	724	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0
Patl1	83.520000	131	267	347	352	215	286	245	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ints13	83.240000	0	192	168	359	419	536	256	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgfr1op2	83.240000	0	192	168	359	419	536	256	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nme1	83.000000	0	147	120	186	206	257	696	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ing1	82.720000	0	0	0	0	483	722	521	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cars2	82.720000	0	0	0	0	483	722	521	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnt2	82.440000	0	0	0	137	194	280	779	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mob4	82.320000	0	193	143	174	394	318	429	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl30	82.240000	0	104	111	152	399	566	471	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arpc2	82.000000	0	264	200	322	336	421	288	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sf3b1	81.080000	0	334	225	304	264	383	311	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nup160	80.560000	0	104	285	311	499	242	330	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brd7	80.560000	0	261	245	388	382	236	251	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nras	79.920000	0	207	157	191	237	306	477	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor3	79.200000	0	198	0	143	518	524	360	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clptm1l	78.680000	0	0	104	358	237	239	565	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snip1	78.600000	0	109	163	178	282	203	563	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnali1	78.600000	0	109	163	178	282	203	563	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mydgf	78.560000	0	161	255	416	419	466	152	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn2	78.520000	0	206	219	316	417	366	216	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Garre1	78.520000	122	210	324	430	245	182	167	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdk11b	78.520000	0	180	0	211	244	192	674	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fubp3	78.440000	0	149	139	131	328	393	515	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mul1	77.960000	0	0	114	190	213	239	692	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc174	77.960000	0	208	122	166	316	235	483	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr2	77.920000	0	109	130	296	332	304	530	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lima1	77.440000	0	240	189	282	503	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmp2k	77.400000	0	316	119	264	353	251	316	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gspt1	76.920000	0	158	166	190	301	245	470	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Txnl4b	76.880000	0	205	89	135	385	261	515	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhx38	76.880000	0	205	89	135	385	261	515	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdcbp	76.600000	0	182	203	198	400	590	160	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyroxd1	76.520000	0	285	185	218	148	258	419	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf3c2	76.200000	0	99	124	150	176	276	546	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utp3	75.720000	0	132	216	213	318	332	421	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl52	75.680000	0	212	117	150	389	268	504	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp14	75.680000	0	212	117	150	389	268	504	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caap1	75.360000	0	0	158	227	177	201	765	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp628	75.320000	0	255	236	273	280	262	294	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam104a	75.200000	0	189	115	238	230	265	492	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D11Wsu47e	75.200000	0	189	115	238	230	265	492	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttpal	75.120000	0	322	204	290	281	344	294	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsnax	74.840000	0	0	175	160	236	221	578	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pitpna	74.720000	0	0	113	305	553	719	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp32	74.560000	0	184	0	0	245	616	504	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm5a	74.520000	0	242	188	307	318	325	293	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actb	74.440000	0	0	202	238	422	455	296	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sart3	73.960000	0	163	158	157	247	205	561	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iscu	73.960000	0	163	158	157	247	205	561	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pex2	73.880000	0	106	141	267	178	401	427	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mief1	73.800000	0	215	0	136	314	311	537	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thumpd3	73.760000	0	0	168	168	353	300	519	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubcn	73.680000	0	149	120	253	410	289	347	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralgapb	73.360000	0	128	149	164	273	440	466	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csnk1g2	73.160000	0	120	123	193	283	461	384	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps26	72.960000	0	93	0	192	611	492	303	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
