Target_genes	Tcf3|Average	SRX1568859|B_cells	SRX1568860|B_cells	SRX1568861|B_cells	SRX1568862|B_cells	SRX1568867|B_cells	SRX1568868|B_cells	SRX142528|C2C12	SRX2348473|CD4_CD8_double_positive_cells	SRX1080393|Embryoid_Bodies	SRX9599934|Embryonic_liver	SRX9599937|Embryonic_liver	SRX9599940|Embryonic_liver	SRX9641189|EpiLC	SRX9641190|EpiLC	SRX9641191|EpiLC	SRX9641202|EpiLC	SRX9641203|EpiLC	SRX9641204|EpiLC	SRX9641218|EpiLC	SRX9641219|EpiLC	SRX9641220|EpiLC	SRX003870|ES_cells	SRX003871|ES_cells	SRX1080398|ES_cells	SRX3581842|ES_cells	SRX3581843|ES_cells	SRX9641170|ES_cells	SRX9641171|ES_cells	SRX9641172|ES_cells	SRX1117081|HAFTL	SRX1117082|HAFTL	SRX1117083|HAFTL	SRX1117084|HAFTL	SRX1117085|HAFTL	SRX323583|Hair_follicle_stem_cells	SRX7821127|Hematopoietic_progenitors	SRX7821128|Hematopoietic_progenitors	SRX7821129|Hematopoietic_progenitors	SRX310197|HPC-7	SRX3771849|Liver	SRX3771850|Liver	SRX310199|Mast_Cells	SRX150191|Myoblasts	SRX2348475|Natural_Killer_T-Cells	SRX2254825|Neural_Stem_Cells	SRX3195760|Neural_Stem_Cells	SRX3195761|Neural_Stem_Cells	SRX3195762|Neural_Stem_Cells	SRX3195763|Neural_Stem_Cells	SRX2162538|Pre-B_cells	SRX2162541|Pre-B_cells	SRX2162560|Pre-B_cells	SRX3868861|Pre-B_cells	SRX3868862|Pre-B_cells	SRX021889|Pro-B_cells	SRX021890|Pro-B_cells	SRX082175|Thymocytes	SRX082176|Thymocytes	SRX021893|T_cells	SRX1568863|Unclassified	SRX1568864|Unclassified	SRX1568865|Unclassified	SRX1568866|Unclassified	STRING
Kpna1	443.698413	872	741	912	897	488	921	369	830	184	0	105	0	0	0	0	162	0	0	517	0	0	179	267	169	842	863	0	0	0	627	632	407	522	430	1030	448	593	396	1153	0	0	250	1037	954	0	0	0	87	0	842	923	663	1414	1388	329	0	766	734	165	715	667	715	748	0
Gas7	406.539683	2399	941	910	942	107	451	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	669	596	1896	0	0	0	260	0	648	669	1251	1186	1276	2497	234	1090	0	0	298	317	0	0	0	1901	1076	2168	1193	0
Nt5e	399.809524	0	0	0	0	0	0	0	0	2697	0	0	0	123	1522	1194	299	1339	653	509	465	332	883	773	3053	3221	3284	800	1994	1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jund	383.380952	1627	585	910	650	276	610	306	561	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	197	197	0	0	0	0	0	0	0	0	159	0	0	0	280	705	1273	0	336	156	0	1682	2778	2675	2693	1042	373	168	0	0	144	0	0	0	0	1274	458	1138	404	0
Mrps23	375.269841	363	0	0	0	0	0	0	0	2678	0	0	0	0	925	1290	370	488	908	152	197	0	248	236	2920	2479	2657	781	2007	2058	0	0	0	0	0	0	0	0	0	285	0	0	0	204	0	0	115	311	387	266	0	602	0	0	0	0	0	0	0	176	224	0	315	0	0
Rtl8b	371.857143	0	0	0	0	0	0	0	0	2440	0	0	0	191	879	1790	742	1501	1575	527	665	566	0	0	1201	2673	2995	1261	2029	2314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msh6	371.746032	2188	1256	1349	1380	749	1943	158	1631	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	448	851	0	0	0	0	0	0	0	0	0	0	128	217	1909	0	0	0	87	235	0	0	0	0	0	1553	477	454	0	0	101	147	0	0	0	1819	932	1650	1128	0
Rtl8c	370.730159	0	0	0	0	0	0	0	0	2741	0	0	0	0	891	1823	775	1518	1735	457	756	631	0	0	1089	2501	2795	1271	2073	2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid3b	360.126984	1307	220	524	127	267	159	713	359	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1620	2287	2481	159	551	785	0	0	0	0	0	0	0	0	0	403	0	0	0	458	0	357	258	670	808	569	2516	620	262	255	0	415	293	0	0	268	910	0	1024	317	0
Dydc2	359.365079	0	0	0	0	0	0	0	0	3214	0	0	0	140	1254	1264	781	1680	1365	545	610	429	513	361	2644	2098	2350	562	1166	1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uhrf2	356.777778	84	0	0	0	0	0	0	0	2072	0	0	0	0	822	958	164	627	760	125	175	145	1141	985	2863	2888	2880	849	1985	2075	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	82	219	0	0	347	0	0	0	0	0	0	0	0	0	0	141	0	0
Snai1	356.063492	1215	270	565	279	319	235	1138	244	1749	0	0	0	0	445	500	0	0	0	0	0	0	193	158	2822	2418	2599	538	1182	1363	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	98	182	121	450	94	0	0	0	103	88	0	0	0	781	216	1050	282	0
Rabggta	355.126984	1955	922	1682	776	407	328	476	2087	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	0	0	0	139	925	193	394	737	726	598	2413	350	152	0	0	320	287	0	0	258	1572	800	1587	789	0
Klf2	353.809524	916	0	553	0	139	290	0	180	2271	0	0	0	79	1200	1377	0	0	0	0	0	0	1051	1039	2524	2223	2532	468	1090	1357	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	177	0	177	114	183	218	213	0	163	0	231	93	0	0	0	428	0	671	140	0
Amotl2	353.476190	0	0	0	0	0	0	139	0	2344	0	0	0	192	1261	1153	531	1277	797	545	516	499	353	511	2595	2490	2390	522	993	1357	0	0	0	0	0	157	0	0	0	0	0	0	0	165	0	0	112	423	413	280	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0
Neil1	352.079365	2395	972	1665	699	855	1300	745	1533	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	74	0	0	0	95	116	351	0	0	0	662	307	408	304	727	825	646	2289	347	130	170	0	123	98	0	0	217	1513	467	1432	511	0
Rgs12	351.603175	0	0	0	0	0	0	0	0	2835	0	0	0	0	896	961	298	1147	680	117	342	209	489	525	3403	2826	2773	566	1686	1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	428	0	0	0	0	0	0	0	0	0	0	109	0	0
Gm4861	347.174603	0	0	0	0	0	0	0	0	2826	0	0	0	149	987	1160	263	541	395	165	141	134	1029	882	3232	2992	3069	431	939	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	353	537	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rimbp3	344.333333	1617	311	405	0	0	0	1417	430	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	861	0	1160	602	1789	2116	1642	3196	904	0	0	0	417	508	0	0	0	1274	522	1116	887	0
Zfp651	338.000000	2347	1522	1581	619	121	177	0	1130	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	276	331	640	0	0	0	0	437	210	230	605	550	379	1569	0	0	0	0	259	74	0	0	0	2230	1604	2244	1739	0
Serinc3	336.301587	2270	1157	2082	694	1417	1566	0	194	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	219	174	0	0	0	0	0	0	0	0	0	176	751	875	61	115	0	325	197	174	0	0	391	209	147	154	421	0	247	489	180	115	0	0	0	2016	1088	1717	1216	0
Rhob	335.730159	126	0	0	0	0	0	167	0	2968	0	0	0	154	630	1256	641	1185	925	682	573	862	157	0	2442	1714	1711	584	1063	1581	0	0	0	0	0	0	0	0	0	130	0	0	0	209	0	0	0	432	289	372	0	0	0	0	0	0	0	0	0	0	85	0	213	0	0
Lats2	334.761905	1222	255	318	0	204	143	120	0	1528	0	0	0	0	523	328	0	0	0	0	0	0	925	793	3041	2529	2941	351	949	1158	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	144	167	116	409	424	475	0	0	0	0	0	0	0	762	140	838	181	0
Cdx1	331.428571	0	0	0	0	0	0	0	0	2660	0	0	0	106	1216	1186	536	1119	1299	881	629	593	454	354	2132	1854	1963	570	1338	1634	0	0	0	0	0	0	0	0	0	159	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdc4	327.269841	2032	797	1656	393	554	622	720	917	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	245	212	0	0	105	0	0	0	0	0	0	0	652	670	1881	0	0	0	595	0	0	0	0	0	0	1619	968	544	0	0	170	170	0	0	0	1694	579	1322	592	0
Selplg	327.063492	1758	944	1840	1397	850	845	0	2187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	1164	0	0	0	0	0	2805	1273	0	0	0	263	79	0	0	233	1630	706	1595	823	0
Mzb1	326.396825	2239	1407	2279	1031	843	1220	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	71	0	0	0	0	0	0	403	443	376	0	0	0	0	0	0	0	0	0	0	3272	0	106	0	0	261	125	0	0	0	2218	1042	2005	967	0
Cxxc5	326.000000	1781	520	1083	511	631	576	229	1157	951	0	0	0	0	0	144	0	0	108	0	0	0	0	0	407	0	221	0	224	422	0	0	0	0	0	0	0	271	301	1612	0	0	0	211	373	0	0	326	173	251	2074	194	255	316	102	387	442	0	0	265	1513	382	1418	707	0
Il31ra	322.317460	773	374	591	651	504	822	290	762	591	191	140	97	0	0	0	173	0	0	421	0	0	0	0	506	0	0	0	0	0	268	259	138	239	181	734	479	0	275	1255	0	0	204	912	874	0	0	0	0	0	682	756	701	1174	1495	210	0	468	309	0	422	386	531	468	0
Asmt	319.079365	690	705	581	610	596	585	162	116	197	172	147	249	170	213	104	186	167	179	158	0	144	0	0	251	247	276	0	219	0	141	199	277	304	175	135	237	530	534	657	175	362	114	673	333	570	201	481	786	578	475	545	211	943	1042	97	0	250	0	0	531	452	501	469	0
Grsf1	315.650794	130	0	0	0	0	0	77	0	2316	0	0	0	0	911	754	130	339	243	534	414	170	934	775	2747	2448	2456	497	1449	1754	0	0	0	0	0	0	0	0	0	169	0	0	0	219	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	143	0	137	0	0
Cerk	313.460317	1676	935	1119	552	538	1026	386	949	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	67	0	0	0	0	0	0	264	133	298	0	0	0	144	333	412	330	1161	907	728	1826	194	235	0	0	270	173	0	0	90	1570	748	1534	845	0
Alpl	311.714286	345	0	0	0	0	0	137	0	2697	0	0	0	0	752	436	107	537	172	0	0	0	793	905	2912	1863	2336	559	1140	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	121	115	402	152	150	395	0	0	0	0	0	0	0	0	0	336	0	345	0	0
Rapgefl1	308.730159	2153	265	1647	470	229	244	1140	437	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	1009	1268	512	1063	1619	0	0	0	0	0	0	0	0	0	0	0	0	0	726	128	0	0	0	0	0	2977	0	647	264	0	551	375	0	0	141	871	157	309	0	0
Mtf2	306.936508	268	0	114	0	0	0	114	0	1160	0	0	0	0	192	352	0	373	135	0	0	0	352	248	2591	2566	2627	421	1122	1199	281	250	0	181	148	273	0	0	0	929	0	0	546	502	0	0	0	0	109	0	253	917	0	0	0	0	0	200	174	0	369	0	371	0	0
Vmn1r1	304.968254	0	0	0	0	0	0	0	533	2901	0	0	0	0	942	857	0	618	0	174	0	0	845	639	3289	2191	2596	494	1289	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdgfa	302.730159	0	0	222	0	0	0	0	0	2023	0	0	0	95	1583	1248	0	484	546	0	0	0	365	464	2347	2014	2096	802	1679	2032	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	92	94	0	0	88	581	0	0	90	0	0	0	0	0	0	0	0	0
1190007I07Rik	301.317460	217	0	84	0	0	0	0	0	2718	0	0	0	0	913	668	161	1265	511	109	175	254	621	536	2986	1683	2137	431	809	1135	0	0	0	0	0	0	0	0	0	109	0	0	0	123	0	0	0	197	155	143	79	448	0	0	0	0	0	0	0	0	143	0	173	0	0
Rbbp7	298.317460	409	0	184	0	0	0	0	0	2589	0	0	0	0	827	798	0	606	342	309	0	120	655	686	2979	2436	2731	443	798	1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	167	0	149	0	0
Cyth1	292.920635	1766	559	1288	474	589	832	167	204	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	202	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	352	380	1497	1348	1324	1213	92	303	0	0	207	147	0	0	0	1510	593	1647	696	0
Fnbp1	292.587302	1331	283	610	313	181	130	0	139	403	0	0	0	0	149	142	0	0	0	0	0	0	244	218	1092	3143	3275	283	935	1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	119	166	164	471	0	0	0	169	0	0	0	1044	287	1166	508	0
Pakap	291.095238	1259	201	1011	123	0	0	841	277	182	0	0	0	0	0	0	0	0	0	0	0	0	196	128	745	2439	2449	0	105	277	355	334	184	314	318	0	0	0	0	331	0	0	0	988	0	211	238	901	801	464	1119	0	0	0	0	0	0	211	240	0	534	98	340	125	0
Pld4	289.904762	2329	638	1657	405	308	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	304	618	1354	0	0	0	339	0	0	0	0	0	0	2010	219	1384	0	0	445	475	0	0	0	1745	548	1973	956	0
Dmpk	287.968254	2370	1166	1888	1041	829	1397	1481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	284	0	0	0	0	857	0	0	0	0	0	0	2299	0	0	0	0	322	246	0	0	115	1701	524	1007	334	0
Mdm4	286.952381	125	0	0	0	0	0	0	0	2838	0	0	0	0	584	1048	232	494	302	0	168	0	479	415	3161	1755	1915	464	850	1322	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	145	210	108	0	959	182	0	0	0	0	0	0	0	0	0	114	0	0
Pura	284.603175	1291	137	654	0	233	0	213	0	1475	0	0	0	0	160	283	0	287	298	196	0	177	140	0	3008	1396	1533	333	430	934	0	0	0	0	0	0	0	0	0	105	0	0	0	418	0	168	113	353	286	201	260	286	0	0	0	68	0	0	0	0	1046	0	1195	253	0
Septin9	284.571429	973	428	277	162	118	450	0	222	1839	0	0	0	0	513	537	161	525	235	221	151	218	0	0	2235	763	1086	361	697	1239	0	76	0	0	0	0	0	0	0	1277	0	0	161	0	0	89	0	150	101	0	411	853	0	0	0	0	0	0	0	0	514	207	505	173	0
Ankle2	284.555556	727	0	389	0	156	0	0	563	1204	0	0	0	0	118	267	0	187	206	0	0	0	142	0	1602	1466	1918	333	586	974	0	0	0	0	0	0	0	0	0	2113	631	660	219	136	328	0	173	640	473	442	250	145	0	0	0	0	0	0	0	0	385	0	494	0	0
Trak1	284.412698	1792	217	204	0	0	0	191	1986	903	0	0	0	0	215	0	0	0	0	0	0	0	271	152	920	593	440	0	286	417	0	0	0	0	0	0	0	0	0	265	0	0	0	207	213	651	216	837	684	466	868	315	0	91	0	267	134	0	0	226	1271	268	1784	568	0
Meig1	284.412698	2210	757	915	532	342	366	446	1619	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	325	153	119	0	0	0	435	335	0	0	337	327	286	1486	255	0	0	0	142	136	0	0	212	1755	1127	1777	1076	0
Dclre1c	284.412698	2210	757	915	532	342	366	446	1619	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	325	153	119	0	0	0	435	335	0	0	337	327	286	1486	255	0	0	0	142	136	0	0	212	1755	1127	1777	1076	0
Plcg2	283.253968	810	213	489	105	70	0	0	0	2403	0	0	0	0	374	348	0	206	248	0	0	0	523	354	2990	1630	2132	244	680	1105	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	187	0	0	0	122	0	0	0	0	877	228	893	262	0
Lrr1	282.428571	0	0	0	0	0	0	0	696	0	0	0	0	0	582	483	0	0	0	0	0	0	151	198	759	2712	3011	414	953	1375	0	0	0	0	0	0	0	0	0	800	1008	1225	0	0	418	0	220	787	942	893	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgrp2	282.158730	2121	944	1788	788	312	455	162	1553	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	0	0	135	0	0	0	0	0	0	0	0	0	0	587	0	0	0	242	187	0	0	0	0	0	2124	382	0	0	0	161	135	0	0	222	1668	713	1734	605	0
Tfcp2l1	281.063492	125	0	0	0	0	0	0	0	1184	0	0	0	0	290	449	0	159	214	0	0	0	909	739	2955	2997	3023	655	1864	1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	134	0	0
Kat7	280.079365	76	0	0	0	0	0	0	0	2675	0	0	0	0	926	981	204	283	250	131	0	0	686	701	2747	1828	2178	340	1215	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	170	141	98	0	226	0	0	0	0	0	0	0	0	0	0	126	0	0
Vars	279.190476	1393	922	763	899	571	1213	140	477	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	111	0	1127	735	626	179	398	695	155	254	754	812	513	719	216	0	0	0	0	0	0	0	0	972	652	1008	784	0
D17H6S56E-5	279.190476	1393	922	763	899	571	1213	140	477	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	111	0	1127	735	626	179	398	695	155	254	754	812	513	719	216	0	0	0	0	0	0	0	0	972	652	1008	784	0
Adam19	278.968254	1980	924	1329	466	121	161	971	0	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	1062	1572	0	157	282	0	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	2423	0	0	0	0	204	0	0	0	0	1506	533	1406	792	0
Dusp1	275.904762	250	0	0	0	0	0	119	0	1322	0	0	0	51	351	401	0	0	197	0	0	0	184	193	2606	1357	1903	287	615	1284	0	0	0	0	0	0	0	0	0	237	178	174	0	202	0	0	376	1515	1430	1256	103	183	0	0	0	127	0	0	0	0	128	0	251	102	0
Hint3	275.158730	2107	932	1224	874	880	1134	100	552	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	145	0	0	0	0	0	0	0	0	0	0	0	0	905	0	0	0	148	142	0	0	192	228	196	1317	253	0	0	0	184	100	0	0	95	1805	543	1964	705	0
Pef1	274.666667	108	0	0	0	0	0	0	0	2176	0	0	0	0	1086	1000	0	426	0	0	0	0	345	0	2705	2269	2668	553	1303	1623	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	215	224	234	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0
Gna15	272.365079	2118	507	754	415	232	98	141	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	590	1771	0	0	0	319	158	0	0	174	0	0	2076	341	225	0	0	424	313	0	0	193	1742	470	1789	731	0
Tle3	272.047619	366	0	321	0	0	0	1037	155	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	425	711	0	0	0	0	0	0	0	0	162	0	0	0	0	783	716	0	0	0	1500	1252	2308	2146	1962	895	331	378	247	0	0	0	0	0	0	235	0	189	0	0
N4bp2	271.285714	682	0	559	0	87	0	0	0	611	0	0	0	0	476	297	0	163	123	0	0	0	210	244	1818	2595	2749	300	944	1583	0	0	0	0	0	0	0	0	0	161	0	0	0	411	0	121	0	142	217	131	602	158	125	0	0	106	0	0	0	0	519	0	674	283	0
Gbx2	269.841270	0	0	0	0	0	0	0	0	2643	0	0	0	147	1163	1313	385	1141	868	652	551	620	350	333	2558	453	740	317	977	960	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	277	229	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat1	269.031746	1932	650	1678	769	779	1346	0	628	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	139	0	718	0	0	0	181	0	143	0	320	249	155	1231	559	105	341	0	158	0	0	0	86	1562	721	1421	630	0
Susd6	268.492063	1199	189	545	319	243	201	238	157	554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	3002	3129	269	615	840	0	0	0	0	0	283	0	0	0	323	0	0	0	363	0	0	0	197	132	217	443	137	0	0	0	123	0	0	0	126	838	203	1135	479	0
Iqcn	268.412698	535	0	386	0	131	0	306	561	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	78	0	0	0	0	0	0	0	0	159	0	0	0	280	705	1273	0	336	156	0	1682	2778	2675	2693	472	230	0	0	0	144	0	0	0	0	302	0	369	185	0
Exosc9	267.222222	177	0	0	0	0	0	1741	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	1001	0	1560	1426	2877	2756	2763	1617	0	0	0	0	142	188	0	0	296	0	0	0	0	0
Lyl1	267.190476	1807	985	1671	921	368	735	0	706	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	793	1302	0	0	933	0	0	0	0	0	0	0	1213	360	322	0	0	106	0	0	0	0	1458	485	1181	716	0
Mllt6	266.222222	103	0	80	0	0	0	0	148	1678	0	0	0	0	607	765	220	560	464	326	180	246	489	451	1713	2202	2241	773	1286	1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	482	0	0
