Target_genes	Gli2|Average	SRX1115335|Cerebellum	SRX3176061|Embryonic_gut	SRX3176062|Embryonic_gut	SRX1115331|Embryonic_head	SRX1115332|Embryonic_limb	SRX4083166|Embryonic_stomach	SRX1115333|Embryonic_trunk	SRX1973367|ES_cells	SRX1973381|ES_cells	SRX24427287|Medulloblastoma	SRX3884257|Medulloblastoma	SRX3884258|Medulloblastoma	SRX3884264|Medulloblastoma	SRX3884265|Medulloblastoma	SRX1618619|MEF	SRX1618620|MEF-derived_neural_cells	SRX1618621|MEF-derived_neural_cells	SRX1618622|MEF-derived_neural_cells	SRX1618623|MEF-derived_neural_cells	STRING
Aloxe3	48.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	123	347	305	0
Septin2	48.210526	0	188	197	0	0	368	0	0	0	163	0	0	0	0	0	0	0	0	0	0
Zfp692	47.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	531	198	0
Mbl1	47.105263	0	0	0	0	0	0	0	605	290	0	0	0	0	0	0	0	0	0	0	0
Ptch1	45.894737	0	187	155	0	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0	451
Ascc1	45.000000	0	0	0	0	0	0	0	605	250	0	0	0	0	0	0	0	0	0	0	0
Anapc16	45.000000	0	0	0	0	0	0	0	605	250	0	0	0	0	0	0	0	0	0	0	0
Golm2	44.789474	0	0	0	0	0	0	0	572	279	0	0	0	0	0	0	0	0	0	0	0
Olfr613	44.736842	0	0	0	0	0	0	0	510	340	0	0	0	0	0	0	0	0	0	0	0
Mettl26	44.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	550	181	0
Knl1	44.631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	555	174	0
Zfp839	43.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	370	238	0
Mok	43.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	370	238	0
Olfr441	43.105263	0	0	0	0	0	0	0	523	296	0	0	0	0	0	0	0	0	0	0	0
Plxdc1	43.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	85	438	147	0
Rab11a	42.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	470	149	0
Cfap36	42.789474	0	0	0	0	0	0	0	618	195	0	0	0	0	0	0	0	0	0	0	0
H2al1o	41.789474	0	0	0	0	0	0	0	576	218	0	0	0	0	0	0	0	0	0	0	0
Tmem28	41.157895	0	0	0	0	0	0	0	437	345	0	0	0	0	0	0	0	0	0	0	0
Prmt5	40.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	405	267	0
Trim50	40.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	91	175	219	127	0
Khdc3	40.263158	0	0	0	0	0	250	0	0	0	0	0	0	298	217	0	0	0	0	0	0
Rara	40.105263	0	186	225	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp143	40.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	243	298	0
Ndufs7	40.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	424	172	0
Tia1	39.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	410	268	0
Smarcc2	39.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	268	0
Olfr259	39.578947	0	0	0	0	0	0	0	522	230	0	0	0	0	0	0	0	0	0	0	0
Mbip	38.473684	0	0	0	0	0	0	0	586	145	0	0	0	0	0	0	0	0	0	0	0
Dnah11	38.473684	0	0	0	0	0	0	0	467	264	0	0	0	0	0	0	0	0	0	0	0
B4galnt1	38.052632	0	0	0	0	0	0	0	508	215	0	0	0	0	0	0	0	0	0	0	0
Fhl1	37.736842	0	0	0	0	0	0	0	510	207	0	0	0	0	0	0	0	0	0	0	0
Acer3	37.526316	0	0	0	0	0	0	0	560	153	0	0	0	0	0	0	0	0	0	0	0
Dux	37.421053	0	0	0	0	0	0	0	596	0	115	0	0	0	0	0	0	0	0	0	0
Inpp1	36.894737	0	0	0	0	0	0	0	499	202	0	0	0	0	0	0	0	0	0	0	0
Gm5458	36.842105	0	0	0	0	0	0	0	515	185	0	0	0	0	0	0	0	0	0	0	0
Sacm1l	36.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	357	202	0
Trim41	36.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	319	183	0
1700001F09Rik	35.842105	0	0	0	0	0	0	0	550	131	0	0	0	0	0	0	0	0	0	0	0
Ryk	35.578947	0	0	0	0	0	0	0	535	141	0	0	0	0	0	0	0	0	0	0	0
Cpa6	35.368421	0	0	0	0	0	0	0	524	148	0	0	0	0	0	0	0	0	0	0	0
Cers4	35.368421	0	0	0	0	0	0	0	449	223	0	0	0	0	0	0	0	0	0	0	0
Zmpste24	35.210526	0	0	0	0	0	0	0	543	126	0	0	0	0	0	0	0	0	0	0	0
Olfr211	35.210526	0	0	0	0	0	0	0	461	208	0	0	0	0	0	0	0	0	0	0	0
Lta4h	35.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	403	154	0
Ctnna3	35.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	458	127	0
Aass	35.210526	0	0	0	0	0	0	0	520	149	0	0	0	0	0	0	0	0	0	0	0
Olfr307	35.157895	0	0	0	0	0	0	0	473	195	0	0	0	0	0	0	0	0	0	0	0
Myh15	35.052632	0	0	0	0	0	0	0	445	221	0	0	0	0	0	0	0	0	0	0	0
Lce3f	35.052632	0	0	0	0	0	0	0	465	201	0	0	0	0	0	0	0	0	0	0	0
Rnase4	34.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	130	290	137	0
Ang	34.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	130	290	137	0
Gpr75	34.578947	0	0	0	0	0	0	0	436	221	0	0	0	0	0	0	0	0	0	0	0
Neu2	34.315789	0	0	0	0	0	0	0	402	250	0	0	0	0	0	0	0	0	0	0	0
Tmem225	34.000000	0	0	0	0	0	0	0	498	148	0	0	0	0	0	0	0	0	0	0	0
Csnka2ip	34.000000	0	0	0	0	0	0	0	379	267	0	0	0	0	0	0	0	0	0	0	0
Rab34	33.947368	0	0	159	0	0	286	0	0	0	200	0	0	0	0	0	0	0	0	0	0
Proca1	33.947368	0	0	159	0	0	286	0	0	0	200	0	0	0	0	0	0	0	0	0	0
Adra1a	33.789474	0	0	0	0	0	0	0	410	232	0	0	0	0	0	0	0	0	0	0	0
Atg16l1	33.578947	0	0	0	0	0	0	0	379	259	0	0	0	0	0	0	0	0	0	0	0
9530002B09Rik	33.578947	0	0	0	0	0	0	0	450	188	0	0	0	0	0	0	0	0	0	0	0
Frem3	33.473684	0	0	0	0	0	0	0	488	148	0	0	0	0	0	0	0	0	0	0	0
Prokr1	33.421053	0	0	0	0	0	0	0	449	186	0	0	0	0	0	0	0	0	0	0	0
Fut10	33.315789	0	0	0	0	0	0	0	485	148	0	0	0	0	0	0	0	0	0	0	0
Ift57	33.263158	0	0	0	0	0	0	0	444	188	0	0	0	0	0	0	0	0	0	0	0
Defb13	33.052632	0	0	0	0	0	0	0	368	260	0	0	0	0	0	0	0	0	0	0	0
Rfpl4	32.736842	0	0	0	0	0	0	0	382	240	0	0	0	0	0	0	0	0	0	0	0
Gdpd4	32.473684	0	0	0	0	0	0	0	397	220	0	0	0	0	0	0	0	0	0	0	0
Lasp1	32.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	309	179	0
Mtx2	32.368421	0	0	0	0	0	0	0	510	105	0	0	0	0	0	0	0	0	0	0	0
Acp6	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	268	0
Zfp263	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	190	0	0	181	0
Gm11559	32.052632	0	0	0	0	0	0	0	447	162	0	0	0	0	0	0	0	0	0	0	0
Ppp6r3	32.000000	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	398	0	0
Adam4	32.000000	0	0	0	0	0	0	0	408	200	0	0	0	0	0	0	0	0	0	0	0
Stac	31.736842	0	0	0	0	0	0	0	419	184	0	0	0	0	0	0	0	0	0	0	0
Mpl	31.736842	0	0	0	0	0	0	0	386	217	0	0	0	0	0	0	0	0	0	0	0
Tprkb	31.526316	0	0	0	0	0	0	0	432	167	0	0	0	0	0	0	0	0	0	0	0
Nat8f1	31.526316	0	0	0	0	0	0	0	432	167	0	0	0	0	0	0	0	0	0	0	0
Timm8a1	31.315789	0	0	0	0	0	0	0	480	115	0	0	0	0	0	0	0	0	0	0	0
Smu1	31.157895	0	0	0	0	0	0	0	418	174	0	0	0	0	0	0	0	0	0	0	0
Kctd18	31.105263	0	0	0	0	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0
Zfp819	31.000000	0	0	0	0	0	0	0	426	163	0	0	0	0	0	0	0	0	0	0	0
Ubqln2	30.894737	0	0	0	0	0	0	0	460	127	0	0	0	0	0	0	0	0	0	0	0
Ndufs4	30.894737	0	0	0	0	0	0	0	370	217	0	0	0	0	0	0	0	0	0	0	0
Hecw1	30.894737	0	0	0	0	0	0	0	230	148	0	0	0	0	0	0	0	0	0	209	0
Foxi2	30.842105	0	0	0	0	0	0	0	391	195	0	0	0	0	0	0	0	0	0	0	0
Dock9	30.842105	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0
Spertl	30.789474	0	0	0	0	0	0	0	414	171	0	0	0	0	0	0	0	0	0	0	0
Sypl	30.578947	0	0	0	0	0	0	0	436	145	0	0	0	0	0	0	0	0	0	0	0
Polg	30.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	102	0
Macir	30.526316	0	0	0	0	0	0	0	421	159	0	0	0	0	0	0	0	0	0	0	0
Htatsf1	30.473684	0	0	0	0	0	0	0	438	141	0	0	0	0	0	0	0	0	0	0	0
Olfr365	30.421053	0	0	0	0	0	0	0	454	124	0	0	0	0	0	0	0	0	0	0	0
Olfr1145	30.315789	0	0	0	0	0	0	0	461	115	0	0	0	0	0	0	0	0	0	0	0
Cyp3a13	30.315789	0	0	0	0	0	0	0	413	163	0	0	0	0	0	0	0	0	0	0	0
Vmn1r229	30.263158	0	0	0	0	0	0	0	449	126	0	0	0	0	0	0	0	0	0	0	0
Zfp746	30.210526	0	0	0	0	0	0	0	391	183	0	0	0	0	0	0	0	0	0	0	0
Zeb2	30.157895	0	0	0	0	0	0	0	573	0	0	0	0	0	0	0	0	0	0	0	0
Brms1	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	344	102	0
B4gat1	30.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	344	102	0
Gpatch2l	30.052632	0	0	0	0	0	0	0	432	139	0	0	0	0	0	0	0	0	0	0	0
Ddx1	29.894737	0	0	0	0	0	0	0	260	115	193	0	0	0	0	0	0	0	0	0	0
Ifng	29.842105	0	0	0	0	0	0	0	346	221	0	0	0	0	0	0	0	0	0	0	0
Aurkb	29.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	313	139	0
Olfr571	29.684211	0	0	0	0	0	0	0	449	115	0	0	0	0	0	0	0	0	0	0	0
Vmn2r95	29.526316	0	0	0	0	0	0	0	377	184	0	0	0	0	0	0	0	0	0	0	0
Krtap1-4	29.263158	0	0	0	0	0	0	0	376	180	0	0	0	0	0	0	0	0	0	0	0
Krtap1-3	29.263158	0	0	0	0	0	0	0	376	180	0	0	0	0	0	0	0	0	0	0	0
Eapp	29.210526	0	0	0	0	0	0	0	145	87	0	0	0	0	0	0	0	0	192	131	0
Cfap126	29.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	306	102	0
Rnf38	29.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	188	208	0	0
Ngef	29.105263	0	0	0	0	0	0	0	303	250	0	0	0	0	0	0	0	0	0	0	0
Vmn1r14	29.052632	0	0	0	0	0	0	0	353	199	0	0	0	0	0	0	0	0	0	0	0
Ascl2	29.052632	0	0	0	0	0	0	0	426	126	0	0	0	0	0	0	0	0	0	0	0
Ccr3	29.000000	0	0	0	0	0	0	0	414	137	0	0	0	0	0	0	0	0	0	0	0
Pdcd1lg2	28.736842	0	0	0	0	0	0	0	399	147	0	0	0	0	0	0	0	0	0	0	0
Usp28	28.631579	0	0	0	0	0	0	0	356	188	0	0	0	0	0	0	0	0	0	0	0
Trmt10a	28.631579	0	0	0	0	0	0	0	407	137	0	0	0	0	0	0	0	0	0	0	0
Mttp	28.631579	0	0	0	0	0	0	0	407	137	0	0	0	0	0	0	0	0	0	0	0
D830030K20Rik	28.526316	0	0	0	0	0	0	0	389	153	0	0	0	0	0	0	0	0	0	0	0
Aadacl2fm3	28.526316	0	0	0	0	0	0	0	388	154	0	0	0	0	0	0	0	0	0	0	0
Olfr771	28.315789	0	0	0	0	0	0	0	391	147	0	0	0	0	0	0	0	0	0	0	0
Ctsh	28.210526	0	0	0	0	0	0	0	348	188	0	0	0	0	0	0	0	0	0	0	0
Scaf8	28.105263	0	0	0	0	0	0	0	344	190	0	0	0	0	0	0	0	0	0	0	0
Gm14459	28.105263	0	0	0	0	0	0	0	287	247	0	0	0	0	0	0	0	0	0	0	0
Zfp982	27.894737	0	0	0	0	0	0	0	421	109	0	0	0	0	0	0	0	0	0	0	0
Vmn2r4	27.842105	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	185	181	0
Alms1	27.842105	0	0	0	0	0	0	0	385	144	0	0	0	0	0	0	0	0	0	0	0
Cryga	27.789474	0	0	0	0	0	0	0	365	163	0	0	0	0	0	0	0	0	0	0	0
Olfr338	27.736842	0	0	0	0	0	0	0	390	137	0	0	0	0	0	0	0	0	0	0	0
Sugt1	27.473684	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0
Olfr549	27.263158	0	0	0	0	0	0	0	375	143	0	0	0	0	0	0	0	0	0	0	0
Gm20909	27.263158	0	0	0	0	0	0	0	379	139	0	0	0	0	0	0	0	0	0	0	0
Gm20747	27.263158	0	0	0	0	0	0	0	379	139	0	0	0	0	0	0	0	0	0	0	0
Defb50	27.263158	0	0	0	0	0	0	0	325	193	0	0	0	0	0	0	0	0	0	0	0
Crebzf	27.263158	0	0	0	0	0	313	0	0	0	0	0	0	0	0	205	0	0	0	0	0
Nfya	27.210526	0	0	0	0	0	0	0	391	126	0	0	0	0	0	0	0	0	0	0	0
Mrpl44	27.210526	0	0	0	0	0	0	0	346	171	0	0	0	0	0	0	0	0	0	0	0
Iqschfp	27.052632	0	0	0	0	0	0	0	313	201	0	0	0	0	0	0	0	0	0	0	0
Iqcj	27.052632	0	0	0	0	0	0	0	313	201	0	0	0	0	0	0	0	0	0	0	0
Eola1	27.052632	0	0	0	0	0	0	0	338	176	0	0	0	0	0	0	0	0	0	0	0
Apol7a	27.052632	0	0	0	0	0	0	0	325	189	0	0	0	0	0	0	0	0	0	0	0
Slc30a6	26.842105	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0
Col3a1	26.842105	0	0	0	0	0	0	0	364	146	0	0	0	0	0	0	0	0	0	0	0
Gprc6a	26.789474	0	0	0	0	0	0	0	346	163	0	0	0	0	0	0	0	0	0	0	0
Upk2	26.736842	0	0	0	0	0	0	0	313	195	0	0	0	0	0	0	0	0	0	0	0
Sun3	26.684211	0	0	0	0	0	0	0	352	155	0	0	0	0	0	0	0	0	0	0	0
Slc6a20b	26.684211	0	0	0	0	0	0	0	324	183	0	0	0	0	0	0	0	0	0	0	0
Gm12657	26.684211	0	0	0	0	0	0	0	331	176	0	0	0	0	0	0	0	0	0	0	0
Gm11992	26.684211	0	0	0	0	0	0	0	352	155	0	0	0	0	0	0	0	0	0	0	0
Thap7	26.631579	0	0	0	0	0	0	0	358	148	0	0	0	0	0	0	0	0	0	0	0
Ocrl	26.631579	0	0	0	0	0	0	0	346	160	0	0	0	0	0	0	0	0	0	0	0
Zfp978	26.578947	0	0	0	0	0	0	0	372	133	0	0	0	0	0	0	0	0	0	0	0
Pld1	26.578947	0	0	0	0	0	0	0	383	122	0	0	0	0	0	0	0	0	0	0	0
Dpp6	26.578947	0	0	0	0	0	0	0	368	137	0	0	0	0	0	0	0	0	0	0	0
Kidins220	26.473684	0	0	0	0	0	0	0	358	145	0	0	0	0	0	0	0	0	0	0	0
Sspn	26.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	161	0	88	154	0
Adamts15	26.368421	0	0	0	0	0	0	0	368	133	0	0	0	0	0	0	0	0	0	0	0
Olfr993	26.263158	0	0	0	0	0	0	0	324	175	0	0	0	0	0	0	0	0	0	0	0
Lypd8	26.263158	0	0	0	0	0	0	0	347	152	0	0	0	0	0	0	0	0	0	0	0
Galnt5	26.263158	0	0	0	0	0	0	0	357	142	0	0	0	0	0	0	0	0	0	0	0
Cdc5l	26.263158	0	0	0	0	0	0	0	344	155	0	0	0	0	0	0	0	0	0	0	0
Xcr1	26.210526	0	0	0	0	0	0	0	324	174	0	0	0	0	0	0	0	0	0	0	0
4930522H14Rik	26.210526	0	0	0	0	0	0	0	316	182	0	0	0	0	0	0	0	0	0	0	0
Sp110	26.105263	0	0	0	0	0	0	0	496	0	0	0	0	0	0	0	0	0	0	0	0
Gm12888	26.105263	0	0	0	0	0	0	0	335	161	0	0	0	0	0	0	0	0	0	0	0
Dnase2b	26.105263	0	0	0	0	0	0	0	337	159	0	0	0	0	0	0	0	0	0	0	0
Cast	26.052632	0	0	0	0	0	0	0	335	160	0	0	0	0	0	0	0	0	0	0	0
Ak4	26.052632	0	0	0	0	0	0	0	347	148	0	0	0	0	0	0	0	0	0	0	0
Gm5150	26.000000	0	0	0	0	0	0	0	357	137	0	0	0	0	0	0	0	0	0	0	0
Imp4	25.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0
Ccdc115	25.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0
Serpina3j	25.842105	0	0	0	0	0	0	0	243	248	0	0	0	0	0	0	0	0	0	0	0
Zbtb33	25.789474	0	0	0	0	0	0	0	310	180	0	0	0	0	0	0	0	0	0	0	0
Acot4	25.789474	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0
Kpna3	25.736842	0	0	0	0	0	0	0	329	160	0	0	0	0	0	0	0	0	0	0	0
Pramel26	25.631579	0	0	0	0	0	0	0	347	140	0	0	0	0	0	0	0	0	0	0	0
Marveld3	25.631579	0	0	0	0	0	0	0	330	157	0	0	0	0	0	0	0	0	0	0	0
2310034C09Rik	25.631579	0	0	0	0	0	0	0	392	95	0	0	0	0	0	0	0	0	0	0	0
Ugp2	25.526316	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0
Smim23	25.526316	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	0	0	0
Oprl1	25.473684	0	0	0	0	0	0	0	379	105	0	0	0	0	0	0	0	0	0	0	0
Olfr742	25.473684	0	0	0	0	0	0	0	324	160	0	0	0	0	0	0	0	0	0	0	0
H4c8	25.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	246	106	0
H2ac10	25.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	246	106	0
Gbp6	25.473684	0	154	153	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2b13	25.473684	0	0	0	0	0	0	0	379	105	0	0	0	0	0	0	0	0	0	0	0
Awat2	25.473684	0	0	0	0	0	0	0	379	105	0	0	0	0	0	0	0	0	0	0	0
Olfr430	25.421053	0	0	0	0	0	0	0	318	165	0	0	0	0	0	0	0	0	0	0	0
Lrrc17	25.421053	0	0	0	0	0	0	0	346	137	0	0	0	0	0	0	0	0	0	0	0
Stbd1	25.315789	0	0	0	0	0	0	0	345	136	0	0	0	0	0	0	0	0	0	0	0
Rcn2	25.263158	0	0	0	0	0	0	0	352	128	0	0	0	0	0	0	0	0	0	0	0
Clec2h	25.105263	0	0	0	0	0	0	0	319	158	0	0	0	0	0	0	0	0	0	0	0
Btn1a1	25.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	306	0	0
Synj2	25.000000	0	0	0	0	0	0	0	370	105	0	0	0	0	0	0	0	0	0	0	0
Prdx6b	24.947368	0	0	0	0	0	0	0	339	135	0	0	0	0	0	0	0	0	0	0	0
P2ry2	24.894737	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0
Fmo2	24.894737	0	0	0	0	0	0	0	313	160	0	0	0	0	0	0	0	0	0	0	0
Plcg1	24.842105	0	0	0	0	0	0	0	324	148	0	0	0	0	0	0	0	0	0	0	0
Hacd1	24.842105	0	0	0	0	0	0	0	346	126	0	0	0	0	0	0	0	0	0	0	0
Adam24	24.842105	0	0	0	0	0	0	0	324	148	0	0	0	0	0	0	0	0	0	0	0
Acad11	24.789474	0	0	0	0	0	0	0	319	152	0	0	0	0	0	0	0	0	0	0	0
Prf1	24.736842	0	0	0	0	0	0	0	313	157	0	0	0	0	0	0	0	0	0	0	0
Sde2	24.684211	0	0	0	0	0	0	0	338	131	0	0	0	0	0	0	0	0	0	0	0
Rhob	24.631579	0	0	0	0	0	0	0	335	133	0	0	0	0	0	0	0	0	0	0	0
Pik3c2a	24.631579	0	0	0	0	0	0	0	260	208	0	0	0	0	0	0	0	0	0	0	0
Gm14625	24.631579	0	0	0	0	0	0	0	374	94	0	0	0	0	0	0	0	0	0	0	0
Rnase1	24.578947	0	0	0	0	0	0	0	271	196	0	0	0	0	0	0	0	0	0	0	0
Vmn2r57	24.421053	0	0	0	0	0	0	0	281	183	0	0	0	0	0	0	0	0	0	0	0
Gtdc1	24.368421	0	0	0	0	0	128	0	335	0	0	0	0	0	0	0	0	0	0	0	0
Crp	24.368421	0	0	0	0	0	0	0	285	178	0	0	0	0	0	0	0	0	0	0	0
Gm20172	24.315789	0	0	0	0	0	0	0	281	181	0	0	0	0	0	0	0	0	0	0	0
Trim30a	24.263158	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0
Trpc5os	24.210526	0	0	0	0	0	0	0	291	169	0	0	0	0	0	0	0	0	0	0	0
Rnf103	24.210526	0	0	0	0	0	0	0	293	167	0	0	0	0	0	0	0	0	0	0	0
Rexo5	24.157895	0	0	0	0	0	0	0	311	148	0	0	0	0	0	0	0	0	0	0	0
Olfr1261	24.157895	0	0	0	0	0	0	0	270	189	0	0	0	0	0	0	0	0	0	0	0
