Target_genes	Stat5b|Average	SRX3067395|CD4+_T_cells	SRX3067396|CD4+_T_cells	SRX3067405|CD4+_T_cells	SRX3067406|CD4+_T_cells	SRX3067407|CD4+_T_cells	SRX3067408|CD4+_T_cells	SRX3067401|CD8+_T_cells	SRX3067402|CD8+_T_cells	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	SRX041284|T_cells	SRX041285|T_cells	SRX132013|T_cells	SRX132016|T_cells	SRX132019|T_cells	SRX132022|T_cells	STRING
Mzt2	610.448276	0	1106	1552	1869	1947	1448	0	238	0	1854	1814	324	227	0	419	0	108	900	1178	0	201	1065	232	0	0	0	1057	0	164	0
Flt3l	605.000000	0	1025	1970	2163	1934	1535	0	493	0	834	593	0	0	0	1193	0	500	1241	730	0	284	1338	571	0	0	0	868	0	273	0
Mllt6	598.275862	0	1052	1518	2333	1607	2489	0	251	0	1067	881	0	0	0	921	0	583	566	1050	0	258	622	0	0	0	0	1588	0	564	0
H1f6	593.172414	0	1069	1506	207	1564	321	0	259	0	1853	1476	1329	841	0	1096	0	315	407	2074	0	0	1666	134	0	0	0	435	0	650	0
Cldn34d	572.793103	311	243	1195	253	1486	519	289	423	297	953	727	1684	1741	631	1284	372	1031	0	208	227	511	1141	0	0	265	250	202	200	168	0
Zfp398	569.000000	0	1211	1790	2020	2070	1736	0	233	0	1356	961	0	133	0	420	0	138	976	802	0	145	887	274	0	0	0	1129	0	220	0
Zfp786	564.000000	0	1211	1790	2020	2070	1736	0	233	0	1356	961	0	133	0	420	0	138	976	802	0	0	887	274	0	0	0	1129	0	220	0
Aldh18a1	559.344828	0	1027	1895	1349	1829	645	0	413	0	1823	1530	297	163	0	692	0	494	812	1146	0	162	1023	328	0	0	0	332	0	261	0
Nek7	554.689655	0	969	1853	137	2179	358	0	170	0	1912	1530	0	0	0	1259	0	1496	637	1101	0	0	1400	0	0	0	0	737	0	348	0
Katnb1	551.241379	0	1391	944	1001	1515	650	0	354	0	1467	1301	0	0	0	791	0	1821	699	1195	0	0	1532	472	0	0	0	359	86	408	0
Irf2	546.000000	0	487	1053	1621	1333	1398	0	0	0	1552	1246	722	600	0	967	84	1671	622	619	0	0	412	158	0	0	0	574	323	392	0
Lrrc8c	541.724138	0	1764	1402	105	1734	231	0	594	0	1871	1856	0	0	0	1350	0	1115	523	848	0	0	1804	0	0	0	0	351	0	162	0
Zfp652	531.896552	0	925	1960	661	2114	156	0	312	0	539	290	631	300	0	1935	0	1393	613	804	0	0	1540	267	0	0	0	413	152	420	0
Ptpn2	527.482759	0	2092	2187	355	2177	915	0	746	0	623	320	137	0	0	1230	0	420	148	1194	0	165	2130	0	0	0	0	314	0	144	0
Tfpt	526.896552	0	1174	1714	873	1849	224	0	311	0	1992	1373	350	312	0	676	0	1169	454	581	0	130	898	250	0	0	0	678	0	272	0
Prpf31	526.896552	0	1174	1714	873	1849	224	0	311	0	1992	1373	350	312	0	676	0	1169	454	581	0	130	898	250	0	0	0	678	0	272	0
Pilrb1	525.034483	0	1029	1350	643	1526	0	0	102	0	1764	1528	316	198	0	1045	0	1570	765	796	0	0	501	0	0	0	0	999	319	775	0
Lta4h	520.758621	0	1560	1540	339	1843	262	0	160	0	1752	1450	0	0	0	1975	0	1815	269	605	0	0	578	119	0	0	0	474	0	361	0
Nsd3	519.379310	0	1389	1255	242	1523	216	0	256	0	1813	1985	112	0	0	884	0	1331	594	592	0	187	1189	115	0	0	0	825	149	405	0
Letm2	519.379310	0	1389	1255	242	1523	216	0	256	0	1813	1985	112	0	0	884	0	1331	594	592	0	187	1189	115	0	0	0	825	149	405	0
Prkcq	515.448276	0	1147	1989	601	2111	682	0	482	0	355	144	0	0	0	1194	0	444	667	1107	0	322	2133	371	0	0	0	749	0	450	0
Il4ra	515.206897	0	1158	1633	1621	1579	855	0	278	0	1594	1588	0	0	0	462	0	214	1124	736	0	0	527	185	0	0	0	1050	0	337	0
Ppm1k	513.000000	0	1088	1098	510	1442	153	0	218	0	1641	1294	428	636	0	1756	0	2258	388	691	0	0	633	0	0	0	0	223	134	286	0
Psmd3	506.862069	0	975	1524	794	1583	458	0	254	0	2111	1808	306	312	0	360	0	721	336	909	0	113	785	166	0	0	0	775	0	409	0
Adck1	487.965517	0	791	1116	1460	1277	1165	0	176	0	1506	1154	170	150	0	549	0	1285	521	688	0	140	624	164	0	0	0	615	128	472	0
Tgfb1	487.241379	0	1328	1592	508	1771	438	0	271	0	2070	2211	0	0	0	549	0	0	536	1036	0	0	993	269	0	0	0	558	0	0	0
B9d2	487.241379	0	1328	1592	508	1771	438	0	271	0	2070	2211	0	0	0	549	0	0	536	1036	0	0	993	269	0	0	0	558	0	0	0
Mgat4a	485.724138	0	1990	2084	862	2273	372	0	348	0	309	195	0	0	0	1103	0	1224	299	906	0	0	1259	0	0	0	0	525	0	337	0
Kbtbd3	484.931034	0	908	1457	1466	1641	785	0	150	0	1519	1442	216	114	0	631	0	259	918	732	0	0	890	183	0	0	0	617	0	135	0
Aasdhppt	484.931034	0	908	1457	1466	1641	785	0	150	0	1519	1442	216	114	0	631	0	259	918	732	0	0	890	183	0	0	0	617	0	135	0
Cnot4	477.931034	0	551	2019	998	2405	462	0	467	0	1492	1031	0	0	0	782	0	313	305	679	0	143	1477	164	0	0	0	351	0	221	0
Kpna1	475.137931	737	510	936	287	975	369	0	202	251	410	405	1450	1532	636	756	629	618	697	376	0	0	503	489	0	0	212	306	250	243	0
Rhoh	474.482759	0	1113	1598	488	1858	292	0	157	0	2089	1664	0	0	0	547	0	1313	557	244	0	0	857	0	0	0	0	448	153	382	0
Crem	473.103448	0	537	1439	318	1737	187	0	245	0	2084	1621	258	130	0	847	0	1553	470	679	0	0	935	0	0	0	0	423	0	257	0
Casp8	471.620690	0	1131	1650	432	1759	300	0	221	0	1103	822	0	0	0	1377	98	1666	535	864	0	0	1163	0	0	0	0	320	0	236	0
Gtf2a2	469.689655	0	528	911	1625	1061	931	0	0	0	1369	845	305	258	0	578	172	1581	660	545	0	0	288	218	0	0	0	823	319	604	0
Ergic2	464.965517	0	797	1428	1464	1534	860	0	0	0	1418	1432	270	258	0	579	0	468	480	459	0	122	649	143	0	0	0	725	0	398	0
Arid5a	463.931034	0	540	1028	1829	1154	1814	0	456	0	1602	1422	417	0	0	213	0	351	548	139	0	0	232	0	0	0	0	1140	150	419	0
Atp11b	462.344828	0	1471	1311	303	1475	281	0	443	0	1612	1666	0	0	0	863	0	930	594	619	0	195	1179	0	0	0	0	287	0	179	0
Zfp58	459.655172	0	672	1375	260	1604	155	0	0	0	1817	1184	173	0	0	967	0	1669	404	1030	0	100	855	249	0	0	0	461	0	355	0
Ccnd3	456.689655	0	882	1369	899	1526	243	0	166	0	1741	1247	123	0	0	1332	0	1054	508	307	0	0	376	169	0	0	0	891	0	411	0
Cetn4	449.206897	0	1225	1689	95	2098	510	0	286	0	2050	1745	0	0	0	205	0	0	364	403	0	0	1506	0	0	0	0	553	0	298	0
Bbs12	449.206897	0	1225	1689	95	2098	510	0	286	0	2050	1745	0	0	0	205	0	0	364	403	0	0	1506	0	0	0	0	553	0	298	0
Nup153	449.103448	0	417	957	1173	881	485	0	133	0	1526	1079	160	123	0	1050	0	1633	497	764	0	0	485	231	0	0	0	674	147	609	0
Phc3	445.172414	0	1210	1540	315	1908	459	0	767	0	0	0	1122	756	0	0	0	171	290	1142	0	237	1944	136	0	0	0	589	0	324	0
Ezh2	444.965517	0	1648	1583	184	2009	670	0	905	0	1391	1043	0	0	0	0	0	0	232	1345	0	0	1728	0	0	0	0	166	0	0	0
Il10ra	443.896552	0	854	2002	932	2141	340	0	479	0	1586	1422	0	0	0	0	0	0	506	500	0	174	1139	0	0	0	0	439	0	359	0
Zfp36	439.068966	0	559	1181	1467	1249	1526	0	197	0	665	583	139	0	0	708	0	1386	449	565	0	0	436	264	0	0	0	689	157	513	0
Fam71b	427.068966	0	947	1905	291	2069	750	0	305	0	467	281	0	0	0	142	0	0	589	1163	0	318	1613	145	0	0	0	803	0	597	0
Golga7	426.448276	0	557	1048	79	1331	0	0	114	0	1520	1045	0	0	0	2187	0	2459	232	598	0	0	410	0	0	0	0	470	0	317	0
Il7r	423.241379	0	875	1295	803	1707	1177	0	994	0	970	754	0	0	0	0	0	0	321	510	0	159	2141	210	0	0	0	358	0	0	0
Igtp	414.896552	0	1124	1630	982	1745	499	0	188	0	1104	621	0	0	0	363	0	838	626	264	0	0	589	132	0	0	0	760	231	336	0
Zfp983	414.827586	0	521	1133	0	1305	163	0	323	0	1503	1241	0	0	0	1738	0	1340	392	1011	0	0	988	202	0	0	0	170	0	0	0
Il18rap	409.965517	0	1373	1383	225	1865	262	0	239	0	2103	1986	435	252	0	0	0	0	236	308	0	0	680	0	0	0	0	375	0	167	0
Tctex1d1	407.862069	0	1500	1683	1516	1801	348	0	714	0	0	0	0	0	0	0	0	0	831	832	0	0	1638	217	0	0	0	600	0	148	0
Osm	406.586207	0	783	1306	1786	1399	1969	0	273	0	397	399	0	0	0	846	0	270	666	418	0	0	306	143	0	0	0	612	0	218	0
Tars	404.206897	0	1277	996	455	1795	165	0	0	0	1777	1246	194	114	0	204	0	762	652	204	0	0	614	0	0	0	0	712	155	400	0
Sspn	398.137931	494	500	548	536	582	317	239	171	0	200	168	2062	1852	406	366	310	398	529	341	0	529	177	555	0	0	0	146	120	0	0
Rnasel	396.413793	0	1153	1232	968	1540	441	0	243	0	1333	1010	221	103	0	113	0	233	465	618	0	0	718	165	0	0	0	644	0	296	0
Bcl2l1	393.137931	0	539	1502	1292	1681	328	0	235	0	1354	1097	0	0	0	304	0	577	380	444	0	216	664	227	0	0	0	369	0	192	0
Them4	392.103448	0	497	881	1207	1258	1006	0	0	0	707	459	128	241	0	392	0	1759	476	536	0	0	253	0	0	0	0	551	164	856	0
Nup160	386.827586	0	883	943	1532	1455	1359	0	0	0	1102	1063	0	0	0	214	0	0	671	597	0	0	444	0	0	0	0	832	0	123	0
Ifi35	385.655172	0	636	1306	848	1507	237	0	207	0	1814	1346	103	175	0	147	0	137	612	241	0	0	683	159	0	0	0	687	0	339	0
Spata5	384.862069	0	723	743	1285	1140	1030	0	186	0	797	606	0	0	0	949	0	1015	336	297	0	0	325	0	0	0	0	1084	131	514	0
Nudt6	384.862069	0	723	743	1285	1140	1030	0	186	0	797	606	0	0	0	949	0	1015	336	297	0	0	325	0	0	0	0	1084	131	514	0
Tnfrsf18	384.586207	0	1072	1688	872	1688	259	0	252	0	1049	603	0	0	0	118	0	0	417	724	0	0	1406	197	0	0	0	543	0	265	0
Etv3	384.448276	0	1368	1773	368	2055	361	0	280	0	1341	904	0	0	0	383	0	379	269	170	0	0	656	0	0	0	0	497	0	345	0
Sh3bp5	382.517241	0	1061	1902	334	2123	382	0	431	0	0	0	822	363	0	0	0	0	316	899	0	183	1537	200	0	0	0	305	0	235	0
Nfkbiz	377.275862	0	700	1263	214	1680	402	0	425	0	1802	1341	143	0	0	310	0	0	300	577	0	291	1033	0	0	0	0	352	0	108	0
Usp39	376.034483	0	930	784	83	1171	0	0	193	0	2014	1673	0	0	0	578	0	1045	363	794	0	0	1114	0	0	0	0	163	0	0	0
0610030E20Rik	376.034483	0	930	784	83	1171	0	0	193	0	2014	1673	0	0	0	578	0	1045	363	794	0	0	1114	0	0	0	0	163	0	0	0
Lrrc3c	373.758621	0	1167	1970	319	2169	391	0	248	0	0	0	0	0	0	0	0	0	821	1519	0	0	1511	0	0	0	0	513	0	211	0
Zscan12	371.689655	0	1746	2102	1284	2333	581	0	242	0	0	0	0	0	0	0	0	0	467	182	0	0	592	0	0	0	0	1127	0	123	0
Cxcl10	365.482759	0	664	1081	1106	1115	437	0	343	0	1838	1717	0	0	0	145	0	257	581	157	0	0	401	0	0	0	0	491	0	266	0
Mrpl30	365.448276	0	504	405	1206	1131	948	0	141	0	1149	1242	212	214	0	464	0	370	550	549	0	0	566	178	0	0	0	492	0	277	0
Mitd1	365.448276	0	504	405	1206	1131	948	0	141	0	1149	1242	212	214	0	464	0	370	550	549	0	0	566	178	0	0	0	492	0	277	0
Zbp1	363.241379	0	346	1455	1157	1770	500	0	129	0	1190	709	503	169	0	132	0	410	296	356	0	0	783	0	0	0	0	226	136	267	0
Sema4a	362.896552	0	559	991	522	1236	151	0	211	0	1296	1002	0	0	0	826	0	669	422	642	0	187	559	200	0	0	0	508	135	408	0
Irf9	362.275862	0	811	851	660	1122	125	0	114	0	984	774	445	228	0	405	0	609	426	816	0	0	635	197	0	0	0	1016	0	288	0
Irgm2	361.620690	0	826	1288	982	1283	587	0	0	0	883	551	318	158	0	611	0	1118	477	0	0	0	318	0	0	0	0	525	145	417	0
Kmo	359.379310	0	1220	931	116	1413	210	0	487	0	1784	1797	0	0	0	0	0	0	0	332	0	0	1517	0	0	0	0	480	0	135	0
Tmem125	357.655172	162	94	775	1063	961	462	231	326	129	263	325	526	508	323	818	437	838	0	203	273	498	628	438	0	0	91	0	0	0	0
Mettl25	357.413793	0	413	895	1053	1065	824	0	0	0	905	704	0	0	0	565	0	1230	415	437	0	0	370	135	0	0	0	600	143	611	0
Ccdc59	357.413793	0	413	895	1053	1065	824	0	0	0	905	704	0	0	0	565	0	1230	415	437	0	0	370	135	0	0	0	600	143	611	0
Il31ra	354.620690	328	239	804	561	928	236	162	205	0	348	155	1190	1213	681	533	782	587	289	0	0	0	385	574	0	0	0	84	0	0	0
Parp2	353.827586	0	384	1780	147	2001	220	0	324	0	1396	908	264	156	0	153	0	0	450	841	0	0	973	0	0	0	0	264	0	0	0
Ccnd2	353.310345	0	508	1133	1368	1096	1198	0	0	0	898	637	0	0	0	631	0	1179	448	285	0	0	90	0	0	0	0	389	0	386	0
Alpk2	351.206897	0	717	910	0	1080	0	0	172	0	1931	1791	0	0	0	269	0	0	259	790	0	201	1724	0	0	0	0	341	0	0	0
Car12	350.655172	0	1345	1512	78	1827	313	0	320	0	1184	923	0	0	0	0	0	0	685	415	0	0	1192	0	0	0	0	375	0	0	0
Jund	349.310345	0	521	940	661	267	937	0	110	0	893	640	168	0	0	1043	0	1387	0	205	0	0	225	0	0	0	0	1150	253	730	0
Bhlhe40	347.965517	0	563	845	1356	1018	1202	0	414	0	469	229	0	0	0	1014	0	1486	258	131	0	0	0	0	0	0	0	680	0	426	0
D16Ertd472e	347.655172	0	569	1275	174	1301	267	0	0	0	1507	1418	0	0	0	420	0	825	392	659	0	121	785	0	0	0	0	206	0	163	0
Tes	346.965517	0	320	1018	481	1282	286	0	505	0	2191	2012	0	0	0	0	0	0	142	362	0	0	1174	0	0	0	0	289	0	0	0
Il2ra	342.241379	0	985	1605	405	1637	316	0	247	0	716	578	0	0	0	459	0	0	306	966	0	0	1193	152	0	0	0	360	0	0	0
Olfr524	339.724138	0	860	1713	181	1950	283	0	192	0	0	0	0	0	0	786	0	976	352	412	0	0	836	257	0	0	0	508	225	321	0
Foxp1	338.862069	0	1052	1105	638	1343	435	0	310	0	673	493	0	0	0	291	0	455	310	542	0	114	1164	124	0	0	0	475	0	303	0
Magohb	337.862069	0	1257	1984	142	2145	436	0	261	0	0	0	0	0	0	791	0	298	177	941	0	0	1038	0	0	0	0	179	0	149	0
Mov10	337.034483	0	1747	1618	168	1895	560	0	411	0	299	0	0	0	0	0	0	0	516	957	0	0	1428	0	0	0	0	175	0	0	0
Emp1	335.724138	0	1025	1079	817	1262	402	0	0	0	1660	1294	0	0	0	96	0	108	408	387	0	0	751	0	0	0	0	259	0	188	0
1810037I17Rik	334.965517	0	234	967	1552	1267	1519	0	0	0	1047	723	0	0	0	554	0	351	490	525	0	0	0	0	0	0	0	358	0	127	0
Zfp455	334.586207	0	678	989	104	1142	166	0	0	0	1691	1119	128	0	0	513	0	906	349	623	0	0	636	0	0	0	0	389	0	270	0
Lpp	333.620690	0	563	1015	429	1165	340	0	0	0	1214	696	574	371	0	328	0	716	372	558	0	0	548	0	0	0	0	523	0	263	0
Zfp1	333.517241	0	873	1694	349	1857	420	0	418	0	300	230	388	733	0	0	0	0	355	195	0	127	1132	0	0	0	0	483	0	118	0
Vps37b	332.551724	0	267	600	0	694	101	0	160	0	1446	997	313	159	0	1479	154	1912	161	449	0	0	269	0	0	0	0	267	0	216	0
Il18bp	331.241379	0	520	969	524	1493	240	0	180	0	1261	1103	524	597	0	474	0	294	529	232	0	0	301	0	0	0	0	365	0	0	0
Gadd45g	328.931034	0	412	1180	1490	1418	1448	0	208	0	954	755	416	150	0	0	0	0	511	0	0	0	0	0	0	0	0	477	0	120	0
Zfp458	326.793103	0	620	1141	199	1136	0	0	0	0	1438	1077	0	0	0	526	0	1063	342	464	0	0	610	0	0	0	0	415	0	446	0
Zfp219	325.344828	0	938	1059	143	1457	154	0	184	0	1435	1364	0	0	0	0	0	0	380	936	0	0	916	0	0	0	0	469	0	0	0
Ltb4r1	324.655172	0	416	1902	0	2133	74	0	0	0	1698	1197	0	0	0	0	0	0	613	623	0	0	593	0	0	0	0	166	0	0	0
Sult5a1	324.413793	0	1105	1676	346	1880	266	0	292	0	0	0	0	0	0	491	0	493	0	957	0	0	882	183	0	0	0	471	0	366	0
Lsm4	320.689655	0	306	755	366	769	318	0	0	0	1064	720	0	132	0	914	0	1534	201	747	0	0	326	0	0	0	0	598	120	430	0
Pcgf5	320.586207	0	864	924	342	1198	165	0	230	0	1265	956	0	0	0	0	0	0	753	1356	0	0	890	0	0	0	0	197	0	157	0
Tial1	319.413793	0	648	1147	1177	1446	945	0	0	0	833	695	154	0	0	0	0	0	504	345	0	0	486	113	0	0	0	592	0	178	0
Jaml	316.517241	0	1981	808	84	965	130	0	133	0	1329	970	0	0	0	166	0	153	268	865	0	0	828	0	0	0	0	328	0	171	0
Rcan3	315.965517	0	771	1031	1305	1323	347	0	226	0	772	425	0	0	0	0	0	158	525	214	0	0	796	0	0	0	0	883	0	387	0
Rpusd4	315.310345	0	866	2137	139	2348	520	0	203	0	249	0	0	0	0	0	0	0	0	1067	0	0	1514	0	0	0	0	101	0	0	0
Fam118b	315.310345	0	866	2137	139	2348	520	0	203	0	249	0	0	0	0	0	0	0	0	1067	0	0	1514	0	0	0	0	101	0	0	0
Pan2	315.137931	0	748	885	836	1167	205	0	325	0	1351	1007	170	0	0	163	0	451	311	188	0	0	406	144	0	0	0	572	0	210	0
Gpr146	313.413793	0	309	799	785	748	964	0	0	0	685	718	0	81	0	623	0	897	362	485	0	0	251	0	0	0	0	699	162	521	0
Gm5544	311.724138	0	1339	691	140	1277	283	0	606	0	1059	695	0	0	0	0	0	0	232	714	0	0	1779	0	0	0	0	225	0	0	0
Junb	310.068966	0	646	563	843	846	853	0	0	0	739	427	153	366	0	460	0	1058	416	283	0	0	178	0	0	0	0	682	0	479	0
Togaram1	308.931034	0	368	740	288	900	126	0	0	0	1440	925	146	0	0	434	0	1112	438	482	0	0	498	266	0	0	0	509	0	287	0
Klhl28	308.931034	0	368	740	288	900	126	0	0	0	1440	925	146	0	0	434	0	1112	438	482	0	0	498	266	0	0	0	509	0	287	0
Tmem209	307.758621	0	496	1197	0	1551	185	0	0	0	1302	882	0	0	0	0	0	0	641	1084	0	0	1282	0	0	0	0	305	0	0	0
Ssmem1	307.758621	0	496	1197	0	1551	185	0	0	0	1302	882	0	0	0	0	0	0	641	1084	0	0	1282	0	0	0	0	305	0	0	0
Fbxo17	305.896552	0	509	1393	1324	1819	473	0	217	0	421	231	0	0	0	0	0	0	527	271	0	168	448	185	0	0	0	768	0	117	0
Nfx1	302.551724	0	978	1786	134	1915	260	0	132	0	980	744	0	0	0	0	0	0	184	306	0	0	1014	0	0	0	0	341	0	0	0
Dthd1	302.379310	0	1366	1262	93	1467	235	0	348	0	807	473	0	0	0	0	0	0	429	554	0	0	1253	0	0	0	0	329	0	153	0
Rpl28	301.689655	0	1010	1148	0	1325	166	0	0	0	1611	1138	0	0	0	237	0	201	326	703	0	0	651	0	0	0	0	233	0	0	0
Ppfibp2	301.689655	0	1059	409	0	597	0	0	106	0	1588	1383	0	0	0	226	0	620	242	239	0	0	712	246	0	0	0	644	214	464	0
Eef1aknmt	301.655172	0	453	785	1200	836	1163	0	0	0	1567	804	0	0	0	0	0	0	0	325	0	0	454	0	0	0	0	1015	0	146	0
Serpinb9	300.068966	0	787	1218	104	1672	291	0	133	0	1444	1152	0	0	0	269	0	171	0	345	0	0	864	0	0	0	0	252	0	0	0
Asmt	298.758621	0	84	708	181	859	0	203	116	127	283	255	761	768	492	522	707	592	118	332	215	468	494	379	0	0	0	0	0	0	0
Gm10130	298.689655	0	430	955	0	785	0	0	154	0	1250	1016	0	0	0	715	87	1070	0	804	0	201	1012	0	0	0	0	183	0	0	0
Phf5a	297.931034	0	660	793	126	1253	218	0	276	0	565	381	0	0	0	0	0	0	382	1888	0	0	2098	0	0	0	0	0	0	0	0
Aco2	297.931034	0	660	793	126	1253	218	0	276	0	565	381	0	0	0	0	0	0	382	1888	0	0	2098	0	0	0	0	0	0	0	0
Gimap5	294.241379	0	1057	682	493	1006	112	0	166	0	1076	900	0	0	0	197	0	107	216	837	0	0	1190	0	0	0	0	382	0	112	0
Kdsr	293.827586	0	891	1094	387	1532	278	0	207	0	749	679	247	0	0	107	0	0	417	708	0	0	808	0	0	0	0	268	0	149	0
Kif3b	292.275862	0	944	886	107	891	148	0	160	0	1442	1272	0	0	0	0	0	0	250	430	0	195	1283	0	0	0	0	291	0	177	0
Rraga	291.896552	0	859	513	564	926	312	0	0	0	837	760	0	0	0	433	0	957	464	372	0	134	331	0	0	0	0	495	134	374	0
Cnpy1	291.379310	0	1276	1837	0	2266	298	0	234	0	0	0	0	0	0	0	0	0	253	611	0	0	1301	0	0	0	0	210	0	164	0
Wdr77	289.034483	0	452	594	656	737	292	0	0	0	1096	638	175	0	0	408	0	1235	383	311	0	0	362	128	0	0	0	458	0	457	0
Atp5pb	289.034483	0	452	594	656	737	292	0	0	0	1096	638	175	0	0	408	0	1235	383	311	0	0	362	128	0	0	0	458	0	457	0
Il12rb2	286.758621	0	767	777	520	1064	175	0	118	0	593	329	0	0	0	692	0	995	723	563	0	0	482	0	0	0	0	296	0	222	0
Rbm25	286.586207	0	920	725	399	1582	197	0	158	0	747	538	0	0	0	340	0	666	565	288	0	0	605	0	0	0	0	363	0	218	0
Pdcd4	284.586207	0	747	719	311	954	71	0	284	0	1507	965	442	253	0	180	0	659	0	140	0	0	330	0	0	0	0	462	0	229	0
Cd53	281.620690	0	474	882	663	1199	355	0	501	0	1323	889	0	0	0	287	0	342	0	136	0	0	996	0	0	0	0	120	0	0	0
Traf6	281.275862	0	785	989	465	1464	196	0	185	0	1351	738	210	0	0	0	0	0	303	637	0	0	644	0	0	0	0	190	0	0	0
Vrk1	279.448276	0	374	734	156	1195	0	0	128	0	2025	1993	0	0	0	0	0	0	202	302	0	0	563	0	0	0	0	318	0	114	0
Mbnl1	278.551724	0	1246	1039	190	1341	303	0	123	0	1156	694	0	0	0	300	0	306	146	291	0	0	634	0	0	0	0	309	0	0	0
