Target_genes	Maf|Average	SRX17133649|Skeletal_muscle	SRX17133650|Skeletal_muscle	SRX187203|Th0	SRX187204|Th17_Cells	SRX187205|Th17_Cells	SRX187206|Th17_Cells	SRX288145|Th17_Cells	SRX288146|Th17_Cells	STRING
Gak	351.875000	0	217	0	850	1012	0	361	375	0
Nt5c1a	351.750000	0	0	0	934	727	0	625	528	0
H4c12	351.750000	0	0	0	797	902	0	510	605	0
H2bc15	351.750000	0	0	0	797	902	0	510	605	0
H2ac15	351.750000	0	0	0	797	902	0	510	605	0
H2-DMb2	351.625000	0	0	0	754	831	0	713	515	0
Atf6	350.875000	0	234	0	1004	549	0	650	370	0
Gm3435	349.500000	0	0	0	517	611	0	1020	648	0
Srrm1	349.000000	0	0	0	719	854	0	647	572	0
Il4ra	348.875000	0	0	0	729	950	0	537	575	0
Trib1	348.375000	0	0	0	659	702	0	686	740	0
Nuf2	345.375000	0	188	0	495	730	0	719	631	0
Sh2d1a	344.500000	0	0	0	690	721	0	682	663	0
Dchs2	344.000000	0	0	186	497	378	550	655	486	0
Il23r	342.375000	0	0	0	867	760	0	701	411	0
Ifi203	342.000000	0	0	0	659	692	0	683	702	0
Gypc	341.750000	0	0	0	661	698	0	823	552	0
Ptprj	341.625000	0	0	0	503	639	0	790	801	0
Fbxo33	341.500000	0	0	0	675	705	0	675	677	0
Pptc7	341.375000	0	0	0	778	780	0	676	497	0
Ccl26	340.125000	0	0	0	886	912	0	514	409	0
Il12rb1	337.500000	0	0	0	501	515	0	890	794	0
Wwox	337.125000	0	0	327	444	458	749	380	339	0
Ren2	336.875000	0	0	0	351	321	0	948	1075	0
Ren1	336.875000	0	0	0	351	321	0	948	1075	0
Trpm6	336.125000	0	0	0	734	702	0	683	570	0
Tnfrsf26	335.750000	0	0	0	715	588	0	737	646	0
Ppp4r1	335.000000	0	0	0	564	472	0	862	782	0
Lpcat1	334.625000	0	0	0	122	148	0	1118	1289	0
Msantd1	334.500000	0	0	0	334	365	0	846	1131	0
Zfp652	334.125000	0	0	0	437	486	0	928	822	0
Cep43	333.125000	0	0	0	722	645	0	561	737	0
Pikfyve	333.000000	0	221	0	602	812	0	521	508	0
Idh1	333.000000	0	221	0	602	812	0	521	508	0
Eya2	332.125000	0	0	0	714	750	0	631	562	0
Ksr1	330.750000	0	374	0	647	555	0	698	372	0
Cndp2	330.250000	0	0	0	341	451	0	1089	761	0
Uty	330.125000	0	0	0	788	641	0	663	549	0
Olfr266	327.750000	0	0	0	670	807	0	868	277	0
Pnpla8	327.500000	0	0	0	464	478	0	951	727	0
Tnfrsf18	326.750000	0	0	0	554	384	0	896	780	0
Poli	322.625000	0	0	0	616	575	0	818	572	0
Psmc2	322.250000	0	98	0	632	793	0	448	607	0
Dnajc2	322.250000	0	98	0	632	793	0	448	607	0
Itga6	322.125000	0	0	0	669	642	0	653	613	0
Pabpc1	319.500000	0	0	0	672	394	0	767	723	0
Tcea1	318.125000	0	0	0	847	754	0	473	471	0
Gzf1	317.875000	0	0	0	576	663	0	641	663	0
Fnbp1	317.875000	0	0	0	713	511	204	636	479	0
Osbpl3	317.250000	0	0	0	425	434	0	831	848	0
Tpcn2	316.750000	0	0	0	399	474	0	938	723	0
Cox7a1	315.625000	0	0	0	477	571	0	787	690	0
Tmem134	315.125000	0	202	0	467	552	0	594	706	0
Aip	315.125000	0	202	0	467	552	0	594	706	0
Tagap1	314.625000	0	0	0	611	683	0	589	634	0
Csf1r	314.375000	0	0	0	966	847	0	265	437	0
Csf2rb2	314.125000	0	0	0	480	733	0	675	625	0
Spata48	313.625000	0	0	0	227	461	0	760	1061	0
Myb	313.125000	0	0	0	792	659	0	692	362	0
Pcdh7	312.625000	0	0	0	879	1099	0	370	153	0
Scml4	312.000000	0	0	0	662	724	0	628	482	0
Znhit3	311.500000	0	189	0	757	751	0	419	376	0
Mapk6	310.000000	0	0	0	595	476	0	586	823	0
Psmc5	309.125000	0	97	0	602	640	0	483	651	0
Ftsj3	309.125000	0	97	0	602	640	0	483	651	0
Gpr65	308.875000	0	0	0	807	699	0	568	397	0
2300009A05Rik	308.875000	0	160	0	830	1078	0	218	185	0
Sesn1	307.500000	0	0	0	630	634	0	628	568	0
Fdxr	307.250000	0	0	0	821	703	0	467	467	0
Dnaja1	305.625000	0	182	0	837	659	0	422	345	0
Crem	305.250000	0	0	0	539	579	0	758	566	0
Syt11	304.375000	0	0	0	607	385	0	706	737	0
Fbxo40	303.250000	0	98	0	719	666	0	414	529	0
Fam83g	303.250000	0	0	0	649	613	0	527	637	0
Arsg	303.000000	0	0	0	605	666	0	733	420	0
Mrpl34	302.750000	0	0	0	445	461	0	778	738	0
Abhd8	302.750000	0	0	0	445	461	0	778	738	0
Afap1l2	302.625000	0	0	0	846	728	0	384	463	0
Cox16	302.250000	0	123	0	654	758	0	530	353	0
Ninj2	301.750000	0	0	0	462	487	0	714	751	0
1700066B19Rik	301.625000	0	173	0	679	721	0	437	403	0
Tmem106a	300.125000	0	0	0	523	650	0	523	705	0
Gon4l	297.625000	0	0	0	471	475	0	685	750	0
Tas1r1	297.250000	0	0	0	730	632	0	688	328	0
Nol9	297.250000	0	0	0	730	632	0	688	328	0
Cd1d2	297.125000	0	0	0	492	712	0	509	664	0
Snx8	296.750000	0	0	0	267	257	0	854	996	0
Isy1	296.750000	0	0	0	524	577	0	742	531	0
Gm4861	296.250000	0	0	0	903	681	0	412	374	0
Timd2	295.625000	0	0	0	745	759	0	502	359	0
BC107364	294.750000	0	0	0	1028	943	138	144	105	0
Entpd1	294.125000	0	0	0	503	485	0	555	810	0
Cyp2s1	294.000000	0	0	0	239	187	0	789	1137	0
Tob2	293.625000	0	0	0	880	888	0	332	249	0
Sytl3	293.375000	0	0	0	434	465	0	986	462	0
Nr3c1	293.125000	0	0	0	758	939	0	457	191	0
Elof1	292.500000	0	0	0	763	878	0	318	381	0
Slc11a2	292.375000	0	0	0	345	342	0	735	917	0
Il2ra	292.000000	0	0	0	719	728	0	431	458	0
Mrpl1	291.125000	0	0	0	416	437	0	639	837	0
Foxo1	290.750000	0	0	0	670	695	0	562	399	0
Sqle	289.750000	0	0	0	759	623	0	507	429	0
Lrrk1	288.000000	0	246	0	680	590	0	471	317	0
Aldh18a1	287.625000	0	0	0	704	583	0	583	431	0
Ptpn6	287.375000	0	0	0	995	1115	75	114	0	0
Grcc10	287.375000	0	0	0	995	1115	75	114	0	0
Zfp87	286.125000	0	126	0	576	421	0	600	566	0
H4c11	284.625000	0	0	0	861	839	0	327	250	0
Shkbp1	283.750000	0	0	0	229	219	0	906	916	0
Ddx21	282.875000	0	0	0	402	298	0	872	691	0
Rtkn	282.625000	0	0	0	944	817	0	289	211	0
Alpk2	280.250000	0	0	0	556	564	0	575	547	0
Abcc4	279.875000	0	0	0	459	515	0	564	701	0
Sytl1	279.750000	0	0	0	570	664	0	580	424	0
Sec61b	279.500000	0	182	0	656	560	0	555	283	0
Alg2	279.500000	0	182	0	656	560	0	555	283	0
Ptprv	278.875000	0	0	0	377	366	0	697	791	0
Ptpn7	278.875000	0	0	0	377	366	0	697	791	0
Serpinb6a	278.250000	0	0	0	172	239	0	862	953	0
Dgkg	278.250000	0	0	0	555	684	0	537	450	0
Nynrin	278.125000	0	0	0	616	668	0	610	331	0
Tubb5	277.875000	0	0	0	853	644	0	269	457	0
Mdc1	277.875000	0	0	0	853	644	0	269	457	0
Lck	277.500000	0	0	0	629	563	0	490	538	0
Shc4	276.625000	0	0	0	312	319	0	697	885	0
Gadd45a	276.625000	0	0	0	627	679	0	456	451	0
Srsf12	276.375000	0	0	0	888	809	0	330	184	0
Cd1d1	276.000000	0	0	0	424	582	0	634	568	0
D830031N03Rik	275.875000	0	0	0	210	279	0	888	830	0
Slc16a6	275.250000	0	0	0	605	666	0	600	331	0
Pgrmc2	275.250000	0	0	0	595	597	0	465	545	0
1700001C19Rik	275.000000	0	0	0	244	317	0	885	754	0
Taf12	274.875000	0	0	0	1011	979	0	83	126	0
Park7	274.750000	0	0	0	699	657	0	447	395	0
Fgf9	274.500000	0	0	0	529	403	0	757	507	0
Csnk1g2	273.375000	0	0	0	396	281	0	762	748	0
Thumpd3	273.000000	0	0	0	889	828	0	252	215	0
Rdm1	272.750000	0	0	0	831	882	227	123	119	0
Ddr1	272.625000	0	0	0	637	798	0	378	368	0
Ccdc86	271.875000	0	354	0	624	527	0	345	325	0
Tpt1	271.625000	0	190	0	622	743	0	451	167	0
Adarb1	271.125000	0	0	0	472	346	0	857	494	0
Oasl2	270.750000	0	0	0	410	414	0	670	672	0
Il21	269.750000	0	0	0	487	559	0	600	512	401
Dclre1c	269.500000	0	0	0	108	0	0	791	1257	0
Tspan14	268.500000	0	0	0	525	601	0	423	599	0
Coq8a	268.000000	0	0	0	678	622	0	520	324	0
Mknk2	267.500000	0	0	0	518	436	0	536	650	0
Eid2b	267.375000	0	0	0	616	892	0	394	237	0
Plcl1	267.250000	0	0	0	388	502	0	724	524	0
Nop2	266.375000	0	146	0	610	727	0	344	304	0
Naa16	266.000000	0	0	0	449	507	0	736	436	0
Mtrf1	266.000000	0	0	0	449	507	0	736	436	0
Sult5a1	265.875000	0	0	0	542	588	0	550	447	0
Ctla4	264.875000	0	0	0	368	648	0	553	550	0
Isoc2a	264.500000	0	0	0	611	459	0	524	522	0
Crcp	263.250000	0	0	0	623	365	0	552	566	0
Asl	263.250000	0	0	0	623	365	0	552	566	0
Olfr530	263.125000	0	0	0	645	450	0	516	494	0
Slc38a10	263.000000	0	0	0	502	524	0	467	611	0
Zfp971	262.625000	0	0	0	276	356	0	834	635	0
Gpi1	261.750000	0	0	0	360	713	0	710	311	0
Rgs1	261.500000	0	0	0	364	478	0	760	490	0
Pik3r1	261.500000	0	0	0	639	514	0	586	353	0
Psmc6	261.125000	0	0	0	399	526	0	794	370	0
Mllt11	260.625000	0	121	0	638	671	0	355	300	0
Cdc42se1	260.625000	0	121	0	638	671	0	355	300	0
Rinl	259.250000	0	0	0	334	413	0	541	786	0
Adipoq	259.250000	0	0	0	564	737	0	386	387	0
Washc3	258.875000	0	0	0	729	709	0	357	276	0
Nos2	257.750000	0	0	0	345	365	0	730	622	0
Ankfy1	257.000000	0	0	0	333	590	0	610	523	0
Lars	256.750000	0	0	0	625	653	0	346	430	0
Snx2	256.625000	0	0	0	312	405	0	650	686	0
Rsrp1	256.000000	0	0	0	231	293	0	722	802	0
Rreb1	254.250000	0	0	0	560	453	0	621	400	0
Midn	252.000000	0	0	0	385	450	0	577	604	0
Rabggta	251.625000	0	0	0	477	232	0	694	610	0
Dock8	251.625000	0	0	0	448	372	0	600	593	0
Lacc1	250.750000	0	153	0	639	754	0	203	257	0
Ccdc122	250.750000	0	153	0	639	754	0	203	257	0
Zfp266	250.000000	0	0	0	496	513	0	535	456	0
Smyd1	250.000000	0	0	0	261	211	0	767	761	0
Plekhh3	250.000000	0	85	0	431	549	0	336	599	0
Cntnap1	250.000000	0	85	0	431	549	0	336	599	0
Ccr10	250.000000	0	85	0	431	549	0	336	599	0
Btaf1	249.875000	0	0	0	305	246	0	804	644	0
Zc3h7a	249.750000	0	0	0	398	539	0	582	479	0
Mmp9	249.625000	0	0	0	171	343	0	800	683	0
Trim69	249.500000	0	0	0	367	407	0	531	691	0
Klf2	248.750000	0	0	0	586	580	0	448	376	0
Hk2	248.625000	0	0	0	341	371	0	616	661	0
Gpr33	248.375000	0	0	0	448	432	0	644	463	0
Kcnab2	248.000000	0	0	0	510	567	0	550	357	0
Fau	247.125000	0	0	0	258	226	0	536	957	0
Arpc3	246.500000	0	0	0	429	441	0	601	501	0
Cavin3	245.875000	0	0	0	687	785	0	495	0	0
Srrm2	245.375000	0	0	0	426	539	0	518	480	0
Hormad2	245.375000	0	0	0	580	570	0	461	352	0
Trim30a	245.125000	0	0	0	560	646	0	355	400	0
Frmd6	244.750000	0	0	0	316	213	0	803	626	0
Ahr	243.875000	0	0	0	513	475	0	512	451	0
D16Ertd472e	243.625000	0	0	0	490	522	0	451	486	0
Xirp1	243.500000	0	0	0	566	619	0	429	334	0
Spg7	243.250000	0	0	0	723	782	0	184	257	0
Poldip3	243.250000	0	0	0	902	912	0	132	0	0
Dnah8	243.250000	0	0	0	385	394	0	729	438	0
Osm	243.125000	0	0	0	351	422	0	628	544	0
Bicdl1	242.375000	0	0	0	475	404	0	498	562	0
Ssbp3	242.250000	0	0	0	323	363	0	588	664	0
Mad1l1	242.125000	0	0	0	233	280	0	629	795	0
Zmynd11	242.000000	0	0	0	350	405	0	666	515	0
Cnksr3	241.750000	0	0	0	545	549	0	583	257	0
Cdkn2c	241.500000	0	0	0	771	557	0	325	279	0
Syde1	241.375000	0	0	0	246	216	0	649	820	0
Sirt4	241.250000	0	0	0	982	948	0	0	0	0
Hdhd2	240.250000	0	0	0	710	616	0	412	184	0
Slc48a1	240.000000	0	0	0	214	294	0	501	911	0
Iba57	240.000000	0	0	0	438	522	0	509	451	0
Cwh43	239.750000	0	0	0	370	359	0	670	519	0
Gramd1a	239.500000	0	0	0	511	479	0	462	464	0
Pde4b	239.000000	0	115	0	516	396	0	408	477	0
Mynn	237.750000	0	0	0	646	473	0	546	237	0
Actrt3	237.750000	0	0	0	646	473	0	546	237	0
Tes	237.625000	0	0	0	701	607	0	395	198	0
Milr1	237.250000	0	0	0	194	231	0	760	713	0
Rab35	237.000000	0	0	0	299	376	0	663	558	0
Lgr4	237.000000	0	160	0	380	316	0	632	408	0
Rnase4	236.625000	0	0	0	193	196	0	507	997	0
Katnal1	236.625000	0	0	0	442	492	0	542	417	0
Ang	236.625000	0	0	0	193	196	0	507	997	0
Myct1	236.500000	0	0	0	519	501	0	487	385	0
