Target_genes	Ppara|Average	SRX7647798|Brown_adipose_tissue	SRX7647799|Brown_adipose_tissue	SRX7647800|Brown_adipose_tissue	SRX7647801|Brown_adipose_tissue	SRX745823|Burst-forming_unit_erythroids	SRX745825|Burst-forming_unit_erythroids	SRX745827|Burst-forming_unit_erythroids	SRX11366178|Liver	SRX11366179|Liver	SRX11366180|Liver	SRX11366181|Liver	SRX11366182|Liver	SRX11366183|Liver	SRX11366184|Liver	SRX11366185|Liver	SRX11366186|Liver	SRX11366187|Liver	SRX11366188|Liver	SRX11366189|Liver	SRX11366190|Liver	SRX11366191|Liver	SRX11366192|Liver	SRX11366193|Liver	SRX118173|Liver	SRX118174|Liver	SRX3582928|Liver	SRX3582929|Liver	SRX3582931|Liver	SRX3582932|Liver	SRX5028158|Liver	SRX5028159|Liver	SRX5028160|Liver	SRX5028161|Liver	SRX5028180|Liver	SRX5028181|Liver	SRX5028182|Liver	SRX5028183|Liver	SRX5028184|Liver	SRX5028185|Liver	SRX5142526|Liver	SRX5142527|Liver	SRX5142528|Liver	SRX5142529|Liver	SRX5142530|Liver	SRX5142531|Liver	SRX8715535|Liver	SRX8715536|Liver	SRX8715537|Liver	SRX8715538|Liver	SRX8715539|Liver	SRX8715540|Liver	SRX18696494|Thymus	SRX305976|Unclassified	SRX305978|Unclassified	SRX305980|Unclassified	SRX305982|Unclassified	STRING
Hsd17b4	458.142857	1307	1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1695	1110	250	0	151	0	433	658	0	0	1245	1223	804	1498	1228	1514	1225	1561	1370	1597	1803	1635	0	0	0	0	0	0	0	0	1263	204	314	0
Ehhadh	450.446429	1304	1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450	1024	384	0	220	0	644	731	0	0	1173	1270	1278	1147	1083	1180	1375	1507	1431	1567	1579	1491	0	0	0	0	0	0	0	174	1442	143	249	0
Pla2g12a	428.589286	350	898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	329	0	0	0	0	311	306	0	0	1577	1824	1172	1588	1611	1828	1350	1760	1383	1934	1979	2442	0	0	0	0	0	0	0	0	653	0	96	0
Mmadhc	418.214286	342	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	1110	0	0	0	0	463	444	0	0	1334	1253	898	1276	1403	1335	1246	1556	1245	1579	2018	2062	0	0	0	0	0	0	0	229	1599	256	228	0
Grn	418.089286	1189	1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	447	311	0	0	0	192	167	0	0	1566	1499	1061	1448	1602	1644	1191	1472	1278	1481	1702	1764	0	0	0	0	0	0	0	0	980	196	205	0
Trmt13	414.160714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	511	200	0	102	0	310	319	0	0	1665	1718	1191	1282	1318	1700	1678	1837	1522	2005	2106	2324	0	0	0	0	0	0	0	146	605	117	0	0
Lgals3bp	413.375000	314	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	844	545	302	0	0	0	412	227	0	0	1474	1294	1068	1124	1120	1334	1516	1965	1806	2286	2206	2267	0	0	0	0	0	0	0	0	534	95	0	0
Csad	403.696429	305	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1434	626	139	0	0	0	254	227	0	0	1629	1399	1211	1399	1519	1675	1065	1450	1477	1745	1641	1606	0	0	0	0	0	0	0	108	825	0	361	0
Cyp4a10	398.071429	2314	2265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	823	205	0	133	0	361	294	0	0	1225	1187	815	943	898	846	867	1185	1122	1567	1517	1786	0	0	0	0	0	0	0	0	1190	0	355	0
Igsf11	397.357143	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	924	247	0	0	0	399	219	0	0	1160	1236	998	1214	1385	1443	1414	1898	1635	1639	1796	2097	0	0	0	0	0	0	0	175	1297	143	163	0
Dnah6	397.160714	1536	1891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783	790	0	0	0	0	348	280	0	0	1037	1341	720	1069	1139	1263	1163	1496	976	1604	1699	2074	0	0	0	0	0	0	0	0	876	0	156	0
Gpat4	394.482143	182	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627	724	270	0	0	0	383	481	0	0	1196	1393	941	1128	1314	1550	1385	1775	1798	1830	1853	1863	0	0	0	0	0	0	0	0	765	196	189	0
Sspn	393.910714	511	900	322	451	615	824	858	0	213	0	0	0	255	271	281	377	390	449	621	234	377	689	314	168	164	127	0	287	0	376	397	617	390	1242	909	880	1327	1705	1778	193	354	315	220	709	582	0	0	0	0	0	0	281	0	86	0	0	0
Cdkn1a	392.232143	1763	1620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0	0	0	0	215	157	0	0	1746	2120	1192	1343	1708	2073	725	1115	954	997	1232	1841	0	0	0	0	0	0	0	0	656	0	0	0
Chrna2	392.017857	324	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	760	450	304	0	165	0	326	246	0	0	1272	1315	820	1097	1303	1449	1099	1490	1136	1706	1762	1934	0	0	0	0	0	0	0	341	1348	276	258	0
Pex2	391.125000	715	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	153	175	0	0	0	315	200	0	0	1577	1594	1221	1045	1254	1613	1314	1745	1495	2042	1860	2095	0	0	0	0	0	0	0	0	376	0	0	0
Hjurp	388.125000	740	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193	1194	307	0	109	0	524	454	0	0	1285	1341	1226	1326	1299	1373	1127	1255	1351	1368	1363	1179	0	0	0	0	0	0	0	0	950	0	269	0
A730008H23Rik	388.125000	740	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1193	1194	307	0	109	0	524	454	0	0	1285	1341	1226	1326	1299	1373	1127	1255	1351	1368	1363	1179	0	0	0	0	0	0	0	0	950	0	269	0
Notch1	386.732143	545	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	365	186	0	171	0	322	338	0	0	1406	1490	851	1313	1215	1591	1342	1588	1457	1708	1723	1834	0	0	0	0	0	0	0	0	580	212	101	0
Adnp	383.928571	358	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1167	935	0	0	0	0	429	287	0	0	1145	1374	857	1173	1194	1458	1360	1595	1219	1390	1495	1925	0	0	0	0	180	0	0	0	1327	194	0	0
Cbfa2t3	383.446429	860	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	698	178	0	183	0	323	231	0	0	1175	1198	631	879	985	1273	1047	1237	1242	1500	1840	1835	0	0	0	0	169	0	0	176	1024	0	254	0
Acot12	379.785714	586	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	210	0	0	0	0	170	262	0	0	1663	1553	1230	1608	1574	1748	1202	1419	1497	1593	1641	1841	0	0	0	0	0	0	0	0	344	0	0	0
Lrg1	373.535714	1756	1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	498	311	0	310	0	226	155	0	0	1207	1021	667	1086	1040	1076	924	1026	1117	1473	1398	1440	0	0	0	0	0	0	0	158	943	393	117	0
Plin5	373.375000	1756	1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143	498	311	0	310	0	226	146	0	0	1207	1021	667	1086	1040	1076	924	1026	1117	1473	1398	1440	0	0	0	0	0	0	0	158	943	393	117	0
Slc4a4	372.875000	948	1446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824	631	0	0	0	0	196	141	0	0	1301	1652	910	1194	1250	1406	965	1292	992	1448	1592	1840	0	0	0	0	0	0	0	0	668	0	185	0
Ten1	372.339286	1770	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	250	440	0	147	0	243	226	0	0	990	1106	912	1126	1112	1216	1145	1549	1197	1412	1419	1421	0	0	0	0	0	0	0	0	686	147	178	0
Acox1	372.339286	1770	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	806	250	440	0	147	0	243	226	0	0	990	1106	912	1126	1112	1216	1145	1549	1197	1412	1419	1421	0	0	0	0	0	0	0	0	686	147	178	0
Cebpb	371.928571	968	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	283	180	0	146	0	418	249	0	0	1358	1384	1142	1353	1196	1327	1179	1361	1380	1450	1429	1424	0	0	0	0	0	0	0	0	599	126	159	0
Ech1	371.464286	1741	1237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	888	380	0	121	0	472	272	0	0	928	859	596	803	778	960	1028	1038	925	1369	1385	1536	0	0	0	0	0	0	0	0	1449	229	487	0
Mrap	371.178571	977	1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	578	358	90	0	0	0	403	377	0	0	1215	1351	1071	1286	1150	1436	1236	1503	1158	1548	1646	1816	0	0	0	0	0	0	0	0	384	130	0	0
Mab21l2	370.446429	628	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	112	120	0	0	0	177	246	0	0	1202	1470	998	946	1317	1503	1427	1719	1271	1852	1699	2158	0	0	0	0	0	0	0	0	402	108	0	0
Acadl	368.000000	1294	1470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	630	183	0	0	0	221	254	0	0	1235	1199	777	1081	1157	1232	832	1101	813	1315	1451	1791	0	0	0	0	0	0	0	0	919	139	203	0
Gm19774	366.625000	1609	1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363	858	0	0	0	0	170	123	0	0	1240	1465	942	1372	1404	1622	738	857	814	1339	1164	1568	0	0	0	0	0	0	0	0	474	0	0	0
Acadm	360.178571	632	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739	419	0	0	0	0	202	237	0	0	1379	1403	1137	1382	1442	1538	1052	1298	1166	1328	1569	1591	0	0	0	0	0	0	0	0	700	139	0	0
Chd9	359.892857	1240	1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	374	188	0	0	0	241	280	0	0	1273	1329	1008	1332	1329	1408	1013	1129	1028	1406	1354	1725	0	0	0	0	0	0	0	0	226	0	0	0
Ces1e	359.071429	437	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	863	981	162	0	127	0	484	577	0	0	1278	1180	965	1022	1160	1195	1069	1113	976	1332	1443	1535	0	0	0	0	0	0	0	128	778	94	308	0
Fcna	357.839286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1556	662	197	0	81	0	0	0	0	0	1609	1706	1112	1424	1361	1768	1020	1599	1135	1354	1329	1661	0	0	0	0	0	0	0	0	465	0	0	0
Suox	355.607143	182	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	133	0	0	0	1219	1528	1005	1311	1298	1529	1535	1863	1769	2115	1624	2073	0	0	0	0	0	0	0	0	230	0	0	0
Slc6a12	354.375000	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	295	0	0	0	0	210	245	0	0	1531	1706	916	1370	1498	1738	1102	1490	1178	1802	1749	2023	0	0	0	0	0	0	0	0	318	0	0	0
St6gal1	354.107143	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	320	113	0	0	0	255	181	0	0	1793	1616	1128	1280	1475	1583	1193	1368	1246	1359	1412	1649	0	0	0	0	0	0	0	0	550	0	264	0
Nudt12	352.857143	409	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	378	0	0	0	0	163	323	0	0	1403	1426	945	1058	1243	1511	1043	1536	1074	1632	1685	1913	0	0	0	0	0	0	0	0	599	0	125	0
Tram2	351.696429	229	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702	457	0	0	0	0	268	263	0	0	1156	1317	819	930	1239	1156	1263	1558	1430	1885	1905	2133	0	0	0	0	0	0	0	0	613	133	110	0
Slc27a2	350.982143	1094	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	889	153	0	113	0	379	143	0	0	972	946	802	731	901	809	1177	1422	1153	1460	1589	1594	0	0	0	0	0	0	0	0	728	101	189	0
Ccdc38	349.910714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2286	1331	374	0	0	0	339	276	0	0	1196	1277	844	1228	1280	1456	718	1172	885	1459	1327	1586	0	0	0	0	0	0	0	0	428	0	133	0
Amdhd1	349.910714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2286	1331	374	0	0	0	339	276	0	0	1196	1277	844	1228	1280	1456	718	1172	885	1459	1327	1586	0	0	0	0	0	0	0	0	428	0	133	0
Plbd1	348.250000	1187	1165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	88	0	0	0	149	210	0	0	1194	1198	883	1168	1269	1298	1178	1506	1351	1443	1748	1976	0	0	0	0	0	0	0	0	212	0	0	0
Plec	348.196429	205	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	597	452	0	0	0	0	233	177	0	0	1256	1288	583	1075	951	1338	1514	1723	1528	1885	1953	2144	0	0	0	0	0	0	0	0	462	0	0	0
Ddi2	348.196429	245	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	380	163	0	0	0	276	240	0	0	1181	1248	919	1193	1117	1308	1361	1591	1438	1947	1873	1744	0	0	0	0	0	0	0	0	255	120	0	0
Nup62	347.482143	259	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	175	0	0	0	217	131	0	0	1129	1228	957	985	912	1417	1758	1729	1793	1989	1659	1807	0	0	0	0	0	0	0	0	564	0	137	0
Il4i1b	347.482143	259	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	175	0	0	0	217	131	0	0	1129	1228	957	985	912	1417	1758	1729	1793	1989	1659	1807	0	0	0	0	0	0	0	0	564	0	137	0
Atf5	347.482143	259	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	175	0	0	0	217	131	0	0	1129	1228	957	985	912	1417	1758	1729	1793	1989	1659	1807	0	0	0	0	0	0	0	0	564	0	137	0
Rbms1	345.732143	609	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	164	214	0	0	1400	1417	926	1345	1238	1550	853	1416	1028	1646	1704	1989	0	0	0	0	0	0	0	148	422	0	0	0
Sar1b	345.500000	303	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	295	291	0	0	0	244	194	0	0	1168	1302	828	1331	1365	1372	1005	1195	1058	1518	1544	1689	0	0	0	0	0	0	0	0	1169	89	199	0
Agpat2	345.392857	878	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	930	706	0	0	0	0	273	279	0	0	1235	1196	1022	1068	1104	1277	1013	1194	1088	1326	1208	1386	0	0	0	0	0	0	0	0	654	127	277	0
Mroh2a	343.857143	143	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	369	0	0	0	0	213	154	0	0	1596	1486	947	1368	1566	1481	1148	1255	1146	1539	1579	1527	0	0	0	0	0	0	0	0	360	0	154	0
Qtrt2	343.285714	1727	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	576	269	0	187	0	187	0	0	0	835	883	533	912	1120	1103	990	1122	1025	1212	1269	1679	0	0	0	0	0	0	0	0	519	164	0	0
Ccdc191	343.285714	1727	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	576	269	0	187	0	187	0	0	0	835	883	533	912	1120	1103	990	1122	1025	1212	1269	1679	0	0	0	0	0	0	0	0	519	164	0	0
5031439G07Rik	343.178571	873	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	363	237	0	116	0	207	156	0	0	849	971	652	996	1099	1370	956	1307	916	1539	1812	1986	0	0	0	0	0	0	0	159	949	250	143	0
Itga7	342.410714	427	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	264	138	0	0	0	298	245	0	0	1126	1228	880	978	1015	1484	1235	1669	1268	1701	1753	2018	0	0	0	0	0	0	0	0	274	0	0	0
Cbs	341.803571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	158	201	0	112	0	518	430	0	0	1309	1329	1350	1131	1348	1260	1364	1532	1408	1568	1531	1615	0	0	0	0	0	0	0	0	615	0	155	0
Hic2	341.732143	376	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	76	141	0	0	1425	1136	625	1343	1249	1621	1278	1381	1317	1732	1966	2099	0	0	0	0	0	0	0	0	325	0	0	0
Slc25a20	339.285714	1795	1465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	273	0	0	0	0	221	124	0	0	1002	1074	648	951	948	1092	979	1156	1042	1337	1553	1494	0	0	0	0	0	0	0	139	689	182	0	0
Pdp2	338.892857	390	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1293	789	190	0	80	0	258	191	0	0	1239	1251	827	957	874	1015	919	1108	958	1251	1486	1765	0	0	0	0	0	0	0	162	924	224	218	0
Hectd2	337.964286	132	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	245	136	0	0	0	323	214	0	0	1454	1223	898	1140	965	1285	1290	1624	1212	1573	1811	2061	0	0	0	0	0	0	0	0	372	106	0	0
Gatd1	335.839286	255	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	616	246	0	160	0	0	0	0	0	1246	1283	1030	1028	1409	1437	1124	1251	1150	1446	1378	1959	0	0	0	0	0	0	0	0	406	0	0	0
Dpep2	335.071429	817	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	643	232	0	0	0	145	161	0	0	1094	1074	708	1039	961	1180	752	1154	799	1674	1625	1798	0	0	0	0	0	0	0	0	804	168	161	0
Twistnb	334.000000	246	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	475	0	0	0	0	165	185	0	0	991	1273	1003	1250	960	1267	1301	1332	1465	1759	1720	1787	0	0	0	0	0	0	0	0	432	0	123	0
Lzts2	333.875000	92	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	168	144	0	0	0	125	188	0	0	1163	1250	1014	1116	1108	1430	1423	1727	1493	1922	1722	1914	0	0	0	0	0	0	0	0	240	0	0	0
Arsg	332.803571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964	265	0	0	0	0	309	175	0	0	1565	1755	1086	1200	1522	1877	799	1090	1002	1396	1427	1637	0	0	0	0	0	0	0	0	401	0	167	0
Etfdh	331.732143	2047	1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	724	143	0	135	0	249	166	0	0	795	701	334	759	647	960	641	772	651	936	989	1610	0	0	0	173	308	295	0	123	1084	0	249	0
4930579G24Rik	331.732143	2047	1744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	724	143	0	135	0	249	166	0	0	795	701	334	759	647	960	641	772	651	936	989	1610	0	0	0	173	308	295	0	123	1084	0	249	0
Pdgfra	331.589286	376	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	159	0	0	0	0	252	255	0	0	1209	1055	881	946	1128	1463	1224	1553	1446	1682	1504	1985	0	0	0	0	0	0	0	0	467	0	0	0
Ces1d	331.160714	721	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	986	366	0	0	0	0	197	291	0	0	1217	1377	842	1471	1089	1386	1032	1297	1016	1369	1325	1627	0	0	0	0	0	0	0	0	319	0	0	0
Plin1	330.625000	1252	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	327	160	0	0	0	89	143	0	0	1015	1068	790	931	1002	1151	878	1019	952	1338	1537	1755	0	0	0	0	0	0	0	0	604	134	133	0
Acaa2	330.607143	1425	1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	124	233	0	0	0	186	183	0	0	966	997	661	963	873	938	1050	1360	1178	1650	1683	1694	0	0	0	0	0	0	0	0	740	0	0	0
Pdk4	330.553571	1469	1236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	460	186	0	0	0	214	206	0	0	974	1119	604	905	979	1094	899	1187	914	1402	1294	1513	0	0	0	0	0	0	0	161	505	0	330	0
Oplah	328.410714	514	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	471	159	0	0	0	298	299	0	0	992	1109	618	877	901	1068	1085	1442	1167	1484	1641	1856	0	0	0	0	0	0	0	0	632	141	0	0
Rxrg	328.392857	961	1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	110	0	0	0	0	0	152	0	0	975	1001	685	1046	1091	1163	1048	1515	1176	1705	1825	2108	0	0	0	0	0	0	0	0	178	0	0	0
Fitm2	328.071429	712	1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	341	198	0	0	0	254	132	0	0	1009	1082	710	1202	906	1182	1062	1345	1268	1301	1516	1610	0	0	0	0	0	0	0	121	436	123	0	0
Clmn	327.321429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	138	133	0	130	0	0	156	0	0	1450	1293	1049	1444	1298	1473	1104	1467	1400	1445	1473	1878	0	0	0	0	0	0	0	104	237	110	0	0
Ldb3	325.482143	357	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	380	157	0	0	0	209	216	0	0	1189	1193	773	963	1017	1313	867	1324	1156	1642	1538	1918	0	0	0	0	0	0	0	0	607	137	0	0
Dio1	325.446429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630	456	0	0	0	0	384	377	0	0	1106	1216	919	1092	1300	1283	1052	1547	1317	1652	1603	1643	0	0	0	0	0	0	0	0	523	0	125	0
