Target_genes	Gabpa|Average	SRX3041631|CD4+_T_cells	SRX2974920|EML_	SRX5850103|ES_cells	SRX5850104|ES_cells	SRX5850105|ES_cells	SRX5850106|ES_cells	SRX5850107|ES_cells	SRX5850108|ES_cells	SRX5850109|ES_cells	SRX5850110|ES_cells	SRX5850111|ES_cells	SRX5850112|ES_cells	SRX5850113|ES_cells	SRX5850114|ES_cells	SRX2242853|Macrophages	SRX2242855|Macrophages	SRX2242856|Macrophages	SRX12708491|White_adipose_tissue	SRX12708492|White_adipose_tissue	STRING
Dcp1a	2191.157895	1438	0	2347	1739	2528	2468	1807	1081	2276	2642	1862	3129	2335	3138	3185	1511	1553	3244	3349	0
Dus1l	2189.736842	1926	0	2446	2016	2752	2654	2119	1227	2252	2494	1747	2491	2225	2847	3495	1942	1975	2525	2472	0
Fam149b	2180.842105	1162	0	2564	2053	2557	2656	1783	1048	2414	2197	1987	2949	2420	3077	3401	1536	1449	3062	3121	0
Ecd	2180.842105	1162	0	2564	2053	2557	2656	1783	1048	2414	2197	1987	2949	2420	3077	3401	1536	1449	3062	3121	0
Fbxw8	2176.421053	370	0	2639	1929	2811	2614	2353	1387	2595	2661	2141	2744	2395	2967	3396	1391	1516	2796	2647	0
Mrpl20	2168.000000	1719	150	2356	2204	2747	2791	1898	1091	2397	2661	1984	3059	2322	3136	3036	1300	1394	2541	2406	0
Klhdc4	2163.578947	1412	0	2405	2310	2499	2400	2098	1116	2279	2269	2172	2680	2246	2813	3247	1377	1707	3089	2989	0
Nvl	2152.789474	1423	0	2449	1982	2810	2713	1903	1111	2150	2478	1757	2889	2113	3075	3197	1694	2033	2425	2701	0
Tsnax	2148.368421	1430	0	2572	2722	2815	3257	2205	2037	2620	3166	2583	2783	2527	3146	2738	1556	1769	355	538	0
Ube2j2	2132.157895	1983	0	2372	2195	2700	2761	1665	982	2159	2409	1635	3006	2142	3092	3646	1675	1822	2017	2250	0
Ublcp1	2131.736842	805	0	2656	2519	2914	2956	2062	1691	2722	3072	2359	2818	2743	2957	2054	675	902	2385	2213	0
Tmem68	2121.000000	2241	0	2204	1761	2604	2531	1572	1081	2200	2423	1790	3278	2290	3016	3563	1921	1912	2017	1895	0
Tgs1	2121.000000	2241	0	2204	1761	2604	2531	1572	1081	2200	2423	1790	3278	2290	3016	3563	1921	1912	2017	1895	0
Champ1	2100.315789	1326	0	2560	2531	2963	2838	2139	1632	2708	2859	2393	3088	2588	3094	2952	1312	1761	604	558	0
Drg2	2093.000000	1073	0	2449	1831	2557	2102	1989	1047	2317	2054	1689	2531	2354	2780	3503	1583	1709	3147	3052	0
Krt10	2081.210526	1707	0	2374	1698	2851	2797	1792	687	2083	2713	1709	3279	2113	3425	3716	2214	2344	917	1124	0
Dguok	2078.473684	1528	0	2414	2000	2691	3016	1727	1504	2354	2974	1693	3390	2497	3352	2508	1023	1193	1799	1828	0
Dnajc24	2074.789474	809	0	2073	1688	2523	2266	1442	1069	2203	2296	1686	3190	2361	2984	3300	1271	1443	3461	3356	0
Trp53rka	2056.421053	1306	733	2180	1753	2505	2541	1615	874	2223	2460	1538	2649	2078	2830	3079	1150	1418	3006	3134	0
Cnot10	2055.315789	1550	0	1955	1405	2255	2332	1239	506	1703	2186	1300	2939	2040	2860	3850	2441	2705	2965	2820	0
Jrk	2045.947368	1140	0	2676	2844	2838	2849	2339	2166	2653	2895	2409	2860	2670	2968	1921	441	690	1206	1308	0
Hemk1	2035.789474	1579	0	2335	1716	2551	2441	1586	941	2603	2317	1989	2627	2439	2876	2988	1038	1326	2649	2679	0
6430571L13Rik	2035.789474	1579	0	2335	1716	2551	2441	1586	941	2603	2317	1989	2627	2439	2876	2988	1038	1326	2649	2679	0
Rpl29	2011.421053	1134	0	2094	1638	2433	2238	1479	869	2222	2148	1582	2832	2169	2733	3347	1556	1358	3279	3106	0
Zfp560	2000.052632	1765	0	2156	1889	2599	2533	1514	787	2227	2326	1838	2884	2294	2949	3387	1328	1234	1907	2384	0
Taco1	1999.157895	957	0	2321	1628	2483	2448	1652	784	2448	2305	1842	2749	2440	2817	2848	820	1068	3217	3157	0
Dpp9	1996.578947	1231	0	2270	2595	2438	2538	1849	2375	2437	2374	2816	2741	2717	2732	2119	959	839	1367	1538	0
Sf3a3	1994.210526	1439	0	2146	1728	2343	2208	1667	742	2032	2153	1689	2705	2027	2814	3165	1636	1592	2981	2823	0
Pgap3	1988.526316	771	154	2242	2156	2457	2857	1788	1357	2370	2867	2007	2965	2331	3049	3150	697	1349	1542	1673	0
Rnf185	1988.315789	1366	0	2182	1579	2429	2512	1446	755	1984	2335	1481	2971	2049	2793	3257	1816	2038	2435	2350	0
Pigc	1985.947368	799	199	2445	1879	2829	2829	1747	1101	2415	2787	1980	3444	2268	3333	2287	757	982	1789	1863	0
4930558K02Rik	1985.947368	799	199	2445	1879	2829	2829	1747	1101	2415	2787	1980	3444	2268	3333	2287	757	982	1789	1863	0
Thumpd3	1981.947368	1529	0	2183	1822	2402	2679	1621	843	1444	2211	1343	2989	1520	2947	3612	2169	2204	2143	1996	0
Zbtb45	1980.315789	972	243	2054	1722	2078	2212	1344	1045	1962	2059	1579	2757	2039	2735	3426	1439	1703	3129	3128	0
Snrnp27	1979.526316	922	0	2235	1584	2301	2331	1261	813	2054	2030	1445	2516	2001	2667	3883	1593	1732	3158	3085	0
Yipf2	1979.052632	1130	0	2168	1530	2417	2205	1475	704	1978	1844	1210	2504	1951	2712	3605	2083	2087	3039	2960	0
Timm29	1979.052632	1130	0	2168	1530	2417	2205	1475	704	1978	1844	1210	2504	1951	2712	3605	2083	2087	3039	2960	0
Tcstv3	1976.263158	2132	0	2178	2294	2226	2193	2307	2164	2261	2420	2111	2125	2145	2219	1838	1719	1659	1795	1763	0
Med23	1972.684211	1229	0	2005	1535	2478	2203	1345	516	2101	2093	1523	2918	1961	2809	3416	1170	1507	3365	3307	0
Rps19bp1	1963.157895	1277	0	2246	1931	2358	2508	1645	1041	1960	2259	1566	2855	2043	2881	3095	1147	1301	2512	2675	0
Tssk6	1959.052632	1584	0	2421	1544	2311	2405	1364	733	2026	2105	1246	2572	2067	2792	3168	1445	1663	2907	2869	0
Ndufa13	1959.052632	1584	0	2421	1544	2311	2405	1364	733	2026	2105	1246	2572	2067	2792	3168	1445	1663	2907	2869	0
Mtif2	1952.736842	274	0	2167	1780	2689	2774	1843	1053	2250	2477	1832	3097	2063	2973	2587	877	1039	2562	2765	0
Tmem101	1950.894737	656	0	2044	1627	2316	2068	1536	830	2099	1984	1509	2426	2432	2597	3255	1887	1700	3101	3000	0
Cstf2t	1940.842105	1266	0	1996	1486	1867	1912	1310	615	2013	1805	1613	2665	2250	2728	3663	1994	2167	2824	2702	0
Psmg3	1937.684211	1361	175	2056	1591	2549	2150	1425	655	2001	1947	1447	2567	2106	2617	3198	1262	1485	3191	3033	0
Ndufs3	1933.105263	1077	0	2100	1763	2367	2410	1410	869	2005	2054	1812	2557	1965	2741	2935	1312	1509	2944	2899	0
Kbtbd4	1933.105263	1077	0	2100	1763	2367	2410	1410	869	2005	2054	1812	2557	1965	2741	2935	1312	1509	2944	2899	0
Eif4e2	1932.263158	1430	0	2338	2061	2734	2935	1988	1080	2279	2811	1858	3078	2354	3218	2282	1063	1195	985	1024	0
Rbm34	1917.315789	1365	0	1941	1563	2456	2085	1464	791	1660	1727	1044	2554	1835	2632	3409	1572	1898	3267	3166	0
Snrnp200	1902.473684	991	157	1853	1555	2166	2217	1219	685	1683	1919	1003	2521	1768	2748	3820	2181	2418	2656	2587	0
1810024B03Rik	1902.473684	991	157	1853	1555	2166	2217	1219	685	1683	1919	1003	2521	1768	2748	3820	2181	2418	2656	2587	0
Ndufaf1	1895.421053	315	0	2289	1285	2400	2269	1458	657	2126	2111	1660	2704	2090	2736	2874	1002	1618	3311	3108	0
H3f3c	1895.421053	315	0	2289	1285	2400	2269	1458	657	2126	2111	1660	2704	2090	2736	2874	1002	1618	3311	3108	0
Pih1d2	1888.789474	821	0	2070	2011	2340	2523	1540	1243	2235	2367	1674	2813	1816	2620	2925	794	1301	2311	2483	0
Nkapd1	1888.789474	821	0	2070	2011	2340	2523	1540	1243	2235	2367	1674	2813	1816	2620	2925	794	1301	2311	2483	0
Vps25	1887.947368	993	0	2326	1780	2316	2152	1571	951	2012	2030	1531	2571	2121	2554	2741	978	1065	3141	3038	0
Exoc3	1885.789474	1528	0	1796	1378	2170	2505	1231	818	1628	2101	1517	2788	1918	2787	3443	1795	1893	2341	2193	0
Itgb3bp	1871.526316	795	0	2053	1914	2088	2219	1592	1225	2207	2024	1835	2732	2232	2152	3150	1111	1368	2575	2287	0
Efcab7	1871.526316	795	0	2053	1914	2088	2219	1592	1225	2207	2024	1835	2732	2232	2152	3150	1111	1368	2575	2287	0
Appl2	1864.105263	319	0	1866	1662	2548	2838	1829	976	2226	2942	1422	3276	2225	3205	3567	1503	1992	445	577	0
Sdhaf3	1858.526316	1188	0	1685	1294	1749	1981	1093	579	1614	1679	1391	2573	1980	2409	3809	1789	1736	3418	3345	0
Zfp668	1849.473684	836	156	1696	1882	1776	2192	1482	998	1634	2060	1536	2073	2093	2318	2910	1805	2083	2872	2738	0
Zfp646	1849.473684	836	156	1696	1882	1776	2192	1482	998	1634	2060	1536	2073	2093	2318	2910	1805	2083	2872	2738	0
Wdr31	1840.631579	799	0	2513	1977	2707	2444	1857	838	2241	2318	1938	2859	2750	2895	2045	678	759	1608	1746	0
Nmnat1	1838.526316	1476	0	1941	1904	2373	2540	1505	1170	2212	2700	1496	2866	1899	3063	3218	1313	1620	882	754	0
Lzic	1838.526316	1476	0	1941	1904	2373	2540	1505	1170	2212	2700	1496	2866	1899	3063	3218	1313	1620	882	754	0
Gpaa1	1832.631579	966	0	2169	1574	1914	1919	1478	691	1974	1601	1431	2580	1918	2494	3066	1669	1856	2812	2708	0
Exosc4	1832.631579	966	0	2169	1574	1914	1919	1478	691	1974	1601	1431	2580	1918	2494	3066	1669	1856	2812	2708	0
Aaas	1826.315789	616	0	2186	1776	2337	2477	1361	1101	1721	2330	1595	2915	1933	3072	1910	715	743	2946	2966	0
Eya3	1822.578947	1546	237	1672	1159	1655	2101	1099	566	1563	1940	942	2771	1452	2819	3378	1396	1845	3295	3193	0
Psmg1	1814.894737	1493	0	2138	2043	2665	2622	1373	876	2190	2420	1488	2959	2053	3022	3250	1139	1284	725	743	0
Krr1	1810.473684	773	0	1595	1277	2074	1783	1179	568	1745	2046	1092	2441	1787	2600	3888	1768	1825	3070	2888	0
Ap1m1	1809.157895	691	164	2088	1630	2357	2608	1323	916	1887	2519	1767	3113	2055	3081	2187	786	835	2296	2071	0
Ttc4	1808.000000	1241	0	2105	1708	2652	2281	1476	723	2121	2441	1691	2927	1833	2987	3008	1099	1138	1421	1500	0
Ndufa12	1793.526316	849	0	2036	1705	2415	2061	1278	833	1844	1858	1267	2571	1977	2563	3075	921	1222	2772	2830	0
Nbn	1781.684211	429	0	2285	2409	2633	2846	1770	1245	2365	3036	1732	3258	2035	3139	2475	699	1100	119	277	0
Tatdn3	1775.578947	1807	0	1973	1445	2438	2058	1424	936	2071	1886	1432	2511	2049	2797	2826	1169	1330	1641	1943	0
Nsl1	1775.578947	1807	0	1973	1445	2438	2058	1424	936	2071	1886	1432	2511	2049	2797	2826	1169	1330	1641	1943	0
Ddost	1775.578947	1338	0	2011	1241	2071	1956	1345	604	1614	1868	1429	2753	1740	2915	3221	1621	1938	1934	2137	0
Cnpy3	1771.368421	1869	0	2472	2181	2741	3014	1639	1303	2319	2877	2068	3224	2340	3287	1182	349	505	164	122	0
Psma6	1759.263158	1535	0	1348	966	1733	1846	972	541	1531	1640	798	2467	1532	2517	3909	2205	1909	3035	2942	0
Ybey	1759.210526	1255	0	1700	1596	2141	2135	1317	863	1857	2137	1322	2730	1893	2842	3160	1192	1477	1807	2001	0
Mcm3ap	1759.210526	1255	0	1700	1596	2141	2135	1317	863	1857	2137	1322	2730	1893	2842	3160	1192	1477	1807	2001	0
4930453N24Rik	1757.157895	883	0	1798	1231	1899	1872	1277	645	1805	1797	1558	2603	1793	2317	3303	1158	1465	2838	3144	0
Rpl37	1756.578947	1297	0	1750	1372	1515	1811	1240	638	1289	1702	1035	2550	1293	2516	3660	1801	1576	3166	3164	0
Rnaseh2b	1756.157895	1635	801	1577	1914	1492	2653	1465	1178	1599	2607	1625	2729	1779	2908	3221	1453	1754	418	559	0
Ubac2	1755.631579	1476	0	1175	1171	1601	2145	777	632	1213	2124	980	3012	1579	2901	3641	1773	1875	2598	2684	0
Fam8a1	1731.421053	1598	0	1824	1391	2305	2364	1393	631	1899	1999	1505	2424	1895	2426	3508	1349	1380	1495	1511	0
Klhl20	1731.157895	733	0	1750	1187	2096	1854	1226	464	1786	1498	1233	2418	1939	2156	3623	1286	1304	3177	3162	0
Chordc1	1724.526316	1124	0	1768	1100	1699	1605	1151	632	1579	1797	1360	2737	1894	2579	2938	1257	1187	3226	3133	0
Ppil3	1717.263158	716	0	1702	1303	2019	2012	1402	635	1763	1868	1312	2805	1822	2562	3030	1141	944	2772	2820	0
Nif3l1	1717.263158	716	0	1702	1303	2019	2012	1402	635	1763	1868	1312	2805	1822	2562	3030	1141	944	2772	2820	0
Cops7a	1716.368421	1863	0	1846	1508	1914	2251	1447	793	1496	2237	1326	2893	1844	2830	3472	2204	2330	148	209	0
Bms1	1714.000000	1139	0	1664	1127	2045	1707	1241	501	1702	1477	1025	2295	1371	2457	3164	1258	1520	3472	3401	0
Ccdc91	1713.368421	678	0	1920	2199	2061	2395	1500	1633	1834	2610	1828	2553	1950	2362	2290	719	1142	1365	1515	0
Pigm	1710.210526	1487	0	1543	899	1897	1958	859	448	1177	1476	648	2619	1377	2624	3781	2185	2307	2700	2509	0
Pcid2	1706.210526	1039	0	2062	1801	2252	2062	1589	1015	1983	2177	1652	2335	2031	2472	2087	746	891	2064	2160	0
Cul4a	1706.210526	1039	0	2062	1801	2252	2062	1589	1015	1983	2177	1652	2335	2031	2472	2087	746	891	2064	2160	0
Med17	1705.000000	1306	0	1624	1450	2199	2284	911	936	1658	1872	1147	2665	1674	2757	2464	1342	1131	2410	2565	0
Mrpl3	1703.789474	1096	0	1750	1225	1652	1944	1172	731	1600	1807	1213	1998	1649	2166	3049	1436	1291	3425	3168	0
Epn1	1702.578947	2009	0	1784	1404	2188	2163	1146	428	1432	1701	1209	2665	1504	2886	3224	1402	1653	1671	1880	0
Ube2g2	1702.421053	1572	0	1929	1715	2197	2388	1772	1043	2002	2300	1354	2623	1890	2696	3201	1499	1843	160	162	0
Ddx18	1700.421053	923	0	1401	1773	1666	1929	1008	924	1331	2026	1367	2821	1557	2425	3404	859	1386	2727	2781	0
Mrpl58	1699.210526	1053	0	2126	1895	2443	2297	1637	1178	2009	2254	1424	2884	1923	2913	2690	593	1126	772	1068	0
Rgl2	1696.473684	2179	0	1964	1617	2271	2428	1400	743	1967	2305	1489	2436	2111	2746	2760	1583	1785	157	292	0
Brf2	1674.263158	952	0	1530	1372	1810	1817	1091	559	1567	1410	1137	2255	1696	2405	3405	1387	1460	3022	2936	0
Ssr2	1672.421053	615	0	1315	1370	1830	2123	1100	828	1343	1978	992	2445	1618	2297	3152	1099	1272	3087	3312	0
Actl6a	1663.736842	726	0	2009	1921	2532	2771	1501	1164	1973	2485	1314	2639	1987	2879	2758	1137	1233	198	384	0
Vps45	1661.157895	713	0	1666	1201	1880	1792	828	651	1694	1644	1276	2248	1869	2434	3141	1264	1320	3010	2931	0
Supt7l	1660.315789	666	0	1516	1707	1667	1688	1296	761	1829	1764	1195	1992	1655	1637	3493	1724	2118	2500	2338	0
Slc4a1ap	1660.315789	666	0	1516	1707	1667	1688	1296	761	1829	1764	1195	1992	1655	1637	3493	1724	2118	2500	2338	0
Isy1	1659.105263	1212	0	1340	1223	2150	1976	875	495	1276	1802	766	2688	1243	2707	3030	1157	1345	3194	3044	0
Zfp11	1658.736842	147	0	1925	1382	2197	2104	1299	821	1813	1989	1352	2605	1888	2749	2161	594	635	2776	3079	0
Park7	1658.578947	1432	0	1833	1423	2343	2439	1344	918	1943	2267	1536	2668	2003	2853	2646	1210	1683	536	436	0
Rps21	1658.052632	1456	0	1269	893	1528	1770	760	293	1203	1292	582	2449	1643	2342	3905	2049	2206	2984	2879	0
Mtmr9	1647.210526	1161	0	1392	945	1611	1717	1323	629	1636	1610	1166	2302	1380	2297	3151	1389	1456	3042	3090	0
Rbck1	1642.526316	685	0	1667	1857	2069	2705	1527	1218	2018	2463	1495	2744	2331	2973	1425	186	371	1605	1869	0
Mrpl53	1641.894737	870	0	1994	1227	1956	1713	1091	666	1873	1751	1272	2252	1645	1922	2961	1159	1591	2610	2643	0
Zbtb49	1638.842105	1647	0	1561	1949	2262	2503	1357	1115	1618	2457	1330	2589	1732	2881	2868	1039	1298	342	590	0
Lyar	1638.842105	1647	0	1561	1949	2262	2503	1357	1115	1618	2457	1330	2589	1732	2881	2868	1039	1298	342	590	0
Mterf4	1638.157895	1579	0	1829	1108	2147	1869	1332	376	1820	1602	1142	2300	1571	2464	3074	1062	1384	2069	2397	0
Rmnd5b	1634.947368	813	0	1688	2470	2154	2649	1195	1662	2120	2897	1686	2721	2133	2915	1571	298	928	443	721	0
Commd2	1633.315789	889	0	1660	1410	1710	2013	1099	671	1627	2139	1355	2539	1577	2411	2864	856	1127	2529	2557	0
Unkl	1628.842105	1055	0	1480	931	1994	1704	812	388	1659	1742	822	2291	1609	2323	3338	1341	1416	3050	2993	0
Percc1	1628.842105	1055	0	1480	931	1994	1704	812	388	1659	1742	822	2291	1609	2323	3338	1341	1416	3050	2993	0
BC003965	1628.842105	1055	0	1480	931	1994	1704	812	388	1659	1742	822	2291	1609	2323	3338	1341	1416	3050	2993	0
Pde6d	1627.631579	574	0	2125	1450	2253	1951	1649	872	2060	1856	1554	2273	2107	2138	1612	515	589	2661	2686	0
Cops7b	1627.631579	574	0	2125	1450	2253	1951	1649	872	2060	1856	1554	2273	2107	2138	1612	515	589	2661	2686	0
Tmem222	1619.947368	765	0	1531	1318	2017	2157	1213	723	1746	1996	1174	2535	1691	2748	2746	838	1245	2114	2222	0
Trim41	1619.157895	1132	0	1713	1951	1987	2283	1410	1266	1581	2207	1265	2420	1611	2436	3014	1063	1326	948	1151	0
Ltn1	1614.368421	1585	0	1393	812	1781	1737	795	401	1088	1590	716	2535	1129	2648	3482	1495	1760	2770	2956	0
Cdk5rap1	1611.526316	1297	0	1880	1552	1774	1933	1108	477	1615	1661	1101	2363	1651	2306	1963	736	919	3214	3069	0
Lonp2	1607.631579	1193	0	1981	1950	2231	2891	1453	1039	1797	2791	1523	3094	1682	3151	1959	630	717	259	204	0
Mtbp	1602.263158	760	0	1735	1917	1645	1746	1357	1026	1599	1843	1737	2352	1458	2047	2763	807	1195	2215	2241	0
Mrpl13	1602.263158	760	0	1735	1917	1645	1746	1357	1026	1599	1843	1737	2352	1458	2047	2763	807	1195	2215	2241	0
Vpreb1	1598.052632	869	0	1979	1102	1920	1776	1098	525	1572	1670	1068	2698	1382	2677	2748	883	1034	2640	2722	0
Top3b	1598.052632	869	0	1979	1102	1920	1776	1098	525	1572	1670	1068	2698	1382	2677	2748	883	1034	2640	2722	0
Rrp15	1597.578947	727	0	1669	1250	1820	1755	1238	461	1561	1604	1276	2215	1671	2123	3003	886	946	3161	2988	0
Stpg2	1596.947368	1444	0	1521	1266	1677	2068	953	407	1180	1878	918	2771	1204	2951	3479	2024	1765	1482	1354	0
Chchd2	1596.578947	1659	0	1461	752	1480	1515	863	271	1257	970	819	2130	1500	2218	3598	2399	1751	2883	2809	0
Tufm	1595.842105	840	0	1330	1073	1604	1968	1081	504	1124	1775	799	2299	1207	2644	3125	1408	1753	2883	2904	0
Ccnt1	1593.578947	1232	0	1888	1586	1561	1927	1246	539	1189	1508	1166	2576	1346	2409	3114	987	1145	2422	2437	0
4930415O20Rik	1593.578947	1232	0	1888	1586	1561	1927	1246	539	1189	1508	1166	2576	1346	2409	3114	987	1145	2422	2437	0
Nsfl1c	1586.789474	748	0	2198	1852	2465	2305	1612	853	1896	2325	1457	2531	1732	2785	2219	708	1003	596	864	0
Ccz1	1586.473684	928	0	1375	970	1630	1541	832	418	1245	1473	618	2113	1365	2052	3580	1780	2163	3049	3011	0
Ndufs1	1585.842105	1172	0	1123	1341	1495	1346	788	824	1226	1597	1078	2082	1372	1873	3676	1755	1974	2788	2621	0
Eef1b2	1585.842105	1172	0	1123	1341	1495	1346	788	824	1226	1597	1078	2082	1372	1873	3676	1755	1974	2788	2621	0
Nme1	1581.842105	952	0	1657	1163	1651	1814	1305	632	1318	1693	952	2374	1337	2298	2689	1058	1073	3051	3038	0
Zdhhc6	1580.052632	1257	1539	1300	1098	1489	1634	687	855	1309	1637	1076	1860	1668	2012	3014	1192	1586	2433	2375	0
Vti1a	1580.052632	1257	1539	1300	1098	1489	1634	687	855	1309	1637	1076	1860	1668	2012	3014	1192	1586	2433	2375	0
Aurkaip1	1579.631579	1017	0	1731	978	1980	1967	999	587	1356	1825	945	2540	1381	2552	3130	1215	1252	2312	2246	0
C330018D20Rik	1574.421053	1486	0	1805	1869	1971	2604	1582	925	2308	2536	1605	2884	1874	2861	2600	572	197	235	0	0
Hjurp	1571.105263	1155	0	1409	951	1593	1625	797	249	1071	1537	529	2572	995	2488	3307	2294	2221	2555	2503	0
A730008H23Rik	1571.105263	1155	0	1409	951	1593	1625	797	249	1071	1537	529	2572	995	2488	3307	2294	2221	2555	2503	0
Trmt112	1570.000000	1108	0	1541	1128	1651	1791	1008	433	1239	1390	853	2308	1483	2142	3013	1555	1587	2816	2784	0
Prdx5	1570.000000	1108	0	1541	1128	1651	1791	1008	433	1239	1390	853	2308	1483	2142	3013	1555	1587	2816	2784	0
Atp13a1	1569.210526	1517	0	1509	1103	2006	1935	696	444	1055	1638	674	2401	1273	2575	2977	1591	1676	2431	2314	0
Tma16	1565.789474	887	0	1715	1109	1710	1706	985	494	1426	1516	1041	2040	1572	1960	2980	1052	1025	3302	3230	0
Acp2	1564.789474	1064	0	1600	946	1978	1564	991	618	1420	1591	1061	2339	1571	2259	2525	1133	1079	3098	2894	0
Sec24c	1562.578947	929	1501	1602	877	1903	1773	934	345	1139	1656	722	2603	1046	2741	3004	1419	1470	2064	1961	0
Stoml2	1560.105263	1164	0	1527	1093	1795	1806	1080	590	1743	1899	835	2246	1272	2228	2839	735	974	2856	2960	0
Ndufb3	1556.736842	234	0	1535	1282	1351	1271	1175	749	1874	1323	1355	2286	1774	1501	3580	1285	1695	2682	2626	0
Fam126b	1556.736842	234	0	1535	1282	1351	1271	1175	749	1874	1323	1355	2286	1774	1501	3580	1285	1695	2682	2626	0
Gskip	1553.842105	1077	0	1514	1390	2106	2068	917	670	1444	2010	1041	2520	1574	2643	3110	1206	1100	1471	1662	0
Atg2b	1553.842105	1077	0	1514	1390	2106	2068	917	670	1444	2010	1041	2520	1574	2643	3110	1206	1100	1471	1662	0
Zfp433	1552.421053	1424	0	1239	1132	1416	1749	941	661	1462	1784	945	2607	1560	2436	2673	727	862	2991	2887	0
Gm32687	1552.421053	1424	0	1239	1132	1416	1749	941	661	1462	1784	945	2607	1560	2436	2673	727	862	2991	2887	0
Tnrc6a	1547.052632	1510	153	1489	1404	1985	1979	1148	542	1556	2100	983	2796	1652	2631	3308	1371	1484	527	776	0
Fibp	1545.789474	1334	0	1471	1121	1581	1562	958	479	1467	1391	1168	2138	1604	2106	3099	1461	1666	2364	2400	0
Ccdc85b	1545.789474	1334	0	1471	1121	1581	1562	958	479	1467	1391	1168	2138	1604	2106	3099	1461	1666	2364	2400	0
Zfp524	1541.315789	1222	0	1928	1459	2174	2066	1097	541	1572	1886	982	2877	1511	2744	3023	1295	1225	735	948	0
