Target_genes	Arid5a|Average	SRX11149862|4T1	SRX11149863|4T1	SRX11149866|4T1	SRX11149867|4T1	STRING
Ube2n	49.500000	0	0	0	198	0
Tomm20	49.500000	0	0	0	198	0
Shb	49.500000	0	0	0	198	0
Ddx59	49.500000	81	0	0	117	0
Hif1a	49.250000	0	0	100	97	0
Rpl29	49.000000	0	0	0	196	0
Psap	49.000000	0	0	0	196	0
Mapkapk5	49.000000	91	0	0	105	0
Kifc1	49.000000	0	0	98	98	0
Adgrf2	49.000000	196	0	0	0	0
Vmn1r43	48.750000	0	0	0	195	0
Tcf12	48.750000	0	0	0	195	0
Rp1l1	48.750000	0	0	0	195	0
Rasa2	48.750000	0	0	0	195	0
H3c6	48.750000	0	0	80	115	0
Get4	48.750000	63	0	0	132	0
Zc3h18	48.500000	115	0	0	79	0
Tpm1	48.500000	0	0	0	194	0
Mterf1b	48.500000	0	0	0	194	0
Calm2	48.500000	0	0	0	194	0
Urgcp	48.250000	0	0	0	193	0
Syde2	48.250000	0	0	0	193	0
Phldb2	48.250000	0	0	0	193	0
Gpat3	48.250000	0	0	0	193	0
Eif4g1	48.250000	0	0	0	193	0
Ap5s1	48.000000	84	0	0	108	0
Zfp217	47.750000	0	0	0	191	0
Stam2	47.750000	0	0	0	191	0
Ptma	47.750000	0	0	0	191	0
Plxnd1	47.750000	0	0	0	191	0
Opa1	47.750000	0	0	0	191	0
Med13l	47.750000	0	0	0	191	0
Kat6a	47.750000	0	0	0	191	0
H3c7	47.750000	0	0	0	191	0
H2bc9	47.750000	0	0	0	191	0
H2bc21	47.750000	0	0	0	191	0
H2ac21	47.750000	0	0	0	191	0
H2ac20	47.750000	0	0	0	191	0
Dnajb6	47.750000	70	0	0	121	0
Adipor2	47.750000	0	0	0	191	0
Tnp2	47.500000	0	0	0	190	0
Tle6	47.500000	0	0	0	190	0
Socs1	47.500000	0	0	0	190	0
Psors1c2	47.500000	0	0	0	190	0
Prm3	47.500000	0	0	0	190	0
Dgcr8	47.500000	0	0	0	190	0
Atxn7l2	47.500000	0	0	190	0	0
Trp53rka	47.250000	84	0	0	105	0
Pam	47.250000	0	0	0	189	0
Lpar2	47.250000	0	0	0	189	0
Kras	47.250000	0	0	0	189	0
Gpd2	47.250000	0	0	0	189	0
Apol8	47.250000	0	0	189	0	0
Tnfsf4	47.000000	0	0	0	188	0
Plec	47.000000	0	0	0	188	0
Gjb5	47.000000	0	0	94	94	0
Wbp4	46.750000	0	0	0	187	0
Ppp1r12a	46.750000	0	0	0	187	0
Elf1	46.750000	0	0	0	187	0
Adprh	46.750000	0	0	0	187	0
Tlk2	46.500000	0	0	186	0	0
Tgfa	46.500000	0	0	0	186	0
Tet3	46.500000	0	0	0	186	0
Tbl1x	46.500000	0	0	0	186	0
Polg	46.500000	0	0	0	186	0
Cx3cr1	46.500000	0	0	0	186	0
Atxn2	46.500000	0	0	0	186	0
Vamp4	46.250000	0	0	100	85	0
Synpo	46.000000	0	0	0	184	0
Lnpep	46.000000	0	0	0	184	0
Fth1	46.000000	0	0	0	184	0
Ythdf2	45.750000	0	0	0	183	0
Prox2	45.750000	0	0	88	95	0
Dlst	45.750000	0	0	88	95	0
Chordc1	45.750000	0	0	0	183	0
Ssbp4	45.500000	0	0	0	182	0
Smad7	45.500000	0	0	0	182	0
Plscr4	45.500000	0	0	93	89	0
Tes	45.250000	0	0	0	181	0
Tatdn2	45.250000	0	0	0	181	0
Kdm6b	45.250000	0	0	0	181	0
Insr	45.250000	0	0	75	106	0
Gprin3	45.250000	0	0	0	181	0
Dnajc11	45.250000	0	0	0	181	0
Tm4sf1	45.000000	0	0	0	180	0
Tiam1	45.000000	0	0	0	180	0
Tatdn1	45.000000	69	0	0	111	0
Repin1	45.000000	0	0	0	180	0
Nfe2	45.000000	0	0	0	180	0
Ndufb9	45.000000	69	0	0	111	0
Lima1	45.000000	0	0	0	180	0
Gm5111	45.000000	0	0	0	180	0
Bin3	45.000000	0	0	0	180	0
Trappc9	44.750000	0	0	65	114	0
Sod1	44.750000	0	0	0	179	0
Rapgef1	44.750000	0	0	0	179	0
Ppip5k2	44.750000	0	0	0	179	0
Otud7b	44.750000	0	0	0	179	0
Nr4a2	44.750000	0	0	0	179	0
Mtarc1	44.750000	0	0	0	179	0
Lipt2	44.750000	0	0	0	179	0
Kbtbd2	44.750000	0	0	0	179	0
Irf2	44.750000	0	0	0	179	0
Gpr84	44.750000	0	0	0	179	0
Gin1	44.750000	0	0	0	179	0
Ten1	44.500000	0	0	0	178	0
Suz12	44.500000	0	0	178	0	0
Rfx7	44.500000	0	0	0	178	0
Phf13	44.500000	0	0	0	178	0
Eif2b5	44.500000	0	0	0	178	0
Acox1	44.500000	0	0	0	178	0
Zcchc4	44.250000	0	0	0	177	0
Ndufs7	44.250000	87	0	0	90	0
Memo1	44.250000	0	0	0	177	0
Gfra1	44.250000	0	0	0	177	0
Fer	44.250000	0	0	0	177	0
Cdsn	44.250000	0	0	0	177	0
Atxn7l3	44.250000	0	0	103	74	0
Zyx	44.000000	0	0	0	176	0
Spry2	44.000000	0	0	0	176	0
Gm19345	44.000000	0	0	0	176	0
Dmp1	44.000000	0	0	0	176	0
Ackr3	44.000000	0	0	0	176	0
Mtss1	43.750000	0	0	0	175	0
Krt39	43.750000	0	0	0	175	0
Hmgn2	43.750000	0	0	0	175	0
Hemk1	43.750000	0	0	0	175	0
Ccny	43.750000	0	0	0	175	0
6430571L13Rik	43.750000	0	0	0	175	0
Washc1	43.500000	0	0	0	174	0
Polr3e	43.500000	83	0	0	91	0
Nudt13	43.500000	0	0	0	174	0
Lrtm2	43.500000	0	0	0	174	0
Inpp5e	43.500000	0	0	0	174	0
Inf2	43.500000	0	0	0	174	0
Cox7a2	43.500000	0	0	0	174	0
Cacna2d4	43.500000	0	0	0	174	0
Mageb3	43.250000	0	0	0	173	0
Klhl33	43.250000	0	0	0	173	0
Ctdspl2	43.250000	0	0	0	173	0
Arid2	43.250000	0	0	0	173	0
Tmem223	43.000000	0	0	0	172	0
Tmem179b	43.000000	0	0	0	172	0
Sertad1	43.000000	0	0	0	172	0
Esco1	43.000000	0	0	0	172	0
Zfp335	42.750000	0	0	0	171	0
Zfand5	42.750000	0	0	0	171	0
Tnfrsf19	42.750000	0	0	0	171	0
Rras2	42.750000	0	0	0	171	0
Yeats2	42.500000	0	0	0	170	0
