Target_genes	Ebf2|Average	SRX11005922|Adipocytes	SRX11005923|Adipocytes	SRX11005924|Adipocytes	SRX11005925|Adipocytes	SRX2676935|Brown_adipose_tissue	SRX2676936|Brown_adipose_tissue	SRX3070368|Brown_adipose_tissue	SRX3070369|Brown_adipose_tissue	SRX1357067|Brown_preadipocytes	SRX1357068|Brown_preadipocytes	SRX1357069|Brown_preadipocytes	SRX1357070|Brown_preadipocytes	SRX4054019|Embryoid_Bodies	SRX4054020|Embryoid_Bodies	SRX1706969|mESCs,_differentiated	SRX1706970|mESCs,_differentiated	SRX4054029|mESCs,_differentiated	SRX4054030|mESCs,_differentiated	STRING
Tmed2	830.166667	246	114	0	0	0	203	0	340	593	1143	1629	837	1478	924	2333	2239	1217	1647	0
Hspa5	827.555556	566	381	361	363	0	390	0	284	179	236	1392	227	1324	951	2336	2439	1279	2188	0
Impdh1	827.444444	830	651	976	534	256	1077	0	850	0	109	1109	553	1775	1436	1607	1416	759	956	0
Neurl4	825.611111	361	374	232	417	233	496	0	278	335	386	1538	425	1459	953	2310	2359	1077	1628	0
2810408A11Rik	825.611111	361	374	232	417	233	496	0	278	335	386	1538	425	1459	953	2310	2359	1077	1628	0
Cycs	825.000000	766	468	480	398	170	435	0	758	210	477	956	285	1212	883	2416	2078	1152	1706	0
Crb2	822.222222	439	362	414	372	0	0	0	0	0	414	517	0	2177	1430	2419	2369	1632	2255	0
Zscan22	817.722222	462	443	453	292	138	249	0	198	214	347	1013	203	1356	1045	2582	2339	1565	1820	0
Prkrip1	814.444444	1117	1004	1033	952	99	474	0	407	0	238	665	247	1231	813	2152	1811	910	1507	0
Zfp607b	814.055556	1284	1080	1026	945	0	239	0	165	238	347	1125	0	1153	630	2273	1845	1009	1294	0
Map3k10	814.055556	1284	1080	1026	945	0	239	0	165	238	347	1125	0	1153	630	2273	1845	1009	1294	0
Ogfod3	813.555556	815	601	637	554	0	151	0	352	0	153	583	155	1398	967	2273	2212	1676	2117	0
Hexdc	813.555556	815	601	637	554	0	151	0	352	0	153	583	155	1398	967	2273	2212	1676	2117	0
Fuca1	813.222222	730	411	551	433	160	469	0	248	0	415	1605	765	1686	1165	1839	2010	929	1222	0
Setdb2	813.166667	510	333	389	370	156	217	0	198	298	587	1379	342	1514	960	2265	2132	1095	1892	0
Gm45935	813.166667	510	333	389	370	156	217	0	198	298	587	1379	342	1514	960	2265	2132	1095	1892	0
Cab39l	813.166667	510	333	389	370	156	217	0	198	298	587	1379	342	1514	960	2265	2132	1095	1892	0
Phlpp1	811.222222	1110	813	812	559	142	525	0	238	204	421	1055	250	1294	777	2295	2071	765	1271	0
D6Ertd527e	808.666667	1335	1152	1363	1301	224	619	0	208	839	1371	1783	969	243	281	1099	793	299	677	0
Ccdc171	807.055556	697	777	682	565	0	157	0	244	0	206	604	246	2074	1357	2053	1710	1435	1720	0
Vcl	804.333333	938	651	730	621	113	493	0	360	199	735	1241	280	1083	656	1771	1795	1134	1678	0
Akap10	801.833333	597	469	428	390	171	616	0	461	154	434	1065	449	1287	1045	1986	1850	1351	1680	0
Rmi1	798.666667	289	143	194	0	187	472	0	338	330	854	1429	542	1240	933	2231	2186	1067	1941	0
Hnrnpk	798.666667	289	143	194	0	187	472	0	338	330	854	1429	542	1240	933	2231	2186	1067	1941	0
Gbe1	798.166667	293	229	198	95	0	316	0	430	233	777	1428	548	1307	1007	2357	2233	1291	1625	0
Paip2	797.111111	706	543	473	412	170	384	0	214	221	437	1352	389	1389	1055	2298	1949	922	1434	0
Ppp1r8	796.944444	434	236	280	148	0	279	0	0	147	479	1382	360	1588	1124	2716	2376	985	1811	0
Cmtr1	793.611111	397	150	199	0	0	392	0	245	253	600	1678	318	1180	824	2737	2473	1182	1657	0
Zcchc8	793.388889	579	422	664	493	216	213	0	361	120	585	1507	347	1445	813	2128	2049	953	1386	0
Tada3	793.055556	943	506	655	801	0	374	0	344	216	521	1429	397	1406	741	1837	1720	939	1446	0
Arpc4	793.055556	943	506	655	801	0	374	0	344	216	521	1429	397	1406	741	1837	1720	939	1446	0
Elavl3	792.277778	585	572	436	490	0	516	0	117	113	131	652	189	1692	1264	2302	2172	1248	1782	0
Mrps15	785.166667	710	539	451	435	0	0	0	214	140	295	957	222	1604	1199	2259	2071	1180	1857	0
2010003K11Rik	785.000000	462	348	365	314	227	1102	0	237	313	771	1141	517	945	775	2410	2115	976	1112	0
Arfip1	784.555556	623	584	462	592	213	238	0	201	178	670	982	206	994	830	2515	2036	1121	1677	0
Hdac10	782.722222	1105	817	994	814	120	351	0	259	232	489	1197	581	971	670	2110	1551	619	1209	0
Rgl1	782.500000	0	0	0	0	160	579	0	516	479	937	1725	364	1144	764	2224	2371	1400	1422	0
Arpc5	782.500000	0	0	0	0	160	579	0	516	479	937	1725	364	1144	764	2224	2371	1400	1422	0
Gdf15	781.555556	340	147	245	98	142	308	0	240	283	225	1143	219	1537	928	2378	2391	1481	1963	0
Mrps33	781.166667	439	291	357	235	145	454	0	171	219	674	1717	388	655	646	2381	2158	1285	1846	0
Slc10a6	780.555556	1352	1385	1177	1239	0	299	0	227	162	498	1282	383	289	230	2411	2052	215	849	0
Kcna7	779.000000	818	612	607	562	188	457	0	0	637	1010	1721	877	870	563	1956	1745	427	972	0
Msantd4	776.944444	666	537	583	547	0	229	0	332	0	472	1168	217	1189	993	2049	1926	1508	1569	0
Pnkd	776.611111	715	550	920	578	175	552	0	464	132	314	941	265	689	508	2240	1949	1170	1817	0
Exoc5	776.611111	776	530	621	570	146	388	0	247	294	694	1325	214	1325	760	2057	1680	896	1456	0
Ap5m1	776.611111	776	530	621	570	146	388	0	247	294	694	1325	214	1325	760	2057	1680	896	1456	0
Aamp	776.611111	715	550	920	578	175	552	0	464	132	314	941	265	689	508	2240	1949	1170	1817	0
Stat1	776.500000	966	551	731	387	0	307	0	591	145	505	1432	398	1068	706	2096	1936	905	1253	0
Sesn2	775.222222	360	325	295	276	0	400	0	481	260	805	1482	407	1250	911	1921	1873	1308	1600	0
Akap8l	771.388889	670	423	683	478	161	586	0	316	235	563	1286	370	1065	743	1906	1886	1020	1494	0
Vapa	769.222222	783	629	758	552	429	750	0	629	200	457	1476	642	871	325	1510	1501	1045	1289	0
Cerk	767.500000	301	183	188	357	0	0	0	0	156	759	1513	291	2301	1620	1689	1806	1116	1535	0
Atr	766.000000	387	377	277	305	0	454	0	239	280	551	1386	235	1343	685	2412	2304	1098	1455	0
1700065D16Rik	766.000000	387	377	277	305	0	454	0	239	280	551	1386	235	1343	685	2412	2304	1098	1455	0
Wdr66	765.000000	116	207	155	161	0	0	0	0	95	215	375	122	2069	1598	2707	2421	1468	2061	0
Os9	764.000000	246	286	240	127	0	0	0	0	146	0	296	0	1976	1367	2476	2489	1734	2369	0
Rln3	762.833333	341	224	291	262	0	0	0	0	670	1145	1428	394	1343	884	2371	2105	970	1303	0
Il27ra	762.833333	341	224	291	262	0	0	0	0	670	1145	1428	394	1343	884	2371	2105	970	1303	0
Bche	759.888889	257	263	239	237	0	0	0	0	0	0	0	0	2293	1647	2613	2410	1531	2188	0
Map9	758.333333	982	743	894	763	0	126	0	0	150	550	621	126	1109	757	2044	2080	869	1836	0
Ap2a2	756.055556	967	631	720	572	221	626	0	207	406	639	1104	414	824	699	1921	1641	1011	1006	0
Vps8	755.666667	637	386	606	303	0	308	0	491	260	572	1340	311	1080	606	2348	2159	884	1311	0
Sgta	755.388889	644	448	688	382	0	0	0	196	66	578	1082	257	1118	741	2330	2157	1111	1799	0
Cblb	755.000000	704	522	599	672	176	461	0	255	146	492	1146	208	940	737	2065	1807	1169	1491	0
Ppp1r16a	753.777778	839	666	472	312	0	409	0	422	253	723	1312	416	1197	910	1991	1870	611	1165	0
Foxh1	753.777778	839	666	472	312	0	409	0	422	253	723	1312	416	1197	910	1991	1870	611	1165	0
Clcn7	750.944444	725	739	820	565	0	533	0	416	230	363	1380	433	556	335	2453	1957	717	1295	0
Tagln3	748.222222	0	0	0	0	0	0	0	0	0	0	0	0	2501	2242	2236	2240	1869	2380	0
Zkscan17	747.722222	619	556	325	482	0	554	0	321	440	850	1669	794	880	541	2062	1795	574	997	0
Wapl	747.611111	413	226	284	176	0	314	0	398	0	124	620	0	1545	1207	2241	2210	1637	2062	0
Trim25	744.833333	663	350	636	691	0	413	0	250	687	1310	1392	674	417	471	2079	1583	486	1305	0
Kif20a	743.555556	337	431	468	523	0	128	0	255	211	565	1346	151	1161	966	2232	2001	1059	1550	0
Brd8	743.555556	337	431	468	523	0	128	0	255	211	565	1346	151	1161	966	2232	2001	1059	1550	0
Th	742.166667	543	625	489	353	0	0	0	0	0	0	0	0	1726	1122	2754	2452	1335	1960	0
Plekha3	742.000000	1163	860	1073	778	145	883	0	0	238	639	1134	674	893	547	1627	1272	467	963	0
Fkbp7	742.000000	1163	860	1073	778	145	883	0	0	238	639	1134	674	893	547	1627	1272	467	963	0
Sdc4	741.333333	504	374	280	345	260	459	0	295	562	991	1552	675	1092	761	1914	1555	572	1153	0
Csgalnact1	739.888889	600	539	389	321	0	407	0	283	499	841	1626	823	791	548	1999	1659	738	1255	0
Pik3r2	738.277778	1118	905	1136	990	197	376	0	334	237	681	1241	614	638	481	1455	1612	472	802	0
Tmeff1	737.722222	0	0	0	0	0	0	0	0	0	127	701	0	2742	2490	1994	1911	1391	1923	0
Ftl1	736.055556	606	583	624	605	214	481	0	267	172	349	1039	245	1212	885	1957	1728	964	1318	0
Mzt2	734.111111	341	236	258	258	0	213	0	334	0	310	1238	220	872	701	2305	2414	1565	1949	0
Ppm1d	733.944444	692	622	598	517	0	430	0	0	270	939	1470	627	924	486	2041	1783	759	1053	0
Gm4791	731.888889	0	0	0	0	0	0	0	0	0	0	0	0	2335	1845	2171	2390	1917	2516	0
Timm17b	731.666667	663	633	456	452	0	482	0	0	190	330	1200	182	1189	873	2301	2034	805	1380	0
Pqbp1	731.666667	663	633	456	452	0	482	0	0	190	330	1200	182	1189	873	2301	2034	805	1380	0
Wdhd1	730.444444	379	0	170	0	0	184	0	238	256	798	1109	182	1570	1109	2327	1964	1112	1750	0
Socs4	730.444444	379	0	170	0	0	184	0	238	256	798	1109	182	1570	1109	2327	1964	1112	1750	0
Pip4p1	730.333333	408	305	282	354	156	463	0	436	140	488	1306	261	663	710	2076	2240	1191	1667	0
Atp5g2	725.666667	606	421	528	286	0	171	0	0	388	643	584	130	1596	875	2157	2113	1153	1411	0
Nes	725.000000	231	194	253	325	0	147	0	0	95	233	278	0	2239	1574	2005	1886	1483	2107	0
Dnajc13	724.333333	927	784	690	465	83	280	0	369	0	375	1180	293	958	743	2053	1440	945	1453	0
Fus	723.722222	756	467	491	363	0	166	0	0	151	358	927	298	1671	1157	2133	1684	884	1521	0
Pappa2	722.277778	304	114	153	235	202	555	0	0	204	409	1127	256	1244	897	2544	2388	919	1450	0
Letmd1	720.944444	208	0	0	0	266	761	0	662	0	253	1132	265	1396	990	1980	2078	1436	1550	0
Fbxo46	720.777778	732	450	471	386	153	345	0	278	232	476	1201	396	898	450	2207	2073	919	1307	0
Bhmg1	720.777778	732	450	471	386	153	345	0	278	232	476	1201	396	898	450	2207	2073	919	1307	0
Pcgf1	720.500000	650	503	471	509	0	277	0	174	350	864	1486	450	1074	822	1611	1583	970	1175	0
Hpca	720.444444	251	0	0	0	0	239	0	132	1113	1619	1779	1250	867	673	1581	1621	852	991	0
Rpl13a	719.888889	713	560	463	463	0	321	0	324	118	411	1540	510	829	762	1883	1703	943	1415	0
Dynlt1f	715.277778	790	477	538	332	0	0	0	195	114	144	543	110	1614	1236	2063	1843	1094	1782	0
Dynlt1c	715.277778	790	477	538	332	0	0	0	195	114	144	543	110	1614	1236	2063	1843	1094	1782	0
Cd82	713.888889	1850	1916	1623	1694	167	319	0	468	150	296	767	399	304	189	1068	712	280	648	0
Ushbp1	711.944444	515	489	562	427	0	79	0	0	127	294	683	0	1376	1129	2166	1928	1329	1711	0
Babam1	711.944444	515	489	562	427	0	79	0	0	127	294	683	0	1376	1129	2166	1928	1329	1711	0
Mtap	711.166667	1154	977	912	860	132	628	0	169	132	178	1158	375	714	415	1680	1354	730	1233	0
Pck2	709.111111	658	569	668	547	242	372	0	395	597	1133	1630	695	534	361	1737	1422	499	705	0
Mthfr	707.500000	485	273	334	258	0	129	0	226	0	274	531	174	1833	1076	2299	2089	1164	1590	0
Clcn6	707.500000	485	273	334	258	0	129	0	226	0	274	531	174	1833	1076	2299	2089	1164	1590	0
Kdm6b	705.333333	522	529	473	542	0	369	0	416	257	483	1064	496	1277	710	1971	1850	712	1025	0
Gatd3a	705.222222	661	449	576	591	0	269	0	252	283	601	1033	421	810	626	2338	1863	719	1202	0
Chd4	704.333333	335	311	299	312	0	434	0	0	0	190	941	341	1514	1198	2174	1903	1176	1550	0
1700037H04Rik	703.555556	184	234	222	219	0	148	0	0	0	186	257	0	1655	1467	2388	2156	1528	2020	0
Abhd14b	703.500000	123	163	229	150	0	213	0	129	59	192	345	0	2384	1954	1632	1641	1489	1960	0
Cwc25	703.222222	478	468	538	409	0	292	0	204	160	299	1042	339	1308	746	2077	1941	998	1359	0
Mark2	702.055556	1001	643	745	561	192	471	0	313	193	323	1336	565	1047	585	1697	1466	437	1062	0
Tnrc6c	700.500000	397	441	394	249	0	193	0	0	157	378	1041	202	1342	1002	2134	2059	1063	1557	0
Fut10	700.388889	619	512	444	439	0	332	0	207	209	484	1124	295	1443	915	1498	1436	1157	1493	0
Iqcc	698.777778	536	478	339	352	177	346	0	345	214	553	1230	329	824	655	2165	1937	746	1352	0
Dcdc2b	698.777778	536	478	339	352	177	346	0	345	214	553	1230	329	824	655	2165	1937	746	1352	0
Ccdc28b	698.777778	536	478	339	352	177	346	0	345	214	553	1230	329	824	655	2165	1937	746	1352	0
Mpv17l2	695.555556	670	510	487	395	154	359	0	268	0	0	424	0	1394	1369	1791	1741	1185	1773	0
Ube2q1	695.166667	515	515	453	429	0	234	0	227	0	231	842	203	1317	913	1933	1772	1278	1651	0
Tln1	692.166667	726	486	623	410	0	275	0	319	124	312	1067	411	1017	660	2124	1653	791	1461	0
Creb3	692.166667	726	486	623	410	0	275	0	319	124	312	1067	411	1017	660	2124	1653	791	1461	0
Mul1	689.388889	533	348	362	344	146	276	0	210	73	400	866	336	929	775	2143	2085	1067	1516	0
Clcn3	686.333333	799	728	791	650	0	280	0	234	130	231	487	129	924	684	1761	1924	1001	1601	0
Slc30a5	685.611111	305	227	146	0	118	308	0	449	354	508	1111	209	871	766	2010	2068	1116	1775	0
Arrdc4	685.222222	550	401	544	370	0	184	0	0	0	227	1135	154	1436	888	1543	1564	1525	1813	0
Slc17a7	685.111111	242	249	144	124	0	0	0	0	139	315	1382	243	1815	1280	1976	1961	1035	1427	0
Vwa3a	684.555556	902	692	760	666	799	1844	0	179	0	0	1546	617	817	523	944	800	464	769	0
