Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX197273|Macrophages	SRX197274|Macrophages	SRX197275|Macrophages	SRX197276|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX9311781|Macrophages	SRX9311782|Macrophages	SRX9311783|Macrophages	SRX9311784|Macrophages	SRX9311785|Macrophages	SRX9311786|Macrophages	SRX9311787|Macrophages	SRX9311788|Macrophages	SRX9311789|Macrophages	SRX9311790|Macrophages	SRX9311791|Macrophages	SRX9311792|Macrophages	SRX9311793|Macrophages	SRX9311794|Macrophages	SRX9311795|Macrophages	SRX9311796|Macrophages	SRX9311797|Macrophages	SRX9311798|Macrophages	SRX9311799|Macrophages	SRX9311800|Macrophages	SRX9311801|Macrophages	SRX9311802|Macrophages	SRX9311803|Macrophages	SRX9311804|Macrophages	SRX9311885|Macrophages	SRX9311886|Macrophages	SRX9311887|Macrophages	SRX9311888|Macrophages	SRX9311889|Macrophages	SRX9311890|Macrophages	SRX9311891|Macrophages	SRX9311892|Macrophages	SRX832470|Naive_T_cells	SRX832476|Naive_T_cells	SRX12379720|RAW_264.7	SRX12379721|RAW_264.7	SRX12379722|RAW_264.7	SRX12379723|RAW_264.7	SRX12379724|RAW_264.7	SRX12379725|RAW_264.7	SRX12379726|RAW_264.7	SRX12379742|RAW_264.7	SRX12379743|RAW_264.7	SRX12379744|RAW_264.7	SRX12379745|RAW_264.7	SRX12379844|RAW_264.7	SRX12379845|RAW_264.7	SRX12379846|RAW_264.7	SRX12379847|RAW_264.7	SRX12379848|RAW_264.7	SRX12379849|RAW_264.7	SRX12379850|RAW_264.7	SRX12379851|RAW_264.7	SRX12379867|RAW_264.7	SRX13208232|RAW_264.7	SRX13208233|RAW_264.7	SRX13208234|RAW_264.7	SRX13208235|RAW_264.7	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Ralgds	544.845070	0	2986	2317	2685	2660	2966	2108	2342	0	0	2090	1130	1567	942	988	914	0	0	369	493	0	0	364	721	0	0	610	1335	0	0	634	1081	0	0	344	329	0	0	99	0	0	0	0	1418	1574	0	0	1155	1189	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	814	0	0	340	0	0
Bicra	533.197183	0	2418	1647	2282	2897	2773	558	1054	77	273	2335	880	1469	598	712	984	0	137	386	348	0	0	332	537	0	132	594	1267	0	0	395	1079	0	0	241	227	0	0	271	0	0	0	0	1488	1480	0	0	1751	1698	524	588	0	119	0	0	0	0	95	0	0	0	0	0	0	0	0	1327	0	0	1032	852	0
B9d2	524.380282	0	2484	2071	2128	2182	1895	1269	1810	0	137	2241	1335	1658	679	905	845	0	0	301	398	0	0	432	511	0	113	931	1418	0	0	866	1439	0	0	222	319	0	0	210	0	0	0	0	1727	1798	0	0	2243	1868	365	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	105	0	0
Tmem91	517.746479	0	2484	2071	2128	2182	1895	1269	1810	0	0	2241	1335	1658	679	905	845	0	0	301	398	0	0	432	511	0	0	931	1418	0	0	866	1439	0	0	222	319	0	0	210	0	0	0	0	1727	1798	0	0	2243	1868	365	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pecam1	517.718310	0	2475	1845	2620	2964	2499	1111	1766	0	0	2661	1528	1623	557	864	725	0	0	355	252	0	0	206	418	0	0	471	1069	0	0	502	1001	0	0	184	163	0	0	153	0	0	0	0	619	536	0	0	432	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1838	0	1294	2713	928	0
Kpna1	515.971831	231	185	196	81	149	0	954	729	249	652	600	533	739	651	478	775	197	407	440	243	355	396	429	287	0	486	677	1077	835	329	1064	503	403	294	601	500	396	290	572	316	0	0	0	188	215	0	0	171	191	1932	1871	2261	2288	589	498	729	229	921	253	213	192	0	435	317	470	654	1032	1124	0	879	683	0
Cep170	508.338028	0	3345	2973	2890	3189	2981	822	1128	0	142	1881	1227	1539	926	1046	1423	0	0	492	626	89	0	362	739	0	0	669	1215	0	0	257	1027	0	0	348	296	0	0	367	0	0	0	0	510	714	0	0	915	700	177	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	208	279	0
Zkscan6	503.732394	0	2142	2007	1612	951	701	1966	2375	0	0	2320	933	1842	585	760	553	0	0	177	293	0	0	287	254	0	0	686	1393	0	0	885	1242	0	0	162	150	0	0	0	0	0	0	0	1994	2196	0	0	2012	1668	286	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	0	485	1001	484	0
Mgat1	502.126761	0	3391	3037	2871	3094	3129	1639	2271	0	0	1744	780	1355	371	522	625	0	0	290	243	0	0	273	553	0	0	520	816	0	0	591	1147	101	0	269	74	0	0	121	0	0	0	0	842	1020	0	0	1402	1143	236	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918	0	0
Ldlrad3	498.535211	0	3098	2878	2840	3071	2943	1400	1976	0	0	2007	990	1525	924	881	747	0	0	371	383	0	0	321	582	0	0	279	454	0	0	595	786	0	0	204	311	0	0	238	145	0	0	0	1082	1289	0	0	1136	1127	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	548	0	0
Sdccag8	497.690141	0	3345	2973	2890	3189	2981	822	1128	0	0	1881	1227	1539	926	1046	1423	0	0	492	626	0	0	362	739	0	0	669	1215	0	0	257	1027	0	0	348	296	0	0	367	0	0	0	0	510	714	0	0	915	700	177	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	279	0
Irf2	454.436620	0	1178	859	1221	1344	1741	1127	1081	107	219	1975	1027	1598	730	575	506	0	0	251	284	0	138	222	393	0	68	259	1004	110	0	750	1209	128	0	513	287	142	0	318	166	0	0	0	1620	1613	0	0	2133	1865	600	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	403	0	236	657	1093	0
Tarbp2	451.746479	0	1202	1240	1769	2233	2151	401	715	0	0	1701	913	739	314	565	482	0	0	204	171	0	0	255	327	0	0	317	747	0	0	361	862	0	0	0	0	0	0	0	0	0	0	0	1273	1573	0	0	1778	1394	181	205	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	1728	0	1269	2333	2542	0
Npff	451.746479	0	1202	1240	1769	2233	2151	401	715	0	0	1701	913	739	314	565	482	0	0	204	171	0	0	255	327	0	0	317	747	0	0	361	862	0	0	0	0	0	0	0	0	0	0	0	1273	1573	0	0	1778	1394	181	205	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	1728	0	1269	2333	2542	0
Map3k12	451.746479	0	1202	1240	1769	2233	2151	401	715	0	0	1701	913	739	314	565	482	0	0	204	171	0	0	255	327	0	0	317	747	0	0	361	862	0	0	0	0	0	0	0	0	0	0	0	1273	1573	0	0	1778	1394	181	205	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	1728	0	1269	2333	2542	0
Otulin	450.436620	0	2938	2318	2987	2827	2806	718	719	0	159	2038	1274	1497	628	738	0	0	0	0	0	0	0	0	0	0	0	0	1326	71	0	0	941	79	0	0	286	0	0	0	131	0	0	0	1097	1160	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	625	1991	2407	0
Siglec1	446.126761	0	2597	1820	2000	2698	2500	879	1178	156	309	1555	868	1038	452	498	709	206	0	342	423	164	142	175	468	0	161	369	851	0	67	424	787	163	0	303	149	0	0	303	0	0	0	0	1256	1217	0	0	1707	1656	551	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3galt4	446.000000	0	2523	1534	2261	2618	2449	598	1011	0	0	2143	920	1284	614	782	600	0	0	267	466	0	0	491	514	0	123	591	1157	0	0	743	1177	0	0	127	192	0	0	0	0	0	0	0	1011	981	0	0	1556	1192	289	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	682	366	0
Slc15a3	445.000000	117	2611	2088	1978	2593	2327	304	670	151	531	1372	749	723	657	805	727	0	73	458	382	103	141	333	437	126	194	365	860	120	0	656	1430	128	0	165	203	0	0	183	158	0	0	0	674	838	0	0	1596	1420	401	287	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	603	694	0
Ang6	443.971831	0	1702	1668	2058	2611	2448	1325	1477	0	172	1927	948	1743	927	1282	1214	0	0	610	708	0	0	407	627	0	92	726	1059	0	0	686	1093	0	0	440	341	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258	0	521	1187	0	0
Il31ra	443.535211	210	0	0	0	0	0	507	228	166	465	736	695	823	576	247	382	289	224	298	252	402	274	419	251	0	331	626	693	489	295	762	269	574	162	624	342	316	298	480	192	0	0	0	651	601	226	257	396	421	1655	1681	2009	1948	270	461	556	0	717	227	284	280	170	277	454	508	441	886	900	0	557	761	0
Rars	438.281690	0	955	817	1303	1804	1590	737	1189	0	0	1936	839	1732	703	741	867	0	0	233	323	0	0	557	874	0	0	812	1583	0	0	174	547	0	0	0	158	0	0	0	0	0	0	0	1005	968	0	0	1162	991	108	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2029	207	1574	2044	369	0
Frmd4b	427.042254	0	2652	2238	2178	2652	2862	1108	1466	173	241	1490	650	765	423	254	412	84	0	179	129	115	168	144	128	0	112	214	375	116	208	337	1032	0	0	96	151	0	0	0	120	0	0	0	1070	1057	0	0	1361	1432	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	1311	675	0
Phf20	423.915493	0	3315	2857	2506	2693	2760	1437	1682	0	0	1329	524	943	286	367	411	0	0	216	0	0	0	144	311	0	0	137	432	0	0	462	674	0	0	0	124	0	0	0	0	0	0	0	749	906	0	0	1404	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	936	100	0	0	0
Ifngr2	422.014085	0	543	354	527	618	830	606	832	111	169	1042	794	848	590	834	310	0	0	563	232	0	0	568	391	0	0	633	645	0	0	921	608	129	0	495	230	95	0	279	0	0	0	0	2358	2289	0	0	2473	2185	767	660	139	172	0	0	116	0	130	0	0	0	0	0	0	0	0	1846	0	575	658	798	0
Pgs1	419.859155	0	1579	1067	1469	1731	1415	413	696	332	738	1326	872	1058	745	712	893	119	271	335	395	336	319	340	444	191	428	584	1245	147	325	307	974	300	0	547	270	241	0	330	0	0	0	200	1059	1134	0	203	1286	1046	0	0	0	0	0	0	0	0	0	0	0	0	238	0	112	0	0	141	0	0	229	668	0
Cbl	418.690141	0	2140	1389	2204	2683	2365	209	610	121	170	1964	937	1517	674	920	1022	0	0	492	470	0	100	643	806	0	167	605	1559	0	0	282	691	0	0	185	183	0	0	195	155	0	0	0	612	571	0	0	870	825	221	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	255	0	0	217	0
Lpxn	417.323944	0	2243	1789	2577	2414	2155	746	1270	0	153	1378	991	1159	439	559	642	0	0	265	216	0	0	277	532	0	0	491	854	0	0	528	943	136	0	0	0	0	0	0	0	0	0	0	811	914	0	0	1077	1012	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	207	147	1141	795	0
Pcyox1l	416.887324	0	1600	1427	2154	2424	2244	449	1019	0	0	2095	652	1733	444	605	557	0	0	285	325	0	0	312	515	0	0	312	898	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	1312	1267	0	0	1556	1507	364	302	0	0	0	0	94	0	197	0	0	0	0	0	0	0	0	1566	0	473	627	129	0
Cnr2	415.323944	0	1890	1338	2063	2029	1944	500	702	0	153	1466	760	800	363	371	524	0	0	290	225	0	116	219	148	0	161	462	825	0	0	262	449	0	0	142	0	0	0	101	0	0	0	0	1264	1434	0	0	1822	1563	669	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1257	0	327	1212	1011	0
Imp4	415.154930	0	1627	1150	1269	1779	1562	1288	1927	0	0	1376	443	846	343	362	600	0	0	270	0	0	0	250	344	0	0	273	509	170	0	472	624	0	0	131	0	0	0	0	0	0	0	0	1065	1082	0	0	1567	1173	264	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1755	230	869	1818	1837	0
Ccdc115	415.154930	0	1627	1150	1269	1779	1562	1288	1927	0	0	1376	443	846	343	362	600	0	0	270	0	0	0	250	344	0	0	273	509	170	0	472	624	0	0	131	0	0	0	0	0	0	0	0	1065	1082	0	0	1567	1173	264	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1755	230	869	1818	1837	0
Ang5	414.281690	0	1596	1278	1975	2486	2466	1267	1393	0	0	1851	1014	1411	803	1314	1254	0	0	461	634	0	0	252	407	0	200	503	842	0	0	712	1353	0	0	437	230	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1331	0	464	1226	0	0
Ang3	414.281690	0	1596	1278	1975	2486	2466	1267	1393	0	0	1851	1014	1411	803	1314	1254	0	0	461	634	0	0	252	407	0	200	503	842	0	0	712	1353	0	0	437	230	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1331	0	464	1226	0	0
Rhoq	412.366197	0	1088	885	1109	1053	1007	1228	1506	0	0	1514	571	949	321	450	770	0	0	290	305	0	0	320	626	0	0	355	835	0	0	451	931	89	0	160	0	0	0	0	0	0	0	0	1240	1462	0	0	1764	1531	169	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	0	631	1638	2098	0
Plekhf1	411.450704	0	699	546	913	1368	1796	1137	1762	0	0	1871	637	1625	604	908	978	0	0	355	343	0	0	398	582	0	0	519	1306	0	0	558	1108	0	0	311	349	0	0	0	0	0	0	0	1103	950	0	0	1237	1140	424	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	0	588	819	875	0
Anxa4	410.816901	0	1794	1276	1946	1821	2231	1009	1566	164	193	1800	822	1722	580	755	1022	0	0	309	422	0	87	278	596	0	139	538	1249	0	0	383	1032	0	0	213	282	0	0	164	0	0	0	0	1091	917	0	0	1146	1103	181	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0
Afg1l	405.140845	0	2612	2178	3050	3103	3002	420	721	0	69	2477	1117	1353	319	561	488	0	0	124	212	0	0	234	356	0	0	532	825	116	0	692	1393	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	325	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	293	942	297	0
Jdp2	404.760563	0	2967	2351	2154	2447	2472	393	897	0	0	2057	1128	1369	335	650	684	0	0	165	331	0	104	344	433	0	0	344	1017	0	0	473	1126	0	0	152	0	0	0	0	0	0	0	0	636	775	0	0	893	1134	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	211	0	0
Eps15	404.281690	0	0	0	270	648	663	0	111	0	0	426	203	307	220	0	115	0	0	0	0	0	0	0	0	0	0	0	216	263	0	203	0	168	0	98	0	0	0	131	0	0	0	3012	2746	2441	2815	2837	2117	1855	900	865	677	633	0	0	0	0	0	0	0	0	3050	0	0	0	0	303	0	0	264	147	0
Il6ra	404.225352	0	471	290	665	716	935	0	171	292	659	1776	1189	1283	1175	1085	1013	280	127	493	440	377	322	464	798	125	420	746	1440	214	288	778	1435	193	196	524	578	218	0	499	243	0	0	233	749	761	0	118	1104	992	167	194	0	0	0	0	0	0	0	0	0	0	223	124	123	0	0	328	0	0	344	322	0
Tfec	403.464789	0	3231	2213	3278	3242	2858	993	1962	0	0	1775	1191	1254	643	330	456	0	0	107	260	0	0	167	334	0	0	281	643	0	0	386	803	0	0	0	149	0	0	0	0	0	0	0	551	597	0	0	509	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Picalm	399.154930	0	2332	2132	2592	2764	2694	652	1136	147	256	1670	799	1600	661	497	734	0	0	77	230	0	106	144	493	0	247	361	1106	0	0	394	954	116	0	153	213	0	0	167	148	0	0	0	124	160	0	0	308	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	394	0	814	102	0
