Target_genes	Elf5|Average	SRX1425169|Mammary_glands	SRX1672019|Mammary_glands	SRX1672020|Mammary_glands	SRX1672031|Mammary_glands	SRX1672032|Mammary_glands	SRX1672061|Mammary_glands	SRX1672063|Mammary_glands	SRX1672064|Mammary_glands	SRX204144|Trophoblast_stem_cells	SRX204145|Trophoblast_stem_cells	SRX3730223|Trophoblast_stem_cells	SRX3730273|Trophoblast_stem_cells	STRING
Riiad1	485.500000	1067	305	306	1039	0	1013	1412	410	0	0	274	0	0
Pafah2	481.833333	726	483	546	725	0	977	1739	456	0	0	130	0	0
Slc2a9	479.916667	991	427	377	991	0	961	1450	384	0	0	178	0	0
Ccl1	477.500000	1108	125	286	1107	0	742	1381	378	0	0	603	0	0
Dsc3	477.000000	925	230	258	926	0	836	1957	592	0	0	0	0	0
Gpx1	463.750000	715	226	383	715	0	583	1238	122	0	0	1583	0	0
D130040H23Rik	461.250000	627	281	476	632	0	1059	1675	342	0	0	443	0	0
Ubxn2a	454.416667	891	219	373	897	0	983	1573	404	0	0	113	0	0
Nrg2	452.500000	1126	99	445	1128	0	594	1592	446	0	0	0	0	0
Pdhb	450.583333	682	176	394	682	0	817	1430	485	0	0	741	0	0
Map4k5	447.750000	797	222	336	793	0	890	1512	486	0	0	337	0	0
Atl1	447.750000	797	222	336	793	0	890	1512	486	0	0	337	0	0
Plscr3	443.500000	643	293	424	644	0	962	1678	574	0	0	104	0	0
Fer	442.750000	1046	285	194	1035	0	796	1609	348	0	0	0	0	0
Rnf149	439.250000	974	280	426	974	88	631	1364	442	0	0	92	0	0
Cox14	438.916667	811	191	276	812	0	438	1117	314	158	0	1150	0	0
Ghrl	436.666667	983	228	434	983	0	816	1524	272	0	0	0	0	0
Hscb	436.333333	710	218	312	715	95	780	1413	425	0	0	568	0	0
Chek2	436.333333	710	218	312	715	95	780	1413	425	0	0	568	0	0
Taf1d	435.750000	961	136	428	966	0	631	1555	552	0	0	0	0	0
4931406C07Rik	435.750000	961	136	428	966	0	631	1555	552	0	0	0	0	0
Lao1	430.500000	942	197	400	940	0	850	1333	504	0	0	0	0	0
Tmem186	429.416667	680	197	271	682	111	1092	1182	278	0	0	660	0	0
Pmm2	429.416667	680	197	271	682	111	1092	1182	278	0	0	660	0	0
C2cd4d	426.750000	1000	210	272	1001	0	587	1407	405	0	0	239	0	0
Tmem53	422.416667	884	230	476	883	0	664	1438	494	0	0	0	0	0
Armh1	422.416667	884	230	476	883	0	664	1438	494	0	0	0	0	0
Znfx1	421.416667	796	198	443	800	0	802	1311	503	0	0	204	0	0
Zfp668	420.833333	457	320	295	456	0	549	1143	198	0	0	1632	0	0
Zfp646	420.833333	457	320	295	456	0	549	1143	198	0	0	1632	0	0
Etv6	420.083333	637	248	359	636	0	731	1124	278	0	0	1028	0	0
Rhbdl2	419.416667	935	246	436	934	0	673	1345	464	0	0	0	0	0
Oasl1	418.250000	732	163	455	734	254	763	760	663	313	0	182	0	0
4930555G01Rik	417.833333	690	386	424	540	0	638	1670	666	0	0	0	0	0
Slc52a2	416.500000	758	238	404	759	0	867	1448	296	0	0	228	0	0
Fbxl6	416.500000	758	238	404	759	0	867	1448	296	0	0	228	0	0
Slc38a10	415.833333	539	147	218	539	0	451	859	138	0	0	1947	152	0
Lalba	415.333333	888	204	378	886	0	898	1085	645	0	0	0	0	0
Agmo	414.166667	516	240	394	514	0	1025	1823	458	0	0	0	0	0
Bcl2a1a	414.083333	917	330	509	918	0	626	1344	325	0	0	0	0	0
Cstdc6	411.166667	866	274	286	846	0	732	1393	363	0	0	174	0	0
Tulp3	410.250000	917	231	381	913	0	685	1413	383	0	0	0	0	0
Rcan1	409.750000	740	232	444	739	0	802	1327	267	0	0	366	0	0
Mapk4	409.500000	586	403	291	586	0	889	1495	300	0	0	364	0	0
Tnfsf18	409.416667	940	134	321	940	0	502	1603	473	0	0	0	0	0
Chmp4b	402.833333	653	246	356	655	0	335	1391	377	0	0	821	0	0
Trabd	402.083333	764	177	253	766	0	577	982	394	0	0	912	0	0
Olfr547	401.750000	811	268	398	824	0	538	1528	454	0	0	0	0	0
Mfn2	400.916667	637	245	396	637	0	614	1639	514	0	0	129	0	0
Tmem39a	400.666667	524	173	369	528	0	862	1737	454	0	0	161	0	0
Fmn1	400.166667	672	198	369	672	0	831	1400	428	0	0	232	0	0
Cd177	398.666667	1032	135	338	1032	0	696	1076	475	0	0	0	0	0
Borcs5	396.666667	771	209	308	772	0	591	1352	469	0	0	288	0	0
Saa3	395.083333	560	382	251	561	0	909	1395	457	0	0	226	0	0
Fau	394.833333	512	0	451	512	0	641	1554	373	0	0	695	0	0
Gmfg	393.333333	948	196	138	944	0	720	1520	254	0	0	0	0	0
Trp63	392.333333	936	0	255	936	102	675	1350	454	0	0	0	0	0
Prr5l	391.416667	607	194	261	606	0	594	1013	156	0	0	1266	0	0
Commd9	391.416667	607	194	261	606	0	594	1013	156	0	0	1266	0	0
Acacb	390.750000	841	0	258	853	0	727	1439	358	0	0	213	0	0
Ccdc32	389.666667	167	615	605	167	0	1168	1560	394	0	0	0	0	0
Cds1	388.916667	930	305	215	930	0	653	1281	353	0	0	0	0	0
Xndc1	388.750000	728	307	209	725	0	551	1361	537	0	0	247	0	0
Rnf121	388.750000	728	307	209	725	0	551	1361	537	0	0	247	0	0
Cracdl	386.916667	990	136	362	989	0	564	1154	448	0	0	0	0	0
Zfp703	386.500000	867	199	167	867	0	634	930	231	0	0	743	0	0
Il27	384.750000	759	198	347	758	0	659	1472	424	0	0	0	0	0
Grk2	384.333333	659	379	413	659	0	666	1293	543	0	0	0	0	0
Il18rap	382.583333	835	157	343	834	0	503	1540	379	0	0	0	0	0
Bcl2a1b	381.833333	875	249	303	826	0	687	1322	320	0	0	0	0	0
Olfr688	381.750000	821	190	408	815	0	485	1358	504	0	0	0	0	0
Ptprj	381.000000	878	231	194	878	0	506	1173	374	0	0	338	0	0
Mansc1	380.166667	771	209	308	772	0	591	1352	469	0	0	90	0	0
Dstyk	380.000000	760	103	296	755	0	576	1334	408	0	0	328	0	0
Dhrs7	380.000000	812	0	262	812	0	708	1452	384	0	0	130	0	0
Dgkz	379.250000	671	177	296	673	0	596	1257	224	0	0	657	0	0
Sstr3	377.750000	606	263	211	606	0	744	1254	349	0	0	500	0	0
Coro2a	377.333333	806	176	408	806	0	623	1265	341	0	0	103	0	0
Foxk1	376.666667	747	0	248	759	0	795	1045	435	0	0	491	0	0
Chd9	376.250000	365	396	336	368	0	769	1476	610	0	0	195	0	0
Arfgap1	376.000000	534	142	442	534	0	660	1299	441	0	0	460	0	0
Syn2	375.166667	747	256	329	844	0	692	1099	535	0	0	0	0	0
Bcl2a1c	374.666667	760	329	318	767	0	632	1301	389	0	0	0	0	0
Fscn2	373.083333	657	228	271	656	0	616	1105	172	0	0	772	0	0
Trappc9	372.666667	634	189	255	638	96	583	1244	262	0	0	571	0	0
Sgms1	372.500000	938	0	245	938	0	714	1359	276	0	0	0	0	0
Soga1	370.083333	747	227	238	746	0	788	1283	412	0	0	0	0	0
Gm5458	370.083333	573	365	407	375	0	653	1492	414	0	0	162	0	0
Mr1	370.000000	909	0	255	909	0	603	1282	309	0	0	173	0	0
Rnf183	368.750000	597	170	296	597	0	779	1527	297	0	0	162	0	0
Adam8	368.500000	658	299	121	657	0	636	1509	380	0	0	162	0	0
Ube2h	367.833333	812	0	232	812	0	495	1115	384	0	0	564	0	0
Eif4g3	367.750000	745	312	357	745	0	647	1146	461	0	0	0	0	0
Vta1	364.666667	503	229	364	502	0	633	1229	222	0	0	694	0	0
Cpsf1	364.416667	513	212	263	513	0	639	1303	540	0	0	390	0	0
Ap5b1	363.500000	617	286	216	618	0	548	1062	348	0	0	667	0	0
Rhob	360.916667	721	134	280	721	0	542	1362	571	0	0	0	0	0
Car2	360.416667	623	147	391	624	0	717	1364	294	0	0	165	0	0
Sox9	359.500000	970	98	262	970	0	598	1002	414	0	0	0	0	0
Gm3488	359.333333	302	319	414	465	0	612	1565	457	0	0	178	0	0
Gm3383	358.666667	338	397	370	278	0	815	1504	381	0	0	221	0	0
Nop16	357.916667	403	272	304	402	0	933	1159	553	0	0	269	0	0
Higd2a	357.916667	403	272	304	402	0	933	1159	553	0	0	269	0	0
Myo5b	356.833333	720	199	219	722	0	412	1088	244	0	0	678	0	0
Lgals3	356.583333	929	0	239	930	0	448	1319	178	0	0	236	0	0
Rbm45	356.166667	702	0	96	697	0	428	1163	247	0	0	941	0	0
Adgrg3	353.166667	775	0	162	777	0	502	1125	207	0	0	690	0	0
Plcb4	353.083333	623	155	224	623	0	459	890	0	0	0	1263	0	0
Adgrf1	353.083333	587	193	354	586	0	550	988	302	0	0	677	0	0
Ggnbp2	351.916667	560	262	294	560	0	798	1424	325	0	0	0	0	0
Csn1s1	351.000000	822	185	306	823	0	483	1295	298	0	0	0	0	0
Fabp3	350.500000	693	164	375	693	112	559	1059	342	0	0	209	0	0
Gba	350.416667	547	93	316	549	0	679	1182	371	0	0	468	0	0
Celf2	350.416667	325	145	128	325	0	730	1433	546	0	0	573	0	0
Picalm	350.000000	543	156	397	544	0	424	1487	453	0	0	196	0	0
Nek6	349.166667	668	161	244	667	0	572	1085	155	0	0	638	0	0
Igfbp4	348.833333	795	128	157	796	0	636	1089	219	0	0	366	0	0
Mark2	348.500000	605	119	289	604	0	630	1028	244	0	0	663	0	0
Gm3448	348.166667	414	323	147	356	131	390	921	154	0	0	1342	0	0
Gm3417	348.166667	414	323	147	356	131	390	921	154	0	0	1342	0	0
Rab11fip5	347.416667	769	162	318	770	0	439	1252	459	0	0	0	0	0
Gm34653	347.333333	533	0	94	563	0	131	567	0	496	434	1350	0	0
Zfp532	347.250000	785	94	186	785	0	547	835	317	0	0	618	0	0
Otop1	346.250000	785	162	256	785	0	719	1119	329	0	0	0	0	0
Timd2	345.666667	660	63	216	662	0	445	1241	269	0	0	592	0	0
Tmem248	345.416667	618	133	443	619	0	541	1115	348	0	0	328	0	0
Gdpd2	345.416667	664	262	345	662	0	653	1254	305	0	0	0	0	0
Osbpl3	344.666667	696	68	241	695	0	486	1104	279	0	0	567	0	0
Gm3317	344.500000	302	319	414	465	0	612	1565	457	0	0	0	0	0
Arhgap32	344.500000	653	211	261	651	0	620	885	284	0	0	569	0	0
Gpat3	344.083333	825	124	182	822	0	450	1388	338	0	0	0	0	0
Fbxo11	343.750000	391	282	217	392	0	513	1152	229	0	0	949	0	0
Jdp2	343.500000	541	0	103	541	0	736	1135	341	0	0	725	0	0
Mrpl51	343.416667	904	147	154	905	0	147	1318	319	0	0	227	0	0
Rasgrp3	343.333333	724	217	331	728	0	662	1162	296	0	0	0	0	0
Zfp513	341.083333	578	110	192	578	0	558	907	233	0	0	937	0	0
Tnrc18	341.000000	557	215	344	557	0	781	1112	362	0	0	164	0	0
Fam83f	340.750000	608	286	382	608	0	530	1373	302	0	0	0	0	0
Tnfrsf19	340.000000	669	149	171	668	0	682	1344	397	0	0	0	0	0
Slc66a2	339.333333	417	284	207	416	0	651	1291	408	0	0	398	0	0
Sacm1l	337.750000	391	235	340	400	0	594	1102	0	0	0	991	0	0
Lcn12	337.416667	564	171	284	563	0	460	1312	372	0	0	323	0	0
C8g	337.416667	564	171	284	563	0	460	1312	372	0	0	323	0	0
Cmpk2	337.083333	686	147	196	683	107	638	1244	344	0	0	0	0	0
Src	337.000000	525	330	155	525	0	856	1076	300	0	0	277	0	0
Oser1	337.000000	460	168	270	460	0	584	1021	111	0	0	970	0	0
Mrps23	336.916667	742	0	227	742	0	392	957	402	0	0	581	0	0
Gch1	336.833333	619	166	246	619	0	750	1193	302	0	0	147	0	0
Tsc22d4	336.250000	580	109	308	581	0	482	1134	209	0	0	632	0	0
Nyap1	336.250000	580	109	308	581	0	482	1134	209	0	0	632	0	0
Asmt	335.916667	499	218	507	496	565	841	566	210	129	0	0	0	0
Sowahb	335.750000	453	252	387	453	0	614	1361	509	0	0	0	0	0
Zbtb38	335.666667	686	234	308	685	0	628	1103	384	0	0	0	0	0
Cd79b	334.916667	496	246	321	497	0	493	1583	383	0	0	0	0	0
Lbx1	334.833333	711	195	467	710	0	494	1180	261	0	0	0	0	0
Agl	334.500000	527	296	161	528	0	408	1165	244	0	0	685	0	0
Vmn2r9	334.083333	534	193	229	487	0	873	1267	426	0	0	0	0	0
Rpusd4	333.333333	645	212	209	644	0	448	1251	385	0	0	206	0	0
Fam118b	333.333333	645	212	209	644	0	448	1251	385	0	0	206	0	0
Wdr93	333.250000	436	321	217	439	0	754	1396	436	0	0	0	0	0
Pex11a	333.250000	436	321	217	439	0	754	1396	436	0	0	0	0	0
Zfp648	332.833333	537	113	163	537	0	852	1499	293	0	0	0	0	0
Tcte3	332.250000	414	323	147	356	0	390	921	94	0	0	1342	0	0
Gm3435	332.250000	414	323	147	356	0	390	921	94	0	0	1342	0	0
Creb3l1	332.083333	611	218	277	613	0	524	1353	389	0	0	0	0	0
Cacna1c	332.083333	828	0	203	828	0	559	1415	152	0	0	0	0	0
Mical3	332.000000	523	140	190	524	0	728	1076	266	0	0	537	0	0
N4bp1	331.583333	618	179	272	618	0	361	1104	202	0	0	625	0	0
Mki67	331.083333	745	219	241	745	0	491	1046	327	0	0	159	0	0
L3hypdh	330.583333	540	141	224	537	0	309	1020	455	0	0	741	0	0
Jkamp	330.583333	540	141	224	537	0	309	1020	455	0	0	741	0	0
Tex19.1	329.500000	305	381	232	305	0	699	1118	315	0	0	599	0	0
Cyp4a30b	328.416667	671	210	127	660	0	418	1555	300	0	0	0	0	0
A1bg	328.000000	741	76	211	738	0	664	1257	249	0	0	0	0	0
Gm10408	327.666667	290	472	462	255	0	722	1451	280	0	0	0	0	0
G0s2	327.500000	309	337	351	309	0	705	1050	598	0	0	271	0	0
Cnot8	327.333333	635	263	247	639	0	456	1093	0	0	0	595	0	0
Sspn	326.500000	529	193	240	454	199	812	604	170	0	0	556	161	0
Rrp15	326.416667	609	119	150	610	0	494	871	195	0	0	869	0	0
Pip4k2b	326.083333	576	318	192	574	0	518	1113	335	0	0	287	0	0
Rpl13	325.833333	526	96	0	524	0	345	857	98	0	0	1464	0	0
Chid1	325.666667	544	216	234	545	0	635	1247	363	0	0	124	0	0
Cst7	325.333333	652	156	260	649	0	597	1311	279	0	0	0	0	0
Rhoj	324.916667	761	131	231	761	0	541	1214	260	0	0	0	0	0
Rchy1	323.666667	699	148	201	702	0	374	1026	302	0	0	432	0	0
Slc16a14	322.583333	664	147	235	667	0	577	1255	326	0	0	0	0	0
Arsg	322.583333	673	165	340	670	0	687	950	276	0	0	110	0	0
Tead4	322.250000	592	209	215	591	0	496	801	166	0	0	797	0	0
Ppp1r12a	322.000000	619	98	232	619	0	379	1322	354	0	0	241	0	0
Rasal1	321.916667	677	145	323	674	116	477	1141	310	0	0	0	0	0
Snx17	321.750000	594	131	177	594	0	550	1027	352	0	0	436	0	0
Eif2b4	321.750000	594	131	177	594	0	550	1027	352	0	0	436	0	0
Map2k1	320.833333	489	93	205	490	0	672	1210	489	0	0	202	0	0
Mrpl12	320.750000	488	229	158	488	0	390	975	173	0	0	948	0	0
Rbp1	320.583333	694	76	125	694	0	456	1392	222	0	0	188	0	0
Gm5795	319.916667	302	419	345	363	0	680	1410	320	0	0	0	0	0
Sfrp2	319.166667	793	187	179	793	0	790	874	214	0	0	0	0	0
D830030K20Rik	319.083333	243	485	266	255	0	797	1361	422	0	0	0	0	0
Ltb4r2	319.000000	659	134	306	655	0	574	1244	256	0	0	0	0	0
Ltb4r1	319.000000	659	134	306	655	0	574	1244	256	0	0	0	0	0
Ghrh	318.833333	507	198	194	504	0	525	1448	450	0	0	0	0	0
Il25	318.500000	468	129	176	468	0	702	1190	436	0	0	253	0	0
Gpr34	317.833333	565	88	232	569	0	507	1550	303	0	0	0	0	0
Coro1b	317.083333	526	228	117	526	0	409	781	260	0	0	958	0	0
Pzp	316.500000	221	234	391	221	0	553	1675	503	0	0	0	0	0
Accs	316.416667	689	259	129	690	0	521	998	219	0	0	292	0	0
Gm3012	316.333333	302	419	345	326	0	680	1404	320	0	0	0	0	0
Gm10413	316.333333	302	419	345	326	0	680	1404	320	0	0	0	0	0
Erich2	316.083333	817	0	212	817	0	553	1133	261	0	0	0	0	0
Cmtm5	315.666667	468	129	176	468	0	702	1190	436	0	0	219	0	0
Acp7	315.583333	736	0	121	733	0	273	834	0	0	0	924	166	0
Wdr62	314.500000	641	138	115	644	0	502	1355	379	0	0	0	0	0
Slc51b	314.083333	493	140	240	497	0	620	1104	258	0	0	417	0	0
Lzts3	314.083333	715	115	244	715	0	537	1214	229	0	0	0	0	0
Mob1a	313.250000	496	222	140	498	0	305	1214	277	0	0	607	0	0
Rcn2	312.750000	765	169	313	762	0	240	1168	336	0	0	0	0	0
Lpin1	312.416667	423	112	207	423	0	533	1168	348	0	0	535	0	0
Sult1d1	312.250000	742	128	227	741	0	575	1016	318	0	0	0	0	0
Xdh	311.416667	693	93	224	694	0	631	1098	304	0	0	0	0	0
Rffl	311.166667	542	205	346	545	0	689	1010	155	0	0	242	0	0
Galnt9	311.166667	673	134	229	672	0	701	1131	194	0	0	0	0	0
Zfp292	310.333333	445	203	203	443	0	545	972	127	0	0	786	0	0
Prok1	310.333333	872	0	216	871	0	506	1009	119	0	0	131	0	0
Atmin	310.166667	434	173	111	434	0	469	979	190	0	0	932	0	0
Ap1b1	310.000000	355	218	221	355	0	621	1414	396	0	0	140	0	0
A630023A22Rik	310.000000	499	222	341	499	0	549	1036	405	0	0	169	0	0
Phactr2	309.500000	721	0	168	720	0	408	1190	324	0	0	183	0	0
Olfr1311	308.916667	905	235	106	908	0	170	958	198	0	0	227	0	0
Copz1	306.500000	804	110	184	804	0	494	1049	233	0	0	0	0	0
Sfta2	305.833333	681	169	105	684	0	396	1285	350	0	0	0	0	0
Ctsh	305.750000	734	143	182	730	0	595	1058	227	0	0	0	0	0
Clip3	305.666667	566	130	223	566	0	633	1206	344	0	0	0	0	0
Noxo1	305.500000	481	230	199	481	0	476	1015	346	0	0	438	0	0
Lcn2	305.500000	720	218	281	721	0	426	1043	257	0	0	0	0	0
Gfer	305.500000	481	230	199	481	0	476	1015	346	0	0	438	0	0
Ankfn1	305.083333	608	0	289	608	0	548	1304	304	0	0	0	0	0
Ikzf4	304.583333	690	113	140	702	0	658	1077	275	0	0	0	0	0
Calr3	304.583333	509	228	210	502	0	518	1229	192	0	0	267	0	0
Gse1	304.416667	601	103	172	601	0	599	973	182	0	0	422	0	0
Pon2	303.750000	607	0	328	608	0	842	1057	203	0	0	0	0	0
Clu	303.333333	436	268	350	438	0	612	1208	328	0	0	0	0	0
Rhbdf1	302.083333	449	104	214	449	0	505	916	122	0	0	866	0	0
Mpg	302.083333	449	104	214	449	0	505	916	122	0	0	866	0	0
Pemt	302.000000	577	138	0	577	0	421	1265	388	0	0	258	0	0
Mmp28	301.750000	443	99	258	443	0	635	1259	352	0	0	132	0	0
Plcb2	301.416667	732	0	276	731	0	481	1024	260	0	0	113	0	0
S100a8	301.166667	789	0	224	785	120	387	987	322	0	0	0	0	0
Rbms1	301.166667	436	132	302	436	0	512	1073	263	0	0	319	141	0
Ccser2	301.166667	534	0	202	533	0	314	1042	174	132	0	683	0	0
Mef2d	301.083333	401	0	172	401	0	260	713	154	210	0	1302	0	0
Cmas	300.250000	748	154	150	747	0	483	958	265	0	0	98	0	0
2610528A11Rik	300.166667	413	138	234	414	0	637	1251	515	0	0	0	0	0
Wdfy3	300.000000	567	283	178	567	0	444	736	150	0	0	675	0	0
Pank4	298.583333	534	141	261	533	0	583	1147	384	0	0	0	0	0
Gapdh	298.000000	476	116	245	480	0	550	1196	360	0	0	153	0	0
Chuk	297.916667	669	208	0	667	0	358	1022	205	0	0	446	0	0
Uevld	297.583333	569	114	245	570	0	590	1091	221	0	0	171	0	0
Lca5	297.583333	719	180	286	719	0	362	1153	152	0	0	0	0	0
Calhm4	297.500000	677	130	260	672	0	531	1100	200	0	0	0	0	0
Naca	297.416667	466	235	0	465	0	438	1041	170	0	0	754	0	0
Tmem125	296.916667	245	167	451	291	394	668	730	383	89	0	145	0	0
Bod1l	296.666667	404	204	194	406	0	509	944	221	0	0	678	0	0
Ankrd22	296.583333	646	210	224	649	0	478	900	164	0	0	288	0	0
Hyou1	296.250000	527	132	170	528	0	297	1288	232	0	0	381	0	0
Smarca5	296.083333	583	129	255	584	0	442	1158	187	0	0	215	0	0
Ptpn18	295.083333	623	135	155	623	0	474	1034	221	0	0	276	0	0
Spry4	294.666667	375	136	248	377	0	445	1116	221	0	0	618	0	0
Anapc10	293.666667	422	99	102	464	0	218	954	228	356	326	355	0	0
Abce1	293.666667	422	99	102	464	0	218	954	228	356	326	355	0	0
Ctnnd1	293.583333	582	234	161	581	0	447	1025	236	0	0	257	0	0
Arhgap28	293.583333	772	104	163	773	0	407	1117	187	0	0	0	0	0
Zfp326	293.416667	288	263	353	289	0	741	1196	391	0	0	0	0	0
Pde1c	293.000000	725	173	155	723	0	308	1261	171	0	0	0	0	0
Mcf2l	292.083333	751	0	96	752	0	413	1120	203	0	0	170	0	0
Zbtb8a	291.916667	415	102	213	413	0	643	1357	235	0	0	125	0	0
Agpat1	291.250000	457	203	138	457	0	448	1102	253	0	0	437	0	0
Rnf43	290.500000	669	0	199	670	0	482	1110	356	0	0	0	0	0
Hsd17b12	290.000000	381	134	262	381	0	484	1192	279	0	0	367	0	0
Slc5a1	289.916667	621	0	315	618	0	527	1158	240	0	0	0	0	0
Oit3	289.833333	730	0	221	730	0	507	962	194	0	0	134	0	0
9030025P20Rik	289.833333	305	259	111	337	131	257	832	154	0	0	1092	0	0
Cyb5r4	289.750000	325	340	0	325	0	0	487	0	0	0	2000	0	0
Ap3d1	289.416667	386	211	146	382	0	736	1180	432	0	0	0	0	0
Pilrb1	289.166667	584	108	225	632	0	670	1118	133	0	0	0	0	0
Ndufa2	288.583333	549	95	127	549	0	553	1248	342	0	0	0	0	0
Ik	288.583333	549	95	127	549	0	553	1248	342	0	0	0	0	0
Sh2d4a	288.333333	721	117	161	721	0	273	1230	237	0	0	0	0	0
Sh2d3c	288.166667	340	171	155	343	0	474	1089	234	0	0	652	0	0
Lxn	288.083333	536	249	226	536	0	306	715	127	0	0	762	0	0
C77080	287.750000	523	183	255	523	0	408	769	214	0	0	578	0	0
Eps8l2	287.416667	827	122	0	827	0	383	809	186	0	0	295	0	0
Deaf1	287.416667	827	122	0	827	0	383	809	186	0	0	295	0	0
Atp2c1	287.250000	696	132	136	696	0	96	982	261	0	0	448	0	0
Fes	287.083333	567	206	205	567	0	515	933	245	0	0	207	0	0
Fth1	286.916667	515	0	258	514	0	415	1161	326	0	0	254	0	0
Stk24	286.750000	516	150	131	516	0	457	1026	272	0	0	373	0	0
Map1s	286.583333	637	78	106	641	0	406	1118	259	0	0	194	0	0
Cyrib	286.583333	512	162	148	508	0	617	962	274	0	0	256	0	0
Cracr2b	286.166667	450	177	236	449	0	576	926	238	0	0	382	0	0
Galnt18	285.166667	685	105	266	684	0	501	922	168	0	0	91	0	0
Tada3	284.833333	547	0	163	547	0	480	761	196	0	0	724	0	0
Arpc4	284.833333	547	0	163	547	0	480	761	196	0	0	724	0	0
Hif3a	284.250000	446	182	207	447	0	515	1172	253	0	0	189	0	0
Ube2cbp	283.833333	620	92	234	622	0	411	1040	133	0	0	254	0	0
Dop1a	283.833333	620	92	234	622	0	411	1040	133	0	0	254	0	0
Krt80	283.166667	603	109	206	603	0	709	967	201	0	0	0	0	0
Srd5a3	282.750000	541	106	299	538	0	535	878	270	0	0	226	0	0
Cideb	282.333333	659	0	0	655	0	574	1244	256	0	0	0	0	0
