Target_genes	Hey1|Average	SRX9710068|Chondrosarcoma,_Mesenchymal	STRING
Klf9	79.000000	79	0
Klhl21	78.000000	78	0
Gclm	77.000000	77	0
Numa1	76.000000	76	0
Ftdc2	75.000000	75	0
Mas1	73.000000	73	0
Ilkap	73.000000	73	0
Flt3	72.000000	72	0
Snrnp35	71.000000	71	0
Fam3c	70.000000	70	0
Ell2	68.000000	68	0
Prrx2	0.000000	0	442
Acan	0.000000	0	402
Il6	0.000000	0	401
