Target_genes	Hmga2|Average	SRX14833490|ES_cells	SRX9213050|ES_cells	SRX9213052|ES_cells	SRX796317|MEF	SRX796321|MEF	DRX411715|Monoulcear_cells	DRX411716|Monoulcear_cells	DRX411717|Monoulcear_cells	DRX411718|Monoulcear_cells	SRX2140476|Neural_progenitor_cells	DRX174618|Unclassified	DRX174620|Unclassified	STRING
Gpr141	294.666667	124	383	665	0	0	1060	517	342	139	306	0	0	0
Bsx	292.333333	0	300	722	0	0	645	504	459	390	488	0	0	0
Scgb1b17	291.750000	0	260	199	0	0	1230	536	760	516	0	0	0	0
Scgb1b15	291.750000	0	260	199	0	0	1230	536	760	516	0	0	0	0
Asmt	289.666667	0	0	256	417	510	438	424	389	421	388	233	0	0
Mxi1	288.666667	140	0	267	0	0	778	835	870	414	160	0	0	0
Olfr1508	287.166667	0	471	509	0	0	1073	257	340	449	347	0	0	0
Trim52	283.583333	135	280	302	0	0	957	480	415	485	349	0	0	0
Dram1	283.583333	220	269	718	0	0	671	527	373	498	127	0	0	0
Gm17266	278.250000	0	763	2377	0	0	0	0	199	0	0	0	0	0
Med6	275.333333	614	220	768	0	0	586	422	369	325	0	0	0	0
Olfr822	272.916667	0	168	530	0	0	964	565	556	362	130	0	0	0
Olfr661	271.583333	128	399	763	0	0	651	456	320	274	268	0	0	0
Olfr479	269.000000	0	130	364	0	0	921	630	532	403	248	0	0	0
Rnase6	264.916667	535	0	854	0	0	506	482	386	195	221	0	0	0
Sult6b1	264.000000	0	0	0	0	0	819	870	936	543	0	0	0	0
Ascc2	263.500000	0	0	0	0	0	862	711	802	497	290	0	0	0
Ahi1	262.750000	0	524	483	0	0	796	272	291	300	487	0	0	0
Olfr698	261.333333	0	395	556	0	0	817	317	390	465	196	0	0	0
Psma8	260.083333	0	208	312	0	0	1127	602	445	237	190	0	0	0
LOC666331	258.333333	0	0	224	0	0	644	663	796	619	154	0	0	0
Spag6l	257.083333	0	1010	1724	0	0	143	0	0	0	208	0	0	0
Rpl31-ps12	257.083333	0	1010	1724	0	0	143	0	0	0	208	0	0	0
Tmc1	255.833333	0	594	471	0	0	921	186	354	240	304	0	0	0
Vmn1r55	251.000000	0	0	189	0	0	707	646	756	467	247	0	0	0
Zscan2	247.250000	0	0	0	0	0	640	620	808	788	111	0	0	0
Sfi1	245.666667	0	223	404	0	0	120	177	1222	151	651	0	0	0
H2bfm	245.666667	0	792	1845	0	0	217	0	0	0	94	0	0	0
Tmem29	244.583333	0	383	473	0	0	834	305	504	246	190	0	0	0
Dlg2	243.583333	0	266	246	0	0	684	450	551	407	319	0	0	0
Vmn2r34	242.666667	0	301	315	0	0	947	467	426	304	152	0	0	0
Tspyl1	241.916667	0	976	1755	0	0	0	0	0	0	172	0	0	0
Gimap3	241.583333	0	0	289	0	0	665	626	718	469	132	0	0	0
Olfr1046	239.583333	0	713	1759	0	0	163	0	0	0	240	0	0	0
Tekt1	239.416667	0	0	0	0	0	921	587	693	672	0	0	0	0
Olfr1208	239.000000	0	122	521	0	0	641	426	579	579	0	0	0	0
Actr1b	238.083333	141	159	193	0	0	739	479	377	528	241	0	0	0
4933424G06Rik	238.083333	141	159	193	0	0	739	479	377	528	241	0	0	0
Fmo1	236.500000	0	808	1590	0	0	160	118	162	0	0	0	0	0
Slc30a8	236.416667	0	129	387	0	0	872	442	443	349	215	0	0	0
G3bp1	235.750000	0	0	171	0	0	646	680	688	644	0	0	0	0
Fth1	235.583333	255	188	328	0	0	498	382	508	356	312	0	0	0
Pmp2	231.083333	265	0	265	0	0	676	517	484	423	143	0	0	0
Tbk1	230.083333	0	404	267	0	0	872	455	347	416	0	0	0	0
Rere	225.666667	0	0	0	0	0	926	602	585	595	0	0	0	0
Olfr923	225.583333	0	0	137	0	0	625	521	628	796	0	0	0	0
Pgk2	225.166667	0	1023	1490	0	0	0	0	0	0	189	0	0	0
Prrc2b	224.666667	171	0	378	0	0	777	527	393	248	202	0	0	0
Vmn2r45	224.333333	0	193	221	0	0	733	543	478	351	173	0	0	0
Spry1	223.833333	0	652	1916	0	0	0	0	118	0	0	0	0	0
Fbxo47	223.166667	0	0	249	0	0	585	542	599	572	131	0	0	0
Vmn2r37	220.666667	0	225	248	0	0	787	562	429	219	178	0	0	0
Pvr	220.416667	0	228	597	0	0	687	352	400	185	196	0	0	0
Gnal	220.333333	115	463	1238	0	0	196	202	222	0	208	0	0	0
Wdr91	215.666667	0	854	1734	0	0	0	0	0	0	0	0	0	0
Pou1f1	215.250000	0	532	304	0	0	854	142	225	305	221	0	0	0
Olfr1195	214.833333	0	203	184	0	0	801	265	410	477	238	0	0	0
Oaz1	214.666667	0	225	252	0	0	474	343	490	564	228	0	0	0
Olfr788	214.583333	0	327	245	0	0	874	244	267	313	305	0	0	0
Prl7d1	213.833333	0	0	291	0	0	685	516	431	439	204	0	0	0
Tsr3	212.833333	0	259	1145	0	0	346	244	218	342	0	0	0	0
Gnptg	212.833333	0	259	1145	0	0	346	244	218	342	0	0	0	0
Aebp2	212.750000	178	207	877	0	0	497	402	270	122	0	0	0	0
Psma2	212.166667	0	0	321	0	0	586	526	631	304	178	0	0	0
Mrpl32	212.166667	0	0	321	0	0	586	526	631	304	178	0	0	0
Rpgrip1	211.083333	0	372	497	0	0	462	364	288	378	172	0	0	0
Hnrnpc	211.083333	0	372	497	0	0	462	364	288	378	172	0	0	0
Pklr	209.916667	0	0	225	0	0	719	556	637	250	132	0	0	0
Olfr448	209.333333	0	402	660	0	0	477	261	288	287	137	0	0	0
Tfdp2	207.666667	0	195	1295	0	0	262	148	251	235	106	0	0	0
Aqp8	207.500000	0	836	1558	0	0	0	0	0	0	96	0	0	0
Serpinb9g	207.083333	0	0	0	0	0	758	511	629	421	166	0	0	0
Card11	207.000000	0	679	1401	0	0	0	0	0	0	404	0	0	0
Gm6619	205.916667	0	883	1392	0	0	0	0	0	0	196	0	0	0
Shld1	205.750000	0	0	225	0	0	616	537	560	290	241	0	0	0
Gulp1	205.583333	0	0	0	0	0	326	645	798	566	132	0	0	0
Slc39a3	204.166667	0	160	205	0	0	498	410	477	472	228	0	0	0
Lrp11	203.750000	0	723	1508	0	0	116	0	98	0	0	0	0	0
Tff3	203.500000	0	858	1430	0	0	0	0	0	0	154	0	0	0
Spag9	202.500000	0	467	239	0	0	697	183	302	335	207	0	0	0
Slc38a10	201.833333	207	0	643	0	0	510	327	355	237	143	0	0	0
Cnot10	199.000000	198	0	461	0	0	685	281	340	327	96	0	0	0
Mcpt8	198.833333	0	658	1230	0	0	196	0	153	0	149	0	0	0
Vps39	198.583333	0	0	0	0	0	720	643	688	332	0	0	0	0
Vmn1r166	198.250000	0	0	156	0	0	680	604	561	378	0	0	0	0
Vmn1r138	198.250000	0	0	156	0	0	680	604	561	378	0	0	0	0
Vmn1r131	198.250000	0	0	156	0	0	680	604	561	378	0	0	0	0
Vmn1r111	198.250000	0	0	156	0	0	680	604	561	378	0	0	0	0
Olfr613	198.000000	0	246	250	0	0	831	258	234	361	196	0	0	0
1810013L24Rik	197.500000	0	198	235	0	0	685	435	307	338	172	0	0	0
Cyp2b13	196.333333	0	335	551	0	0	553	387	380	150	0	0	0	0
Olfr1113	195.750000	0	185	180	0	0	521	479	590	294	100	0	0	0
Dpys	195.750000	0	897	1298	0	0	0	0	0	0	154	0	0	0
Olfr483	195.666667	0	796	1284	0	0	141	0	0	0	127	0	0	0
Eno2	195.166667	173	259	843	0	0	329	254	248	140	96	0	0	0
Olfr1512	193.250000	0	0	267	0	0	517	472	623	232	208	0	0	0
Nt5el	193.000000	0	0	0	0	0	605	575	453	545	138	0	0	0
Cmtr1	191.583333	0	349	976	0	0	262	277	263	0	172	0	0	0
Clint1	190.833333	0	280	365	0	0	689	362	275	242	77	0	0	0
Rpp38	188.916667	0	566	1027	0	0	334	150	0	0	190	0	0	0
Acbd7	188.916667	0	566	1027	0	0	334	150	0	0	190	0	0	0
Nol6	188.833333	0	0	214	0	0	590	386	507	437	132	0	0	0
Glipr1	188.416667	0	865	1300	0	0	0	0	0	0	96	0	0	0
Pglyrp2	187.666667	249	160	451	0	0	386	307	409	0	290	0	0	0
Piezo1	187.500000	406	312	891	0	0	238	155	110	138	0	0	0	0
Nr1h4	187.333333	0	1030	877	0	0	157	0	0	0	184	0	0	0
Myl1	187.250000	0	0	476	0	0	560	405	378	428	0	0	0	0
Uroc1	187.000000	0	248	356	0	0	513	243	313	363	208	0	0	0
Tomm5	185.583333	0	324	909	0	0	285	252	262	195	0	0	0	0
Pik3c2g	185.583333	0	0	0	0	0	364	506	828	529	0	0	0	0
Olfr770	184.916667	0	199	404	0	0	554	287	334	257	184	0	0	0
Vmn1r4	184.000000	0	196	517	0	0	338	274	273	355	255	0	0	0
Sult2a2	183.500000	0	183	672	0	0	416	281	355	171	124	0	0	0
Mapk8	183.250000	0	0	220	0	0	715	355	421	369	119	0	0	0
Il1f8	181.250000	0	468	541	0	0	516	0	135	156	359	0	0	0
Ifna2	180.833333	0	178	276	0	0	602	297	234	271	312	0	0	0
Tex55	180.416667	0	0	0	0	0	646	371	538	402	208	0	0	0
Vmn2r105	179.583333	0	396	355	0	0	618	0	258	238	290	0	0	0
Stn1	179.583333	0	116	0	0	0	635	378	426	600	0	0	0	0
Birc2	179.583333	0	320	352	0	0	629	322	400	0	132	0	0	0
Dhx30	178.250000	0	0	215	0	0	570	246	366	474	268	0	0	0
Inhbc	177.000000	0	304	249	0	0	683	270	507	0	111	0	0	0
Extl3	176.166667	168	0	256	0	0	368	285	442	468	127	0	0	0
Olfr486	174.000000	0	248	247	0	0	670	290	303	176	154	0	0	0
Vmn1r252	173.250000	0	0	0	0	0	563	514	678	324	0	0	0	0
Vmn1r242	173.250000	0	0	0	0	0	563	514	678	324	0	0	0	0
Vmn1r118	173.250000	0	0	0	0	0	563	514	678	324	0	0	0	0
Zfp60	173.166667	0	443	832	0	0	333	139	183	148	0	0	0	0
Vmn1r122	172.750000	0	0	235	0	0	658	379	472	329	0	0	0	0
Prmt2	172.500000	268	0	356	0	0	358	273	427	267	121	0	0	0
Gm21838	171.416667	0	504	1553	0	0	0	0	0	0	0	0	0	0
Vmn1r227	170.583333	0	0	0	0	0	509	418	520	386	214	0	0	0
Tmc7	169.583333	0	736	1167	0	0	0	0	0	0	132	0	0	0
Icos	169.500000	0	602	1432	0	0	0	0	0	0	0	0	0	0
Usp17le	168.833333	0	0	0	0	0	132	521	893	480	0	0	0	0
Lipi	167.833333	0	0	0	0	0	526	470	718	218	82	0	0	0
Marchf1	166.583333	0	0	249	0	0	433	432	414	203	268	0	0	0
Olfr1132	165.583333	0	246	311	0	0	516	170	261	305	178	0	0	0
Ccr7	165.000000	220	0	451	0	0	380	336	255	184	154	0	0	0
H2bc6	164.750000	137	285	853	0	0	153	217	151	181	0	0	0	0
Zfp174	164.166667	0	0	276	0	0	289	420	465	324	196	0	0	0
Olfr15	164.166667	0	0	276	0	0	289	420	465	324	196	0	0	0
Gcfc2	163.916667	0	0	184	0	0	506	303	352	332	290	0	0	0
Tomm34	162.500000	0	583	1367	0	0	0	0	0	0	0	0	0	0
Stk4	162.500000	0	583	1367	0	0	0	0	0	0	0	0	0	0
Masp2	162.000000	0	0	0	0	0	433	490	759	262	0	0	0	0
Vmn1r159	160.000000	0	0	175	0	0	641	334	434	225	111	0	0	0
Siglecg	160.000000	0	537	1383	0	0	0	0	0	0	0	0	0	0
Npy5r	159.833333	0	527	1391	0	0	0	0	0	0	0	0	0	0
Npy1r	159.833333	0	527	1391	0	0	0	0	0	0	0	0	0	0
Mycbpap	159.500000	0	0	112	0	0	555	482	521	244	0	0	0	0
Pcdhb10	159.333333	0	615	1121	0	0	0	0	0	0	176	0	0	0
Ublcp1	159.083333	0	735	1042	0	0	0	0	0	0	132	0	0	0
Olfr288	158.083333	0	184	200	0	0	455	158	350	289	261	0	0	0
Gm8127	157.083333	0	642	1010	0	0	233	0	0	0	0	0	0	0
Cdpf1	155.416667	0	0	414	0	0	483	282	365	321	0	0	0	0
Gm21783	155.333333	0	536	1328	0	0	0	0	0	0	0	0	0	0
Tcf25	155.166667	0	732	964	0	0	0	0	0	0	166	0	0	0
Olfr686	155.083333	0	0	0	0	0	403	517	500	368	73	0	0	0
Grm7	154.500000	0	0	0	0	0	428	420	545	461	0	0	0	0
Zbtb41	154.250000	0	0	0	0	0	422	401	520	508	0	0	0	0
Mrgprb5	154.166667	0	160	185	0	0	360	235	510	228	172	0	0	0
Prdx1	153.833333	0	0	288	0	0	582	325	292	359	0	0	0	0
Ghrh	153.583333	0	0	0	0	0	253	402	586	465	137	0	0	0
Zfp958	153.333333	152	0	195	0	0	385	301	285	522	0	0	0	0
Slc10a2	153.333333	0	0	170	0	0	454	389	539	170	118	0	0	0
Gm31186	153.250000	0	485	1354	0	0	0	0	0	0	0	0	0	0
Gm21763	153.250000	0	485	1354	0	0	0	0	0	0	0	0	0	0
Vmn1r257	153.000000	0	0	0	0	0	633	401	462	340	0	0	0	0
Krtap3-2	152.500000	0	0	0	0	0	185	451	714	374	106	0	0	0
Olfr1184	152.250000	0	407	262	0	0	539	125	157	219	118	0	0	0
Chsy3	151.083333	232	188	1393	0	0	0	0	0	0	0	0	0	0
Cox8c	150.916667	0	0	287	0	0	398	337	419	238	132	0	0	0
Gtf2a2	150.666667	315	0	242	0	0	163	288	347	287	166	0	0	0
Phactr3	150.583333	166	178	256	0	0	393	276	282	256	0	0	0	0
Fah	150.500000	0	0	0	0	0	0	463	994	349	0	0	0	0
Olfr857	150.416667	0	210	0	0	0	350	178	480	372	215	0	0	0
Cdhr4	150.333333	0	0	245	0	0	422	368	287	339	143	0	0	0
Hspb8	150.083333	0	571	1230	0	0	0	0	0	0	0	0	0	0
Sspn	149.583333	0	0	0	0	173	174	259	464	227	111	233	154	0
Mgarp	148.333333	0	0	170	0	0	381	268	387	277	297	0	0	0
Abra	147.583333	0	0	169	0	0	667	250	392	156	137	0	0	0
Tdrd12	146.083333	0	196	252	0	0	290	215	442	231	127	0	0	0
Prcd	145.500000	0	0	225	0	0	375	248	334	343	221	0	0	0
Cygb	145.500000	0	0	225	0	0	375	248	334	343	221	0	0	0
Proc	144.666667	0	0	215	0	0	405	296	379	275	166	0	0	0
Gm7980	144.416667	0	546	879	0	0	181	0	0	0	127	0	0	0
Olfr124	144.166667	0	286	405	0	0	519	0	283	116	121	0	0	0
Gm11541	144.000000	0	0	591	0	0	0	271	596	270	0	0	0	0
Olfr922	142.500000	0	367	247	0	0	403	136	131	168	258	0	0	0
Olfr729	141.750000	0	203	124	0	0	484	214	256	141	279	0	0	0
Eif4enif1	141.666667	0	215	404	0	0	120	0	159	151	651	0	0	0
Olfr862	141.333333	0	0	234	0	0	589	292	350	128	103	0	0	0
Spint3	141.083333	0	0	256	0	0	532	256	301	182	166	0	0	0
Scml1	141.083333	0	359	185	0	0	351	221	256	200	121	0	0	0
Pparg	140.916667	0	0	0	0	0	537	436	417	301	0	0	0	0
Vmn1r60	140.500000	0	157	98	0	0	318	193	315	310	295	0	0	0
Olfr1085	139.916667	197	0	215	0	0	466	289	279	124	109	0	0	0
Arhgap8	138.750000	0	0	374	0	0	333	271	309	194	184	0	0	0
Olfr1138	138.583333	154	0	356	0	0	304	258	208	301	82	0	0	0
Fam221a	138.500000	0	0	95	0	0	464	495	363	245	0	0	0	0
4932414N04Rik	137.750000	0	115	156	0	0	540	159	240	298	145	0	0	0
Sult2a1	137.500000	0	227	929	0	0	239	0	0	0	255	0	0	0
Bzw2	136.500000	0	425	1213	0	0	0	0	0	0	0	0	0	0
Ankmy2	136.500000	0	425	1213	0	0	0	0	0	0	0	0	0	0
Olfr237	136.166667	0	147	147	0	0	507	270	335	0	228	0	0	0
Igfbp7	136.000000	0	327	345	0	0	347	126	204	0	283	0	0	0
Atp1a3	136.000000	0	0	300	0	0	534	256	173	161	208	0	0	0
Zscan25	135.666667	163	554	911	0	0	0	0	0	0	0	0	0	0
Olfr736	134.916667	0	0	0	0	0	509	408	289	322	91	0	0	0
Iqgap1	134.250000	0	369	1242	0	0	0	0	0	0	0	0	0	0
Olfr1225	133.750000	0	0	187	0	0	480	364	338	236	0	0	0	0
Guk1	133.416667	0	0	185	0	0	444	310	336	326	0	0	0	0
Rad54l2	131.083333	0	0	349	0	0	386	293	242	221	82	0	0	0
Vmn2r114	130.750000	0	0	0	0	0	444	202	330	297	296	0	0	0
Klhl42	130.583333	0	335	611	0	0	361	133	0	0	127	0	0	0
Gm9805	130.416667	0	212	524	0	0	183	212	200	0	234	0	0	0
Xlr	130.333333	0	0	0	0	0	722	266	209	367	0	0	0	0
Lims1	130.250000	0	0	224	0	0	542	320	207	270	0	0	0	0
Rpl21	129.916667	0	0	0	0	0	623	302	386	248	0	0	0	0
Cwf19l1	129.833333	92	0	289	0	0	255	329	311	150	132	0	0	0
Ttll12	129.750000	0	218	377	0	0	329	156	190	121	166	0	0	0
Arhgef12	129.750000	160	141	381	0	0	331	134	243	167	0	0	0	0
Sult2a5	129.666667	0	359	170	0	0	467	0	187	117	256	0	0	0
Gm21810	129.250000	0	488	1063	0	0	0	0	0	0	0	0	0	0
Gm21745	129.250000	0	488	1063	0	0	0	0	0	0	0	0	0	0
Egfl8	128.500000	127	0	195	0	0	281	257	400	191	91	0	0	0
Prss32	128.166667	0	0	277	0	0	353	265	379	264	0	0	0	0
Casp8	128.000000	0	0	0	0	0	585	306	267	232	146	0	0	0
ccdc198	127.750000	0	133	0	0	0	375	262	259	398	106	0	0	0
Olfr310	126.666667	0	168	0	0	0	478	277	227	163	207	0	0	0
Sdf2l1	126.250000	0	0	391	0	0	358	198	318	250	0	0	0	0
Tent5d	125.833333	0	133	0	0	0	420	373	367	217	0	0	0	0
Crb2	124.750000	198	0	215	0	0	295	254	263	272	0	0	0	0
Gpr160	124.333333	0	160	147	0	0	273	219	288	245	160	0	0	0
Slc5a2	124.000000	166	0	0	0	0	401	251	302	262	106	0	0	0
Vmn2r102	123.416667	0	0	0	0	185	177	0	153	184	381	191	210	0
Mtfr1l	123.250000	262	0	361	0	0	264	224	192	176	0	0	0	0
Tnpo1	123.000000	0	0	0	0	0	462	243	258	317	196	0	0	0
Zbtb12	122.666667	0	0	126	0	0	153	241	601	255	96	0	0	0
Apool	121.833333	0	380	0	0	0	614	165	0	160	143	0	0	0
Prl	120.583333	0	241	185	0	0	399	127	121	146	228	0	0	0
4930524B15Rik	120.250000	323	0	177	0	0	282	199	217	134	111	0	0	0
Ugt2a2	120.083333	0	369	239	0	0	373	98	238	0	124	0	0	0
Sult3a2	119.666667	0	401	641	0	0	208	0	0	0	186	0	0	0
Hif3a	119.583333	0	0	300	0	0	230	161	165	230	349	0	0	0
Vmn2r90	119.500000	0	124	187	0	0	363	144	0	195	421	0	0	0
Fbxo42	118.916667	157	0	254	0	0	402	204	155	255	0	0	0	0
Rsad1	118.750000	0	525	393	0	0	163	0	83	0	261	0	0	0
Ufc1	118.666667	0	0	155	0	0	373	247	292	357	0	0	0	0
Spryd4	118.250000	0	0	219	0	0	310	307	262	321	0	0	0	0
Ptprm	118.083333	0	0	0	0	0	206	347	450	414	0	0	0	0
Tifa	117.916667	0	151	256	0	0	729	279	0	0	0	0	0	0
Rgs20	117.583333	0	388	891	0	0	0	0	0	0	132	0	0	0
Supt20	117.083333	0	0	0	0	0	303	371	314	417	0	0	0	0
Cybb	117.083333	0	280	1125	0	0	0	0	0	0	0	0	0	0
Lgals7	116.833333	0	0	129	0	0	94	255	615	309	0	0	0	0
Olfr1239	116.750000	0	395	260	0	0	293	0	157	133	163	0	0	0
4931408C20Rik	116.083333	0	0	87	0	0	0	0	0	0	1306	0	0	0
Rps23	116.000000	0	656	609	0	0	0	0	0	0	127	0	0	0
Tmem17	115.666667	140	0	540	0	0	248	147	153	160	0	0	0	0
Gm4981	115.666667	0	0	0	161	0	148	217	163	220	479	0	0	0
Ltbp3	115.166667	164	357	744	0	0	117	0	0	0	0	0	0	0
Cpeb1	115.166667	0	188	213	0	0	371	255	195	0	160	0	0	0
Ldlrad2	115.083333	0	0	0	0	0	227	379	489	286	0	0	0	0
C330007P06Rik	114.750000	0	0	0	0	0	429	312	413	223	0	0	0	0
Ube2s	114.666667	128	0	342	0	0	252	203	197	148	106	0	0	0
Bclaf1	114.500000	0	0	258	0	0	244	182	323	237	130	0	0	0
Olfr1487	114.000000	0	169	278	0	0	302	147	306	0	166	0	0	0
Eid2b	114.000000	630	0	738	0	0	0	0	0	0	0	0	0	0
Vmn1r9	113.666667	0	359	232	0	0	319	0	133	125	196	0	0	0
Ptgs2	113.583333	0	0	0	0	0	495	329	323	216	0	0	0	0
Marcksl1	112.500000	0	0	0	0	0	439	293	323	295	0	0	0	0
Cdc20	112.500000	0	0	175	0	0	230	245	183	262	255	0	0	0
Psd4	112.166667	0	198	175	0	0	445	206	162	0	160	0	0	0
Olfr1417	111.916667	0	0	403	0	0	325	191	163	0	261	0	0	0
Il1rap	111.583333	0	0	0	0	0	487	261	240	161	190	0	0	0
Thap1	111.416667	0	496	412	0	0	0	0	0	0	429	0	0	0
Cdh19	111.333333	0	139	242	0	0	256	143	294	149	113	0	0	0
Gm8138	111.250000	0	419	632	0	0	146	138	0	0	0	0	0	0
Rp9	110.666667	165	0	218	0	0	300	153	231	261	0	0	0	0
Nlrp9a	110.416667	0	462	636	0	0	0	95	0	0	132	0	0	0
Csl	110.333333	218	0	221	0	0	363	158	193	171	0	0	0	0
