Target_genes	Bbx|Average	SRX3730214|Trophoblast_stem_cells	SRX3730215|Trophoblast_stem_cells	SRX3730271|Trophoblast_stem_cells	STRING
Dhrs4	58.333333	175	0	0	0
Ythdf2	58.000000	87	0	87	0
Taf12	57.000000	171	0	0	0
Mrps33	57.000000	171	0	0	0
Snrpd1	55.666667	167	0	0	0
Rbm17	55.666667	167	0	0	0
Slc9a1	55.333333	166	0	0	0
Rnf216	55.333333	166	0	0	0
Knl1	55.333333	166	0	0	0
Ciz1	55.000000	165	0	0	0
Mdp1	54.666667	164	0	0	0
Dpy19l4	54.333333	163	0	0	0
Gtf3c6	54.000000	162	0	0	0
Psmb3	53.666667	161	0	0	0
Pcgf2	53.666667	161	0	0	0
Nemf	52.666667	0	0	158	0
Gtf3c4	52.666667	158	0	0	0
Ddx31	52.666667	158	0	0	0
Zc3h7a	52.000000	156	0	0	0
Zfp62	51.666667	155	0	0	0
Atp5g2	51.666667	155	0	0	0
Api5	51.666667	0	0	155	0
Uqcrc2	51.333333	154	0	0	0
Rabggta	51.333333	0	0	154	0
Znrd1as	51.000000	153	0	0	0
Znrd1	51.000000	153	0	0	0
Rbm25	50.666667	152	0	0	0
Rabggtb	50.666667	152	0	0	0
Ifna13	50.666667	152	0	0	0
Eef1akmt2	50.666667	152	0	0	0
Sf3a3	50.333333	0	0	151	0
Rpl36	50.333333	151	0	0	0
Pcbp2	50.333333	151	0	0	0
Micos13	50.333333	151	0	0	0
Cops4	50.333333	151	0	0	0
8030462N17Rik	50.333333	151	0	0	0
Msx2	49.666667	149	0	0	0
Fam133b	49.333333	148	0	0	0
Pml	48.666667	146	0	0	0
Mtres1	48.666667	146	0	0	0
Ccdc57	48.666667	146	0	0	0
Rbbp5	48.333333	145	0	0	0
Ttc4	48.000000	144	0	0	0
Nomo1	48.000000	144	0	0	0
Fra10ac1	48.000000	144	0	0	0
Abcc6	48.000000	144	0	0	0
Inpp5e	47.666667	143	0	0	0
Prpsap1	47.333333	142	0	0	0
Ints1	47.333333	142	0	0	0
Got2	47.333333	142	0	0	0
Zkscan5	47.000000	141	0	0	0
Zkscan14	47.000000	141	0	0	0
Zfp661	47.000000	141	0	0	0
Mrps5	47.000000	141	0	0	0
Supv3l1	46.666667	140	0	0	0
Ndufs7	46.666667	140	0	0	0
Parn	46.333333	139	0	0	0
Ift46	46.333333	139	0	0	0
Endov	46.333333	139	0	0	0
Eif3g	46.333333	139	0	0	0
Bfar	46.333333	139	0	0	0
Mrps7	46.000000	138	0	0	0
Gga3	46.000000	138	0	0	0
Adrm1	46.000000	138	0	0	0
Dync1li2	45.666667	137	0	0	0
Agfg1	45.333333	0	0	136	0
Phlda3	45.000000	135	0	0	0
Cep120	45.000000	0	0	135	0
Rab33b	43.666667	131	0	0	0
Rpl10	43.000000	129	0	0	0
Pigo	43.000000	129	0	0	0
Rubcn	42.666667	128	0	0	0
Fyttd1	42.666667	128	0	0	0
Prmt5	42.333333	127	0	0	0
Zfp113	42.000000	126	0	0	0
Tex261	42.000000	126	0	0	0
C1qbp	41.333333	124	0	0	0
Trim41	40.666667	122	0	0	0
Akr1a1	40.666667	122	0	0	0
Ylpm1	40.333333	121	0	0	0
Snrpe	40.333333	121	0	0	0
Scaf8	40.333333	121	0	0	0
Asf1a	40.333333	121	0	0	0
Slc35b1	40.000000	120	0	0	0
Hibch	39.666667	119	0	0	0
Nme6	39.000000	117	0	0	0
Dennd6b	39.000000	117	0	0	0
Rps29	38.666667	0	0	116	0
Nus1	38.666667	116	0	0	0
Ipo13	38.333333	115	0	0	0
Srd5a1	38.000000	114	0	0	0
Rps24	38.000000	114	0	0	0
Polr3a	38.000000	114	0	0	0
Nsun2	38.000000	114	0	0	0
Cops9	37.666667	113	0	0	0
Mfsd12	37.333333	112	0	0	0
Zbtb49	37.000000	0	0	111	0
Lyar	37.000000	0	0	111	0
Mrps10	36.666667	110	0	0	0
Med23	36.333333	109	0	0	0
Gorasp2	36.333333	109	0	0	0
Tox4	35.666667	107	0	0	0
Rab2b	35.666667	107	0	0	0
Lemd2	35.333333	106	0	0	0
Ccr4	35.333333	106	0	0	0
Utp3	35.000000	0	0	105	0
Zscan12	34.000000	102	0	0	0
Rnase4	34.000000	102	0	0	0
Lyrm4	34.000000	102	0	0	0
Fars2	34.000000	102	0	0	0
Elac1	34.000000	102	0	0	0
Ang	34.000000	102	0	0	0
Slc33a1	33.666667	101	0	0	0
Rgl2	33.666667	101	0	0	0
H4f16	33.666667	101	0	0	0
H2aj	33.666667	101	0	0	0
Zfp148	33.333333	100	0	0	0
Smim17	33.333333	100	0	0	0
Polr2e	33.333333	100	0	0	0
Pin4	33.333333	100	0	0	0
Tfb2m	33.000000	0	0	99	0
Pabpc4	33.000000	99	0	0	0
Cnst	33.000000	0	0	99	0
Metap2	32.666667	98	0	0	0
H4c6	32.666667	98	0	0	0
H1f3	32.666667	98	0	0	0
Anapc11	32.000000	96	0	0	0
Alyref	32.000000	96	0	0	0
Xrn1	31.666667	95	0	0	0
Polg	31.666667	95	0	0	0
Wdr45b	31.000000	0	0	93	0
Pole3	30.333333	91	0	0	0
Alad	30.333333	91	0	0	0
Nsfl1c	30.000000	0	0	90	0
Aars2	29.666667	89	0	0	0
1700066M21Rik	29.666667	89	0	0	0
Tssk6	29.000000	87	0	0	0
Ndufa13	29.000000	87	0	0	0
Ercc1	29.000000	87	0	0	0
Actr6	29.000000	87	0	0	0
Tnks1bp1	27.666667	83	0	0	0
Tcf4	27.666667	83	0	0	0
Rap2b	27.333333	82	0	0	0
Vdac2	26.333333	79	0	0	0
Polr3f	26.333333	79	0	0	0
Dzank1	26.333333	79	0	0	0
Polr3e	25.000000	75	0	0	0
Hadhb	24.000000	72	0	0	0
Hadha	24.000000	72	0	0	0
Trip11	21.333333	64	0	0	0
