Target_genes	Irf3|Average	SRX3380959|Dendritic_Cells	SRX3380960|Dendritic_Cells	SRX3380961|Dendritic_Cells	SRX145327|Macrophages	SRX145328|Macrophages	SRX20734189|Macrophages	SRX20734190|Macrophages	SRX20734191|Macrophages	SRX20734192|Macrophages	SRX20734193|Macrophages	SRX20734194|Macrophages	SRX20734195|Macrophages	SRX20734196|Macrophages	SRX20734201|Macrophages	SRX20734202|Macrophages	SRX20734203|Macrophages	SRX20734205|Macrophages	SRX2991446|Macrophages	SRX2991447|Macrophages	SRX2991448|Macrophages	SRX2991449|Macrophages	STRING
Dcaf1	186.857143	1406	1267	1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcna3	186.142857	319	1523	366	145	137	0	0	0	271	823	0	0	0	0	0	0	325	0	0	0	0	0
Fbxw13	184.428571	1431	1613	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgax	183.476190	859	1533	1126	152	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med21	183.000000	1202	1227	1177	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpk2	182.809524	899	1166	929	0	0	0	0	0	150	582	0	0	0	0	0	0	113	0	0	0	0	0
Slc12a9	182.095238	752	1979	418	140	142	0	0	0	0	215	0	0	0	0	0	0	178	0	0	0	0	0
Lamp1	181.238095	926	1039	841	0	173	0	0	0	171	502	0	0	0	0	0	0	154	0	0	0	0	0
Il6st	181.190476	1320	1320	1165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mef2c	180.714286	1010	1519	592	175	266	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0
Oasl2	180.285714	0	1968	0	150	169	0	0	0	158	742	0	270	0	0	0	0	329	0	0	0	0	0
Zfp169	178.380952	1151	1826	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgam1	178.142857	1622	913	923	0	149	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0
Rnf213	178.000000	0	1954	0	214	324	0	0	0	232	862	0	0	0	0	0	0	152	0	0	0	0	0
Hcar2	177.904762	524	1516	936	162	131	0	0	0	0	310	0	0	0	0	0	0	157	0	0	0	0	0
Rbm45	176.857143	0	1781	0	0	0	0	0	0	168	1133	152	270	0	0	0	0	210	0	0	0	0	0
Calhm6	176.428571	954	1177	822	329	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lag3	176.285714	0	2353	0	0	0	0	0	0	309	563	0	0	0	0	0	196	281	0	0	0	0	0
Aoah	175.333333	442	2120	561	106	283	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0
Znrd1as	174.428571	994	1458	927	139	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpsm2	174.190476	1157	1300	1078	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trafd1	174.000000	579	1555	582	124	329	0	0	0	0	381	0	104	0	0	0	0	0	0	0	0	0	0
Slc15a3	174.000000	615	1326	988	199	340	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0
Ms4a7	172.047619	490	1585	477	190	280	0	0	0	0	473	0	118	0	0	0	0	0	0	0	0	0	0
Ube2f	171.904762	140	1899	0	0	184	0	0	0	239	730	0	179	0	0	0	0	239	0	0	0	0	0
Tspo	170.380952	0	1272	0	161	312	0	0	0	251	711	0	118	0	0	0	269	484	0	0	0	0	0
Herc6	169.238095	0	1146	0	475	611	0	0	0	138	793	0	0	0	0	0	135	256	0	0	0	0	0
Chrdl2	169.047619	1347	1218	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec9a	168.333333	1198	1621	607	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
Gypc	166.952381	238	2035	0	0	0	0	0	0	206	620	0	0	0	0	0	0	407	0	0	0	0	0
Nxpe5	166.333333	1231	1266	838	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ggt5	166.190476	1307	1108	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrnad1	165.714286	0	1086	0	75	122	0	0	0	163	950	260	589	0	0	0	0	235	0	0	0	0	0
Isg20l2	165.714286	0	1086	0	75	122	0	0	0	163	950	260	589	0	0	0	0	235	0	0	0	0	0
Hcfc2	165.714286	1123	1328	858	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank1	165.476190	1092	1264	954	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0
Plpp1	164.666667	1118	1408	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muc20	164.190476	951	847	765	425	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtp4	163.714286	0	470	0	322	253	0	0	0	225	1301	133	272	0	0	0	178	284	0	0	0	0	0
Syne1	163.047619	1104	1483	837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psap	159.666667	1192	1208	741	109	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sp140	159.190476	1072	1133	747	177	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox18	157.571429	0	231	0	463	528	0	0	0	253	1000	217	427	0	0	0	0	190	0	0	0	0	0
Dpep2	157.238095	918	1178	361	382	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a8	156.857143	941	1387	587	0	0	0	0	0	115	264	0	0	0	0	0	0	0	0	0	0	0	0
Mapk14	156.857143	941	1387	587	0	0	0	0	0	115	264	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg3	152.333333	1141	1275	320	241	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtmr14	152.047619	0	1543	0	157	191	0	0	0	171	744	0	0	0	0	0	0	387	0	0	0	0	0
Il1r2	151.095238	1128	1311	734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Znfx1	150.952381	0	844	0	305	395	0	0	0	316	1014	0	0	0	0	0	0	296	0	0	0	0	0
Gm4832	150.809524	0	1532	0	0	245	0	0	0	226	808	210	146	0	0	0	0	0	0	0	0	0	0
Urgcp	150.238095	490	1471	411	170	318	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0
Prdx1	150.142857	0	232	0	437	724	0	0	0	338	1108	0	0	0	0	0	0	314	0	0	0	0	0
Skap2	149.523810	574	1414	580	233	187	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0
Smim14	149.476190	315	1433	315	97	315	0	0	0	0	530	0	0	0	0	0	0	134	0	0	0	0	0
Abhd6	149.428571	0	0	0	586	641	0	0	0	0	0	0	0	0	0	0	0	0	472	444	493	502	0
Srrd	149.047619	1054	1192	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hps4	149.047619	1054	1192	884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spaca7	149.000000	868	1112	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC028528	148.333333	502	1702	332	0	0	0	0	0	146	433	0	0	0	0	0	0	0	0	0	0	0	0
Aph1a	148.333333	502	1702	332	0	0	0	0	0	146	433	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	147.809524	0	0	0	629	562	0	0	0	0	0	0	0	0	0	0	0	0	458	412	526	517	0
Cenpm	147.809524	0	1489	0	0	0	0	0	0	324	1011	0	0	0	0	0	0	280	0	0	0	0	0
Selenow	147.761905	0	764	0	318	403	0	0	0	129	982	0	191	0	0	0	0	316	0	0	0	0	0
Parvb	147.666667	606	994	233	225	457	0	0	0	143	333	0	110	0	0	0	0	0	0	0	0	0	0
Iqgap2	146.714286	881	1156	435	177	219	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0
Vamp5	146.476190	1276	1308	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nabp1	146.142857	434	915	252	483	985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd37	145.761905	1214	899	821	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sema4d	145.142857	599	1075	386	687	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc39c	143.809524	0	809	0	135	180	0	0	0	223	908	0	204	0	0	0	181	380	0	0	0	0	0
P4ha1	143.619048	914	610	508	212	419	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0
Pdlim5	143.380952	702	1326	414	165	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2aw	143.285714	619	1448	276	218	265	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0
Elmod2	143.047619	489	1177	451	308	198	0	0	0	167	214	0	0	0	0	0	0	0	0	0	0	0	0
Prkab2	142.952381	1210	1107	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr806	142.809524	0	0	0	642	613	0	0	0	0	0	0	0	0	0	0	0	0	474	444	430	396	0
Pfkp	142.285714	587	1623	486	122	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Espn	141.380952	135	1208	116	0	112	0	0	0	155	315	0	0	0	0	0	367	561	0	0	0	0	0
Zbtb22	141.333333	0	1462	0	164	132	0	0	0	218	579	0	201	0	0	0	0	212	0	0	0	0	0
Tapbp	141.333333	0	1462	0	164	132	0	0	0	218	579	0	201	0	0	0	0	212	0	0	0	0	0
Gns	141.095238	426	1133	297	76	125	0	0	0	127	589	0	0	0	0	0	0	190	0	0	0	0	0
Lbr	141.000000	1058	1282	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mbnl1	140.809524	714	1135	517	239	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dst	140.714286	633	996	778	149	127	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0
Bend6	140.714286	633	996	778	149	127	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0
Vipas39	140.428571	156	1031	142	159	142	0	0	0	223	588	0	100	0	0	0	131	277	0	0	0	0	0
Ahsa1	140.428571	156	1031	142	159	142	0	0	0	223	588	0	100	0	0	0	131	277	0	0	0	0	0
Hp1bp3	139.952381	144	645	0	94	156	0	0	0	309	840	132	217	0	0	0	0	402	0	0	0	0	0
Ube2l6	139.380952	0	330	0	168	201	0	0	0	218	974	173	415	0	0	0	0	448	0	0	0	0	0
Marchf1	139.380952	1071	1403	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dthd1	139.238095	816	1548	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmbim6	139.047619	519	990	536	414	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5544	137.333333	913	892	474	207	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smim3	136.761905	591	885	805	161	221	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0
Zfp366	136.190476	1046	1061	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr1	136.095238	744	1238	723	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grn	135.809524	424	957	310	154	220	0	0	0	135	367	0	100	0	0	0	0	185	0	0	0	0	0
Pde4a	135.571429	166	626	0	155	154	0	0	0	264	969	0	224	0	0	0	0	289	0	0	0	0	0
St8sia1	135.476190	945	1070	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tlx1	134.428571	1099	995	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlx1	133.571429	1094	1179	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybph	133.523810	1043	853	809	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr433	132.952381	179	1315	238	105	139	0	0	0	243	398	0	0	0	0	0	0	175	0	0	0	0	0
Tifab	132.714286	847	1269	261	149	129	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0
Rnd3	132.714286	0	1089	0	123	158	0	0	0	214	726	0	163	0	0	0	0	314	0	0	0	0	0
Fgl2	132.476190	275	1737	145	169	208	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0
Parp8	132.095238	1077	1079	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcp2	131.428571	0	792	162	172	200	0	0	0	253	455	0	254	0	0	0	208	264	0	0	0	0	0
Sec24b	131.380952	528	1483	588	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmcc3	130.952381	840	1137	235	0	137	0	0	0	137	264	0	0	0	0	0	0	0	0	0	0	0	0
Lacc1	130.238095	280	1149	155	186	303	0	0	0	183	353	0	0	0	0	0	0	126	0	0	0	0	0
Fbxo4	130.238095	546	1310	326	211	243	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc122	130.238095	280	1149	155	186	303	0	0	0	183	353	0	0	0	0	0	0	126	0	0	0	0	0
Stat2	130.047619	0	1168	0	222	352	0	0	0	0	617	0	173	0	0	0	0	199	0	0	0	0	0
Apof	130.047619	0	1168	0	222	352	0	0	0	0	617	0	173	0	0	0	0	199	0	0	0	0	0
Cd164	129.523810	193	1320	203	165	421	0	0	0	0	241	0	0	0	0	0	0	177	0	0	0	0	0
Popdc2	128.428571	0	2253	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0
Unc93b1	128.285714	262	1147	330	380	442	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0
Cd53	128.285714	533	1203	856	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0
Mmp9	128.190476	871	641	0	479	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb3	128.000000	116	1027	0	0	0	0	0	0	161	625	0	0	0	0	0	179	580	0	0	0	0	0
Calhm2	127.714286	1270	854	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn8	127.523810	883	1062	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbtb32	127.476190	0	2074	0	0	0	0	0	0	190	413	0	0	0	0	0	0	0	0	0	0	0	0
Npat	127.428571	0	1029	0	0	94	0	0	0	284	807	0	0	0	0	0	141	321	0	0	0	0	0
Atm	127.428571	0	1029	0	0	94	0	0	0	284	807	0	0	0	0	0	141	321	0	0	0	0	0
Olfr824	126.857143	699	1430	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam168b	126.190476	128	1888	148	0	143	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0
Usp40	126.047619	464	1656	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irak2	125.666667	0	0	0	220	435	0	0	0	358	653	118	258	0	0	0	277	320	0	0	0	0	0
Usp11	125.428571	1158	946	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pim1	125.333333	0	1150	0	492	794	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0
Gm45521	125.047619	351	1735	292	0	0	0	0	0	0	114	0	0	0	0	0	0	134	0	0	0	0	0
Ms4a4c	124.904762	499	1600	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a12	124.476190	416	1348	301	0	184	0	0	0	0	267	0	0	0	0	0	0	98	0	0	0	0	0
Pld4	124.047619	507	810	465	241	327	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0
Serpinb2	123.857143	882	720	851	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0
Rapgef1	123.761905	1022	1112	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phf11b	123.666667	374	1663	267	169	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itga5	123.476190	295	435	0	535	575	0	0	0	176	371	91	115	0	0	0	0	0	0	0	0	0	0
Rbpj	123.285714	0	1015	0	0	156	0	0	0	208	660	0	219	0	0	0	0	331	0	0	0	0	0
Sf3b2	123.095238	0	1499	0	427	521	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0
Polr2g	122.476190	0	1027	0	0	0	0	0	0	161	625	0	0	0	0	0	179	580	0	0	0	0	0
Oosp3	122.380952	763	966	728	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zup1	122.000000	0	927	0	266	397	0	0	0	163	578	0	0	0	0	0	0	231	0	0	0	0	0
Galc	122.000000	872	1022	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zbp1	121.714286	0	984	0	151	180	0	0	0	228	623	0	0	0	0	0	0	390	0	0	0	0	0
Zfp740	121.476190	779	966	705	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csad	121.476190	779	966	705	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmpk2	121.095238	0	216	0	362	552	0	0	0	209	564	0	0	0	0	0	180	460	0	0	0	0	0
Gsap	121.047619	464	1124	222	120	277	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0	0
