Target_genes	Foxo3|Average	SRX15124402|4T1	SRX2845374|C2C12	SRX2845375|C2C12	SRX23264976|ES_cells	SRX23264977|ES_cells	SRX23264978|ES_cells	SRX23264979|ES_cells	SRX23264980|ES_cells	SRX23264981|ES_cells	SRX23264982|ES_cells	SRX23264983|ES_cells	SRX125261|Macrophages	SRX315275|Neural_progenitor_cells	STRING
Paip2b	134.769231	0	0	592	0	0	0	0	124	0	127	0	0	909	0
Ect2	130.307692	0	0	390	0	0	0	0	145	0	168	0	0	991	0
Pbxip1	130.000000	0	0	473	0	0	0	0	0	0	0	0	0	1217	0
Per1	129.846154	0	0	969	0	0	0	0	0	0	0	0	0	719	0
Zfp874a	127.538462	0	0	710	0	0	0	0	0	0	0	0	0	948	0
Slc25a45	126.000000	0	0	648	0	0	0	0	0	0	0	0	0	990	0
Frmd8	126.000000	0	0	648	0	0	0	0	0	0	0	0	0	990	0
Cnnm3	121.076923	0	0	0	165	0	282	0	182	0	252	0	0	693	0
Ythdc1	120.846154	0	0	400	0	0	0	0	0	0	0	0	0	1171	0
Zfp229	117.461538	0	0	0	275	0	325	0	291	0	404	0	0	232	0
Pik3ip1	116.846154	0	0	391	0	0	0	0	0	0	0	0	0	1128	0
Cited2	116.000000	0	0	746	0	0	0	0	0	0	0	0	0	762	0
Ankrd11	111.923077	0	0	141	267	0	176	0	302	0	311	0	0	258	0
Map1lc3b	108.000000	0	0	578	0	0	0	0	0	0	134	0	0	692	0
Pdk4	107.230769	0	0	690	0	0	0	0	0	0	0	0	0	704	0
Rab40b	106.615385	0	0	644	0	0	0	0	0	0	0	0	0	742	0
Zfp949	104.307692	0	0	473	0	0	0	0	135	0	0	0	0	748	0
Ubb	102.769231	0	0	887	0	0	0	0	154	0	0	0	0	295	0
Rmnd5a	101.692308	0	0	426	0	0	175	0	0	0	0	0	0	721	0
Mical3	101.076923	0	0	355	0	0	0	0	0	0	0	0	0	959	0
Hibadh	97.384615	0	0	697	0	0	0	0	0	0	0	0	0	569	0
Bahcc1	95.692308	0	0	289	0	0	0	0	0	0	0	0	0	955	0
Sidt2	95.076923	0	0	287	0	0	0	0	0	0	0	0	0	949	0
Vwa5a	94.923077	0	0	624	0	0	0	0	0	0	0	0	0	610	0
Vsir	94.846154	0	0	632	0	0	0	0	0	0	0	0	0	601	0
Nsmce4a	93.461538	0	0	0	0	0	131	0	0	0	252	0	0	832	0
Timp3	92.384615	0	0	855	0	0	0	0	0	0	0	0	0	346	0
9330159F19Rik	92.076923	0	0	811	0	0	0	0	0	0	0	0	0	386	0
Ube2h	90.461538	0	0	470	0	0	0	0	0	0	0	0	0	706	0
Tef	90.461538	0	0	446	0	0	0	0	0	0	0	0	0	730	0
Max	90.153846	0	0	517	0	0	0	0	0	0	0	0	0	655	0
Mtss2	89.230769	0	0	0	0	0	0	0	0	0	0	0	0	1160	0
Tmem127	89.000000	0	0	700	0	0	0	0	0	0	0	0	0	457	0
Ciao1	89.000000	0	0	700	0	0	0	0	0	0	0	0	0	457	0
Nrbf2	88.307692	0	0	601	0	0	0	0	0	0	0	0	0	547	0
Crebl2	87.692308	0	0	261	0	0	130	0	0	0	170	0	0	579	0
Taf8	86.307692	0	0	482	0	0	0	0	0	0	0	0	0	640	0
Ccnd3	86.307692	0	0	482	0	0	0	0	0	0	0	0	0	640	0
Zbtb5	86.076923	0	0	607	0	0	0	0	0	0	0	0	0	512	0
Tnrc18	86.000000	0	0	518	0	0	0	0	0	0	149	0	0	451	0
Smpd3	85.923077	0	0	445	0	0	0	0	0	0	0	0	0	672	0
Asb16	85.153846	0	0	1107	0	0	0	0	0	0	0	0	0	0	0
Abhd4	85.076923	0	0	405	0	0	167	0	0	0	0	0	0	534	0
Rps29	84.846154	0	0	0	0	0	0	0	0	0	0	0	413	690	0
Cobl	84.846154	0	0	949	0	0	0	0	0	0	0	0	0	154	0
Tubb4b	84.153846	0	0	483	0	0	0	0	0	0	137	0	0	474	0
Trib1	83.769231	0	0	920	0	0	0	0	0	0	0	0	0	169	0
Tcp11l2	83.692308	0	0	491	0	0	0	0	0	0	0	0	0	597	0
Pcmtd2	82.461538	0	0	384	0	0	0	0	0	0	0	0	0	688	0
Cd276	82.000000	0	0	222	0	0	0	0	0	0	0	0	0	844	0
Gm4981	81.153846	139	0	0	180	64	128	0	262	128	154	0	0	0	0
C1qtnf1	81.076923	0	0	704	0	0	0	0	0	0	0	0	0	350	0
Dhx8	80.153846	0	0	461	0	0	0	0	0	0	0	0	0	581	0
Tfap4	79.923077	0	0	357	0	0	0	0	0	0	0	0	0	682	0
Sart3	79.923077	0	0	517	0	0	0	0	0	0	0	0	0	522	0
Iscu	79.923077	0	0	517	0	0	0	0	0	0	0	0	0	522	0
Tmcc1	79.538462	0	0	203	0	0	0	0	0	0	0	0	0	831	0
Pi4k2a	79.307692	0	0	279	0	0	0	0	0	0	0	0	0	752	0
Morn4	79.307692	0	0	279	0	0	0	0	0	0	0	0	0	752	0
Rps6ka5	78.769231	0	0	464	0	0	0	0	0	0	0	0	0	560	0
Serpinb6d	78.692308	0	0	1023	0	0	0	0	0	0	0	0	0	0	0
Myo10	77.461538	0	0	155	0	0	0	0	0	0	0	0	0	852	0
Zfp113	77.384615	0	0	366	0	0	0	0	0	0	0	0	0	640	0
Fam227b	76.769231	0	0	0	0	0	0	0	0	0	0	0	268	730	0
Dtwd1	76.769231	0	0	0	0	0	0	0	0	0	0	0	268	730	0
Rgs2	76.230769	0	0	570	0	0	0	0	0	0	0	0	0	421	0
Cic	75.384615	0	0	536	0	0	0	0	0	0	0	0	0	444	0
Klf9	74.846154	0	0	379	0	0	0	0	0	0	0	0	0	594	0
Nemf	74.692308	0	0	0	0	0	0	0	0	0	0	0	333	638	0
Btg1	74.307692	0	0	366	0	0	0	0	0	0	0	0	0	600	0
Sqstm1	73.769231	0	0	483	0	0	0	0	0	0	0	0	0	476	0
Myh14	73.230769	0	0	0	0	0	0	0	0	0	0	0	0	952	0
Scamp5	73.153846	0	0	0	0	0	0	0	0	0	0	0	0	951	0
Pou3f3	72.846154	0	0	0	0	0	0	0	0	0	0	0	0	947	0
Gpn3	72.461538	0	0	419	0	0	0	0	0	0	0	0	0	523	0
Fam216a	72.461538	0	0	419	0	0	0	0	0	0	0	0	0	523	0
Wdr18	72.384615	0	0	375	0	0	0	0	0	0	0	0	0	566	0
Fyco1	72.307692	0	0	214	0	0	0	0	0	0	0	0	0	726	0
Plcd4	72.230769	0	0	317	0	0	0	0	0	0	0	0	0	622	0
Dad1	72.230769	0	0	405	0	0	0	0	0	0	0	0	0	534	0
Ttll8	71.846154	0	0	934	0	0	0	0	0	0	0	0	0	0	0
Tmem125	71.846154	0	374	422	0	0	0	0	0	0	0	0	138	0	0
Ube2b	71.307692	0	0	198	0	0	0	0	0	0	134	0	0	595	0
Cdkl3	71.307692	0	0	198	0	0	0	0	0	0	134	0	0	595	0
Spag9	71.076923	0	0	268	0	0	0	0	0	0	0	0	0	656	0
Numa1	71.076923	0	0	0	0	0	0	0	0	0	0	0	0	924	0
Zc3h13	70.692308	0	0	312	0	0	0	0	0	0	0	0	0	607	0
Iba57	69.846154	0	0	512	0	0	0	0	0	0	0	0	0	396	0
Emp1	68.846154	0	0	613	0	0	0	0	0	0	0	0	0	282	0
Dixdc1	68.846154	0	0	295	0	0	0	0	0	0	0	0	0	600	0
Art5	67.692308	0	0	880	0	0	0	0	0	0	0	0	0	0	0
Art1	67.692308	0	0	880	0	0	0	0	0	0	0	0	0	0	0
Rasip1	67.615385	0	0	0	0	0	0	0	0	0	0	0	196	683	0
Malt1	67.615385	0	0	0	0	0	0	0	0	0	0	0	271	608	0
Izumo1	67.615385	0	0	0	0	0	0	0	0	0	0	0	196	683	0
Btbd8	67.307692	0	0	226	0	0	0	0	0	0	0	0	0	649	0
Ssbp3	67.230769	0	0	387	0	0	0	0	0	0	0	0	0	487	0
Klhl40	67.076923	0	0	872	0	0	0	0	0	0	0	0	0	0	0
Actl7b	67.076923	0	0	872	0	0	0	0	0	0	0	0	0	0	0
Actl7a	67.076923	0	0	872	0	0	0	0	0	0	0	0	0	0	0
Card19	67.000000	0	0	466	0	0	0	0	0	0	0	0	0	405	0
Ramp1	66.923077	0	0	292	0	0	0	0	0	0	0	0	0	578	0
Kiz	66.846154	0	0	0	0	0	0	0	0	0	0	0	0	869	0
Cenpa	66.615385	0	0	182	0	0	0	0	0	0	0	0	0	684	0
Serinc1	66.538462	0	0	281	0	0	0	0	0	0	0	0	0	584	0
Gpr146	66.461538	0	0	240	0	0	0	0	0	0	0	0	0	624	0
Pnpla7	66.384615	0	0	412	0	0	0	0	0	0	0	0	0	451	0
Mrpl41	66.384615	0	0	412	0	0	0	0	0	0	0	0	0	451	0
Kif20a	66.230769	0	0	164	0	0	0	0	156	0	171	0	0	370	0
Brd8	66.230769	0	0	164	0	0	0	0	156	0	171	0	0	370	0
Otud1	66.153846	0	0	0	0	0	0	0	0	0	106	0	0	754	0
Nop14	66.153846	0	0	353	0	0	0	0	0	0	0	0	0	507	0
Grk4	66.153846	0	0	353	0	0	0	0	0	0	0	0	0	507	0
Kif23	65.461538	0	0	356	0	0	0	0	0	0	0	0	0	495	0
Serpinb9	65.153846	0	0	494	0	0	0	0	0	0	0	0	0	353	0
Slc12a6	64.923077	0	0	158	0	0	0	0	0	0	0	0	0	686	0
Nop10	64.923077	0	0	158	0	0	0	0	0	0	0	0	0	686	0
Adipor2	64.846154	0	0	248	0	0	0	0	0	0	0	0	0	595	0
Bnip3	64.384615	0	0	647	0	0	0	0	0	0	0	0	0	190	0
Ctdsp2	64.153846	0	0	203	0	0	0	0	0	0	0	0	0	631	0
Nr4a3	63.846154	0	0	291	0	0	0	0	0	0	0	0	0	539	0
Scg5	63.692308	0	0	359	0	0	0	0	0	0	0	0	0	469	0
Abhd6	63.615385	0	252	198	0	0	0	0	0	0	0	0	377	0	0
Trim23	63.076923	0	0	162	0	0	0	0	0	0	0	0	0	658	0
Trappc13	63.076923	0	0	162	0	0	0	0	0	0	0	0	0	658	0
Shld3	63.076923	0	0	162	0	0	0	0	0	0	0	0	0	658	0
Itgb3	62.923077	0	0	666	0	0	0	0	0	0	0	0	0	152	0
Retreg1	61.538462	0	0	800	0	0	0	0	0	0	0	0	0	0	0
Prcc	61.461538	0	0	425	0	0	0	0	0	0	0	0	0	374	0
Hexim2	61.230769	0	0	466	0	0	0	0	0	0	0	0	0	330	0
Tpp2	61.000000	0	0	330	0	0	0	0	0	0	0	0	0	463	0
Hdac10	60.769231	0	0	495	0	0	0	0	0	0	0	0	0	295	0
Acsl1	60.538462	0	0	147	0	0	0	0	0	0	0	0	0	640	0
Ahnak	60.461538	0	0	786	0	0	0	0	0	0	0	0	0	0	0
Usp37	60.153846	0	0	160	0	0	0	0	0	0	0	0	0	622	0
Tsc1	59.846154	0	0	183	0	0	0	0	0	0	0	0	0	595	0
Sbno2	59.307692	0	0	443	0	0	0	0	0	0	0	0	0	328	0
Ifi204	58.846154	0	0	765	0	0	0	0	0	0	0	0	0	0	0
Slc25a18	58.615385	0	0	88	0	0	0	0	0	0	0	0	0	674	0
Bcr	58.615385	0	0	346	0	0	0	0	0	0	0	0	0	416	0
Trim63	58.230769	0	0	569	0	0	0	0	0	0	0	0	0	188	0
Zbtb20	58.153846	0	0	607	0	0	0	0	0	0	0	0	0	149	0
Ypel3	58.076923	0	0	0	0	0	0	0	0	0	0	0	0	755	0
Tbx6	58.076923	0	0	0	0	0	0	0	0	0	0	0	0	755	0
Selenop	58.000000	0	0	160	0	0	0	0	0	0	0	0	0	594	0
Rab5b	58.000000	0	0	264	0	0	0	0	0	0	0	0	0	490	0
Ddx5	57.615385	0	0	253	0	0	0	0	0	0	0	0	0	496	0
Cep95	57.615385	0	0	253	0	0	0	0	0	0	0	0	0	496	0
Tmem218	57.538462	0	0	442	0	0	0	0	0	0	0	0	0	306	0
Ralgds	57.461538	0	0	459	0	0	0	0	0	0	0	0	0	288	0
Pim1	57.153846	0	0	426	0	0	0	0	0	0	0	0	0	317	0
Sike1	57.076923	0	0	742	0	0	0	0	0	0	0	0	0	0	0
Prkdc	56.923077	0	0	0	0	0	0	0	0	0	0	0	214	526	0
Cela3a	56.538462	0	0	735	0	0	0	0	0	0	0	0	0	0	0
Bmper	56.384615	0	0	733	0	0	0	0	0	0	0	0	0	0	0
Riok3	56.076923	0	0	432	0	0	0	0	0	0	0	0	0	297	0
Nfe2l1	55.692308	0	0	0	0	0	0	0	0	0	0	0	0	724	0
Zfp91	55.615385	0	0	324	0	0	0	0	0	0	0	0	0	399	0
Rnase1	55.615385	0	0	610	0	0	0	0	0	0	0	0	0	113	0
Mideas	55.615385	0	0	294	0	0	0	0	0	0	0	0	0	429	0
Lpxn	55.615385	0	0	324	0	0	0	0	0	0	0	0	0	399	0
Polr3b	55.230769	0	0	314	0	0	0	0	0	0	118	0	0	286	0
Ing3	55.076923	0	0	353	0	0	0	0	0	0	0	0	0	363	0
Xpa	54.923077	0	0	254	0	0	0	0	0	0	0	0	0	460	0
1110051M20Rik	54.461538	0	0	292	0	0	0	0	0	0	0	0	0	416	0
4930519F16Rik	54.230769	0	0	0	255	0	95	0	355	0	0	0	0	0	0
Gabpb1	54.153846	0	0	127	0	0	0	0	0	0	0	0	0	577	0
Ripor1	54.000000	0	0	311	0	0	0	0	0	0	0	0	0	391	0
Ppwd1	54.000000	0	0	0	0	0	0	0	0	0	189	0	0	513	0
Cenpk	54.000000	0	0	0	0	0	0	0	0	0	189	0	0	513	0
Lmna	53.769231	0	0	133	0	0	0	0	0	0	0	0	0	566	0
Dnase2a	53.769231	0	0	699	0	0	0	0	0	0	0	0	0	0	0
Etv5	53.615385	0	0	208	0	0	0	0	0	0	0	0	0	489	0
Phlpp1	53.230769	0	0	241	0	0	0	0	0	0	0	0	0	451	0
Lrp1	53.153846	0	0	282	0	0	0	0	0	0	0	0	0	409	0
Aqp4	53.153846	0	0	0	0	0	0	0	0	0	0	0	0	691	0
Stk11	52.615385	0	0	0	0	0	0	0	113	0	106	0	0	465	0
Ptpn3	52.230769	0	0	427	0	0	0	0	0	0	0	0	0	252	0
Olfm1	51.769231	0	0	354	0	0	0	0	0	0	0	0	0	319	0
Khsrp	51.692308	0	0	219	0	0	0	0	0	0	0	0	0	453	0
Scrn3	51.615385	0	0	211	0	0	0	0	0	0	0	0	0	460	0
Rbfox2	51.615385	0	0	210	0	0	0	0	0	0	0	0	0	461	0
Fbxl3	51.615385	0	0	305	0	0	0	0	0	0	0	0	0	366	0
Cir1	51.615385	0	0	211	0	0	0	0	0	0	0	0	0	460	0
Zc3h10	51.461538	0	0	444	0	0	0	0	0	0	0	0	0	225	0
Rpl41	51.461538	0	0	444	0	0	0	0	0	0	0	0	0	225	0
Rasgrp3	51.384615	0	0	443	0	0	0	0	0	0	0	0	0	225	0
Ccni	51.307692	0	0	199	0	0	0	0	0	0	0	0	0	468	0
2010109A12Rik	51.307692	0	0	199	0	0	0	0	0	0	0	0	0	468	0
Lrrc2	51.153846	0	0	515	0	0	0	0	0	0	0	0	0	150	0
Dhx40	51.076923	0	0	117	0	0	0	0	0	0	0	0	0	547	0
Pgpep1l	50.769231	0	0	554	0	0	0	0	0	0	0	0	0	106	0
Supt4a	50.538462	0	0	222	0	0	0	0	0	0	148	0	0	287	0
Spice1	50.384615	0	0	239	0	0	0	0	0	0	0	0	0	416	0
Banp	50.307692	0	0	654	0	0	0	0	0	0	0	0	0	0	0
Appl2	50.230769	0	0	185	0	0	0	0	0	0	0	0	0	468	0
Tmem204	49.923077	0	0	0	0	0	0	0	0	0	0	0	0	649	0
Dcaf11	49.923077	0	0	257	0	0	0	0	0	0	0	0	171	221	0
Hivep2	49.846154	0	0	290	0	0	0	0	0	0	0	0	0	358	0
F2	49.846154	0	0	648	0	0	0	0	0	0	0	0	0	0	0
Kdm3b	49.692308	0	0	189	0	0	0	0	0	0	0	0	0	457	0
Ndst1	49.615385	0	0	190	0	0	0	0	0	0	0	0	0	455	0
Gtf2ird2	49.615385	0	0	645	0	0	0	0	0	0	0	0	0	0	0
Eda2r	49.538462	0	0	315	0	0	0	0	0	0	0	0	0	329	0
Dennd2a	49.538462	0	0	0	0	0	0	0	0	0	0	0	0	644	0
Meig1	49.461538	0	0	189	0	0	0	0	0	0	0	0	0	454	0
Dclre1c	49.461538	0	0	189	0	0	0	0	0	0	0	0	0	454	0
St3gal3	49.384615	0	0	0	0	0	0	0	0	0	0	0	0	642	0
Klf15	49.384615	0	0	0	0	0	0	0	0	0	0	0	0	642	0
Nkap	49.307692	0	0	0	0	161	191	0	0	0	289	0	0	0	0
Abl1	49.307692	0	0	164	0	0	0	0	0	0	0	0	0	477	0
Parp4	49.230769	0	0	306	0	0	0	0	0	0	0	0	0	334	0
Cenpj	49.230769	0	0	306	0	0	0	0	0	0	0	0	0	334	0
Bcas3	49.230769	0	0	206	0	0	0	0	0	0	0	0	0	434	0
Clcn3	49.153846	0	0	206	0	0	0	0	0	0	0	0	0	433	0
Fbxo47	49.076923	0	0	638	0	0	0	0	0	0	0	0	0	0	0
Cerk	48.923077	0	0	248	0	0	0	0	0	0	0	0	0	388	0
Slc7a11	48.846154	0	0	0	0	0	0	0	0	0	0	0	0	635	0
Dusp4	48.769231	0	0	0	0	0	0	0	0	0	0	0	0	634	0
Cdsn	48.769231	0	0	335	0	0	0	0	0	0	0	0	0	299	0
H4f16	48.538462	0	0	203	0	0	0	0	0	0	0	0	0	428	0
H2aj	48.538462	0	0	203	0	0	0	0	0	0	0	0	0	428	0
Wasf2	48.461538	0	0	142	0	0	0	0	0	0	0	0	0	488	0
Cr1l	48.461538	0	0	152	0	0	0	0	0	0	0	0	0	478	0
Cacng1	48.461538	0	0	630	0	0	0	0	0	0	0	0	0	0	0
Zfp36l2	48.153846	0	0	0	0	0	0	0	0	0	0	0	0	626	0
Lin52	48.076923	0	0	240	0	0	0	0	0	0	0	0	0	385	0
Aldh6a1	48.076923	0	0	240	0	0	0	0	0	0	0	0	0	385	0
Trpc4ap	48.000000	0	0	231	0	0	0	0	0	0	0	0	0	393	0
Myoc	47.923077	0	0	0	0	0	0	0	0	0	0	0	0	623	0
Fancg	47.923077	0	0	316	0	0	0	0	0	0	0	0	0	307	0
Foxp1	47.692308	0	0	144	0	0	0	0	0	0	0	0	0	476	0
Arpin	47.615385	0	0	0	112	0	265	0	155	0	87	0	0	0	0
Gzf1	47.384615	0	0	449	0	0	0	0	0	0	0	0	0	167	0
Fos	47.384615	0	0	199	0	0	0	0	0	0	0	0	0	417	0
Ddx24	47.384615	0	0	303	0	0	0	0	0	0	0	0	0	313	0
Tlr4	47.307692	0	0	615	0	0	0	0	0	0	0	0	0	0	0
Rab11fip1	47.307692	0	0	615	0	0	0	0	0	0	0	0	0	0	0
Dcaf7	47.307692	0	0	615	0	0	0	0	0	0	0	0	0	0	0
Wipi1	47.230769	0	0	281	0	0	0	0	0	0	0	0	0	333	0
Ubl7	47.230769	0	0	0	0	0	0	0	0	0	0	0	0	614	0
Slc39a10	47.230769	0	0	214	0	0	0	0	0	0	0	0	0	400	0
Dram2	47.076923	0	0	409	0	0	0	0	0	0	0	0	0	203	0
Cept1	47.076923	0	0	409	0	0	0	0	0	0	0	0	0	203	0
Pnpo	46.846154	0	0	0	0	0	0	0	0	0	0	0	0	609	0
Dynlrb2	46.846154	0	0	0	0	0	0	0	0	0	0	0	0	609	0
Bbs2	46.846154	0	0	231	0	0	0	0	0	0	0	0	0	378	0
Tmem140	46.615385	0	0	491	0	0	0	0	0	0	0	0	0	115	0
Col5a2	46.307692	0	0	340	0	0	0	0	0	0	0	0	0	262	0
Lrrc51	46.230769	0	0	247	0	0	0	0	0	0	86	0	0	268	0
Cfap58	46.153846	0	0	0	0	0	221	0	135	0	244	0	0	0	0
Slc25a44	46.000000	0	0	226	0	0	0	0	0	0	0	0	0	372	0
Lingo1	45.923077	0	0	234	0	0	0	0	0	0	0	0	0	363	0
Mxd3	45.692308	0	0	167	0	0	0	0	0	0	0	0	0	427	0
Gm17455	45.615385	0	0	593	0	0	0	0	0	0	0	0	0	0	0
Ric8a	45.461538	0	0	277	0	0	0	0	0	0	0	0	0	314	0
Bet1l	45.461538	0	0	277	0	0	0	0	0	0	0	0	0	314	0
Shmt1	45.230769	0	0	0	0	0	0	0	0	0	0	0	0	588	0
Plpp7	45.153846	0	0	392	0	0	0	0	0	0	0	0	0	195	0
Ccser2	45.076923	0	0	127	0	0	267	0	0	0	192	0	0	0	0
Akirin2	45.076923	0	0	381	0	0	0	0	0	0	0	0	0	205	0
Tkfc	45.000000	0	0	215	0	0	0	0	0	0	0	0	0	370	0
Ddb1	45.000000	0	0	215	0	0	0	0	0	0	0	0	0	370	0
Rorc	44.846154	0	0	250	0	0	0	0	0	0	0	0	0	333	0
Ubald1	44.615385	0	0	0	0	0	0	0	0	0	114	0	0	466	0
Ubc	44.538462	0	0	136	0	0	0	0	131	0	98	0	0	214	0
Tpcn1	44.538462	0	0	196	0	0	0	0	0	0	0	0	0	383	0
Nat8	44.538462	0	0	0	0	0	0	0	0	0	0	0	0	579	0
Iqcd	44.538462	0	0	196	0	0	0	0	0	0	0	0	0	383	0
Ifrd2	44.461538	0	0	334	0	0	0	0	0	0	0	0	0	244	0
Arhgap39	44.461538	0	0	256	0	0	0	0	0	0	0	0	0	322	0
Ehbp1	44.384615	0	0	577	0	0	0	0	0	0	0	0	0	0	0
H2-T24	44.307692	0	0	0	0	0	0	0	0	0	0	0	0	576	0
Plaat5	44.230769	0	0	575	0	0	0	0	0	0	0	0	0	0	0
Lgals12	44.230769	0	0	575	0	0	0	0	0	0	0	0	0	0	0
Fgfbp1	44.076923	0	0	573	0	0	0	0	0	0	0	0	0	0	0
Art3	44.000000	0	0	424	0	0	0	0	0	0	0	0	0	148	0
Tspan32	43.923077	0	0	215	0	0	0	0	0	0	0	0	0	356	0
Abcc4	43.923077	0	0	571	0	0	0	0	0	0	0	0	0	0	0
Cfap20	43.846154	0	0	190	0	0	0	0	0	0	0	0	0	380	0
Ankrd40	43.846154	0	0	232	0	0	0	0	0	0	0	0	0	338	0
Jmy	43.615385	0	0	0	0	0	0	0	0	0	0	0	0	567	0
Tube1	43.384615	0	0	201	0	0	0	0	0	0	0	0	0	363	0
Fam229b	43.384615	0	0	201	0	0	0	0	0	0	0	0	0	363	0
Reep5	43.307692	0	0	563	0	0	0	0	0	0	0	0	0	0	0
Slc9a9	43.153846	0	0	252	0	0	0	0	0	0	0	0	0	309	0
Fdxr	43.076923	0	0	560	0	0	0	0	0	0	0	0	0	0	0
Tsc22d4	43.000000	0	0	143	0	0	0	0	0	0	0	0	0	416	0
Nyap1	43.000000	0	0	143	0	0	0	0	0	0	0	0	0	416	0
Eef2k	43.000000	0	0	331	0	0	0	0	0	0	0	0	0	228	0
Tmem107	42.846154	0	0	435	0	0	0	0	0	0	0	0	0	122	0
Stag2	42.846154	0	0	0	0	0	0	0	0	0	0	0	0	557	0
Tmem161a	42.769231	0	0	300	0	0	0	0	0	0	0	0	0	256	0
Mrps31	42.692308	0	0	289	0	0	0	0	0	0	0	0	0	266	0
Tmc5	42.615385	0	0	0	0	0	0	0	0	0	0	0	0	554	0
I830077J02Rik	42.615385	0	0	0	0	0	0	0	0	0	0	0	0	554	0
Mea1	42.538462	0	0	0	0	0	0	0	207	0	0	0	0	346	0
Klhdc3	42.538462	0	0	0	0	0	0	0	207	0	0	0	0	346	0
Smndc1	42.461538	0	0	308	0	0	0	0	0	0	0	0	0	244	0
Cartpt	42.461538	0	0	552	0	0	0	0	0	0	0	0	0	0	0
Smim17	42.384615	0	0	149	0	0	0	0	0	0	0	0	0	402	0
Prpf18	42.384615	0	0	209	0	0	0	0	0	0	0	0	0	342	0
Ptbp2	42.307692	0	0	296	0	0	0	0	0	0	0	0	0	254	0
Syn2	42.230769	0	0	0	0	0	0	0	0	0	0	0	0	549	0
Pip4p1	42.230769	0	0	242	0	0	0	0	0	0	0	0	0	307	0
Kmt2c	42.230769	0	0	0	0	0	0	0	0	0	0	0	0	549	0
Gstp2	42.000000	0	0	256	0	0	0	0	0	0	0	0	0	290	0
Rrm2	41.923077	0	0	545	0	0	0	0	0	0	0	0	0	0	0
Ezh1	41.846154	0	0	308	0	0	0	0	0	0	0	0	0	236	0
Adamtsl4	41.846154	0	0	544	0	0	0	0	0	0	0	0	0	0	0
Dgke	41.769231	0	0	543	0	0	0	0	0	0	0	0	0	0	0
Jmjd1c	41.692308	0	0	388	0	0	0	0	0	0	0	0	0	154	0
Zcchc17	41.615385	0	0	365	0	0	0	0	0	0	0	0	0	176	0
Rbm39	41.538462	0	0	146	0	0	0	0	0	0	0	0	112	282	0
Cdh20	41.538462	0	0	0	0	0	0	0	0	0	0	0	0	540	0
Ablim1	41.538462	0	0	391	0	0	0	0	0	0	0	0	0	149	0
Prune1	41.307692	0	0	335	0	0	0	0	0	0	0	0	0	202	0
Otud7b	41.307692	0	0	405	0	0	0	0	0	0	0	0	0	132	0
Mindy1	41.307692	0	0	335	0	0	0	0	0	0	0	0	0	202	0
Junb	41.307692	0	0	0	0	0	0	0	0	0	0	0	0	537	0
Zfp41	41.153846	0	0	0	0	0	0	0	0	0	0	0	0	535	0
Insr	41.076923	0	0	115	0	0	0	0	0	0	0	0	0	419	155
Stxbp5	41.076923	0	0	309	0	0	0	0	0	0	0	0	0	225	0
