Target_genes	Hoxa5|Average	SRX25508380|Spinal_Cord	STRING
Alkbh1	129.000000	129	0
Sv2c	128.000000	128	0
Rhob	128.000000	128	0
Ap3m1	128.000000	128	0
Adk	128.000000	128	0
Zfp60	127.000000	127	0
Sorcs1	127.000000	127	0
Rpl21	127.000000	127	0
Pcmtd1	127.000000	127	0
Nefl	127.000000	127	0
Mex3b	127.000000	127	0
Med17	127.000000	127	0
Mboat2	127.000000	127	0
Krtap5-4	127.000000	127	0
Hagh	127.000000	127	0
Gtf2b	127.000000	127	0
Gm3636	127.000000	127	0
Gar1	127.000000	127	0
Fahd1	127.000000	127	0
Chd9	127.000000	127	0
Cabp1	127.000000	127	0
Atp5e	127.000000	127	0
Armc8	127.000000	127	0
Rbm20	126.000000	126	0
Jund	126.000000	126	0
Iqcn	126.000000	126	0
Fchsd2	126.000000	126	0
Arnt	126.000000	126	0
Zbtb21	125.000000	125	0
Mrps18a	125.000000	125	0
L3hypdh	125.000000	125	0
Jkamp	125.000000	125	0
Gid4	125.000000	125	0
Clk4	125.000000	125	0
BC049762	125.000000	125	0
Arhgap19	125.000000	125	0
Prcp	124.000000	124	0
Kdm8	124.000000	124	0
Hexim2	124.000000	124	0
Gas2	124.000000	124	0
Fancf	124.000000	124	0
Ddias	124.000000	124	0
Cwc22	124.000000	124	0
Caprin1	124.000000	124	0
Atf4	124.000000	124	0
Chn1	123.000000	123	0
Lnpep	122.000000	122	0
Lemd3	122.000000	122	0
Actr8	122.000000	122	0
Washc2	121.000000	121	0
Tspyl4	121.000000	121	0
Rpl27	121.000000	121	0
Mrgpre	121.000000	121	0
Lmnb1	121.000000	121	0
Kmt2e	121.000000	121	0
Ddx17	121.000000	121	0
Ywhaz	120.000000	120	0
Stard6	120.000000	120	0
Snrnp35	120.000000	120	0
Rrp15	120.000000	120	0
Rilpl2	120.000000	120	0
Psmd12	120.000000	120	0
Cdh2	120.000000	120	0
4930503L19Rik	120.000000	120	0
Pop7	119.000000	119	0
Mapre2	119.000000	119	0
Hoxb8	119.000000	119	0
Hoxb7	119.000000	119	0
H2bc4	119.000000	119	0
H2ac6	119.000000	119	0
Dock9	119.000000	119	0
Cntrl	119.000000	119	0
Arhgap20	119.000000	119	0
Trit1	118.000000	118	0
Sh3gl2	118.000000	118	0
Sap130	118.000000	118	0
Gtpbp8	118.000000	118	0
Grin2b	118.000000	118	0
Edrf1	118.000000	118	0
Bcl2l1	118.000000	118	0
Uqcrh	117.000000	117	0
Spred1	117.000000	117	0
Pou3f2	117.000000	117	0
Pafah1b1	117.000000	117	0
Mex3a	117.000000	117	0
Lrrc41	117.000000	117	0
Kctd8	117.000000	117	0
Emb	117.000000	117	0
Cd47	117.000000	117	0
C2cd5	117.000000	117	0
Anapc10	117.000000	117	0
Abce1	117.000000	117	0
1700066M21Rik	117.000000	117	0
Tmem267	116.000000	116	0
Stpg2	116.000000	116	0
Srsf5	116.000000	116	0
Mex3d	116.000000	116	0
Krtap1-5	116.000000	116	0
Krtap1-4	116.000000	116	0
Id4	116.000000	116	0
Ddit4	116.000000	116	0
Cops3	116.000000	116	0
Btbd9	116.000000	116	0
Xrn2	115.000000	115	0
Ubqln2	115.000000	115	0
Slc20a1	115.000000	115	0
Pou2f1	115.000000	115	0
Ddx5	115.000000	115	0
Cep95	115.000000	115	0
Rbm14	114.000000	114	0
Inip	114.000000	114	0
Gm21992	114.000000	114	0
Adamtsl2	114.000000	114	0
Actl6a	114.000000	114	0
Cd24a	113.000000	113	401
Tra2b	113.000000	113	0
Skap2	113.000000	113	0
Selenot	113.000000	113	0
Rsrp1	113.000000	113	0
Nceh1	113.000000	113	0
Lrfn2	113.000000	113	0
Hspa8	113.000000	113	0
H3c4	113.000000	113	0
H2bc8	113.000000	113	0
H2bc7	113.000000	113	0
H2ac8	113.000000	113	0
H2ac7	113.000000	113	0
Atoh8	113.000000	113	0
Rpl9	112.000000	112	0
Pou3f3	112.000000	112	0
Mtch2	112.000000	112	0
Lias	112.000000	112	0
Znhit1	111.000000	111	0
Skp2	111.000000	111	0
Plod3	111.000000	111	0
Msi1	111.000000	111	0
Lmbrd2	111.000000	111	0
H2bc12	111.000000	111	0
H2ac12	111.000000	111	0
Gdap1l1	111.000000	111	0
Copb2	111.000000	111	0
Cep68	111.000000	111	0
Atxn10	111.000000	111	0
Tubb4b	110.000000	110	0
Kmt2d	110.000000	110	0
Gm9222	110.000000	110	0
Fam120a	110.000000	110	0
Efna5	110.000000	110	0
Drg1	110.000000	110	0
Cdc25a	110.000000	110	0
Adam19	110.000000	110	0
Gm51598	109.000000	109	0
Cdk5r1	109.000000	109	0
Ascl1	109.000000	109	0
Vgll4	108.000000	108	0
Tsc1	108.000000	108	0
Stat1	108.000000	108	0
Zfp672	107.000000	107	0
Vcp	107.000000	107	0
Ttc14	107.000000	107	0
Septin9	107.000000	107	0
Sema4c	107.000000	107	0
Rsph3a	107.000000	107	0
Rps27a	107.000000	107	0
Mturn	107.000000	107	0
Mrpl4	107.000000	107	0
Mef2a	107.000000	107	0
Mctp1	107.000000	107	0
Map3k7	107.000000	107	0
Ltv1	107.000000	107	0
Larp1	107.000000	107	0
Kdm4c	107.000000	107	0
Kdm3a	107.000000	107	0
Heatr6	107.000000	107	0
Clhc1	107.000000	107	0
Atrx	107.000000	107	0
Wdr45b	106.000000	106	0
Tubb2a	106.000000	106	0
Rps12	106.000000	106	0
Ppm1l	106.000000	106	0
Nup54	106.000000	106	0
Gabarapl1	106.000000	106	0
Vps16	105.000000	105	0
Trim37	105.000000	105	0
Thap1	105.000000	105	0
Ptp4a2	105.000000	105	0
Pced1a	105.000000	105	0
Nudcd3	105.000000	105	0
Mlh1	105.000000	105	0
Epm2aip1	105.000000	105	0
Endov	105.000000	105	0
Sp4	104.000000	104	0
Mapkbp1	104.000000	104	0
G3bp2	104.000000	104	0
Cdc23	104.000000	104	0
Arl4c	104.000000	104	0
Ap3m2	104.000000	104	0
Zc3h6	103.000000	103	0
Timm17a	103.000000	103	0
Slc35c1	103.000000	103	0
Skida1	103.000000	103	0
Rere	103.000000	103	0
Pgm2l1	103.000000	103	0
Nfxl1	103.000000	103	0
Lasp1	103.000000	103	0
Htr5b	103.000000	103	0
Dstn	103.000000	103	0
Cdk5r2	103.000000	103	0
Zic4	102.000000	102	0
Zic1	102.000000	102	0
Unc13b	102.000000	102	0
Phf10	102.000000	102	0
Mapkapk5	102.000000	102	0
Cotl1	102.000000	102	0
Atp6v0e	102.000000	102	0
Aldh3a2	102.000000	102	0
Vezt	101.000000	101	0
Tpm3	101.000000	101	0
Stox2	101.000000	101	0
Slc5a6	101.000000	101	0
Npm1	101.000000	101	0
Nfatc2	101.000000	101	0
Ilf3	101.000000	101	0
Fgd6	101.000000	101	0
Cblb	101.000000	101	0
Atraid	101.000000	101	0
Ubtd1	100.000000	100	0
Tmtc4	100.000000	100	0
St3gal6	100.000000	100	0
Rab30	100.000000	100	0
Nek4	100.000000	100	0
Mms19	100.000000	100	0
Fktn	100.000000	100	0
Cdk11b	100.000000	100	0
4931408C20Rik	100.000000	100	0
Zfp787	99.000000	99	0
Vdac1	99.000000	99	0
Uba52	99.000000	99	0
Tes	99.000000	99	0
Setd5	99.000000	99	0
Rnf4	99.000000	99	0
Rex1bd	99.000000	99	0
Nkain3	99.000000	99	0
Dctn4	99.000000	99	0
Zfp608	98.000000	98	0
Unkl	98.000000	98	0
Ube3c	98.000000	98	0
Telo2	98.000000	98	0
Rpl22l1	98.000000	98	0
Ptx4	98.000000	98	0
Percc1	98.000000	98	0
Mib1	98.000000	98	0
Lrrc57	98.000000	98	0
Kif23	98.000000	98	0
Kcnj9	98.000000	98	0
Ipo7	98.000000	98	0
Haus2	98.000000	98	0
H3c15	98.000000	98	0
H3c14	98.000000	98	0
H2ac19	98.000000	98	0
H2ac18	98.000000	98	0
Gmps	98.000000	98	0
Glul	98.000000	98	0
Fbxo3	98.000000	98	0
Bmpr2	98.000000	98	0
BC003965	98.000000	98	0
Atp6v1h	98.000000	98	0
Ankrd37	98.000000	98	0
Ankrd17	98.000000	98	0
Alkbh3	98.000000	98	0
4931422A03Rik	98.000000	98	0
Smarcb1	97.000000	97	0
Rps7	97.000000	97	0
Nphp1	97.000000	97	0
Mtln	97.000000	97	0
Ep300	97.000000	97	0
Zzz3	96.000000	96	0
Tsc22d2	96.000000	96	0
Tmeff2	96.000000	96	0
Sorbs2	96.000000	96	0
Nup214	96.000000	96	0
Mapk1	96.000000	96	0
Lratd2	96.000000	96	0
Dguok	96.000000	96	0
Adss	96.000000	96	0
Zkscan1	95.000000	95	0
Sinhcaf	95.000000	95	0
Rbm15	95.000000	95	0
Pgm2	95.000000	95	0
Ndufc2	95.000000	95	0
Kdm5a	95.000000	95	0
Hnrnpa0	95.000000	95	0
Hmx2	95.000000	95	0
Etv6	95.000000	95	0
Ctr9	95.000000	95	0
Bub3	95.000000	95	0
Rps23	94.000000	94	0
Psat1	94.000000	94	0
Map6	94.000000	94	0
Mab21l2	94.000000	94	0
Herpud1	94.000000	94	0
Gspt1	94.000000	94	0
Gm45618	94.000000	94	0
Dgke	94.000000	94	0
Tmem69	93.000000	93	0
Taf3	93.000000	93	0
Rbm48	93.000000	93	0
Prkce	93.000000	93	0
Pex1	93.000000	93	0
Hmgcr	93.000000	93	0
Gpbp1l1	93.000000	93	0
Calu	93.000000	93	0
Tmem65	92.000000	92	0
Skp1	92.000000	92	0
Serbp1	92.000000	92	0
Mrpl17	92.000000	92	0
Mfhas1	92.000000	92	0
Eef1akmt2	92.000000	92	0
Akap11	92.000000	92	0
Rps8	91.000000	91	0
Ncapd2	91.000000	91	0
Mrpl51	91.000000	91	0
Kmt2c	91.000000	91	0
Hnrnpa2b1	91.000000	91	0
Eif1ad	91.000000	91	0
Dlat	91.000000	91	0
Crim1	91.000000	91	0
Cbx3	91.000000	91	0
Banf1	91.000000	91	0
Arhgap39	91.000000	91	0
Ran	90.000000	90	0
Prr3	90.000000	90	0
Pmm1	90.000000	90	0
Kcnma1	90.000000	90	0
Impact	90.000000	90	0
H4c4	90.000000	90	0
H2bc6	90.000000	90	0
Gnl1	90.000000	90	0
Gmcl1	90.000000	90	0
Exoc1	90.000000	90	0
Dync1i2	90.000000	90	0
Ythdc1	89.000000	89	0
Wnt8a	89.000000	89	0
Tyw5	89.000000	89	0
Thoc1	89.000000	89	0
Thnsl1	89.000000	89	0
Tcf12	89.000000	89	0
Ppm1a	89.000000	89	0
Plpp7	89.000000	89	0
Orc4	89.000000	89	0
Mtf1	89.000000	89	0
Mettl25	89.000000	89	0
Med11	89.000000	89	0
Mbd5	89.000000	89	0
Mak16	89.000000	89	0
Maip1	89.000000	89	0
Insig1	89.000000	89	0
Hoxb3	89.000000	89	0
Hadhb	89.000000	89	0
Hadha	89.000000	89	0
Fbxo11	89.000000	89	0
Enkur	89.000000	89	0
Dram2	89.000000	89	0
Dnajc30	89.000000	89	0
Cept1	89.000000	89	0
Ccnt2	89.000000	89	0
Ccdc59	89.000000	89	0
Bud23	89.000000	89	0
Bbs2	89.000000	89	0
Abhd17c	89.000000	89	0
Vps26c	88.000000	88	0
Rpl36al	88.000000	88	0
Rcbtb2	88.000000	88	0
Nat10	88.000000	88	0
Mgat2	88.000000	88	0
Dus4l	88.000000	88	0
Dffb	88.000000	88	0
Cog5	88.000000	88	0
Cep104	88.000000	88	0
Atxn2l	88.000000	88	0
Actb	88.000000	88	0
Tgfbrap1	87.000000	87	0
Slc35f1	87.000000	87	0
Gm3739	87.000000	87	0
Esyt2	87.000000	87	0
AI597479	87.000000	87	0
Tmem178b	86.000000	86	0
Prmt6	86.000000	86	0
Pinx1	86.000000	86	0
Clcn3	86.000000	86	0
Chordc1	86.000000	86	0
B3gnt5	86.000000	86	0
Ube2d1	85.000000	85	0
Tpgs1	85.000000	85	0
Nr2f2	85.000000	85	0
Madcam1	85.000000	85	0
Krtap5-5	85.000000	85	0
Fmc1	85.000000	85	0
Cks2	85.000000	85	0
Fdxacb1	84.000000	84	0
Dus2	84.000000	84	0
Ddx28	84.000000	84	0
Creld2	84.000000	84	0
Birc6	84.000000	84	0
Atf7ip	84.000000	84	0
Alg12	84.000000	84	0
1110032A03Rik	84.000000	84	0
Umad1	83.000000	83	0
Stard7	83.000000	83	0
Spata5	83.000000	83	0
Sh3bp2	83.000000	83	0
Rprm	83.000000	83	0
Rpa3	83.000000	83	0
Nudt6	83.000000	83	0
Ndufc1	83.000000	83	0
Foxp1	83.000000	83	0
Bclaf1	83.000000	83	0
Ap1m1	83.000000	83	0
Tmem237	82.000000	82	0
Slc39a6	82.000000	82	0
Slc22a21	82.000000	82	0
Setd1b	82.000000	82	0
Pitpnm1	82.000000	82	0
Gm36176	82.000000	82	0
Fbll1	82.000000	82	0
Elp2	82.000000	82	0
Csde1	82.000000	82	0
Cdk2ap2	82.000000	82	0
Zfp503	81.000000	81	0
Zfhx2	81.000000	81	0
Thtpa	81.000000	81	0
Rpf2	81.000000	81	0
Zgrf1	80.000000	80	0
Wdr36	80.000000	80	0
Stx18	80.000000	80	0
Stmn3	80.000000	80	0
Srsf2	80.000000	80	0
Sall1	80.000000	80	0
Mfsd11	80.000000	80	0
Larp7	80.000000	80	0
Igf1r	80.000000	80	0
Hspa4l	80.000000	80	0
Elovl4	80.000000	80	0
Dennd5b	80.000000	80	0
Crkl	80.000000	80	0
Apmap	80.000000	80	0
Spred2	79.000000	79	0
Rpl7a	79.000000	79	0
Pip4k2a	79.000000	79	0
Nell2	79.000000	79	0
Med22	79.000000	79	0
Lactb2	79.000000	79	0
Klf10	79.000000	79	0
Gm3696	79.000000	79	0
Dhx9	79.000000	79	0
Schip1	78.000000	78	0
Pdpk1	78.000000	78	0
Nrcam	78.000000	78	0
Mphosph8	78.000000	78	0
Gm39115	78.000000	78	0
Eif1	78.000000	78	0
Ckb	78.000000	78	0
Arl6ip1	78.000000	78	0
Tpp2	77.000000	77	0
Stxbp5	77.000000	77	0
Slitrk5	77.000000	77	0
Fam234b	77.000000	77	0
Caml	77.000000	77	0
Pik3c3	76.000000	76	0
Mrpl40	76.000000	76	0
Marcks	76.000000	76	0
Hira	76.000000	76	0
Gpr107	76.000000	76	0
Cdc42ep3	76.000000	76	0
Rab40c	75.000000	75	0
Prom1	75.000000	75	0
Pde12	75.000000	75	0
Gpc6	75.000000	75	0
Cry1	75.000000	75	0
Ybx1	74.000000	74	0
Saysd1	74.000000	74	0
Lancl2	74.000000	74	0
Hoxb5	74.000000	74	0
Dars	74.000000	74	0
Dach1	74.000000	74	0
Crls1	74.000000	74	0
Arhgap21	74.000000	74	0
Ahcyl1	74.000000	74	0
Thap11	73.000000	73	0
Rpl8	73.000000	73	0
Rpl26	73.000000	73	0
Nutf2	73.000000	73	0
Commd5	73.000000	73	0
Cenpt	73.000000	73	0
Tyw3	72.000000	72	0
Srcap	72.000000	72	0
Rangap1	72.000000	72	0
Pcna	72.000000	72	0
Fem1c	72.000000	72	0
Cryz	72.000000	72	0
Cited2	72.000000	72	0
Wdr47	71.000000	71	0
Rbks	71.000000	71	0
Ppp2r3a	71.000000	71	0
Pnisr	71.000000	71	0
Babam2	71.000000	71	0
Zzef1	70.000000	70	0
Ppid	70.000000	70	0
Pcdh9	70.000000	70	0
Frmd4b	70.000000	70	0
Cyb5d2	70.000000	70	0
Rnf165	69.000000	69	0
Ppp1r10	69.000000	69	0
Ncam1	69.000000	69	0
Mrps18b	69.000000	69	0
Slc43a2	68.000000	68	0
Mex3c	68.000000	68	0
Dclk2	68.000000	68	0
Cox7a2l	68.000000	68	0
Arpc2	68.000000	68	0
Bcas2	67.000000	67	0
Ndufb1	66.000000	66	0
Fam110a	66.000000	66	0
Dnajb1	66.000000	66	0
Cpt1b	66.000000	66	0
Cpsf2	66.000000	66	0
Chkb	66.000000	66	0
Tmco3	65.000000	65	0
Supt20	65.000000	65	0
Etv3	65.000000	65	0
Dcun1d2	65.000000	65	0
Asxl2	65.000000	65	0
Nsd3	64.000000	64	0
Letm2	64.000000	64	0
Dcun1d4	64.000000	64	0
Vav2	63.000000	63	0
Gadd45g	63.000000	63	0
Cipc	62.000000	62	0
Rsbn1	61.000000	61	0
Acly	61.000000	61	0
Zfp788	60.000000	60	0
Epb41l4a	60.000000	60	0
Clpx	59.000000	59	0
Slc3a2	58.000000	58	0
Qsox1	58.000000	58	0
Trp53	0.000000	0	442
