Target_genes	Mafa|Average	SRX081539|Islets_of_Langerhans	STRING
Hjv	406.000000	406	0
Gm20806	406.000000	406	0
Calm2	406.000000	406	0
4930453N24Rik	406.000000	406	0
Rnf180	405.000000	405	0
Ikbkb	403.000000	403	0
Cd44	403.000000	403	0
Arhgap21	402.000000	402	0
Mycl	399.000000	399	0
Bgn	399.000000	399	0
Tango2	398.000000	398	0
Dgki	398.000000	398	0
Arvcf	398.000000	398	0
Actb	398.000000	398	0
Zfp692	397.000000	397	0
Sp7	397.000000	397	0
Slfn10-ps	397.000000	397	0
Vps8	396.000000	396	0
Acer1	396.000000	396	0
Slc10a5	395.000000	395	0
Rnf13	395.000000	395	0
Mllt11	395.000000	395	0
Dnajc8	395.000000	395	0
Cdc42se1	395.000000	395	0
Atpif1	395.000000	395	0
Plekhm3	393.000000	393	0
Kif15	393.000000	393	0
Commd8	393.000000	393	0
A930007A09Rik	393.000000	393	0
1110059G10Rik	393.000000	393	0
Thap11	390.000000	390	0
Edrf1	390.000000	390	0
Cts6	390.000000	390	0
Cenpt	390.000000	390	0
Ccn4	390.000000	390	0
Gskip	386.000000	386	0
Atg2b	386.000000	386	0
Kdm4c	385.000000	385	0
Prss47	384.000000	384	0
Olfr145	384.000000	384	0
Wbp4	383.000000	383	0
Elf1	383.000000	383	0
H4f16	381.000000	381	0
H2aj	381.000000	381	0
Park7	380.000000	380	0
Syce3	378.000000	378	0
Chn2	378.000000	378	0
Ptpn6	377.000000	377	0
Rtn3	375.000000	375	0
Mrpl42	375.000000	375	0
Gpr141	375.000000	375	0
Ier5	373.000000	373	0
Stk3	372.000000	372	0
Krt28	372.000000	372	0
Coa7	372.000000	372	0
Nemf	370.000000	370	0
Fah	370.000000	370	0
Zfp598	369.000000	369	0
Atxn7l3b	368.000000	368	0
Sephs1	367.000000	367	0
Rmi2	367.000000	367	0
Gm6619	366.000000	366	0
Gm21943	363.000000	363	0
Gm21330	363.000000	363	0
Trim40	362.000000	362	0
Olfr1338	362.000000	362	0
Plag1	361.000000	361	0
H4c2	361.000000	361	0
H4c1	361.000000	361	0
H3c1	361.000000	361	0
H1f1	361.000000	361	0
Tbx4	359.000000	359	0
Nfyc	359.000000	359	0
Zfp267	357.000000	357	0
Omp	357.000000	357	0
Chst5	356.000000	356	0
Cxcl5	355.000000	355	0
Itih5	354.000000	354	0
Aurkb	354.000000	354	0
Trim7	353.000000	353	0
Olfr508	351.000000	351	0
H2bfm	351.000000	351	0
Cplx4	351.000000	351	0
Tyw1	350.000000	350	0
Sbds	350.000000	350	0
Ascl4	350.000000	350	0
Klf4	349.000000	349	0
Cpt2	349.000000	349	0
Trp53bp2	346.000000	346	0
Rrad	344.000000	344	0
Hikeshi	344.000000	344	0
Cdh16	344.000000	344	0
Vmn2r102	342.000000	342	0
Naa11	342.000000	342	0
Ism2	341.000000	341	0
Ccn3	337.000000	337	0
Rsph14	336.000000	336	0
Rab36	336.000000	336	0
G0s2	333.000000	333	0
1700016H13Rik	333.000000	333	0
Prss33	332.000000	332	0
H60c	332.000000	332	0
Elob	332.000000	332	0
Vcam1	331.000000	331	0
Hs3st6	331.000000	331	0
Fam89a	331.000000	331	0
Ppp6r2	330.000000	330	0
Gnl2	329.000000	329	0
Spef1l	328.000000	328	0
Bmyc	328.000000	328	0
Vmn2r101	326.000000	326	0
Thap2	326.000000	326	0
Npm3	326.000000	326	0
Nme1	326.000000	326	0
Map2k6	326.000000	326	0
Capn8	326.000000	326	0
Vgll2	325.000000	325	0
Smim40	324.000000	324	0
Olfr292	324.000000	324	0
Nup50	324.000000	324	0
Daxx	324.000000	324	0
Adck5	324.000000	324	0
Olfr653	323.000000	323	0
Rbl2	321.000000	321	0
Dtx3	321.000000	321	0
Arhgef25	321.000000	321	0
Gper1	320.000000	320	0
Rab35	319.000000	319	0
Kcna6	319.000000	319	0
Tpcn2	318.000000	318	0
P2ry4	318.000000	318	0
Lgi1	318.000000	318	0
Dock10	318.000000	318	0
Zfp61	315.000000	315	0
Rps9	315.000000	315	0
Gdap1l1	315.000000	315	0
Fam53b	315.000000	315	0
Cacnb2	315.000000	315	0
Smtnl2	311.000000	311	0
Hsd17b10	311.000000	311	0
Nfia	310.000000	310	0
Sumo1	309.000000	309	0
Nemp1	307.000000	307	0
BC107364	307.000000	307	0
Greb1	305.000000	305	0
Fbxo30	304.000000	304	0
Tnfsf9	303.000000	303	0
Elf2	303.000000	303	0
Ckap2	303.000000	303	0
Top2b	302.000000	302	0
Pgd	302.000000	302	0
Itgb6	302.000000	302	0
Cyth4	302.000000	302	0
Saxo2	301.000000	301	0
Efl1	301.000000	301	0
Adcy7	300.000000	300	0
Sult2a7	299.000000	299	0
Prkcb	297.000000	297	0
Slc25a24	296.000000	296	0
S1pr3	296.000000	296	0
Gkap1	295.000000	295	0
Fgl2	295.000000	295	0
Ehd4	295.000000	295	0
Chn1	295.000000	295	0
9030624G23Rik	295.000000	295	0
Vwa1	293.000000	293	0
Mael	293.000000	293	0
Lix1	293.000000	293	0
Herc4	293.000000	293	0
Cela1	293.000000	293	0
Ablim1	293.000000	293	0
Snd1	290.000000	290	0
Itgb3bp	290.000000	290	0
Hunk	290.000000	290	0
G3bp2	290.000000	290	0
Efcab7	290.000000	290	0
Ccdc58	290.000000	290	0
Shisal1	288.000000	288	0
Lrrc10	288.000000	288	0
Cand1	288.000000	288	0
Anxa7	288.000000	288	0
AI987944	288.000000	288	0
Defb42	287.000000	287	0
Crybg3	285.000000	285	0
AU018091	284.000000	284	0
Otud6a	282.000000	282	0
H3c15	282.000000	282	0
H3c14	282.000000	282	0
H2ac19	282.000000	282	0
H2ac18	282.000000	282	0
Gm12250	282.000000	282	0
Calu	282.000000	282	0
Btn1a1	282.000000	282	0
Naa50	281.000000	281	0
Esr1	281.000000	281	0
Spdye4a	280.000000	280	0
Olfr724	280.000000	280	0
H2-Q4	280.000000	280	0
Gja4	280.000000	280	0
Tdpoz3	279.000000	279	0
Psapl1	278.000000	278	0
Jade3	278.000000	278	0
Fgf22	278.000000	278	0
Ntmt1	277.000000	277	0
Mfn1	277.000000	277	0
Gc	277.000000	277	0
Epb41	277.000000	277	0
Ankar	277.000000	277	0
Olfr523	275.000000	275	0
Efcab9	275.000000	275	0
Dmrtb1	275.000000	275	0
Hsph1	274.000000	274	0
Sirpb1c	273.000000	273	0
Olfr243	273.000000	273	0
Elovl5	273.000000	273	0
Hrk	272.000000	272	0
Wdr20	271.000000	271	0
Igf2bp3	271.000000	271	0
Srsf4	269.000000	269	0
Rasip1	269.000000	269	0
Pnp	269.000000	269	0
Izumo1	269.000000	269	0
Dclre1c	269.000000	269	0
Lage3	268.000000	268	0
Imp4	268.000000	268	0
Gpatch1	268.000000	268	0
Ergic1	268.000000	268	0
Ccdc115	268.000000	268	0
Zfp148	267.000000	267	0
Tmprss12	267.000000	267	0
Hip1	267.000000	267	0
Tmem265	265.000000	265	0
2210016L21Rik	265.000000	265	0
Zfp607a	264.000000	264	0
Tob1	264.000000	264	0
Olfr248	264.000000	264	0
Mideas	264.000000	264	0
Map7	264.000000	264	0
Cyp2t4	264.000000	264	0
Adam5	264.000000	264	0
Taf12	262.000000	262	0
Sorbs1	260.000000	260	0
Rgs18	259.000000	259	0
Kap	259.000000	259	0
Traf3ip2	257.000000	257	0
Tmbim6	257.000000	257	0
Pnp2	257.000000	257	0
Pcbp1	257.000000	257	0
Lrp1	257.000000	257	0
Asb2	257.000000	257	0
Trp73	255.000000	255	0
Prr13	255.000000	255	0
P4ha3	255.000000	255	0
Exosc2	255.000000	255	0
Cthrc1	255.000000	255	0
Plcg2	254.000000	254	0
Gsx2	254.000000	254	0
Shisal2b	253.000000	253	0
Pik3r4	253.000000	253	0
Palld	253.000000	253	0
Copz1	253.000000	253	0
Psip1	252.000000	252	0
Aloxe3	252.000000	252	0
Zeb2	251.000000	251	0
Ttll13	251.000000	251	0
Septin9	251.000000	251	0
Ranbp3l	251.000000	251	0
Nrg2	251.000000	251	0
Kcnj6	251.000000	251	0
Olfr449	250.000000	250	0
Mbd2	250.000000	250	0
Zscan25	249.000000	249	0
Wwc2	249.000000	249	0
Wdr27	249.000000	249	0
Thbs3	249.000000	249	0
Slitrk5	249.000000	249	0
Mtx1	249.000000	249	0
Hsd11b1	249.000000	249	0
Hmx2	249.000000	249	0
Alox5ap	249.000000	249	0
Aifm1	249.000000	249	0
1600012H06Rik	249.000000	249	0
Vta1	248.000000	248	0
Terf2	247.000000	247	0
Sirt4	247.000000	247	0
Olfr1015	247.000000	247	0
Macroh2a2	247.000000	247	0
Rnaseh2b	246.000000	246	0
Ibsp	246.000000	246	0
Tmprss11e	244.000000	244	0
Pirb	244.000000	244	0
Npy5r	244.000000	244	0
Itgam	244.000000	244	0
Zfp213	243.000000	243	0
Efna5	243.000000	243	0
Azin1	243.000000	243	0
Zfp275	242.000000	242	0
Mcc	242.000000	242	0
C77080	242.000000	242	0
Cracdl	241.000000	241	0
Zmynd8	240.000000	240	0
Zfp7	240.000000	240	0
Trrap	240.000000	240	0
Frmd4a	240.000000	240	0
Pecam1	239.000000	239	0
Gpbp1	238.000000	238	0
Vmn1r213	237.000000	237	0
Tle4	237.000000	237	0
Sly	237.000000	237	0
Pygl	237.000000	237	0
Ptp4a3	237.000000	237	0
Pde7a	237.000000	237	0
Ndufaf7	237.000000	237	0
Mt4	237.000000	237	0
Il4	237.000000	237	0
Gmfg	237.000000	237	0
Gm20931	237.000000	237	0
Fam167a	237.000000	237	0
Cebpz	237.000000	237	0
Catip	237.000000	237	0
Anapc15	237.000000	237	0
Runx3	236.000000	236	0
Plppr2	236.000000	236	0
Kansl1	236.000000	236	0
Atp6v0d2	236.000000	236	0
Tln2	233.000000	233	0
Mfsd2a	233.000000	233	0
Ints8	233.000000	233	0
Ift46	233.000000	233	0
Gcm2	233.000000	233	0
Esp18	233.000000	233	0
Lpcat1	232.000000	232	0
Ddx3x	232.000000	232	0
Gckr	231.000000	231	0
Washc5	230.000000	230	0
Ubn1	230.000000	230	0
Nsmce2	230.000000	230	0
Lima1	230.000000	230	0
H3c13	230.000000	230	0
H2bc18	230.000000	230	0
Glyr1	230.000000	230	0
Ubash3a	229.000000	229	0
Tmc5	229.000000	229	0
Them7	229.000000	229	0
Rad18	229.000000	229	0
Ppp1ccb	229.000000	229	0
Ppp1cc	229.000000	229	0
Calcb	229.000000	229	0
Tmem252	228.000000	228	0
Rftn2	228.000000	228	0
Olfr642	228.000000	228	0
Nyx	228.000000	228	0
Ncam1	228.000000	228	0
Sema4a	227.000000	227	0
Gm10471	227.000000	227	0
Zc3h3	226.000000	226	0
Vgll4	226.000000	226	0
Olfr117	226.000000	226	0
Il1b	226.000000	226	0
Gtf3c3	226.000000	226	0
Bicdl2	226.000000	226	0
Zbtb12	224.000000	224	0
Usp37	224.000000	224	0
Tial1	224.000000	224	0
Plcd4	224.000000	224	0
Hoxa4	224.000000	224	0
Arg1	224.000000	224	0
Alx4	224.000000	224	0
Acvr1b	224.000000	224	0
Abcb1b	224.000000	224	0
Rbms2	223.000000	223	0
Proca1	223.000000	223	0
Gnaq	223.000000	223	0
Zfp260	222.000000	222	0
Tagln2	222.000000	222	0
Rab3ip	222.000000	222	0
Pik3c2g	222.000000	222	0
Jag1	222.000000	222	0
Dsc3	222.000000	222	0
Cltc	221.000000	221	0
Cct2	221.000000	221	0
Zap70	220.000000	220	0
Slfn4	220.000000	220	0
Rrn3	220.000000	220	0
Ciz1	220.000000	220	0
Carm1	220.000000	220	0
Adcy9	220.000000	220	0
Rinl	218.000000	218	0
Rimbp3	218.000000	218	0
Afp	218.000000	218	0
Borcs6	217.000000	217	0
Zfp667	216.000000	216	0
Whrn	216.000000	216	0
Tsc22d2	216.000000	216	0
Tlr3	216.000000	216	0
Tex13b	216.000000	216	0
Tet1	216.000000	216	0
Slc39a4	216.000000	216	0
Rin2	216.000000	216	0
Olfr1200	216.000000	216	0
Nrg1	216.000000	216	0
Notch4	216.000000	216	0
Mgmt	216.000000	216	0
Megf6	216.000000	216	0
Ly86	216.000000	216	0
Iffo2	216.000000	216	0
Gm21394	216.000000	216	0
Gm20854	216.000000	216	0
Capn3	216.000000	216	0
Blnk	216.000000	216	0
Adamts3	216.000000	216	0
Kdm3a	215.000000	215	0
Mmp25	214.000000	214	0
Coa3	214.000000	214	0
Cntd1	214.000000	214	0
Adrm1	214.000000	214	0
Adora2b	214.000000	214	0
Zfp516	213.000000	213	0
Npbwr1	213.000000	213	0
Hsd3b7	213.000000	213	0
Hsd17b11	213.000000	213	0
Gm648	213.000000	213	0
Gm15881	213.000000	213	0
Tpte	212.000000	212	0
Nfxl1	212.000000	212	0
Map4k4	212.000000	212	0
Gm7972	212.000000	212	0
Zfp977	211.000000	211	0
Vmn1r212	211.000000	211	0
Ttc33	211.000000	211	0
Slc16a5	211.000000	211	0
Ncor1	211.000000	211	0
Fxn	211.000000	211	0
Edil3	211.000000	211	0
Dlgap1	211.000000	211	0
Asb12	211.000000	211	0
5031410I06Rik	210.000000	210	0
Olfr726	209.000000	209	0
Nek9	209.000000	209	0
Ldhc	209.000000	209	0
Hhex	209.000000	209	0
Gbp10	207.000000	207	0
9430015G10Rik	207.000000	207	0
Tmem9	205.000000	205	0
Kbtbd3	205.000000	205	0
Gal3st2c	205.000000	205	0
Ccna2	205.000000	205	0
Aasdhppt	205.000000	205	0
1700020L24Rik	205.000000	205	0
Tubb4b	204.000000	204	0
Otub2	204.000000	204	0
Tyk2	203.000000	203	0
Slc2a9	203.000000	203	0
Scgb2b3	203.000000	203	0
Rtkn	203.000000	203	0
Rgr	203.000000	203	0
Zbtb18	202.000000	202	0
Tfap2a	201.000000	201	0
Puf60	201.000000	201	0
Carns1	201.000000	201	0
Nr1h5	199.000000	199	0
Cttnbp2nl	199.000000	199	0
Olfr1254	197.000000	197	0
Ct55	197.000000	197	0
Trim32	196.000000	196	0
Tle6	196.000000	196	0
Tbc1d2b	196.000000	196	0
Spg20	196.000000	196	0
Ppp2cb	196.000000	196	0
Plxnd1	196.000000	196	0
Pip5kl1	196.000000	196	0
Pcyox1	196.000000	196	0
Npas1	196.000000	196	0
Mup9	196.000000	196	0
Krt25	196.000000	196	0
Ikbke	196.000000	196	0
Gtpbp8	196.000000	196	0
Gpx8	196.000000	196	0
Gm21302	196.000000	196	0
Gm20852	196.000000	196	0
Flrt2	196.000000	196	0
Cacng4	196.000000	196	0
2300002M23Rik	196.000000	196	0
Zfp608	195.000000	195	0
Trim30a	195.000000	195	0
Tpm2	195.000000	195	0
Rnf122	195.000000	195	0
Misp3	195.000000	195	0
Lmo3	195.000000	195	0
Fut8	195.000000	195	0
Ccdc60	195.000000	195	0
Ahi1	195.000000	195	0
Abr	195.000000	195	0
2310039H08Rik	195.000000	195	0
Ssh1	194.000000	194	0
Gm38510	194.000000	194	0
Samd4	193.000000	193	0
Nr5a2	193.000000	193	0
Ndufaf1	193.000000	193	0
Mybbp1a	193.000000	193	0
Kng1	193.000000	193	0
H3f3c	193.000000	193	0
Ggt6	193.000000	193	0
Rpl38	192.000000	192	0
Mctp1	192.000000	192	0
Hcar1	192.000000	192	0
Eed	192.000000	192	0
Syncrip	191.000000	191	0
Mapk10	191.000000	191	0
Elf5	191.000000	191	0
Fam24b	190.000000	190	0
Bptf	190.000000	190	0
Wdr43	189.000000	189	0
Thbs4	189.000000	189	0
Pml	189.000000	189	0
Haspin	189.000000	189	0
H4c17	189.000000	189	0
H4bc24	189.000000	189	0
H2bc23	189.000000	189	0
H2ac24	189.000000	189	0
H2ac23	189.000000	189	0
Cspg5	189.000000	189	0
Cpm	189.000000	189	0
Tnn	187.000000	187	0
Rapgefl1	187.000000	187	0
Pla2g3	187.000000	187	0
Mrps33	187.000000	187	0
Mei1	187.000000	187	0
Hbb-bt	187.000000	187	0
Hbb-b2	187.000000	187	0
Def8	187.000000	187	0
Brinp1	187.000000	187	0
Ube2a	185.000000	185	0
Smchd1	185.000000	185	0
Slc5a8	185.000000	185	0
Oxld1	185.000000	185	0
Msto1	185.000000	185	0
Gm45337	185.000000	185	0
Ccdc137	185.000000	185	0
Zic4	184.000000	184	0
Zic1	184.000000	184	0
Esrp1	184.000000	184	0
Sbk2	183.000000	183	0
Ostf1	183.000000	183	0
Nmrk1	183.000000	183	0
Ilrun	183.000000	183	0
Etl4	183.000000	183	0
Cald1	183.000000	183	0
Tafa5	182.000000	182	0
Slc35b3	182.000000	182	0
Chkb	182.000000	182	0
Zfp352	180.000000	180	0
Wwp1	180.000000	180	0
Ubn2	180.000000	180	0
Cgn	179.000000	179	0
Ppfia2	178.000000	178	0
Lmnb1	178.000000	178	0
Lgi4	178.000000	178	0
Krit1	178.000000	178	0
Fxyd7	178.000000	178	0
Fxyd1	178.000000	178	0
Dcaf5	178.000000	178	0
Auts2	178.000000	178	0
Ankib1	178.000000	178	0
Spin1	177.000000	177	0
Rangap1	177.000000	177	0
Ldb1	177.000000	177	0
Gm7592	177.000000	177	0
Dytn	177.000000	177	0
C1qtnf2	177.000000	177	0
Aven	177.000000	177	0
Adck1	177.000000	177	0
Zfp820	176.000000	176	0
Zfp101	176.000000	176	0
Utp23	176.000000	176	0
Tlcd1	176.000000	176	0
Tex9	176.000000	176	0
Tapbpl	176.000000	176	0
Sprr1a	176.000000	176	0
Slc6a5	176.000000	176	0
Slc25a12	176.000000	176	0
Sema4d	176.000000	176	0
Rnps1	176.000000	176	0
Rnf146	176.000000	176	0
Ripk4	176.000000	176	0
Rimklb	176.000000	176	0
Rab25	176.000000	176	0
Ptpn13	176.000000	176	0
Prph2	176.000000	176	0
Pdzd9	176.000000	176	0
Nt5dc2	176.000000	176	0
Nek8	176.000000	176	0
Myrfl	176.000000	176	0
Ivl	176.000000	176	0
Igf2	176.000000	176	0
Ifne	176.000000	176	0
Hmga1b	176.000000	176	0
Hmga1	176.000000	176	0
H1f10	176.000000	176	0
Gpx6	176.000000	176	0
Gm20826	176.000000	176	0
Gcnt2	176.000000	176	0
Gcgr	176.000000	176	0
Fstl4	176.000000	176	0
Fam3c	176.000000	176	0
Dcpp1	176.000000	176	0
Cnot1	176.000000	176	0
Cd1d1	176.000000	176	0
Btg1b	176.000000	176	0
Bpifa2	176.000000	176	0
Atp6v1e2	176.000000	176	0
Apol8	176.000000	176	0
Api5	176.000000	176	0
Adamts8	176.000000	176	0
Adamts19	176.000000	176	0
4921524J17Rik	176.000000	176	0
Trnp1	174.000000	174	0
Tent5c	174.000000	174	0
Lrrc2	174.000000	174	0
Frrs1	174.000000	174	0
Fbxl3	174.000000	174	0
Ciita	174.000000	174	0
Atad5	174.000000	174	0
Trem3	172.000000	172	0
Tmub2	172.000000	172	0
Tmem231	172.000000	172	0
T2	172.000000	172	0
Stbd1	172.000000	172	0
Serpinf1	172.000000	172	0
Rpl22l1	172.000000	172	0
Reep5	172.000000	172	0
Nampt	172.000000	172	0
Mettl4	172.000000	172	0
Lmod2	172.000000	172	0
Irx2	172.000000	172	0
Gmppa	172.000000	172	0
Gabarapl2	172.000000	172	0
Fcgr3	172.000000	172	0
Dusp21	172.000000	172	0
Calr3	172.000000	172	0
1700030K09Rik	172.000000	172	0
Slx4ip	171.000000	171	0
Pde9a	170.000000	170	0
Npy6r	170.000000	170	0
Krtap3-2	170.000000	170	0
Cd274	170.000000	170	0
Alg9	170.000000	170	0
Aldoa	170.000000	170	0
Jarid2	169.000000	169	0
Dnajb4	169.000000	169	0
Cuedc2	169.000000	169	0
Tmem175	168.000000	168	0
Mrps36	168.000000	168	0
Kcnn2	168.000000	168	0
Gak	168.000000	168	0
Cstdc4	168.000000	168	0
C8b	168.000000	168	0
Tvp23b	166.000000	166	0
Tra2b	166.000000	166	0
Smim14	166.000000	166	0
Prss51	166.000000	166	0
Npr3	166.000000	166	0
Lta4h	166.000000	166	0
Brpf1	166.000000	166	0
Trim56	165.000000	165	0
Olfr92	165.000000	165	0
Myl6b	165.000000	165	0
Myl6	165.000000	165	0
Ky	165.000000	165	0
Grid2ip	165.000000	165	0
Fam81a	165.000000	165	0
Evc2	165.000000	165	0
Evc	165.000000	165	0
Add3	165.000000	165	0
4932438A13Rik	165.000000	165	0
Kcmf1	164.000000	164	0
Zp1	163.000000	163	0
Smarcd2	163.000000	163	0
Rcan2	163.000000	163	0
Pdcl	163.000000	163	0
Olfr761	163.000000	163	0
Olfr1102	163.000000	163	0
Nop58	163.000000	163	0
Abcc2	163.000000	163	0
Nfkbiz	162.000000	162	0
Ndufc1	162.000000	162	0
Crp	162.000000	162	0
Zfp936	161.000000	161	0
Gm14325	161.000000	161	0
Acap1	161.000000	161	0
1700019D03Rik	161.000000	161	0
Sim2	160.000000	160	0
Olfr749	160.000000	160	0
Eif2s2	160.000000	160	0
Mup16	159.000000	159	0
Olfr1061	158.000000	158	0
Hmox2	158.000000	158	0
Fabp6	158.000000	158	0
Cse1l	158.000000	158	0
Agpat5	158.000000	158	0
Zar1	157.000000	157	0
Ube2d2b	157.000000	157	0
Tmem94	157.000000	157	0
Tecpr1	157.000000	157	0
Tbxa2r	157.000000	157	0
Stx11	157.000000	157	0
Sorcs3	157.000000	157	0
Prkag1	157.000000	157	0
Pdgfra	157.000000	157	0
Olig1	157.000000	157	0
Olfr963	157.000000	157	0
Olfr552	157.000000	157	0
Olfr1158	157.000000	157	0
Ocrl	157.000000	157	0
Nudcd2	157.000000	157	0
Nt5c2	157.000000	157	0
Nme6	157.000000	157	0
Nfe2	157.000000	157	0
Mboat1	157.000000	157	0
Lyrm9	157.000000	157	0
Lamp1	157.000000	157	0
Klk12	157.000000	157	0
Ihh	157.000000	157	0
Hpgds	157.000000	157	0
Hmmr	157.000000	157	0
Gulp1	157.000000	157	0
Fstl5	157.000000	157	0
Evl	157.000000	157	0
Efna3	157.000000	157	0
Dupd1	157.000000	157	0
Dlx6	157.000000	157	0
Dgat1	157.000000	157	0
Depdc1a	157.000000	157	0
Cyp19a1	157.000000	157	0
Camta1	157.000000	157	0
Arhgef3	157.000000	157	0
Ankrd6	157.000000	157	0
Ank1	157.000000	157	0
Acsl1	157.000000	157	0
4930579F01Rik	157.000000	157	0
Tor1b	156.000000	156	0
