Target_genes	Hoxc6|Average	SRX7416176|Embryoid_Bodies	SRX7416177|Embryoid_Bodies	SRX7416192|Embryoid_Bodies	SRX7416193|Embryoid_Bodies	SRX7416201|Embryoid_Bodies	SRX7416202|Embryoid_Bodies	SRX6755620|ES_cells	STRING
Flrt1	967.428571	825	740	2467	2248	266	226	0	0
Tmem178b	962.285714	1057	939	2063	2043	0	634	0	0
Pgk1	954.571429	0	0	181	121	2594	3355	431	0
Scube2	946.285714	1025	693	2376	2365	0	165	0	0
Mllt3	945.714286	1339	1016	2225	2040	0	0	0	0
Cldn34d	943.714286	1449	1435	475	921	420	1210	696	0
Hoxc4	928.714286	1356	797	2046	1946	209	147	0	0
Rbm20	923.285714	1161	985	1872	1592	284	569	0	0
Prickle1	919.857143	0	0	301	395	3065	2678	0	0
Lsmem2	894.000000	0	0	0	0	3234	3024	0	0
Thrb	891.857143	1105	982	2189	1967	0	0	0	0
Dusp6	886.857143	1025	763	2016	1633	362	409	0	0
Rps19	882.571429	0	0	140	0	3111	2927	0	0
Lysmd3	875.857143	544	378	1491	1321	1211	1186	0	0
Trim2	875.000000	1204	1092	2130	1544	155	0	0	0
Nt5e	868.571429	0	0	0	0	2925	3155	0	0
Gm14137	859.857143	846	594	2494	1950	0	135	0	0
Pgbd5	859.428571	787	824	2397	1874	0	134	0	0
Mbtps2	856.428571	0	113	209	132	3017	2524	0	0
Rara	855.571429	564	387	1487	1489	1095	967	0	0
Slc25a51	854.428571	1495	856	2067	1563	0	0	0	0
Gdi2	851.285714	833	527	2269	1912	296	122	0	0
Gm4861	847.428571	0	0	0	0	3052	2880	0	0
Hoxb1	847.142857	0	0	362	324	2768	2476	0	0
Tanc1	847.000000	525	377	1571	1631	801	1024	0	0
Kazn	847.000000	350	194	1241	1245	1623	1276	0	0
Rab30	844.857143	1460	920	1915	1619	0	0	0	0
Pxk	844.571429	1355	749	1957	1601	250	0	0	0
Epn2	840.714286	966	948	2235	1736	0	0	0	0
Gchfr	840.571429	846	594	2494	1950	0	0	0	0
Lpar1	840.142857	0	0	0	144	2488	3249	0	0
Otx1	839.428571	256	311	573	494	1963	2279	0	0
Snrpn	839.142857	178	0	278	361	2684	2373	0	0
Eppin	834.571429	475	478	1493	1396	1048	952	0	0
Slc5a12	831.000000	1447	968	2002	1400	0	0	0	0
Hoxa1	827.714286	1135	624	1513	1294	429	799	0	0
Zfp819	826.714286	0	321	672	783	1988	2023	0	0
Pipox	826.000000	0	0	266	157	2453	2906	0	0
Hhip	824.857143	995	675	1407	1865	448	384	0	0
Ccn1	823.571429	911	633	1812	2112	141	156	0	0
Trp53bp1	821.285714	0	0	545	532	2336	2336	0	0
Mkrn3	820.000000	1337	686	2222	1495	0	0	0	0
Foxp1	816.428571	605	597	1410	1252	1050	801	0	0
Hoxd4	811.142857	433	172	2558	2515	0	0	0	0
Vta1	806.714286	420	372	1225	1774	585	1271	0	0
Smad1	806.428571	905	949	2104	1687	0	0	0	0
Lama5	804.285714	598	201	1052	903	1066	1810	0	0
Rbbp7	802.714286	0	0	0	0	3005	2614	0	0
Sstr2	799.428571	1057	808	2153	1578	0	0	0	0
Crybg3	791.714286	1097	707	1911	1827	0	0	0	0
Npas4	786.000000	219	156	846	758	1979	1544	0	0
Fgd4	776.571429	396	281	1180	1186	882	1511	0	0
Csrnp3	774.571429	855	636	1624	1582	417	308	0	0
Slc25a1	774.428571	0	0	192	166	2744	2319	0	0
Nkx2-9	770.857143	1391	908	1456	1535	0	106	0	0
Hsp90b1	768.857143	1526	983	1790	1083	0	0	0	0
Tmem268	768.285714	1331	859	1566	1464	0	158	0	0
Nt5c2	767.142857	349	259	1433	1692	338	1299	0	0
Smpd1	763.428571	0	0	0	0	2842	2502	0	0
Elf5	760.714286	666	462	1978	2219	0	0	0	0
Slc37a3	757.714286	1276	1116	1254	1658	0	0	0	0
Ormdl3	754.857143	573	614	2185	1912	0	0	0	0
Erbin	753.714286	1021	558	2167	1530	0	0	0	0
Slc25a4	752.571429	0	0	0	0	2405	2863	0	0
Cacna1c	749.000000	967	768	1740	1375	172	221	0	0
Oacyl	748.142857	447	425	1970	1687	423	285	0	0
Setd5	747.142857	869	547	1724	1277	507	306	0	0
Marchf10	746.571429	1151	758	2055	1262	0	0	0	0
Elmo2	745.857143	748	615	1643	1794	154	267	0	0
Cmas	742.142857	0	158	278	0	2461	2298	0	0
Ezh2	738.000000	901	777	1871	1617	0	0	0	0
Stra6	736.714286	0	0	213	207	2346	2391	0	0
Tbpl1	735.857143	1133	856	1763	1300	99	0	0	0
1810010H24Rik	734.428571	1190	1176	1589	1186	0	0	0	0
Fam174a	730.571429	992	748	1592	1782	0	0	0	0
Ptprz1	723.857143	463	495	634	393	1565	1517	0	0
Snurf	722.428571	0	0	0	0	2684	2373	0	0
Rag2	720.857143	267	340	908	763	537	2231	0	0
Iftap	720.857143	267	340	908	763	537	2231	0	0
Mapre1	718.000000	761	603	1900	1762	0	0	0	0
Itgb8	718.000000	202	145	573	728	2016	1362	0	0
Tbc1d9	716.000000	709	574	2049	1680	0	0	0	0
Alyref2	714.000000	598	473	2123	1652	0	152	0	0
Cdca7	713.714286	0	0	295	259	1875	2567	0	0
Elavl4	713.285714	641	442	1405	1285	700	520	0	0
Gnat3	712.428571	1075	831	1737	1344	0	0	0	0
Gfra3	711.285714	128	190	326	259	1913	2163	0	0
Phc1	710.571429	0	0	159	0	2493	2322	0	0
Pou3f3	701.428571	964	601	1774	1571	0	0	0	0
Pdlim5	698.428571	1200	908	1598	1183	0	0	0	0
Wrap53	696.428571	0	0	0	0	2587	2288	0	0
Trp53	696.428571	0	0	0	0	2587	2288	0	0
Cep112	696.142857	0	0	367	245	2275	1986	0	0
Hoxa2	695.285714	648	420	1513	1294	564	428	0	0
Notch1	694.857143	495	490	1620	1723	184	352	0	0
Bend3	692.428571	0	0	297	191	2378	1981	0	0
Arfgef1	691.857143	772	498	1307	1193	327	746	0	0
Arrdc4	690.428571	710	571	1753	1799	0	0	0	0
Olfr1034	689.285714	0	0	0	0	2551	2274	0	0
Schip1	686.714286	884	799	1622	1277	102	123	0	0
Col4a2	686.285714	1072	745	1030	804	454	699	0	0
Col4a1	686.285714	1072	745	1030	804	454	699	0	0
Shisa3	678.857143	897	626	1715	1514	0	0	0	0
Serhl	678.857143	0	0	0	0	2220	2532	0	0
Xlr3c	668.714286	0	0	955	881	1967	878	0	0
Maco1	667.714286	529	790	1344	950	106	955	0	0
Actn4	663.285714	243	131	947	909	952	1461	0	0
Radil	660.285714	0	0	201	352	2149	1920	0	0
Hoxb4	654.428571	735	481	1303	1193	455	414	0	0
Hoxb3	654.428571	735	481	1303	1193	455	414	0	0
Frem1	654.000000	994	792	1340	1108	0	344	0	0
Lhx2	648.428571	968	851	1309	944	175	292	0	0
Myo10	648.000000	327	163	599	807	1279	1361	0	0
Rest	646.428571	0	0	1062	1024	1051	1388	0	0
Hoxa6	645.285714	439	422	1600	1591	297	168	0	0
Hoxa5	645.142857	439	422	1600	1591	127	337	0	0
Runx1t1	643.428571	678	342	1575	1315	315	279	0	0
Golgb1	643.428571	622	589	1572	1654	0	67	0	0
Map4	640.142857	649	567	1280	1334	294	357	0	0
Plekha7	639.571429	0	0	371	221	1732	2153	0	0
Igdcc3	638.714286	0	0	614	594	1584	1679	0	0
Dph5	636.142857	834	279	1607	1733	0	0	0	0
Abcg2	634.000000	0	0	101	0	2151	2186	0	0
Zc3h12c	633.714286	998	800	1308	1330	0	0	0	0
Rnf165	630.714286	328	404	1327	935	675	746	0	0
Asic5	630.714286	1001	935	1372	1107	0	0	0	0
Epha8	628.857143	659	750	1467	1526	0	0	0	0
6820408C15Rik	628.714286	566	254	2035	1456	90	0	0	0
LTO1	627.857143	822	680	1683	1210	0	0	0	0
Tacc1	627.142857	1084	529	1543	1234	0	0	0	0
Mrps23	622.571429	0	0	499	384	1432	1879	164	0
Ndnf	620.571429	229	536	950	706	843	1080	0	0
Fgfbp1	620.142857	0	0	0	0	2117	2224	0	0
Srebf2	619.857143	1007	566	1548	1090	0	128	0	0
Ccser2	619.142857	868	549	1542	1375	0	0	0	0
Klri1	618.571429	0	145	857	566	1285	1477	0	0
Cemip2	614.571429	816	428	1689	1271	98	0	0	0
Fam243	612.285714	355	363	835	598	1388	747	0	0
Ubl4b	611.285714	789	541	1766	1183	0	0	0	0
Plppr1	610.000000	874	871	1339	1045	0	141	0	0
Septin3	608.142857	649	421	1721	1339	127	0	0	0
Lrrn3	607.142857	1004	461	1516	1269	0	0	0	0
Hoxb6	607.142857	657	563	1541	1489	0	0	0	0
Hoxb5	607.142857	657	563	1541	1489	0	0	0	0
Adk	606.285714	0	94	0	0	1731	2156	263	0
Zdhhc13	602.571429	792	743	1598	1085	0	0	0	0
Arpp21	601.000000	522	391	1383	1087	484	340	0	0
Srcin1	600.714286	0	0	0	0	1924	2281	0	0
Gpc6	599.857143	839	624	1330	1109	110	187	0	0
Esrrg	594.428571	270	170	852	738	994	1137	0	0
Uncx	592.428571	789	525	1367	1466	0	0	0	0
Trib2	591.142857	368	362	1867	1384	0	157	0	0
Tex21	590.714286	0	0	0	0	1922	2213	0	0
Bend4	590.714286	266	312	1758	1702	97	0	0	0
Cpvl	589.714286	839	785	1483	1021	0	0	0	0
F11r	589.571429	784	871	1333	1139	0	0	0	0
Actg1	588.571429	579	402	1584	1555	0	0	0	0
Nedd9	584.857143	547	288	853	1664	406	336	0	0
Fau	584.857143	952	493	1365	1284	0	0	0	0
Cbx1	583.571429	0	0	177	182	2257	1469	0	0
Nsg2	583.142857	196	199	767	1043	835	1042	0	0
Brox	581.714286	724	538	136	288	992	1014	380	0
Aida	581.714286	724	538	136	288	992	1014	380	0
Pcdhgc5	579.857143	185	222	778	523	976	1375	0	0
Pcdhgc4	579.857143	185	222	778	523	976	1375	0	0
Pla2g2d	579.571429	918	563	1236	1340	0	0	0	0
Eno1	579.571429	0	0	475	351	983	2248	0	0
Kat7	578.142857	128	0	167	112	1954	1686	0	0
Shroom2	576.857143	828	443	973	1048	364	382	0	0
Angpt1	575.571429	757	467	1347	1311	147	0	0	0
Cachd1	574.857143	0	0	144	150	1923	1807	0	0
Npas1	572.857143	0	0	0	0	2155	1855	0	0
Gm15517	571.571429	853	414	1407	1327	0	0	0	0
Nat8	570.000000	342	334	476	365	326	2147	0	0
Entpd5	567.857143	386	667	1628	1294	0	0	0	0
Bbof1	567.857143	386	667	1628	1294	0	0	0	0
Rasal2	567.714286	701	578	1388	1307	0	0	0	0
Slc7a7	567.428571	218	151	425	281	1072	1825	0	0
Mycn	565.714286	0	0	0	0	2358	1602	0	0
Gm5771	565.285714	0	0	0	0	1961	1996	0	0
Fbln1	564.571429	667	499	1433	1353	0	0	0	0
Kpna1	563.000000	609	429	307	328	527	772	969	0
Atg4c	562.142857	790	663	1321	1161	0	0	0	0
Dnah5	558.428571	179	148	516	580	716	1770	0	0
Rffl	557.285714	0	0	399	390	1429	1683	0	0
Acot7	557.285714	667	414	1666	1154	0	0	0	0
Tmc5	556.285714	157	172	852	887	816	1010	0	0
Mbp	556.285714	520	497	1035	833	325	684	0	0
Smim17	555.857143	141	156	325	497	1582	1190	0	0
Phc2	555.857143	509	325	981	885	305	886	0	0
Tab1	553.000000	488	295	1508	1580	0	0	0	0
Slc44a3	552.428571	298	0	1126	925	422	1096	0	0
Ush2a	550.714286	0	0	202	154	1534	1965	0	0
Bcar3	549.714286	371	307	1357	1259	275	279	0	0
Sel1l3	546.571429	422	647	1520	1169	68	0	0	0
Sncb	545.714286	1297	676	1143	704	0	0	0	0
Ksr1	544.714286	611	488	1476	1238	0	0	0	0
Arid1b	542.285714	371	323	1445	1657	0	0	0	0
Ypel1	541.857143	502	501	1285	1212	103	190	0	0
Igsf23	541.285714	523	280	1695	1291	0	0	0	0
Traf3ip1	540.142857	0	0	0	0	1867	1914	0	0
Dbx2	540.000000	411	377	1141	1183	473	195	0	0
Unc5b	539.571429	0	0	342	280	1524	1631	0	0
Ntn1	538.285714	423	592	808	564	213	1168	0	0
Crybg1	537.571429	566	546	1437	1214	0	0	0	0
Stk32a	537.285714	396	262	1546	1557	0	0	0	0
Uchl4	536.857143	325	244	1720	1469	0	0	0	0
Rlim	536.000000	0	0	0	0	1731	2021	0	0
Dach1	535.571429	504	309	1385	1551	0	0	0	0
Zkscan1	533.000000	370	168	1397	1090	198	508	0	0
Ech1	532.857143	476	407	1394	1453	0	0	0	0
Pde1b	531.714286	112	204	798	571	1020	1017	0	0
Hs6st2	531.000000	490	362	544	510	1057	754	0	0
Serpinb8	528.857143	738	516	1052	1396	0	0	0	0
Palld	526.714286	402	272	1404	1609	0	0	0	0
Dct	526.714286	646	522	1375	1144	0	0	0	0
Zmynd11	525.285714	862	692	1160	963	0	0	0	0
Tmem181a	521.428571	0	0	0	0	1317	2333	0	0
Gm4737	519.714286	590	304	1106	1638	0	0	0	0
Vwde	518.142857	766	667	946	559	259	430	0	0
Lats2	517.571429	0	0	0	0	1639	1984	0	0
Ppp1r15b	517.428571	565	431	1486	1036	104	0	0	0
Fhdc1	516.857143	0	0	145	0	1124	2349	0	0
Spink1	516.571429	790	818	1122	886	0	0	0	0
Olfr513	515.142857	720	782	1065	1039	0	0	0	0
Cacng4	515.142857	347	383	1706	1170	0	0	0	0
Ccdc194	512.714286	0	0	0	0	1862	1727	0	0
Hhat	512.142857	382	239	1428	1536	0	0	0	0
Abr	511.857143	607	495	1273	1055	0	153	0	0
Kcnip2	510.571429	188	306	1662	1257	161	0	0	0
Fam50b	510.142857	0	0	0	0	1765	1806	0	0
Gmnn	509.857143	302	200	960	1118	457	532	0	0
Bcl2a1a	509.285714	197	0	493	426	1451	998	0	0
Adam12	508.714286	756	454	710	687	496	458	0	0
Gem	508.000000	335	461	1622	1138	0	0	0	0
Mrps33	507.428571	899	333	1203	1017	100	0	0	0
Cpsf4l	507.428571	168	0	746	474	1200	964	0	0
Kcne1l	506.571429	633	490	1228	1195	0	0	0	0
Zbtb10	502.285714	0	156	318	222	718	2102	0	0
Gm8439	502.285714	270	147	1219	792	138	950	0	0
Prss1	501.142857	0	0	0	0	1455	2053	0	0
Lars2	500.428571	528	521	1219	1097	138	0	0	0
Dact2	500.000000	808	624	810	724	280	254	0	0
Zfand3	499.285714	367	268	1180	1532	148	0	0	0
Chrna9	497.571429	0	0	0	0	1905	1578	0	0
Car14	497.428571	350	428	1500	952	137	115	0	0
Tcf7l1	496.714286	0	0	0	0	1766	1711	0	0
Gbx2	496.142857	135	0	320	1013	544	1461	0	0
Otop1	496.000000	0	0	0	0	2060	1412	0	0
Tmem156	493.285714	581	431	1211	1230	0	0	0	0
Prkab2	493.142857	414	325	1279	1307	127	0	0	0
Fam20c	492.285714	405	639	1462	940	0	0	0	0
Frs2	491.571429	0	0	0	0	1748	1693	0	0
Bcl2a1d	487.571429	0	0	244	226	1590	1353	0	0
Kcng4	485.142857	585	460	1195	1156	0	0	0	0
Crp	483.857143	669	408	1043	1267	0	0	0	0
Meis3	483.571429	176	197	678	605	887	842	0	0
Mup4	482.428571	0	0	0	0	1735	1642	0	0
Pbx1	482.000000	158	151	1277	978	462	348	0	0
Eva1c	479.428571	0	0	170	0	1558	1628	0	0
Asb4	479.428571	408	296	809	1196	470	177	0	0
Gm973	478.714286	782	657	1029	659	0	224	0	0
Gja5	478.428571	685	505	1229	687	243	0	0	0
Sulf1	477.571429	136	0	462	535	1085	1125	0	0
Zfc3h1	477.285714	311	212	1060	1364	134	260	0	0
Thap2	477.285714	311	212	1060	1364	134	260	0	0
Spp2	477.285714	745	513	1057	1026	0	0	0	0
Galnt1	477.142857	0	0	0	0	2047	1293	0	0
Rbm27	475.714286	0	0	194	270	1198	1668	0	0
Gcnt2	474.428571	544	435	1057	1134	0	151	0	0
Vmn2r23	472.714286	407	265	1087	840	0	710	0	0
Col6a6	472.428571	897	509	920	844	137	0	0	0
Arhgef26	470.428571	0	0	0	0	2008	1285	0	0
Tph2	469.571429	465	385	1388	1049	0	0	0	0
Tcstv3	469.428571	607	410	0	384	1080	590	215	0
Mdm4	469.142857	0	139	424	586	1112	1023	0	0
Wdr95	468.285714	211	197	1266	894	420	290	0	0
Ror1	467.000000	0	0	0	0	1870	1399	0	0
Grm8	466.142857	0	0	255	145	1873	990	0	0
Oxnad1	464.142857	165	138	634	505	830	977	0	0
Dph3	464.142857	165	138	634	505	830	977	0	0
Srbd1	464.000000	462	503	686	795	206	596	0	0
Sost	463.857143	0	155	545	455	1132	960	0	0
Ankrd6	460.142857	410	242	1156	650	286	477	0	0
Stoml2	458.285714	0	157	759	704	641	947	0	0
Zfpm1	458.000000	297	330	1313	1040	0	226	0	0
Rragd	456.714286	443	437	1105	1091	121	0	0	0
Ctnna3	456.285714	283	364	1178	1369	0	0	0	0
Sat2	455.000000	0	0	0	0	1823	1362	0	0
Stk32b	453.857143	0	0	0	0	1529	1648	0	0
Map6	453.571429	567	386	1070	1152	0	0	0	0
Ccdc60	453.571429	197	322	624	739	664	629	0	0
Aipl1	451.285714	0	0	0	0	877	2282	0	0
Tcerg1	451.142857	177	160	762	644	748	667	0	0
Unc13c	450.714286	657	438	1394	666	0	0	0	0
Cyp7a1	450.714286	0	0	275	218	1027	1635	0	0
Zadh2	450.000000	333	281	1038	939	182	377	0	0
Tshz1	450.000000	333	281	1038	939	182	377	0	0
Tmem255a	449.714286	0	190	294	497	823	1344	0	0
Rsbn1l	449.714286	741	674	1030	703	0	0	0	0
Rprml	449.428571	438	351	1401	956	0	0	0	0
Dbx1	446.714286	806	437	897	770	0	217	0	0
Yap1	446.142857	0	0	0	0	1497	1626	0	0
Sepsecs	445.285714	246	205	851	748	306	761	0	0
Dyrk3	445.142857	277	171	954	834	586	294	0	0
Ubash3b	444.714286	430	268	1156	1259	0	0	0	0
Rere	444.714286	415	297	957	732	294	418	0	0
Nrf1	444.714286	0	0	320	415	1091	1287	0	0
Frmd4a	444.000000	667	407	1059	831	144	0	0	0
Akap6	443.142857	574	358	1115	1055	0	0	0	0
Uts2b	442.857143	420	257	1233	1190	0	0	0	0
Crlf2	442.571429	0	158	703	725	682	830	0	0
Spink7	441.571429	416	429	949	1297	0	0	0	0
Pank4	441.571429	351	228	1229	910	280	93	0	0
Hes5	441.571429	351	228	1229	910	280	93	0	0
Asic4	441.571429	360	185	1221	932	216	177	0	0
Sox14	441.142857	174	202	730	1024	575	383	0	0
Marcks	441.000000	565	463	1260	621	69	109	0	0
Vmn1r1	440.285714	0	0	0	0	1422	1660	0	0
Tmcc1	440.285714	0	0	0	0	1240	1842	0	0
Cux1	439.142857	153	0	463	516	1393	549	0	0
Ppp1cb	439.000000	0	352	549	629	409	1134	0	0
Bhlhe22	437.571429	882	410	1114	657	0	0	0	0
Zcrb1	436.714286	0	0	0	0	1277	1780	0	0
Pphln1	436.714286	0	0	0	0	1277	1780	0	0
C1qtnf2	436.571429	0	0	0	0	1079	1977	0	0
Blnk	435.714286	860	546	715	770	0	159	0	0
Narf	434.857143	660	453	957	783	0	191	0	0
Cma1	433.857143	493	456	1239	849	0	0	0	0
Vstm2l	433.571429	87	99	205	222	1357	1065	0	0
4930474N05Rik	433.571429	0	0	254	290	1160	1331	0	0
C2cd5	432.428571	203	191	592	627	502	912	0	0
Csn1s2a	432.142857	0	0	0	0	1463	1562	0	0
Vps54	431.428571	135	0	0	0	1040	1845	0	0
St8sia2	430.714286	465	442	1159	949	0	0	0	0
Rcan2	430.000000	301	264	899	660	244	642	0	0
Jarid2	429.857143	0	0	245	138	1031	1595	0	0
Nr2f1	427.142857	383	254	1261	1092	0	0	0	0
H6pd	426.285714	346	256	1250	1132	0	0	0	0
Spats2l	426.000000	119	0	644	1017	308	894	0	0
Cnn3	425.428571	0	0	0	0	1849	1129	0	0
Chd7	425.142857	217	0	1170	874	466	249	0	0
Ccdc38	424.714286	0	0	0	0	1420	1553	0	0
Amdhd1	424.714286	0	0	0	0	1420	1553	0	0
Ermn	424.571429	278	254	324	301	986	829	0	0
Olfr492	424.285714	0	0	0	0	1110	1860	0	0
Gspt1	423.285714	479	387	1129	968	0	0	0	0
Parp16	423.142857	0	0	0	0	1283	1679	0	0
Mylk	423.142857	973	608	776	605	0	0	0	0
Ypel2	423.000000	0	0	0	0	1351	1610	0	0
Ebag9	423.000000	0	0	145	0	808	2008	0	0
Mycl	422.285714	173	101	1010	1003	461	208	0	0
Aqr	421.428571	0	0	0	0	1649	1301	0	0
Adgrg1	421.000000	361	209	1147	801	235	194	0	0
Nsmaf	419.714286	0	0	0	0	1608	1330	0	0
Slc39a14	419.428571	0	0	0	0	1928	1008	0	0
Krt222	419.285714	451	372	809	796	270	237	0	0
Primpol	418.714286	153	206	1008	699	557	308	0	0
Casp3	418.714286	153	206	1008	699	557	308	0	0
B3galt1	418.285714	487	307	1071	1063	0	0	0	0
Myef2	417.428571	0	0	0	0	1662	1260	0	0
Crb1	417.428571	334	301	1108	1179	0	0	0	0
Akap17b	417.285714	0	0	134	0	1663	1124	0	0
Hsbp1l1	417.142857	711	565	1049	595	0	0	0	0
Dab1	417.142857	292	343	1054	709	317	205	0	0
Rassf4	417.000000	294	152	714	333	446	980	0	0
Gm10509	417.000000	354	260	1175	1130	0	0	0	0
Gm4951	416.571429	323	278	977	1338	0	0	0	0
Lratd2	416.000000	163	126	452	320	917	934	0	0
Nell2	415.571429	341	281	1078	1065	0	144	0	0
Mroh2b	415.571429	0	0	0	0	1287	1622	0	0
Lpo	415.571429	349	148	1091	1321	0	0	0	0
Insyn2b	413.857143	428	454	565	337	486	627	0	0
Arfip1	413.000000	288	332	1150	1121	0	0	0	0
4430402I18Rik	413.000000	451	228	1320	892	0	0	0	0
Ogt	412.285714	0	0	0	0	1576	1310	0	0
Lpar6	412.285714	0	0	225	248	1328	1085	0	0
Hsdl2	411.857143	344	245	1126	1168	0	0	0	0
Baalc	411.857143	471	378	1236	798	0	0	0	0
Lpgat1	411.285714	576	604	1074	625	0	0	0	0
a	410.142857	246	226	973	715	279	432	0	0
Soat1	409.000000	0	0	0	0	1758	1105	0	0
Rag1	407.571429	425	298	1226	904	0	0	0	0
Lrrn2	407.142857	0	0	203	0	1541	1106	0	0
Tmod4	406.428571	0	0	0	0	1223	1622	0	0
Scnm1	406.428571	0	0	0	0	1223	1622	0	0
Lysmd1	406.428571	0	0	0	0	1223	1622	0	0
Kcnk4	406.285714	247	341	1327	929	0	0	0	0
Eif1	405.428571	648	500	892	798	0	0	0	0
Nsun4	405.285714	498	621	1037	681	0	0	0	0
Bcl2a1b	404.714286	152	0	250	397	1143	891	0	0
Fgfr2	403.571429	0	0	364	377	1254	830	0	0
Tle1	403.285714	684	340	1044	755	0	0	0	0
Ifitm1	401.571429	0	0	0	0	1209	1602	0	0
Ina	401.142857	0	0	624	547	338	1299	0	0
Mast4	400.000000	0	0	0	0	779	2021	0	0
Rfx4	396.857143	119	0	406	484	1011	758	0	0
Stk10	396.000000	284	212	580	431	535	730	0	0
P2ry12	395.571429	389	263	1119	998	0	0	0	0
Flad1	395.571429	162	0	602	515	669	821	0	0
Rif1	395.285714	0	0	0	0	1470	1297	0	0
Lin28a	393.571429	0	0	244	208	1166	1137	0	0
Neurod4	393.428571	321	267	583	585	494	504	0	0
Dusp4	393.285714	0	0	360	269	1145	979	0	0
Ccno	393.142857	376	446	449	228	791	462	0	0
Kbtbd2	393.000000	0	0	0	0	1178	1573	0	0
Esrrb	391.857143	0	0	624	640	591	888	0	0
Med25	391.285714	200	150	1089	783	183	334	0	0
Fuz	391.285714	200	150	1089	783	183	334	0	0
Zfp9	391.000000	284	189	515	394	608	747	0	0
