Target_genes	Foxc2|Average	SRX4309875|Kidney_Glomerulus	SRX17535190|Podocytes	SRX17535191|Podocytes	SRX17535192|Podocytes	SRX17535193|Podocytes	SRX17535194|Podocytes	SRX17535195|Podocytes	STRING
Rchy1	1116.428571	0	1513	1756	1258	950	1238	1100	0
Cldn34d	1114.285714	2599	924	832	1232	791	686	736	0
Bcar3	1113.571429	0	2098	2137	1866	664	557	473	0
Pradc1	1109.857143	79	1487	1806	1253	763	1242	1139	0
Cct7	1109.857143	79	1487	1806	1253	763	1242	1139	0
Ccdc84	1109.857143	0	1483	1390	1160	1226	1278	1232	0
Vasn	1104.428571	0	2037	1960	1375	786	772	801	0
Actr3	1100.857143	0	1896	1911	1463	786	917	733	0
Fam3c	1099.571429	0	1582	1711	1155	704	1331	1214	0
Zfyve21	1097.857143	0	1800	1948	1581	1001	832	523	0
Xrcc3	1097.857143	0	1800	1948	1581	1001	832	523	0
Cant1	1096.285714	0	2231	2069	1886	413	485	590	0
Atp6v1g1	1095.857143	0	2080	2219	1709	436	555	672	0
Kdm2a	1095.142857	0	1695	1600	1308	825	1237	1001	0
Sec14l1	1094.714286	0	2109	2070	1627	596	752	509	0
Fbxw7	1094.571429	0	1510	1451	1120	1153	1348	1080	0
Ssbp4	1091.285714	0	1491	1609	1169	1089	1164	1117	0
Pum1	1084.428571	0	1967	1993	1355	642	942	692	0
Ccser2	1083.714286	0	2001	1888	1450	743	749	755	0
Bnip3l	1081.285714	0	1658	1616	1249	774	1296	976	0
Cry2	1081.142857	0	1801	1767	1483	670	963	884	0
Pcsk5	1074.142857	0	1796	1667	1281	864	1023	888	0
Stard10	1074.000000	0	1963	1869	1287	750	899	750	0
Ilf3	1069.714286	124	1464	1753	1316	854	968	1009	0
Ilrun	1065.714286	0	1754	1604	1343	831	1071	857	0
Dynlt1b	1064.142857	0	1711	1986	1252	762	861	877	0
Gtdc1	1061.571429	201	1591	1958	1506	523	774	878	0
Exd1	1058.571429	0	1557	1390	1020	1123	1199	1121	0
Chp1	1058.571429	0	1557	1390	1020	1123	1199	1121	0
Pdia4	1055.714286	0	1498	1438	1197	1054	1277	926	0
Abca4	1052.714286	170	2182	2193	1645	375	308	496	0
Rubcn	1049.000000	0	1626	1742	1129	874	989	983	0
Fyttd1	1049.000000	0	1626	1742	1129	874	989	983	0
Spp2	1042.714286	0	1771	2056	1791	610	678	393	0
Shox2	1042.571429	0	1582	1329	1494	970	971	952	0
Rsrc1	1042.571429	0	1582	1329	1494	970	971	952	0
Rbms3	1042.285714	0	1962	2117	1526	605	580	506	0
Ptk7	1041.714286	151	2030	2240	1647	276	494	454	0
Vamp2	1030.142857	0	2258	2234	1819	221	316	363	0
Zc3h12a	1027.000000	0	1202	1069	844	1399	1316	1359	0
Kdm6b	1023.571429	0	1830	1661	1396	772	736	770	0
Lman2l	1019.000000	0	1272	1273	975	1203	1310	1100	0
Pgpep1l	1015.000000	175	2045	1785	1432	549	619	500	0
Zfp446	1014.857143	0	1692	1446	877	929	1132	1028	0
Gmfb	1014.571429	0	1658	1675	1151	846	1063	709	0
Gpr146	1012.428571	0	1534	1632	1226	871	933	891	0
Mrtfb	1012.285714	0	1570	1679	1182	930	877	848	0
Ctdsp1	1007.428571	0	1385	1315	1145	1017	1077	1113	0
Med21	1000.857143	0	1562	1551	1098	791	1094	910	0
Slf2	1000.285714	0	1546	1536	1299	709	905	1007	0
Btbd2	994.428571	0	1615	1624	1014	697	1077	934	0
Dynlt1f	994.142857	0	1586	1644	1316	773	973	667	0
Dynlt1c	994.142857	0	1586	1644	1316	773	973	667	0
Rps26	985.714286	0	1682	1327	1180	929	948	834	0
Sytl3	983.857143	0	1586	1644	1244	773	973	667	0
Ube2t	981.142857	0	1298	1134	721	978	1357	1380	0
Sp4	980.714286	0	1608	1801	1212	700	683	861	0
Cerk	979.428571	154	1761	1863	1377	643	608	450	0
Zbtb46	974.714286	0	2026	1786	1564	495	447	505	0
Lmbrd1	973.714286	0	1550	1633	1075	699	862	997	0
Tet3	969.714286	152	1375	1391	1214	756	920	980	0
Ets2	967.857143	0	1316	1328	955	960	1064	1152	0
Ppfibp1	966.714286	0	1468	1484	1034	1068	735	978	0
Ubl3	965.714286	0	1699	2035	1355	375	709	587	0
Sema3e	962.428571	156	1958	1959	1668	344	276	376	0
Nop53	956.000000	0	1506	1536	1307	799	737	807	0
Ttc9c	955.285714	0	1224	1488	1022	926	1040	987	0
Hnrnpul2	955.285714	0	1224	1488	1022	926	1040	987	0
D10Wsu102e	954.714286	0	1710	1551	1181	754	825	662	0
Hdac7	948.857143	0	1197	1365	1083	1130	1045	822	0
Plxdc2	948.142857	0	1738	1506	1196	654	844	699	0
Lemd2	939.285714	0	1837	1965	1724	345	392	312	0
Dennd4c	935.285714	0	1483	1489	1111	868	868	728	0
Pcif1	933.428571	0	1278	1648	992	862	879	875	0
1810030O07Rik	933.428571	0	1193	1221	949	1063	1127	981	0
Set	929.428571	0	1393	1359	884	730	1138	1002	0
Fbxl3	925.142857	151	1595	1660	1144	624	643	659	0
Rbm39	925.000000	0	1106	1314	1073	1023	924	1035	0
Kat7	924.428571	0	1374	1458	1068	955	1020	596	0
Slc18a1	921.428571	0	1458	1432	945	805	861	949	0
Atp6v1b2	921.428571	0	1458	1432	945	805	861	949	0
Dkc1	920.571429	0	1423	1704	1110	787	873	547	0
Eml1	919.428571	0	1562	1666	1205	876	567	560	0
Isyna1	916.714286	0	1563	1440	1080	773	852	709	0
Nab2	916.571429	0	1151	1261	950	790	1220	1044	0
Phf13	915.857143	0	1270	1335	1277	701	908	920	0
Mtrf1l	911.428571	0	1635	1771	1199	562	619	594	0
Krcc1	909.285714	0	1813	1772	1524	544	360	352	0
Ube2v1	907.714286	0	1182	1081	739	1035	1243	1074	0
Rab10	905.857143	0	1376	1166	901	923	1056	919	0
Galnt9	905.714286	0	1771	1517	1127	623	731	571	0
Cd302	905.142857	0	1303	1207	1035	807	1013	971	0
Foxs1	904.571429	116	1521	1647	1196	590	646	616	0
Hmg20b	903.142857	0	1312	1294	984	694	1064	974	0
Hps6	900.714286	0	1279	1335	1006	778	958	949	0
Armh3	900.714286	0	1279	1335	1006	778	958	949	0
Ngdn	897.428571	0	1484	1469	1177	805	741	606	0
Ccn2	897.142857	0	1948	1972	1383	338	316	323	0
Ube3a	896.714286	0	1469	1533	1292	558	787	638	0
Car12	896.000000	0	1939	2057	1510	290	263	213	0
Septin11	894.428571	0	1506	1485	1195	576	663	836	0
Mapk8ip1	889.571429	0	1766	1501	1129	617	668	546	0
Lrrc49	887.714286	0	1254	1607	1019	791	736	807	0
Usp14	887.142857	0	1088	1287	744	804	1078	1209	0
Tsc22d1	885.285714	163	1651	1679	1367	413	485	439	0
Fbxo44	883.000000	0	1326	1550	977	643	848	837	0
Fbxo2	883.000000	0	1326	1550	977	643	848	837	0
Ksr1	880.714286	0	1938	1987	1562	211	269	198	0
Kdm3a	880.142857	0	919	1123	737	1085	1246	1051	0
Txnl4b	879.428571	0	1721	1717	1107	513	437	661	0
Dhx38	879.428571	0	1721	1717	1107	513	437	661	0
Mylk3	877.285714	152	1960	1842	1521	250	211	205	0
Bcar1	875.142857	0	1992	1864	1497	312	291	170	0
Vta1	873.857143	0	1458	1256	934	797	867	805	0
Pias4	873.714286	0	1406	1425	915	654	848	868	0
Zcchc3	868.714286	0	1657	1629	1089	617	583	506	0
6820408C15Rik	868.714286	0	1657	1629	1089	617	583	506	0
Pin1	868.428571	0	1212	1319	836	811	1042	859	0
Ythdf3	868.142857	0	1402	1344	999	741	852	739	0
Amz2	864.428571	0	1253	1735	858	835	722	648	0
Cenpc1	863.285714	0	1532	1299	962	764	725	761	0
Plce1	862.857143	144	1954	1745	1406	248	272	271	0
Spaca6	862.714286	0	1506	1434	1001	815	721	562	0
Cdk13	862.428571	0	1267	1262	919	698	898	993	0
Lrba	856.571429	0	1699	1718	1437	382	399	361	0
Prr15	855.285714	0	1488	1694	1222	404	676	503	0
C1qtnf1	855.142857	0	1631	1614	1323	411	360	647	0
Mars2	852.142857	0	1375	1217	820	783	878	892	0
Ensa	851.428571	0	1682	1559	946	645	582	546	0
Snap29	849.857143	0	1052	1442	838	827	917	873	0
Pi4ka	849.857143	0	1052	1442	838	827	917	873	0
Sulf1	849.000000	0	1464	1389	1175	716	684	515	0
Pard6b	848.142857	133	1396	1780	1151	482	596	399	0
Per1	847.857143	0	1352	1542	1099	638	677	627	0
Ugp2	844.000000	0	1420	1320	925	639	751	853	0
Hibadh	844.000000	0	1610	1771	1051	475	560	441	0
Lsm4	842.285714	0	1515	1595	1343	502	471	470	0
Aplp1	838.571429	0	1613	1547	1281	591	366	472	0
Tmem126b	837.000000	0	1313	1203	807	945	731	860	0
Rcsd1	836.285714	117	1588	1478	1155	504	489	523	0
Nrep	835.285714	563	1654	1496	1164	356	397	217	0
Ppp1r9b	834.714286	0	1235	1148	935	788	960	777	0
Ube2d3	833.857143	0	1487	1389	956	527	725	753	0
Nfia	833.857143	0	1436	1516	971	776	621	517	0
Gpam	831.285714	0	1950	1707	1371	221	292	278	0
Mbd6	828.285714	0	1286	1088	1035	708	947	734	0
Ddit3	828.285714	0	1286	1088	1035	708	947	734	0
C77080	827.857143	0	1107	1008	760	830	1157	933	0
Cdip1	827.000000	0	1030	990	885	895	1010	979	0
Bcl3	827.000000	0	979	927	780	1088	1051	964	0
Rara	826.571429	0	1365	1200	1049	619	881	672	0
Ppm1d	823.714286	0	1370	1299	840	664	787	806	0
Scx	821.285714	0	1291	1179	925	688	917	749	0
Homer1	821.285714	0	1271	1300	1040	809	672	657	0
Pim3	818.428571	0	1397	1471	1021	620	696	524	0
P4hb	816.714286	0	1197	1372	975	571	883	719	0
Stag1	816.142857	0	1506	1513	1129	318	647	600	0
Anxa9	813.571429	0	1675	1944	1495	165	235	181	0
Cdk8	813.000000	0	1243	1291	912	675	825	745	0
Prkaca	810.571429	0	1276	1208	1154	730	684	622	0
Smim13	805.714286	0	1494	1373	1033	411	765	564	0
Vps13b	804.571429	0	1281	1409	942	381	979	640	0
Lctl	803.142857	0	1613	1821	1381	254	349	204	0
Zfp53	801.142857	0	1357	1348	920	711	642	630	0
Cltc	801.000000	0	1361	1046	795	684	927	794	0
Sdc2	800.571429	0	1365	1565	1006	587	491	590	0
Tuba1b	800.428571	0	1275	1283	961	689	636	759	0
Tex14	800.428571	0	1264	1050	687	701	921	980	0
Rad51c	800.428571	0	1264	1050	687	701	921	980	0
Hagh	798.285714	0	1082	1032	734	958	974	808	0
Fahd1	798.285714	0	1082	1032	734	958	974	808	0
Susd6	793.000000	0	1404	1365	847	551	784	600	0
Rc3h2	790.428571	0	1481	1391	849	641	652	519	0
Tmem139	790.285714	142	1283	1287	744	567	797	712	0
Casp2	790.285714	142	1283	1287	744	567	797	712	0
Acvr1b	790.142857	0	1101	1278	893	603	860	796	0
Rbms1	789.428571	173	1420	1312	1207	479	475	460	0
Ncor2	788.285714	0	1165	1111	911	779	670	882	0
Nid1	788.000000	0	1472	1538	1097	380	565	464	0
Speg	787.857143	0	1661	1454	1240	359	397	404	0
Erbb2	786.857143	0	1340	1407	843	538	767	613	0
Tbc1d8	782.714286	0	1300	905	920	838	792	724	0
Yeats4	782.285714	0	1271	1449	924	508	663	661	0
Wnk4	779.857143	0	1648	1824	1104	319	211	353	0
Chd4	779.857143	0	1626	1487	1090	338	509	409	0
Itpr3	777.571429	0	1788	1872	1487	0	166	130	0
Plcxd2	770.857143	0	1073	1364	981	742	730	506	0
Mphosph8	770.428571	0	1504	1291	1158	429	589	422	0
Chka	770.142857	0	1308	1210	760	590	887	636	0
Emilin1	767.571429	0	1436	1505	819	519	643	451	0
Fbxo4	767.142857	0	1339	1120	842	697	719	653	0
Cd82	767.142857	0	1593	1618	1041	444	359	315	0
Pcmtd1	765.714286	100	1416	1351	904	386	725	478	0
Esyt2	765.142857	0	1039	1102	905	774	835	701	0
Tns2	765.000000	0	1159	1067	977	598	810	744	0
Cfap97	764.857143	0	1046	1057	927	800	802	722	0
Sod3	763.142857	0	1658	1737	1174	232	359	182	0
Zswim6	762.285714	0	1096	936	742	745	857	960	0
Nectin2	762.142857	0	1395	1427	1158	558	358	439	0
Bri3	762.000000	0	1605	1529	1187	333	342	338	0
Clip3	761.142857	0	825	752	393	1089	1173	1096	0
Iffo1	760.571429	0	1476	1181	837	616	613	601	0
Usp53	758.000000	0	1293	1374	1112	486	671	370	0
Maml3	757.571429	182	1466	1415	953	377	418	492	0
Star	757.142857	0	1761	1736	1323	137	163	180	0
Mfsd13b	754.857143	0	1745	1656	1207	241	265	170	0
Cdr2	754.857143	0	1745	1656	1207	241	265	170	0
Shisal1	754.428571	0	1094	1219	800	761	679	728	0
Ntmt1	753.285714	0	1349	1159	856	578	755	576	0
Fnip2	752.428571	0	1398	1340	856	622	520	531	0
Pld1	752.142857	0	1472	1630	907	379	526	351	0
Golm1	750.142857	0	1324	1362	893	394	696	582	0
Tbc1d1	749.571429	0	1297	1155	814	576	618	787	0
Rab35	749.285714	0	1322	1307	819	716	625	456	0
Cbarp	748.428571	0	1178	1032	893	554	920	662	0
Atp5d	748.428571	0	1178	1032	893	554	920	662	0
Vamp4	748.000000	0	1329	1449	822	441	684	511	0
Vdac1	746.714286	0	1214	1348	1010	544	692	419	0
Txndc16	745.428571	0	1256	1272	773	567	703	647	0
Gpr137c	745.428571	0	1256	1272	773	567	703	647	0
Setd7	744.857143	0	1428	1405	879	503	678	321	0
Slc31a2	743.714286	0	1695	1533	1168	286	261	263	0
Yif1a	742.428571	0	1374	1269	852	552	690	460	0
Tmem151a	742.428571	0	1374	1269	852	552	690	460	0
Crtc1	741.571429	0	1258	1170	1067	544	591	561	0
Prr14l	741.000000	0	1168	1116	794	629	704	776	0
Pan2	740.857143	0	913	1095	626	770	970	812	0
Hmgcs1	740.714286	0	1413	1250	906	589	470	557	0
Rnd3	738.000000	0	1136	1164	909	527	696	734	0
Myadm	738.000000	0	1490	1193	1115	518	475	375	0
Itsn1	738.000000	0	1032	971	697	888	858	720	0
Cryzl1	738.000000	0	1032	971	697	888	858	720	0
Luc7l2	735.714286	0	1170	868	691	925	719	777	0
Jup	735.714286	0	676	523	361	1264	1234	1092	0
Endou	734.000000	0	1621	1463	1115	383	300	256	0
Fosl2	732.714286	0	940	1059	662	713	945	810	0
Lyrm9	732.285714	0	1481	1631	1221	295	271	227	0
Wdfy1	731.285714	0	969	1265	928	480	763	714	0
Coro1b	731.000000	0	1710	1654	1103	180	250	220	0
Zyx	730.000000	0	1068	893	728	688	944	789	0
Btrc	729.142857	0	985	1239	797	568	877	638	0
Aif1l	728.857143	0	1369	1392	1149	360	444	388	0
Echdc3	728.142857	0	988	1030	636	697	775	971	0
Smc6	727.857143	0	1261	1302	805	457	653	617	0
Gen1	727.857143	0	1261	1302	805	457	653	617	0
Srrm2	723.714286	0	1295	1235	891	523	584	538	0
Ptprcap	723.428571	0	1710	1654	1103	159	250	188	0
Plk2	722.571429	0	967	853	605	1021	804	808	0
Smim5	722.285714	0	1637	1520	1017	372	225	285	0
Yod1	720.428571	0	734	810	653	999	883	964	0
Pfkfb2	720.428571	0	734	810	653	999	883	964	0
Alcam	720.285714	0	1184	1281	1034	529	493	521	0
Dnaja1	719.428571	0	1237	1310	760	463	681	585	0
Trp53i11	718.571429	0	1236	1118	864	448	683	681	0
Spty2d1	718.428571	0	1098	1089	968	589	699	586	0
Hspb8	718.142857	0	1420	1385	904	247	608	463	0
Amer1	718.142857	0	1447	1263	807	480	449	581	0
Arf3	717.857143	0	1108	1136	862	637	680	602	0
Ap2a1	717.000000	0	1105	960	742	674	797	741	0
Cirbp	716.714286	0	1223	1272	1076	466	519	461	0
9530068E07Rik	716.571429	0	1066	1039	769	669	780	693	0
Chrac1	716.000000	0	1300	1254	995	408	524	531	0
Tfdp2	715.714286	0	1305	1374	695	352	610	674	0
Mettl27	715.714286	0	964	951	657	806	935	697	0
Gsn	712.714286	0	1024	1082	716	773	754	640	0
Ndst1	711.571429	0	1322	1401	923	595	374	366	0
Strn3	710.285714	0	1169	1117	1164	505	508	509	0
Ap4s1	710.285714	0	1169	1117	1164	505	508	509	0
Pip4p2	705.285714	0	1311	971	817	650	761	427	0
Fam162a	705.285714	0	1301	1200	803	491	594	548	0
Ccdc58	705.285714	0	1301	1200	803	491	594	548	0
Tle6	703.285714	0	1486	1260	884	353	477	463	0
Ip6k2	703.285714	0	855	802	571	806	961	928	0
Mob2	702.714286	0	1644	1483	1232	259	220	81	0
Mageb3	702.714286	72	1143	1192	720	461	672	659	0
Ctdspl2	702.714286	72	1143	1192	720	461	672	659	0
Ncf2	702.285714	0	1535	1477	1039	364	258	243	0
Vcpkmt	701.857143	0	1256	1329	1010	304	552	462	0
Ntng2	701.857143	0	1388	1470	1039	273	398	345	0
Schip1	701.571429	0	1338	1414	1068	398	308	385	0
Atp8b1	700.857143	0	1152	1334	1027	305	475	613	0
Myo18a	700.428571	0	1271	1262	891	475	502	502	0
Oga	698.142857	0	1230	1168	734	546	571	638	0
Zbtb21	696.857143	0	1134	1233	644	604	770	493	0
Ezh1	695.571429	0	987	941	534	779	843	785	0
Appbp2	695.571429	0	1405	1382	846	451	459	326	0
Hspe1	695.428571	0	839	1041	721	708	790	769	0
Hspd1	695.428571	0	839	1041	721	708	790	769	0
Cebpb	695.428571	0	908	927	750	646	911	726	0
Cox5a	693.285714	0	1121	1099	699	672	665	597	0
Mettl6	693.142857	0	979	1043	739	585	782	724	0
Eaf1	693.142857	0	979	1043	739	585	782	724	0
Nck1	691.857143	0	1541	1402	1106	257	310	227	0
Ift57	691.857143	0	1270	1238	759	620	478	478	0
Ppia	691.714286	0	1062	1169	732	662	640	577	0
Shoc2	689.285714	0	921	1176	739	525	780	684	0
Bbip1	689.285714	0	921	1176	739	525	780	684	0
Synpo	688.714286	197	1156	1186	916	388	586	392	0
0610009B22Rik	688.142857	0	1097	1243	719	694	524	540	0
Zkscan6	687.714286	0	1031	1078	662	556	851	636	0
Rab3a	686.857143	0	1242	1079	870	415	621	581	0
Pdk1	685.142857	0	1125	1221	822	474	576	578	0
H2-T24	683.714286	89	1311	1417	948	257	443	321	0
Pnkd	683.571429	0	908	962	737	487	821	870	0
Aamp	683.571429	0	908	962	737	487	821	870	0
Nvl	683.428571	0	776	1278	792	635	618	685	0
2310033P09Rik	683.428571	0	931	1119	593	557	804	780	0
Hes2	683.000000	0	866	715	534	994	863	809	0
Espn	683.000000	0	866	715	534	994	863	809	0
Naxd	682.428571	0	815	829	624	798	1042	669	0
Tbxa2r	680.000000	0	1292	1596	970	251	316	335	0
Dhx35	679.857143	0	1218	1050	765	598	606	522	0
Bmt2	679.571429	0	1019	802	769	706	690	771	0
Sh2d3c	676.714286	0	1166	1190	865	585	542	389	0
Nptn	675.571429	0	1142	1106	1009	363	539	570	0
Pofut2	675.428571	0	1081	1131	715	636	589	576	0
Rasd1	674.571429	0	1214	1070	829	539	540	530	0
Zbtb7c	674.428571	0	1148	1095	1109	444	449	476	0
Ier2	674.428571	0	1263	1149	710	474	647	478	0
Hcar1	671.857143	0	1109	1261	814	484	565	470	0
Ephb1	671.428571	0	1220	1227	722	450	645	436	0
Noct	671.142857	0	1747	1599	1198	0	154	0	0
Slc9a3r2	670.857143	0	1200	1210	859	411	573	443	0
Med14	669.857143	0	932	1136	754	512	632	723	0
Hnrnpl	669.571429	0	844	814	638	508	855	1028	0
Bnip3	669.285714	0	915	903	884	549	802	632	0
Phldb2	668.285714	0	1261	1360	926	317	453	361	0
Gsr	665.571429	0	745	796	623	822	940	733	0
Zfp146	664.571429	0	948	934	676	650	699	745	0
Tnfrsf1a	664.285714	0	1026	950	839	582	622	631	0
Tmbim1	663.571429	0	1143	1228	787	449	559	479	0
Niban1	663.428571	0	1379	1279	910	326	401	349	0
Tbc1d10a	662.714286	0	1091	945	726	434	807	636	0
Eif5a	661.571429	0	1348	1195	923	334	458	373	0
Ddx11	661.428571	0	1293	1170	893	438	469	367	0
Tomm40l	661.000000	0	1256	1298	765	417	498	393	0
Apoa2	661.000000	0	1256	1298	765	417	498	393	0
Nphs2	659.428571	0	1394	1480	1041	258	177	266	0
Hhat	658.428571	0	1111	1079	674	489	709	547	0
Sema6a	658.000000	0	1001	1141	618	389	669	788	0
Gzmk	657.714286	0	1487	1265	975	225	288	364	0
Klhl2	657.571429	0	1082	1042	619	542	731	587	0
Dab2	657.142857	0	1213	1095	727	427	644	494	0
Pxdc1	656.142857	0	1143	1039	630	557	691	533	0
Hsd11b2	655.714286	0	1355	1232	1052	257	335	359	0
Osbpl5	652.428571	0	1163	1141	852	450	572	389	0
Cdc14a	652.000000	0	1435	1323	930	326	265	285	0
Filip1	650.142857	0	1177	1167	954	340	392	521	0
Scaf8	649.714286	0	1131	1365	969	350	465	268	0
Adm	648.857143	0	1412	1294	961	255	367	253	0
Akt2	647.571429	0	1387	1104	857	378	479	328	0
Wipf3	646.285714	0	1338	1343	1048	173	280	342	0
Cyb561d1	646.000000	0	1334	1598	946	187	258	199	0
Rab6a	645.714286	0	1002	952	689	726	589	562	0
Inppl1	644.857143	371	1368	1191	909	133	335	207	0
Ext1	644.428571	0	1400	1441	1071	215	245	139	0
Tef	643.857143	0	1220	1225	884	245	458	475	0
Pccb	643.571429	0	1248	1146	915	439	328	429	0
Tmem204	643.285714	0	1175	1148	886	515	401	378	0
Sos1	642.857143	0	1095	1072	992	399	415	527	0
Mrnip	640.428571	0	1071	1005	903	646	439	419	0
Nus1	640.285714	0	1076	1159	729	528	500	490	0
Mrpl58	639.285714	0	1552	1745	1178	0	0	0	0
Tnk2	638.714286	0	1377	1139	1119	326	290	220	0
Epn3	637.857143	0	1234	1317	988	248	316	362	0
Hscb	636.000000	0	1162	1229	695	404	412	550	0
Chek2	636.000000	0	1162	1229	695	404	412	550	0
Itga3	634.285714	0	1275	1306	1063	246	313	237	0
Dffa	633.428571	0	1428	1341	978	249	181	257	0
Midn	632.857143	0	653	769	693	765	769	781	0
Ssx2ip	632.428571	0	895	910	600	656	761	605	0
Per2	630.571429	0	977	1134	618	561	615	509	0
Eef1akmt1	630.142857	0	1009	1065	714	373	702	548	0
Kmt2e	629.857143	0	919	1046	818	546	578	502	0
Rfc2	629.714286	0	1361	1239	779	330	277	422	0
Mov10	629.000000	0	1139	1038	766	385	596	479	0
Hspa4	628.857143	0	1101	1473	854	345	273	356	0
Kdm4a	628.571429	0	1202	1318	857	415	395	213	0
Rprd1a	627.714286	0	1188	1010	862	366	504	464	0
Ucp2	625.857143	0	1086	996	592	532	558	617	0
Prdx3	625.857143	0	1516	1567	918	159	147	74	0
Fbxo28	625.571429	0	1122	1187	774	369	497	430	0
Serpinf2	624.857143	0	1416	1488	924	121	214	211	0
Gpi1	623.857143	0	1017	996	750	533	660	411	0
