Target_genes	Irf8|Average	SRX1091122|B_cells	SRX1091123|B_cells	SRX1091124|B_cells	SRX8994281|B_cells	SRX8994282|B_cells	SRX8994283|B_cells	SRX8994284|B_cells	SRX172328|CD4+_T_cells	SRX172329|CD4+_T_cells	DRX026000|Common_dendritic_cell_progenitor	DRX049475|Common_dendritic_cell_progenitor	DRX025997|Common_monocyte_progenitors	SRX14466997|Dendritic_Cells	SRX3380965|Dendritic_Cells	SRX3380966|Dendritic_Cells	SRX3380967|Dendritic_Cells	SRX3380968|Dendritic_Cells	SRX3380969|Dendritic_Cells	SRX3380970|Dendritic_Cells	SRX391769|Dendritic_Cells	SRX391770|Dendritic_Cells	SRX391771|Dendritic_Cells	SRX742830|Dendritic_Cells	SRX8241994|Dendritic_Cells	SRX8241995|Dendritic_Cells	SRX956767|Dendritic_Cells	DRX025996|Granulocytic-monocytic_progenitors	SRX5056008|Hematopoietic_progenitors	SRX5056009|Hematopoietic_progenitors	DRX025998|Macrophage-dendritic_cell_progenitor	DRX083360|Macrophage-dendritic_cell_progenitor	DRX083361|Macrophage-dendritic_cell_progenitor	DRX111908|Macrophages	SRX1072349|Macrophages	SRX1583880|Macrophages	SRX1583881|Macrophages	SRX1583882|Macrophages	SRX498816|Macrophages	SRX498817|Macrophages	SRX498818|Macrophages	SRX498819|Macrophages	SRX498820|Macrophages	SRX498821|Macrophages	SRX8241996|Monocytes	SRX8241997|Monocytes	SRX14466989|Plasmacytoid_dendritic_cells	SRX742831|Plasmacytoid_dendritic_cells	SRX956775|Plasmacytoid_dendritic_cells	SRX5507840|Spleen_and_lymph_nodes	SRX5507841|Spleen_and_lymph_nodes	SRX2359705|Thymic_epithelial_cells	SRX2359706|Thymic_epithelial_cells	SRX155383|Tot2	DRX025999|Unclassified	DRX049470|Unclassified	DRX049471|Unclassified	STRING
H2-Q9	817.482143	185	240	0	346	338	355	281	0	0	0	180	482	1467	1785	1501	1447	1543	1957	1714	2021	0	2189	695	690	964	763	0	0	0	682	686	566	543	476	2656	2472	1636	2833	3138	2517	432	1387	821	677	714	0	864	205	331	871	0	0	129	0	0	0	0
H2-Q7	817.482143	185	240	0	346	338	355	281	0	0	0	180	482	1467	1785	1501	1447	1543	1957	1714	2021	0	2189	695	690	964	763	0	0	0	682	686	566	543	476	2656	2472	1636	2833	3138	2517	432	1387	821	677	714	0	864	205	331	871	0	0	129	0	0	0	0
Pou2f2	803.214286	0	0	0	315	485	348	352	0	0	0	219	364	1678	1177	1114	737	962	1207	780	2285	0	2070	391	596	792	895	0	0	0	572	916	449	518	243	2533	2731	2189	3256	3205	2397	1580	1563	1522	853	791	385	669	625	207	722	0	0	287	0	0	0	0
Tut4	765.303571	0	163	0	224	241	294	187	0	0	0	320	511	817	896	683	1048	924	1167	1093	2171	0	2418	549	685	733	820	0	0	0	946	1176	789	0	187	2666	2350	1823	3056	2641	2171	2258	1909	1556	880	1144	250	349	205	122	280	0	0	155	0	0	0	0
Mnt	760.732143	0	287	0	286	369	303	131	0	0	0	199	360	923	860	911	1109	1072	1239	1137	2124	0	2253	390	560	768	656	0	174	0	692	1173	702	532	103	2496	2721	1945	3160	2870	2083	1743	1530	1191	818	880	201	433	406	216	346	0	0	249	0	0	0	0
Erap1	757.250000	414	277	191	288	277	233	212	0	0	0	135	132	710	1783	1801	1747	1561	2006	1714	2398	0	2848	348	554	495	575	0	134	453	294	459	392	365	420	1491	1633	1372	2348	2775	1651	1376	1782	888	602	741	231	587	332	392	833	0	0	156	0	0	0	0
Zfp943	755.517857	217	307	0	250	208	196	238	0	0	0	0	479	1510	1185	1210	1121	1142	1655	1553	2293	0	2504	527	874	640	713	0	0	254	446	887	362	404	497	1831	1777	1212	2914	2979	1752	1399	1187	892	780	833	737	476	300	445	918	0	0	205	0	0	0	0
Zfp942	755.517857	217	307	0	250	208	196	238	0	0	0	0	479	1510	1185	1210	1121	1142	1655	1553	2293	0	2504	527	874	640	713	0	0	254	446	887	362	404	497	1831	1777	1212	2914	2979	1752	1399	1187	892	780	833	737	476	300	445	918	0	0	205	0	0	0	0
Pltp	750.446429	0	0	0	0	0	0	0	0	0	0	0	0	3949	1946	1756	1823	1869	2109	2185	2198	0	1923	2824	356	508	616	0	0	0	290	330	161	266	178	1574	1310	885	1980	2325	1633	992	1092	691	397	331	1112	1918	222	0	0	0	0	276	0	0	0	0
Zfp944	747.160714	248	352	0	176	303	294	164	0	0	0	0	431	1527	1245	1106	978	1227	1711	1235	2264	0	2537	440	746	733	675	0	0	144	537	864	486	329	399	2062	1825	1244	2895	2954	1706	1209	1209	880	666	1097	817	490	347	363	747	0	0	179	0	0	0	0
Zfp758	747.160714	248	352	0	176	303	294	164	0	0	0	0	431	1527	1245	1106	978	1227	1711	1235	2264	0	2537	440	746	733	675	0	0	144	537	864	486	329	399	2062	1825	1244	2895	2954	1706	1209	1209	880	666	1097	817	490	347	363	747	0	0	179	0	0	0	0
Ccl6	744.500000	205	296	0	0	153	0	151	0	0	0	135	276	865	538	511	565	459	784	681	2743	0	2641	215	811	646	1003	0	0	394	463	686	788	303	121	2038	2527	1787	3304	3066	2417	1972	2627	2620	656	738	206	405	498	0	0	0	0	398	0	0	0	0
Usf1	736.607143	0	220	0	261	191	138	279	0	0	0	219	375	646	1210	1024	1119	1089	1387	1272	1905	0	2100	280	462	491	702	0	0	138	686	799	601	391	339	2326	2212	1945	2788	2678	1973	1897	2105	1536	662	813	263	491	244	112	495	0	0	386	0	0	0	0
Entpd1	730.535714	0	0	0	0	0	0	0	0	0	0	326	296	1404	1406	1017	951	1098	1455	1257	2735	0	2568	397	826	744	724	0	0	0	764	874	832	145	136	2256	2431	2241	3112	2920	2019	962	749	444	771	959	665	483	438	0	0	0	0	505	0	0	0	0
Ptpn12	724.375000	0	0	0	0	0	0	0	0	0	0	84	571	1595	2235	1947	2044	2298	2221	2276	1794	0	1471	416	491	412	604	0	0	0	437	660	506	337	0	2229	1762	1851	3167	2705	1680	943	786	684	407	403	256	763	195	0	129	0	0	206	0	0	0	0
Gbp7	717.875000	0	0	0	167	186	159	157	0	0	0	0	310	701	2189	2048	1982	2051	2414	2316	1635	0	1396	841	225	282	604	0	0	315	253	418	250	902	135	1493	1257	1493	2907	2224	1667	1902	1808	1334	234	412	133	869	0	124	252	0	0	156	0	0	0	0
Kynu	712.732143	0	159	0	233	205	118	136	0	0	0	307	514	834	1011	907	999	1085	1437	924	2221	0	2441	412	593	612	839	0	0	0	738	1036	813	293	116	2480	2240	1481	3313	2842	1865	1721	1164	862	781	940	220	550	249	0	0	0	0	222	0	0	0	0
H2-Q8	707.178571	232	327	0	249	175	180	179	0	0	0	0	497	1228	1460	1404	1136	1248	1853	1589	1805	0	1696	630	718	890	799	0	0	0	601	680	472	429	351	2317	1954	1199	2609	3077	2203	474	1046	671	583	685	0	410	0	369	902	0	0	275	0	0	0	0
H2-Q6	707.178571	232	327	0	249	175	180	179	0	0	0	0	497	1228	1460	1404	1136	1248	1853	1589	1805	0	1696	630	718	890	799	0	0	0	601	680	472	429	351	2317	1954	1199	2609	3077	2203	474	1046	671	583	685	0	410	0	369	902	0	0	275	0	0	0	0
H2-Q4	706.964286	0	191	0	193	176	129	211	0	0	0	200	151	818	1507	1112	1155	1079	1738	1237	1842	0	2187	329	487	633	511	0	0	237	438	457	534	771	292	2445	2164	1315	2870	3103	1882	1446	1608	1106	530	448	312	428	214	367	496	0	0	241	0	0	0	0
Parp8	695.250000	0	0	0	276	277	322	291	0	0	0	296	538	1378	1531	1493	1425	1534	1497	1682	1899	0	2080	446	631	765	685	0	0	0	838	803	692	180	214	1665	1604	1027	2477	2273	1055	1664	1170	620	1018	1022	249	645	254	0	147	0	0	271	0	0	0	0
Lbr	686.892857	0	0	0	0	0	0	0	0	0	0	204	348	2289	1419	1161	1193	1428	1672	1454	2301	0	2194	691	586	707	860	0	0	217	558	666	451	219	0	2084	2032	1321	2997	2558	1567	1069	738	458	547	774	316	582	326	0	185	0	0	294	0	0	0	0
Cib2	684.767857	0	0	0	0	0	0	0	0	0	0	137	442	1292	1695	1327	1284	1382	1891	1606	2525	0	2579	288	713	918	749	0	0	0	672	750	519	129	67	2099	1884	1705	2998	2595	1732	264	548	258	721	876	495	550	345	0	0	0	0	312	0	0	0	0
H2aw	681.892857	0	0	0	0	126	0	0	0	0	0	0	120	2375	2374	2145	2329	2223	2417	2372	1581	0	1476	1044	398	516	628	0	0	0	265	363	282	0	0	1614	1314	1246	2480	2052	2113	670	767	778	163	290	281	704	174	118	223	0	0	165	0	0	0	0
Osbpl3	681.267857	0	0	0	0	0	0	0	0	0	0	0	276	736	1688	1552	1467	1573	1975	1700	1548	0	1142	592	422	428	666	0	0	0	246	326	232	356	0	2141	2034	1361	2708	3024	2275	2277	2369	1974	294	235	0	385	0	0	0	0	0	149	0	0	0	0
Trim17	675.803571	0	0	0	0	126	0	0	0	0	0	0	120	2375	2374	2145	2329	2223	2417	2372	1581	0	1476	1044	398	516	628	0	0	0	265	363	282	0	0	1614	1314	1246	2480	2052	2113	670	767	778	163	290	281	704	174	0	0	0	0	165	0	0	0	0
H3f4	675.803571	0	0	0	0	126	0	0	0	0	0	0	120	2375	2374	2145	2329	2223	2417	2372	1581	0	1476	1044	398	516	628	0	0	0	265	363	282	0	0	1614	1314	1246	2480	2052	2113	670	767	778	163	290	281	704	174	0	0	0	0	165	0	0	0	0
Hipk2	672.982143	0	0	0	0	0	107	0	0	0	0	180	304	868	881	975	1140	919	1113	1070	1901	0	1768	412	561	572	495	0	0	129	385	679	339	454	189	2519	2354	1538	3244	3144	1882	2317	1754	1257	762	994	0	254	0	0	0	0	0	227	0	0	0	0
Klf6	666.053571	0	259	0	277	182	347	261	0	0	0	207	276	416	1559	1415	1538	1549	1667	1835	2108	0	2277	0	674	501	765	0	0	0	274	696	415	194	0	1529	1338	1579	2777	2403	1484	1328	1159	920	528	633	0	411	343	279	690	0	0	206	0	0	0	0
Csgalnact2	664.303571	0	0	0	0	0	0	0	0	0	0	219	531	1291	1609	1341	1314	1433	1887	1878	2077	0	2242	374	498	490	687	0	0	0	599	728	552	232	237	1870	1888	1462	2998	2547	2065	571	406	293	549	620	346	431	295	101	291	0	0	249	0	0	0	0
Clic5	654.910714	0	165	272	784	893	575	432	0	378	0	229	398	1556	1464	1252	1227	1336	1545	1242	1562	0	2044	175	719	517	94	0	0	0	1016	1190	1329	0	382	1419	1253	2891	773	2181	1957	0	216	361	926	658	585	258	300	0	0	0	0	121	0	0	0	0
Psmb8	653.107143	0	0	0	143	205	206	198	0	0	0	135	377	1216	1495	1273	1152	1438	1742	1460	1963	0	2336	262	432	521	771	0	0	183	475	471	349	221	208	1668	1638	1838	2427	2071	1328	987	1175	1004	522	470	418	677	373	127	432	0	0	187	0	0	0	0
Pdlim2	649.857143	0	0	0	212	164	155	209	0	0	0	0	0	3047	1373	992	1138	1037	1544	1292	1353	0	1609	1721	276	454	398	0	0	118	144	305	345	604	213	1936	1703	734	2492	2487	1536	1471	1356	861	220	231	492	1332	158	131	549	0	0	0	0	0	0	0
Tcp1	647.696429	0	0	0	0	166	0	0	0	0	0	0	235	759	1232	1113	1087	884	1568	1391	1756	0	2033	319	441	690	479	0	0	0	354	628	314	129	0	2391	2294	1568	2989	3227	2452	1527	1329	1277	556	442	0	308	0	0	149	0	0	184	0	0	0	0
Cybc1	647.232143	0	189	0	218	185	0	224	0	0	0	172	407	1159	883	676	870	787	1201	767	1964	0	1913	394	437	480	875	0	0	163	505	821	498	407	237	2151	2183	1255	2448	2495	1745	1577	1503	1251	570	600	418	465	319	166	364	0	0	303	0	0	0	0
Lpxn	643.625000	0	0	0	0	136	0	0	0	0	0	0	282	567	756	589	705	650	764	795	1878	0	2029	291	444	444	474	0	0	0	388	639	541	208	140	2596	2438	1595	3049	2895	2038	2703	1968	1563	684	959	138	203	195	0	124	0	0	175	0	0	0	0
Macir	642.821429	0	0	0	333	403	224	405	0	0	0	0	195	1802	1280	1019	1130	948	1411	1302	1927	0	2025	1034	287	337	540	0	0	0	255	504	385	314	373	1914	1965	1366	2873	2528	1800	973	755	691	309	503	564	789	272	0	65	0	0	198	0	0	0	0
Trafd1	622.482143	0	156	0	0	0	0	0	0	282	0	0	169	1432	2228	2032	1978	1980	2301	1999	1708	0	1270	737	637	528	766	0	0	0	225	334	278	371	0	1259	916	1702	2178	1933	1872	257	752	1125	392	286	0	622	0	0	71	0	0	83	0	0	0	0
Tlr4	622.428571	0	0	0	271	286	317	341	0	0	0	0	120	1474	937	1039	944	730	1323	979	1572	0	1747	688	289	230	424	0	0	0	254	393	228	722	83	2036	1733	1736	2690	2611	1780	1618	1241	909	362	375	322	804	204	293	567	0	0	184	0	0	0	0
Mrpl16	615.910714	0	0	0	323	0	198	199	0	0	0	0	276	830	936	617	758	775	1008	835	1712	0	1873	580	245	327	398	0	0	0	352	446	229	534	187	2229	1823	1360	3034	2925	2002	2425	1696	1408	436	463	0	383	289	89	79	0	0	212	0	0	0	0
Pik3c2a	614.910714	0	0	0	0	0	0	0	0	0	0	222	182	2667	2191	1966	1747	2097	2306	2308	1831	0	1723	1329	532	646	582	0	0	0	264	408	202	217	0	896	1066	685	1520	1749	1515	270	443	275	319	294	468	928	0	113	474	0	0	0	0	0	0	0
Kcna3	614.071429	0	0	0	202	319	262	116	0	0	0	0	109	460	1407	1154	1504	1554	1917	1697	1182	0	1615	399	178	275	413	0	0	0	346	360	161	215	0	1494	1614	784	2836	2832	1750	2084	2068	1523	279	411	158	292	183	0	132	0	0	103	0	0	0	0
Mpeg1	612.928571	0	0	0	131	160	164	79	0	0	0	202	489	1534	1137	999	1080	1213	1349	1420	2053	0	2261	648	536	546	757	0	0	0	829	873	524	0	199	1478	1409	1384	2512	1991	1564	682	627	507	430	545	472	587	390	0	242	0	0	321	0	0	0	0
Necap1	612.214286	0	0	0	271	161	0	180	0	0	0	0	222	529	1323	845	841	1226	1393	1031	1331	0	1617	355	177	336	352	0	0	127	355	505	393	378	0	1929	1870	1514	3118	2749	1942	1897	1810	1311	364	429	227	359	208	211	398	0	0	0	0	0	0	0
Cnot8	609.410714	0	0	0	0	0	0	0	0	0	0	0	158	769	1374	1197	1090	1229	1485	1496	1687	0	1372	500	201	0	580	0	0	223	213	432	319	394	163	1948	2130	1208	2594	2813	1380	2113	2005	1517	316	243	171	448	0	0	148	0	0	211	0	0	0	0
Gm12248	606.767857	0	0	0	0	0	0	0	0	0	0	0	158	769	1374	1197	1090	1229	1485	1496	1687	0	1372	500	201	0	580	0	0	223	213	432	319	394	163	1948	2130	1208	2594	2813	1380	2113	2005	1517	316	243	171	448	0	0	0	0	0	211	0	0	0	0
Parp11	602.232143	0	0	0	299	281	185	120	0	0	0	213	265	1342	1740	1505	1536	1417	1906	1589	2160	0	2114	240	695	744	597	0	0	0	588	826	551	0	0	1153	1332	1223	2130	2421	1203	213	131	219	682	762	144	536	282	0	128	0	0	253	0	0	0	0
Nckap1	596.392857	0	0	0	205	177	219	185	0	0	0	169	215	633	934	706	796	662	1025	866	1584	0	1820	604	342	251	520	0	0	77	321	519	395	286	0	2303	2130	1461	2602	2662	2033	1646	1594	1350	547	365	223	466	253	0	0	0	0	252	0	0	0	0
Btla	592.982143	0	0	0	281	244	322	156	0	0	0	356	485	2248	1409	1250	1265	1431	1649	1423	2570	0	2458	513	734	734	912	0	0	0	633	940	708	0	0	352	397	538	1490	1301	1270	221	347	197	945	1054	674	637	500	0	154	0	0	409	0	0	0	0
Filip1l	590.875000	0	0	0	242	191	207	240	0	0	0	0	345	1252	1571	1390	1519	1625	1843	1605	1576	0	1453	891	307	440	541	0	0	0	370	434	279	157	160	1315	1147	1069	2401	2485	1831	243	596	326	428	491	479	752	340	131	417	0	0	0	0	0	0	0
Ripor2	579.821429	0	0	0	174	134	136	166	0	0	0	120	315	1201	1602	1265	1503	1427	1733	1555	1757	0	1851	150	345	443	851	0	0	0	367	457	372	244	0	1847	1628	1429	2808	1915	1724	236	220	310	310	501	221	426	331	0	163	0	0	233	0	0	0	0
Ankrd45	564.428571	0	0	0	124	0	0	0	0	0	0	0	0	2753	2907	2665	2643	2688	2733	2997	2219	0	1927	1827	469	512	780	0	0	0	160	101	0	0	0	284	0	0	632	270	443	0	0	0	125	255	453	1266	134	0	0	0	0	241	0	0	0	0
Tmem50a	551.839286	0	0	0	0	0	0	0	0	0	0	259	495	705	697	668	614	738	862	689	1857	0	1738	0	760	601	713	0	0	0	669	944	518	140	112	2346	1966	1785	2948	2658	1741	482	508	269	592	892	191	255	236	0	0	0	0	255	0	0	0	0
En2	542.714286	0	0	0	0	0	0	0	0	0	0	149	401	606	1003	900	797	1017	1388	885	1841	0	2004	248	399	293	555	0	0	0	379	823	474	0	0	1788	2109	1437	2974	2723	1496	487	786	551	579	599	197	265	239	0	0	0	0	0	0	0	0	0
Erlin1	540.178571	0	0	0	0	0	0	0	0	0	0	0	272	820	1353	1101	1142	1151	1876	1593	1900	0	1440	396	1003	1142	740	0	0	0	278	531	312	0	0	1141	1003	1119	2322	1877	2280	429	411	762	430	340	184	511	120	0	0	0	0	271	0	0	0	0
Map3k1	538.839286	0	0	0	206	191	291	162	0	0	0	0	0	217	823	593	684	721	909	830	1372	0	1464	238	0	416	276	0	0	0	360	340	252	251	107	2036	1802	924	2646	2986	1980	2278	1793	1588	407	222	0	176	182	98	354	0	0	0	0	0	0	0
Gsap	533.464286	0	0	0	0	0	0	0	0	0	0	160	353	555	1558	1452	1066	1322	1648	1607	1101	0	947	298	221	216	453	0	0	0	442	577	363	167	111	2039	1833	1245	2491	2521	1855	463	890	679	459	384	0	256	0	0	0	0	0	142	0	0	0	0
Mpp6	531.428571	0	0	0	0	0	0	0	0	0	0	0	222	986	1386	1187	1334	1547	1735	1855	1641	0	1344	315	376	515	612	0	0	0	354	601	294	142	0	1270	1461	976	2553	2361	1419	453	610	221	408	499	191	448	0	0	267	0	0	177	0	0	0	0
Rxfp4	529.446429	0	0	0	147	0	0	0	0	0	0	0	157	2137	1662	1675	1652	1697	1628	1673	1623	0	1472	1150	375	227	488	0	0	0	197	479	345	171	104	1100	1146	746	1718	1960	1014	358	321	237	284	241	446	491	0	143	262	0	0	123	0	0	0	0
Zfp91	528.446429	0	0	0	0	0	0	0	0	0	0	0	0	567	595	589	705	650	764	795	598	0	341	265	444	324	182	0	0	0	0	0	0	0	0	2596	2438	1595	3049	2895	2038	2703	1968	1563	684	959	0	162	0	0	124	0	0	0	0	0	0	0
Sap30bp	527.142857	0	0	0	979	886	1027	778	0	0	0	0	0	1457	1334	1276	1124	1392	1682	1395	1306	0	1570	851	0	0	430	0	0	0	191	296	181	562	244	881	941	1002	2314	1463	1253	0	0	0	244	340	413	918	278	201	311	0	0	0	0	0	0	0
Recql5	527.142857	0	0	0	979	886	1027	778	0	0	0	0	0	1457	1334	1276	1124	1392	1682	1395	1306	0	1570	851	0	0	430	0	0	0	191	296	181	562	244	881	941	1002	2314	1463	1253	0	0	0	244	340	413	918	278	201	311	0	0	0	0	0	0	0
Arhgap45	517.303571	0	0	0	192	264	191	157	0	0	0	0	0	861	1696	1177	1636	1761	2018	1809	1213	0	1219	345	480	552	476	0	0	0	182	191	0	206	137	1567	1437	885	1628	1948	1245	775	808	455	159	181	0	532	0	91	495	0	0	0	0	0	0	0
Vps51	515.071429	0	0	0	0	0	0	0	0	0	0	0	0	408	1945	1714	1515	1912	1992	1816	1395	0	1857	247	267	382	383	0	0	0	229	342	210	180	0	977	774	1635	2459	2700	2022	129	0	288	227	331	0	232	0	0	120	0	0	156	0	0	0	0
Il18	515.000000	0	0	0	0	0	0	0	0	0	0	272	387	917	1092	958	811	1002	1375	1098	2137	0	2140	116	571	658	617	0	0	0	424	902	537	0	141	1165	1330	911	2040	1915	1341	306	528	252	486	477	587	336	472	101	154	0	0	284	0	0	0	0
Bco2	515.000000	0	0	0	0	0	0	0	0	0	0	272	387	917	1092	958	811	1002	1375	1098	2137	0	2140	116	571	658	617	0	0	0	424	902	537	0	141	1165	1330	911	2040	1915	1341	306	528	252	486	477	587	336	472	101	154	0	0	284	0	0	0	0
Slc15a3	514.160714	0	0	0	0	0	0	0	0	0	0	0	144	1875	1065	1163	1114	1079	1608	1260	1525	0	1308	720	306	468	479	0	0	0	478	599	230	364	0	1350	831	1269	2497	1628	1298	601	660	482	347	480	512	551	151	0	163	0	0	188	0	0	0	0
Clspn	512.357143	0	215	0	0	0	0	0	0	0	0	0	602	891	287	247	294	335	419	229	1826	0	1868	126	185	232	606	0	0	174	760	861	652	0	120	2374	2147	1229	3015	2791	1419	1418	905	435	395	461	265	250	319	0	249	0	0	91	0	0	0	0
Phf14	510.071429	0	0	0	102	0	0	102	0	0	0	0	144	1251	980	1131	1061	880	1390	1011	1929	0	2107	331	517	677	322	0	0	121	327	409	209	313	233	970	1288	763	2212	2250	1177	607	540	534	492	564	0	479	150	281	568	0	0	142	0	0	0	0
Phf11b	504.446429	0	0	0	92	146	0	0	0	0	0	0	0	1116	1663	1372	1330	1298	1619	1366	2391	0	1376	309	741	832	1045	0	0	0	0	182	207	0	0	284	400	734	1047	1873	2435	197	723	2264	0	0	0	495	261	0	99	0	0	352	0	0	0	0
