Target_genes	Gata3|Average	SRX018103|CD4+_T_cells	SRX092582|CD4+_T_cells	SRX092583|CD4+_T_cells	SRX1144904|CD4+_T_cells	SRX1144905|CD4+_T_cells	SRX018101|CD4_CD8_double_negative_cells	SRX091676|CD4_CD8_double_negative_cells	SRX091677|CD4_CD8_double_negative_cells	SRX018102|CD4_CD8_double_positive_cells	SRX077028|CD4_CD8_double_positive_cells	SRX091678|CD4_CD8_double_positive_cells	SRX018104|CD8+_T_cells	SRX077029|CD8+_T_cells	SRX7821124|Hematopoietic_progenitors	SRX7821125|Hematopoietic_progenitors	SRX7821126|Hematopoietic_progenitors	SRX8858058|Hematopoietic_progenitors	SRX8858059|Hematopoietic_progenitors	SRX1115327|ILC2	SRX13185577|ILC2	SRX13185578|ILC2	SRX13185579|ILC2	SRX21547797|ILC2	SRX21547798|ILC2	SRX15046828|Induced_trophoblast_stem_cells	SRX15046829|Induced_trophoblast_stem_cells	SRX1115326|Innate_lymphoid_cells	SRX4677000|Innate_lymphoid_cells	SRX4677001|Innate_lymphoid_cells	SRX4677005|Innate_lymphoid_cells	SRX4677006|Innate_lymphoid_cells	SRX15046860|MEF	SRX15046861|MEF	SRX15046870|MEF	SRX15046871|MEF	SRX018111|Natural_Killer_T-Cells	SRX2499766|Scid.adh.2c2	SRX2499767|Scid.adh.2c2	SRX2499768|Scid.adh.2c2	SRX2499769|Scid.adh.2c2	SRX018108|Th17_Cells	SRX018105|Th1_Cells	DRX012366|Th2_Cells	DRX012367|Th2_Cells	SRX018106|Th2_Cells	SRX077030|Th2_Cells	SRX1115328|Th2_Cells	SRX18113530|Th2_Cells	SRX18113531|Th2_Cells	SRX18275247|Th2_Cells	SRX18275248|Th2_Cells	SRX18275249|Th2_Cells	SRX18275250|Th2_Cells	SRX19650900|Th2_Cells	SRX19650901|Th2_Cells	SRX018110|Treg	SRX2416654|Trophoblast_stem_cells	SRX018109|T_cells	STRING
Stk40	882.206897	1738	0	0	2180	2404	212	1245	1098	226	1449	647	1147	0	1178	1245	1082	0	0	974	430	327	63	179	417	3163	3127	475	974	1046	946	804	295	265	183	239	905	2224	3213	2214	3192	149	390	104	0	652	640	1285	518	568	519	520	576	1093	312	263	1807	0	266	0
Tcstv3	846.362069	369	165	272	435	852	0	832	627	0	1211	315	223	0	962	912	858	1006	853	1637	706	411	131	587	708	2107	2138	1726	1933	1934	1889	1791	1234	1419	960	1189	369	1536	1487	1809	1650	218	0	264	173	244	249	1283	888	1083	977	1022	897	1147	0	0	378	791	232	0
Zdhhc24	845.724138	782	0	189	2207	2304	276	1626	1622	265	1376	1588	986	0	1562	1473	1072	0	0	1124	413	258	130	210	330	3088	3106	355	699	696	1297	1077	932	865	734	644	691	1143	2514	845	2119	166	537	86	0	673	677	1307	475	371	476	297	564	983	0	0	1376	0	466	0
Actn3	845.724138	782	0	189	2207	2304	276	1626	1622	265	1376	1588	986	0	1562	1473	1072	0	0	1124	413	258	130	210	330	3088	3106	355	699	696	1297	1077	932	865	734	644	691	1143	2514	845	2119	166	537	86	0	673	677	1307	475	371	476	297	564	983	0	0	1376	0	466	0
Tox2	828.517241	794	0	172	1931	2067	429	1400	1301	0	298	489	816	0	2456	2842	2345	0	0	1039	495	316	153	314	485	613	685	280	1600	1711	1707	1464	0	137	0	0	895	2453	3390	2401	3307	0	180	0	0	1310	1314	435	176	123	176	98	318	656	323	233	1745	0	182	0
Irf9	813.603448	728	0	442	2398	2411	382	1085	1369	0	406	505	937	0	469	734	534	0	0	1279	264	257	102	275	604	3374	3215	430	991	804	1423	1134	520	400	222	313	682	1183	2553	1149	2302	208	292	0	0	971	979	2285	594	496	594	617	609	991	308	157	1846	0	366	0
Ttc13	806.500000	1774	0	0	1865	2350	389	1178	1000	442	1738	1740	943	0	443	880	360	0	0	1134	398	208	101	207	444	3149	3134	280	1020	949	1024	726	790	728	402	619	708	1140	2384	998	2706	0	341	0	0	962	952	1547	467	361	469	223	518	903	0	145	1467	0	71	0
Arv1	806.500000	1774	0	0	1865	2350	389	1178	1000	442	1738	1740	943	0	443	880	360	0	0	1134	398	208	101	207	444	3149	3134	280	1020	949	1024	726	790	728	402	619	708	1140	2384	998	2706	0	341	0	0	962	952	1547	467	361	469	223	518	903	0	145	1467	0	71	0
Ttc32	729.896552	0	0	266	724	711	293	232	0	0	0	0	0	0	133	215	0	0	128	901	521	300	129	236	568	2837	3044	397	1780	2122	1954	1937	2227	2626	2066	2111	336	1594	2899	1593	2748	0	0	97	0	0	0	1488	444	294	445	310	502	667	0	288	171	0	0	0
Crb2	713.379310	1196	0	0	1996	2327	673	991	562	454	821	636	508	0	480	449	564	0	0	1091	345	229	0	248	456	2497	2653	380	827	714	976	1069	508	689	596	500	381	1009	2663	1271	2280	0	292	0	0	708	714	1571	483	429	483	321	585	1018	155	0	1435	0	143	0
Zfp974	709.810345	1439	0	119	2290	2304	379	1427	1193	0	0	0	1350	0	1454	1664	1640	0	0	979	590	323	114	290	615	803	1019	644	612	700	824	732	217	260	346	234	454	775	2231	1230	2801	242	654	0	0	508	477	1494	584	505	583	626	620	1014	184	0	1155	0	471	0
Eif3d	692.620690	606	0	98	1927	2325	115	1251	441	187	577	895	880	0	1111	1082	852	230	135	1028	281	135	0	148	329	3088	3135	410	640	751	830	687	508	297	346	351	603	1234	2485	1298	2660	0	211	0	0	301	302	1112	443	202	444	240	535	900	220	0	1046	0	260	0
H2-T24	663.068966	1168	0	240	1835	1961	304	841	769	0	582	433	614	0	1684	1775	1557	0	0	964	318	204	0	87	345	2821	2631	0	174	181	639	556	651	715	420	640	1060	1289	2389	295	1686	0	323	0	0	425	422	1222	369	317	366	353	366	773	236	0	1281	0	177	0
Fpgs	656.500000	238	0	164	1849	2090	0	1257	1153	0	385	406	473	0	208	435	267	0	0	783	587	221	85	154	430	3408	3527	310	591	538	1131	1029	520	700	589	551	416	1439	2840	1077	2145	0	0	0	0	488	476	687	637	503	637	461	635	1141	0	0	416	0	0	0
Cldn34d	656.293103	217	248	234	240	295	420	1128	924	483	0	573	235	329	1058	1093	1022	957	811	752	678	533	183	543	713	938	1003	727	1037	1146	851	735	392	565	383	512	118	1080	2176	2305	2239	176	288	139	571	406	480	561	722	688	737	653	649	845	375	214	152	270	263	0
Hscb	650.051724	974	0	0	2373	2472	220	657	501	147	564	389	308	0	361	701	423	0	0	1006	505	246	75	230	564	2824	2615	152	800	922	962	820	183	176	240	254	428	1353	2498	1309	2180	0	0	0	0	561	567	1301	490	338	490	321	450	818	281	149	1269	0	236	0
Chek2	650.051724	974	0	0	2373	2472	220	657	501	147	564	389	308	0	361	701	423	0	0	1006	505	246	75	230	564	2824	2615	152	800	922	962	820	183	176	240	254	428	1353	2498	1309	2180	0	0	0	0	561	567	1301	490	338	490	321	450	818	281	149	1269	0	236	0
Batf3	635.672414	0	0	217	1243	1576	0	1203	1019	0	0	0	594	0	657	707	511	0	0	643	509	289	72	216	563	1203	1563	423	640	702	796	900	697	701	797	692	182	2260	3617	2213	3361	0	374	0	0	295	298	943	446	336	446	418	589	796	0	0	848	0	314	0
Diaph3	619.965517	369	0	0	2136	2423	316	776	331	0	371	325	576	0	722	909	644	0	0	522	405	238	93	203	328	2755	2601	154	426	509	750	793	292	404	375	379	451	1044	2625	942	2338	0	217	0	0	791	787	898	438	401	437	320	444	977	350	147	1226	0	0	0
Tspoap1	618.155172	1076	0	118	1565	1838	288	1361	1234	693	1295	1719	385	0	550	518	665	0	0	1019	472	136	0	0	332	2657	2947	566	639	646	634	660	0	0	141	0	623	709	1681	857	1377	0	336	0	0	480	480	1365	454	256	454	282	442	772	0	0	929	0	202	0
Map3k5	615.896552	932	0	103	2252	2344	324	1305	1064	0	604	942	463	0	1833	1842	1454	0	0	712	314	168	0	212	360	265	571	248	361	714	557	689	196	128	160	162	262	478	2233	1669	3199	168	302	0	0	451	453	1123	411	400	411	315	401	830	0	0	1211	0	126	0
Chd3	594.379310	1261	0	0	1200	1875	223	517	402	0	352	445	451	0	892	993	719	0	0	484	348	147	67	164	382	2416	2678	460	727	671	609	529	180	221	195	180	429	1475	2486	1644	2744	108	149	0	0	228	227	931	492	348	492	323	511	876	0	0	1050	0	173	0
Hint1	576.758621	481	0	254	2061	2374	369	1525	829	141	966	900	750	0	706	415	423	0	0	905	345	165	0	143	380	1160	921	246	514	479	1190	1116	426	618	449	512	1045	300	1400	345	1079	0	467	0	0	606	606	917	532	322	532	293	569	1025	321	238	985	0	107	0
Gpr146	573.603448	1377	0	0	1396	1836	358	720	671	414	687	706	642	0	274	311	303	0	0	406	266	120	0	159	297	1519	1289	448	434	513	661	462	156	166	0	0	319	1886	3203	2421	3237	329	468	0	0	109	109	1032	365	281	364	360	441	619	0	0	996	0	139	0
Zfp36	573.310345	461	0	0	2097	1948	135	821	719	123	695	273	625	0	791	1043	720	0	0	494	354	229	0	173	377	1975	1997	0	648	628	696	550	309	361	243	268	336	1130	2704	1029	2431	0	132	0	0	433	422	862	387	285	388	401	465	810	0	0	1113	0	171	0
Zfpm1	571.413793	1030	0	135	1096	1087	275	1092	1112	250	923	866	581	0	1178	1149	908	0	0	856	237	121	0	172	300	1565	1562	283	645	713	824	781	626	671	603	623	627	1065	1665	921	1511	0	161	0	0	345	345	1032	296	187	297	171	335	482	120	0	1107	0	211	0
Tbc1d9b	563.879310	186	0	387	1564	1714	247	1269	1100	0	0	0	275	0	1854	2105	1679	0	0	678	502	290	117	218	558	118	103	407	1114	1144	1396	1142	173	194	142	175	598	599	2008	584	1582	0	252	0	0	618	607	1800	192	229	191	168	307	423	637	335	569	0	155	0
Mapk6	558.206897	1100	0	0	1424	1746	119	1509	994	0	598	487	577	0	1133	1131	824	0	0	691	353	297	0	73	325	2099	2065	402	407	291	554	334	149	193	329	412	961	905	1983	948	2098	0	155	0	0	248	247	882	283	187	283	154	373	649	151	0	1040	0	213	0
Fam124b	555.224138	608	0	210	1956	2386	0	1490	836	0	0	0	355	0	653	787	658	0	0	1390	653	289	146	343	574	410	462	1137	859	1010	1202	1085	0	0	0	0	416	391	1205	997	2183	211	0	0	0	443	442	991	470	538	470	556	571	905	209	0	1336	0	370	0
Brox	542.810345	148	189	218	977	743	287	726	748	271	197	558	234	139	641	664	863	731	553	1395	763	477	214	317	466	245	242	1067	872	1064	748	596	0	193	0	249	0	1723	1892	2144	1818	130	220	0	215	434	411	836	529	309	528	344	519	766	85	0	199	420	166	0
Aida	542.810345	148	189	218	977	743	287	726	748	271	197	558	234	139	641	664	863	731	553	1395	763	477	214	317	466	245	242	1067	872	1064	748	596	0	193	0	249	0	1723	1892	2144	1818	130	220	0	215	434	411	836	529	309	528	344	519	766	85	0	199	420	166	0
5730455P16Rik	539.551724	353	0	220	1054	957	268	1463	1274	146	237	477	236	0	1201	1542	1281	0	0	668	259	157	151	181	366	2125	2089	298	696	933	877	807	171	159	191	340	323	632	1619	862	1546	0	226	0	0	243	244	1347	386	279	387	317	467	670	0	0	569	0	0	0
Zfp207	532.775862	353	0	220	1054	957	268	1463	1274	146	237	477	236	0	1201	1542	1281	147	150	668	259	157	151	181	366	2125	2089	298	696	933	877	807	171	0	0	0	323	632	1619	862	1546	0	226	0	0	243	244	1347	386	279	387	317	467	670	0	0	569	0	0	0
Cstad	531.103448	1196	0	0	1229	1557	304	464	458	185	499	456	269	0	1594	1432	1121	0	0	507	290	115	0	0	305	2271	2304	233	522	494	428	416	126	0	0	0	393	1178	2436	1330	2556	0	230	0	0	134	135	652	366	142	366	137	397	520	0	0	802	0	255	0
Retsat	529.068966	894	0	110	1733	1741	319	746	589	102	606	428	255	0	554	701	701	0	0	678	184	78	0	186	411	2929	2693	0	564	517	614	476	145	146	0	0	227	758	1878	1044	2022	0	0	0	0	460	449	1044	449	329	449	274	440	788	0	0	975	0	0	0
Elmod3	529.068966	894	0	110	1733	1741	319	746	589	102	606	428	255	0	554	701	701	0	0	678	184	78	0	186	411	2929	2693	0	564	517	614	476	145	146	0	0	227	758	1878	1044	2022	0	0	0	0	460	449	1044	449	329	449	274	440	788	0	0	975	0	0	0
Cipc	515.310345	650	0	116	2093	2213	723	1579	1633	459	896	984	263	0	412	268	539	122	0	587	332	144	0	219	400	1171	911	234	393	353	451	345	122	172	121	0	253	299	1455	507	1067	0	311	180	0	639	645	1123	512	397	512	391	532	832	169	0	1040	0	119	0
Xrcc6	515.172414	521	0	0	1730	2099	0	681	159	0	351	859	335	0	348	246	268	0	0	718	172	53	0	225	510	2461	2490	137	593	518	542	431	149	108	0	97	265	1225	2138	1051	2083	0	0	0	0	791	791	1016	351	220	350	227	420	842	332	160	817	0	0	0
Desi1	515.172414	521	0	0	1730	2099	0	681	159	0	351	859	335	0	348	246	268	0	0	718	172	53	0	225	510	2461	2490	137	593	518	542	431	149	108	0	97	265	1225	2138	1051	2083	0	0	0	0	791	791	1016	351	220	350	227	420	842	332	160	817	0	0	0
Itk	514.103448	1888	0	110	1827	2179	491	872	650	545	1060	1104	1031	0	120	150	0	0	0	471	239	154	0	0	244	389	367	395	444	519	451	426	0	0	0	0	552	1795	2799	1137	2170	245	206	0	0	361	360	630	195	132	195	145	237	486	292	189	1355	0	211	0
Nol4l	514.068966	542	0	0	1654	1546	146	1159	1058	0	497	320	375	0	535	910	745	0	0	469	423	160	0	132	417	942	1002	170	500	488	507	446	0	0	0	0	289	1572	2488	1312	2598	0	140	0	0	360	365	1146	439	336	439	266	538	878	0	0	1334	0	173	0
Wsb1	510.224138	611	0	111	1435	1941	0	686	465	135	799	618	593	0	612	462	611	153	0	512	338	208	0	129	317	2474	2353	189	439	529	562	455	138	172	185	162	369	722	1949	795	1912	0	113	0	0	285	286	963	384	264	385	267	393	801	209	127	742	0	233	0
Inka1	509.275862	351	0	145	1978	1929	0	1104	731	0	286	690	376	0	1656	1607	968	0	0	972	189	82	0	0	316	2172	2147	442	359	329	547	547	228	271	312	245	315	311	901	272	676	0	0	157	0	225	228	1131	425	249	429	308	443	771	386	243	913	0	176	0
Ralgapb	507.362069	299	0	0	2222	2279	188	156	133	0	232	0	191	0	0	113	125	0	0	701	334	285	79	174	344	1738	1716	620	701	854	1413	1235	751	738	952	894	328	515	1405	415	789	0	415	0	0	268	266	1708	477	429	477	487	582	853	0	0	398	0	148	0
Rbm27	504.793103	548	0	0	1637	1676	210	1032	728	0	425	562	273	0	292	457	198	0	0	620	307	140	68	267	473	1719	1821	100	644	672	576	527	145	101	104	0	472	1127	2529	848	2078	0	0	0	0	393	393	820	459	391	458	333	558	984	191	0	922	0	0	0
Npc2	501.000000	400	0	0	1281	1656	121	699	409	0	547	441	262	0	0	182	0	0	0	754	281	198	0	159	441	1604	1557	96	798	844	644	629	261	189	147	287	374	1248	2758	1210	2742	0	0	0	0	570	568	693	515	328	515	278	441	943	228	141	619	0	0	0
Isca2	501.000000	400	0	0	1281	1656	121	699	409	0	547	441	262	0	0	182	0	0	0	754	281	198	0	159	441	1604	1557	96	798	844	644	629	261	189	147	287	374	1248	2758	1210	2742	0	0	0	0	570	568	693	515	328	515	278	441	943	228	141	619	0	0	0
Mfsd4b5	495.120690	704	0	0	1384	1900	205	0	0	0	232	116	206	0	0	0	0	0	0	376	154	71	0	169	427	3158	2962	0	1026	1244	650	720	367	363	289	337	294	882	2660	544	1695	0	102	0	0	506	500	796	343	305	343	241	451	748	220	116	911	0	0	0
Tespa1	489.086207	861	0	0	1716	1880	287	1079	567	314	392	975	175	0	923	786	641	0	0	631	229	123	102	264	358	0	0	0	604	593	711	407	284	293	191	202	0	1040	2768	1103	2430	0	0	0	0	587	585	1033	184	217	183	275	364	632	262	228	888	0	0	0
Serinc3	487.793103	359	0	204	1658	1922	0	231	0	0	0	0	244	0	1380	1570	1035	0	0	749	111	87	0	182	393	760	825	184	1018	989	1094	980	404	293	380	499	490	674	1550	847	2004	0	178	0	0	511	540	972	290	155	291	164	384	640	151	0	751	0	149	0
Lgals1	484.568966	344	0	0	1975	1911	222	856	968	0	171	299	594	0	454	430	232	0	0	665	282	200	0	217	488	143	105	0	600	741	862	617	0	0	0	0	241	1242	2787	1030	2611	0	260	0	0	627	622	891	410	329	412	362	480	811	448	337	829	0	0	0
Il2rb	478.517241	1256	0	115	2136	2144	244	179	982	0	155	130	2168	193	0	0	0	0	0	265	297	229	121	178	450	429	332	248	341	498	653	472	0	0	0	0	1044	715	1633	0	399	387	946	0	0	477	477	1261	503	569	503	538	588	988	418	0	1718	0	375	0
Insig1	478.241379	590	0	0	1967	2069	210	1070	823	0	556	224	273	0	536	379	439	0	0	492	194	0	0	215	385	936	823	150	369	368	465	457	0	99	0	0	314	1440	2597	1742	2590	0	0	0	0	253	255	831	364	203	364	250	405	794	294	0	808	0	145	0
Rasgrp1	466.948276	1359	0	0	1512	2001	276	199	324	332	1042	687	532	0	0	0	0	0	0	511	294	179	0	172	372	885	953	140	606	516	698	460	0	0	0	0	638	883	2126	696	2031	151	208	0	0	485	485	963	353	269	354	293	467	736	321	268	1306	0	0	0
Gfpt1	462.258621	1928	0	0	1906	1641	638	557	1271	560	1386	1581	310	0	124	151	217	0	0	310	284	98	0	92	215	0	137	0	223	252	213	159	0	0	0	0	187	1187	2645	708	2033	0	172	0	0	428	420	678	351	276	352	311	454	678	0	0	1471	0	207	0
Il13	461.982759	0	0	254	1438	1849	0	198	0	0	0	194	381	0	203	0	0	0	0	1167	459	300	154	152	332	1564	1582	0	957	1226	1223	1173	261	293	160	192	757	327	1387	491	1009	0	0	0	0	668	667	1422	491	315	491	246	469	854	305	267	763	0	154	521
Mcrs1	461.500000	188	0	0	1347	1662	159	645	490	0	282	264	0	0	237	364	381	0	147	819	303	169	0	155	279	2306	2291	0	382	371	387	369	155	260	141	172	288	1003	2316	970	2107	0	0	0	0	498	512	1223	441	243	439	166	492	857	0	0	487	0	0	0
Ttll11	460.034483	661	0	0	2162	2212	215	1017	601	0	0	412	146	0	725	741	920	0	0	426	261	206	98	168	329	744	766	0	338	240	473	416	394	367	314	432	281	715	2000	1063	2321	0	0	0	0	199	197	640	268	277	268	320	283	630	383	227	826	0	0	0
Fbl	457.396552	380	0	0	1765	1976	144	755	360	0	419	305	342	0	555	546	362	0	0	618	199	165	0	90	325	2122	2369	244	532	650	602	668	202	261	172	196	138	719	2121	793	1733	0	0	0	0	130	133	828	344	215	347	169	344	631	0	0	560	0	0	0
Psat1	456.396552	367	0	0	1582	2035	0	231	212	0	237	0	610	0	555	586	466	115	0	316	166	0	0	155	266	2187	2407	0	267	425	495	358	224	263	304	296	192	1508	2519	1346	2326	0	0	0	0	260	257	486	268	158	270	113	359	572	173	0	539	0	0	0
Map2k6	453.637931	363	0	0	2126	2243	183	455	185	0	176	338	142	0	162	0	142	0	0	413	246	117	0	167	402	1638	1683	167	532	563	551	455	136	137	191	0	323	1069	2671	1249	2477	0	0	0	0	304	302	718	378	305	379	295	486	779	0	0	663	0	0	0
Mamstr	451.706897	513	0	0	728	875	212	586	575	0	173	367	0	0	0	100	0	0	0	474	309	122	0	221	580	2057	2029	0	672	664	971	685	206	137	170	224	189	1078	2539	1001	2208	0	0	0	0	140	140	1223	420	293	421	312	562	881	254	138	750	0	0	0
Mto1	448.655172	438	0	104	1011	1486	110	218	150	0	228	0	516	0	298	447	397	0	0	399	165	204	0	114	251	2011	2010	0	513	514	582	624	243	266	322	390	443	981	2507	786	2178	0	109	0	0	375	378	876	416	264	417	169	508	768	0	0	724	0	112	0
Tulp2	445.034483	571	0	0	1493	2019	0	365	219	0	199	102	304	0	492	570	418	170	0	531	159	0	0	95	279	1271	947	312	527	379	397	194	269	337	314	337	307	1410	2724	1464	2385	0	145	0	0	177	166	938	309	187	309	171	442	636	0	0	648	0	124	0
Ube2v1	443.672414	346	0	0	1750	1502	0	355	405	0	277	393	0	0	235	398	353	0	0	622	229	194	0	183	554	1295	1361	148	778	795	783	725	292	332	438	328	161	834	1734	809	1199	0	0	0	0	226	227	1308	549	444	548	400	591	1076	162	0	394	0	0	0
Celf2	441.724138	664	0	0	1340	1199	518	1118	1246	443	521	566	322	0	338	178	230	0	0	291	489	282	120	137	342	170	222	230	481	594	485	523	437	536	349	273	183	606	1910	578	1317	103	366	0	0	377	378	785	398	414	399	458	387	784	0	0	1236	0	297	0
Gadd45a	441.275862	548	0	0	1379	1981	0	648	265	0	465	266	136	0	218	294	144	0	0	616	270	139	0	161	384	2552	2530	179	669	530	615	443	176	0	109	110	425	690	1989	520	1751	0	0	0	0	422	429	847	240	238	241	181	372	763	0	0	659	0	0	0
4930503B20Rik	438.862069	1024	0	0	2405	2115	409	670	666	210	786	1095	562	0	0	0	0	0	0	252	230	178	0	170	355	170	0	0	0	0	208	0	0	0	233	245	843	1788	2515	1299	2411	0	496	0	0	547	552	578	146	170	146	159	240	445	228	157	751	0	0	0
Nucb1	438.724138	571	0	0	1493	2019	0	365	219	0	199	102	304	0	492	570	418	0	0	531	159	0	0	0	279	1271	947	312	527	379	397	194	269	315	314	258	307	1410	2724	1464	2385	0	145	0	0	177	166	938	309	187	309	171	442	636	0	0	648	0	124	0
Kcnj8	432.724138	373	0	0	1090	1165	0	901	643	0	263	289	418	0	550	581	580	0	0	718	209	0	0	157	335	2261	2358	238	238	286	424	385	466	631	530	548	320	643	1247	552	1376	0	0	0	0	0	0	1016	376	305	376	207	532	897	0	0	614	0	0	0
Cgas	430.655172	438	0	104	1011	1486	110	218	150	0	228	0	516	0	298	447	397	0	0	399	165	204	0	114	251	2011	2010	0	513	514	582	624	0	177	0	0	443	981	2507	786	2178	0	109	0	0	375	378	876	416	264	417	169	508	768	0	0	724	0	112	0
Aip	430.103448	925	0	0	1147	1524	524	162	543	491	706	609	590	0	0	154	0	112	0	274	340	175	0	187	404	0	108	0	516	453	495	395	300	251	301	375	471	1277	3013	604	1999	149	397	0	0	392	396	548	414	366	413	336	432	743	0	0	712	0	223	0
Ehbp1l1	429.172414	0	0	0	1849	1449	178	1000	345	0	184	0	119	0	1070	1297	1131	0	0	1003	205	112	68	0	316	422	465	784	243	275	786	739	378	426	531	418	0	349	1400	846	1721	0	172	0	0	550	540	1360	296	185	297	154	351	550	0	0	328	0	0	0
Ndufa9	423.534483	383	0	0	1230	1461	0	132	0	0	0	267	294	0	439	335	348	0	0	462	114	0	0	119	383	2078	2135	0	573	601	712	463	0	119	151	0	172	1072	2811	1016	2535	0	0	0	0	194	198	929	323	218	324	267	387	626	119	0	575	0	0	0
Akap3	423.534483	383	0	0	1230	1461	0	132	0	0	0	267	294	0	439	335	348	0	0	462	114	0	0	119	383	2078	2135	0	573	601	712	463	0	119	151	0	172	1072	2811	1016	2535	0	0	0	0	194	198	929	323	218	324	267	387	626	119	0	575	0	0	0
