Target_genes	Usf1|Average	SRX142512|C2C12	SRX142513|C2C12	SRX6784089|CH12	SRX6784090|CH12	SRX5027410|ES_cells	SRX6784044|MEL	SRX6784045|MEL	STRING
Gid4	2518.714286	2214	2571	2596	2597	2683	2644	2326	0
Kdm6a	2515.714286	2061	2731	2628	2810	2049	2864	2467	0
Fam214a	2512.428571	2034	2673	2546	2723	2104	2846	2661	0
Cfdp1	2509.714286	1958	2775	2576	2859	1985	2882	2533	0
Zfp207	2505.714286	2221	2949	2611	2541	2561	2530	2127	0
Ndel1	2505.571429	1900	2877	2661	2715	2579	2554	2253	0
Mfsd1	2504.142857	2021	2707	2559	2546	3037	2561	2098	0
Fbh1	2503.571429	1994	2782	2539	2667	2580	2655	2308	0
Ankrd16	2503.571429	1994	2782	2539	2667	2580	2655	2308	0
Xrra1	2502.714286	2094	2429	2585	2792	2091	2933	2595	0
Spcs2	2502.714286	2094	2429	2585	2792	2091	2933	2595	0
Dpp7	2501.428571	2310	3019	2653	2524	2237	2607	2160	0
Armc9	2501.285714	2198	2724	2637	2686	2735	2468	2061	0
Fbxo33	2501.142857	1559	2458	2743	2756	2820	2691	2481	0
Thrap3	2500.714286	2043	2665	2542	2718	2830	2495	2212	0
Eif4g1	2496.142857	1944	2791	2436	2386	3166	2585	2165	0
Sgo1	2492.857143	1981	2665	2557	2598	3335	2317	1997	0
H1f0	2492.428571	2177	2853	2325	2725	2256	2642	2469	0
Gcat	2492.428571	2177	2853	2325	2725	2256	2642	2469	0
Abhd17b	2488.714286	2042	2823	2652	2640	2028	2678	2558	0
1110059E24Rik	2488.714286	2042	2823	2652	2640	2028	2678	2558	0
Immt	2487.142857	1993	2819	2500	2658	2064	2770	2606	0
Phf23	2487.000000	2285	2904	2515	2378	2996	2343	1988	0
Med13	2483.285714	2025	2505	2643	2612	2562	2751	2285	0
Hexa	2482.714286	2100	2440	2259	2476	3081	2661	2362	0
Sppl3	2480.714286	1897	2709	2774	2713	2271	2711	2290	0
Rad9a	2479.571429	2174	2717	2507	2458	2983	2452	2066	0
Dvl2	2477.571429	2285	2904	2515	2378	2996	2343	1922	0
Lamp1	2475.714286	2341	2961	2664	2545	2553	2409	1857	0
Gba	2475.714286	2373	2886	2728	2678	2118	2543	2004	0
Atxn3	2474.285714	1974	2467	2605	2630	2764	2652	2228	0
Rabep1	2472.857143	1854	2775	2618	2703	1948	2876	2536	0
Prpf3	2472.285714	1851	2791	2596	2846	2409	2571	2242	0
Rmc1	2470.428571	1849	2567	2548	2543	3146	2487	2153	0
Spns1	2470.000000	2283	2739	2576	2476	2611	2453	2152	0
Trpm7	2465.142857	1658	2463	2564	2660	2810	2678	2423	0
Hnrnph2	2463.571429	2340	3102	2443	2722	1937	2590	2111	0
Gla	2463.571429	2340	3102	2443	2722	1937	2590	2111	0
Tmem126b	2463.142857	1951	2578	2267	2616	2532	2723	2575	0
Stx6	2461.571429	2145	2674	2756	2805	2095	2543	2213	0
Akap11	2460.571429	1995	2779	2469	2720	1891	2772	2598	0
Rpl23	2457.142857	2063	2761	2579	2651	2077	2707	2362	0
Bax	2455.428571	1936	2525	2490	2486	2889	2642	2220	0
Espl1	2452.857143	2239	2916	2515	2752	1495	2791	2462	0
Tnrc6c	2451.714286	1854	2709	2571	2684	2135	2736	2473	0
Ap2m1	2450.857143	2425	2790	2672	2796	1044	2825	2604	0
Hmgcl	2446.714286	1982	2657	2542	2608	2031	2800	2507	0
Pias4	2446.000000	2128	2585	2374	2608	2627	2523	2277	0
Dnajc8	2438.428571	2252	2981	2581	2653	1790	2589	2223	0
Atpif1	2438.428571	2252	2981	2581	2653	1790	2589	2223	0
Btbd8	2437.571429	1925	2727	2543	2732	1916	2769	2451	0
Mtdh	2437.428571	2025	2654	2525	2523	2599	2583	2153	0
Sumf1	2437.000000	2379	3009	2618	2620	2092	2319	2022	0
Sec23ip	2436.000000	2151	2837	2685	2617	1840	2615	2307	0
Mcmbp	2436.000000	2151	2837	2685	2617	1840	2615	2307	0
Sae1	2435.857143	2276	2755	2431	2506	2085	2629	2369	0
Ccdc22	2434.857143	2123	2766	2424	2755	1651	2807	2518	0
Cacna1f	2434.857143	2123	2766	2424	2755	1651	2807	2518	0
Rragc	2433.571429	2020	2334	2601	2753	2141	2747	2439	0
Atp6v1c1	2432.428571	2149	2802	2652	2633	1825	2626	2340	0
Mydgf	2431.714286	1944	2691	2487	2664	2080	2697	2459	0
Ubn1	2431.285714	1747	2715	2457	2494	2825	2574	2207	0
Glyr1	2431.285714	1747	2715	2457	2494	2825	2574	2207	0
Togaram1	2430.000000	2079	2735	2571	2531	1897	2750	2447	0
Klhl28	2430.000000	2079	2735	2571	2531	1897	2750	2447	0
Prpf39	2429.142857	1783	2267	2748	2795	2109	2868	2434	0
Zfp292	2426.428571	2084	2419	2623	2653	2210	2712	2284	0
Ttc21a	2424.285714	1799	2043	2535	2683	2453	2796	2661	0
Gorasp1	2424.285714	1799	2043	2535	2683	2453	2796	2661	0
Sde2	2419.000000	1889	2539	2694	2726	2122	2652	2311	0
Naglu	2417.857143	1885	2407	2572	2640	2531	2671	2219	0
Rbm19	2417.714286	2107	2139	2465	2649	2120	2797	2647	0
Hmox1	2413.571429	1833	2531	2609	2791	1700	2849	2582	0
Utp20	2413.000000	2292	2593	2500	2740	1358	2809	2599	0
Sh3gl1	2409.142857	2020	2783	2678	2710	1589	2688	2396	0
Chaf1a	2409.142857	2020	2783	2678	2710	1589	2688	2396	0
Commd8	2408.428571	1962	2721	2554	2689	1652	2847	2434	0
Washc5	2404.714286	2058	2576	2524	2610	2321	2607	2137	0
Nsmce2	2404.714286	2058	2576	2524	2610	2321	2607	2137	0
Tdg	2404.428571	1842	2482	2538	2672	1854	2840	2603	0
Mff	2403.714286	2231	3054	2598	2791	766	2885	2501	0
Rcbtb1	2403.571429	1850	2602	2670	2645	1912	2735	2411	0
Atp6v0d1	2399.285714	1838	2673	2639	2787	1705	2734	2419	0
Agrp	2399.285714	1838	2673	2639	2787	1705	2734	2419	0
Depdc1a	2396.571429	2282	2780	2411	2694	1242	2744	2623	0
Tex10	2395.142857	1789	2384	2344	2780	2045	2842	2582	0
Slc25a32	2394.428571	2205	2703	2683	2745	1293	2647	2485	0
Dcaf13	2394.428571	2205	2703	2683	2745	1293	2647	2485	0
Natd1	2393.714286	1925	2609	2690	2650	1824	2670	2388	0
Agtrap	2391.142857	1831	2479	2575	2798	1973	2667	2415	0
Metap1d	2387.428571	1890	2599	2422	2747	1855	2725	2474	0
Dhx35	2384.571429	2057	2339	2518	2458	2500	2549	2271	0
Anxa6	2383.714286	1230	1926	2646	2678	3015	2761	2430	0
Rpl19	2383.142857	2270	2962	2549	2482	1810	2513	2096	0
Cacnb1	2383.142857	2270	2962	2549	2482	1810	2513	2096	0
Rab24	2381.571429	1954	2675	2456	2651	1732	2776	2427	0
Prelid1	2381.571429	1954	2675	2456	2651	1732	2776	2427	0
Orc4	2380.285714	1810	2485	2519	2640	1882	2800	2526	0
Mbd5	2380.285714	1810	2485	2519	2640	1882	2800	2526	0
Tom1l2	2377.428571	2260	2945	2595	2622	1385	2638	2197	0
Drc3	2377.428571	2260	2945	2595	2622	1385	2638	2197	0
Slc25a46	2376.285714	2191	2757	2339	2643	1414	2718	2572	0
Tnpo2	2373.571429	2199	2727	2570	2540	1971	2437	2171	0
Ttll11	2373.428571	2041	2613	2620	2867	1113	2789	2571	0
Prrc2c	2373.285714	1792	2632	2661	2804	1812	2633	2279	0
Eaf2	2372.142857	2302	2759	2533	2611	1137	2644	2619	0
Sec11c	2371.000000	2193	2530	2441	2526	1875	2683	2349	0
Tnfaip3	2370.285714	1909	2448	2567	2554	1837	2821	2456	0
Mfsd5	2364.714286	1928	2468	2679	2706	1994	2590	2188	0
Uvrag	2362.714286	1995	2867	2476	2408	1765	2648	2380	0
Trmt10a	2362.714286	1950	2660	2414	2391	2317	2628	2179	0
Mttp	2362.714286	1950	2660	2414	2391	2317	2628	2179	0
Lnpk	2362.714286	1841	2074	2561	2739	2001	2765	2558	0
Tcn2	2361.714286	1965	2340	2673	2649	1638	2786	2481	0
Pak6	2359.857143	2138	2640	2426	2653	2302	2258	2102	0
Mtch1	2359.857143	1710	2306	2559	2775	1719	2888	2562	0
Zfp507	2359.000000	1669	2300	2374	2707	2200	2758	2505	0
Pdcd6ip	2355.428571	1469	2563	2688	2824	1630	2805	2509	0
Ddx19b	2355.000000	2178	2826	2444	2438	1582	2632	2385	0
Aars	2355.000000	2178	2826	2444	2438	1582	2632	2385	0
Tef	2349.857143	1976	2852	2017	2266	1877	2911	2550	0
Wbp2	2348.142857	2089	2781	2482	2475	1998	2435	2177	0
Shmt1	2347.571429	1779	2649	2455	2610	1852	2670	2418	0
Dohh	2345.428571	2139	2858	2446	2590	1730	2482	2173	0
Cacul1	2345.428571	2006	2776	2435	2474	1545	2713	2469	0
Cetn3	2343.285714	1639	2173	2639	2760	1907	2771	2514	0
Msantd4	2343.000000	2187	2828	2643	2834	977	2690	2242	0
Tomt	2339.428571	1843	2587	2265	2215	3288	2247	1931	0
Lamtor1	2339.428571	1843	2587	2265	2215	3288	2247	1931	0
Selenoh	2338.857143	2257	2700	2108	2608	1505	2591	2603	0
Nfatc3	2332.714286	2027	2863	2315	2438	1327	2779	2580	0
Hmgn2	2332.285714	1809	2320	2378	2637	1887	2726	2569	0
Exoc1	2324.285714	2182	2707	2512	2662	1248	2621	2338	0
Mlx	2323.000000	2092	2824	2538	2542	1342	2613	2310	0
Coasy	2323.000000	2092	2824	2538	2542	1342	2613	2310	0
Cep162	2320.142857	1825	2319	2451	2509	2401	2575	2161	0
Osbpl8	2320.000000	1700	2177	2546	2726	2405	2576	2110	0
Tbccd1	2315.142857	2219	2835	2267	2621	1281	2520	2463	0
Dnajb11	2315.142857	2219	2835	2267	2621	1281	2520	2463	0
Marchf9	2314.428571	1878	2457	2254	2215	3201	2259	1937	0
Cdk4	2314.428571	1878	2457	2254	2215	3201	2259	1937	0
Otud3	2313.428571	1590	2811	2668	2941	1042	2552	2590	0
Crebrf	2311.428571	1610	2369	2311	2400	2872	2466	2152	0
Tnrc6b	2305.714286	2156	2783	2652	2617	1022	2626	2284	0
Osgep	2304.571429	2107	2824	2423	2316	2207	2325	1930	0
Apex1	2304.571429	2107	2824	2423	2316	2207	2325	1930	0
Mief2	2299.000000	1945	2394	2322	2559	1721	2651	2501	0
Flii	2299.000000	1945	2394	2322	2559	1721	2651	2501	0
Vps16	2295.857143	1967	2786	2419	2635	1350	2622	2292	0
Pced1a	2295.857143	1967	2786	2419	2635	1350	2622	2292	0
Hps1	2294.857143	2237	2176	2484	2667	1530	2686	2284	0
Slc20a1	2292.428571	1488	1970	2349	2561	2791	2567	2321	0
Sub1	2291.857143	1857	2360	2231	2576	1675	2746	2598	0
Slc33a1	2291.857143	1863	2499	2308	2466	1432	2858	2617	0
Ints6	2290.285714	1923	2563	2517	2670	928	2831	2600	0
Spring1	2289.428571	1946	2292	2303	2355	2784	2209	2137	0
Rnft2	2289.428571	1946	2292	2303	2355	2784	2209	2137	0
Khsrp	2284.857143	2036	2608	2355	2368	1872	2566	2189	0
Nup50	2282.857143	1625	2422	2435	2476	1913	2705	2404	0
Ube2b	2282.285714	2223	2704	2209	2090	2910	2103	1737	0
Cdkl3	2282.285714	2223	2704	2209	2090	2910	2103	1737	0
Cyth3	2281.571429	1562	2735	2590	2689	1749	2432	2214	0
Arl2	2280.142857	1795	2202	2685	2736	1439	2730	2374	0
Prkcsh	2279.714286	1686	2539	2521	2557	2478	2278	1899	0
Ccdc151	2279.714286	1686	2539	2521	2557	2478	2278	1899	0
Cipc	2277.428571	1825	2405	2311	2459	2256	2564	2122	0
Wdr62	2275.857143	2048	2842	1918	2059	1949	2663	2452	0
Eif4e	2275.714286	2037	2634	2115	2094	2658	2319	2073	0
Oser1	2274.857143	1777	2307	2183	2412	2105	2654	2486	0
Slc12a7	2273.428571	1317	1949	2450	2756	2001	2834	2607	0
Rmnd1	2272.000000	1527	2053	2423	2410	2722	2610	2159	0
Armt1	2272.000000	1527	2053	2423	2410	2722	2610	2159	0
Adam10	2271.857143	1543	1832	2396	2738	2075	2791	2528	0
Tomm34	2271.571429	1887	2135	2476	2646	1587	2686	2484	0
Stk4	2271.571429	1887	2135	2476	2646	1587	2686	2484	0
Rgl1	2271.000000	1788	2241	2408	2566	1850	2608	2436	0
Arpc5	2271.000000	1788	2241	2408	2566	1850	2608	2436	0
Slc49a4	2268.571429	1835	2286	2319	2449	2213	2590	2188	0
Slc37a3	2264.571429	1782	2146	2428	2537	1630	2811	2518	0
Rab19	2264.571429	1782	2146	2428	2537	1630	2811	2518	0
Zfp871	2263.714286	2159	2650	2058	2524	1325	2582	2548	0
Rars	2260.714286	1896	2731	2486	2573	1260	2586	2293	0
Dusp7	2259.285714	1829	2532	2216	2477	1682	2515	2564	0
Orai2	2258.571429	1857	2443	2515	2522	1876	2484	2113	0
Cul3	2256.428571	1836	2232	2453	2549	1591	2644	2490	0
Alg1	2256.285714	1460	2427	2506	2692	1536	2629	2544	0
Chchd3	2253.428571	2068	2822	2390	2516	1698	2264	2016	0
Atp6v0c	2253.285714	2197	2636	1694	1964	3087	2222	1973	0
Pcm1	2252.571429	1832	2271	2590	2824	1441	2403	2407	0
Vps8	2250.857143	1589	1686	2612	2622	1919	2744	2584	0
Vac14	2250.714286	1825	2313	2397	2538	1884	2554	2244	0
Snrpa	2248.142857	2056	2621	2521	2569	1341	2442	2187	0
BC024978	2248.142857	2056	2621	2521	2569	1341	2442	2187	0
Rps28	2246.571429	1926	2737	2369	2479	1614	2367	2234	0
Ndufa7	2246.571429	1926	2737	2369	2479	1614	2367	2234	0
Vapa	2246.142857	1460	2103	2413	2488	2296	2550	2413	0
Gatb	2245.428571	2077	2408	2404	2598	1039	2738	2454	0
Phf20	2242.428571	1496	2117	2529	2702	1736	2653	2464	0
Faf1	2239.285714	1889	2228	2511	2670	1425	2690	2262	0
Zfp91	2238.000000	2036	2308	2079	2455	1990	2438	2360	0
Lpxn	2238.000000	2036	2308	2079	2455	1990	2438	2360	0
Eif1	2237.142857	1863	2560	2435	2505	1619	2368	2310	0
Usp31	2235.428571	1499	2190	2350	2555	1900	2756	2398	0
Ogfod2	2232.714286	1877	2851	2410	2495	1014	2574	2408	0
Arl6ip4	2232.714286	1877	2851	2410	2495	1014	2574	2408	0
Gnpda1	2232.285714	1270	2044	2607	2584	1993	2716	2412	0
Wdr81	2228.428571	2002	2771	2316	2221	2171	2284	1834	0
Hoxc9	2227.000000	2263	2892	1678	2094	2331	2062	2269	0
Bsg	2225.428571	1437	2508	2248	2705	1584	2723	2373	0
Hnrnpm	2224.285714	1586	2384	2441	2477	1963	2531	2188	0
Ttk	2223.000000	1852	1899	2224	2472	2059	2603	2452	0
Mccc2	2220.000000	1661	2297	2195	2297	1749	2708	2633	0
Epg5	2219.571429	1725	2049	2592	2709	1034	2863	2565	0
Rusc1	2219.428571	2000	2408	2195	2360	1668	2537	2368	0
Wee1	2216.857143	1586	2003	2275	2413	2414	2404	2423	0
Ppp2r5c	2216.857143	1620	1828	2484	2473	1893	2652	2568	0
Slc35e3	2216.428571	1488	1999	2434	2804	1212	2916	2662	0
Rcan1	2215.285714	2150	2456	2539	2483	926	2663	2290	0
Ap5z1	2214.571429	1435	2396	2414	2435	2160	2505	2157	0
Srsf2	2214.285714	2131	2509	2445	2359	1797	2313	1946	0
Mfsd11	2214.285714	2131	2509	2445	2359	1797	2313	1946	0
Rab21	2214.000000	1875	2498	2228	2399	1456	2577	2465	0
Arhgap12	2213.428571	1657	2469	2090	2219	2659	2350	2050	0
Pmf1	2212.142857	1658	2281	2453	2456	1802	2500	2335	0
Hps3	2211.714286	1832	2598	2209	2470	1231	2591	2551	0
Phc3	2211.142857	1092	1927	2405	2530	2253	2812	2459	0
Pip4p1	2210.857143	1977	2451	2149	2215	2464	2240	1980	0
Cc2d1b	2209.000000	1439	1942	2584	2721	1497	2725	2555	0
Vps72	2207.571429	2011	2922	2488	2725	1154	2253	1900	0
Pip5k1a	2207.571429	2011	2922	2488	2725	1154	2253	1900	0
Pip5kl1	2207.428571	1625	2469	2647	2713	698	2801	2499	0
Dpm2	2207.428571	1625	2469	2647	2713	698	2801	2499	0
Dnajc13	2205.000000	1437	2041	2560	2785	1416	2662	2534	0
Tbk1	2204.000000	1556	2154	2407	2804	1031	2889	2587	0
Akap10	2204.000000	1320	2048	2516	2596	2007	2656	2285	0
Mrpl27	2202.857143	1809	2580	2464	2535	1309	2529	2194	0
Eme1	2202.857143	1809	2580	2464	2535	1309	2529	2194	0
Ptprs	2202.714286	1843	2349	2365	2445	1584	2534	2299	0
Zcchc2	2201.142857	1640	2153	2273	2435	2286	2483	2138	0
Zc3h11a	2200.000000	1966	2450	2121	2565	1004	2684	2610	0
Zbed6	2200.000000	1966	2450	2121	2565	1004	2684	2610	0
Hmgn1	2200.000000	1264	1872	2550	2627	1632	2840	2615	0
Fkbpl	2198.714286	1806	2376	2352	2628	1339	2474	2416	0
Atf6b	2198.714286	1806	2376	2352	2628	1339	2474	2416	0
Usp28	2198.571429	1420	2056	2201	2631	2101	2591	2390	0
Rspry1	2198.285714	1562	2133	2742	2634	1180	2693	2444	0
Psme3ip1	2198.285714	1562	2133	2742	2634	1180	2693	2444	0
Slc26a2	2198.000000	1385	1859	2512	2657	1845	2703	2425	0
Trmo	2197.142857	1925	2217	2432	2520	2038	2150	2098	0
2210016L21Rik	2196.000000	2172	2404	2200	2642	634	2818	2502	0
Hdac5	2194.857143	1747	2412	2636	2697	931	2694	2247	0
Cul5	2194.857143	1402	1764	2245	2433	2394	2721	2405	0
Pdcd2l	2193.142857	1749	2175	2329	2636	1905	2378	2180	0
Zfp944	2191.142857	1656	2348	2383	2670	1178	2588	2515	0
Zfp758	2191.142857	1656	2348	2383	2670	1178	2588	2515	0
Tmem258	2190.857143	2207	2815	2257	2301	1208	2362	2186	0
Fen1	2190.857143	2207	2815	2257	2301	1208	2362	2186	0
Ythdf1	2190.571429	1423	1816	2359	2533	2215	2586	2402	0
Rnasek	2189.857143	2243	2856	2263	2213	1552	2251	1951	0
0610010K14Rik	2189.857143	2243	2856	2263	2213	1552	2251	1951	0
Gabarap	2189.714286	2177	2656	2325	2219	1659	2304	1988	0
Synrg	2188.285714	1342	1967	2586	2649	1662	2738	2374	0
Urod	2184.714286	1786	2192	2582	2718	989	2683	2343	0
Hectd3	2184.714286	1786	2192	2582	2718	989	2683	2343	0
Tmed10	2182.571429	1972	2547	1925	2289	1857	2376	2312	0
Pepd	2182.428571	2134	2518	2469	2617	1535	2066	1938	0
Copz1	2179.571429	2026	2831	1995	2607	1090	2198	2510	0
Dlg1	2178.285714	1596	1851	2549	2651	1415	2706	2480	0
Dennd6a	2177.428571	1675	2345	2328	2654	1075	2776	2389	0
Srebf1	2176.857143	1419	2070	2544	2610	1696	2654	2245	0
6430548M08Rik	2176.142857	1370	2195	2274	2417	2226	2530	2221	0
Slmap	2174.714286	2050	2243	2402	2689	729	2739	2371	0
Tbcel	2173.857143	1767	2184	2079	2745	1362	2512	2568	0
Tbc1d20	2173.714286	1408	1529	2380	2466	2271	2668	2494	0
Yod1	2172.571429	1498	1963	2218	2358	2272	2461	2438	0
Pfkfb2	2172.571429	1498	1963	2218	2358	2272	2461	2438	0
Relb	2170.428571	1827	2075	2344	2653	1228	2626	2440	0
Ddx5	2170.285714	2325	2690	2126	2335	1381	2218	2117	0
Cep95	2170.285714	2325	2690	2126	2335	1381	2218	2117	0
Ybx2	2170.000000	1209	1289	2474	2496	2710	2629	2383	0
Rnf185	2163.000000	1515	2198	2507	2600	1061	2703	2557	0
Commd4	2162.142857	2075	2654	2347	2286	1585	2327	1861	0
Zfp747	2161.571429	1819	2225	2611	2696	706	2619	2455	0
Trappc6a	2159.285714	1665	1905	2380	2539	1912	2558	2156	0
Bloc1s3	2159.285714	1665	1905	2380	2539	1912	2558	2156	0
Wwp2	2158.857143	1612	1937	2275	2505	2313	2453	2017	0
Atp6v0e	2155.714286	1640	2484	2095	2368	1808	2434	2261	0
Smyd4	2154.285714	1418	1838	2384	2523	2043	2604	2270	0
Rpa1	2154.285714	1418	1838	2384	2523	2043	2604	2270	0
Ctsd	2154.000000	1633	2086	2082	2389	2480	2299	2109	0
Anln	2154.000000	1624	2156	2663	2695	2089	2126	1725	0
9530077C05Rik	2154.000000	1624	2156	2663	2695	2089	2126	1725	0
Zfyve26	2152.857143	1991	2699	2297	2329	1364	2321	2069	0
Rad51b	2152.857143	1991	2699	2297	2329	1364	2321	2069	0
Stt3a	2152.428571	1752	2589	2191	2475	1043	2583	2434	0
Gns	2150.571429	1178	2137	2440	2374	2734	2321	1870	0
Cpeb4	2150.571429	1926	2652	1978	2262	1611	2400	2225	0
Mapre2	2149.714286	1673	2083	2239	2386	1827	2626	2214	0
Gpx1	2148.571429	1735	2289	2164	2623	1267	2628	2334	0
Lsm12	2147.571429	1937	2061	2570	2553	1163	2464	2285	0
G6pc3	2147.571429	1937	2061	2570	2553	1163	2464	2285	0
Ranbp2	2146.428571	1628	2204	2416	2610	1167	2563	2437	0
Calr	2144.285714	1579	2627	2503	2565	1463	2307	1966	0
Taf6l	2143.428571	1987	2671	2196	2531	1018	2396	2205	0
Vps41	2143.285714	1921	2020	2255	2831	635	2705	2636	0
Ccnh	2142.714286	1586	2036	2237	2627	1307	2573	2633	0
Zfp318	2140.571429	1222	1688	2435	2656	1516	2863	2604	0
Myl12a	2137.285714	1186	1646	2554	2668	1802	2690	2415	0
Atg5	2132.571429	1517	1950	2373	2600	1229	2666	2593	0
Atic	2131.285714	1245	1862	2184	2634	1951	2508	2535	0
Smndc1	2130.571429	1534	2310	2213	2651	1300	2625	2281	0
Zfp943	2127.285714	1564	2371	2497	2636	859	2640	2324	0
Zfp942	2127.285714	1564	2371	2497	2636	859	2640	2324	0
Dnajc16	2127.285714	1891	2489	2177	2183	1519	2400	2232	0
Casp9	2127.285714	1891	2489	2177	2183	1519	2400	2232	0
Pbxip1	2126.428571	1560	2124	2047	2649	1475	2607	2423	0
Serac1	2125.571429	1402	1881	2214	2644	1633	2677	2428	0
Gtf2h5	2125.571429	1402	1881	2214	2644	1633	2677	2428	0
Ilvbl	2124.428571	2098	2661	2044	2136	1003	2475	2454	0
Ubtd1	2124.285714	1358	2205	2284	2521	2007	2378	2117	0
Mms19	2124.285714	1358	2205	2284	2521	2007	2378	2117	0
Scamp3	2122.714286	2322	2841	909	874	3283	2522	2108	0
Qk	2120.000000	1648	2448	2158	2231	1243	2476	2636	0
Nudcd3	2119.428571	1975	2666	2221	2314	1011	2417	2232	0
Ube4b	2119.000000	1763	1984	2500	2443	1284	2552	2307	0
Tmppe	2118.571429	1799	2190	2025	2433	1371	2559	2453	0
Nfkbil1	2118.142857	1545	2584	2096	2321	1648	2228	2405	0
