Target_genes	Relb|Average	SRX122464|Dendritic_Cells	SRX122465|Dendritic_Cells	SRX122466|Dendritic_Cells	SRX122467|Dendritic_Cells	SRX122576|Dendritic_Cells	SRX122577|Dendritic_Cells	SRX20904785|Dendritic_Cells	SRX20904786|Dendritic_Cells	SRX20904788|Dendritic_Cells	SRX20904789|Dendritic_Cells	SRX4680244|MEF	SRX4680245|MEF	SRX4680246|MEF	SRX4680247|MEF	STRING
Denn2b	346.500000	0	0	0	0	0	0	2520	2125	121	0	0	0	0	85	0
Chd2	344.785714	0	0	0	0	0	0	2463	1928	131	0	0	0	185	120	0
Gm21188	344.071429	0	215	0	0	0	0	2372	2140	90	0	0	0	0	0	0
C1qc	343.357143	0	0	0	0	0	0	2280	2237	290	0	0	0	0	0	0
Hs6st1	342.928571	0	0	0	0	0	0	2432	2195	0	0	0	0	85	89	0
Nudt17	342.000000	0	0	0	0	0	0	1976	2812	0	0	0	0	0	0	0
Nfkbiz	341.857143	0	0	0	0	0	0	2289	2259	171	0	0	0	0	67	0
Gpr84	341.000000	0	0	0	0	0	0	2411	2215	148	0	0	0	0	0	0
Tcp11	338.857143	0	0	0	0	0	0	2295	2085	364	0	0	0	0	0	0
Mfhas1	335.714286	0	217	0	0	0	0	2257	2121	0	0	0	0	0	105	0
Oasl1	334.714286	459	195	166	269	0	0	769	615	0	215	584	614	415	385	0
Mt2	334.428571	0	0	0	0	0	0	2046	2017	115	264	0	0	90	150	0
Tvp23a	334.071429	0	0	0	0	0	0	2294	2266	117	0	0	0	0	0	0
Dph5	333.642857	0	0	0	0	0	0	2163	2301	207	0	0	0	0	0	0
Cnpy3	332.928571	0	0	0	0	0	0	2085	2333	243	0	0	0	0	0	0
Snx32	332.642857	0	140	0	0	0	0	2129	2276	112	0	0	0	0	0	0
Rps27l	332.571429	0	0	0	0	0	0	2314	2204	138	0	0	0	0	0	0
Gm45521	330.357143	0	0	0	0	0	0	2424	2078	123	0	0	0	0	0	0
Pde4a	330.000000	0	0	0	0	0	0	2399	2125	96	0	0	0	0	0	0
Slamf6	329.714286	0	0	0	0	0	0	2276	2202	138	0	0	0	0	0	0
Fabp1	328.785714	0	0	0	0	0	0	2279	2324	0	0	0	0	0	0	0
Sbno2	328.571429	0	119	0	0	0	0	1991	2229	261	0	0	0	0	0	0
Dip2b	327.714286	0	0	0	0	0	0	2171	2247	170	0	0	0	0	0	0
Grhl1	326.214286	0	0	0	0	0	0	2299	2141	127	0	0	0	0	0	0
Syce1l	324.857143	0	0	0	0	0	0	2276	2272	0	0	0	0	0	0	0
Nup98	323.500000	0	0	0	0	0	0	2326	2118	85	0	0	0	0	0	0
Neurl1a	323.500000	0	0	0	0	0	0	2686	1843	0	0	0	0	0	0	0
Fam89a	322.214286	0	0	0	0	0	0	2282	2074	155	0	0	0	0	0	0
Slc13a1	321.928571	0	0	0	0	0	0	2494	2013	0	0	0	0	0	0	0
Lin54	321.500000	0	0	0	0	0	0	2580	1804	117	0	0	0	0	0	0
Ip6k2	321.285714	0	0	0	0	0	0	2257	2037	204	0	0	0	0	0	0
Tmprss4	321.071429	0	0	0	0	0	0	2256	2120	119	0	0	0	0	0	0
Afap1l2	321.071429	0	0	0	0	0	0	2219	2072	204	0	0	0	0	0	0
Birc3	320.357143	0	0	0	0	0	0	1921	1883	121	0	0	0	214	346	0
Nt5c1a	320.142857	0	0	0	0	0	0	2191	2099	192	0	0	0	0	0	0
Stim2	319.142857	0	0	0	0	0	0	2450	1841	177	0	0	0	0	0	0
Rabgap1	318.500000	0	0	0	0	0	0	2553	1737	169	0	0	0	0	0	0
Mmp25	317.714286	0	0	0	0	0	0	2142	2154	152	0	0	0	0	0	0
Atxn7l1	317.071429	0	0	0	0	0	0	2142	2185	112	0	0	0	0	0	0
Mab21l3	316.357143	0	0	0	0	0	0	2053	2207	169	0	0	0	0	0	0
Matn1	315.500000	0	0	0	0	0	0	2363	2054	0	0	0	0	0	0	0
Mycl	315.285714	0	0	0	0	0	0	2513	1901	0	0	0	0	0	0	0
Fgr	314.785714	0	0	0	0	0	0	2467	1774	166	0	0	0	0	0	0
Hbegf	314.571429	0	0	0	0	0	0	2279	1987	138	0	0	0	0	0	0
Zbtb26	314.142857	0	0	0	0	0	0	2553	1737	108	0	0	0	0	0	0
Cxcl10	313.142857	0	0	0	0	0	0	2108	1852	204	0	0	0	0	220	0
Cldn7	313.000000	0	0	0	0	0	0	2200	1992	190	0	0	0	0	0	0
Xrcc5	312.928571	0	0	0	0	0	0	2280	2101	0	0	0	0	0	0	0
Btla	312.857143	0	0	0	0	0	0	2236	2013	131	0	0	0	0	0	0
Fabp4	312.642857	0	0	0	0	0	0	2139	1999	239	0	0	0	0	0	0
Catsperg1	311.928571	0	0	0	0	0	0	2099	1970	298	0	0	0	0	0	0
Dennd5a	311.642857	0	0	0	0	0	0	1847	2253	263	0	0	0	0	0	0
Snn	311.285714	0	0	0	0	0	0	2237	1946	175	0	0	0	0	0	0
Acot7	310.928571	0	0	0	0	0	0	1987	2009	153	0	0	0	97	107	0
Scn2b	310.571429	0	0	0	0	0	0	2074	2062	212	0	0	0	0	0	0
Slc17a5	310.428571	0	0	0	0	0	0	2237	2109	0	0	0	0	0	0	0
Tagap	310.000000	0	0	0	0	0	0	2505	1835	0	0	0	0	0	0	0
Cdc14a	309.857143	0	0	0	0	0	0	2127	1911	300	0	0	0	0	0	0
Zmiz2	309.714286	0	0	0	0	0	0	2399	1793	144	0	0	0	0	0	0
Niban1	309.500000	0	0	0	0	0	0	2384	1949	0	0	0	0	0	0	0
Asmt	309.000000	269	191	204	190	253	0	827	890	599	474	227	202	0	0	0
1700016C15Rik	308.571429	0	0	0	0	0	0	1959	2249	112	0	0	0	0	0	0
Plcl2	308.142857	0	147	0	0	0	0	2112	2055	0	0	0	0	0	0	0
Tnni2	308.071429	0	0	0	0	0	0	1896	2193	224	0	0	0	0	0	0
Olfr110	307.928571	0	0	0	0	0	0	2053	2088	170	0	0	0	0	0	0
Eif3c	307.500000	0	0	0	0	0	0	2313	1837	0	0	0	0	0	155	0
Ptpre	306.928571	0	0	0	0	0	0	2057	2114	126	0	0	0	0	0	0
Bpi	306.571429	0	0	0	0	0	0	2118	1872	302	0	0	0	0	0	0
Pgap3	305.785714	0	0	0	0	0	0	2410	1871	0	0	0	0	0	0	0
Tapbpl	305.714286	0	0	0	0	0	0	1999	2050	231	0	0	0	0	0	0
Mitf	305.214286	0	0	0	0	0	0	2200	2073	0	0	0	0	0	0	0
Gpr152	304.785714	0	0	0	0	0	0	1947	2105	0	0	0	0	83	132	0
Cabp4	304.785714	0	0	0	0	0	0	1947	2105	0	0	0	0	83	132	0
Pglyrp2	303.857143	0	0	0	0	0	0	1934	2320	0	0	0	0	0	0	0
Ndst1	303.714286	0	0	0	0	0	0	2088	1769	395	0	0	0	0	0	0
Dennd4a	303.571429	0	0	0	0	0	0	2070	1900	280	0	0	0	0	0	0
Stx6	303.142857	0	0	0	0	0	0	2032	2212	0	0	0	0	0	0	0
Zyx	302.928571	0	0	0	0	0	0	2030	1863	348	0	0	0	0	0	0
Dst	302.428571	0	0	0	0	0	0	2085	2002	147	0	0	0	0	0	0
Bend6	302.428571	0	0	0	0	0	0	2085	2002	147	0	0	0	0	0	0
Slc46a3	301.857143	0	0	0	0	0	0	2294	1932	0	0	0	0	0	0	0
Cox6a2	301.857143	0	0	0	0	0	0	2468	1758	0	0	0	0	0	0	0
Tmem125	299.357143	157	247	77	197	474	0	822	437	667	344	145	236	187	201	0
C3	298.785714	0	0	0	0	0	0	2128	1844	0	0	0	0	105	106	0
Irf2	298.714286	0	0	0	0	0	0	2101	1885	196	0	0	0	0	0	0
Dthd1	298.500000	0	0	0	0	0	0	2081	1944	154	0	0	0	0	0	0
Fcrlb	298.428571	0	0	0	0	0	0	1821	2357	0	0	0	0	0	0	0
Epb41l2	298.000000	0	0	0	0	0	0	2460	1575	137	0	0	0	0	0	0
Nudt16l1	297.642857	0	0	0	0	0	0	2289	1878	0	0	0	0	0	0	0
Pde4b	297.000000	0	0	0	0	0	0	1848	1938	113	259	0	0	0	0	0
Map3k7	296.785714	0	0	0	0	0	0	2336	1579	240	0	0	0	0	0	0
Nxpe4	296.428571	0	174	0	0	0	0	2077	1899	0	0	0	0	0	0	0
Cpd	296.428571	0	0	0	0	0	0	2072	1816	262	0	0	0	0	0	0
Flnc	295.571429	0	0	0	0	0	0	1814	2088	236	0	0	0	0	0	0
Ear4	295.571429	0	0	0	0	0	0	2020	1849	269	0	0	0	0	0	0
Ear14	295.571429	0	0	0	0	0	0	2020	1849	269	0	0	0	0	0	0
Ang2	295.571429	0	0	0	0	0	0	2020	1849	269	0	0	0	0	0	0
Gm19774	295.285714	0	0	0	0	0	0	2091	2043	0	0	0	0	0	0	0
Psmg4	294.928571	0	0	0	0	0	0	2291	1838	0	0	0	0	0	0	0
Lrif1	294.928571	0	0	0	0	0	0	2045	2009	75	0	0	0	0	0	0
P2rx6	294.642857	0	0	0	0	0	0	2301	1824	0	0	0	0	0	0	0
Lrrc74b	294.642857	0	0	0	0	0	0	2301	1824	0	0	0	0	0	0	0
Zfp983	294.571429	0	0	0	0	0	0	2156	1968	0	0	0	0	0	0	0
Sema4d	294.142857	0	0	0	0	0	0	2130	1859	129	0	0	0	0	0	0
Setdb2	293.857143	0	0	0	0	0	0	2251	1863	0	0	0	0	0	0	0
Gm45935	293.857143	0	0	0	0	0	0	2251	1863	0	0	0	0	0	0	0
Cab39l	293.857143	0	0	0	0	0	0	2251	1863	0	0	0	0	0	0	0
Rel	293.428571	0	0	0	0	0	0	2022	1801	285	0	0	0	0	0	0
Ogfrl1	293.285714	0	0	0	0	0	0	2006	1986	114	0	0	0	0	0	0
Grn	293.285714	0	0	0	0	0	0	1950	1805	351	0	0	0	0	0	0
Adamts13	293.214286	0	0	0	0	0	0	2180	1925	0	0	0	0	0	0	0
Ldlrad1	293.000000	0	0	0	0	0	0	2270	1832	0	0	0	0	0	0	0
Slamf8	292.000000	0	0	0	0	0	0	2217	1871	0	0	0	0	0	0	0
P2ry6	291.500000	0	0	0	0	0	0	1924	1971	186	0	0	0	0	0	0
H2-Ea	291.500000	0	177	0	0	0	0	1996	1737	171	0	0	0	0	0	0
Tnfaip3	290.642857	0	0	0	0	0	0	1947	1591	210	0	0	0	135	186	0
Ppfibp2	290.571429	0	0	0	0	0	0	1961	1960	147	0	0	0	0	0	0
Arhgap22	290.428571	0	0	0	0	0	0	1853	2070	143	0	0	0	0	0	0
Rabep2	290.357143	0	0	0	0	0	0	1840	2129	96	0	0	0	0	0	0
Smim14	289.714286	0	0	0	0	0	0	1954	1965	137	0	0	0	0	0	0
Cd63	289.500000	0	0	0	0	0	0	1884	2169	0	0	0	0	0	0	0
Fchsd2	289.428571	0	0	0	0	0	0	2178	1690	184	0	0	0	0	0	0
Daam1	289.428571	0	0	0	0	0	0	2040	1884	128	0	0	0	0	0	0
Coro1b	289.428571	0	0	0	0	0	0	1947	2105	0	0	0	0	0	0	0
Ccl22	289.285714	0	0	0	0	0	0	2208	1581	261	0	0	0	0	0	0
Clec4n	289.214286	0	0	0	0	0	0	1977	1938	134	0	0	0	0	0	0
Cd27	289.214286	0	0	0	0	0	0	1999	2050	0	0	0	0	0	0	0
Tlr2	288.928571	0	0	0	0	0	0	1881	1858	306	0	0	0	0	0	0
Alg9	288.785714	0	146	0	0	0	0	1964	1796	137	0	0	0	0	0	0
Cfap45	288.571429	0	0	0	0	0	0	2265	1646	129	0	0	0	0	0	0
Pip5k1c	288.142857	0	0	0	0	0	0	1960	2074	0	0	0	0	0	0	0
Pus1	287.500000	0	0	0	0	0	0	2096	1788	141	0	0	0	0	0	0
Etv6	287.500000	0	0	0	0	0	0	1842	1751	432	0	0	0	0	0	0
Cyfip1	287.142857	0	0	0	0	0	0	1912	2001	107	0	0	0	0	0	0
Ptprh	286.928571	0	0	0	0	0	0	2065	1952	0	0	0	0	0	0	0
Cep19	286.928571	0	0	0	0	0	0	2041	1851	125	0	0	0	0	0	0
6030468B19Rik	286.428571	0	0	0	0	0	0	1822	2026	162	0	0	0	0	0	0
Myo1g	286.000000	0	0	0	0	0	0	1940	1782	282	0	0	0	0	0	0
Cyp4f18	286.000000	0	0	0	0	0	0	1798	2047	159	0	0	0	0	0	0
Rab21	285.928571	0	0	0	0	0	0	1896	1930	177	0	0	0	0	0	0
Sdc4	285.785714	0	0	0	0	0	0	2045	1807	149	0	0	0	0	0	0
Gabpb1	285.642857	0	0	0	0	0	0	2030	1734	147	0	0	0	88	0	0
Col27a1	285.357143	0	0	0	0	0	0	1921	2074	0	0	0	0	0	0	0
Ptpn12	285.214286	0	0	0	0	0	0	2019	1781	193	0	0	0	0	0	0
Serpine3	284.428571	0	0	0	0	0	0	2071	1776	135	0	0	0	0	0	0
Phldb1	284.428571	0	0	0	0	0	0	1972	1808	202	0	0	0	0	0	0
Ehd1	284.428571	0	148	0	0	0	0	1898	1803	133	0	0	0	0	0	0
Nectin2	284.285714	0	0	0	0	0	0	1963	2017	0	0	0	0	0	0	0
Ppm1d	283.785714	0	0	0	0	0	0	1768	2108	97	0	0	0	0	0	0
Sh2d4b	283.714286	0	0	0	0	0	0	1974	1998	0	0	0	0	0	0	0
Erlin1	283.642857	0	0	0	0	0	0	1944	1774	253	0	0	0	0	0	0
Septin8	283.500000	0	0	0	0	0	0	2222	1747	0	0	0	0	0	0	0
Inip	283.357143	0	0	0	0	0	0	2039	1928	0	0	0	0	0	0	0
Ccdc86	282.428571	0	0	0	0	0	0	1787	2167	0	0	0	0	0	0	0
Fabp9	282.285714	0	0	0	0	0	0	1974	1886	92	0	0	0	0	0	0
Ap3b1	282.000000	0	0	0	0	0	0	1780	1999	169	0	0	0	0	0	0
Ctrc	281.928571	0	0	0	0	0	0	1852	1856	239	0	0	0	0	0	0
Ifnb1	281.785714	0	0	0	0	0	0	2273	1672	0	0	0	0	0	0	0
Zfp984	281.714286	0	0	0	0	0	0	1739	2205	0	0	0	0	0	0	0
Manbal	281.357143	0	0	0	0	0	0	2053	1778	108	0	0	0	0	0	0
Batf2	280.928571	0	0	0	0	0	0	1538	2222	173	0	0	0	0	0	0
Fbxl3	280.857143	0	0	0	0	0	0	1716	1848	368	0	0	0	0	0	0
Spint2	280.642857	0	0	0	0	0	0	2267	1662	0	0	0	0	0	0	0
Creb1	280.571429	0	0	0	0	0	0	1716	1780	112	0	0	0	153	167	0
Lyn	280.071429	0	0	0	0	0	0	1792	1848	281	0	0	0	0	0	0
Ms4a7	279.928571	0	0	0	0	0	0	2037	1691	191	0	0	0	0	0	0
Tifab	279.642857	0	0	0	0	0	0	1893	1829	193	0	0	0	0	0	0
Nckipsd	279.500000	0	0	0	0	0	0	1888	1873	152	0	0	0	0	0	0
Hdac7	279.214286	0	0	0	0	0	0	1878	1819	212	0	0	0	0	0	0
Tgm2	279.000000	0	0	0	0	0	0	2044	1731	131	0	0	0	0	0	0
Mtmr4	279.000000	0	0	0	0	0	0	1878	1892	136	0	0	0	0	0	0
Il31ra	278.857143	0	0	93	0	0	0	645	731	173	355	428	474	470	535	0
Tnfaip8l1	278.785714	0	0	0	0	0	0	2250	1564	89	0	0	0	0	0	0
Spint1	278.714286	0	0	0	0	0	0	2147	1755	0	0	0	0	0	0	0
Il21r	278.571429	0	0	0	0	0	0	1847	1825	228	0	0	0	0	0	0
Kif3b	278.285714	0	0	0	0	0	0	1855	1887	154	0	0	0	0	0	0
Pla1a	278.071429	0	0	0	0	0	0	1936	1957	0	0	0	0	0	0	0
2610001J05Rik	278.071429	0	0	0	0	0	0	1619	1630	207	437	0	0	0	0	0
Pigx	278.000000	0	0	0	0	0	0	2041	1851	0	0	0	0	0	0	0
Ednrb	277.357143	0	0	0	0	0	0	1774	2109	0	0	0	0	0	0	0
Pde1b	277.285714	0	0	0	0	0	0	2051	1659	172	0	0	0	0	0	0
Ldhc	277.285714	0	0	0	0	0	0	1895	1883	104	0	0	0	0	0	0
Ubiad1	277.142857	0	0	0	0	0	0	2041	1657	182	0	0	0	0	0	0
Mtor	277.142857	0	0	0	0	0	0	2041	1657	182	0	0	0	0	0	0
Fas	277.142857	0	0	0	0	0	0	1786	1905	189	0	0	0	0	0	0
Tarm1	276.500000	0	0	0	0	0	0	1972	1899	0	0	0	0	0	0	0
Il6ra	276.357143	0	0	0	0	0	0	2026	1637	206	0	0	0	0	0	0
Stk4	275.642857	0	0	0	0	0	0	2025	1834	0	0	0	0	0	0	0
Slc45a4	275.642857	0	0	0	0	0	0	1881	1978	0	0	0	0	0	0	0
Mapk1ip1l	275.642857	0	0	0	0	0	0	1930	1929	0	0	0	0	0	0	0
Ccdc141	275.571429	0	0	0	0	0	0	2319	1436	0	0	0	0	0	103	0
Cib3	275.500000	0	0	0	0	0	0	1923	1765	169	0	0	0	0	0	0
Lbx2	275.071429	0	0	0	0	0	0	1970	1881	0	0	0	0	0	0	0
Haao	274.785714	0	0	0	0	0	0	2003	1844	0	0	0	0	0	0	0
C3ar1	274.785714	0	0	0	0	0	0	2063	1784	0	0	0	0	0	0	0
Zfand3	274.642857	0	0	0	0	0	0	1883	1778	184	0	0	0	0	0	0
Klf2	274.571429	0	0	0	0	0	0	1698	1950	196	0	0	0	0	0	0
Hpse	274.428571	0	0	0	0	0	0	2414	1428	0	0	0	0	0	0	0
Lysmd2	274.000000	0	0	0	0	0	0	2367	1469	0	0	0	0	0	0	0
Mex3c	273.785714	0	0	0	0	0	0	1782	1837	214	0	0	0	0	0	0
Gm33989	273.785714	0	0	0	0	0	0	2356	1477	0	0	0	0	0	0	0
Stx11	273.714286	0	0	0	0	0	0	1874	1747	211	0	0	0	0	0	0
Ncoa4	273.714286	0	0	0	0	0	0	1725	2107	0	0	0	0	0	0	0
Ninj2	273.642857	0	0	0	0	0	0	1737	2094	0	0	0	0	0	0	0
Ezh2	273.428571	0	0	0	0	0	0	1994	1545	289	0	0	0	0	0	465
Tmprss13	273.428571	0	0	0	0	0	0	1909	1798	121	0	0	0	0	0	0
Cltc	273.428571	0	0	0	0	0	0	1708	1829	291	0	0	0	0	0	0
Ift57	273.142857	0	129	0	0	0	0	1727	1968	0	0	0	0	0	0	0
Myo10	272.857143	0	0	0	0	0	0	1809	1832	179	0	0	0	0	0	0
Dusp2	272.857143	0	0	0	0	0	0	1549	2142	129	0	0	0	0	0	0
Astl	272.857143	0	0	0	0	0	0	1549	2142	129	0	0	0	0	0	0
Snrpd3	272.785714	0	0	0	0	0	0	1932	1777	110	0	0	0	0	0	0
Gucd1	272.785714	0	0	0	0	0	0	1932	1777	110	0	0	0	0	0	0
Sucnr1	272.500000	0	0	0	0	0	0	2068	1747	0	0	0	0	0	0	0
Lrrfip2	271.928571	0	0	0	0	0	0	1740	1922	145	0	0	0	0	0	0
Efhd2	271.214286	0	0	0	0	0	0	1931	1649	217	0	0	0	0	0	0
Ell2	271.071429	0	0	0	0	0	0	2095	1700	0	0	0	0	0	0	0
Ccl5	271.000000	0	0	0	0	0	0	1741	1659	105	0	0	0	129	160	0
Trim35	270.928571	0	0	0	0	0	0	1857	1936	0	0	0	0	0	0	0
Pea15a	270.500000	0	0	0	0	0	0	2143	1644	0	0	0	0	0	0	0
Trerf1	270.357143	0	0	0	0	0	0	1875	1910	0	0	0	0	0	0	0
Zfp91	270.071429	0	0	0	0	0	0	1962	1819	0	0	0	0	0	0	0
Trex1	270.071429	0	0	0	0	0	0	1955	1557	147	0	0	0	0	122	0
Shisa5	270.071429	0	0	0	0	0	0	1955	1557	147	0	0	0	0	122	0
Lpxn	270.071429	0	0	0	0	0	0	1962	1819	0	0	0	0	0	0	0
Rasal1	269.785714	0	0	0	0	0	0	1627	1800	350	0	0	0	0	0	0
Slc28a2	269.428571	0	0	0	0	0	0	1910	1862	0	0	0	0	0	0	0
Nfkb1	269.428571	0	0	0	0	0	0	1972	1676	124	0	0	0	0	0	0
H2-Q9	269.357143	0	0	0	0	0	0	1892	1763	116	0	0	0	0	0	0
H2-Q7	269.357143	0	0	0	0	0	0	1892	1763	116	0	0	0	0	0	0
Lad1	269.285714	0	0	0	0	0	0	1852	1743	175	0	0	0	0	0	0
Iffo2	269.071429	0	0	0	0	0	0	1942	1699	126	0	0	0	0	0	0
Ccdc33	268.928571	0	0	0	0	0	0	1919	1846	0	0	0	0	0	0	0
Smim10l1	268.857143	0	0	0	0	0	0	2271	1493	0	0	0	0	0	0	0
Dnmt1	268.571429	0	0	0	0	0	0	1934	1593	0	233	0	0	0	0	0
Rbm19	268.428571	0	0	0	0	0	0	1745	1833	180	0	0	0	0	0	0
Ptdss2	268.428571	0	0	0	0	0	0	1674	2084	0	0	0	0	0	0	0
Clec2i	268.428571	0	0	0	0	0	0	1723	2035	0	0	0	0	0	0	0
BC035044	268.428571	0	0	0	0	0	0	1723	2035	0	0	0	0	0	0	0
Senp5	267.357143	0	0	0	0	0	0	2015	1584	144	0	0	0	0	0	0
Mapkap1	267.285714	0	141	0	0	0	0	1497	2104	0	0	0	0	0	0	0
Etv3	267.285714	0	0	0	0	0	0	1656	1846	240	0	0	0	0	0	0
Clec9a	266.857143	0	0	0	0	0	0	1581	2072	83	0	0	0	0	0	0
Slc37a3	266.571429	0	0	0	0	0	0	1744	1819	169	0	0	0	0	0	0
Nuak1	266.428571	0	0	0	0	0	0	1772	1536	147	0	0	0	100	175	0
Nr1h3	266.428571	0	0	0	0	0	0	1789	1851	90	0	0	0	0	0	0
Rptn	266.071429	0	0	0	0	0	0	2128	1597	0	0	0	0	0	0	0
Trim34a	265.785714	0	0	0	0	0	0	2317	1404	0	0	0	0	0	0	0
Tex48	265.642857	0	190	0	0	0	0	1486	2043	0	0	0	0	0	0	0
Slco5a1	265.642857	0	0	0	0	0	0	1705	1805	0	209	0	0	0	0	0
Atp13a2	264.785714	0	0	0	0	0	0	1569	1914	224	0	0	0	0	0	0
Ppm1a	264.642857	0	0	0	0	0	0	1835	1533	337	0	0	0	0	0	0
Ttc39c	264.500000	0	0	0	0	0	0	1897	1681	125	0	0	0	0	0	0
Slc7a7	264.500000	0	0	0	0	0	0	1835	1868	0	0	0	0	0	0	0
Pcgf5	264.357143	0	0	0	0	0	0	1848	1747	106	0	0	0	0	0	0
2410002F23Rik	264.357143	0	0	0	0	0	0	1967	1462	123	0	0	0	62	87	0
Smim22	264.142857	0	0	0	0	0	0	1965	1733	0	0	0	0	0	0	0
Rogdi	264.142857	0	0	0	0	0	0	1965	1733	0	0	0	0	0	0	0
Slc39a13	264.071429	0	0	0	0	0	0	1712	1821	164	0	0	0	0	0	0
Clec4a1	264.071429	0	0	0	0	0	0	1699	1855	143	0	0	0	0	0	0
Olr1	263.857143	0	0	0	0	0	0	1747	1808	139	0	0	0	0	0	0
Mcur1	263.857143	0	0	0	0	0	0	1832	1719	143	0	0	0	0	0	0
Fmnl2	263.428571	0	0	0	0	0	0	1834	1685	169	0	0	0	0	0	0
Filip1l	263.214286	0	0	0	0	0	0	1800	1885	0	0	0	0	0	0	0
Nepro	263.071429	0	0	0	0	0	0	1690	1645	348	0	0	0	0	0	0
Atp5g2	263.071429	0	0	0	0	0	0	2104	1579	0	0	0	0	0	0	0
Klrk1	262.642857	0	0	0	0	0	0	2068	1609	0	0	0	0	0	0	0
Lta	262.571429	0	0	0	0	0	0	1737	1784	155	0	0	0	0	0	0
Tufm	262.357143	0	0	0	0	0	0	2287	1386	0	0	0	0	0	0	0
Hck	262.071429	0	0	0	0	0	0	1870	1799	0	0	0	0	0	0	0
Nfkb2	261.785714	0	0	0	0	0	0	1512	1614	249	0	0	0	137	153	0
Cxcr5	261.642857	0	0	0	0	0	0	1697	1767	199	0	0	0	0	0	0
Ksr1	261.571429	0	0	0	0	0	0	1718	1815	129	0	0	0	0	0	0
Rps15a	261.142857	0	0	0	0	0	0	1777	1879	0	0	0	0	0	0	0
Nek6	261.071429	0	0	0	0	0	0	1536	1405	157	557	0	0	0	0	0
Ptpn2	261.000000	0	0	0	0	0	0	1920	1537	112	0	0	0	0	85	0
