Target_genes	Pbx1|Average	SRX520199|3T3-L1	SRX1482287|C2C12	SRX1482288|C2C12	SRX1557407|C2C12	SRX1557408|C2C12	SRX9088764|Embryoid_Bodies	SRX9088765|Embryoid_Bodies	SRX1602947|Embryonic_brains	SRX1602948|Embryonic_brains	SRX1629941|Embryonic_brains	SRX1629942|Embryonic_brains	SRX170716|Embryonic_trunk	SRX6879007|ES_cells	SRX14359346|Hindlimb	SRX14359347|Hindlimb	SRX319742|Myeloid_leukemia	SRX319743|Myeloid_leukemia	SRX1824751|P19	SRX25508382|Spinal_Cord	STRING
Xpo1	1407.052632	856	1008	866	1995	1595	0	0	1387	0	1811	0	642	400	3650	4030	2969	2408	452	2665	0
Eif2ak3	1402.789474	1278	1904	1980	2387	1954	0	0	828	0	1650	0	443	388	3151	3652	2485	1835	332	2386	0
Zfp120	1396.052632	2199	2490	2143	2777	2558	0	0	1006	0	1805	0	381	456	2370	1455	2978	2210	399	1298	0
Ngdn	1393.105263	1811	2932	2659	2522	2109	0	0	824	0	1090	0	210	451	1934	1262	2944	2462	293	2966	0
Fkbp5	1391.421053	687	1515	962	798	556	0	0	1305	0	1755	0	521	481	3947	4540	3502	3051	588	2229	0
Hspa2	1389.000000	725	2321	1885	1889	1484	0	0	1304	0	1608	0	379	368	3163	3306	2556	2051	366	2986	0
Gatad2a	1388.842105	873	2960	2493	2260	1870	0	0	625	0	1059	0	523	377	3227	3589	2407	2007	250	1868	0
Ankhd1	1384.736842	1221	2812	2754	2152	2013	0	0	820	0	1024	0	522	318	2408	2127	2633	2335	365	2806	0
Cyth2	1383.263158	1426	2594	2025	2855	2281	0	0	551	0	1468	0	372	517	2502	2349	3534	2575	469	764	0
Gm51425	1383.210526	2057	2851	2982	2394	2292	0	0	720	0	1301	0	292	318	2392	1625	2811	2388	481	1377	0
Gas2	1372.736842	803	2143	2150	2570	2036	0	0	1073	0	1322	0	700	549	2729	2371	2545	2237	329	2525	0
Fancf	1372.736842	803	2143	2150	2570	2036	0	0	1073	0	1322	0	700	549	2729	2371	2545	2237	329	2525	0
Prkaca	1367.894737	770	2988	2573	2118	1691	0	0	729	0	1229	0	241	512	3295	3575	2480	1988	377	1424	0
Osbp	1366.736842	1910	2990	2963	2113	1990	0	0	552	0	1115	0	222	373	2591	3081	2201	1801	336	1730	0
Hnrnpl	1362.052632	862	2634	2132	2577	2076	0	0	470	0	906	0	295	375	3052	2941	2808	2084	332	2335	0
Nek7	1359.578947	1130	1777	1801	2743	2359	0	0	1018	0	892	0	583	506	3636	3868	2935	1828	509	247	0
Epha7	1358.578947	0	2568	1064	1610	1116	0	0	1603	0	2023	0	564	505	3804	3597	2799	2336	581	1643	0
Rfx1	1352.526316	1567	3394	3608	2112	1773	0	0	602	0	1076	0	415	402	2488	2225	2367	1981	301	1387	0
Zswim1	1349.894737	819	1975	1884	2255	1920	0	0	957	0	1322	0	351	451	2915	2759	2943	2083	455	2559	0
Plin3	1340.526316	1213	1819	1408	2628	2159	0	0	616	0	823	0	359	421	3650	3279	3036	2410	562	1087	0
Per2	1338.368421	491	2383	2221	2566	1993	0	0	488	0	857	0	593	543	3021	3605	2561	1788	427	1892	0
Osbpl2	1335.473684	796	1679	1184	1677	1392	0	0	1100	0	1683	0	568	536	3824	4101	2423	1742	407	2262	0
Glcci1	1334.052632	956	2038	1407	2382	1915	0	0	697	0	1231	0	294	618	3397	3475	2815	2135	353	1634	0
Gm20346	1329.526316	617	1594	1180	1833	1182	0	0	1061	0	1686	0	657	460	3877	3996	2761	2294	410	1653	0
Anp32a	1329.526316	617	1594	1180	1833	1182	0	0	1061	0	1686	0	657	460	3877	3996	2761	2294	410	1653	0
Gpr84	1326.894737	1510	1838	1901	2165	2130	396	0	163	0	289	0	754	556	2597	3044	2733	2361	495	2279	0
Trim45	1326.000000	766	2496	2141	2441	2048	0	0	634	0	1185	0	489	410	3080	3208	2441	1744	454	1657	0
Nfe2l1	1323.684211	1181	2014	1623	2698	2159	0	0	565	0	922	0	239	428	3127	2669	2723	2175	280	2347	0
Sesn1	1319.421053	508	3674	3104	735	481	0	0	791	0	1399	0	574	587	3695	4334	2125	1576	687	799	0
Trappc11	1316.578947	1376	2126	1244	3011	2401	0	0	697	0	1051	0	211	463	2892	2863	2149	1886	333	2312	0
Rwdd4a	1316.578947	1376	2126	1244	3011	2401	0	0	697	0	1051	0	211	463	2892	2863	2149	1886	333	2312	0
Rpn2	1311.578947	1252	2190	2003	2281	1970	0	0	588	0	1015	0	354	487	3217	3053	2106	1714	251	2439	0
Mroh8	1311.578947	1252	2190	2003	2281	1970	0	0	588	0	1015	0	354	487	3217	3053	2106	1714	251	2439	0
Ltn1	1311.105263	1192	1844	1615	2867	2457	0	0	763	0	1374	0	478	498	2402	1865	2508	2196	398	2454	0
Maco1	1310.947368	597	1499	1104	1771	1242	0	0	783	0	1090	0	403	436	3636	4171	2797	2231	474	2674	0
Gm10778	1309.315789	1457	2057	1473	2796	2204	0	0	1101	0	1599	0	437	454	2773	2444	2261	1808	335	1678	0
Stk11	1307.789474	657	2983	2210	2393	1589	0	0	637	0	937	0	215	464	3038	2919	2495	1791	529	1991	0
Swsap1	1306.263158	953	2177	1638	2776	2219	0	0	1106	0	1559	0	391	400	2316	1888	2604	2049	357	2386	0
Gm10033	1305.210526	1639	2640	2355	2902	2507	0	0	799	0	1298	0	424	408	2354	1954	2328	1811	336	1044	0
Incenp	1304.789474	1507	2050	1907	2829	2109	0	0	781	0	1264	0	216	545	2292	1416	3263	2523	382	1707	0
Rpusd3	1302.789474	1588	2110	1473	2774	2195	0	0	883	0	1503	0	360	434	2673	1639	2244	1790	332	2755	0
Slf2	1302.000000	1066	1660	1141	2473	1992	0	0	765	0	1245	0	469	506	3437	3760	2702	2074	282	1166	0
Sufu	1300.842105	1530	2637	2489	2328	2017	0	0	658	0	1063	0	537	320	2376	1429	2310	1988	450	2584	0
Actr1a	1300.842105	1530	2637	2489	2328	2017	0	0	658	0	1063	0	537	320	2376	1429	2310	1988	450	2584	0
Dpp3	1298.578947	1081	1676	1261	2803	2317	0	0	636	0	1217	0	421	509	3378	3103	2557	1944	449	1321	0
Top2b	1292.789474	993	2395	1731	2907	2565	0	0	553	0	811	0	325	534	2922	2406	2202	2022	401	1796	0
Mrpl28	1284.684211	1190	2062	1970	2726	2259	0	0	981	0	1240	0	376	492	2427	1935	2296	1871	284	2300	0
Sfpq	1283.315789	1070	1892	1724	2685	2198	0	0	720	0	1460	0	330	518	2345	1164	2708	2216	399	2954	0
Lmtk2	1282.052632	984	1288	1158	2194	1898	0	0	880	0	1908	0	557	586	3723	3737	2565	1892	257	732	0
Zdhhc13	1281.789474	762	888	579	2038	1516	0	0	820	0	1543	0	746	546	4129	4464	2764	2276	410	873	0
Kdm6a	1271.894737	1298	1607	1159	3051	2427	0	0	790	0	1251	0	471	612	3488	3512	2111	1248	459	682	0
Gnaz	1269.473684	726	1733	1403	1252	1044	0	0	977	0	1727	0	599	539	4089	4361	1246	1394	365	2665	0
Dnajb5	1267.947368	1001	1945	1553	2240	1583	0	0	618	0	964	0	314	419	3443	3344	2142	1768	415	2342	0
Pknox1	1265.052632	789	2635	1620	1127	941	0	0	937	0	1369	0	410	474	3644	4071	1534	1294	571	2620	0
3110082I17Rik	1261.000000	1054	1693	1291	2472	1996	0	95	640	0	740	0	320	468	3303	3213	2271	1727	113	2563	0
Cic	1258.894737	1306	2917	2752	2342	2015	0	0	704	0	1398	0	418	325	1968	1765	2462	1558	373	1616	0
Tpcn1	1258.263158	1087	1640	1020	2222	1864	0	0	819	0	1092	0	262	342	3499	3856	2149	1658	317	2080	0
Iqcd	1258.263158	1087	1640	1020	2222	1864	0	0	819	0	1092	0	262	342	3499	3856	2149	1658	317	2080	0
Bbx	1255.789474	1249	1692	1532	2436	1841	0	0	848	0	1452	0	603	572	2061	1542	2581	2213	320	2918	0
Spc24	1255.473684	1129	1127	867	2512	2170	0	0	988	0	1440	0	360	451	3388	3710	2014	1566	285	1847	0
Canx	1254.315789	833	1875	1556	2672	1965	77	0	724	0	1019	0	445	498	2730	2710	2570	1912	397	1849	0
Nf2	1253.736842	815	1683	1593	2688	2166	0	0	648	0	1009	0	475	500	2837	2071	2751	2271	450	1864	0
Rnf5	1247.315789	1452	2453	2377	2184	1858	0	0	512	0	733	0	291	255	2589	2450	2091	1788	312	2354	0
Agpat1	1247.315789	1452	2453	2377	2184	1858	0	0	512	0	733	0	291	255	2589	2450	2091	1788	312	2354	0
Pitpnm1	1245.000000	614	1896	1723	2039	1684	0	0	505	0	826	0	380	455	3209	3393	2367	1928	424	2212	0
Cdk2ap2	1245.000000	614	1896	1723	2039	1684	0	0	505	0	826	0	380	455	3209	3393	2367	1928	424	2212	0
Ppia	1243.894737	231	1923	1492	661	495	0	0	910	0	1502	0	244	431	3814	4076	2628	2229	459	2539	0
Ptbp1	1243.736842	632	2334	1628	2732	1867	0	0	358	0	840	0	339	452	2846	2561	2559	1783	481	2219	0
Rab3a	1242.684211	1505	2190	1955	2700	2153	0	0	788	0	1170	0	585	414	2235	1648	2626	1778	425	1439	0
Dctn4	1242.578947	926	2048	1814	2524	2023	0	0	894	0	1142	0	358	506	2554	2356	2260	1985	438	1781	0
Frmd5	1240.000000	0	1908	1423	2697	2214	0	0	931	0	1303	0	365	494	3086	3045	2597	1715	194	1588	0
Mlh1	1238.842105	678	2274	1844	2871	2365	0	0	606	0	890	0	301	505	2101	1710	2730	1965	239	2459	0
Epm2aip1	1238.842105	678	2274	1844	2871	2365	0	0	606	0	890	0	301	505	2101	1710	2730	1965	239	2459	0
Jpt2	1238.263158	644	2192	1579	2781	1824	0	0	337	0	566	0	286	403	3320	3119	2020	1699	207	2550	0
Cyp2u1	1237.052632	743	1949	1791	2324	1862	0	0	797	0	1109	0	435	488	3432	3441	2046	1422	323	1342	0
Map3k3	1232.368421	981	2416	1983	2603	2113	0	0	507	0	881	0	416	426	2481	2637	1901	1615	436	2019	0
Ugp2	1231.368421	611	883	368	1884	1984	0	0	844	0	1375	0	404	533	3891	4142	2502	1680	319	1976	0
Zfp869	1230.947368	1337	2346	2040	2324	1947	77	92	755	0	1316	0	202	537	2296	1808	2205	1616	305	2185	0
Kat6b	1230.157895	983	2619	2325	2365	2001	0	0	521	0	709	0	353	449	2188	2168	2393	1997	316	1986	0
Copg2	1229.947368	293	1804	1464	0	0	0	0	714	0	1165	0	450	510	3962	4373	3399	2600	485	2150	0
Get4	1229.578947	930	1552	1348	1193	837	0	0	877	0	1378	0	636	489	3732	4120	2619	1828	543	1280	0
Evi5l	1229.157895	2093	2832	2325	2612	2247	0	0	277	0	695	0	121	448	1823	1960	2528	1673	119	1601	0
Kif1b	1228.789474	491	1907	1790	1457	1018	0	0	961	0	1283	0	418	539	3646	3538	2407	1653	301	1938	0
Pms1	1227.578947	788	1159	864	1013	1032	0	0	1163	0	1623	0	681	545	4278	4555	2287	1776	450	1110	0
Ormdl1	1227.578947	788	1159	864	1013	1032	0	0	1163	0	1623	0	681	545	4278	4555	2287	1776	450	1110	0
Glo1	1227.210526	975	2303	2057	1875	1435	0	0	1272	0	1149	0	434	419	2802	2484	1917	1352	595	2248	0
Foxo1	1225.631579	248	2144	1648	131	163	0	0	690	0	1062	0	533	451	3643	3848	2929	2274	446	3077	0
Zfp433	1222.842105	1106	2203	1533	2954	2237	0	0	579	0	795	0	249	536	2520	1939	2691	2122	326	1444	0
Gm32687	1222.842105	1106	2203	1533	2954	2237	0	0	579	0	795	0	249	536	2520	1939	2691	2122	326	1444	0
Hltf	1222.684211	995	1449	1243	2767	2066	0	0	757	0	1553	0	425	564	2483	2373	2957	2607	468	524	0
Grb2	1220.842105	766	796	620	2473	2219	0	0	1204	0	1868	0	455	502	2939	2743	2824	2300	492	995	0
Psmb3	1219.736842	1149	2135	1950	2439	2012	0	0	886	0	1090	0	327	463	2181	1084	2653	2256	224	2326	0
Pds5b	1219.736842	1155	1647	1179	1998	1515	0	0	1243	0	1634	0	311	590	3280	4017	1458	1206	452	1490	0
Pcgf2	1219.736842	1149	2135	1950	2439	2012	0	0	886	0	1090	0	327	463	2181	1084	2653	2256	224	2326	0
Cblb	1218.473684	406	1732	1623	2174	2206	0	0	749	0	1512	0	583	571	3464	3637	2147	1441	519	387	0
Ddx39a	1216.368421	1249	2752	2788	2378	1895	151	0	460	0	843	0	259	466	2253	2003	2322	1708	287	1297	0
Acap2	1216.105263	244	1842	1599	0	0	0	0	945	0	1387	0	351	489	4013	4592	2797	2203	322	2322	0
Plcl1	1214.947368	372	2177	1419	1731	1104	0	0	1588	0	2262	0	387	542	4045	4511	0	0	619	2327	0
Dcaf15	1211.421053	1105	3143	3337	2241	2000	0	0	336	0	1032	0	271	426	1832	1616	2488	1849	504	837	0
Hip1	1211.210526	1205	2732	2358	2132	1860	0	0	510	0	1113	0	219	343	1996	2280	2408	1941	283	1633	0
Me2	1211.157895	221	2043	1568	187	0	0	0	822	0	1233	0	519	522	3789	4299	2628	1951	362	2868	0
Scai	1210.000000	928	1669	1468	2945	2343	0	0	576	0	1402	0	450	608	2735	2831	2601	1696	383	355	0
Plekha8	1204.789474	1651	2663	2360	2856	2469	0	0	845	0	1210	0	439	435	2730	1703	0	0	516	3014	0
Fkbp14	1204.789474	1651	2663	2360	2856	2469	0	0	845	0	1210	0	439	435	2730	1703	0	0	516	3014	0
Slc41a1	1204.473684	846	1070	767	2266	2004	0	0	601	0	1230	0	255	494	3501	3591	2552	2235	274	1199	0
Gm12258	1204.368421	1418	2149	1635	2878	2443	0	0	619	0	981	0	278	527	1929	835	1980	1743	369	3099	0
Tent5b	1202.368421	562	2532	2024	2797	2297	0	0	792	0	833	0	299	534	2650	2349	1872	1138	576	1590	0
Otub2	1202.263158	837	1537	1001	2359	1854	0	0	692	0	1554	0	317	566	3154	2983	2651	1770	281	1287	0
Tars2	1201.526316	803	1493	1394	2863	2265	0	0	707	0	1415	0	491	510	2740	2253	2657	2319	435	484	0
Hmgn5	1198.631579	907	1543	1038	2660	2234	0	0	765	0	1208	0	436	548	2389	1594	2802	1909	439	2302	0
Pitx3	1195.842105	1397	2412	2345	2511	1963	0	0	721	0	1026	0	245	468	1816	1204	2686	1793	341	1793	0
Gbf1	1195.842105	1397	2412	2345	2511	1963	0	0	721	0	1026	0	245	468	1816	1204	2686	1793	341	1793	0
Josd1	1193.473684	1202	3402	3166	2320	2070	0	0	286	0	475	0	195	411	1536	964	2459	2014	223	1953	0
Gtpbp1	1193.473684	1202	3402	3166	2320	2070	0	0	286	0	475	0	195	411	1536	964	2459	2014	223	1953	0
Otulinl	1192.578947	351	1822	1533	993	575	0	0	979	0	1453	0	446	613	3885	3994	2547	1938	380	1150	0
H4f16	1189.578947	738	1851	1441	1359	1129	212	92	636	0	984	0	311	438	2981	3066	2562	1852	390	2560	0
H2aj	1189.578947	738	1851	1441	1359	1129	212	92	636	0	984	0	311	438	2981	3066	2562	1852	390	2560	0
Zfp960	1187.842105	1879	3273	3262	2512	2337	0	0	884	0	1396	0	239	306	2392	1425	529	571	486	1078	0
Wbp1	1187.631579	1400	1639	1424	2500	2033	0	0	759	0	1109	0	295	466	2381	1742	2549	2103	343	1822	0
Ino80b	1187.631579	1400	1639	1424	2500	2033	0	0	759	0	1109	0	295	466	2381	1742	2549	2103	343	1822	0
