Target_genes	Irf2|Average	SRX122514|Dendritic_Cells	SRX122515|Dendritic_Cells	SRX122516|Dendritic_Cells	SRX122517|Dendritic_Cells	SRX122518|Dendritic_Cells	SRX122519|Dendritic_Cells	SRX122520|Dendritic_Cells	SRX122521|Dendritic_Cells	SRX122522|Dendritic_Cells	SRX122523|Dendritic_Cells	SRX6830819|Intestinal_stem_cells	SRX8335642|Intestinal_stem_cells	SRX2953593|MEF	SRX2953594|MEF	SRX2953595|MEF	SRX2953596|MEF	SRX3730243|Trophoblast_stem_cells	SRX3730244|Trophoblast_stem_cells	SRX3730278|Trophoblast_stem_cells	STRING
Zdhhc14	182.052632	0	0	0	0	0	0	0	0	0	0	0	0	702	698	661	543	257	196	402	0
Tmem140	182.052632	0	0	0	0	0	0	0	0	0	0	0	0	502	617	762	922	551	0	105	0
Casp8ap2	181.789474	0	0	0	0	0	0	0	0	0	0	0	0	555	645	631	611	579	303	130	0
Parp9	181.526316	0	0	0	0	0	0	0	0	0	0	119	0	282	546	689	467	950	317	79	0
Dtx3l	181.526316	0	0	0	0	0	0	0	0	0	0	119	0	282	546	689	467	950	317	79	0
Trim21	180.421053	0	0	0	0	0	0	0	0	0	0	0	0	361	657	550	484	751	397	228	0
Sec23b	178.842105	0	0	0	0	0	0	0	0	0	0	0	0	479	566	624	497	617	397	218	0
Psmb8	178.684211	0	0	0	0	0	0	0	0	0	0	0	0	307	196	619	589	924	760	0	0
Rbbp8nl	171.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599	1120	536	0
Tcstv3	168.842105	304	300	139	175	214	260	220	345	0	216	527	0	0	0	0	147	148	213	0	0
Rbm43	163.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	217	321	377	1180	696	314	0
Elk4	163.000000	0	0	0	0	0	0	0	0	0	0	0	0	373	539	648	665	506	204	162	0
Il31ra	162.684211	0	0	0	0	0	0	0	0	0	0	633	1337	0	0	0	0	288	481	352	0
Ddx60	162.263158	0	0	0	0	0	0	0	0	0	0	0	0	628	559	633	670	499	94	0	0
Ifih1	161.578947	0	0	0	0	0	0	0	0	0	0	0	0	322	506	660	591	603	265	123	0
Mov10	156.105263	0	0	0	0	0	0	0	0	0	0	0	0	301	397	647	553	745	141	182	0
Usp5	154.894737	0	0	0	0	0	0	0	0	0	0	0	0	448	505	788	699	150	121	232	0
Cdca3	154.894737	0	0	0	0	0	0	0	0	0	0	0	0	448	505	788	699	150	121	232	0
Tbk1	154.105263	0	0	0	0	0	0	0	0	0	0	0	0	384	540	575	767	333	156	173	0
Usf1	152.473684	0	0	0	0	0	0	0	0	0	0	0	0	239	403	645	555	739	224	92	0
Sspn	151.894737	0	0	0	0	0	0	0	0	0	0	536	1530	0	0	0	0	297	279	244	0
H2-T10	149.210526	0	0	0	0	0	0	0	0	0	0	0	0	543	480	710	541	561	0	0	0
Tuba3b	146.368421	0	0	0	0	0	0	0	0	0	0	0	0	313	296	318	156	965	733	0	0
Irf2	146.263158	0	0	0	0	0	0	0	0	0	0	0	0	405	473	535	549	435	174	208	0
Brox	144.157895	0	0	149	282	0	0	0	0	0	0	803	696	0	149	0	135	240	108	177	0
Aida	144.157895	0	0	149	282	0	0	0	0	0	0	803	696	0	149	0	135	240	108	177	0
Tmbim6	142.526316	0	0	0	0	0	0	0	0	0	0	0	0	179	337	956	1077	159	0	0	0
Grb2	139.000000	0	0	0	0	0	0	0	0	0	0	0	0	691	843	673	434	0	0	0	0
Cwc22	135.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	669	804	1101	0
Tapbpl	134.789474	0	0	0	0	0	0	0	0	0	0	65	0	231	187	500	371	701	341	165	0
Fstl1	133.315789	0	0	0	0	0	0	0	0	0	0	0	0	505	767	696	565	0	0	0	0
Psmb10	131.210526	0	0	0	0	0	0	0	0	0	0	0	0	410	604	428	276	442	333	0	0
Ctrl	131.210526	0	0	0	0	0	0	0	0	0	0	0	0	410	604	428	276	442	333	0	0
Kat2b	130.526316	0	0	0	0	0	0	0	0	0	0	0	0	512	384	476	333	515	260	0	0
Zfp945	129.894737	0	0	0	0	0	0	0	0	0	0	0	0	366	777	668	657	0	0	0	0
Ube2v1	127.210526	0	0	0	0	0	0	0	0	0	0	0	0	400	407	669	813	0	128	0	0
Nudt13	126.263158	0	0	0	0	0	0	0	0	0	0	0	0	327	455	376	287	302	100	552	0
Apol9a	123.631579	0	0	0	0	0	0	0	0	0	0	0	0	576	567	735	471	0	0	0	0
Zfp455	121.210526	0	0	0	0	0	0	0	0	0	0	0	0	260	271	570	391	237	417	157	0
Ifit1bl2	118.105263	0	0	0	0	0	0	0	0	0	0	0	0	459	548	570	465	202	0	0	0
Ifit1	118.105263	0	0	0	0	0	0	0	0	0	0	0	0	459	548	570	465	202	0	0	0
Prkd2	116.789474	0	0	0	0	0	0	0	0	0	0	0	0	145	174	189	260	909	542	0	0
Fyco1	115.947368	0	0	0	0	0	0	0	0	0	0	0	0	265	186	193	269	261	536	493	0
Bid	115.526316	0	0	0	0	0	0	0	0	0	0	0	0	497	873	425	400	0	0	0	0
Fbxo7	115.157895	0	0	0	0	0	0	0	0	0	0	0	0	153	184	542	432	476	184	217	0
Apol9b	115.105263	0	0	0	0	0	0	0	0	0	0	0	0	489	613	647	438	0	0	0	0
Rtp4	114.368421	0	0	0	0	0	0	0	0	0	0	0	0	328	376	471	271	564	163	0	0
Tmcc3	113.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	1077	1073	0	0	0	0	0
Psma4	112.421053	0	0	0	0	0	0	0	0	0	0	0	0	186	406	413	255	453	289	134	0
AY074887	112.421053	0	0	0	0	0	0	0	0	0	0	0	0	186	406	413	255	453	289	134	0
Sppl2a	111.526316	0	0	0	0	0	0	0	0	0	0	0	0	320	440	533	466	255	0	105	0
Ifit3b	111.473684	0	0	0	0	0	0	0	0	0	0	0	0	561	621	478	458	0	0	0	0
Akr1b3	111.210526	0	0	0	0	0	0	0	0	0	0	0	0	257	467	585	616	188	0	0	0
Pomp	109.789474	0	0	298	0	0	0	0	0	0	0	0	0	211	450	591	417	119	0	0	0
Kbtbd6	109.263158	0	0	0	0	0	0	0	0	0	0	0	0	399	575	247	379	221	255	0	0
Trim5	108.052632	0	0	0	0	0	0	0	0	0	0	0	0	433	419	618	583	0	0	0	0
Tbrg1	107.894737	0	0	0	0	0	0	0	0	0	0	80	0	187	210	301	125	669	367	111	0
Ube2l6	107.736842	0	0	0	0	0	0	0	0	0	0	0	0	461	502	588	496	0	0	0	0
Misp	107.421053	0	0	0	0	0	0	0	0	0	0	0	0	433	493	497	518	100	0	0	0
Ggnbp1	107.263158	0	0	0	0	0	0	0	0	0	0	0	0	119	267	143	209	693	441	166	0
Bak1	107.263158	0	0	0	0	0	0	0	0	0	0	0	0	119	267	143	209	693	441	166	0
Rnf213	107.157895	0	0	0	0	0	0	0	0	0	0	0	0	349	420	465	383	247	0	172	0
Serpinb9	106.052632	0	0	0	0	0	0	0	0	0	0	0	0	239	528	451	279	415	103	0	0
Inhba	106.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	226	493	406	541	232	116	0
Gna13	105.894737	0	0	0	0	0	0	0	0	0	0	0	0	195	143	466	538	412	258	0	0
Gbp6	105.894737	0	0	0	0	0	0	0	0	0	0	0	0	521	626	440	425	0	0	0	0
C9orf72	103.000000	0	0	0	0	0	0	0	0	0	0	0	0	94	0	244	230	599	561	229	0
Spty2d1	102.684211	0	0	0	0	0	0	0	0	0	0	0	0	167	235	727	603	219	0	0	0
Stx8	102.000000	0	0	0	0	0	0	0	0	0	0	0	0	185	360	474	408	371	140	0	0
Cfap52	102.000000	0	0	0	0	0	0	0	0	0	0	0	0	185	360	474	408	371	140	0	0
Dusp10	101.684211	0	0	0	0	0	0	0	0	0	0	0	0	375	429	544	424	160	0	0	0
1700056E22Rik	101.684211	0	0	0	0	0	0	0	0	0	0	0	0	375	429	544	424	160	0	0	0
H2-T24	101.578947	0	0	0	0	0	0	0	0	0	0	0	0	275	322	254	341	444	294	0	0
Appl2	100.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	559	273	0
Trim12a	99.842105	0	0	0	0	0	0	0	0	0	0	0	0	418	382	561	536	0	0	0	0
Slc25a22	99.631579	0	0	0	0	0	0	0	0	0	0	0	0	538	508	447	400	0	0	0	0
H2-M3	98.210526	0	0	0	0	0	0	0	0	0	0	0	0	163	254	201	334	623	291	0	0
Ripk2	97.421053	0	0	0	0	0	0	0	0	0	0	0	0	354	518	376	499	104	0	0	0
Clic5	97.421053	0	0	233	0	0	0	0	0	0	0	173	0	253	133	217	182	327	333	0	0
Ccl5	97.263158	0	0	0	0	0	0	0	0	0	0	0	0	372	648	481	347	0	0	0	0
Idnk	97.105263	0	0	0	0	0	0	0	0	0	0	0	0	232	349	383	383	251	247	0	0
Zbtb7a	96.842105	0	0	0	0	0	0	0	0	0	0	0	0	479	515	414	269	0	0	163	0
Psmg4	95.842105	0	0	0	0	0	0	0	0	0	0	0	0	189	243	312	455	394	228	0	0
Vwa5a	95.736842	0	0	0	0	0	0	0	0	0	0	0	0	278	267	350	398	296	230	0	0
Hfe	95.421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	334	786	257	0	0
Ccnt2	95.368421	0	0	0	0	0	0	0	0	0	0	0	0	393	369	266	333	296	155	0	0
Ifit3	93.684211	0	0	0	0	0	0	0	0	0	0	0	0	345	515	501	419	0	0	0	0
Dynll2	93.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	664	375	731	0
Isg20	92.684211	0	0	0	0	0	0	0	0	0	0	0	0	358	549	408	446	0	0	0	0
Adar	92.578947	0	0	0	0	0	0	0	0	0	0	0	0	323	302	330	263	448	93	0	0
Aff1	92.157895	0	0	0	0	0	0	0	0	0	0	0	0	364	260	531	314	164	118	0	0
Kmt2a	91.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1269	190	274	0
Glra1	91.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	475	461	0
Ptcd1	91.052632	0	0	0	0	0	0	0	0	0	0	0	0	325	416	366	214	215	194	0	0
Cpsf4	91.052632	0	0	0	0	0	0	0	0	0	0	0	0	325	416	366	214	215	194	0	0
Zbp1	90.315789	0	0	0	0	0	0	0	0	0	0	0	0	499	407	423	387	0	0	0	0
Tdrd7	90.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	179	824	251	192	0
Gbp3	90.000000	0	0	0	0	0	0	0	0	0	0	0	0	330	474	381	324	201	0	0	0
Psme1	89.684211	0	0	0	0	0	0	0	0	0	0	0	0	187	256	230	346	450	235	0	0
Lsm6	89.684211	0	0	0	0	0	0	0	0	0	0	0	0	163	257	253	344	347	181	159	0
Fitm1	89.684211	0	0	0	0	0	0	0	0	0	0	0	0	187	256	230	346	450	235	0	0
Snx10	89.000000	0	0	0	0	0	0	0	0	0	0	0	0	278	173	322	242	527	149	0	0
Tnpo1	88.736842	0	0	0	0	0	0	0	0	0	0	0	0	447	360	557	322	0	0	0	0
Brip1	88.210526	0	0	0	0	0	0	0	0	0	0	0	0	143	381	422	353	233	0	144	0
Acsl5	88.157895	0	0	0	0	0	0	0	0	0	0	0	0	111	180	376	277	523	208	0	0
Cox18	85.842105	0	0	0	0	0	0	0	0	0	0	0	0	310	305	448	322	0	144	102	0
H1f2	85.157895	0	0	0	0	0	0	0	0	0	0	0	0	213	399	430	390	186	0	0	0
Cyp7b1	84.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	618	0	0
Pafah2	82.947368	0	0	0	0	0	0	0	0	0	0	0	0	185	372	259	308	106	73	273	0
Erdr1	82.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	331	445	624	0
Dimt1	82.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	167	230	256	414	290	214	0
Nkx1-1	82.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	419	539	492	0
Shfl	81.157895	0	0	0	0	0	0	0	0	0	0	84	0	0	0	207	0	922	329	0	0
Isy1	81.052632	0	0	0	0	0	0	0	0	0	0	0	0	474	312	440	314	0	0	0	0
N4bp1	80.684211	0	0	0	0	0	0	0	0	0	0	0	0	151	276	507	348	118	0	133	0
Rab21	80.421053	0	0	0	0	0	0	0	0	0	0	0	0	196	276	410	288	358	0	0	0
Zc3hav1	79.473684	0	0	0	0	0	0	0	0	0	0	0	0	121	159	449	360	258	163	0	0
Cdk12	78.789474	0	0	0	0	0	0	0	0	0	0	0	0	311	370	330	206	135	0	145	0
Trim25	78.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	225	665	191	0	0
Pced1b	76.578947	0	0	0	0	0	0	0	0	0	0	0	0	349	360	299	243	204	0	0	0
Amigo2	76.578947	0	0	0	0	0	0	0	0	0	0	0	0	349	360	299	243	204	0	0	0
Atp5o	76.315789	0	0	0	0	0	0	0	0	0	0	0	0	208	101	283	272	209	156	221	0
Capn5	74.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	577	534	194	0
Znfx1	74.052632	0	0	0	0	0	0	0	0	0	0	0	0	186	243	205	182	235	131	225	0
Lrwd1	74.000000	0	0	0	0	0	0	0	0	0	0	0	0	248	306	213	331	88	114	106	0
Alkbh4	74.000000	0	0	0	0	0	0	0	0	0	0	0	0	248	306	213	331	88	114	106	0
Pcgf5	73.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	224	228	0
Barhl1	72.105263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	473	470	0
Spats2l	71.157895	0	0	0	0	0	0	0	0	0	0	0	0	352	271	219	308	202	0	0	0
Tti2	70.842105	0	0	0	0	0	0	0	0	0	0	0	0	263	327	431	325	0	0	0	0
Tekt3	70.578947	0	0	0	0	0	0	0	0	0	0	0	0	355	378	366	242	0	0	0	0
Piezo1	70.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	259	171	209	359	246	90	0
Lck	70.052632	0	0	0	0	0	0	0	0	0	0	0	0	161	206	258	226	299	181	0	0
Thoc3	69.842105	0	0	0	0	0	0	0	0	0	0	0	0	387	518	250	172	0	0	0	0
Junb	69.368421	0	0	0	0	0	0	0	0	0	0	0	0	336	416	333	233	0	0	0	0
Tap1	68.947368	0	0	0	0	0	0	0	0	0	0	0	0	316	311	370	313	0	0	0	0
Psmb9	68.947368	0	0	0	0	0	0	0	0	0	0	0	0	316	311	370	313	0	0	0	0
Esyt1	68.947368	0	0	0	0	0	0	0	0	0	0	0	0	366	339	325	280	0	0	0	0
Prcc	68.842105	0	0	0	0	0	0	0	0	0	0	0	0	174	280	169	126	110	130	319	0
F830016B08Rik	68.315789	0	0	0	0	0	0	0	0	0	0	0	0	307	357	377	257	0	0	0	0
Nae1	68.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	342	143	0
Car7	68.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	342	143	0
Ifitm3	66.842105	0	0	0	0	0	0	0	0	0	0	0	0	236	384	314	336	0	0	0	0
Golga7b	66.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	262	559	0
C1ra	65.842105	0	0	0	0	0	0	0	0	0	0	0	0	396	310	199	346	0	0	0	0
Snap25	65.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527	392	330	0
Iqsec3	65.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	290	451	0
Zfp944	65.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	145	367	345	219	169	0	0
Zfp758	65.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	145	367	345	219	169	0	0
Top3a	65.368421	0	0	0	0	0	0	0	0	0	0	0	0	333	329	269	178	133	0	0	0
Smcr8	65.368421	0	0	0	0	0	0	0	0	0	0	0	0	333	329	269	178	133	0	0	0
Terf1	65.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	405	99	191	148	0
Smg7	65.052632	0	0	0	0	0	0	0	0	0	0	0	0	308	196	518	214	0	0	0	0
Vstm2l	65.000000	0	0	0	0	0	0	0	0	0	0	0	0	138	198	0	172	334	120	273	0
Gtpbp8	64.894737	0	0	0	0	0	0	0	0	0	0	0	0	311	194	234	146	172	176	0	0
Vps54	64.578947	0	0	0	0	0	0	0	0	0	0	0	0	319	266	281	361	0	0	0	0
Cyb5r4	64.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	216	186	263	329	0
Wsb2	63.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	112	140	167	624	107	62	0
Scnm1	62.947368	0	0	0	0	0	0	0	0	0	0	0	0	220	259	277	174	0	109	157	0
Lysmd1	62.947368	0	0	0	0	0	0	0	0	0	0	0	0	220	259	277	174	0	109	157	0
Hivep2	62.947368	0	0	0	0	0	0	0	0	0	0	0	0	278	275	422	221	0	0	0	0
Gbp9	62.526316	0	0	0	0	0	0	0	0	0	0	0	0	187	154	272	286	143	146	0	0
Emsy	62.263158	0	0	0	0	0	0	0	0	0	0	0	0	341	254	141	220	133	0	94	0
Ankfy1	62.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	155	497	276	161	92	0	0
Tent5d	61.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	148	220	238	338	229	0	0
2610002M06Rik	61.736842	0	0	0	0	0	0	0	0	0	0	0	0	0	148	220	238	338	229	0	0
Cxcl9	61.578947	0	0	0	0	0	0	0	0	0	0	0	0	194	362	386	228	0	0	0	0
Celsr3	61.578947	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	486	262	284	0
Art3	61.578947	0	0	0	0	0	0	0	0	0	0	0	0	194	362	386	228	0	0	0	0
Phf12	61.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	88	288	243	419	0
H4c2	60.894737	0	0	0	0	0	0	0	0	0	0	0	0	302	256	294	132	173	0	0	0
Ptpre	60.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	144	147	176	401	282	0	0
Apobec1	60.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	536	219	0	0	0
Dhx58	59.842105	0	0	0	0	0	0	0	0	0	0	0	0	264	361	282	230	0	0	0	0
Casp12	59.315789	0	0	0	0	0	0	0	0	0	0	0	0	309	184	313	321	0	0	0	0
1110038F14Rik	58.736842	0	0	0	0	0	0	0	0	0	0	0	0	225	281	221	193	196	0	0	0
Ctif	58.421053	0	0	0	0	0	0	0	0	0	0	0	0	309	301	164	226	0	110	0	0
Tceanc	58.315789	0	0	0	0	0	0	0	0	0	0	0	0	131	94	506	277	100	0	0	0
Zfp943	57.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	313	203	140	128	0
Zfp942	57.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	313	203	140	128	0
Il18bp	57.631579	0	0	0	0	0	0	0	0	0	0	0	0	309	202	120	167	133	164	0	0
Scarb2	57.263158	0	0	0	0	0	0	0	0	0	0	0	0	162	141	158	327	199	101	0	0
Ddx58	56.842105	0	0	0	0	0	0	0	0	0	0	0	0	150	246	283	215	186	0	0	0
Rnf19b	56.315789	0	0	0	0	0	0	0	0	0	0	0	0	188	263	331	288	0	0	0	0
Siva1	56.263158	0	0	0	0	0	0	0	0	0	0	0	0	139	304	429	197	0	0	0	0
Cbx1	56.263158	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	131	335	226	179	0
Tas1r3	56.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	206	135	0	342	0	385	0
