Target_genes	Cebpd|Average	SRX047644|3T3-L1	SRX047645|3T3-L1	SRX10965268|4T1	SRX10965269|4T1	SRX10965270|4T1	SRX10965271|4T1	SRX10965272|4T1	SRX10965273|4T1	SRX2901280|Macrophages	SRX2901281|Macrophages	SRX2901282|Macrophages	SRX2901283|Macrophages	SRX2901284|Macrophages	STRING
Rhbdf2	819.615385	0	236	1819	1874	1397	1161	563	614	0	637	691	854	809	0
Gm34653	819.615385	0	632	2063	1999	1604	1601	725	642	0	174	202	335	678	0
Plscr4	816.692308	0	0	1354	1443	1076	1188	535	622	545	712	681	1211	1250	0
Ilf2	815.461538	0	489	1660	1635	1244	1092	433	671	290	574	564	793	1156	0
Spred2	812.076923	0	193	1573	1483	1426	1223	459	486	198	500	558	902	1556	0
Miip	809.538462	0	136	1991	1684	1361	1573	617	693	221	582	437	557	672	0
Fv1	809.538462	0	136	1991	1684	1361	1573	617	693	221	582	437	557	672	0
Dhrs7	807.692308	0	393	1748	1633	1274	1434	782	609	312	650	338	561	766	0
Cox19	806.692308	0	206	1444	1319	953	896	430	508	574	990	882	1085	1200	0
Rpl10a	806.153846	0	249	1398	1391	853	933	406	415	483	822	914	1254	1362	0
Abcb1b	805.923077	0	429	1397	1180	826	1012	454	432	599	977	923	1089	1159	0
Qtrt2	804.615385	0	206	2027	2069	1457	1421	673	574	137	350	477	436	633	0
Ccdc191	804.615385	0	206	2027	2069	1457	1421	673	574	137	350	477	436	633	0
Slc38a7	804.000000	0	425	1774	1957	1173	1253	633	579	355	384	569	580	770	0
Ogfod1	803.692308	0	393	2122	1908	1506	1644	873	875	0	212	257	149	509	0
Nudt21	803.692308	0	393	2122	1908	1506	1644	873	875	0	212	257	149	509	0
Prepl	803.000000	0	248	1980	2141	1573	1324	619	587	117	391	387	429	643	0
Camkmt	803.000000	0	248	1980	2141	1573	1324	619	587	117	391	387	429	643	0
Syncrip	802.615385	0	250	1439	1697	1059	1151	528	468	215	768	793	1010	1056	0
Hmgxb3	801.461538	0	191	1763	2006	1357	1160	473	669	247	515	507	707	824	0
Gins1	797.615385	150	431	1789	1711	1208	1420	584	421	224	530	406	729	766	0
Gbp2	796.692308	165	838	1773	1598	1206	1552	693	617	145	332	398	383	657	0
Isg20	792.384615	0	258	1833	1792	1429	1162	704	485	206	518	633	450	831	0
Neurl4	790.461538	0	153	2374	2352	1457	1465	513	560	108	270	275	284	465	0
2810408A11Rik	790.461538	0	153	2374	2352	1457	1465	513	560	108	270	275	284	465	0
Lefty2	787.538462	283	763	437	339	205	276	279	142	808	1403	1502	1752	2049	0
Tank	784.076923	0	573	733	796	652	588	239	221	705	1163	1074	1454	1995	0
Ms4a6c	782.076923	0	491	223	144	105	208	0	0	1175	1666	1864	2060	2231	0
Camk2n2	781.307692	0	156	1633	1753	1133	1202	551	462	303	526	446	933	1059	0
Mars1	779.846154	0	112	2045	1952	1278	1152	423	430	484	482	546	585	649	0
Gucy2g	773.615385	0	512	2242	2179	1709	1914	610	891	0	0	0	0	0	0
Ccp110	769.769231	0	274	1583	1577	1204	1270	582	484	203	627	568	735	900	0
Sh2b2	769.307692	0	296	1720	1611	1117	1175	556	485	255	606	638	901	641	0
Cast	769.230769	0	328	1387	1316	862	739	344	480	518	763	846	1120	1297	0
Zbtb44	768.692308	0	288	1839	1943	1310	1296	590	585	164	174	166	659	979	0
Brd4	767.692308	0	0	2193	2581	1797	1705	715	764	0	0	0	119	106	0
Pbld2	761.769231	0	0	1811	1808	1157	1184	392	460	337	593	616	714	831	0
Hnrnph3	761.769231	0	0	1811	1808	1157	1184	392	460	337	593	616	714	831	0
Tcstv3	760.000000	155	0	481	404	432	458	363	398	1576	1299	1539	1478	1297	0
Nfkbiz	759.692308	0	134	1923	1954	1196	1204	541	702	163	238	235	633	953	0
Lonrf1	757.461538	0	205	2042	2214	1491	1537	769	865	0	0	0	219	505	0
Ddx42	754.538462	0	296	1900	2119	1163	1088	552	541	133	381	394	522	720	0
Ccdc47	754.538462	0	296	1900	2119	1163	1088	552	541	133	381	394	522	720	0
Naxd	753.153846	0	0	2005	1956	1406	1369	568	764	0	134	0	769	820	0
Fdxr	752.000000	153	468	1839	1719	1436	1384	690	535	126	346	263	295	522	0
Pla2g6	750.307692	0	0	1859	1967	1697	1749	707	674	0	214	170	355	362	0
Mocos	747.615385	0	0	1208	1149	873	914	391	426	709	1071	963	923	1092	0
Rgs2	747.000000	0	142	1713	1672	1055	1073	375	431	420	538	695	782	815	0
Wdr37	737.461538	0	705	457	548	620	585	158	176	342	887	1332	1538	2239	0
Nsun4	736.307692	0	156	1896	1983	1197	1138	428	473	203	437	549	511	601	0
Mtarc1	735.846154	0	226	2013	2176	1670	1747	804	930	0	0	0	0	0	0
Epb41	735.076923	0	0	1558	1372	898	945	322	570	490	619	745	864	1173	0
Map3k8	734.076923	0	0	1565	1611	1154	1201	367	277	283	640	684	781	980	0
Slc26a8	731.538462	198	721	1484	1470	904	1094	448	746	400	363	460	443	779	0
Mapk14	731.538462	198	721	1484	1470	904	1094	448	746	400	363	460	443	779	0
Hipk3	731.538462	0	131	1933	2048	1305	1415	573	612	0	195	0	459	839	0
Tomm6	731.461538	0	265	1275	1414	1169	953	546	527	258	863	549	648	1042	0
Fes	725.076923	0	0	940	1155	711	768	262	418	608	962	1011	977	1614	0
Sumo2	723.846154	0	0	2105	2581	1684	1658	421	532	0	0	0	214	215	0
Trim56	722.615385	0	0	1867	1577	872	1025	507	511	284	516	485	667	1083	0
Stub1	721.692308	0	248	1580	1663	970	967	448	412	397	631	609	607	850	0
Jmjd8	721.692308	0	248	1580	1663	970	967	448	412	397	631	609	607	850	0
Ccng2	721.461538	0	150	1331	1152	749	876	284	241	696	869	872	1049	1110	0
Dram1	721.307692	0	0	1818	2093	1277	1302	594	527	0	79	0	606	1081	0
Taco1	720.307692	127	440	1549	1576	801	1055	394	486	342	498	580	674	842	0
Pxk	720.307692	0	448	1176	1097	775	923	249	442	342	788	939	967	1218	0
Cxcl5	718.769231	0	0	2629	2221	1686	1961	0	847	0	0	0	0	0	0
Eid2b	718.538462	0	224	1287	1291	1045	899	454	389	303	754	684	723	1288	0
Iars	711.923077	0	170	1472	1683	1138	1207	504	533	166	542	560	531	749	0
Ddx49	710.692308	0	0	2333	2230	1815	1630	621	610	0	0	0	0	0	0
Cope	710.692308	0	0	2333	2230	1815	1630	621	610	0	0	0	0	0	0
Tmem63a	707.000000	0	813	756	708	846	726	311	392	254	552	1037	1065	1731	0
Arl14ep	705.153846	0	431	1022	964	554	586	265	259	455	1040	894	1040	1657	0
Slpi	703.230769	150	516	1993	1856	1378	1264	472	355	0	103	229	369	457	0
Prkx	702.692308	0	0	1415	1461	1215	1110	424	701	136	431	607	738	897	0
Galnt9	701.000000	447	790	240	258	217	264	0	0	970	1401	1577	1214	1735	0
Sdad1	700.230769	0	174	2220	2524	1538	1442	641	564	0	0	0	0	0	0
Mis18bp1	697.461538	0	149	1463	1500	994	1037	411	411	268	577	390	884	983	0
Leng9	696.846154	0	0	1842	1832	1204	1215	527	475	0	150	0	824	990	0
Ttc21b	696.769231	171	187	1688	1570	1218	1026	439	446	165	367	433	591	757	0
Per1	694.923077	0	122	1612	1706	1096	1125	440	499	0	567	404	607	856	0
Klhdc10	693.384615	0	168	964	1166	850	822	245	405	404	866	916	857	1351	0
Cp	690.000000	135	457	1325	1415	811	865	529	649	0	321	504	648	1311	0
Ptcd1	687.538462	0	0	1796	1772	1202	1095	396	437	220	399	491	420	710	0
Cpsf4	687.538462	0	0	1796	1772	1202	1095	396	437	220	399	491	420	710	0
Tex14	685.846154	368	927	1194	1359	655	676	189	274	306	825	519	723	901	0
Tulp4	685.307692	0	397	2025	1974	1296	1339	651	749	0	183	163	132	0	0
Gosr1	682.923077	0	131	1581	1647	1067	997	365	466	305	467	478	637	737	0
Krt80	680.000000	0	0	854	910	787	864	248	265	666	1007	940	913	1386	0
Gcc1	679.461538	0	158	1536	1386	752	749	222	365	269	642	648	965	1141	0
Arf5	679.461538	0	158	1536	1386	752	749	222	365	269	642	648	965	1141	0
Rffl	674.076923	0	190	605	501	217	348	102	198	547	1350	1415	1695	1595	0
Nupr1	667.384615	0	0	1238	1108	696	793	500	531	209	879	881	672	1169	0
Uvssa	667.307692	0	176	1863	1736	1115	1024	460	625	0	423	0	486	767	0
Atp13a4	665.384615	0	0	2029	2035	1641	1778	561	606	0	0	0	0	0	0
Tti2	664.307692	0	251	1424	1396	1027	855	378	564	264	608	575	428	866	0
Znrf1	663.000000	0	0	1193	1207	737	763	213	203	217	896	867	1041	1282	0
Gda	662.230769	0	758	416	351	466	498	0	120	754	1045	1188	1222	1791	0
Stab1	662.076923	0	83	442	408	625	726	126	162	654	1184	1267	1295	1635	0
Ctbs	662.076923	0	0	1404	1291	797	887	283	346	277	635	693	842	1152	0
Cry2	659.230769	0	555	1058	879	519	748	265	186	466	678	805	1031	1380	0
Mdm4	658.000000	0	238	1429	1121	1081	1178	572	334	234	435	563	473	896	0
Bms1	657.000000	227	537	1092	1286	841	766	197	210	372	451	604	813	1145	0
Got1	656.307692	0	392	1750	1617	1325	1253	544	706	0	228	0	234	483	0
Amz2	651.000000	0	0	1597	1627	913	904	355	503	0	445	565	680	874	0
Pgs1	650.846154	0	221	998	980	1070	774	238	269	597	977	800	910	627	0
Ext1	650.076923	0	377	397	479	316	355	0	145	776	1360	1310	1372	1564	0
Dus2	649.923077	0	432	1405	1478	855	1103	410	476	147	509	497	479	658	0
Ddx28	649.923077	0	432	1405	1478	855	1103	410	476	147	509	497	479	658	0
Elk4	649.692308	0	146	2000	1802	1452	1344	470	357	0	0	132	289	454	0
Itgb7	649.230769	0	996	1718	1489	1229	1261	562	375	0	0	0	183	627	0
Klhl24	648.769231	0	0	1686	1613	1064	811	497	426	0	174	150	815	1198	0
Adgrg3	645.615385	0	0	2363	1858	1383	1505	754	530	0	0	0	0	0	0
H3c15	645.307692	0	172	1581	1449	1227	1142	492	552	92	198	148	546	790	0
H3c14	645.307692	0	172	1581	1449	1227	1142	492	552	92	198	148	546	790	0
H2ac19	645.307692	0	172	1581	1449	1227	1142	492	552	92	198	148	546	790	0
H2ac18	645.307692	0	172	1581	1449	1227	1142	492	552	92	198	148	546	790	0
Sipa1l2	644.230769	0	262	1049	1003	1054	1062	506	485	309	547	541	643	914	0
Enc1	643.461538	0	0	1670	1449	1015	1319	459	540	198	346	340	336	693	0
Dtnbp1	643.230769	0	290	1694	1473	985	1009	444	469	0	276	514	461	747	0
Csde1	640.846154	0	659	599	749	676	786	271	215	332	754	997	754	1539	0
Wbp1l	639.384615	0	368	1239	1406	1093	894	357	241	306	540	497	544	827	0
Ifitm6	639.153846	0	0	0	0	0	133	0	0	1308	1855	1503	1505	2005	0
Vps26a	637.076923	0	0	1246	1479	779	903	307	462	306	533	619	800	848	0
4930578I06Rik	637.000000	0	192	1960	1999	1376	1593	650	511	0	0	0	0	0	0
Rabggta	635.153846	0	183	1391	1075	721	710	280	253	258	677	637	797	1275	0
Prkag2	634.846154	0	210	356	247	238	226	0	0	897	1552	1360	1606	1561	0
Fuca1	633.461538	0	0	1349	1365	866	931	295	288	237	423	665	858	958	0
Fam83a	631.461538	153	817	594	512	656	548	340	419	621	645	732	671	1501	0
Notch3	631.384615	0	207	1856	1596	1412	1251	476	492	0	154	271	212	281	0
Slc17a8	630.769231	0	450	1608	1458	1061	1116	470	353	125	256	288	393	622	0
Frrs1	629.923077	0	173	975	1071	628	840	194	407	559	753	878	871	840	0
Zbtb7a	629.461538	0	0	1701	1668	1217	1328	443	798	0	127	105	353	443	0
Tubb4b	629.153846	0	152	1308	1552	778	966	258	408	306	520	500	656	775	0
Slc35e3	629.153846	707	1224	1240	1052	997	811	413	251	0	228	202	395	659	0
Abraxas1	627.923077	139	690	882	863	578	654	311	181	452	583	828	863	1139	0
Comt	626.692308	209	450	1662	1704	979	1112	479	472	0	0	165	388	527	0
Trib3	626.461538	0	140	1593	1526	987	1059	447	644	0	376	204	621	547	0
Slc18a1	626.461538	0	684	289	426	442	286	178	137	816	1187	1090	1151	1458	0
Atp6v1b2	626.461538	0	684	289	426	442	286	178	137	816	1187	1090	1151	1458	0
Samd12	626.000000	0	0	1901	1681	1379	1385	441	547	0	217	143	190	254	0
Clcn3	624.153846	0	175	2045	1671	1076	1141	372	536	0	133	234	247	484	0
Kifc5b	620.615385	0	297	1765	1510	1107	936	332	338	0	285	297	444	757	0
Hnrnpf	620.153846	0	590	1460	1620	927	1001	296	395	180	242	278	421	652	0
Mrfap1	618.461538	0	499	736	745	468	544	254	227	717	898	987	1071	894	0
Col16a1	617.461538	0	117	1726	1908	1262	1273	476	525	0	0	144	297	299	0
Pan2	617.307692	0	0	829	719	597	695	281	280	515	867	887	1043	1312	0
Il23a	617.307692	0	0	829	719	597	695	281	280	515	867	887	1043	1312	0
Sdccag8	615.230769	293	747	1368	1507	1030	859	303	380	172	219	228	275	617	0
Cep170	615.230769	293	747	1368	1507	1030	859	303	380	172	219	228	275	617	0
Pycr1	614.923077	0	281	1311	1398	891	943	363	485	247	386	382	500	807	0
Myadml2	614.923077	0	281	1311	1398	891	943	363	485	247	386	382	500	807	0
Ccdc28a	614.538462	0	0	400	461	426	371	170	148	757	1128	1245	1243	1640	0
Kat2b	614.153846	0	190	1333	1133	1048	1040	398	411	275	349	480	527	800	0
