Target_genes	Myb|Average	SRX8737398|Bone_Marrow_Cells	SRX3889819|Embryonic_liver	SRX3889820|Embryonic_liver	SRX140366|MEL	SRX884094|MLL-AF9_leukemic_cell	SRX884095|MLL-AF9_leukemic_cell	STRING
Mis18bp1	268.333333	234	0	0	1089	287	0	0
Cep70	267.166667	223	117	133	807	323	0	0
Ankrd9	266.833333	280	489	370	462	0	0	0
Ramp1	266.166667	95	0	0	1502	0	0	0
Hectd4	266.000000	381	777	351	0	87	0	0
Csgalnact2	265.000000	208	0	0	1005	377	0	0
Usp39	264.833333	95	0	0	1175	319	0	0
0610030E20Rik	264.833333	95	0	0	1175	319	0	0
Vamp5	264.500000	109	129	0	1349	0	0	0
Nemf	263.833333	0	0	0	273	321	989	0
Hnrnph1	263.166667	165	0	0	1414	0	0	0
Prrc2a	262.833333	161	0	0	1162	254	0	0
Dars2	262.500000	117	0	0	1137	321	0	0
Cela1	262.500000	76	0	0	1499	0	0	0
Abhd6	262.166667	298	215	168	407	485	0	0
Primpol	261.833333	0	0	0	1571	0	0	0
Casp3	261.833333	0	0	0	1571	0	0	0
Cacna1c	260.000000	139	0	0	1421	0	0	0
Ppip5k2	259.666667	130	0	0	1073	355	0	0
Lmo2	259.666667	0	274	174	1110	0	0	0
Gin1	259.666667	130	0	0	1073	355	0	0
Mtf2	259.500000	154	0	0	924	144	335	0
Gm16381	259.500000	0	0	0	1557	0	0	0
Asb1	259.500000	133	0	0	1319	105	0	0
Ptrhd1	259.166667	99	0	0	1270	186	0	0
Cenpo	259.166667	99	0	0	1270	186	0	0
Zfp1	258.833333	137	0	0	1217	199	0	0
Slc40a1	258.000000	97	0	0	1451	0	0	0
Tbc1d25	256.500000	0	0	0	1539	0	0	0
Asap1	256.500000	199	0	0	1340	0	0	0
Olfr1404	256.000000	0	0	0	1536	0	0	0
Edc4	256.000000	139	0	0	971	426	0	0
Ear1	254.833333	123	0	0	1406	0	0	0
Ino80c	254.500000	0	0	0	1527	0	0	0
Dus3l	254.000000	63	404	246	431	179	201	0
Lyl1	253.666667	188	560	512	262	0	0	0
Sprtn	253.500000	0	0	0	1217	304	0	0
Exoc8	253.500000	0	0	0	1217	304	0	0
9530077C05Rik	253.166667	0	0	0	1305	214	0	0
Thegl	252.833333	0	0	0	1517	0	0	0
Sp4	252.166667	0	0	0	1513	0	0	0
Mob3a	251.833333	79	616	329	487	0	0	0
Ttyh3	251.333333	190	604	369	345	0	0	0
Rps29	251.000000	107	0	0	87	360	952	0
Slx4ip	250.666667	126	0	0	1159	219	0	0
Mkks	250.666667	126	0	0	1159	219	0	0
Nkx1-2	249.833333	0	0	0	1499	0	0	0
Ddx39a	249.000000	311	0	0	978	205	0	0
1810046K07Rik	248.500000	0	0	0	1491	0	0	0
Arl6ip1	248.166667	240	0	0	1099	150	0	0
Grb2	247.833333	108	0	0	1272	107	0	0
Smim6	247.000000	280	91	0	1111	0	0	0
Acer3	246.166667	0	0	0	1477	0	0	0
Ifngr2	246.000000	112	182	252	815	115	0	0
Plcl2	245.500000	0	0	0	1473	0	0	0
Smim5	245.333333	0	113	0	1359	0	0	0
Izumo4	244.833333	79	616	329	445	0	0	0
Ldb1	244.666667	0	155	0	1313	0	0	0
B9d2	244.666667	225	0	0	1075	168	0	0
Slc11a2	244.500000	0	0	0	1467	0	0	0
Tmbim4	243.833333	0	0	0	305	1058	100	0
Art4	243.666667	125	573	535	229	0	0	0
Slc22a4	243.500000	200	432	93	601	135	0	0
Ctse	243.500000	232	216	0	908	105	0	0
Dohh	242.333333	156	285	173	727	113	0	0
Kat7	242.166667	178	0	0	1035	240	0	0
Swi5	241.833333	206	0	0	789	124	332	0
Golga2	241.833333	206	0	0	789	124	332	0
Anln	241.666667	0	0	0	1305	145	0	0
Ermp1	240.000000	121	0	0	1134	185	0	0
Gata1	238.833333	0	271	178	984	0	0	0
Ptger4	236.333333	0	0	0	1418	0	0	0
9430015G10Rik	236.166667	0	0	0	1076	341	0	0
Dnajc10	235.333333	222	0	0	1067	123	0	0
Stxbp1	234.833333	0	0	0	1409	0	0	0
Acot7	234.833333	181	0	0	1009	219	0	0
Cit	234.500000	103	0	0	1304	0	0	0
Leprot	234.000000	87	0	0	1317	0	0	0
Gstt2	234.000000	90	0	0	982	332	0	0
Strbp	233.333333	0	0	0	1205	195	0	0
Kif3b	233.333333	0	0	0	1263	137	0	0
Ehd3	233.000000	0	0	0	1398	0	0	0
Gnat2	232.333333	130	454	239	571	0	0	0
Sik3	231.666667	0	0	0	1278	112	0	0
Pafah1b2	231.666667	0	0	0	1278	112	0	0
Bclaf1	230.833333	114	0	0	1271	0	0	0
Rabgef1	230.666667	190	134	0	1060	0	0	0
Bcl2l13	230.666667	0	0	0	1384	0	0	0
Atp13a3	230.000000	93	0	0	887	281	119	0
Zfp882	229.166667	0	0	0	1375	0	0	0
Pus10	229.166667	205	0	0	986	184	0	0
Pbx4	228.500000	166	0	0	1088	117	0	0
Lcorl	228.333333	0	0	0	1253	117	0	0
Atxn7l1	227.666667	260	0	0	931	175	0	0
Dchs2	227.500000	0	0	0	665	382	318	0
Rfx5	227.166667	95	0	0	652	69	547	0
Bcl2l12	227.166667	189	0	0	903	271	0	0
Gypa	226.666667	276	308	293	483	0	0	0
Srgn	226.500000	0	0	0	1163	196	0	0
Srfbp1	225.666667	0	0	0	1027	327	0	0
Phrf1	225.500000	255	0	0	925	173	0	0
Rlf	225.333333	90	0	0	290	692	280	0
Rbbp5	224.833333	234	0	0	743	372	0	0
Tmem101	224.333333	128	0	0	381	256	581	0
Olfr806	224.166667	0	320	0	381	408	236	0
Ppox	223.833333	155	422	271	351	144	0	0
Fzr1	223.500000	156	285	173	727	0	0	0
Spn	223.333333	349	0	0	848	143	0	0
Cenpu	223.333333	196	0	0	865	279	0	0
Nfe2l2	223.000000	142	278	204	714	0	0	0
Eri3	223.000000	0	0	0	1038	300	0	0
Tnfaip2	222.500000	221	214	215	685	0	0	0
Gml2	222.000000	0	0	0	1332	0	0	0
Gml	222.000000	0	0	0	1332	0	0	0
Sub1	221.333333	172	0	0	945	211	0	0
Mcrs1	220.666667	0	0	0	1154	170	0	0
Il1rl1	220.666667	113	0	78	1133	0	0	0
Snrpc	220.500000	93	0	0	640	590	0	0
Tex14	220.166667	265	0	0	836	220	0	0
Taf12	220.166667	305	0	0	797	219	0	0
Dnajc19	220.000000	0	0	0	1320	0	0	0
Palm	219.666667	237	0	0	728	353	0	0
Kctd7	219.500000	117	0	0	1055	145	0	0
Mrpl52	218.666667	0	0	0	1181	131	0	0
Zdhhc17	218.500000	0	0	0	1311	0	0	0
Tkfc	218.333333	157	0	0	950	203	0	0
Slc6a9	218.333333	203	447	307	353	0	0	0
Ddb1	218.333333	157	0	0	950	203	0	0
Micall2	217.666667	249	302	187	568	0	0	0
Fam227b	217.500000	0	0	0	289	207	809	0
Dtwd1	217.500000	0	0	0	289	207	809	0
Arel1	216.500000	117	0	0	994	188	0	0
Egfl8	216.000000	141	0	0	1025	130	0	0
St3gal5	215.833333	0	154	134	1007	0	0	0
C1s2	215.666667	0	0	0	1294	0	0	0
Exoc2	215.500000	0	0	0	253	898	142	0
Phf23	215.333333	215	0	0	965	112	0	0
Cep83	215.333333	272	0	0	901	119	0	0
Nmt1	214.166667	115	0	0	984	186	0	0
Pik3r1	213.833333	0	0	0	1283	0	0	0
Cox7c	213.666667	0	0	0	967	315	0	0
Reln	213.166667	92	238	234	715	0	0	0
Sdccag8	212.333333	71	0	0	988	215	0	0
Rrm1	212.333333	0	0	0	685	589	0	0
Cep170	212.333333	71	0	0	988	215	0	0
Palb2	212.166667	0	0	0	196	871	206	0
Dctn5	212.166667	0	0	0	196	871	206	0
Nup62	211.666667	120	0	0	925	225	0	0
Il4i1b	211.666667	120	0	0	925	225	0	0
Atf5	211.666667	120	0	0	925	225	0	0
Vars	211.333333	132	0	0	850	169	117	0
Kdm5c	211.333333	183	0	0	1085	0	0	0
D17H6S56E-5	211.333333	132	0	0	850	169	117	0
Panx3	211.000000	0	0	0	1266	0	0	0
Gpx1	210.833333	144	226	252	643	0	0	0
Gtf3c6	210.500000	279	0	0	627	273	84	0
Vps13d	210.000000	0	221	0	391	648	0	0
Tbc1d31	209.000000	75	0	0	997	182	0	0
Fam189b	208.500000	0	0	0	1251	0	0	0
Kdm8	208.000000	72	0	0	331	736	109	0
Tgfb1	207.166667	0	0	0	1075	168	0	0
Pprc1	207.166667	0	0	0	996	247	0	0
Slc4a1	206.666667	208	600	432	0	0	0	0
Ano6	205.000000	0	0	0	1230	0	0	0
Rnf125	204.833333	200	0	0	1029	0	0	0
Ptprv	204.833333	83	0	0	930	216	0	0
Ptpn7	204.833333	83	0	0	930	216	0	0
Unk	204.333333	241	0	0	440	545	0	0
Ilrun	204.333333	0	0	0	1085	141	0	0
Snrpb2	204.000000	0	0	0	272	854	98	0
Ncoa4	204.000000	0	245	137	742	100	0	0
Evi2b	203.833333	0	0	0	1020	203	0	0
Ache	203.666667	138	278	154	456	196	0	0
Pcyox1l	203.500000	142	0	0	898	181	0	0
Mrm1	202.333333	120	371	324	399	0	0	0
Ifrd2	202.166667	155	153	86	453	366	0	0
Smc4	202.000000	0	0	0	945	267	0	0
Ift80	202.000000	0	0	0	945	267	0	0
Gzmb	201.500000	0	0	0	1209	0	0	0
Ezh2	201.166667	0	0	0	1063	144	0	0
Fxn	200.833333	110	121	0	974	0	0	0
Tmem217	200.333333	0	0	0	1047	155	0	0
Tbc1d22b	200.333333	0	0	0	1047	155	0	0
Vstm5	200.166667	0	0	0	1201	0	0	0
Cd59a	200.166667	239	420	220	322	0	0	0
Znfx1	200.000000	169	361	262	237	171	0	0
Ubox5	199.833333	116	0	0	854	229	0	0
Fastkd5	199.833333	116	0	0	854	229	0	0
Atp7b	199.833333	0	0	0	1012	187	0	0
Alg11	199.833333	0	0	0	1012	187	0	0
Smim17	199.500000	118	0	0	722	357	0	0
Zfp54	199.000000	141	0	0	838	215	0	0
Gnai3	199.000000	154	0	0	809	231	0	0
Hsp90aa1	198.833333	222	249	0	533	189	0	0
Cox19	198.833333	0	0	0	202	835	156	0
Ckap2l	198.833333	205	134	166	520	168	0	0
Inka1	198.500000	202	436	134	419	0	0	0
Psme3	198.333333	203	185	173	480	149	0	0
Spatc1	197.833333	0	0	0	1187	0	0	0
Smdt1	197.500000	175	439	239	332	0	0	0
Pheta2	197.500000	175	439	239	332	0	0	0
Naga	197.500000	175	439	239	332	0	0	0
Sugp2	197.166667	122	0	0	840	221	0	0
Armc6	197.166667	122	0	0	840	221	0	0
Tcp1	196.666667	176	0	0	914	90	0	0
Mrpl18	196.666667	176	0	0	914	90	0	0
Zfyve1	196.500000	98	0	0	779	302	0	0
Rcsd1	196.000000	135	122	0	744	175	0	0
Zfp560	195.500000	0	0	0	804	369	0	0
Utp18	194.666667	0	0	0	1168	0	0	0
Mbtd1	194.666667	0	0	0	1168	0	0	0
Slc25a21	194.500000	67	0	0	1100	0	0	0
Agpat1	194.333333	141	0	0	1025	0	0	0
Gm3448	193.166667	90	0	0	646	423	0	0
Gm3417	193.166667	90	0	0	646	423	0	0
Tmem260	193.000000	212	0	0	444	502	0	0
Tchp	192.333333	0	0	0	896	258	0	0
Ssna1	192.333333	127	0	0	515	512	0	0
Plekha6	192.333333	0	0	0	1154	0	0	0
Anapc2	192.333333	127	0	0	515	512	0	0
Prkab1	191.833333	178	249	256	370	98	0	0
Stk16	191.666667	108	0	0	763	279	0	0
Glb1l	191.666667	108	0	0	763	279	0	0
Nrap	191.333333	0	0	0	1148	0	0	0
Unc5cl	191.000000	101	267	121	657	0	0	0
Tspo2	191.000000	101	267	121	657	0	0	0
Csrp1	190.833333	0	0	0	1145	0	0	0
Man1b1	190.500000	0	0	0	735	408	0	0
Tcte3	190.333333	90	0	0	629	423	0	0
Hmga1b	190.333333	399	0	0	593	150	0	0
Hmga1	190.333333	399	0	0	593	150	0	0
Olfr65	190.166667	120	313	149	559	0	0	0
Olfr631	190.166667	120	313	149	559	0	0	0
Rdm1	189.166667	315	0	0	486	252	82	0
Inafm1	188.833333	0	0	0	1133	0	0	0
Map2k5	188.000000	0	0	0	838	290	0	0
Gm3435	188.000000	90	0	0	615	423	0	0
Nuf2	187.500000	129	0	0	635	361	0	0
Pdgfrb	187.166667	157	0	0	683	283	0	0
Depdc1b	186.833333	197	362	124	438	0	0	0
Ppan	186.333333	155	0	0	840	123	0	0
Pigq	186.333333	0	342	312	309	155	0	0
Nhlrc4	186.333333	0	342	312	309	155	0	0
Arap3	186.000000	0	0	0	1116	0	0	0
Tbcel	185.833333	0	0	0	1115	0	0	0
Amn1	185.833333	165	0	0	801	149	0	0
Trappc1	185.666667	120	0	0	853	141	0	0
Kcnab3	185.666667	120	0	0	853	141	0	0
Cntrob	185.666667	120	0	0	853	141	0	0
Bola3	185.333333	0	408	244	201	259	0	0
Slc41a3	185.000000	0	293	109	708	0	0	0
Rnase6	184.333333	0	96	0	1010	0	0	0
9030025P20Rik	184.000000	90	0	0	646	368	0	0
Hdac7	183.833333	0	0	0	1103	0	0	0
Slc35g3	183.500000	147	0	0	799	155	0	0
Polr2a	183.500000	147	0	0	799	155	0	0
Ufsp1	183.166667	138	278	154	456	73	0	0
Apoe	182.833333	0	0	0	1097	0	0	0
Apoc1	182.833333	0	0	0	1097	0	0	0
Ermard	182.666667	73	0	0	629	394	0	0
Trim15	182.000000	133	445	333	181	0	0	0
Trim10	182.000000	133	445	333	181	0	0	0
S100z	182.000000	0	0	0	1092	0	0	0
Pgk1	181.833333	0	0	0	0	927	164	0
Smap2	181.500000	78	0	0	1011	0	0	0
Oplah	181.500000	0	0	0	1089	0	0	0
Stom	181.000000	151	297	277	131	230	0	0
Plek	180.666667	142	0	0	851	91	0	0
Gmfb	180.000000	125	0	0	870	85	0	0
Rsrp1	179.833333	117	0	0	704	258	0	0
Eapp	179.666667	251	0	0	584	243	0	0
Dvl2	179.500000	0	0	0	965	112	0	0
Zfp433	179.166667	115	0	0	735	225	0	0
Ubap2	179.166667	197	0	0	644	234	0	0
Gm32687	179.166667	115	0	0	735	225	0	0
Cuedc1	179.166667	163	0	0	912	0	0	0
Rassf1	179.000000	171	0	0	673	230	0	0
Naa25	178.666667	186	0	0	676	210	0	0
Cep295	178.333333	147	0	0	752	171	0	0
Zfp106	178.000000	0	0	0	963	105	0	0
Snap23	178.000000	0	0	0	963	105	0	0
Spta1	177.666667	0	286	416	364	0	0	0
Tbp	177.500000	111	0	0	772	182	0	0
Psmb1	177.500000	111	0	0	772	182	0	0
Frmd4a	177.500000	162	396	247	260	0	0	0
Nr2c2	177.000000	130	0	0	779	153	0	0
Dnajb1	177.000000	276	0	0	669	117	0	0
Rabgap1l	176.833333	0	0	0	1061	0	0	0
Stat5b	176.500000	0	0	0	852	207	0	0
Narf	176.500000	0	0	169	890	0	0	0
Pdss1	176.333333	174	0	0	580	304	0	0
Rnf7	176.166667	0	0	0	647	410	0	0
Phc1	176.166667	0	0	0	1057	0	0	0
Tmem262	176.000000	132	0	0	381	431	112	0
Nwd1	175.500000	129	0	0	744	0	180	0
Rhbdd3	175.333333	111	0	0	941	0	0	0
Ewsr1	175.333333	111	0	0	941	0	0	0
Hspa5	175.166667	0	0	0	829	222	0	435
Grk2	174.833333	147	0	0	793	109	0	0
Rad23a	174.166667	0	205	172	268	149	251	0
Dstn	173.666667	264	175	0	603	0	0	0
Senp7	173.500000	0	239	238	564	0	0	0
Ppp1r15a	173.500000	171	327	326	111	106	0	0
Plekha4	173.500000	171	327	326	111	106	0	0
Lrwd1	173.333333	0	0	0	680	360	0	0
Alkbh4	173.333333	0	0	0	680	360	0	0
Ywhah	173.166667	159	0	0	771	109	0	0
Ranbp2	173.166667	278	0	0	537	224	0	0
Mnd1	173.000000	234	0	0	667	137	0	0
Ankrd6	173.000000	198	151	0	689	0	0	0
Pabpc1	172.833333	165	0	0	702	170	0	0
Ssr3	172.500000	0	0	0	1035	0	0	0
Extl3	172.500000	123	84	147	681	0	0	0
Aplf	172.333333	0	0	0	879	155	0	0
Ndufs5	172.166667	137	0	0	771	125	0	0
Rpp25	172.000000	0	382	371	279	0	0	0
Zfp207	171.833333	169	0	0	761	101	0	0
Cstf1	171.833333	160	0	0	320	551	0	0
Aurka	171.833333	160	0	0	320	551	0	0
Ccdc32	171.666667	61	170	143	656	0	0	0
Lin52	171.166667	222	0	0	805	0	0	0
Aldh6a1	171.166667	222	0	0	805	0	0	0
Srsf2	171.000000	187	0	0	712	127	0	0
Mfsd11	171.000000	187	0	0	712	127	0	0
Nup153	170.833333	0	0	0	416	609	0	0
Blvrb	170.666667	117	0	0	907	0	0	0
Rtn4rl1	170.166667	0	0	0	194	827	0	0
Rrp1	170.166667	0	0	0	162	859	0	0
Dph1	170.166667	0	0	0	194	827	0	0
Med20	170.000000	0	0	0	592	428	0	0
Gm20517	170.000000	0	0	0	592	428	0	0
Bysl	170.000000	0	0	0	592	428	0	0
Arl2	170.000000	361	0	0	474	185	0	0
Taldo1	169.833333	0	0	0	936	83	0	0
Acsl1	169.500000	0	0	0	1017	0	0	0
Rer1	169.333333	164	0	0	696	156	0	0
Morn1	169.333333	164	0	0	696	156	0	0
Macir	169.000000	109	358	227	320	0	0	0
Lsm5	168.833333	0	0	0	252	622	139	0
Aasdh	168.833333	68	0	0	433	512	0	0
Nudcd3	168.666667	239	0	0	579	194	0	0
Ube2t	168.166667	284	0	0	592	133	0	0
Tubb5	168.166667	120	0	0	763	126	0	0
Mdc1	168.166667	120	0	0	763	126	0	0
Dtx4	167.833333	178	0	0	297	407	125	0
Arhgap33	167.666667	172	0	0	684	150	0	0
Capn15	167.500000	80	306	259	204	156	0	0
Cand1	167.333333	237	0	0	574	193	0	0
Aaas	167.333333	0	0	0	769	235	0	0
Timm9	167.166667	295	0	0	550	158	0	0
Srsf1	167.166667	146	0	0	727	130	0	0
2700049A03Rik	167.166667	295	0	0	550	158	0	0
Isca1	167.000000	215	259	234	176	118	0	0
Bpnt2	166.833333	148	0	0	666	187	0	0
Plekhs1	166.666667	0	0	0	1000	0	0	0
Vapa	165.500000	61	0	0	736	196	0	0
Mbtps2	165.500000	0	0	0	843	150	0	0
Lgals9	165.333333	0	0	0	992	0	0	0
Cdkn2aip	165.333333	0	0	0	876	116	0	0
Recql	165.166667	0	0	0	991	0	0	0
Golt1b	165.166667	0	0	0	991	0	0	0
Tbc1d13	164.833333	182	0	0	620	187	0	0
Pigu	164.666667	0	0	0	758	230	0	0
Bbs9	164.500000	0	0	0	813	174	0	0
Trmt112	164.333333	278	0	0	509	199	0	0
Prdx5	164.333333	278	0	0	509	199	0	0
Cep20	164.333333	182	0	0	616	188	0	0
Stam	164.166667	80	0	0	905	0	0	0
Tmem107	164.000000	204	0	0	629	151	0	0
Mrps23	164.000000	0	0	0	507	477	0	0
Ambra1	163.833333	0	0	0	168	721	94	0
