Target_genes	Clock|Average	SRX1098141|Beta-TC-6	SRX7525068|Gastrocnemius_muscle	SRX7525069|Gastrocnemius_muscle	DRX011942|Liver	DRX011943|Liver	DRX011944|Liver	DRX011945|Liver	DRX011946|Liver	DRX011947|Liver	DRX011948|Liver	DRX011949|Liver	DRX011950|Liver	DRX011951|Liver	DRX011952|Liver	DRX011953|Liver	DRX011954|Liver	DRX011955|Liver	DRX011956|Liver	DRX011957|Liver	DRX011958|Liver	DRX011959|Liver	DRX011960|Liver	DRX011961|Liver	SRX131982|Liver	SRX285121|Liver	SRX285122|Liver	SRX285123|Liver	SRX285124|Liver	SRX285125|Liver	SRX285126|Liver	SRX285127|Liver	SRX285128|Liver	SRX285129|Liver	SRX285130|Liver	SRX285131|Liver	SRX285132|Liver	SRX414999|Liver	SRX415000|Liver	SRX4416878|Liver	SRX4416879|Liver	SRX4416880|Liver	SRX4416881|Liver	SRX4416892|Liver	SRX4416894|Liver	SRX4416896|Liver	SRX4416898|Liver	SRX710452|Liver	SRX710446|NIH/3T3	SRX710447|NIH/3T3	SRX710448|NIH/3T3	SRX710449|NIH/3T3	SRX710450|NIH/3T3	SRX710451|NIH/3T3	STRING
Car11	404.245283	271	1546	1355	0	0	0	0	0	0	0	0	0	0	444	658	893	590	1296	132	127	249	469	145	0	0	0	0	0	0	0	0	0	0	0	0	0	831	443	1441	1151	1014	1401	1873	1661	1546	1702	0	0	0	187	0	0	0	0
Smim17	403.830189	0	771	908	0	0	0	0	0	0	0	0	0	0	909	1130	1052	418	1066	0	0	229	643	121	0	0	0	0	0	0	0	0	0	0	0	0	0	3360	1492	1573	1477	961	1837	788	930	1295	443	0	0	0	0	0	0	0	0
Zfp292	389.622642	0	966	1120	0	0	0	0	0	0	0	0	0	0	1124	1463	1263	301	956	0	173	533	818	128	0	0	0	0	0	0	0	0	0	0	0	0	0	1629	651	1434	1182	981	1718	978	1311	1642	279	0	0	0	0	0	0	0	0
Kpna1	388.132075	299	742	953	534	487	394	657	524	418	426	475	320	413	589	546	370	367	576	286	582	492	320	278	872	424	394	276	442	337	459	0	0	0	823	0	0	791	942	315	302	367	215	317	199	549	304	636	0	346	0	0	213	0	0
Gnpnat1	387.962264	0	711	1201	0	0	0	0	0	0	0	0	0	0	429	408	654	0	503	0	0	260	670	281	0	0	0	0	0	0	0	0	0	0	0	0	0	1592	875	1870	1630	1412	2026	1442	1526	1955	1117	0	0	0	0	0	0	0	0
Avpi1	380.377358	111	2015	2664	0	0	0	0	0	0	0	0	0	0	324	437	528	201	428	0	0	87	434	120	0	0	0	0	0	0	0	0	0	0	0	0	0	1324	436	1476	1139	1164	1929	1357	1460	1449	933	0	0	0	144	0	0	0	0
Klf16	377.811321	117	990	1475	0	0	0	0	0	0	0	0	0	0	222	479	860	263	304	0	0	0	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1727	402	1947	1655	1427	2400	1569	1473	1375	551	0	0	0	0	0	0	0	0
Supv3l1	376.584906	113	1703	2045	0	0	0	0	0	0	0	0	0	0	342	601	820	333	504	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2535	1599	1649	1349	829	1492	788	1284	1092	447	0	0	0	0	0	0	0	0
Fibp	374.735849	259	1712	2278	0	0	0	0	0	0	0	0	0	0	308	436	422	233	1024	0	0	247	524	96	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	380	1446	1295	1058	1754	1069	1618	1596	738	0	0	0	0	0	0	0	0
Ccdc85b	374.735849	259	1712	2278	0	0	0	0	0	0	0	0	0	0	308	436	422	233	1024	0	0	247	524	96	0	0	0	0	0	0	0	0	0	0	0	0	0	1368	380	1446	1295	1058	1754	1069	1618	1596	738	0	0	0	0	0	0	0	0
Mapk6	374.622642	0	1448	1971	0	0	0	0	0	0	0	0	0	0	428	276	714	238	633	0	0	442	553	237	0	0	0	0	0	0	0	0	0	0	0	0	0	1232	222	1786	1207	1035	1887	1248	1602	1922	774	0	0	0	0	0	0	0	0
Tspan4	370.433962	0	558	870	0	0	0	0	0	0	0	0	0	0	567	951	848	533	1134	91	0	198	1035	149	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	726	1914	1623	845	1768	799	1556	1571	779	0	0	0	0	0	0	0	0
Polr2l	370.433962	0	558	870	0	0	0	0	0	0	0	0	0	0	567	951	848	533	1134	91	0	198	1035	149	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	726	1914	1623	845	1768	799	1556	1571	779	0	0	0	0	0	0	0	0
Ube2q1	365.471698	80	2013	2319	0	0	0	0	0	0	0	0	0	0	288	513	554	117	633	0	0	97	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236	415	1790	1750	1243	1745	1289	1106	1184	622	0	0	0	0	0	0	0	0
Hif1a	365.415094	203	2593	2991	0	0	0	0	0	0	0	0	0	0	342	505	527	155	762	0	0	0	471	84	0	0	0	0	0	0	0	0	0	0	0	0	0	1389	442	1492	1177	597	1443	923	1331	1310	630	0	0	0	0	0	0	0	0
Serf2	364.924528	0	2229	2494	0	0	0	0	0	0	0	0	0	0	254	270	503	113	409	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	547	1711	1722	971	1774	1442	1352	1122	806	0	0	0	0	0	0	0	0
Pten	361.018868	0	1926	2337	0	0	0	0	0	0	0	0	0	0	313	541	929	487	892	0	0	166	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1824	1027	1407	1269	722	1044	755	1234	1160	542	0	0	0	0	0	0	0	0
Sumo2	353.094340	0	2224	2761	0	0	0	0	0	0	0	0	0	0	423	448	576	314	636	0	0	178	323	202	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	1801	1440	936	1669	1126	1118	1470	323	0	0	0	0	0	0	0	0
Klf11	351.962264	240	2351	2685	0	0	0	0	0	0	0	0	0	0	88	323	356	112	335	0	0	0	444	133	0	0	0	0	0	0	0	0	0	0	0	0	0	2003	1065	1414	1243	779	1267	900	1215	1079	622	0	0	0	0	0	0	0	0
Klf15	351.452830	0	1252	1801	0	0	0	0	0	0	0	0	0	0	748	762	1046	379	1179	0	93	200	696	146	0	0	0	0	0	0	0	0	0	0	0	0	0	521	532	1436	1183	975	1453	964	1190	1449	622	0	0	0	0	0	0	0	0
Abcf2	350.773585	0	915	1663	0	0	0	0	0	0	0	0	0	0	320	652	661	274	733	0	0	207	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128	468	1870	1859	1027	2008	1115	1090	1463	621	0	0	0	0	0	0	0	0
Sde2	349.905660	0	1134	1687	0	0	0	0	0	0	0	0	0	0	354	842	849	348	1136	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1507	455	1851	1696	922	1597	896	1030	1149	441	0	0	0	0	0	0	0	0
Lcorl	348.528302	96	1333	1422	0	0	0	0	0	0	0	0	0	0	139	199	266	211	345	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	495	1866	1383	1244	2310	1213	1865	1874	859	0	0	0	0	0	0	0	0
Ilf3	345.207547	0	2517	2881	0	0	0	0	0	0	0	0	0	0	192	454	466	0	363	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1464	569	2015	1685	865	1577	864	807	610	643	0	0	0	0	0	0	0	0
Junb	344.924528	0	326	613	0	0	0	0	0	0	0	0	0	0	1007	1322	1526	757	1193	186	151	264	1080	152	0	0	0	0	0	0	0	0	0	0	0	0	0	907	466	475	516	1045	1582	1025	1394	1557	737	0	0	0	0	0	0	0	0
Slc27a2	344.094340	0	0	0	0	0	0	0	0	0	0	0	0	0	869	831	1004	387	872	0	105	435	987	289	0	0	0	0	0	0	0	0	0	0	0	0	0	705	728	1457	1259	1212	2268	1222	1235	1724	648	0	0	0	0	0	0	0	0
Kdm6b	337.905660	128	1415	1727	0	0	0	0	0	0	0	0	0	0	523	511	545	347	707	0	0	147	676	111	0	0	0	0	0	0	0	0	0	0	0	0	0	1015	415	1511	1369	861	1559	942	1369	1356	675	0	0	0	0	0	0	0	0
Aven	336.283019	78	1946	2585	0	0	0	0	0	0	0	0	0	0	156	176	179	137	178	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	196	1731	1754	1037	1990	875	1431	1373	785	0	0	0	0	0	0	0	0
Hlf	333.566038	340	1771	2415	0	0	0	0	0	0	0	0	0	0	352	155	207	0	524	0	0	139	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	608	1269	996	1116	1350	1077	1392	1365	922	0	0	0	0	0	0	0	0
Asmt	331.094340	304	167	0	158	276	214	337	167	207	240	205	401	300	374	294	365	306	452	305	273	372	247	344	534	655	620	600	695	659	697	299	364	367	1040	296	151	817	941	370	298	343	209	226	226	202	295	336	0	0	0	0	0	0	0
Rapgef1	330.452830	0	0	0	0	0	0	0	0	0	0	0	0	0	455	689	406	210	726	0	0	81	449	166	0	0	0	0	0	0	0	0	0	0	0	0	0	1491	608	1819	1669	1364	1954	1034	1582	1826	985	0	0	0	0	0	0	0	0
Mknk2	326.584906	0	1430	1583	0	0	0	0	0	0	0	0	0	0	346	464	404	128	498	0	0	180	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1481	1103	1551	1238	1020	1456	1116	1072	1162	722	0	0	0	0	0	0	0	0
Rpp38	324.490566	0	1976	2130	0	0	0	0	0	0	0	0	0	0	291	296	385	0	554	0	0	204	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2295	1254	1724	1222	674	1368	786	736	736	323	0	0	0	0	0	0	0	0
Acbd7	324.490566	0	1976	2130	0	0	0	0	0	0	0	0	0	0	291	296	385	0	554	0	0	204	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2295	1254	1724	1222	674	1368	786	736	736	323	0	0	0	0	0	0	0	0
Cnn3	323.037736	0	531	654	0	0	0	0	0	0	0	0	0	0	498	649	722	361	663	0	128	255	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085	694	1683	1397	879	1570	1002	1760	1513	586	0	0	0	0	0	0	0	0
Zzz3	319.962264	0	2155	2486	0	0	0	0	0	0	0	0	0	0	213	334	350	0	282	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2416	1668	1237	969	633	987	489	901	1034	336	0	0	0	0	0	0	0	0
Ppp1r3c	317.283019	0	1532	1975	0	0	0	0	0	0	0	0	0	0	662	962	847	299	645	0	0	0	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1503	525	851	620	951	1563	1034	1032	730	296	0	0	0	0	0	0	0	0
Hmgn2	314.301887	114	1263	1609	0	0	0	0	0	0	0	0	0	0	0	198	249	0	381	0	0	120	524	177	0	0	0	0	0	0	0	0	0	0	0	0	0	613	98	1809	1238	1032	2105	1195	1415	1927	591	0	0	0	0	0	0	0	0
Eef2k	312.471698	139	916	1077	0	0	0	0	0	0	0	0	0	0	358	697	533	279	711	0	0	131	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	548	1528	1239	881	1543	761	1068	1269	506	0	0	0	0	0	0	0	0
Dgat2	311.924528	227	2095	2638	0	0	0	0	0	0	0	0	0	0	442	264	541	0	524	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1041	728	1426	753	639	1079	777	1506	847	593	0	0	0	0	0	0	0	0
Tns2	311.075472	0	1263	1747	0	0	0	0	0	0	0	0	0	0	313	435	538	418	569	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	224	1206	1363	1078	1573	962	1421	1746	732	0	0	0	0	0	0	0	0
Rnf145	309.924528	0	851	984	0	0	0	0	0	0	0	0	0	0	249	838	977	171	622	0	0	119	485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1810	752	1532	1080	790	1681	1289	1132	479	585	0	0	0	0	0	0	0	0
Txndc16	309.207547	0	2312	3048	0	0	0	0	0	0	0	0	0	0	129	238	631	550	1026	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	325	954	834	721	1196	622	893	920	460	0	0	0	0	0	0	0	0
Gpr137c	309.207547	0	2312	3048	0	0	0	0	0	0	0	0	0	0	129	238	631	550	1026	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1140	325	954	834	721	1196	622	893	920	460	0	0	0	0	0	0	0	0
Ntpcr	307.773585	159	1063	1404	0	0	0	0	0	0	0	0	0	0	412	535	1049	318	542	0	0	127	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	393	1214	694	891	1765	1082	1291	755	573	0	0	0	0	0	0	0	0
Taf1c	306.358491	101	679	842	0	0	0	0	0	0	0	0	0	0	397	574	768	311	733	0	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1829	455	1459	1261	736	1738	934	1250	744	650	0	0	0	0	0	0	0	0
Sipa1l2	305.754717	0	204	291	0	0	0	0	0	0	0	0	0	0	370	565	963	655	912	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750	477	1103	773	1075	1983	965	1565	1201	666	0	0	0	0	0	0	0	0
Gpr146	305.547170	72	1152	1466	0	0	0	0	0	0	0	0	0	0	140	159	506	0	244	0	0	0	878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1018	890	1355	1292	1097	1426	1104	1217	1378	800	0	0	0	0	0	0	0	0
Mapk8	304.490566	0	1790	2232	0	0	0	0	0	0	0	0	0	0	202	216	338	94	165	0	0	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	526	1535	1321	789	1755	809	1068	903	437	0	0	0	0	0	0	0	0
Nfix	303.867925	0	922	1325	0	0	0	0	0	0	0	0	0	0	396	516	599	138	399	0	0	162	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1525	544	1380	1239	965	1704	1075	1195	977	475	0	0	0	0	0	0	0	0
Pip4p1	300.018868	0	2148	2864	0	0	0	0	0	0	0	0	0	0	198	346	393	166	467	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1522	748	1263	943	576	1039	845	840	703	434	0	0	0	0	0	0	0	0
Oasl1	299.679245	241	0	0	432	473	380	542	470	482	342	386	346	409	375	364	369	446	359	321	565	586	226	286	637	436	379	385	395	412	437	198	124	0	623	0	0	389	712	263	0	450	233	258	263	414	244	231	0	0	0	0	0	0	0
Lamp1	299.320755	0	826	1075	0	0	0	0	0	0	0	0	0	0	0	422	498	0	387	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1933	1548	1653	1347	940	1632	859	629	842	783	0	0	0	0	0	0	0	0
Rint1	298.132075	118	1120	1501	0	0	0	0	0	0	0	0	0	0	0	171	603	151	221	0	0	149	601	157	0	0	0	0	0	0	0	0	0	0	0	0	0	901	153	1521	1211	946	1863	1088	1244	1497	585	0	0	0	0	0	0	0	0
Pus7	298.132075	118	1120	1501	0	0	0	0	0	0	0	0	0	0	0	171	603	151	221	0	0	149	601	157	0	0	0	0	0	0	0	0	0	0	0	0	0	901	153	1521	1211	946	1863	1088	1244	1497	585	0	0	0	0	0	0	0	0
Foxo3	297.245283	90	1375	1465	0	0	0	0	0	0	0	0	0	0	485	446	809	184	371	0	0	279	801	114	0	0	0	0	0	0	0	0	0	0	0	0	0	777	243	1336	997	766	1585	780	1192	1413	246	0	0	0	0	0	0	0	0
Upp2	296.188679	0	196	171	0	0	0	0	0	0	0	0	0	0	309	315	617	168	589	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	624	1747	1520	1054	1806	1364	1287	1355	860	0	0	0	0	0	0	0	0
Ddx50	295.811321	0	1728	2025	0	0	0	0	0	0	0	0	0	0	351	492	366	108	718	0	0	197	468	117	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	507	950	998	800	1489	823	833	952	515	0	0	0	0	0	0	0	0
Bhlhe41	294.962264	0	1056	1426	0	0	0	0	0	0	0	0	0	0	205	461	920	431	483	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1268	862	1079	671	1016	1455	1271	1075	869	575	0	0	0	0	0	0	0	0
Pms2	294.660377	0	1493	2092	0	0	0	0	0	0	0	0	0	0	457	752	577	127	369	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945	754	1383	1157	605	1345	700	824	514	306	0	0	0	0	0	0	0	0
Aimp2	294.660377	0	1493	2092	0	0	0	0	0	0	0	0	0	0	457	752	577	127	369	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945	754	1383	1157	605	1345	700	824	514	306	0	0	0	0	0	0	0	0
Rsad1	290.000000	165	1234	1738	0	0	0	0	0	0	0	0	0	0	518	398	583	238	796	0	0	219	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1941	796	801	918	583	1056	547	1067	829	425	0	0	0	0	0	0	0	0
Gys2	289.396226	0	0	0	0	0	0	0	0	0	0	0	0	0	507	874	1093	288	391	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1163	570	1331	1004	1289	1983	1180	1021	1011	698	0	0	0	0	0	0	0	0
