Target_genes	Nfix|Average	SRX7895562|Cerebellum_neural_progenitors	SRX7895563|Cerebellum_neural_progenitors	SRX10118211|HPC5	SRX10118213|HPC5	SRX10118215|HPC5	SRX10118216|HPC5	STRING
St3gal5	325.666667	226	238	948	542	0	0	0
Tcp11x2	323.500000	0	204	810	927	0	0	0
Gatb	320.000000	220	588	816	296	0	0	0
Phf12	314.166667	0	0	610	375	900	0	0
Olfr171	314.166667	0	241	671	973	0	0	0
Prmt5	312.500000	0	178	1142	555	0	0	0
Gdi1	311.000000	0	278	876	712	0	0	0
Xpo1	310.666667	0	104	1199	170	391	0	0
Cited2	309.000000	0	107	616	389	742	0	0
Flad1	305.500000	0	0	941	237	541	114	0
Crebl2	304.833333	276	479	630	444	0	0	0
Dixdc1	303.333333	243	303	605	669	0	0	0
Hey1	300.500000	147	352	914	390	0	0	0
Cdc37l1	298.833333	137	384	585	687	0	0	0
Padi1	298.666667	213	328	636	615	0	0	0
Unk	298.500000	0	0	1253	0	538	0	0
Rab8a	297.333333	97	235	831	445	176	0	0
Aqp3	296.833333	0	202	764	815	0	0	0
Bcl2l13	295.166667	99	370	890	412	0	0	0
Ctnna1	293.833333	0	0	638	122	1003	0	0
Nudcd1	292.000000	130	316	985	321	0	0	0
Eny2	292.000000	130	316	985	321	0	0	0
Nkiras2	291.500000	0	0	1215	534	0	0	0
Dnajc7	291.500000	0	0	1215	534	0	0	0
Tenm2	288.666667	344	456	555	377	0	0	0
Pga5	287.000000	363	656	466	237	0	0	0
Ift46	286.666667	162	280	716	562	0	0	0
Gchfr	279.833333	0	205	820	488	166	0	0
Aldh3b1	277.333333	0	115	1055	494	0	0	0
Elmo1	272.666667	112	214	609	701	0	0	0
Yju2	271.500000	0	169	647	813	0	0	0
Lratd2	270.000000	0	0	517	281	726	96	0
Hes6	267.000000	480	920	202	0	0	0	0
Ccdc85c	267.000000	272	317	377	204	432	0	0
Pde2a	263.833333	640	943	0	0	0	0	0
Aifm3	261.166667	264	268	574	461	0	0	0
Klhl33	259.000000	0	0	844	710	0	0	0
Acadm	258.500000	0	222	756	485	88	0	0
Gdf15	257.500000	0	0	1125	420	0	0	0
Nlrc3	256.166667	323	1214	0	0	0	0	0
Odc1	255.166667	0	0	905	163	463	0	0
Plat	254.500000	186	543	618	180	0	0	0
Mllt10	253.833333	0	140	352	214	817	0	0
Fam209	253.666667	273	400	447	402	0	0	0
Pappa	253.333333	475	564	314	167	0	0	0
Prx	252.666667	178	161	588	589	0	0	0
App	252.666667	0	184	633	699	0	0	0
Zmynd8	251.333333	300	284	608	316	0	0	0
Zkscan17	249.166667	271	293	499	432	0	0	0
Pik3ip1	249.000000	0	111	357	247	779	0	0
Dglucy	248.500000	188	311	669	323	0	0	0
Mrpl1	247.666667	239	224	630	393	0	0	0
Fyb2	247.500000	246	464	357	418	0	0	0
Kdm6b	245.833333	328	380	153	181	433	0	0
Zyx	245.166667	132	165	898	276	0	0	0
Cdk6	245.000000	0	0	498	249	723	0	0
Dnah6	244.333333	176	270	642	378	0	0	0
Otop3	243.333333	230	421	479	330	0	0	0
Plcg2	243.166667	0	113	862	484	0	0	0
Ubash3b	241.166667	374	1073	0	0	0	0	0
Gpcpd1	239.666667	0	203	673	149	413	0	0
Olfr170	239.000000	0	0	553	881	0	0	0
Gpr35	238.333333	0	0	993	437	0	0	0
Lipe	238.166667	157	216	797	129	130	0	0
Tbcb	237.500000	216	239	701	269	0	0	0
Polr2i	237.500000	216	239	701	269	0	0	0
Ovol3	237.500000	216	239	701	269	0	0	0
Nrep	236.666667	360	621	279	160	0	0	0
Bbc3	236.333333	0	0	298	242	878	0	0
Mrpl34	235.833333	337	1078	0	0	0	0	0
Dda1	235.833333	337	1078	0	0	0	0	0
Abhd8	235.833333	337	1078	0	0	0	0	0
Bcap31	233.666667	0	0	922	480	0	0	0
Abcd1	233.666667	0	0	922	480	0	0	0
Wbp1	233.500000	0	82	340	283	696	0	0
Ino80b	233.500000	0	82	340	283	696	0	0
Tubb5	233.166667	144	393	188	174	500	0	0
Mdc1	233.166667	144	393	188	174	500	0	0
Usp36	232.500000	0	243	655	497	0	0	0
Robo3	232.500000	212	287	461	435	0	0	0
Fer	232.333333	270	329	404	391	0	0	0
Scgb2b20	231.833333	0	0	685	706	0	0	0
Scgb1b20	231.833333	0	0	685	706	0	0	0
Iqsec1	231.166667	192	406	533	256	0	0	0
Ghrh	229.500000	311	515	349	202	0	0	0
Gm30191	228.833333	0	322	545	404	102	0	0
Synpo	228.500000	196	222	597	356	0	0	0
Zfp768	228.166667	259	374	531	205	0	0	0
Chpf2	227.166667	208	260	372	523	0	0	0
Abcf2	227.166667	208	260	372	523	0	0	0
Chd3	226.666667	453	725	182	0	0	0	0
Tmem91	226.333333	451	907	0	0	0	0	0
B9d2	226.333333	451	907	0	0	0	0	0
Amer3	226.000000	215	1141	0	0	0	0	0
Olfr1511	223.666667	0	0	847	495	0	0	0
Mrpl23	221.000000	171	253	490	179	233	0	0
Atxn1l	219.333333	180	369	600	167	0	0	0
Tra2b	219.000000	0	301	706	307	0	0	0
Tmem159	218.666667	181	377	346	408	0	0	0
Ogfod2	218.666667	119	262	622	309	0	0	0
Dok4	218.666667	107	167	742	296	0	0	0
Arl6ip4	218.666667	119	262	622	309	0	0	0
Cdh12	218.000000	0	0	262	190	202	654	0
Lsm14b	217.000000	0	192	678	432	0	0	0
Nxpe3	216.500000	120	201	513	465	0	0	0
Tprn	216.166667	457	840	0	0	0	0	0
Acat1	216.166667	104	392	504	297	0	0	0
Kbtbd11	215.666667	406	888	0	0	0	0	0
Acoxl	214.333333	541	745	0	0	0	0	0
Fut8	213.000000	0	235	398	248	397	0	0
Lrrc75a	212.500000	0	267	634	374	0	0	0
Pwwp2a	212.000000	167	379	469	257	0	0	0
Zfp593	211.833333	0	322	545	404	0	0	0
Tsc22d2	211.833333	0	157	448	196	470	0	0
Cybrd1	211.666667	0	150	540	580	0	0	0
Tha1	211.166667	0	244	656	291	76	0	0
Rrp7a	211.000000	321	447	339	159	0	0	0
Zfp217	210.000000	0	0	266	120	874	0	0
Capn5	209.500000	0	0	725	431	101	0	0
Rnaseh2b	208.166667	119	171	616	149	194	0	0
Msra	208.000000	223	421	410	194	0	0	0
Rpl19	207.833333	216	230	509	292	0	0	0
Cacnb1	207.833333	216	230	509	292	0	0	0
Hbp1	205.500000	0	192	623	418	0	0	0
LOC100861969	204.000000	560	664	0	0	0	0	0
Il11ra2	204.000000	560	664	0	0	0	0	0
Gm2002	204.000000	560	664	0	0	0	0	0
Gm13305	204.000000	560	664	0	0	0	0	0
Aym1	202.833333	388	829	0	0	0	0	0
Zfp945	202.333333	0	0	658	556	0	0	0
Lrp8	202.000000	306	633	84	0	189	0	0
Kat6a	202.000000	0	168	636	277	131	0	0
Nkx1-1	201.666667	0	0	875	335	0	0	0
Cxcr4	201.500000	0	0	776	297	136	0	0
Cyria	201.333333	165	152	433	458	0	0	0
Alas1	201.166667	234	389	337	247	0	0	0
Spty2d1	200.833333	119	218	492	376	0	0	0
Aldh4a1	200.500000	183	360	660	0	0	0	0
Abcb6	199.833333	511	688	0	0	0	0	0
Tor1aip2	199.500000	273	551	233	140	0	0	0
Tor1aip1	199.500000	273	551	233	140	0	0	0
Tpp2	199.333333	0	193	485	518	0	0	0
Setd7	199.166667	0	117	638	440	0	0	0
Slc35c2	198.333333	408	782	0	0	0	0	0
Numa1	198.166667	138	219	579	122	131	0	0
Pcbd1	198.000000	187	317	367	317	0	0	0
Slc26a11	197.666667	0	0	785	401	0	0	0
Sgsh	197.666667	0	0	785	401	0	0	0
Fam32a	197.500000	248	300	442	195	0	0	0
Rps29	197.333333	483	561	140	0	0	0	0
Il11ra1	197.000000	345	420	317	100	0	0	0
Gbp5	196.833333	372	718	91	0	0	0	0
Tor4a	196.666667	0	0	375	214	591	0	0
Zfp692	196.500000	0	0	277	134	768	0	0
Nfkbia	195.500000	0	0	615	294	264	0	0
Tgif1	195.166667	237	217	354	363	0	0	0
Gm10710	194.833333	194	221	368	386	0	0	0
Rcc2	194.500000	0	0	338	264	565	0	0
Atp5e	194.333333	0	0	565	128	361	112	0
Nwd1	193.333333	158	380	310	312	0	0	0
Gm10033	191.500000	0	0	704	445	0	0	0
Zswim3	191.166667	0	0	594	244	309	0	0
Acot8	191.166667	0	0	594	244	309	0	0
Myc	190.666667	0	0	443	237	464	0	0
Srsf1	190.166667	0	0	256	308	577	0	0
Npas4	189.000000	0	241	498	117	278	0	0
Nr2c2	188.666667	142	253	586	151	0	0	0
Fam227b	188.000000	488	378	101	0	161	0	0
Dtwd1	188.000000	488	378	101	0	161	0	0
Pnpla7	187.500000	205	171	448	301	0	0	0
Mrpl41	187.500000	205	171	448	301	0	0	0
Nfkbiz	187.333333	128	252	320	281	143	0	0
Map7d2	187.000000	165	229	369	359	0	0	0
Khk	186.666667	0	296	473	213	138	0	0
Fam169a	186.333333	191	812	0	0	115	0	0
Arf6	186.333333	130	237	250	184	317	0	0
Mov10	186.000000	0	0	800	316	0	0	0
Sp2	185.833333	0	0	643	221	251	0	0
Midn	185.500000	0	73	362	259	419	0	0
Maz	183.833333	0	204	233	207	459	0	0
Mmaa	183.500000	0	126	484	394	97	0	0
Kcnip2	183.166667	0	142	735	222	0	0	0
Dck	183.166667	114	252	520	213	0	0	0
Gabra2	182.166667	312	781	0	0	0	0	0
Tusc1	182.000000	126	133	530	303	0	0	0
Cyp4f13	182.000000	0	229	501	362	0	0	0
Slc38a2	181.500000	0	0	325	249	515	0	0
Negr1	180.666667	241	621	222	0	0	0	0
Hdac2	180.666667	105	281	317	216	165	0	0
Gpat3	180.000000	0	225	424	431	0	0	0
Egr4	180.000000	432	648	0	0	0	0	0
Serinc3	179.666667	0	0	779	299	0	0	0
Rem2	179.333333	113	346	304	313	0	0	0
Nemf	179.333333	450	405	0	0	0	221	0
Olfr806	177.166667	318	168	0	0	173	404	0
Anp32b	176.666667	0	0	274	164	622	0	0
Il6	176.166667	167	216	410	264	0	0	0
Sh3tc1	175.833333	210	299	241	0	305	0	0
Dnmt3a	175.500000	0	133	535	271	114	0	0
Pcbp1	175.166667	0	72	373	146	460	0	0
Sp3	174.666667	0	108	190	191	559	0	0
Tmem52	174.333333	272	264	323	187	0	0	0
Cand1	174.166667	0	324	464	257	0	0	0
Slx4ip	174.000000	0	170	443	431	0	0	0
Mkks	174.000000	0	170	443	431	0	0	0
Cfap20	174.000000	107	284	437	216	0	0	0
Ube2i	173.833333	0	291	407	203	142	0	0
Egr1	173.833333	116	223	466	238	0	0	0
Abhd6	173.500000	225	102	254	0	215	245	0
Trim65	172.666667	0	0	612	310	114	0	0
Pla2g4b	172.333333	0	288	420	326	0	0	0
Zc3h10	171.833333	0	0	268	281	482	0	0
Rpl41	171.833333	0	0	268	281	482	0	0
Kdelr3	171.666667	260	504	266	0	0	0	0
Insyn2b	171.333333	0	140	484	404	0	0	0
Dock2	171.333333	0	0	454	457	117	0	0
Tmtc4	171.000000	357	472	104	0	93	0	0
Mvd	170.500000	117	247	467	192	0	0	0
Bmt2	170.000000	0	188	598	234	0	0	0
Srxn1	169.500000	143	313	259	237	65	0	0
Ppp1r9b	168.166667	0	0	412	189	408	0	0
Cmpk2	168.166667	0	149	509	212	139	0	0
Sinhcaf	167.500000	0	128	423	203	251	0	0
Nup50	167.333333	0	0	515	350	139	0	0
B3galt2	167.000000	215	787	0	0	0	0	0
H2az1	166.666667	0	0	336	179	485	0	0
Dnajb14	166.666667	0	0	336	179	485	0	0
Nutm1	166.500000	0	229	395	375	0	0	0
Sstr3	166.333333	301	538	159	0	0	0	0
Lrrc61	166.333333	0	223	586	189	0	0	0
Sh3kbp1	166.166667	223	622	0	152	0	0	0
Trim30c	166.000000	0	0	463	533	0	0	0
Commd1	165.166667	167	656	168	0	0	0	0
Trp53inp1	165.000000	0	194	503	293	0	0	0
Hdac11	165.000000	197	793	0	0	0	0	0
Mbnl1	164.833333	0	0	343	209	437	0	0
Prkaa1	164.500000	0	154	519	314	0	0	0
Ankrd44	164.500000	362	544	81	0	0	0	0
Wdsub1	163.500000	147	206	395	115	118	0	0
Micu2	162.833333	0	87	558	0	332	0	0
Irf2bp2	162.666667	0	245	248	150	333	0	0
H2-K1	162.333333	0	0	323	206	445	0	0
Gch1	162.333333	0	0	533	441	0	0	0
Slc25a42	161.833333	300	583	0	0	88	0	0
Rpl10a	161.833333	0	88	269	224	390	0	0
Aanat	161.000000	366	600	0	0	0	0	0
Clec1b	160.333333	0	0	712	250	0	0	0
Atp4a	160.000000	0	0	614	346	0	0	0
St3gal4	159.666667	0	0	376	582	0	0	0
Cnot6	157.666667	199	420	327	0	0	0	0
Slc22a12	157.166667	202	741	0	0	0	0	0
Il1f6	156.833333	0	134	425	382	0	0	0
Hnrnpab	156.833333	0	131	325	201	284	0	0
1700003F12Rik	156.333333	144	794	0	0	0	0	0
Tmem176b	155.166667	134	313	337	147	0	0	0
Tmem176a	155.166667	134	313	337	147	0	0	0
Fmo1	154.833333	177	286	193	273	0	0	0
Pnrc1	154.666667	0	169	419	340	0	0	0
Nphp3	154.666667	0	128	479	174	147	0	0
Cenpu	154.333333	258	483	185	0	0	0	0
Lmo2	154.000000	0	225	241	163	295	0	0
Dusp11	153.833333	0	199	376	348	0	0	0
Pou2af1	153.666667	381	541	0	0	0	0	0
Tigar	153.333333	0	181	530	209	0	0	0
Znrf4	153.166667	242	509	0	0	168	0	0
Cic	153.166667	94	314	267	158	86	0	0
Mpzl2	152.333333	0	0	542	372	0	0	0
Nfe2l2	152.000000	0	0	408	108	396	0	0
Mtf2	150.833333	261	409	235	0	0	0	0
Asic2	150.500000	120	783	0	0	0	0	0
Trim8	150.000000	0	0	297	179	424	0	0
Kcnh2	150.000000	190	241	327	142	0	0	0
Trim16	149.833333	0	224	436	239	0	0	0
Tle6	149.833333	0	0	640	259	0	0	0
Prrt2	149.833333	0	0	233	207	459	0	0
Olfr1121	149.833333	196	703	0	0	0	0	0
Cdk1	149.500000	75	194	493	135	0	0	0
Zfp341	148.833333	0	114	500	107	172	0	0
Myb	148.500000	0	0	253	194	444	0	0
Adora2a	148.333333	0	0	544	346	0	0	0
Slc16a6	147.166667	0	0	590	106	187	0	0
Arsg	147.166667	0	0	590	106	187	0	0
Eci2	146.833333	116	251	278	236	0	0	0
Pex5l	145.500000	326	547	0	0	0	0	0
Rasip1	145.000000	418	363	89	0	0	0	0
Tlcd1	144.833333	0	148	206	109	406	0	0
Rpl23a	144.833333	0	148	206	109	406	0	0
Mid1ip1	144.500000	195	0	449	223	0	0	0
Pcsk9	143.833333	258	605	0	0	0	0	0
Elp5	143.666667	0	103	465	294	0	0	0
Ctdnep1	143.666667	0	103	465	294	0	0	0
Cox5a	143.000000	101	275	322	160	0	0	0
Pim3	142.666667	0	152	222	168	314	0	0
Cop1	142.333333	0	279	417	158	0	0	0
Abcb4	142.333333	0	231	424	199	0	0	0
Srebf1	141.833333	161	430	91	0	169	0	0
Creb5	141.833333	165	251	292	143	0	0	0
Wif1	141.333333	191	148	277	232	0	0	0
Pml	140.666667	0	0	265	174	405	0	0
Zbtb40	140.333333	97	601	144	0	0	0	0
Rdh5	140.000000	153	423	74	0	190	0	0
Klrg2	140.000000	0	165	432	243	0	0	0
Cradd	139.833333	244	595	0	0	0	0	0
Nup210	139.500000	0	321	194	130	192	0	0
Glce	139.500000	205	493	139	0	0	0	0
Fxyd7	139.333333	0	157	471	208	0	0	0
Tnpo1	139.166667	0	119	160	120	436	0	0
Tarsl2	139.000000	181	188	282	93	90	0	0
Sharpin	138.833333	0	0	414	111	308	0	0
Maf1	138.833333	0	0	414	111	308	0	0
Gm35339	138.833333	0	0	414	111	308	0	0
Gpr151	138.666667	294	538	0	0	0	0	0
Cyth1	138.666667	234	496	102	0	0	0	0
Acer3	138.666667	117	378	153	184	0	0	0
Eef1a1	137.500000	135	258	147	99	186	0	0
Atad2	137.500000	111	309	276	129	0	0	0
Cspg4b	137.000000	150	156	193	323	0	0	0
Septin3	136.833333	258	563	0	0	0	0	0
Cutc	136.666667	126	146	348	126	74	0	0
Cox15	136.666667	126	146	348	126	74	0	0
Pan2	136.000000	0	0	374	0	342	100	0
Saa3	135.833333	300	515	0	0	0	0	0
Plekho2	135.666667	0	0	401	413	0	0	0
1700010I14Rik	135.500000	0	83	491	239	0	0	0
Erich1	135.166667	0	0	528	283	0	0	0
Cep72	135.166667	144	188	293	186	0	0	0
Wdpcp	135.000000	0	0	526	284	0	0	0
Pnma1	135.000000	0	0	547	263	0	0	0
Mdh1	135.000000	0	0	526	284	0	0	0
Lhx2	134.833333	0	0	240	172	397	0	0
Clip1	134.333333	286	520	0	0	0	0	0
Ptp4a1	133.666667	0	168	280	0	354	0	0
Prkdc	133.000000	330	360	108	0	0	0	0
Lyl1	133.000000	0	0	184	170	444	0	0
Gins2	132.833333	0	113	414	270	0	0	0
Stard9	132.666667	189	347	260	0	0	0	0
Optc	132.500000	360	435	0	0	0	0	0
Itga2b	132.166667	116	143	350	184	0	0	0
Dgkz	131.833333	95	120	336	240	0	0	0
Pnp	131.666667	0	192	466	132	0	0	0
Elmo2	131.500000	273	516	0	0	0	0	0
Phactr4	131.333333	0	0	569	219	0	0	0
Lrrc59	131.166667	0	123	353	311	0	0	0
Fbxl14	131.166667	0	81	243	108	355	0	0
Ncbp3	130.666667	0	249	144	207	184	0	0
Orc5	130.500000	0	98	451	234	0	0	0
Runx1	130.166667	0	0	272	137	372	0	0
Izumo1	130.166667	418	363	0	0	0	0	0
Adamts10	130.166667	0	92	524	165	0	0	0
Myo10	130.000000	268	512	0	0	0	0	0
Vars	129.833333	0	0	481	163	135	0	0
D17H6S56E-5	129.833333	0	0	481	163	135	0	0
D7Ertd443e	129.666667	220	558	0	0	0	0	0
Ccdc38	129.666667	0	0	510	268	0	0	0
Amdhd1	129.666667	0	0	510	268	0	0	0
Malt1	129.500000	446	331	0	0	0	0	0
Sdccag8	129.166667	0	188	415	172	0	0	0
Cep170	129.166667	0	188	415	172	0	0	0
Slc9a3r1	129.000000	0	241	413	120	0	0	0
Cyb5b	129.000000	103	224	246	96	105	0	0
Cyp4f16	128.833333	0	254	288	231	0	0	0
Tppp3	128.666667	237	535	0	0	0	0	0
Phf1	128.666667	0	0	349	114	309	0	0
Gm10130	127.666667	130	218	184	0	234	0	0
Foxo6	127.666667	270	496	0	0	0	0	0
Xxylt1	127.500000	175	325	122	0	143	0	0
Sucnr1	127.333333	0	0	415	349	0	0	0
Rae1	127.166667	0	0	398	97	268	0	0
4930453N24Rik	127.166667	0	166	275	322	0	0	0
Kctd14	126.833333	332	429	0	0	0	0	0
Vps29	126.666667	195	244	239	0	82	0	0
Ttc7b	126.666667	0	0	414	346	0	0	0
Rad9b	126.666667	195	244	239	0	82	0	0
Pfkfb3	126.666667	0	0	207	187	366	0	0
Ccser2	126.666667	0	0	443	317	0	0	0
Mmp28	126.166667	305	452	0	0	0	0	0
Mcm7	126.166667	105	270	243	139	0	0	0
Atf4	126.166667	219	249	164	0	125	0	0
Ap4m1	126.166667	105	270	243	139	0	0	0
Dusp6	126.000000	199	326	231	0	0	0	0
Insig1	125.500000	0	204	315	108	126	0	0
Adgrg3	125.166667	0	0	277	145	329	0	0
Fam110a	125.000000	109	422	82	0	137	0	0
Tnrc18	124.666667	0	273	255	0	220	0	0
Plcb2	124.666667	0	0	565	183	0	0	0
Trim36	124.166667	173	477	95	0	0	0	0
A630073D07Rik	124.166667	0	0	413	332	0	0	0
Slc39a3	123.666667	0	128	389	0	225	0	0
Pde12	123.666667	264	318	160	0	0	0	0
Hunk	123.500000	228	513	0	0	0	0	0
Rnf157	123.166667	149	511	79	0	0	0	0
Ccdc88c	123.166667	114	231	394	0	0	0	0
Vdac3	123.000000	99	242	292	105	0	0	0
Klf9	123.000000	0	217	209	0	312	0	0
Cd276	123.000000	0	0	495	243	0	0	0
Zer1	122.500000	0	156	415	164	0	0	0
3300002I08Rik	121.833333	0	226	317	188	0	0	0
Trim44	121.666667	0	142	269	0	241	78	0
Dao	121.500000	0	0	557	0	172	0	0
Per2	121.333333	0	243	190	134	161	0	0
Hesx1	121.000000	0	134	222	370	0	0	0
Aktip	121.000000	0	0	259	144	323	0	0
Iba57	120.833333	0	287	276	162	0	0	0
Dlgap5	120.333333	0	112	422	188	0	0	0
Nek8	120.166667	0	0	206	109	406	0	0
Pik3r2	120.000000	326	394	0	0	0	0	0
Itpk1	120.000000	0	0	473	247	0	0	0
Brf1	120.000000	100	232	388	0	0	0	0
Sde2	119.500000	160	333	224	0	0	0	0
Pold2	119.500000	87	194	436	0	0	0	0
Epha7	119.500000	0	0	331	134	252	0	0
Pipox	119.333333	0	135	402	179	0	0	0
4932438A13Rik	119.000000	100	149	294	171	0	0	0
Zfp846	118.833333	0	183	386	144	0	0	0
Slc25a21	118.666667	256	231	0	225	0	0	0
Fignl1	118.666667	0	0	326	158	228	0	0
Zfp653	118.500000	0	155	330	226	0	0	0
Topors	118.333333	0	0	294	99	317	0	0
Smim27	118.333333	0	0	294	99	317	0	0
Osbpl2	118.166667	139	430	0	0	140	0	0
Ern1	118.166667	184	264	261	0	0	0	0
Txn2	118.000000	199	278	231	0	0	0	0
Rpl8	118.000000	118	310	133	0	147	0	0
Commd5	118.000000	118	310	133	0	147	0	0
Nrxn1	117.666667	198	508	0	0	0	0	0
Nr4a2	117.666667	0	270	326	110	0	0	0
Eif5	117.666667	0	0	171	126	409	0	0
Comtd1	117.666667	0	0	292	104	310	0	0
A430057M04Rik	117.666667	0	0	292	104	310	0	0
Tent4b	117.500000	0	75	327	173	130	0	0
Lrrtm1	117.500000	217	488	0	0	0	0	0
Eef2k	117.500000	0	199	260	246	0	0	0
Med31	117.000000	122	229	173	0	178	0	0
Ak4	117.000000	233	469	0	0	0	0	0
4930563E22Rik	117.000000	122	229	173	0	178	0	0
Plekhg5	116.833333	189	416	0	0	96	0	0
Marveld3	116.833333	0	197	314	190	0	0	0
Cyth3	116.666667	238	462	0	0	0	0	0
Krtap11-1	116.500000	334	365	0	0	0	0	0
Sft2d2	116.333333	0	86	261	204	147	0	0
Mpp6	116.333333	120	279	299	0	0	0	0
