Target_genes	Foxp3|Average	SRX8769868|CD4+_T_cells	SRX8769869|CD4+_T_cells	SRX8769870|CD4+_T_cells	SRX495631|EL4	SRX1162501|iTreg	SRX1162502|iTreg	SRX495632|iTreg	SRX5689481|nTreg	SRX5689486|nTreg	SRX5689487|nTreg	SRX5689489|nTreg	SRX5689492|nTreg	SRX5689495|nTreg	SRX5689498|nTreg	SRX8123998|nTreg	SRX8123999|nTreg	SRX8124000|nTreg	SRX8124001|nTreg	SRX179486|Tconv	SRX179487|Tconv	SRX14474049|Treg	SRX14474050|Treg	SRX14474052|Treg	SRX14474053|Treg	SRX14590893|Treg	SRX14590894|Treg	SRX14590895|Treg	SRX14590896|Treg	SRX14590897|Treg	SRX14590898|Treg	SRX14743588|Treg	SRX14743589|Treg	SRX14743590|Treg	SRX14743594|Treg	SRX14743595|Treg	SRX14743596|Treg	SRX184860|Treg	SRX184861|Treg	SRX184863|Treg	SRX2341414|Treg	SRX2341415|Treg	SRX2341416|Treg	SRX2341417|Treg	SRX2341418|Treg	SRX2341419|Treg	SRX3829343|Treg	SRX3829344|Treg	SRX4814119|Treg	SRX4814120|Treg	SRX4814134|Treg	SRX4814135|Treg	SRX484252|Treg	SRX484253|Treg	SRX484254|Treg	SRX484255|Treg	SRX484256|Treg	STRING
Ldlrad4	501.410714	1242	1092	1494	0	0	0	0	681	878	552	469	0	301	545	435	616	402	407	0	0	586	580	916	723	0	0	119	0	0	0	0	0	0	330	162	196	263	373	385	1922	975	1041	1654	1345	725	875	1629	1091	444	895	797	171	175	0	90	503	0
Amz2	465.928571	1038	1261	1038	0	0	0	0	329	1088	713	207	0	0	341	458	399	168	386	0	0	336	568	484	489	0	0	100	0	0	0	0	0	0	123	95	0	368	469	895	2273	808	1131	1430	862	362	613	2984	780	328	601	663	527	554	0	546	277	0
Aggf1	462.446429	1618	1930	1898	0	139	0	0	413	1210	751	188	0	161	423	602	425	303	379	0	0	581	416	485	370	0	0	165	0	0	113	0	0	0	174	110	0	109	189	296	2769	1145	1389	1543	994	617	524	211	662	259	326	682	286	284	0	247	511	0
Hbp1	456.535714	842	826	707	0	228	0	0	928	537	649	357	0	218	471	298	377	200	187	0	0	1232	1157	1237	1151	0	0	130	116	0	159	0	0	0	0	0	0	196	260	101	1926	988	709	2133	1705	1150	566	440	903	393	810	965	0	0	0	0	314	0
Eola1	445.714286	1385	1373	1488	0	329	0	223	419	946	820	322	0	217	552	360	356	288	338	0	0	346	495	450	374	0	0	0	0	0	0	0	0	0	112	0	0	254	232	130	2008	1144	979	2042	1696	1112	454	236	747	286	627	635	159	166	0	157	703	0
Os9	445.232143	493	634	673	0	208	0	0	370	911	562	378	0	0	456	516	673	198	364	0	0	884	1078	1484	1106	0	0	0	0	0	0	0	0	0	85	0	0	162	255	0	2299	526	941	2949	2598	2182	0	0	257	0	458	413	229	232	0	112	247	0
Art2b	444.071429	508	634	683	0	1142	0	249	563	597	367	177	0	108	286	156	216	0	103	0	0	591	791	819	620	0	0	0	0	0	0	0	0	0	0	0	0	429	509	1048	1965	624	893	1840	1396	703	1006	1061	838	499	1137	741	466	424	0	194	485	0
Mtmr14	442.160714	1192	1643	1172	0	125	0	0	694	1207	927	207	0	191	603	327	428	195	281	0	0	663	929	806	568	0	135	108	146	0	85	0	0	0	132	232	0	196	0	120	2285	534	342	2745	1409	859	570	757	196	0	229	311	413	461	0	214	124	0
Frg1	442.089286	919	906	967	0	222	0	0	405	1184	840	355	0	172	434	338	394	234	196	0	0	170	447	324	306	0	0	0	0	0	0	0	0	0	199	231	0	307	383	369	2766	1089	982	2466	1469	1015	619	1192	359	193	548	533	342	307	0	286	289	0
Leng8	441.125000	1148	1389	1436	0	0	0	0	373	1136	714	320	0	192	436	560	510	298	350	0	0	391	420	401	361	0	0	109	0	0	0	0	0	0	94	0	0	234	366	249	2685	994	1324	2461	1411	1124	366	221	139	0	429	463	374	400	135	326	364	0
Hdac5	435.535714	1616	1803	2008	0	97	0	0	433	874	501	292	0	126	325	336	318	152	254	0	0	494	691	579	312	0	134	158	163	0	0	0	0	0	151	201	0	214	0	0	2984	1290	1639	1414	510	241	507	582	423	127	660	597	303	292	81	245	263	0
Spty2d1	427.089286	812	761	653	0	220	0	0	431	979	620	373	0	216	333	449	487	227	230	0	0	379	519	611	408	0	0	0	0	0	0	0	0	0	273	142	0	415	481	243	1955	681	693	2538	1826	845	658	1217	446	176	732	569	374	395	105	294	151	0
Hibadh	416.964286	857	959	908	0	194	0	0	712	970	614	314	0	154	403	352	364	172	262	0	0	683	734	692	611	0	0	0	0	0	125	0	0	0	113	0	0	163	214	214	2432	818	781	2521	1591	734	388	384	296	161	696	955	205	199	0	189	216	0
Cd3d	409.696429	532	523	430	0	275	0	110	501	679	606	199	0	125	379	418	507	181	447	0	0	652	868	775	690	0	0	0	0	0	0	0	0	0	0	125	0	312	487	657	1717	733	793	1475	567	403	1019	1755	734	199	1075	688	242	257	139	303	366	0
Otud1	405.089286	1164	1272	1308	0	101	0	0	404	1320	783	273	0	84	329	426	491	263	339	0	0	357	400	285	183	0	122	277	0	0	103	0	0	0	0	172	0	242	0	115	2098	514	766	2516	1113	902	461	542	453	0	348	567	512	567	0	326	187	0
Prr13	400.875000	846	668	667	0	94	0	0	672	717	412	241	0	139	481	361	542	263	296	0	0	800	1079	1062	831	0	0	0	0	0	0	0	0	0	96	107	0	237	298	145	2339	822	802	1977	1544	494	463	208	735	205	460	621	201	172	0	93	259	0
Arntl	395.196429	654	790	907	0	110	0	0	583	1729	870	488	0	281	800	413	538	216	453	0	0	1389	1513	1597	1427	0	0	137	0	0	0	0	0	0	0	0	0	143	193	0	1426	378	392	1263	475	259	219	273	398	0	462	684	121	139	0	0	411	0
Rapgef6	395.017857	422	399	300	0	317	0	133	620	547	390	218	0	209	389	285	290	198	235	0	0	569	684	554	449	0	0	180	0	0	0	0	0	0	209	157	0	329	472	722	2221	885	537	2315	1021	534	830	1144	778	180	746	477	330	375	0	207	264	0
Tprgl	392.035714	1308	1533	1441	0	214	0	0	236	519	407	221	0	107	201	386	335	172	146	0	0	262	348	258	138	0	0	0	0	0	90	0	0	0	233	191	0	241	337	223	2369	714	861	2063	1068	704	746	706	530	216	568	568	326	327	0	248	393	0
Crebl2	391.267857	511	751	653	0	163	0	0	848	1539	1219	291	0	220	442	619	730	374	562	0	0	901	1094	1134	949	0	0	159	105	0	146	0	0	0	104	175	0	142	0	0	1721	295	211	2029	818	583	495	329	300	144	357	439	134	146	0	0	79	0
Tbc1d17	387.607143	963	1213	1426	0	254	0	0	485	736	522	476	0	293	340	387	365	197	219	0	0	614	879	1066	819	0	0	0	0	0	0	0	0	0	0	0	0	154	214	138	1630	761	986	1266	860	818	561	602	484	221	631	466	0	122	0	223	315	0
Akt1s1	387.607143	963	1213	1426	0	254	0	0	485	736	522	476	0	293	340	387	365	197	219	0	0	614	879	1066	819	0	0	0	0	0	0	0	0	0	0	0	0	154	214	138	1630	761	986	1266	860	818	561	602	484	221	631	466	0	122	0	223	315	0
Dusp1	386.285714	1600	1839	1704	0	209	0	0	155	613	659	265	0	137	175	611	292	390	255	0	0	0	0	0	0	0	0	177	0	0	85	66	0	0	115	246	0	0	0	0	2326	1627	1788	1758	906	539	977	835	297	141	335	295	0	122	0	0	93	0
Lef1	384.714286	1407	1309	1288	0	271	0	0	458	838	676	151	0	0	245	359	487	212	143	0	0	327	533	262	147	0	0	68	0	0	102	0	0	0	0	0	0	239	332	283	1601	858	933	1478	905	554	313	722	1203	503	477	593	356	374	0	253	284	0
Atxn7l1	384.642857	1475	1542	1214	0	0	0	0	394	609	398	108	0	121	168	264	366	0	132	0	0	280	304	227	142	0	0	0	0	0	172	0	0	0	124	0	0	143	425	134	2486	1006	877	2179	1445	766	520	763	636	174	669	829	0	181	0	0	267	0
Nudcd2	383.053571	900	556	913	0	384	0	245	476	288	206	182	0	0	256	155	164	0	0	356	131	495	736	646	619	0	0	0	0	0	0	0	0	0	175	209	0	143	145	0	2368	817	635	2735	2278	940	470	212	610	138	1022	715	0	0	0	0	131	0
Hmmr	383.053571	900	556	913	0	384	0	245	476	288	206	182	0	0	256	155	164	0	0	356	131	495	736	646	619	0	0	0	0	0	0	0	0	0	175	209	0	143	145	0	2368	817	635	2735	2278	940	470	212	610	138	1022	715	0	0	0	0	131	0
Ilf3	382.982143	621	800	716	0	177	0	0	711	645	349	450	0	286	586	412	628	373	387	0	0	1312	1268	1379	1237	0	0	0	0	0	0	0	0	0	0	0	0	129	138	289	1406	492	839	732	417	230	472	410	1062	276	864	794	164	153	0	123	120	0
Asmt	375.946429	799	676	769	292	531	376	366	253	315	381	123	167	110	100	173	230	148	139	114	0	0	0	0	0	272	235	124	0	158	157	765	803	1081	1615	1274	347	194	452	578	329	397	340	341	459	564	655	948	515	256	454	265	236	334	241	354	248	0
Hexim2	375.464286	977	958	949	0	77	0	0	501	647	445	328	0	189	383	181	278	114	213	0	0	589	854	910	662	0	0	210	0	0	140	0	0	0	0	109	0	171	193	117	1690	319	422	2573	1623	1232	501	572	310	0	491	385	139	181	0	157	236	0
Tmem203	374.196429	917	1261	968	0	0	0	0	424	811	426	183	0	0	313	557	453	360	293	0	0	219	344	377	305	0	0	0	0	0	99	0	0	89	197	216	0	248	295	439	1556	441	628	2570	1663	1396	519	578	202	0	197	301	396	399	0	315	0	0
Ndor1	374.196429	917	1261	968	0	0	0	0	424	811	426	183	0	0	313	557	453	360	293	0	0	219	344	377	305	0	0	0	0	0	99	0	0	89	197	216	0	248	295	439	1556	441	628	2570	1663	1396	519	578	202	0	197	301	396	399	0	315	0	0
Ercc3	367.892857	843	704	969	0	0	0	0	721	967	458	277	0	0	423	293	377	127	207	0	0	527	701	662	487	0	0	0	0	0	0	0	0	0	131	87	0	271	362	216	2408	820	776	1790	848	337	345	310	649	0	659	971	179	173	0	142	385	0
Dhx8	359.107143	757	1005	852	0	101	0	0	625	1197	709	408	0	256	638	547	496	203	185	0	0	563	664	561	497	0	0	0	0	0	0	0	0	0	197	112	0	238	316	258	1557	416	522	1833	982	670	294	442	226	0	689	279	241	252	0	121	201	0
Rmnd5a	358.785714	1217	1368	1379	0	130	0	0	450	711	502	178	0	127	338	389	421	182	242	0	0	441	633	413	395	0	0	107	0	0	92	0	0	0	179	82	0	112	0	0	1578	291	241	1957	1143	510	1046	964	465	196	420	442	154	280	0	152	165	0
1110051M20Rik	356.535714	899	1045	765	0	0	0	0	767	1683	1293	626	0	357	807	677	631	605	447	0	0	456	528	619	393	0	0	0	0	0	0	0	0	0	114	109	0	219	317	193	1512	403	446	1829	863	475	0	0	179	0	238	281	0	0	0	0	190	0
Txnl4b	355.321429	863	1093	844	0	117	0	0	616	1421	957	317	0	151	725	442	637	257	513	0	0	464	532	380	424	0	0	0	0	0	0	0	0	0	152	0	0	115	142	186	1503	463	620	1668	1127	1167	198	351	167	0	365	321	97	110	0	152	241	0
Dhx38	355.321429	863	1093	844	0	117	0	0	616	1421	957	317	0	151	725	442	637	257	513	0	0	464	532	380	424	0	0	0	0	0	0	0	0	0	152	0	0	115	142	186	1503	463	620	1668	1127	1167	198	351	167	0	365	321	97	110	0	152	241	0
Tpp2	346.464286	628	761	832	0	106	0	0	289	584	345	135	0	0	362	302	211	185	166	0	0	226	384	354	185	0	0	94	0	0	87	0	0	0	123	171	0	141	208	443	1728	453	656	2553	1858	1659	549	706	364	198	314	333	105	139	0	181	284	0
Polr2d	343.750000	707	1252	987	0	0	0	0	244	863	684	231	0	128	270	521	494	339	350	0	0	332	445	394	324	0	137	115	0	0	154	0	0	0	108	0	0	0	0	81	1737	566	924	2165	1084	1046	281	233	318	242	133	264	350	329	0	194	224	0
Prcc	342.910714	516	582	687	0	127	0	0	598	1038	664	323	0	184	418	496	554	394	383	0	0	1039	1102	1198	966	0	0	160	0	0	116	0	0	0	105	0	0	141	166	284	1013	376	678	1209	1023	456	417	406	421	160	251	241	0	0	0	0	311	0
Kmt5b	341.732143	914	1044	880	0	198	0	0	621	762	577	360	0	168	635	363	462	169	191	0	0	448	670	376	499	0	0	135	0	0	157	0	0	85	141	171	0	0	0	0	2237	567	452	1535	694	317	624	589	442	208	633	586	134	0	0	93	0	0
Tigit	341.160714	400	501	352	0	193	0	189	812	419	186	286	0	0	344	305	417	128	102	0	0	485	596	240	345	0	0	0	0	0	0	0	0	0	0	0	0	238	243	82	1521	805	740	1334	1534	637	621	622	1611	599	853	887	92	106	0	0	280	438
Rbm39	338.035714	785	701	740	0	157	0	0	645	732	336	251	0	0	339	303	427	147	155	0	0	471	675	656	575	0	0	100	0	0	141	0	0	0	168	96	0	239	345	278	1295	299	346	1701	1159	612	425	653	617	180	823	686	161	147	0	223	141	0
Traip	336.017857	690	723	590	0	248	0	0	363	444	156	117	0	0	234	0	215	0	140	0	0	383	636	441	509	0	0	0	0	0	0	0	0	0	70	144	0	167	216	0	2484	864	772	2844	2146	967	268	607	515	0	292	572	0	0	0	0	0	0
Rab18	335.214286	1003	1311	1525	0	0	0	0	505	735	511	212	0	103	471	315	463	244	318	0	0	411	372	328	296	0	0	82	0	0	0	0	0	0	114	109	0	184	269	229	1783	731	948	656	433	263	541	380	641	196	415	453	239	250	123	258	352	0
Coq8a	333.571429	612	591	626	0	124	0	213	547	807	380	285	0	108	389	220	327	182	182	0	0	698	736	1010	762	122	0	183	0	0	91	0	0	0	0	0	0	157	0	0	2023	329	273	2479	1388	646	319	171	294	0	473	438	171	192	0	0	132	0
Tbc1d1	330.535714	1141	1306	1420	0	401	0	293	276	531	446	189	0	0	241	253	253	209	190	0	0	209	309	336	170	0	94	89	121	0	98	0	0	0	0	0	0	0	0	112	1796	904	969	1063	1222	848	353	251	466	99	587	586	0	260	0	0	419	0
Pramel12	329.625000	507	455	409	0	105	0	0	557	1136	842	258	0	182	399	593	468	339	329	0	0	390	500	535	394	0	0	0	0	0	0	0	0	0	0	109	0	321	364	191	1436	529	413	1413	947	347	432	595	636	144	269	360	461	482	0	246	366	0
Xrcc4	325.857143	308	227	358	0	364	0	0	545	678	468	297	0	162	445	266	317	0	154	0	0	853	1115	869	786	0	0	107	0	0	0	0	0	0	76	0	0	139	153	139	1127	437	194	2620	1825	537	359	366	528	219	517	353	103	104	0	0	133	0
Tmem167	325.857143	308	227	358	0	364	0	0	545	678	468	297	0	162	445	266	317	0	154	0	0	853	1115	869	786	0	0	107	0	0	0	0	0	0	76	0	0	139	153	139	1127	437	194	2620	1825	537	359	366	528	219	517	353	103	104	0	0	133	0
Hjurp	324.267857	523	551	495	0	122	0	0	612	1111	667	185	0	148	352	375	397	0	201	0	0	321	454	509	316	168	103	276	247	203	388	103	0	108	198	105	0	132	193	197	1744	337	402	1998	1084	618	273	445	87	0	389	232	264	280	0	104	142	0
A730008H23Rik	324.267857	523	551	495	0	122	0	0	612	1111	667	185	0	148	352	375	397	0	201	0	0	321	454	509	316	168	103	276	247	203	388	103	0	108	198	105	0	132	193	197	1744	337	402	1998	1084	618	273	445	87	0	389	232	264	280	0	104	142	0
Klhl24	319.321429	1322	1780	1541	0	151	0	0	359	686	419	183	0	104	226	308	326	191	239	0	0	309	254	302	201	114	0	162	224	0	161	0	0	0	126	134	0	212	189	209	1673	598	903	801	389	287	385	430	266	0	298	396	250	234	104	302	134	0
Tbc1d15	319.160714	759	928	984	0	0	0	0	389	566	418	317	0	0	356	315	443	200	160	0	0	323	514	470	414	0	0	86	0	0	79	0	0	0	211	327	0	255	290	229	1972	510	645	1649	824	427	302	285	481	0	250	213	382	373	0	380	147	0
St8sia4	314.375000	521	686	644	0	216	0	0	436	850	576	175	0	142	464	216	322	0	153	0	0	631	512	634	588	0	0	0	0	0	77	0	0	0	0	111	0	245	298	230	1623	540	441	1624	807	507	435	393	326	0	604	614	280	286	0	155	243	0
Tomt	314.250000	478	573	737	0	0	0	0	478	882	688	368	0	199	585	302	453	187	234	0	0	685	1044	901	764	0	0	142	0	0	0	0	0	0	0	87	0	93	165	243	937	149	354	1595	832	397	257	300	627	145	562	553	150	168	0	284	0	0
Lamtor1	314.250000	478	573	737	0	0	0	0	478	882	688	368	0	199	585	302	453	187	234	0	0	685	1044	901	764	0	0	142	0	0	0	0	0	0	0	87	0	93	165	243	937	149	354	1595	832	397	257	300	627	145	562	553	150	168	0	284	0	0
Ube2f	313.071429	698	786	644	0	0	0	0	431	1164	474	265	0	116	508	249	358	135	230	0	0	666	746	698	627	0	0	94	0	0	84	0	0	0	152	0	0	188	0	233	936	260	159	2266	1459	717	326	501	234	0	213	421	112	119	0	150	113	0
Sidt2	309.642857	686	928	919	0	114	0	0	253	669	465	0	0	0	242	254	334	199	321	0	0	159	232	308	243	0	0	133	152	0	205	0	0	0	0	120	0	306	0	0	1712	364	309	2529	1871	1005	339	208	162	0	338	437	250	307	0	118	149	0
Foxo3	308.357143	927	953	959	0	224	0	119	374	473	300	267	0	130	244	236	219	151	173	0	0	559	625	741	319	0	0	0	0	0	88	0	0	93	316	242	0	111	0	0	1313	259	372	1641	1068	506	886	775	425	112	315	349	129	140	0	135	0	0
Pias4	307.892857	679	520	685	0	0	0	0	332	217	82	140	0	0	196	120	165	0	0	0	0	945	1280	1139	900	0	0	142	0	0	0	313	202	241	471	562	0	201	323	0	497	107	174	797	252	89	804	2591	345	152	316	306	189	411	0	216	141	0
Polg2	306.107143	631	448	703	0	102	0	0	453	426	318	219	0	0	195	339	332	88	128	0	0	447	509	735	516	99	0	129	0	0	130	0	0	0	134	92	0	419	415	156	1363	357	461	1970	935	570	331	355	545	143	797	680	114	137	0	93	128	0
Polr3b	306.017857	1201	1216	1216	0	0	0	0	256	916	568	234	0	0	322	466	380	310	308	0	0	175	206	282	130	0	0	0	0	0	0	0	0	0	187	169	0	203	261	298	1666	299	482	1914	872	572	139	303	449	0	96	246	186	175	0	246	188	0
Tmem94	305.839286	446	398	382	0	0	0	0	444	1483	875	484	0	256	505	406	487	332	433	0	0	704	1046	1022	777	0	0	0	0	0	91	0	0	0	90	0	0	0	0	0	1408	306	354	2174	1023	519	112	0	139	0	166	265	0	0	0	0	0	0
Kiz	302.214286	885	982	1068	0	0	0	0	509	1426	929	277	0	0	337	472	465	369	321	0	0	239	267	267	208	115	149	183	131	0	135	0	0	0	134	0	0	204	0	0	1210	194	196	1803	843	405	341	560	321	0	0	251	225	249	0	254	0	0
Dnajc11	301.517857	1554	1740	1644	0	0	0	0	310	546	164	201	0	0	153	103	151	0	0	0	0	0	0	213	0	149	0	91	0	0	113	0	0	0	207	131	0	243	0	0	1563	229	314	1848	475	631	534	1750	208	0	206	221	421	482	0	138	152	0
Zer1	301.357143	732	854	806	0	0	0	0	360	825	488	102	0	120	157	209	324	158	141	0	0	100	191	174	234	0	70	143	62	91	114	0	0	0	0	0	0	170	0	127	1802	392	425	2556	1410	1065	204	426	236	85	242	238	300	252	84	168	239	0
Card6	300.428571	928	937	1022	0	153	0	0	200	774	407	0	0	0	215	148	215	101	183	0	0	118	175	201	205	0	0	0	0	0	0	0	0	0	0	0	0	220	459	361	1766	806	951	1439	830	616	351	280	618	182	520	584	120	355	0	0	384	0
Hexim1	299.767857	1254	1371	986	0	88	0	0	423	697	658	169	0	0	212	541	381	278	289	0	0	225	329	417	317	0	0	0	0	0	0	0	0	0	0	0	0	125	147	130	732	466	554	1279	1562	926	338	312	287	151	262	321	0	0	0	0	560	0
Abhd2	298.589286	609	402	510	0	317	0	213	378	565	442	241	0	121	294	276	365	233	289	0	0	784	1399	1184	829	0	0	99	0	0	155	0	0	0	0	0	0	125	0	0	1763	661	261	773	309	0	338	142	494	150	719	677	131	147	0	0	326	0
Rgs2	297.714286	389	363	533	0	259	0	0	623	331	219	206	0	129	301	368	355	232	189	0	0	462	656	636	436	0	0	171	0	0	186	0	0	0	0	0	0	280	410	191	1252	723	758	1181	1013	523	431	701	677	200	391	392	0	132	0	0	373	0
Rlf	297.250000	727	726	621	0	0	0	0	355	981	548	395	0	130	488	227	391	0	250	0	0	170	412	416	268	0	0	0	0	0	0	0	0	0	0	0	0	271	203	186	1849	286	421	2360	843	938	0	203	160	0	210	206	487	491	0	299	128	0
Tmem140	296.303571	855	1401	1423	0	133	0	117	276	786	489	165	0	0	311	346	368	127	250	0	0	376	398	244	242	0	0	0	0	0	0	0	0	0	0	0	0	304	414	231	984	426	683	1343	989	602	0	0	474	179	225	284	135	122	107	302	482	0
Ppp1r8	294.607143	469	859	606	0	0	0	0	248	482	246	178	0	122	271	213	285	0	237	0	0	387	478	431	323	0	0	168	163	163	128	0	0	0	78	146	0	158	0	130	2443	510	935	1780	867	528	402	276	258	0	245	405	240	239	0	234	167	0
