Target_genes	Ovol2|Average	SRX424872|HC11_Mammary_Epithelium	STRING
Fkbp5	473.000000	473	0
Fut10	471.000000	471	0
Ano6	470.000000	470	0
Cdc42	469.000000	469	0
Ccdc88a	459.000000	459	0
Zfp473	457.000000	457	0
Vrk3	457.000000	457	0
Adh5	457.000000	457	0
Usp42	452.000000	452	0
Pwwp2a	452.000000	452	0
Gchfr	447.000000	447	0
Large1	446.000000	446	0
Hspa4l	443.000000	443	0
Ccdc107	443.000000	443	0
Wnk1	442.000000	442	0
Zfp566	438.000000	438	0
Zfp260	438.000000	438	0
Stxbp1	437.000000	437	0
Rbm38	434.000000	434	0
Specc1	433.000000	433	0
Pank2	429.000000	429	0
Rap1gap2	428.000000	428	0
AI987944	427.000000	427	0
Mpc2	424.000000	424	0
Dcaf6	424.000000	424	0
Ric8b	423.000000	423	0
Mterf1b	423.000000	423	0
Rassf1	422.000000	422	0
Slc25a19	421.000000	421	0
Dmwd	419.000000	419	0
Ndufaf1	417.000000	417	0
Msrb3	417.000000	417	0
H3f3c	417.000000	417	0
Prss22	415.000000	415	0
Dcaf7	414.000000	414	0
Cav1	414.000000	414	0
Vav3	413.000000	413	0
Acaa2	412.000000	412	0
Cdc42bpa	410.000000	410	0
Ogfod3	409.000000	409	0
Hexdc	409.000000	409	0
Slc44a2	408.000000	408	0
Pdzd8	405.000000	405	0
Asmt	405.000000	405	0
Calm2	397.000000	397	0
Kpna1	396.000000	396	0
Tfap2b	394.000000	394	0
Mturn	394.000000	394	0
Fdxr	394.000000	394	0
Lhx6	389.000000	389	0
Kmt2a	389.000000	389	0
Pds5b	388.000000	388	0
Mapk1ip1l	388.000000	388	0
Csf2ra	387.000000	387	0
Stard6	386.000000	386	0
4930503L19Rik	386.000000	386	0
Ncam1	384.000000	384	0
Tgfbr2	377.000000	377	0
Pibf1	373.000000	373	0
Dis3	373.000000	373	0
4930430F08Rik	373.000000	373	0
1700017N19Rik	373.000000	373	0
Dguok	372.000000	372	0
Cstf1	372.000000	372	0
Aurka	372.000000	372	0
Snx32	367.000000	367	0
Prpf19	365.000000	365	0
Zfp959	362.000000	362	0
Sgms1	360.000000	360	0
Galnt1	359.000000	359	0
Flot2	354.000000	354	0
Narf	352.000000	352	0
Inpp4a	350.000000	350	0
Ankar	350.000000	350	0
Zcchc24	347.000000	347	0
Ubl5	347.000000	347	0
Fbxl12	347.000000	347	0
Zfp521	346.000000	346	0
Plk2	346.000000	346	0
Hdx	346.000000	346	0
Adamts14	346.000000	346	0
Zfp568	343.000000	343	0
H4f16	343.000000	343	0
H2aj	343.000000	343	0
Nt5dc3	342.000000	342	0
Hyls1	341.000000	341	0
Kmt5b	336.000000	336	0
E130308A19Rik	335.000000	335	0
Top3a	334.000000	334	0
Smcr8	334.000000	334	0
Ptprj	334.000000	334	0
Myh14	333.000000	333	0
Heg1	329.000000	329	0
Uhrf2	328.000000	328	0
Ubb	328.000000	328	0
Cycs	325.000000	325	0
Diablo	324.000000	324	0
Zfp382	323.000000	323	0
Fam104a	323.000000	323	0
D11Wsu47e	323.000000	323	0
Nemp1	321.000000	321	0
1700067K01Rik	321.000000	321	0
Sfpq	320.000000	320	0
Gpn3	320.000000	320	0
Fam216a	320.000000	320	0
Stt3a	318.000000	318	0
Mzt2	318.000000	318	0
Fxr1	318.000000	318	0
Rgs12	315.000000	315	0
Mri1	314.000000	314	0
Gid4	314.000000	314	0
Yy1	312.000000	312	0
Ttbk2	308.000000	308	0
Prmt6	308.000000	308	0
Xrcc2	306.000000	306	0
Smim19	305.000000	305	0
Slc20a2	305.000000	305	0
Pip4k2a	305.000000	305	0
Mterf1a	303.000000	303	0
Ywhah	302.000000	302	0
Ubxn6	299.000000	299	0
Hdgfl2	299.000000	299	0
Phf12	298.000000	298	0
Srgap2	296.000000	296	0
Ppat	296.000000	296	0
Paics	296.000000	296	0
Fam72a	296.000000	296	0
Fads1	295.000000	295	0
Zcwpw1	294.000000	294	0
Mepce	294.000000	294	0
Tubb5	293.000000	293	0
Mdc1	293.000000	293	0
Jmjd1c	293.000000	293	0
Lrrc8c	292.000000	292	0
Asb1	291.000000	291	0
Arid5a	290.000000	290	0
Mageb3	288.000000	288	0
Ctdspl2	288.000000	288	0
Egr3	286.000000	286	0
Skp1	285.000000	285	0
Abcg2	285.000000	285	0
Nubp1	284.000000	284	0
Gan	283.000000	283	0
Slc10a5	278.000000	278	0
Inka1	278.000000	278	0
Impa1	278.000000	278	0
Gclm	278.000000	278	0
Cyth2	278.000000	278	0
Synj2bp	277.000000	277	0
Gm20498	277.000000	277	0
Nr4a3	276.000000	276	0
Ube2f	274.000000	274	0
Cox20	274.000000	274	0
Zfyve26	273.000000	273	0
Rad51b	273.000000	273	0
Cdh2	273.000000	273	0
Kcnk1	268.000000	268	0
Gtpbp3	268.000000	268	0
Ano8	268.000000	268	0
Tmem263	267.000000	267	0
Pcyt2	267.000000	267	0
Mdm1	267.000000	267	0
Fhl4	267.000000	267	0
Ggct	266.000000	266	0
Car9	266.000000	266	0
Arhgef39	266.000000	266	0
Raver1	265.000000	265	0
Trim35	264.000000	264	0
Serinc1	264.000000	264	0
Elavl2	264.000000	264	0
Cracr2b	264.000000	264	0
Mbtps1	262.000000	262	0
Prkce	261.000000	261	0
Ndufa6	261.000000	261	0
Phf1	260.000000	260	0
Bahcc1	259.000000	259	0
Wbp2	257.000000	257	0
Tiprl	257.000000	257	0
Rnf10	257.000000	257	0
Dst	257.000000	257	0
Sspn	256.000000	256	0
Rpgrip1l	256.000000	256	0
Fto	256.000000	256	0
Ftl1	256.000000	256	0
Zfp608	255.000000	255	0
Il31ra	255.000000	255	0
Nedd8	252.000000	252	0
Gmpr2	252.000000	252	0
Zbtb7b	251.000000	251	0
Cuedc1	251.000000	251	0
Angptl2	251.000000	251	0
Umad1	250.000000	250	0
Rpa3	250.000000	250	0
Patl1	250.000000	250	0
Gcc2	250.000000	250	0
Senp8	249.000000	249	0
Myo9a	249.000000	249	0
Pik3ip1	248.000000	248	0
Parn	247.000000	247	0
Bfar	247.000000	247	0
Pgp	246.000000	246	0
Cers2	246.000000	246	0
Bricd5	246.000000	246	0
Anxa9	246.000000	246	0
Rbm12b2	245.000000	245	0
Ankrd1	244.000000	244	0
Sorbs2	241.000000	241	0
Prkacb	241.000000	241	0
Hccs	241.000000	241	0
Gm15246	241.000000	241	0
Rptor	239.000000	239	0
Snrpa1	238.000000	238	0
Rbm15	238.000000	238	0
Gmfb	238.000000	238	0
Cd163l1	238.000000	238	0
Cbll1	236.000000	236	0
Setd1b	235.000000	235	0
Get1	235.000000	235	0
Etv5	235.000000	235	0
Runx2	234.000000	234	0
Myc	232.000000	232	0
Fam161a	232.000000	232	0
Pts	229.000000	229	0
Smyd5	227.000000	227	0
Fndc3a	227.000000	227	0
Tmem258	226.000000	226	0
Fen1	226.000000	226	0
Dgcr8	226.000000	226	0
Taar7a	225.000000	225	0
Taar6	225.000000	225	0
Pla2g7	224.000000	224	0
Flna	223.000000	223	0
Atoh8	223.000000	223	0
Asf1b	223.000000	223	0
Tecpr1	222.000000	222	0
Nop14	222.000000	222	0
Grk4	222.000000	222	0
Copz1	222.000000	222	0
Setd1a	221.000000	221	0
Galnt7	221.000000	221	0
Clec4n	221.000000	221	0
Cops8	220.000000	220	0
Zdhhc17	218.000000	218	0
St3gal2	218.000000	218	0
Slc1a4	217.000000	217	0
Rnd1	216.000000	216	0
Slc1a5	215.000000	215	0
Cfap97	215.000000	215	0
Fbxo43	213.000000	213	0
Zfp689	212.000000	212	0
Wdcp	212.000000	212	0
Sec11c	212.000000	212	0
Krt79	212.000000	212	0
Slc4a9	207.000000	207	0
Sf3b1	207.000000	207	0
Sec62	204.000000	204	0
Pnrc1	204.000000	204	0
Mrps24	202.000000	202	0
H3c11	202.000000	202	0
H2bc22	202.000000	202	0
H2ac22	202.000000	202	0
H1f5	202.000000	202	0
Tdrkh	200.000000	200	0
Dut	200.000000	200	0
Dusp10	200.000000	200	0
1700056E22Rik	200.000000	200	0
Tmem125	199.000000	199	0
Abca5	199.000000	199	0
Trim47	198.000000	198	0
Krt5	198.000000	198	0
Fam89b	198.000000	198	0
Ehbp1l1	198.000000	198	0
Spred1	197.000000	197	0
Smim14	197.000000	197	0
Mapk8ip2	197.000000	197	0
Plekha8	196.000000	196	0
Fkbp14	196.000000	196	0
Id2	193.000000	193	0
Capns1	192.000000	192	0
Nup205	191.000000	191	0
Ube2s	189.000000	189	0
Zfp106	187.000000	187	0
Tmem74	187.000000	187	0
Tmem216	187.000000	187	0
Snap23	187.000000	187	0
Scrn3	187.000000	187	0
Msn	187.000000	187	0
Ctnna3	187.000000	187	0
Crybg1	187.000000	187	0
Cir1	187.000000	187	0
Chd1l	187.000000	187	0
Abhd6	187.000000	187	0
A130010J15Rik	187.000000	187	0
Zfp119a	186.000000	186	0
Spdya	186.000000	186	0
Smg9	186.000000	186	0
Trrap	185.000000	185	0
Gss	182.000000	182	0
Rgs20	181.000000	181	0
Elf2	177.000000	177	0
Zfp119b	176.000000	176	0
Tprkb	176.000000	176	0
Nat8f1	176.000000	176	0
Zmat1	175.000000	175	0
Tmem143	175.000000	175	0
Syngr4	175.000000	175	0
Sgms2	175.000000	175	0
Samd14	175.000000	175	0
Parp11	175.000000	175	0
Opa1	175.000000	175	0
Mysm1	175.000000	175	0
Micos10	175.000000	175	0
Ilkap	175.000000	175	0
Gjc1	175.000000	175	0
Dcaf11	175.000000	175	0
Clba1	175.000000	175	0
Cdc42se2	175.000000	175	0
Ahnak2	175.000000	175	0
Haus4	174.000000	174	0
Ggt7	174.000000	174	0
Acss2	174.000000	174	0
Tarsl2	173.000000	173	0
Sord	171.000000	171	0
Fam162a	171.000000	171	0
Ctnnbl1	171.000000	171	0
Ccdc58	171.000000	171	0
Arpc1b	171.000000	171	0
Tmem230	167.000000	167	0
Slx4	167.000000	167	0
Zc3h6	166.000000	166	0
St3gal4	166.000000	166	0
Lmtk2	164.000000	164	0
Evi5	164.000000	164	0
Zfp865	163.000000	163	0
Zfp787	163.000000	163	0
Zfp524	163.000000	163	0
Syvn1	163.000000	163	0
Sorbs1	163.000000	163	0
Loxl4	163.000000	163	0
Kansl2	163.000000	163	0
Fut8	163.000000	163	0
Cnpy3	163.000000	163	0
B9d2	163.000000	163	0
Nudt3	162.000000	162	0
Klhdc2	162.000000	162	0
Il6	162.000000	162	0
Gne	162.000000	162	0
Bcl9l	162.000000	162	0
Zyx	160.000000	160	0
Rbm14	160.000000	160	0
Gm21992	160.000000	160	0
Enpp4	160.000000	160	0
Marchf6	159.000000	159	0
Dyrk1a	159.000000	159	0
Ctps	158.000000	158	0
Slc35a1	157.000000	157	0
Hnrnpdl	155.000000	155	0
Enoph1	155.000000	155	0
Cldn11	155.000000	155	0
Cox5b	153.000000	153	0
Atf1	152.000000	152	0
Zfp395	151.000000	151	0
Ttc23	151.000000	151	0
Tesk2	151.000000	151	0
Slc2a1	151.000000	151	0
Mecp2	151.000000	151	0
Lrrc28	151.000000	151	0
Lin52	151.000000	151	0
Irf1	151.000000	151	0
Immp1l	151.000000	151	0
Gramd1a	151.000000	151	0
Gpr19	151.000000	151	0
Elp4	151.000000	151	0
Cdk12	151.000000	151	0
Calm1	151.000000	151	0
Aldh6a1	151.000000	151	0
Sf3a2	149.000000	149	0
Plekhj1	149.000000	149	0
Pin1	145.000000	145	0
Spg7	143.000000	143	0
Mtmr3	142.000000	142	0
Krit1	142.000000	142	0
Ankib1	142.000000	142	0
Pld1	141.000000	141	0
Uba3	140.000000	140	0
Arl6ip5	140.000000	140	0
Zfp346	139.000000	139	0
Wbp11	139.000000	139	0
Uimc1	139.000000	139	0
Trpt1	139.000000	139	0
Tanc1	139.000000	139	0
Sh3bgrl	139.000000	139	0
Pwp2	139.000000	139	0
Prnp	139.000000	139	0
Prn	139.000000	139	0
Pltp	139.000000	139	0
Nudt22	139.000000	139	0
Nol8	139.000000	139	0
Las1l	139.000000	139	0
Ep400	139.000000	139	0
Engase	139.000000	139	0
Dnajc4	139.000000	139	0
Cenpp	139.000000	139	0
Ccng1	139.000000	139	0
Capn7	139.000000	139	0
BC049715	139.000000	139	0
B230219D22Rik	139.000000	139	0
Aldh18a1	139.000000	139	0
1700017B05Rik	139.000000	139	0
Tnrc6b	138.000000	138	0
Prps1	138.000000	138	0
Mtr	138.000000	138	0
Slc46a3	137.000000	137	0
Slc25a23	137.000000	137	0
Crb3	137.000000	137	0
Rasa3	136.000000	136	0
Hey2	136.000000	136	0
Eloa	136.000000	136	0
Ulk2	135.000000	135	0
Adgrl1	135.000000	135	0
Tgfbr3l	133.000000	133	0
Snapc2	133.000000	133	0
Slc25a26	132.000000	132	0
Cyld	132.000000	132	0
Zbtb8os	131.000000	131	0
Rbbp4	131.000000	131	0
Tcp1	130.000000	130	0
Tbp	130.000000	130	0
S100a6	130.000000	130	0
S100a5	130.000000	130	0
Psmb1	130.000000	130	0
Mrpl18	130.000000	130	0
Gamt	130.000000	130	0
Dazap1	130.000000	130	0
Rab33b	129.000000	129	0
Xkr5	128.000000	128	0
Wdr37	128.000000	128	0
Picalm	128.000000	128	0
Oard1	128.000000	128	0
Nfya	128.000000	128	0
Morc3	128.000000	128	0
Lrba	128.000000	128	0
Gtf3c4	128.000000	128	0
Fbxl17	128.000000	128	0
Ddx31	128.000000	128	0
Cnn3	128.000000	128	0
Ccdc126	127.000000	127	0
Styxl1	126.000000	126	0
Poglut2	126.000000	126	0
Mdh2	126.000000	126	0
H4c12	126.000000	126	0
H2bc15	126.000000	126	0
H2ac15	126.000000	126	0
Bivm	126.000000	126	0
Zkscan5	125.000000	125	0
Zkscan14	125.000000	125	0
Kpnb1	125.000000	125	0
Rpl10	124.000000	124	0
Zfp91	123.000000	123	0
Lpxn	123.000000	123	0
Akr1b3	123.000000	123	0
Abraxas1	122.000000	122	0
Cfl1	121.000000	121	0
Uspl1	119.000000	119	0
Wrap73	117.000000	117	0
Trp73	117.000000	117	0
Pou4f3	117.000000	117	0
Nudcd1	117.000000	117	0
Nkrf	117.000000	117	0
Map4k5	117.000000	117	0
Hnrnpr	117.000000	117	0
Eny2	117.000000	117	0
Atl1	117.000000	117	0
Aifm1	117.000000	117	0
Rassf3	115.000000	115	0
Med26	115.000000	115	0
Hip1	115.000000	115	0
Raly	114.000000	114	0
Zfp383	110.000000	110	0
Zfp27	110.000000	110	0
Skap2	109.000000	109	0
9530068E07Rik	109.000000	109	0
Tssk6	107.000000	107	0
Ndufa13	107.000000	107	0
S100a4	106.000000	106	0
Rap2a	106.000000	106	0
Isg20	106.000000	106	0
Cdh24	106.000000	106	0
Snx17	104.000000	104	0
Eif2b4	104.000000	104	0
Arfgap3	103.000000	103	0
Srsf1	102.000000	102	0
Matr3	101.000000	101	0
Azin1	100.000000	100	0
Irx5	99.000000	99	0
Macrod2	95.000000	95	0
Iars2	95.000000	95	0
Bpnt1	95.000000	95	0
2310061I04Rik	95.000000	95	0
P4ha1	94.000000	94	0
Hnrnpa2b1	91.000000	91	0
Cbx3	91.000000	91	0
Tcaim	84.000000	84	0
Emsy	84.000000	84	0
Gm4981	82.000000	82	0
