Target_genes	Bcl11a|Average	SRX8030787|Acute_myeloid_leukemia	ERX2242378|Breast_cells	ERX200399|Mammary_epithelial_cells	ERX200403|Mammary_epithelial_cells	ERX200408|Mammary_epithelial_cells	ERX200412|Mammary_epithelial_cells	ERX200417|Mammary_epithelial_cells	ERX200421|Mammary_epithelial_cells	ERX200426|Mammary_epithelial_cells	ERX200430|Mammary_epithelial_cells	ERX200435|Mammary_epithelial_cells	ERX200439|Mammary_epithelial_cells	STRING
Hdac10	48.833333	586	0	0	0	0	0	0	0	0	0	0	0	0
Lefty2	48.500000	582	0	0	0	0	0	0	0	0	0	0	0	0
Rnf185	48.333333	580	0	0	0	0	0	0	0	0	0	0	0	0
Eif2s1	48.166667	578	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1d	48.166667	578	0	0	0	0	0	0	0	0	0	0	0	0
Nfe2	48.083333	577	0	0	0	0	0	0	0	0	0	0	0	0
Rer1	47.666667	572	0	0	0	0	0	0	0	0	0	0	0	0
Morn1	47.666667	572	0	0	0	0	0	0	0	0	0	0	0	0
Atg16l1	47.583333	571	0	0	0	0	0	0	0	0	0	0	0	0
Btbd19	47.500000	570	0	0	0	0	0	0	0	0	0	0	0	0
Tigd4	47.333333	568	0	0	0	0	0	0	0	0	0	0	0	0
Thumpd3	47.083333	565	0	0	0	0	0	0	0	0	0	0	0	0
Armc7	46.916667	563	0	0	0	0	0	0	0	0	0	0	0	0
Pigm	46.833333	562	0	0	0	0	0	0	0	0	0	0	0	0
Cd300c	46.833333	562	0	0	0	0	0	0	0	0	0	0	0	0
Rgs2	46.583333	559	0	0	0	0	0	0	0	0	0	0	0	0
Irf2	46.416667	557	0	0	0	0	0	0	0	0	0	0	0	0
Atp1a3	46.416667	557	0	0	0	0	0	0	0	0	0	0	0	0
Fth1	46.333333	556	0	0	0	0	0	0	0	0	0	0	0	0
Utp3	46.166667	554	0	0	0	0	0	0	0	0	0	0	0	0
Prkag1	46.083333	553	0	0	0	0	0	0	0	0	0	0	0	0
Ifitm5	46.083333	553	0	0	0	0	0	0	0	0	0	0	0	0
Uggt1	46.000000	552	0	0	0	0	0	0	0	0	0	0	0	0
Tox2	45.916667	551	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg3	45.916667	551	0	0	0	0	0	0	0	0	0	0	0	0
Tmem104	45.666667	548	0	0	0	0	0	0	0	0	0	0	0	0
Nat9	45.666667	548	0	0	0	0	0	0	0	0	0	0	0	0
Pnkp	45.500000	546	0	0	0	0	0	0	0	0	0	0	0	0
Myl10	45.500000	546	0	0	0	0	0	0	0	0	0	0	0	0
Vps39	45.416667	545	0	0	0	0	0	0	0	0	0	0	0	0
Plec	45.333333	544	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc8d	45.333333	544	0	0	0	0	0	0	0	0	0	0	0	0
Fgd3	45.333333	544	0	0	0	0	0	0	0	0	0	0	0	0
Ccnt1	45.333333	544	0	0	0	0	0	0	0	0	0	0	0	0
4930415O20Rik	45.333333	544	0	0	0	0	0	0	0	0	0	0	0	0
Med17	45.250000	543	0	0	0	0	0	0	0	0	0	0	0	0
Rab44	45.166667	542	0	0	0	0	0	0	0	0	0	0	0	0
Orc5	45.166667	542	0	0	0	0	0	0	0	0	0	0	0	0
Zfp971	45.083333	541	0	0	0	0	0	0	0	0	0	0	0	0
Gga1	45.083333	541	0	0	0	0	0	0	0	0	0	0	0	0
Mmp9	44.916667	539	0	0	0	0	0	0	0	0	0	0	0	0
Ergic2	44.583333	535	0	0	0	0	0	0	0	0	0	0	0	0
Fam227b	44.500000	534	0	0	0	0	0	0	0	0	0	0	0	0
Dtwd1	44.500000	534	0	0	0	0	0	0	0	0	0	0	0	0
Stfa1	44.250000	531	0	0	0	0	0	0	0	0	0	0	0	0
Dynlt1b	44.250000	531	0	0	0	0	0	0	0	0	0	0	0	0
Adam1b	44.250000	531	0	0	0	0	0	0	0	0	0	0	0	0
Gpatch2l	44.000000	528	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp1	43.916667	527	0	0	0	0	0	0	0	0	0	0	0	0
Mars1	43.916667	527	0	0	0	0	0	0	0	0	0	0	0	0
H2-T24	43.916667	527	0	0	0	0	0	0	0	0	0	0	0	0
Ubxn1	43.833333	526	0	0	0	0	0	0	0	0	0	0	0	0
Naa35	43.750000	525	0	0	0	0	0	0	0	0	0	0	0	0
Ap5z1	43.666667	524	0	0	0	0	0	0	0	0	0	0	0	0
Ing5	43.333333	520	0	0	0	0	0	0	0	0	0	0	0	0
Dtymk	43.333333	520	0	0	0	0	0	0	0	0	0	0	0	0
Unkl	43.250000	519	0	0	0	0	0	0	0	0	0	0	0	0
Percc1	43.250000	519	0	0	0	0	0	0	0	0	0	0	0	0
Limk2	43.250000	519	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2a2	43.250000	519	0	0	0	0	0	0	0	0	0	0	0	0
BC003965	43.250000	519	0	0	0	0	0	0	0	0	0	0	0	0
Zfp688	43.083333	517	0	0	0	0	0	0	0	0	0	0	0	0
Fam32a	43.083333	517	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs11	43.083333	517	0	0	0	0	0	0	0	0	0	0	0	0
Cib3	43.083333	517	0	0	0	0	0	0	0	0	0	0	0	0
Tcte3	43.000000	516	0	0	0	0	0	0	0	0	0	0	0	0
Gm3448	43.000000	516	0	0	0	0	0	0	0	0	0	0	0	0
Gm3435	43.000000	516	0	0	0	0	0	0	0	0	0	0	0	0
Gm3417	43.000000	516	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor4	42.750000	513	0	0	0	0	0	0	0	0	0	0	0	0
Rilpl2	42.666667	512	0	0	0	0	0	0	0	0	0	0	0	0
Zfp408	42.500000	510	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap1	42.500000	510	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a6b	42.333333	508	0	0	0	0	0	0	0	0	0	0	0	0
Tecpr1	42.333333	508	0	0	0	0	0	0	0	0	0	0	0	0
Nip7	42.333333	508	0	0	0	0	0	0	0	0	0	0	0	0
Gtpbp4	42.333333	508	0	0	0	0	0	0	0	0	0	0	0	0
Dguok	42.333333	508	0	0	0	0	0	0	0	0	0	0	0	0
Cog8	42.333333	508	0	0	0	0	0	0	0	0	0	0	0	0
Rmnd1	42.250000	507	0	0	0	0	0	0	0	0	0	0	0	0
Plin3	42.250000	507	0	0	0	0	0	0	0	0	0	0	0	0
Armt1	42.250000	507	0	0	0	0	0	0	0	0	0	0	0	0
Cdk7	42.083333	505	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a6	41.916667	503	0	0	0	0	0	0	0	0	0	0	0	0
Egr1	41.916667	503	0	0	0	0	0	0	0	0	0	0	0	0
Ddx55	41.833333	502	0	0	0	0	0	0	0	0	0	0	0	0
Bms1	41.666667	500	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l2	41.583333	499	0	0	0	0	0	0	0	0	0	0	0	0
Akr1c18	41.583333	499	0	0	0	0	0	0	0	0	0	0	0	0
Tmem41b	41.500000	498	0	0	0	0	0	0	0	0	0	0	0	0
Slc48a1	41.500000	498	0	0	0	0	0	0	0	0	0	0	0	0
Prkd2	41.500000	498	0	0	0	0	0	0	0	0	0	0	0	0
Hipk1	41.500000	498	0	0	0	0	0	0	0	0	0	0	0	0
Fes	41.500000	498	0	0	0	0	0	0	0	0	0	0	0	0
Cops7a	41.500000	498	0	0	0	0	0	0	0	0	0	0	0	0
Hspa4	41.416667	497	0	0	0	0	0	0	0	0	0	0	0	0
Spi1	41.333333	496	0	0	0	0	0	0	0	0	0	0	0	0
Csk	41.333333	496	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1301	41.166667	494	0	0	0	0	0	0	0	0	0	0	0	0
Emc7	41.166667	494	0	0	0	0	0	0	0	0	0	0	0	0
Tollip	41.083333	493	0	0	0	0	0	0	0	0	0	0	0	0
Snrpc	41.083333	493	0	0	0	0	0	0	0	0	0	0	0	0
Slc16a6	41.000000	492	0	0	0	0	0	0	0	0	0	0	0	0
Clec12a	41.000000	492	0	0	0	0	0	0	0	0	0	0	0	0
Arsg	41.000000	492	0	0	0	0	0	0	0	0	0	0	0	0
Nr1h2	40.916667	491	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc97	40.916667	491	0	0	0	0	0	0	0	0	0	0	0	0
Dbnl	40.750000	489	0	0	0	0	0	0	0	0	0	0	0	0
Abcc10	40.583333	487	0	0	0	0	0	0	0	0	0	0	0	0
Sdhc	40.416667	485	0	0	0	0	0	0	0	0	0	0	0	0
Mpz	40.416667	485	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc75b	40.416667	485	0	0	0	0	0	0	0	0	0	0	0	0
Ggt1	40.416667	485	0	0	0	0	0	0	0	0	0	0	0	0
Cox7a2	40.416667	485	0	0	0	0	0	0	0	0	0	0	0	0
Urm1	40.333333	484	0	0	0	0	0	0	0	0	0	0	0	0
Ublcp1	40.333333	484	0	0	0	0	0	0	0	0	0	0	0	0
Myo1f	40.250000	483	0	0	0	0	0	0	0	0	0	0	0	0
Lat	40.250000	483	0	0	0	0	0	0	0	0	0	0	0	0
Cd72	40.166667	482	0	0	0	0	0	0	0	0	0	0	0	0
9030025P20Rik	40.166667	482	0	0	0	0	0	0	0	0	0	0	0	0
Clta	40.083333	481	0	0	0	0	0	0	0	0	0	0	0	0
Cd74	40.083333	481	0	0	0	0	0	0	0	0	0	0	0	0
Yipf2	40.000000	480	0	0	0	0	0	0	0	0	0	0	0	0
Timm29	40.000000	480	0	0	0	0	0	0	0	0	0	0	0	0
Zfp512	39.833333	478	0	0	0	0	0	0	0	0	0	0	0	0
Herc4	39.833333	478	0	0	0	0	0	0	0	0	0	0	0	0
Ddx21	39.750000	477	0	0	0	0	0	0	0	0	0	0	0	0
Ugt1a6a	39.583333	475	0	0	0	0	0	0	0	0	0	0	0	0
Rpl27	39.583333	475	0	0	0	0	0	0	0	0	0	0	0	0
Echs1	39.583333	475	0	0	0	0	0	0	0	0	0	0	0	0
Trem1	39.416667	473	0	0	0	0	0	0	0	0	0	0	0	0
Tlr2	39.416667	473	0	0	0	0	0	0	0	0	0	0	0	0
Rapgef6	39.416667	473	0	0	0	0	0	0	0	0	0	0	0	0
Psmb2	39.333333	472	0	0	0	0	0	0	0	0	0	0	0	0
E4f1	39.333333	472	0	0	0	0	0	0	0	0	0	0	0	0
Spg11	39.250000	471	0	0	0	0	0	0	0	0	0	0	0	0
Ppih	39.166667	470	0	0	0	0	0	0	0	0	0	0	0	0
Gfi1b	39.166667	470	0	0	0	0	0	0	0	0	0	0	0	0
Camkk2	39.083333	469	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d9b	39.000000	468	0	0	0	0	0	0	0	0	0	0	0	0
Togaram1	38.916667	467	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip3	38.916667	467	0	0	0	0	0	0	0	0	0	0	0	0
Klhl28	38.916667	467	0	0	0	0	0	0	0	0	0	0	0	0
Kcne3	38.916667	467	0	0	0	0	0	0	0	0	0	0	0	0
Ctsc	38.916667	467	0	0	0	0	0	0	0	0	0	0	0	0
Nup54	38.833333	466	0	0	0	0	0	0	0	0	0	0	0	0
Tssk6	38.750000	465	0	0	0	0	0	0	0	0	0	0	0	0
Rhot2	38.750000	465	0	0	0	0	0	0	0	0	0	0	0	0
Pgs1	38.750000	465	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa13	38.750000	465	0	0	0	0	0	0	0	0	0	0	0	0
Mfsd13a	38.750000	465	0	0	0	0	0	0	0	0	0	0	0	0
Alkbh3	38.750000	465	0	0	0	0	0	0	0	0	0	0	0	0
Lgals3	38.666667	464	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd33	38.666667	464	0	0	0	0	0	0	0	0	0	0	0	0
Zfp984	38.500000	462	0	0	0	0	0	0	0	0	0	0	0	0
Rps7	38.500000	462	0	0	0	0	0	0	0	0	0	0	0	0
Sucnr1	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Slc38a7	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Kri1	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Dus2	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Ddx28	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2d	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Atp7a	38.416667	461	0	0	0	0	0	0	0	0	0	0	0	0
Zpr1	38.333333	460	0	0	0	0	0	0	0	0	0	0	0	0
Apoa5	38.333333	460	0	0	0	0	0	0	0	0	0	0	0	0
Sbno2	38.250000	459	0	0	0	0	0	0	0	0	0	0	0	0
Rpl27a	38.166667	458	0	0	0	0	0	0	0	0	0	0	0	0
Ier2	38.166667	458	0	0	0	0	0	0	0	0	0	0	0	0
Sft2d1	37.916667	455	0	0	0	0	0	0	0	0	0	0	0	0
Shld1	37.833333	454	0	0	0	0	0	0	0	0	0	0	0	0
Ing4	37.833333	454	0	0	0	0	0	0	0	0	0	0	0	0
Fam166b	37.833333	454	0	0	0	0	0	0	0	0	0	0	0	0
Spata13	37.750000	453	0	0	0	0	0	0	0	0	0	0	0	0
Septin9	37.750000	453	0	0	0	0	0	0	0	0	0	0	0	0
Ociad1	37.750000	453	0	0	0	0	0	0	0	0	0	0	0	0
Hdac7	37.750000	453	0	0	0	0	0	0	0	0	0	0	0	0
Fyb	37.750000	453	0	0	0	0	0	0	0	0	0	0	0	0
Cd3d	37.750000	453	0	0	0	0	0	0	0	0	0	0	0	0
Taf10	37.666667	452	0	0	0	0	0	0	0	0	0	0	0	0
Slc26a11	37.666667	452	0	0	0	0	0	0	0	0	0	0	0	0
Sgsh	37.666667	452	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd3	37.666667	452	0	0	0	0	0	0	0	0	0	0	0	0
Tgoln2	37.500000	450	0	0	0	0	0	0	0	0	0	0	0	0
Tgoln1	37.500000	450	0	0	0	0	0	0	0	0	0	0	0	0
Wdr27	37.416667	449	0	0	0	0	0	0	0	0	0	0	0	0
1600012H06Rik	37.416667	449	0	0	0	0	0	0	0	0	0	0	0	0
Xdh	37.333333	448	0	0	0	0	0	0	0	0	0	0	0	0
Hal	37.250000	447	0	0	0	0	0	0	0	0	0	0	0	0
Cnr2	37.166667	446	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs9	37.000000	444	0	0	0	0	0	0	0	0	0	0	0	0
Vps4b	36.916667	443	0	0	0	0	0	0	0	0	0	0	0	0
Acbd5	36.916667	443	0	0	0	0	0	0	0	0	0	0	0	0
Rnf130	36.833333	442	0	0	0	0	0	0	0	0	0	0	0	0
Cmtm7	36.833333	442	0	0	0	0	0	0	0	0	0	0	0	0
Ube2l6	36.750000	441	0	0	0	0	0	0	0	0	0	0	0	0
Rgs1	36.750000	441	0	0	0	0	0	0	0	0	0	0	0	0
Kifc1	36.750000	441	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf12	36.666667	440	0	0	0	0	0	0	0	0	0	0	0	0
Arpc1b	36.666667	440	0	0	0	0	0	0	0	0	0	0	0	0
Mef2c	36.583333	439	0	0	0	0	0	0	0	0	0	0	0	0
Gclm	36.583333	439	0	0	0	0	0	0	0	0	0	0	0	0
Vrk1	36.500000	438	0	0	0	0	0	0	0	0	0	0	0	0
Tmppe	36.500000	438	0	0	0	0	0	0	0	0	0	0	0	0
Tax1bp1	36.500000	438	0	0	0	0	0	0	0	0	0	0	0	0
Gm4981	36.500000	149	289	0	0	0	0	0	0	0	0	0	0	0
Gapdh	36.500000	438	0	0	0	0	0	0	0	0	0	0	0	0
Pdzd8	36.416667	437	0	0	0	0	0	0	0	0	0	0	0	0
Itpr3	36.416667	437	0	0	0	0	0	0	0	0	0	0	0	0
Zfp623	36.333333	436	0	0	0	0	0	0	0	0	0	0	0	0
Sec31a	36.333333	436	0	0	0	0	0	0	0	0	0	0	0	0
Eef1g	36.333333	436	0	0	0	0	0	0	0	0	0	0	0	0
Zfp963	36.250000	435	0	0	0	0	0	0	0	0	0	0	0	0
Tmem268	36.250000	435	0	0	0	0	0	0	0	0	0	0	0	0
Rffl	36.250000	435	0	0	0	0	0	0	0	0	0	0	0	0
Preb	36.166667	434	0	0	0	0	0	0	0	0	0	0	0	0
Hspa12b	36.166667	434	0	0	0	0	0	0	0	0	0	0	0	0
Cnot4	36.166667	434	0	0	0	0	0	0	0	0	0	0	0	0
Arpc3	36.166667	434	0	0	0	0	0	0	0	0	0	0	0	0
Slc35a5	36.000000	432	0	0	0	0	0	0	0	0	0	0	0	0
Lcn2	36.000000	432	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor3	36.000000	432	0	0	0	0	0	0	0	0	0	0	0	0
Atg3	36.000000	432	0	0	0	0	0	0	0	0	0	0	0	0
Abca9	36.000000	432	0	0	0	0	0	0	0	0	0	0	0	0
Tgm5	35.833333	430	0	0	0	0	0	0	0	0	0	0	0	0
Rnh1	35.833333	430	0	0	0	0	0	0	0	0	0	0	0	0
Rab5if	35.833333	430	0	0	0	0	0	0	0	0	0	0	0	0
Kcnmb1	35.833333	430	0	0	0	0	0	0	0	0	0	0	0	0
Epn1	35.666667	428	0	0	0	0	0	0	0	0	0	0	0	0
Dhx8	35.666667	428	0	0	0	0	0	0	0	0	0	0	0	0
Bhlhe40	35.666667	428	0	0	0	0	0	0	0	0	0	0	0	0
Rhobtb1	35.583333	427	0	0	0	0	0	0	0	0	0	0	0	0
Nxpe5	35.583333	427	0	0	0	0	0	0	0	0	0	0	0	0
A930033H14Rik	35.583333	427	0	0	0	0	0	0	0	0	0	0	0	0
Pgam5	35.500000	426	0	0	0	0	0	0	0	0	0	0	0	0
Tnpo3	35.416667	425	0	0	0	0	0	0	0	0	0	0	0	0
Tmem208	35.333333	424	0	0	0	0	0	0	0	0	0	0	0	0
Sec22b	35.333333	424	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc29	35.333333	424	0	0	0	0	0	0	0	0	0	0	0	0
Sstr4	35.250000	423	0	0	0	0	0	0	0	0	0	0	0	0
Eif2b5	35.250000	423	0	0	0	0	0	0	0	0	0	0	0	0
Coro1b	35.250000	423	0	0	0	0	0	0	0	0	0	0	0	0
Ptgr2	35.166667	422	0	0	0	0	0	0	0	0	0	0	0	0
Nvl	35.166667	422	0	0	0	0	0	0	0	0	0	0	0	0
Nars	35.166667	422	0	0	0	0	0	0	0	0	0	0	0	0
Chid1	35.166667	422	0	0	0	0	0	0	0	0	0	0	0	0
Nfkbil1	35.083333	421	0	0	0	0	0	0	0	0	0	0	0	0
Il1rn	35.083333	421	0	0	0	0	0	0	0	0	0	0	0	0
Gle1	35.083333	421	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1g2	35.083333	421	0	0	0	0	0	0	0	0	0	0	0	0
Vsir	35.000000	420	0	0	0	0	0	0	0	0	0	0	0	0
Trem3	35.000000	420	0	0	0	0	0	0	0	0	0	0	0	0
Ttc1	34.916667	419	0	0	0	0	0	0	0	0	0	0	0	0
Supt4a	34.916667	419	0	0	0	0	0	0	0	0	0	0	0	0
Rrp15	34.916667	419	0	0	0	0	0	0	0	0	0	0	0	0
Zfp622	34.833333	418	0	0	0	0	0	0	0	0	0	0	0	0
Rnf149	34.833333	418	0	0	0	0	0	0	0	0	0	0	0	0
Ptpn12	34.833333	418	0	0	0	0	0	0	0	0	0	0	0	0
Prr14l	34.833333	418	0	0	0	0	0	0	0	0	0	0	0	0
Prdx6	34.833333	418	0	0	0	0	0	0	0	0	0	0	0	0
Klhl20	34.833333	418	0	0	0	0	0	0	0	0	0	0	0	0
Itgb1bp1	34.750000	417	0	0	0	0	0	0	0	0	0	0	0	0
Cpsf3	34.750000	417	0	0	0	0	0	0	0	0	0	0	0	0
Tnfsf14	34.666667	416	0	0	0	0	0	0	0	0	0	0	0	0
P2rx4	34.666667	416	0	0	0	0	0	0	0	0	0	0	0	0
Fbxo40	34.666667	416	0	0	0	0	0	0	0	0	0	0	0	0
Timmdc1	34.583333	415	0	0	0	0	0	0	0	0	0	0	0	0
Snu13	34.583333	415	0	0	0	0	0	0	0	0	0	0	0	0
Rnf20	34.500000	414	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap12	34.500000	414	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h18	34.416667	413	0	0	0	0	0	0	0	0	0	0	0	0
Tmem222	34.416667	413	0	0	0	0	0	0	0	0	0	0	0	0
Nup153	34.416667	413	0	0	0	0	0	0	0	0	0	0	0	0
Gpatch4	34.416667	413	0	0	0	0	0	0	0	0	0	0	0	0
Tomm34	34.333333	412	0	0	0	0	0	0	0	0	0	0	0	0
Tmem230	34.333333	412	0	0	0	0	0	0	0	0	0	0	0	0
Tjp1	34.333333	412	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d15	34.333333	412	0	0	0	0	0	0	0	0	0	0	0	0
Stk4	34.333333	412	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp1	34.333333	412	0	0	0	0	0	0	0	0	0	0	0	0
Gck	34.250000	411	0	0	0	0	0	0	0	0	0	0	0	0
Rab7	34.166667	410	0	0	0	0	0	0	0	0	0	0	0	0
Pafah2	34.166667	410	0	0	0	0	0	0	0	0	0	0	0	0
Smim15	34.083333	409	0	0	0	0	0	0	0	0	0	0	0	0
Sf3b4	34.083333	409	0	0	0	0	0	0	0	0	0	0	0	0
Rps3a1	34.083333	409	0	0	0	0	0	0	0	0	0	0	0	0
Slc34a3	34.000000	408	0	0	0	0	0	0	0	0	0	0	0	0
Rnf224	34.000000	408	0	0	0	0	0	0	0	0	0	0	0	0
F7	34.000000	408	0	0	0	0	0	0	0	0	0	0	0	0
Rasa1	33.916667	407	0	0	0	0	0	0	0	0	0	0	0	0
Tctex1d2	33.833333	406	0	0	0	0	0	0	0	0	0	0	0	0
Matk	33.833333	406	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd61	33.833333	406	0	0	0	0	0	0	0	0	0	0	0	0
Syne3	33.750000	405	0	0	0	0	0	0	0	0	0	0	0	0
Pdss1	33.666667	404	0	0	0	0	0	0	0	0	0	0	0	0
Nedd9	33.666667	404	0	0	0	0	0	0	0	0	0	0	0	0
Kansl1l	33.666667	404	0	0	0	0	0	0	0	0	0	0	0	0
Fam220a	33.666667	404	0	0	0	0	0	0	0	0	0	0	0	0
Psmd7	33.583333	403	0	0	0	0	0	0	0	0	0	0	0	0
Ssr2	33.500000	402	0	0	0	0	0	0	0	0	0	0	0	0
Nol8	33.500000	402	0	0	0	0	0	0	0	0	0	0	0	0
Cenpp	33.500000	402	0	0	0	0	0	0	0	0	0	0	0	0
C4a	33.500000	402	0	0	0	0	0	0	0	0	0	0	0	0
1810037I17Rik	33.500000	304	0	0	0	0	98	0	0	0	0	0	0	0
