Target_genes	Pknox1|Average	SRX170715|Embryonic_trunk	SRX759626|ES_cells	SRX442884|MEF	SRX625489|MEF	SRX625491|MEF	STRING
Stt3a	1987.400000	1658	1519	2586	1535	2639	0
Tdrkh	1985.000000	1712	2024	2593	1129	2467	0
Amd2	1981.000000	1712	2094	2517	1394	2188	0
Amd1	1981.000000	1712	2094	2517	1394	2188	0
Cenpa	1980.000000	1527	1807	2415	1588	2563	0
Ankhd1	1979.200000	1583	1818	2383	1619	2493	0
Sesn1	1978.800000	1370	1919	2793	1084	2728	0
Tom1	1975.600000	1580	1480	2413	1772	2633	0
Pan2	1975.200000	1616	1792	2454	1229	2785	0
Zfp97	1971.200000	0	1845	2850	2282	2879	0
Mrpl34	1968.800000	1853	2020	2376	1460	2135	0
Abhd8	1968.800000	1853	2020	2376	1460	2135	0
Kdm4b	1962.200000	1886	1814	2258	1431	2422	0
Rbx1	1959.400000	1875	1577	2478	1309	2558	0
Ppia	1955.200000	1707	2209	2729	849	2282	0
Plin3	1954.000000	1530	1750	2149	1993	2348	0
Atp5b	1953.200000	1388	1862	2636	1306	2574	0
Kif1b	1951.600000	2027	2155	2158	1183	2235	0
Gatad2a	1949.000000	1599	1897	2486	1505	2258	0
Rab3a	1948.600000	1802	1621	2481	1510	2329	0
Myh9	1934.800000	1769	1844	2346	1523	2192	0
AB010352	1929.800000	1420	1574	2509	1456	2690	0
Eno1	1929.000000	1642	2069	2322	1438	2174	0
Gm51425	1928.200000	1147	1847	2461	1536	2650	0
Pgd	1926.400000	1581	1893	2290	1445	2423	0
Nfe2l1	1922.800000	1726	1543	2432	1328	2585	0
Gm10778	1922.800000	2030	1563	2383	1188	2450	0
Hnrnpc	1921.000000	1564	2092	2184	1372	2393	0
Rfx1	1917.200000	1340	1706	2408	1526	2606	0
Ptbp1	1913.800000	1654	1793	2288	1389	2445	0
Zfp959	1910.800000	1486	1608	2411	1538	2511	0
Slc46a3	1910.000000	1573	1604	2214	1448	2711	0
Cntrl	1908.600000	1833	1713	2059	1556	2382	0
Dcun1d4	1905.600000	1582	2037	2325	1163	2421	0
Rab11b	1904.200000	1468	1860	2285	1548	2360	0
Zfp622	1903.200000	1372	1511	2507	1420	2706	0
Nf2	1902.600000	1518	1879	2505	1056	2555	0
Rpl36al	1901.000000	1863	2177	2349	882	2234	0
Mgat2	1901.000000	1863	2177	2349	882	2234	0
Hmgn5	1893.600000	1757	1513	2524	1206	2468	0
Msantd4	1893.400000	1634	1601	2265	1493	2474	0
Kdm6a	1891.600000	1559	966	2555	1710	2668	0
Rnasek	1891.400000	2029	1982	2134	1140	2172	0
0610010K14Rik	1891.400000	2029	1982	2134	1140	2172	0
Pef1	1891.200000	1613	1621	2222	1354	2646	0
Copg2	1890.800000	1737	2087	2354	1090	2186	0
Rragc	1889.400000	1906	1775	2305	1512	1949	0
Tcerg1	1885.200000	1345	1697	2514	1165	2705	0
Dazap2	1884.400000	1612	1899	2413	1323	2175	0
Get4	1883.400000	1892	1714	2313	1376	2122	0
Pabpn1	1882.800000	1669	1987	2386	1024	2348	0
Actr2	1881.200000	1466	2130	2418	1055	2337	0
Bbx	1876.200000	1818	1865	2110	1375	2213	0
Per2	1873.400000	1880	2091	2185	1127	2084	0
Zfp120	1872.800000	1338	1668	2070	1639	2649	0
Kat6b	1860.400000	1628	1704	2189	1425	2356	0
Fkbp5	1858.600000	1744	2100	2212	1299	1938	0
Zfp958	1857.600000	1568	1135	2414	1683	2488	0
Traf2	1852.400000	1709	2079	1967	1444	2063	0
Atf7	1850.800000	1682	1618	2405	1380	2169	0
Map3k3	1850.200000	1806	1703	2301	1230	2211	0
Med30	1849.600000	1232	1373	2598	1182	2863	0
Mfsd13b	1846.800000	1758	1965	2113	1023	2375	0
Cdr2	1846.800000	1758	1965	2113	1023	2375	0
Mbip	1846.200000	1961	1331	2164	1309	2466	0
Gnaz	1840.400000	1699	2377	2209	806	2111	0
Fbxo8	1837.200000	1473	1323	2229	1566	2595	0
Cep44	1837.200000	1473	1323	2229	1566	2595	0
Top2b	1832.800000	1877	1535	2222	1296	2234	0
Otulinl	1831.800000	1689	1787	2167	1205	2311	0
Dnajc27	1831.600000	1950	2046	2005	929	2228	0
Osbpl2	1831.400000	1691	1792	2261	1342	2071	0
Slf2	1826.200000	1722	1769	2287	1389	1964	0
Pin1	1825.600000	1323	1719	2163	1335	2588	0
Spc24	1823.600000	1904	1818	2148	1266	1982	0
Kmt5c	1819.400000	1520	1694	2230	1271	2382	0
Ddx39a	1811.000000	1434	1558	2142	1627	2294	0
Txndc16	1807.000000	1492	1956	2250	1092	2245	0
Gpr137c	1807.000000	1492	1956	2250	1092	2245	0
Ap2a1	1806.800000	1733	1719	2036	1328	2218	0
Lman2	1801.600000	1774	1682	2128	1336	2088	0
Trim32	1799.600000	2015	1796	1824	1247	2116	0
Zfp994	1795.600000	1354	1600	2080	1429	2515	0
Srgap2	1794.600000	1686	1683	2142	1352	2110	0
Fam72a	1794.600000	1686	1683	2142	1352	2110	0
Isca1	1789.000000	1822	1893	2279	984	1967	0
Kctd9	1787.400000	1628	1649	2275	1357	2028	0
Fam222b	1787.400000	1892	1885	2003	1135	2022	0
Cdca2	1787.400000	1628	1649	2275	1357	2028	0
Zfp516	1786.200000	1317	2039	2277	1199	2099	0
Rogdi	1781.600000	1287	1837	2251	1337	2196	0
Rcor1	1777.600000	1959	1923	1961	1152	1893	0
Macrod2	1776.600000	1687	1808	2068	1377	1943	0
Meak7	1771.400000	1534	1464	2262	1224	2373	0
Sp1	1768.800000	1257	1443	2344	1509	2291	0
Rrbp1	1767.800000	1188	1807	2320	1294	2230	0
Canx	1762.200000	1689	1754	2285	835	2248	0
Snx32	1760.400000	1413	1623	2363	814	2589	0
Cand1	1758.800000	1825	1970	2138	771	2090	0
Rnf5	1757.600000	1289	1421	2226	1468	2384	0
Agpat1	1757.600000	1289	1421	2226	1468	2384	0
Zc3h6	1756.800000	1727	1779	2201	1098	1979	0
Hnrnpr	1756.800000	1696	1741	2206	1159	1982	0
Pms1	1742.200000	1932	1766	1973	840	2200	0
Ormdl1	1742.200000	1932	1766	1973	840	2200	0
Kxd1	1740.400000	1418	1561	2164	1468	2091	0
Fkbp8	1740.400000	1418	1561	2164	1468	2091	0
Ptma	1740.200000	1505	1786	2038	1270	2102	0
Katnal2	1739.600000	1255	1374	2329	1028	2712	0
Ip6k1	1739.400000	1678	1811	2002	1343	1863	0
Zswim3	1736.400000	1353	1622	2067	1338	2302	0
Acot8	1736.400000	1353	1622	2067	1338	2302	0
Tnrc6b	1735.800000	1398	1492	2279	1456	2054	0
Bcl9l	1726.800000	1422	1461	2142	1532	2077	0
Ankzf1	1726.400000	1163	1411	2400	1226	2432	0
Maco1	1725.400000	1461	2035	2082	1039	2010	0
Dpp3	1723.000000	1491	1567	2242	1270	2045	0
Nxt1	1720.200000	1324	1528	2255	1232	2262	0
Tom1l2	1715.000000	924	1554	2265	1231	2601	0
Drc3	1715.000000	924	1554	2265	1231	2601	0
Irs2	1706.600000	1669	1613	2121	1290	1840	0
Opa3	1699.200000	1821	1620	2039	911	2105	0
Zfp119a	1696.600000	786	1508	2169	1523	2497	0
Tpcn1	1694.200000	1657	1681	2093	1029	2011	0
Iqcd	1694.200000	1657	1681	2093	1029	2011	0
Hltf	1692.200000	1525	1431	2050	1238	2217	0
Ivns1abp	1690.200000	1996	1869	2080	889	1617	0
Osbp	1688.600000	1077	1418	2228	1431	2289	0
Dctn4	1687.000000	1466	1525	2202	991	2251	0
Zfp866	1683.200000	1349	1175	2266	1247	2379	0
Hbp1	1680.600000	1205	1449	2212	1116	2421	0
Zfp654	1677.200000	1566	1499	1952	1313	2056	0
Ubxn6	1677.200000	1317	1498	2282	1194	2095	0
Hdgfl2	1677.200000	1317	1498	2282	1194	2095	0
Cggbp1	1677.200000	1566	1499	1952	1313	2056	0
Elavl1	1676.800000	1904	1732	2082	927	1739	0
Zswim1	1676.600000	1508	1615	1916	1270	2074	0
Prdm11	1673.400000	1802	2071	1722	1124	1648	0
Stk11	1672.000000	1206	1581	2319	816	2438	0
Zfp869	1670.600000	1087	1486	2230	1279	2271	0
Tars2	1669.000000	1031	1387	2349	1256	2322	0
Ltn1	1668.000000	1607	1641	1867	1301	1924	0
Tmem60	1667.400000	1411	1713	2098	1234	1881	0
Phtf2	1667.400000	1411	1713	2098	1234	1881	0
Stpg1	1665.800000	1858	1727	1813	1201	1730	0
Nipal3	1665.800000	1858	1727	1813	1201	1730	0
Arl4a	1663.600000	1843	1793	2062	739	1881	0
Pfkl	1662.200000	1655	1546	2051	776	2283	0
Rtraf	1660.600000	1776	1968	1907	851	1801	0
Sun2	1660.200000	1493	1714	2269	714	2111	0
Cic	1659.400000	1555	1666	2035	814	2227	0
Kank3	1658.600000	1590	1735	1953	903	2112	0
Gm14325	1657.600000	762	1181	2093	1796	2456	0
Trp53bp1	1654.400000	1582	1696	1818	1330	1846	0
Zfp961	1650.600000	1313	1636	1951	1170	2183	0
Gm12258	1645.400000	1267	1430	2259	804	2467	0
Hacl1	1638.800000	1425	1112	2167	1103	2387	0
Btd	1638.800000	1425	1112	2167	1103	2387	0
4931414P19Rik	1637.400000	1492	1684	1886	1047	2078	0
B3gntl1	1637.200000	1662	1432	1839	1018	2235	0
Plcl1	1633.000000	1155	1703	1931	1094	2282	0
Glcci1	1632.200000	1232	1127	2291	918	2593	0
Zfp119b	1628.400000	1011	1591	2003	1263	2274	0
Hspa2	1628.000000	1504	1799	1847	886	2104	0
Acap2	1623.200000	1419	1999	2033	891	1774	0
Tfb1m	1621.800000	1434	1835	2077	970	1793	0
Wbp1	1619.200000	1300	1460	2117	938	2281	0
Ino80b	1619.200000	1300	1460	2117	938	2281	0
Mgat4a	1618.000000	1731	1893	2232	344	1890	0
Cep131	1618.000000	1733	1306	2034	904	2113	0
Nek7	1617.200000	1716	1321	1841	1380	1828	0
Khsrp	1609.400000	1157	1669	1955	1192	2074	0
Orc2	1609.200000	1159	1562	2276	650	2399	0
Hexim2	1604.800000	1360	1419	1991	1178	2076	0
H4f16	1604.200000	1489	1491	1990	930	2121	0
H2aj	1604.200000	1489	1491	1990	930	2121	0
Cyth2	1600.000000	1352	1420	2025	847	2356	0
Sap30l	1599.600000	1630	1640	2138	744	1846	0
Mlh1	1599.400000	1371	1803	2016	1098	1709	0
Epm2aip1	1599.400000	1371	1803	2016	1098	1709	0
Xpo1	1599.000000	1462	1788	1967	949	1829	0
Eif2ak3	1597.800000	1496	1466	2030	882	2115	0
Lmtk2	1594.000000	1507	1545	2102	934	1882	0
Zfp971	1591.400000	440	1400	2123	1700	2294	0
Bahcc1	1589.400000	1308	1288	2115	1080	2156	0
Dnajb5	1588.000000	1168	1579	2015	1145	2033	0
Phf5a	1587.600000	898	1082	2279	1267	2412	0
Aco2	1587.600000	898	1082	2279	1267	2412	0
Poc1a	1586.000000	866	1460	2234	1039	2331	0
Zfp433	1580.600000	0	1573	2369	1414	2547	0
Gm32687	1580.600000	0	1573	2369	1414	2547	0
Phf20	1574.200000	1350	1657	1843	1318	1703	0
Plag1	1573.200000	1590	1519	1904	1071	1782	0
Incenp	1570.800000	1208	1436	2082	966	2162	0
Gdi2	1570.600000	1865	1820	1716	971	1481	0
Uvrag	1569.400000	1627	1793	1707	867	1853	0
Mphosph9	1569.000000	1520	1507	1770	1259	1789	0
Cep152	1569.000000	1233	1172	2120	1188	2132	0
2810006K23Rik	1569.000000	1520	1507	1770	1259	1789	0
Coq7	1559.600000	1492	1735	1909	712	1950	0
Fryl	1558.400000	1476	1335	1868	1210	1903	0
Trip10	1558.000000	1144	1354	2083	1094	2115	0
Gpr108	1558.000000	1144	1354	2083	1094	2115	0
Dcaf7	1557.400000	1167	1498	1944	1157	2021	0
Prc1	1552.400000	1712	2192	1636	831	1391	0
Mthfd1	1552.000000	1429	1841	1853	849	1788	0
Pitpnm1	1550.800000	1707	1842	1768	836	1601	0
Cdk2ap2	1550.800000	1707	1842	1768	836	1601	0
Zbtb7b	1549.800000	1038	939	2318	991	2463	0
Ift27	1549.400000	822	1206	2209	1126	2384	0
Hnrnpl	1549.000000	1462	1590	1958	790	1945	0
Hip1	1548.000000	1148	1359	1935	1231	2067	0
Pdp2	1547.800000	1045	1278	1903	1563	1950	0
Tbc1d10b	1547.000000	565	953	2469	970	2778	0
Mylpf	1547.000000	565	953	2469	970	2778	0
Zfp687	1545.400000	1626	1283	2072	926	1820	0
Ogdh	1544.600000	1433	1653	2069	756	1812	0
Fam120a	1541.400000	810	522	2371	1245	2759	0
Ppp1r35	1540.200000	1292	1521	1804	1058	2026	0
Ppfibp1	1534.800000	1550	1647	2026	675	1776	0
Cit	1534.200000	1220	1359	1869	1167	2056	0
Mcu	1533.000000	1262	1671	1776	879	2077	0
Golph3l	1530.000000	1281	1178	2093	856	2242	0
Lix1l	1524.200000	1188	1254	2214	708	2257	0
Ankrd34a	1524.200000	1188	1254	2214	708	2257	0
Itsn1	1516.400000	1348	1018	1914	1165	2137	0
Cryzl1	1516.400000	1348	1018	1914	1165	2137	0
Zfp868	1515.200000	1059	892	2207	1158	2260	0
Tnrc18	1514.400000	1324	2055	1520	1171	1502	0
Rsbn1l	1509.600000	1217	1420	1877	1073	1961	0
Wfs1	1508.200000	1321	1521	1950	897	1852	0
Zfp931	1506.800000	0	1185	2012	2073	2264	0
Gm7072	1506.600000	987	1361	2176	1148	1861	0
Frmd5	1506.000000	1591	1690	1681	590	1978	0
Zcchc14	1503.400000	922	1300	2335	853	2107	0
Rgs9bp	1499.200000	1449	1421	1838	851	1937	0
Ankrd27	1499.200000	1449	1421	1838	851	1937	0
Evi5l	1496.400000	679	987	2099	1265	2452	0
Mast4	1494.800000	1280	1857	1801	720	1816	0
Ngdn	1494.600000	729	1406	1981	893	2464	0
Pop5	1493.600000	1498	1636	1768	827	1739	0
Rbm15	1493.200000	1206	1146	2040	949	2125	0
Ccnl2	1490.200000	1490	1443	1996	808	1714	0
Zfp938	1489.200000	1093	1236	1822	1184	2111	0
Elmo2	1487.000000	1265	1506	1697	1186	1781	0
Cops3	1482.400000	1183	1361	1971	788	2109	0
Cblb	1482.200000	1759	1138	1744	1206	1564	0
Ppm1b	1478.800000	1192	1464	1620	1325	1793	0
Zfp932	1477.600000	563	1596	2258	532	2439	0
Efnb2	1474.000000	1178	1686	1846	811	1849	0
Pxmp4	1473.200000	1356	1202	1738	1149	1921	0
Ier5l	1464.200000	690	1204	1999	1366	2062	0
Zfp386	1462.400000	928	1085	2006	829	2464	0
Scai	1461.800000	1437	1178	1734	1040	1920	0
Gm14326	1458.200000	406	1084	1869	1753	2179	0
6430548M08Rik	1458.200000	1408	1607	1752	903	1621	0
Samd4b	1454.000000	1616	1645	1485	924	1600	0
Gmfg	1454.000000	1616	1645	1485	924	1600	0
Mrpl37	1452.600000	1211	1536	1583	877	2056	0
Cyb5rl	1452.600000	1211	1536	1583	877	2056	0
E4f1	1451.600000	1256	1411	1962	643	1986	0
Gpr84	1451.000000	622	0	2573	1308	2752	0
Ppm1k	1443.800000	1232	1402	1622	714	2249	0
Trim45	1443.200000	1146	1459	1801	782	2028	0
Swsap1	1438.800000	1236	1388	1692	1076	1802	0
Zfp873	1438.200000	904	896	1994	863	2534	0
Prpf40a	1438.200000	1368	1288	1762	1067	1706	0
Arl6ip6	1438.200000	1368	1288	1762	1067	1706	0
Atp6ap1	1438.000000	1348	1166	1972	859	1845	0
Zfp68	1429.800000	1065	1004	2040	1036	2004	0
Lrrc56	1429.800000	1483	1722	1569	544	1831	0
Hras	1429.800000	1483	1722	1569	544	1831	0
A430033K04Rik	1429.800000	1065	1004	2040	1036	2004	0
Etv5	1427.600000	1512	1636	1559	912	1519	0
Mex3c	1427.200000	1495	1528	1625	806	1682	0
Cttnbp2nl	1426.600000	1079	1456	1708	927	1963	0
Tmem45a	1425.400000	1617	1560	1045	1584	1321	0
Gm14410	1424.800000	639	942	1926	1650	1967	0
Kansl1	1424.600000	1561	1140	1899	928	1595	0
Tent5b	1424.200000	1039	1461	1832	902	1887	0
Eif4a1	1424.200000	1489	1547	1815	538	1732	0
Ppp2r5a	1421.000000	1374	1186	1686	858	2001	0
Fbxo48	1417.400000	1364	1183	1871	845	1824	0
Rnf26	1415.800000	1358	1025	1760	1058	1878	0
Plekhh2	1415.800000	623	1518	2062	1098	1778	0
Sfpq	1414.400000	1009	1331	1844	1028	1860	0
Dusp10	1411.400000	1668	1460	1756	941	1232	0
1700056E22Rik	1411.400000	1668	1460	1756	941	1232	0
Mrps17	1406.600000	1078	1299	1791	934	1931	0
Zfp691	1406.400000	795	845	1878	1195	2319	0
Ehbp1	1405.800000	1026	1232	1889	878	2004	0
Alg10b	1403.800000	1180	898	1956	900	2085	0
Pacsin2	1403.600000	963	1328	1834	1132	1761	0
Plcg1	1403.400000	1632	1270	1687	941	1487	0
Appl1	1401.400000	1449	1666	1501	958	1433	0
Pds5b	1400.400000	1296	1272	1989	456	1989	0
Srm	1400.200000	1653	1507	1491	945	1405	0
Pitx3	1399.200000	1067	1140	1760	1008	2021	0
Gbf1	1399.200000	1067	1140	1760	1008	2021	0
Fancc	1397.200000	605	978	2150	734	2519	0
Pdia6	1396.400000	1682	1891	1557	439	1413	0
Nudcd1	1394.000000	1109	1115	1870	913	1963	0
Eny2	1394.000000	1109	1115	1870	913	1963	0
Rmi1	1391.200000	1460	1590	1629	577	1700	0
Hnrnpk	1391.200000	1460	1590	1629	577	1700	0
Elf2	1391.200000	1033	1380	1974	830	1739	0
Nxpe3	1387.400000	1093	1109	1878	865	1992	0
Gas2l3	1381.200000	1335	1304	1945	523	1799	0
Zbtb7a	1378.600000	1369	1719	1538	836	1431	0
Dcaf15	1368.600000	951	1178	1763	1009	1942	0
Pgap2	1367.200000	1629	1715	1448	789	1255	0
Nup98	1367.200000	1629	1715	1448	789	1255	0
Pfn4	1366.800000	1399	1580	1505	517	1833	0
Leprot	1365.000000	1436	1570	1363	938	1518	0
Jup	1363.400000	1347	1635	1299	988	1548	0
Rccd1	1361.800000	1266	1428	1786	700	1629	0
Ercc1	1357.600000	1272	1531	1580	657	1748	0
Zfp968	1355.600000	0	1052	1762	1852	2112	0
Zfp967	1355.600000	0	1052	1762	1852	2112	0
Zfp966	1355.600000	0	1052	1762	1852	2112	0
Zfp143	1354.600000	1175	1411	1608	962	1617	0
Tmco6	1353.400000	1220	1269	1768	802	1708	0
Amer1	1352.400000	1065	955	1869	787	2086	0
Hnrnpa1	1350.000000	1071	1230	1729	825	1895	0
Cbx5	1350.000000	1071	1230	1729	825	1895	0
Sfxn3	1347.400000	705	1271	1966	855	1940	0
Pdzd7	1347.400000	705	1271	1966	855	1940	0
Gfpt1	1345.600000	1542	1040	1953	437	1756	0
Tomm40l	1342.200000	1166	1362	1580	898	1705	0
Apoa2	1342.200000	1166	1362	1580	898	1705	0
Erich1	1339.800000	799	1297	1633	943	2027	0
Actr1b	1339.200000	1117	1614	1692	651	1622	0
4933424G06Rik	1339.200000	1117	1614	1692	651	1622	0
Bcas3	1337.600000	892	1188	2008	599	2001	0
Zmym2	1335.400000	1373	1539	1504	827	1434	0
Cnot3	1335.200000	1161	1569	1424	787	1735	0
Sephs2	1329.800000	1214	1599	1474	573	1789	0
Kat5	1325.800000	1319	868	2068	430	1944	0
Araf	1323.000000	895	1507	1781	815	1617	0
Pde6d	1321.400000	948	1350	1504	955	1850	0
Cops7b	1321.400000	948	1350	1504	955	1850	0
Mterf2	1320.400000	1180	1389	1612	792	1629	0
Wbp11	1318.800000	787	1044	1788	925	2050	0
BC049715	1318.800000	787	1044	1788	925	2050	0
Pcnx3	1318.600000	713	1267	1832	878	1903	0
Map3k11	1318.600000	713	1267	1832	878	1903	0
Zdhhc13	1318.200000	1372	1125	1892	659	1543	0
Ptpn13	1317.200000	975	1387	1568	885	1771	0
5430403G16Rik	1311.400000	659	1362	1677	930	1929	0
Slx4ip	1310.000000	1241	880	1678	749	2002	0
Mkks	1310.000000	1241	880	1678	749	2002	0
Cyb5a	1310.000000	1459	1533	1272	989	1297	0
Rab40c	1304.200000	1285	1460	1436	851	1489	0
Pwwp2a	1300.000000	1081	987	1770	656	2006	0
Lsm4	1300.000000	1194	1397	1525	784	1600	0
Pskh1	1299.000000	641	810	2007	840	2197	0
Fam126a	1298.000000	416	489	2444	741	2400	0
Mroh1	1296.800000	1178	1167	1736	793	1610	0
Baz1b	1296.800000	1546	1460	1572	674	1232	0
Uprt	1294.000000	838	682	1903	1103	1944	0
Pls3	1294.000000	1015	964	1802	810	1879	0
Osbpl3	1293.600000	613	759	2083	894	2119	0
Cebpg	1293.600000	1415	1780	1343	599	1331	0
Zfp963	1293.000000	1027	668	1843	753	2174	0
Zfp930	1291.200000	1022	1073	1696	873	1792	0
Eif5	1290.000000	1013	1723	1573	514	1627	0
Abhd17b	1287.600000	1264	1258	1593	634	1689	0
1110059E24Rik	1287.600000	1264	1258	1593	634	1689	0
Jpt1	1287.000000	1181	996	1710	698	1850	0
Inip	1286.000000	999	1427	1583	739	1682	0
Zfp281	1284.800000	1077	1534	1517	792	1504	0
Slc39a1	1284.000000	1395	1190	1397	843	1595	0
Creb3l4	1284.000000	1395	1190	1397	843	1595	0
Ruvbl2	1283.800000	1187	1179	1414	891	1748	0
Gys1	1283.800000	1187	1179	1414	891	1748	0
Zfp973	1279.800000	0	851	1820	1771	1957	0
Npc2	1277.200000	1202	1523	1464	693	1504	0
Isca2	1277.200000	1202	1523	1464	693	1504	0
Faap24	1277.000000	1016	1748	1468	669	1484	0
Dnal4	1276.600000	924	1286	1778	645	1750	0
Dynlrb1	1276.400000	1136	1396	1249	930	1671	0
Gm14305	1276.200000	171	915	1771	1645	1879	0
Ttbk2	1275.600000	1468	1305	1186	894	1525	0
Smarca2	1274.000000	749	967	1876	764	2014	0
Fmn1	1267.400000	1180	1194	1424	787	1752	0
Tle2	1263.600000	1015	1471	1644	435	1753	0
Slc25a42	1261.000000	1150	1068	1539	1077	1471	0
Hspa5	1260.400000	1129	1049	1691	837	1596	0
Tango2	1259.200000	1630	1328	1263	686	1389	0
Arvcf	1259.200000	1630	1328	1263	686	1389	0
Pitx2	1258.600000	1358	1720	1275	190	1750	0
