Target_genes	Mafk|Average	SRX140361|CH12	SRX16499736|ES_cells	SRX16499737|ES_cells	SRX188829|ES_cells	SRX140362|MEL	SRX188826|MEL	SRX3937205|NIH/3T3	SRX3937206|NIH/3T3	SRX3937207|NIH/3T3	SRX3937208|NIH/3T3	SRX3937210|RAW_264.7	SRX3937211|RAW_264.7	SRX3937212|RAW_264.7	SRX3730249|Trophoblast_stem_cells	SRX3730250|Trophoblast_stem_cells	SRX3730280|Trophoblast_stem_cells	STRING
Grb10	688.375000	814	1205	1082	1506	0	0	818	1007	926	1121	396	610	690	246	0	593	0
Rasal1	681.562500	1594	1320	1264	1829	552	86	555	342	327	332	521	825	787	296	0	275	0
Far1	672.937500	1762	262	0	326	1823	840	183	336	0	203	1145	1820	1895	80	0	92	0
Armc7	672.125000	981	704	871	1262	508	386	538	770	737	464	417	669	719	818	0	910	0
Txnrd1	671.062500	635	1372	1638	1904	419	250	162	262	304	204	328	737	604	776	0	1142	0
Ankrd55	665.250000	1938	1121	1302	1725	1433	524	0	0	0	0	188	286	425	440	0	1262	0
Spdef	662.437500	953	930	620	1187	756	546	563	756	618	522	536	827	1064	434	0	287	0
Nynrin	660.187500	1805	1052	1478	1746	0	0	803	1154	822	851	110	160	142	321	0	119	0
Psmc5	659.812500	740	347	335	630	395	183	891	1024	862	1135	797	915	1052	444	0	807	0
Ftsj3	659.812500	740	347	335	630	395	183	891	1024	862	1135	797	915	1052	444	0	807	0
Psmg2	658.562500	1053	1170	1062	1542	786	236	499	559	593	450	444	685	730	178	0	550	0
Cep76	658.562500	1053	1170	1062	1542	786	236	499	559	593	450	444	685	730	178	0	550	0
Ube4a	655.437500	1374	461	653	916	742	410	304	377	257	261	948	1219	1117	558	0	890	0
Pak6	653.125000	1216	599	903	1144	1152	522	377	566	458	625	348	695	762	560	0	523	0
Tctex1d4	649.125000	1636	660	617	974	1037	420	544	605	592	663	541	775	752	330	0	240	0
Btbd19	649.125000	1636	660	617	974	1037	420	544	605	592	663	541	775	752	330	0	240	0
Gstm4	633.125000	1803	774	720	1143	1446	943	276	387	397	393	0	199	225	351	0	1073	0
Poc1b	627.875000	1513	832	552	1113	525	172	559	620	568	616	624	882	861	280	0	329	0
Galnt4	627.875000	1513	832	552	1113	525	172	559	620	568	616	624	882	861	280	0	329	0
Zfp397	626.750000	778	892	820	1241	254	0	807	950	894	682	450	959	977	198	0	126	0
Slc3a2	624.812500	980	1182	1111	1516	632	168	322	596	370	355	377	475	643	434	0	836	0
Mrc1	619.875000	1083	1051	702	1296	545	275	629	645	599	547	548	827	987	0	0	184	0
Atr	619.875000	1550	474	658	909	1070	441	335	589	539	333	520	651	717	412	0	720	0
1700065D16Rik	619.875000	1550	474	658	909	1070	441	335	589	539	333	520	651	717	412	0	720	0
Ftl1	615.750000	889	877	1143	1300	810	495	251	342	275	254	306	575	602	537	0	1196	0
Tex19.1	614.375000	99	1725	1914	2057	0	0	0	0	0	0	0	0	0	1960	232	1843	0
Prdx1	608.812500	1129	1324	1531	1694	470	273	0	217	207	148	298	335	504	910	0	701	0
Trim80	606.812500	549	479	387	718	931	0	561	844	760	705	403	709	735	409	0	1519	0
Clasp2	605.812500	1530	1046	907	1374	444	0	437	468	333	395	516	821	937	268	0	217	0
Gstp2	595.062500	1006	1065	1183	1362	558	241	291	523	380	404	215	512	465	483	96	737	0
Twf2	594.062500	1211	785	522	1069	878	206	435	483	582	437	667	758	979	144	0	349	0
Ppm1m	594.062500	1211	785	522	1069	878	206	435	483	582	437	667	758	979	144	0	349	0
Fam222a	591.625000	1015	1233	1121	1684	417	0	390	530	366	435	445	599	692	284	0	255	0
Gmnc	589.625000	1209	492	194	589	540	101	748	992	767	680	816	1024	1033	249	0	0	0
Slc16a6	585.062500	1376	881	811	1313	609	744	108	109	171	152	375	465	510	570	194	973	0
Arsg	585.062500	1376	881	811	1313	609	744	108	109	171	152	375	465	510	570	194	973	0
Il31ra	584.187500	896	756	979	1207	776	701	476	437	411	504	387	538	401	457	0	421	0
Cnot2	583.687500	1030	376	406	690	758	167	703	875	632	678	517	1029	1087	178	0	213	0
Dok3	582.937500	1449	328	432	654	576	284	352	447	308	312	747	1182	1180	531	0	545	0
Sds	581.312500	1358	975	670	1252	729	219	386	436	366	464	396	743	700	333	0	274	0
Kpna1	580.812500	1239	912	924	1107	1183	831	426	335	361	439	316	464	345	233	0	178	0
Igf1	574.875000	898	261	147	340	0	0	991	1291	1160	1082	648	1111	1153	0	0	116	0
Arrb2	574.750000	1518	314	192	472	1132	175	409	513	310	379	824	1295	1563	0	0	100	0
Ulk1	574.250000	1243	574	612	953	929	553	157	406	297	342	456	685	990	547	0	444	0
Dnajc28	570.812500	1597	1308	1106	1592	386	90	274	381	257	345	285	478	474	398	0	162	0
Sec61b	568.750000	1202	735	941	1326	308	0	322	646	317	342	428	592	587	759	0	595	0
Alg2	568.750000	1202	735	941	1326	308	0	322	646	317	342	428	592	587	759	0	595	0
Sbk1	565.750000	1019	867	770	1244	1033	475	385	500	393	433	414	590	544	252	0	133	0
Dennd6a	562.250000	1213	1260	1065	1611	970	142	226	320	185	265	247	408	312	436	0	336	0
Abca8b	555.062500	315	224	351	541	208	0	1036	1381	1314	1018	277	261	365	503	0	1087	0
Ilf2	554.625000	1991	963	1069	1463	1492	757	0	0	71	0	327	329	412	0	0	0	0
Mynn	554.437500	1928	1043	768	1417	2067	731	0	134	0	0	0	157	141	101	0	384	0
Actrt3	554.437500	1928	1043	768	1417	2067	731	0	134	0	0	0	157	141	101	0	384	0
Rtel1	553.937500	1218	862	1131	1450	531	236	254	316	224	247	198	160	309	734	0	993	0
Prmt5	553.062500	2031	1131	887	1550	2147	746	0	0	0	0	0	0	0	89	0	268	0
Tmem134	551.625000	1271	236	274	434	1209	412	346	499	350	392	652	763	940	625	0	423	0
Aip	551.625000	1271	236	274	434	1209	412	346	499	350	392	652	763	940	625	0	423	0
Slc25a40	548.125000	831	341	264	538	517	0	681	1022	717	836	523	1060	957	162	0	321	0
Dbf4	548.125000	831	341	264	538	517	0	681	1022	717	836	523	1060	957	162	0	321	0
Gid4	544.812500	910	544	225	594	538	0	526	654	540	548	784	1268	1258	139	0	189	0
Plec	542.312500	1004	439	698	987	108	0	668	931	671	729	333	799	790	185	0	335	0
Zbtb6	542.125000	824	542	715	1050	456	206	435	642	468	488	450	727	713	430	0	528	0
Grsf1	541.187500	963	1365	1020	1630	259	89	363	441	306	402	332	515	553	267	0	154	0
Clk1	537.187500	635	648	601	996	444	0	518	815	575	568	557	755	910	256	0	317	0
Casp4	536.437500	1225	577	190	738	602	0	448	584	590	541	524	1058	1100	206	0	200	0
Ak1	535.937500	1032	649	477	863	595	0	332	559	541	513	444	1066	786	397	0	321	0
Smarcc2	535.062500	1869	520	438	845	1929	853	380	433	246	402	0	393	253	0	0	0	0
Coro6	532.750000	1322	594	793	1067	490	236	604	832	655	726	172	283	261	296	0	193	0
Nup153	530.437500	902	482	493	787	1299	421	398	549	481	428	346	461	662	192	0	586	0
Gm1070	529.812500	1140	814	762	1156	489	143	305	421	366	427	296	643	677	386	0	452	0
Smim4	527.500000	521	541	801	1105	241	186	684	881	835	857	206	371	407	483	0	321	0
Nt5dc2	527.500000	521	541	801	1105	241	186	684	881	835	857	206	371	407	483	0	321	0
Plekhg2	521.125000	1717	187	300	350	1548	531	231	416	348	335	382	482	716	299	0	496	0
Aox2	520.000000	857	801	833	1328	218	0	595	542	463	539	325	606	706	265	0	242	0
Tmco1	517.625000	813	639	557	915	347	112	554	519	374	430	695	903	992	195	0	237	0
Mok	513.062500	1869	771	659	1252	1876	736	163	337	203	186	0	157	0	0	0	0	0
Ell2	512.375000	1483	774	683	1173	592	481	357	421	468	510	222	413	391	0	0	230	0
Polg	509.687500	1895	1012	831	1544	1968	821	0	0	0	0	0	0	0	84	0	0	0
Fgd4	508.000000	768	458	377	745	0	0	620	843	689	635	655	804	1236	123	0	175	0
Aff1	504.125000	850	531	598	905	260	266	721	747	710	755	371	533	647	0	0	172	0
Rpgrip1l	503.375000	954	794	648	1145	1162	355	340	281	284	238	290	573	471	270	0	249	0
Fto	503.375000	954	794	648	1145	1162	355	340	281	284	238	290	573	471	270	0	249	0
Irf2bpl	503.125000	909	406	357	600	410	0	546	850	865	714	375	699	843	134	0	342	0
Szrd1	502.937500	1480	303	417	650	274	114	313	526	567	592	644	856	804	172	0	335	0
Trim7	502.250000	1542	1074	903	1511	1835	1066	0	0	0	0	0	0	0	0	0	105	0
Dynll1	501.250000	1476	852	985	1406	1870	1431	0	0	0	0	0	0	0	0	0	0	0
Imp4	500.500000	1786	707	667	1103	1950	962	89	0	88	0	192	108	200	0	0	156	0
Ccdc115	500.500000	1786	707	667	1103	1950	962	89	0	88	0	192	108	200	0	0	156	0
Gclc	500.187500	632	1213	1260	1777	677	234	0	0	0	0	0	367	0	856	0	987	0
Loxl3	500.125000	1178	730	852	1225	687	324	183	313	181	220	269	400	476	342	0	622	0
Dok1	500.125000	1178	730	852	1225	687	324	183	313	181	220	269	400	476	342	0	622	0
Rnase4	498.937500	1364	876	821	1293	1240	678	0	0	0	0	351	490	421	0	0	449	0
Ang	498.937500	1364	876	821	1293	1240	678	0	0	0	0	351	490	421	0	0	449	0
Abhd2	497.125000	225	615	810	1165	1248	993	196	252	219	109	225	412	391	237	0	857	0
Cep55	495.687500	734	801	633	1111	171	0	442	561	479	471	382	764	838	328	0	216	0
Gclm	494.937500	1317	898	857	1268	393	395	0	0	0	0	0	0	0	691	0	2100	0
Trim41	493.937500	1396	742	804	1053	1880	924	87	186	132	143	0	0	0	152	0	404	0
Adrm1	493.187500	1613	788	1283	1619	707	328	0	0	0	0	0	0	0	612	0	941	0
Rmnd5a	488.187500	604	0	0	0	1248	356	218	205	148	194	1142	1783	1913	0	0	0	0
Tctn3	488.125000	981	691	661	1131	486	0	329	480	336	391	447	669	546	303	0	359	0
Entpd1	488.125000	981	691	661	1131	486	0	329	480	336	391	447	669	546	303	0	359	0
Ctsb	488.125000	615	335	338	588	280	0	434	559	440	450	702	990	1200	400	0	479	0
Ahr	486.812500	1367	336	318	537	0	0	738	1000	726	834	398	459	601	286	0	189	0
Pgd	484.812500	214	405	321	642	808	313	322	580	310	423	678	876	1077	315	0	473	0
Armc5	482.687500	489	240	400	576	203	136	412	638	502	545	461	852	906	735	0	628	0
9130023H24Rik	482.687500	489	240	400	576	203	136	412	638	502	545	461	852	906	735	0	628	0
Angptl6	479.000000	668	278	275	460	1021	260	366	594	341	507	640	915	922	130	0	287	0
Tmem235	478.750000	673	492	394	732	491	100	440	484	426	363	364	1003	922	386	0	390	0
C1ql1	476.437500	0	0	0	0	0	0	898	917	768	981	1108	1578	1373	0	0	0	0
Vmn1r39	474.937500	823	574	357	789	418	0	477	648	547	397	485	907	873	120	0	184	0
Kdm5b	472.750000	333	1443	1579	1813	593	142	0	159	155	0	134	261	270	372	0	310	0
Knl1	472.500000	1952	851	804	1309	1791	710	0	0	0	0	0	0	0	0	0	143	0
Sspn	469.875000	885	479	870	1160	983	482	618	289	288	352	288	268	244	160	0	152	0
Alkbh5	469.687500	389	274	223	455	787	402	610	779	616	662	330	566	772	155	0	495	0
Fmc1	468.250000	1803	776	749	1163	1894	827	0	0	0	0	0	0	0	82	0	198	0
Wsb1	467.750000	1187	281	283	483	480	0	453	706	413	599	550	693	896	193	0	267	0
Ptcd3	467.750000	727	277	405	596	514	129	513	765	507	577	442	524	578	399	0	531	0
Polr1a	467.750000	727	277	405	596	514	129	513	765	507	577	442	524	578	399	0	531	0
Zfp566	467.687500	1046	474	497	721	768	0	453	744	529	639	212	345	340	247	0	468	0
Zfp260	467.687500	1046	474	497	721	768	0	453	744	529	639	212	345	340	247	0	468	0
2610301B20Rik	467.250000	1970	782	866	1244	2042	572	0	0	0	0	0	0	0	0	0	0	0
Ccdc86	465.250000	130	147	212	318	120	0	1008	1571	1113	1367	283	436	570	0	0	169	0
Cyrib	463.250000	560	0	180	247	438	0	809	981	668	655	611	772	948	296	0	247	0
Eepd1	462.500000	1177	565	286	754	176	0	295	436	256	220	673	1135	1047	138	0	242	0
Cmbl	460.500000	853	858	711	1127	720	0	389	263	241	314	275	668	519	215	0	215	0
Rab11a	460.187500	1910	854	616	1244	2109	630	0	0	0	0	0	0	0	0	0	0	0
Rnf183	459.187500	1517	481	372	732	1003	397	167	264	164	233	244	298	341	473	0	661	0
Igf2bp3	456.500000	1187	618	477	832	0	0	177	320	219	209	683	1220	1203	0	0	159	0
Txn1	454.687500	1189	844	1058	1503	442	286	187	185	149	147	0	267	136	297	0	585	0
Rs1	452.875000	1898	664	685	1075	2118	806	0	0	0	0	0	0	0	0	0	0	0
Gsta4	452.812500	423	1806	1727	2052	143	0	0	302	0	194	0	0	0	453	0	145	0
Napa	451.812500	549	221	389	529	331	149	544	766	450	528	254	398	426	661	0	1034	0
Cd276	451.562500	963	185	192	371	598	311	103	103	117	130	949	1472	1524	207	0	0	0
Tmem175	450.750000	806	325	543	756	394	244	0	352	285	255	169	395	385	1061	0	1242	0
Gak	450.750000	806	325	543	756	394	244	0	352	285	255	169	395	385	1061	0	1242	0
Srxn1	450.625000	0	621	772	1133	356	321	0	131	140	0	345	728	691	1045	0	927	0
Dynlt1b	448.312500	117	1287	1433	1663	91	0	125	140	218	0	110	289	212	736	0	752	0
Lrp8	448.187500	686	414	643	890	217	302	213	394	191	244	326	721	773	404	0	753	0
Zfp839	447.687500	1869	771	659	1252	1876	736	0	0	0	0	0	0	0	0	0	0	0
Slc12a8	447.125000	1183	981	708	1366	187	0	168	203	249	291	310	345	461	279	0	423	0
Olfr1340	446.875000	687	509	322	765	296	0	469	799	699	655	258	589	391	368	0	343	0
Fbxo31	446.062500	2010	567	492	945	2165	958	0	0	0	0	0	0	0	0	0	0	0
Gpi1	445.250000	743	724	889	1295	253	262	0	0	93	0	198	394	247	720	0	1306	0
Olfr1341	444.187500	869	221	144	338	156	0	739	873	541	681	389	734	650	305	0	467	0
Mettl26	444.000000	2000	657	352	891	2142	922	0	0	0	0	0	0	0	0	0	140	0
Anxa4	443.625000	516	420	301	638	1082	0	183	193	117	0	886	1222	1309	0	0	231	0
Cyb5a	443.250000	967	311	483	691	590	164	95	223	241	107	337	581	661	504	0	1137	0
Pcyox1l	440.312500	796	767	769	1251	310	0	261	569	336	382	215	412	524	124	0	329	0
Ndufs7	440.187500	1694	676	562	1041	1703	780	0	0	0	0	0	0	0	332	0	255	0
Hs6st1	440.125000	1000	528	741	1046	445	232	275	323	244	229	334	417	489	417	0	322	0
Agbl5	440.062500	1779	920	649	1176	1694	823	0	0	0	0	0	0	0	0	0	0	0
H2-DMa	439.562500	995	829	871	1208	166	0	224	206	158	0	130	344	405	705	0	792	0
Brd2	439.562500	995	829	871	1208	166	0	224	206	158	0	130	344	405	705	0	792	0
Fgf11	439.437500	989	380	556	779	837	443	181	101	147	186	502	710	678	103	0	439	0
Ifit3	439.000000	974	747	553	1013	299	0	506	544	489	658	411	404	426	0	0	0	0
Ppp1r10	437.250000	833	662	795	1126	299	0	393	555	376	400	366	358	364	253	0	216	0
Mrps18b	437.250000	833	662	795	1126	299	0	393	555	376	400	366	358	364	253	0	216	0
Gskip	436.750000	366	283	389	616	218	121	331	544	467	519	585	665	847	490	0	547	0
Atg2b	436.750000	366	283	389	616	218	121	331	544	467	519	585	665	847	490	0	547	0
Wdr41	436.312500	381	95	0	172	532	150	305	725	428	606	826	1319	1194	119	0	129	0
Tfe3	435.937500	105	1224	1112	1776	303	201	0	0	0	0	164	349	454	344	0	943	0
M6pr	434.062500	812	579	383	781	438	132	350	426	397	458	338	523	646	351	0	331	0
Slc7a9	431.500000	270	735	930	1267	0	0	311	362	242	252	189	545	511	758	0	532	0
Cox20	431.500000	541	577	765	1050	236	148	352	376	388	312	223	545	457	333	0	601	0
Spats2	431.375000	988	632	551	979	476	0	346	453	283	481	433	388	484	209	0	199	0
Btn1a1	430.437500	1699	891	696	1285	1634	511	0	0	0	0	0	0	0	0	0	171	0
Znhit3	430.312500	534	136	199	341	351	186	0	246	136	202	0	0	135	2071	158	2190	0
Pnpla8	430.312500	1240	431	686	959	579	279	0	235	0	221	260	478	688	263	0	566	0
Dlgap4	430.000000	927	640	576	1015	233	0	295	370	289	412	293	558	460	379	0	433	0
Palm	429.625000	821	442	573	923	1055	217	534	522	327	380	103	259	289	0	0	429	0
Prss57	428.125000	821	442	573	923	1055	193	534	522	327	380	103	259	289	0	0	429	0
Tjap1	427.187500	897	418	302	596	808	220	330	432	436	418	426	528	651	204	0	169	0
Mrpl38	427.187500	458	622	871	1234	297	411	137	371	213	248	228	345	521	500	0	379	0
Tnrc18	427.000000	231	144	300	379	0	0	722	755	751	643	634	927	1077	0	0	269	0
Psme4	426.750000	173	0	139	255	993	302	582	937	702	718	355	545	609	243	0	275	0
Olfr1133	426.375000	383	710	396	921	147	0	404	482	570	455	495	840	1019	0	0	0	0
Syt2	425.000000	835	702	550	962	250	0	264	303	156	303	344	606	602	442	0	481	0
Eloc	424.500000	1056	227	350	572	216	111	327	510	536	591	196	349	268	588	0	895	0
Adamts8	423.500000	542	900	497	1135	229	0	336	364	459	368	324	571	567	247	0	237	0
Rreb1	423.312500	724	574	466	871	291	112	303	589	500	449	210	709	484	146	0	345	0
Tia1	422.750000	1713	752	502	1107	1820	870	0	0	0	0	0	0	0	0	0	0	0
Vps29	422.562500	625	359	342	711	263	132	236	463	224	322	331	509	571	840	0	833	0
Rad9b	422.562500	625	359	342	711	263	132	236	463	224	322	331	509	571	840	0	833	0
Hes7	422.500000	1720	740	804	1198	1267	646	0	0	128	0	0	122	135	0	0	0	0
Ppp2ca	421.812500	954	602	411	926	453	94	337	357	346	272	373	624	644	172	0	184	0
Capn1	421.750000	324	186	239	314	211	0	604	764	862	797	485	729	706	264	0	263	0
Psmb3	420.562500	1646	499	324	738	1806	621	149	201	171	0	0	0	0	76	0	498	0
Pcgf2	420.562500	1646	499	324	738	1806	621	149	201	171	0	0	0	0	76	0	498	0
Creld1	420.562500	271	646	1067	1342	256	144	183	266	215	229	195	430	389	464	0	632	0
Pik3r1	420.187500	1513	762	914	1349	865	266	0	0	0	0	0	160	0	336	0	558	0
Otulinl	419.687500	177	190	198	344	0	0	795	1551	1026	1023	189	338	288	222	0	374	0
Hexim1	415.500000	514	299	330	536	237	110	166	264	285	147	946	1158	1435	81	0	140	0
Chrnb1	412.937500	989	380	556	779	837	443	181	101	147	186	502	710	678	0	0	118	0
Plxdc1	412.750000	1646	648	489	949	1628	849	0	0	0	0	140	0	120	0	0	135	0
Cfap126	412.625000	1856	725	552	1164	1790	515	0	0	0	0	0	0	0	0	0	0	0
Ppp6r3	411.937500	1931	587	375	759	2147	792	0	0	0	0	0	0	0	0	0	0	0
Oasl1	409.187500	641	325	505	535	658	467	470	497	598	546	364	419	522	0	0	0	0
Ctnna3	408.812500	1811	771	572	1090	1854	443	0	0	0	0	0	0	0	0	0	0	0
Kcnrg	408.562500	594	544	437	864	308	103	288	345	241	412	439	755	676	249	0	282	0
Gm14325	408.375000	720	211	259	289	280	0	283	541	342	220	315	472	461	718	0	1423	0
Bet1	407.687500	310	565	784	1093	109	0	162	315	325	319	167	340	373	489	0	1172	0
Ypel5	407.500000	1143	173	131	267	331	98	758	1027	736	776	307	320	277	0	0	176	0
Arap1	407.250000	1718	347	345	657	207	0	0	0	0	0	605	1098	1339	0	0	200	0
Elf1	407.125000	1790	408	486	834	1980	765	0	0	0	0	0	0	0	117	0	134	0
Park7	406.625000	724	371	402	603	984	191	209	440	324	309	296	386	456	361	0	450	0
Mgat4c	406.187500	580	667	318	876	273	0	522	596	410	479	376	619	699	0	0	84	0
Wbp4	404.187500	1790	408	486	834	1980	765	0	0	0	0	0	0	0	117	0	87	0
Cdk19	403.750000	709	247	389	651	396	109	200	342	360	348	322	615	700	422	0	650	0
Tubb5	402.625000	915	177	358	436	164	135	459	674	547	490	303	594	507	237	0	446	0
Mdc1	402.625000	915	177	358	436	164	135	459	674	547	490	303	594	507	237	0	446	0
Ccl24	402.375000	1565	231	288	516	235	0	209	395	206	229	489	820	657	134	0	464	0
Zbtb5	402.312500	482	156	350	438	494	0	390	537	568	600	357	636	773	315	0	341	0
Lasp1	401.437500	1503	574	648	936	1759	806	0	0	0	0	0	0	0	0	0	197	0
Brms1	399.437500	1749	536	416	814	1930	613	0	0	0	0	0	0	0	154	0	179	0
B4gat1	399.437500	1749	536	416	814	1930	613	0	0	0	0	0	0	0	154	0	179	0
2300009A05Rik	398.750000	794	321	481	690	105	0	199	367	322	235	208	653	408	474	0	1123	0
Lta4h	395.812500	1769	454	574	853	1672	596	0	0	0	0	0	0	0	140	0	275	0
