Target_genes	Smad1|Average	SRX23601748|Cortex	SRX23601749|Cortex	SRX23601750|Cortex	SRX23601751|Cortex	DRX138414|Embryonic_brains	DRX138415|Embryonic_brains	DRX138416|Embryonic_brains	DRX138417|Embryonic_brains	DRX138418|Embryonic_brains	DRX138419|Embryonic_brains	DRX138420|Embryonic_brains	DRX138421|Embryonic_brains	SRX23585200|Embryonic_brains	SRX23585203|Embryonic_brains	SRX23585206|Embryonic_brains	SRX23585209|Embryonic_brains	SRX23585212|Embryonic_brains	SRX23585215|Embryonic_brains	SRX1082039|ES_cells	SRX1082040|ES_cells	SRX2401993|ES_cells	SRX2401994|ES_cells	SRX2401996|ES_cells	SRX2401997|ES_cells	SRX7643902|ES_cells	SRX7643903|ES_cells	SRX7643904|ES_cells	SRX7643905|ES_cells	SRX100314|G1E	SRX100317|G1E	SRX700955|Hair_Follicle	SRX700957|Hair_Follicle	SRX1082042|mESC_derived_epiblast-like_cells	SRX1082043|mESC_derived_epiblast-like_cells	STRING
B4gat1	355.176471	399	341	468	353	0	0	0	0	0	0	0	0	2208	1911	232	2158	2175	1831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mdm4	355.058824	283	160	349	274	0	0	0	0	0	0	0	0	2255	1859	416	2264	2377	1835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	351.235294	0	0	0	0	512	654	816	957	230	477	237	369	0	0	0	0	0	0	0	163	572	439	334	466	536	665	587	681	618	549	606	1180	186	108	0
Borcs6	345.382353	306	276	369	370	0	0	0	0	0	0	0	0	2278	1845	309	2074	2179	1737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rs1	342.088235	300	150	416	389	0	0	0	0	0	0	0	0	2139	1732	0	2241	2424	1840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tceal3	332.470588	286	0	369	244	0	0	0	0	0	0	0	0	2187	1841	307	2170	2150	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sacm1l	328.647059	232	297	505	305	0	0	0	0	0	0	0	0	2110	1846	301	2006	2229	1343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwox	328.205882	0	0	0	0	648	580	421	437	666	617	690	399	0	0	171	0	0	0	509	516	435	345	345	380	179	353	253	0	617	481	210	352	807	748	0
Aloxe3	317.970588	345	167	334	267	0	0	0	96	0	0	0	0	1918	1685	258	1892	1963	1749	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0
Psmb3	302.588235	0	0	181	137	0	0	0	141	0	0	0	0	1972	1416	232	2133	2243	1718	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0
Pcgf2	302.588235	0	0	181	137	0	0	0	141	0	0	0	0	1972	1416	232	2133	2243	1718	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0
Ccdc107	301.588235	161	73	273	217	0	0	0	0	0	0	0	0	1916	1713	281	1900	1999	1385	0	0	0	0	0	0	0	0	205	0	131	0	0	0	0	0	0
Asmt	296.911765	0	137	0	0	576	499	566	596	547	571	424	683	0	0	118	140	127	231	164	214	501	530	265	544	393	356	177	313	185	180	300	758	0	0	0
Polr3e	289.235294	0	0	245	169	0	0	0	0	0	0	0	0	1954	1578	336	1831	2069	1478	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0
Fbxo31	287.323529	0	118	284	229	0	0	0	0	0	0	0	0	1942	1586	269	1853	1950	1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase4	268.176471	0	172	246	225	0	0	0	0	0	0	0	0	1890	1646	0	1735	1931	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ang	268.176471	0	172	246	225	0	0	0	0	0	0	0	0	1890	1646	0	1735	1931	1273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem259	267.117647	0	0	0	0	0	0	0	82	0	0	0	0	1707	1472	564	2050	1831	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnn2	267.117647	0	0	0	0	0	0	0	82	0	0	0	0	1707	1472	564	2050	1831	1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acp6	252.352941	182	0	385	0	0	0	0	0	0	0	0	0	1706	1375	77	1626	1961	1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2ra	249.823529	0	0	0	0	578	602	309	320	625	648	510	418	0	0	235	0	0	0	208	243	459	437	364	337	0	0	0	0	464	394	270	350	373	350	0
Zfp839	245.205882	0	0	206	172	0	0	0	99	0	0	0	0	1791	1310	153	1699	1685	1094	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0
Mok	234.029412	0	0	206	172	0	0	0	0	0	0	0	0	1791	1310	0	1699	1685	1094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sspn	231.294118	0	0	0	0	475	531	585	717	98	224	107	284	0	0	424	0	0	0	154	199	0	117	206	222	314	190	379	190	439	359	579	814	149	108	0
LTO1	220.794118	89	0	246	165	0	0	0	0	0	0	0	0	1708	957	350	1373	1484	1007	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0
Zfp184	220.088235	0	0	157	0	0	0	0	0	0	0	0	0	1646	1422	0	1495	1594	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btn1a1	219.558824	0	0	0	165	0	0	0	0	0	0	0	0	1453	1403	0	1583	1714	1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem125	197.911765	130	206	175	261	450	381	640	737	436	393	386	349	0	141	71	144	156	176	0	0	128	0	0	0	141	0	0	0	0	62	572	594	0	0	0
Dchs2	192.970588	0	0	0	0	579	690	498	568	368	264	217	204	0	0	0	0	0	0	0	0	215	0	204	396	0	190	169	0	408	361	268	806	0	156	0
Sord	192.764706	0	0	0	0	0	0	0	0	0	0	0	0	1649	823	177	1405	1289	1057	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0
Aurkb	191.764706	0	0	214	158	0	0	0	0	0	0	0	0	1330	1158	178	1289	1166	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Id2	189.764706	0	0	0	0	317	315	1187	1115	0	0	160	1102	825	0	127	0	460	0	0	0	0	0	0	0	97	0	187	0	0	0	148	412	0	0	0
Zfp143	183.264706	0	0	0	0	545	585	459	410	420	555	310	356	0	0	554	0	0	0	0	155	219	437	215	0	0	0	0	0	231	109	169	502	0	0	0
Crebzf	181.000000	0	0	0	0	241	193	108	115	190	211	233	0	304	274	275	368	212	255	0	0	214	167	0	0	0	154	117	208	0	1894	0	421	0	0	0
Vmn2r102	175.735294	0	0	0	0	369	349	269	342	247	277	0	161	0	0	0	0	0	0	365	346	0	113	174	192	0	0	0	0	346	309	837	658	300	321	0
Ccar1	175.411765	0	0	0	0	0	0	0	0	0	0	0	0	1113	1023	228	1205	1295	967	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0
Esr1	174.176471	0	0	0	0	413	363	268	373	416	404	365	250	0	0	0	0	0	0	388	323	0	0	0	0	0	0	0	191	456	431	0	191	579	511	0
Ssbp2	166.852941	0	0	0	0	0	0	1300	1114	0	0	166	778	457	0	391	0	208	0	0	0	0	0	0	0	89	0	193	0	851	0	0	126	0	0	0
Zbtb2	162.323529	0	0	0	0	0	0	940	996	0	0	82	601	149	0	545	0	357	0	0	0	0	0	0	0	0	0	304	0	0	1345	0	200	0	0	0
Id3	158.794118	0	0	0	0	153	151	1458	1368	0	0	128	962	587	0	0	0	247	0	111	0	0	0	0	0	0	0	0	0	0	0	106	128	0	0	0
Id1	158.058824	0	0	0	0	239	268	1302	1277	0	0	112	829	524	0	172	0	262	0	0	0	0	0	0	0	0	0	0	0	247	0	0	142	0	0	0
Arc	156.411765	0	0	0	0	313	149	376	597	563	580	567	1998	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc88a	147.735294	0	0	0	0	0	0	955	1076	0	0	0	307	162	0	616	0	126	0	0	0	0	0	0	0	406	0	998	0	148	0	0	229	0	0	0
Gtdc1	146.647059	0	0	0	0	0	0	1427	1379	0	0	119	584	0	0	400	0	154	0	0	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0
Pank4	141.647059	0	0	0	0	0	0	851	915	0	0	0	508	535	0	169	0	350	0	0	0	0	0	0	0	379	0	588	0	521	0	0	0	0	0	0
Hes5	141.647059	0	0	0	0	0	0	851	915	0	0	0	508	535	0	169	0	350	0	0	0	0	0	0	0	379	0	588	0	521	0	0	0	0	0	0
Hey1	139.235294	0	0	0	0	0	0	1027	1162	0	0	131	730	403	0	250	0	293	0	0	0	0	0	0	0	252	0	279	0	207	0	0	0	0	0	0
Gnas	138.882353	0	0	0	0	0	0	352	427	0	0	0	136	101	0	243	0	0	0	178	276	0	0	0	0	806	0	1906	0	175	122	0	0	0	0	0
Cdh12	136.176471	0	0	0	0	325	419	201	0	322	404	249	215	0	0	108	0	0	0	0	0	338	442	331	396	0	0	0	0	0	0	0	396	246	238	0
Ints8	128.911765	0	0	0	0	0	0	90	104	0	0	0	0	839	549	434	851	814	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abt1	128.764706	0	0	0	0	0	0	0	0	0	0	0	0	1021	748	137	802	945	725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skil	128.705882	0	0	0	0	0	0	1086	963	0	0	138	700	258	0	445	0	298	0	0	0	0	0	0	0	0	0	260	0	0	0	0	228	0	0	0
H1f10	128.176471	0	0	0	0	0	0	1071	1091	0	0	66	529	278	0	311	0	205	0	0	0	0	0	0	0	207	0	600	0	0	0	0	0	0	0	0
Bmpr1a	127.470588	0	0	0	0	0	0	1249	1357	0	0	124	503	426	0	394	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0
Gabpb1	125.029412	0	0	0	0	0	0	836	780	0	0	0	574	304	0	690	0	201	0	0	0	0	0	0	0	139	0	460	0	0	0	0	267	0	0	0
Gpr84	124.882353	0	0	0	0	0	0	988	962	0	0	0	790	588	0	263	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0
Atf2	123.235294	0	0	0	0	0	0	0	0	0	0	0	0	386	298	440	481	547	164	0	0	0	0	0	0	0	0	0	0	0	1874	0	0	0	0	0
Ddx19a	120.588235	0	0	0	0	0	0	0	0	0	0	0	0	723	697	252	934	792	490	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0
Smad9	119.941176	0	0	0	0	0	0	1372	1336	0	0	81	538	310	0	202	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapk14	119.029412	0	0	0	0	0	0	187	195	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	380	0	1305	1714	0	0	0	0	0
Marchf7	118.411765	0	0	0	0	0	0	444	577	0	0	0	150	0	0	597	0	0	0	127	275	0	0	0	0	0	0	184	0	0	1672	0	0	0	0	0
Fcgr3	118.294118	0	0	0	0	0	0	0	0	0	0	0	0	800	691	0	624	574	516	0	0	0	0	0	0	187	0	548	0	0	0	0	82	0	0	0
Arid2	117.764706	0	0	0	0	0	0	1026	955	0	0	75	768	274	0	224	0	221	0	0	0	0	0	0	0	122	0	339	0	0	0	0	0	0	0	0
Kctd1	117.705882	0	0	0	0	0	0	1188	1088	0	0	109	478	396	0	367	0	235	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0
Sfi1	116.941176	0	0	0	0	0	0	141	154	0	0	0	68	0	107	702	0	0	0	508	732	134	166	104	0	0	0	291	0	271	598	0	0	0	0	0
Zzz3	116.823529	0	0	0	0	0	0	609	433	0	0	0	271	0	0	641	0	0	0	0	0	0	0	0	0	0	0	174	0	0	1844	0	0	0	0	0
Gmeb2	116.647059	0	0	0	0	0	0	1177	1309	0	0	0	570	0	0	484	0	206	0	0	0	0	0	0	0	73	0	147	0	0	0	0	0	0	0	0
Gse1	113.235294	0	0	0	0	0	0	551	649	0	0	0	281	252	0	381	0	195	0	0	0	0	0	0	0	244	0	550	0	747	0	0	0	0	0	0
Sh3glb1	112.676471	0	0	0	0	0	0	1053	1152	0	0	0	487	289	0	264	0	213	0	0	0	0	0	0	0	0	0	181	0	123	69	0	0	0	0	0
Clptm1	112.323529	0	0	0	0	0	0	189	214	0	0	0	0	421	286	226	364	297	174	0	0	0	0	0	0	0	0	0	0	99	1549	0	0	0	0	0
Tulp4	112.088235	0	0	0	0	0	0	1101	1065	0	0	118	638	394	0	257	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pgk1	110.588235	0	0	0	0	243	267	452	535	302	382	246	1222	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noct	110.411765	0	0	0	0	0	0	1170	1021	0	0	0	501	218	0	517	0	178	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0
Bcl7a	110.147059	0	0	0	0	0	0	786	888	0	0	0	389	198	0	243	0	0	0	0	0	0	0	0	0	309	0	932	0	0	0	0	0	0	0	0
Ap3m2	109.147059	0	0	0	0	0	0	1185	1107	0	0	0	595	225	0	162	0	211	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0
Efcab2	109.117647	0	0	0	0	0	0	626	707	0	0	0	481	233	0	621	0	170	0	0	0	0	0	0	0	0	0	90	0	782	0	0	0	0	0	0
Lrp6	108.852941	0	0	0	0	0	0	752	959	0	0	110	474	249	0	423	0	291	0	0	0	0	0	0	0	101	0	342	0	0	0	0	0	0	0	0
Rictor	108.411765	0	0	0	0	0	0	200	224	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	232	0	1303	1436	0	0	0	0	0
Trim59	108.352941	0	0	0	0	0	0	650	655	0	0	0	283	152	0	186	0	0	0	0	0	0	0	0	0	326	0	913	0	0	519	0	0	0	0	0
Kmt2a	108.352941	0	0	0	0	0	0	537	631	0	0	0	132	450	0	567	427	712	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0
Cbln1	108.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1706	0	1966	0	0	0	0	0	0	0	0
Nanos1	107.352941	0	0	0	0	0	0	166	196	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	1115	0	1775	0	0	0	0	0	0	0	0
Thsd7a	106.941176	0	0	0	0	0	0	1205	1188	0	0	113	501	186	0	346	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srd5a3	106.205882	0	0	0	0	0	0	1192	883	0	0	130	525	262	0	427	0	97	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0
Grik3	106.205882	0	0	0	0	0	0	1199	1041	0	0	133	676	0	0	154	0	86	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0
Tut7	106.029412	0	0	0	0	0	0	734	1016	0	0	0	317	177	0	275	0	0	0	0	0	0	0	0	0	288	0	798	0	0	0	0	0	0	0	0
Nfkbia	105.764706	0	0	0	0	0	0	917	980	0	0	100	513	123	0	616	0	129	0	0	0	0	0	0	0	0	0	107	0	0	0	0	111	0	0	0
Msx2	105.558824	0	0	0	0	0	0	1347	1354	0	0	174	528	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmynd11	105.441176	0	0	0	0	0	0	1018	1157	0	0	110	498	0	0	426	0	176	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0
Herc1	105.294118	0	0	0	0	0	0	73	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	283	0	963	1701	0	0	0	0	0
Ifna13	104.264706	0	0	0	0	241	230	223	208	0	161	0	0	0	0	0	0	0	0	0	0	201	195	219	163	0	0	167	0	460	434	203	229	211	0	0
Tab2	104.205882	0	0	0	0	0	0	837	982	0	0	0	277	0	0	213	0	0	0	0	0	0	0	0	0	0	0	200	0	0	1034	0	0	0	0	0
Chmp6	104.088235	0	0	0	0	0	0	0	0	0	0	0	0	684	439	327	575	649	243	0	0	0	0	0	0	0	0	252	0	370	0	0	0	0	0	0
Sec23ip	103.647059	0	0	0	0	0	0	84	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	218	0	997	1858	0	0	0	0	0
E130308A19Rik	102.676471	0	0	0	0	0	0	865	751	0	0	0	253	0	0	393	0	0	0	0	0	0	0	0	0	333	0	896	0	0	0	0	0	0	0	0
Tdrd3	102.470588	0	0	0	0	0	0	858	721	0	0	0	210	195	0	657	0	137	0	0	0	0	0	0	0	171	0	535	0	0	0	0	0	0	0	0
Fam227b	102.264706	0	0	0	0	325	243	0	93	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	260	555	288	628	100	0	0	269	264	0	0
Dtwd1	102.264706	0	0	0	0	325	243	0	93	0	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	260	555	288	628	100	0	0	269	264	0	0
Nprl3	101.352941	0	0	0	0	0	0	136	0	0	0	0	0	0	0	516	0	0	0	0	0	0	0	0	0	0	0	108	0	1369	1317	0	0	0	0	0
Cxxc5	101.000000	0	0	0	0	0	0	556	619	0	0	119	478	218	0	233	0	0	0	0	0	0	0	0	0	216	0	454	0	541	0	0	0	0	0	0
Zc3h6	100.735294	0	0	0	0	0	0	904	908	0	0	0	556	0	0	884	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0
1700067K01Rik	100.352941	0	0	0	0	0	0	523	664	0	0	0	259	147	0	188	0	90	0	0	0	0	0	0	0	507	0	1034	0	0	0	0	0	0	0	0
Mtf2	100.117647	0	0	0	0	0	0	848	926	0	0	0	319	257	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	180	84	0	0	0	0	0
St3gal5	100.088235	0	0	0	0	0	0	608	564	0	0	0	156	125	0	401	0	0	0	0	0	0	0	0	0	0	0	211	0	1338	0	0	0	0	0	0
Samd1	100.029412	0	0	0	0	0	0	523	664	0	0	0	259	147	0	177	0	90	0	0	0	0	0	0	0	507	0	1034	0	0	0	0	0	0	0	0
Sall3	100.029412	0	0	0	0	0	0	991	1053	0	0	90	738	0	0	86	0	131	0	0	0	0	0	0	0	118	0	194	0	0	0	0	0	0	0	0
Lamp1	99.911765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	1224	1968	0	0	0	0	0
Zfp219	99.000000	0	0	0	0	0	0	634	711	0	0	0	329	144	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	121	851	0	165	0	0	0
Tmem253	99.000000	0	0	0	0	0	0	634	711	0	0	0	329	144	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	121	851	0	165	0	0	0
Ext1	98.852941	0	0	0	0	0	0	1009	1137	0	0	0	486	0	0	206	0	329	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0
