Target_genes	Nfkb1|Average	SRX122534|Dendritic_Cells	SRX122535|Dendritic_Cells	SRX122536|Dendritic_Cells	SRX122537|Dendritic_Cells	SRX122538|Dendritic_Cells	SRX122539|Dendritic_Cells	SRX122540|Dendritic_Cells	SRX122541|Dendritic_Cells	SRX122542|Dendritic_Cells	SRX122543|Dendritic_Cells	SRX450298|Macrophages	SRX450299|Macrophages	SRX450300|Macrophages	SRX450301|Macrophages	SRX450302|Macrophages	SRX450303|Macrophages	SRX450304|Macrophages	SRX7618597|Macrophages	STRING
Trp53	177.500000	0	0	0	0	0	0	0	0	0	0	231	266	300	345	190	88	0	1775	0
N4bp2l1	176.333333	0	0	0	0	0	0	0	0	0	0	228	116	195	0	384	0	0	2251	0
Ppp2r2a	174.055556	0	0	0	0	0	0	0	0	0	0	163	0	161	0	224	0	0	2585	0
H2-Q4	173.555556	0	0	0	0	0	0	0	0	0	0	312	200	204	283	195	74	0	1856	0
Nfkb2	173.333333	0	0	0	0	0	0	0	0	0	0	131	176	359	327	421	0	0	1706	0
4931428F04Rik	172.166667	0	0	0	0	0	0	0	0	0	0	402	167	172	241	260	90	0	1767	0
Gpr152	171.222222	0	0	0	0	0	0	0	0	0	0	191	0	153	0	123	0	0	2615	0
Cabp4	171.222222	0	0	0	0	0	0	0	0	0	0	191	0	153	0	123	0	0	2615	0
Myadm	170.055556	0	0	0	0	0	0	0	0	0	0	231	127	141	281	186	99	0	1996	0
Ccdc107	168.055556	0	0	0	0	0	0	0	0	0	0	263	0	217	184	140	0	0	2221	0
Ak1	161.888889	0	0	0	0	0	0	0	0	0	0	325	0	275	0	248	0	0	2066	0
Kri1	160.944444	0	0	0	0	0	0	0	0	0	0	153	129	172	0	233	147	0	2063	0
Cxcl2	160.611111	0	0	0	0	0	0	141	0	0	0	182	0	148	0	192	0	0	2228	0
St6galnac6	159.833333	0	0	0	0	0	0	0	0	0	0	337	134	224	108	242	0	0	1832	0
Tnip1	158.111111	0	0	0	0	0	0	0	0	0	0	295	128	383	246	403	0	0	1391	0
Akirin2	155.722222	0	0	0	0	0	0	0	0	0	0	222	569	537	566	443	305	161	0	0
Ier5	152.055556	0	0	0	0	0	0	0	0	0	0	250	0	0	0	134	0	0	2353	0
Pigv	151.277778	0	0	0	0	0	0	0	0	0	0	266	0	252	0	226	0	0	1979	0
Cabp1	149.444444	0	0	0	0	0	0	0	0	0	0	231	173	122	181	154	0	0	1829	0
Mtmr14	147.388889	0	0	0	0	0	0	0	0	0	0	146	0	158	0	125	0	0	2224	0
Slc29a2	147.111111	0	0	0	0	0	0	0	0	0	0	228	0	151	0	205	0	0	2064	0
Nr4a1	146.888889	0	0	0	0	0	0	0	0	0	0	276	0	122	0	112	0	0	2134	0
Cd74	146.500000	0	0	0	0	0	0	0	0	0	0	150	0	168	0	182	0	0	2137	0
Cxcl10	146.277778	0	0	0	0	0	0	0	0	0	0	229	0	179	0	102	0	0	2123	0
Cdkn2d	145.611111	0	0	0	0	0	0	0	0	0	0	153	0	172	0	233	0	0	2063	0
Adgre1	143.666667	0	0	0	0	0	0	0	0	0	0	234	0	175	0	184	0	0	1993	0
Acot7	143.611111	0	0	0	0	0	0	0	0	0	0	154	0	0	0	102	0	0	2329	0
Sumo1	143.222222	0	0	0	0	0	0	0	0	0	0	380	104	185	188	332	0	0	1389	0
Gcm1	142.222222	0	0	0	0	0	0	0	0	0	0	85	0	95	0	181	0	0	2199	0
Gstt2	139.666667	0	0	0	0	0	0	0	0	0	0	146	0	102	0	184	0	0	2082	0
Serinc3	138.666667	0	0	0	0	0	0	0	0	0	0	276	0	216	116	105	0	0	1783	0
Rrp8	138.500000	0	0	0	0	0	0	0	0	0	0	0	87	151	0	206	0	0	2049	0
Ilk	138.500000	0	0	0	0	0	0	0	0	0	0	0	87	151	0	206	0	0	2049	0
Zfp984	135.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2444	0
Uts2b	134.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2419	0
Nos2	134.055556	0	0	0	0	0	0	0	0	0	0	318	0	233	0	101	0	0	1761	0
Arap1	134.000000	0	0	0	0	0	0	0	0	0	0	169	111	202	0	102	0	0	1828	0
Wnk1	133.722222	0	0	0	0	0	0	0	0	0	0	0	0	239	0	116	0	0	2052	0
Xrcc1	133.666667	0	0	0	0	0	0	0	0	0	0	209	319	413	305	372	0	173	615	0
Pinlyp	133.666667	0	0	0	0	0	0	0	0	0	0	209	319	413	305	372	0	173	615	0
Hrc	133.444444	0	0	0	0	0	0	0	0	0	0	323	0	142	0	0	0	0	1937	0
Aadacl2fm1	133.388889	0	0	186	0	0	0	0	0	0	0	700	0	0	700	815	0	0	0	0
Txk	130.055556	0	0	0	0	0	0	0	0	0	0	229	0	240	0	143	0	0	1729	0
Rab44	128.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2312	0
Chd2	128.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	2221	0
Tex14	127.777778	766	507	0	0	0	141	319	342	0	0	0	0	0	0	0	0	0	225	0
Jak2	127.500000	0	0	0	0	0	0	0	0	0	0	0	0	199	0	279	0	0	1817	0
Cd83	127.111111	0	0	0	0	0	0	0	0	0	0	0	0	54	0	119	0	0	2115	0
Kcnab1	125.666667	0	0	0	0	0	0	0	0	0	0	171	0	220	0	90	0	0	1781	0
Src	125.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2258	0
Smpd3	123.444444	0	0	0	0	0	0	0	0	0	0	303	0	67	120	332	0	0	1400	0
Scn8a	123.222222	0	0	0	0	0	0	0	0	0	0	190	280	291	290	242	525	400	0	0
Bcl3	122.888889	0	0	0	0	0	0	0	0	0	0	101	91	156	169	196	0	0	1499	0
Ankrd33b	122.666667	0	0	0	0	0	0	0	0	0	0	137	0	164	101	221	0	0	1585	0
Ube2l6	122.555556	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	2017	0
Lta	122.555556	0	0	0	0	0	0	150	0	0	0	197	0	102	0	114	0	0	1643	0
Dusp2	122.555556	0	0	0	0	0	0	0	0	0	0	180	0	74	0	160	0	0	1792	0
Astl	122.555556	0	0	0	0	0	0	0	0	0	0	180	0	74	0	160	0	0	1792	0
P4ha3	122.444444	0	0	0	0	0	0	0	0	0	0	203	294	469	356	285	330	267	0	0
Rchy1	121.388889	0	0	0	0	0	0	0	0	0	0	273	108	109	171	242	0	0	1282	0
Abca1	120.388889	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	2109	0
Sirt2	119.555556	0	0	0	0	0	0	0	0	0	0	162	160	172	239	161	0	0	1258	0
Nfkbib	119.555556	0	0	0	0	0	0	0	0	0	0	162	160	172	239	161	0	0	1258	0
Dot1l	119.222222	0	0	0	0	0	0	0	0	0	0	245	0	141	0	238	0	0	1522	0
Zfp991	118.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2137	0
Nab1	118.722222	0	0	0	0	0	0	0	0	0	0	0	0	85	0	109	0	0	1943	0
Dusp22	118.722222	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	1986	0
Tnfsf13b	118.333333	0	0	0	0	0	0	0	0	0	0	209	0	0	0	125	0	0	1796	0
Il13ra1	118.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2126	0
Rnf31	117.888889	0	0	0	0	0	0	0	0	0	0	189	0	103	0	131	0	0	1699	0
Psme2	117.888889	0	0	0	0	0	0	0	0	0	0	189	0	103	0	131	0	0	1699	0
Emc9	117.888889	0	0	0	0	0	0	0	0	0	0	189	0	103	0	131	0	0	1699	0
Eapp	117.666667	390	373	0	0	0	0	324	347	0	226	0	0	0	0	0	0	0	458	0
Dnm1	117.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2109	0
Rassf4	116.666667	0	0	0	0	0	0	0	0	0	0	106	244	0	151	87	0	0	1512	0
Fcer1g	116.388889	0	0	0	0	0	0	0	0	0	0	133	0	95	0	154	0	0	1713	0
Tmem33	116.277778	0	0	0	0	0	0	0	0	0	0	201	344	460	178	140	271	259	240	0
Stxbp1	116.166667	0	0	0	0	0	0	0	0	0	0	111	0	0	0	140	0	0	1840	0
Mettl14	116.111111	0	0	0	0	0	0	0	0	0	0	298	396	415	350	396	0	235	0	0
Slc11a2	115.500000	0	0	0	0	0	0	0	0	0	0	151	0	100	0	152	0	0	1676	0
Foxs1	115.444444	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	1951	0
Saa1	115.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2074	0
Casp4	115.166667	0	0	0	0	0	0	0	0	0	0	217	91	93	101	121	0	0	1450	0
Ppfibp2	114.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2066	0
Gbp6	114.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2066	0
Birc3	114.277778	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	1969	0
Il1b	113.777778	0	0	0	0	0	0	0	0	0	0	0	169	267	192	0	0	0	1420	0
Tagln2	113.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2042	0
Vgll2	112.833333	0	0	0	0	0	0	0	0	0	0	122	361	574	254	314	203	203	0	0
Dennd4b	111.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	1943	0
Slc39a13	111.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2012	0
Far1	111.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006	0
Naip2	110.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1988	0
Snx32	110.277778	0	0	0	0	0	0	0	0	0	0	298	0	0	0	112	0	114	1461	0
Vars	109.944444	0	0	0	0	0	0	0	0	0	0	132	0	0	0	143	0	0	1704	0
D17H6S56E-5	109.944444	0	0	0	0	0	0	0	0	0	0	132	0	0	0	143	0	0	1704	0
Ly9	109.833333	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	1816	0
Gm21242	109.611111	0	0	0	0	0	0	0	0	0	0	201	310	436	306	331	181	208	0	0
Ssty2	109.333333	0	0	0	0	0	0	0	0	0	0	201	305	436	306	331	181	208	0	0
Ctrc	108.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1961	0
Relb	108.555556	0	0	0	0	0	0	0	0	0	0	0	131	158	0	146	0	0	1519	0
Cyth4	108.444444	0	0	0	0	0	0	0	0	0	0	107	322	424	185	169	201	206	338	0
Ccl3	107.833333	0	0	0	0	0	0	0	0	0	0	97	0	113	0	0	0	0	1731	0
Apobec3	107.611111	0	0	0	0	0	0	0	0	0	0	146	0	0	0	150	0	0	1641	0
Ulk1	106.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1925	0
Snx20	106.944444	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	1822	0
Map4k2	106.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	1832	0
Fam227b	106.888889	0	0	0	0	0	0	0	0	0	0	0	390	397	240	210	0	0	687	0
Dtwd1	106.888889	0	0	0	0	0	0	0	0	0	0	0	390	397	240	210	0	0	687	0
Lrch4	106.777778	0	0	0	0	0	0	0	0	0	0	0	210	304	138	0	360	367	543	0
Acp2	106.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	1811	0
Denr	106.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	1788	0
Myl4	106.500000	0	0	0	0	0	0	0	0	0	0	247	0	79	0	194	0	0	1397	0
Cdc27	106.500000	0	0	0	0	0	0	0	0	0	0	247	0	79	0	194	0	0	1397	0
Katna1	106.055556	0	0	0	0	0	0	0	0	0	0	110	0	96	0	196	0	0	1507	0
Sil1	105.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1901	0
Atg10	105.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1900	0
Nudcd2	105.444444	0	0	0	0	0	0	0	0	0	0	206	277	386	278	232	328	191	0	0
Hmmr	105.444444	0	0	0	0	0	0	0	0	0	0	206	277	386	278	232	328	191	0	0
Aff1	105.444444	0	0	0	0	0	0	0	0	0	0	110	0	0	104	0	0	0	1684	0
Chrac1	105.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1895	0
Chst3	105.000000	0	0	0	0	0	0	0	0	0	0	0	0	106	0	218	0	0	1566	0
Ccdc194	104.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	1719	0
Sema4a	104.111111	0	0	0	0	0	0	0	0	0	0	109	154	197	179	0	172	96	967	0
Phlda1	103.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	1744	0
Slc39a4	103.333333	0	0	0	0	0	0	0	0	0	0	87	0	123	0	0	0	0	1650	0
Nup160	103.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1860	0
Junb	103.333333	0	0	0	0	0	0	0	0	0	0	145	129	0	142	0	0	0	1444	0
Efna2	103.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856	0
Camkk2	102.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1852	0
H2-T9	102.777778	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	1686	0
H2-T22	102.777778	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	1686	0
Gm6034	102.777778	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	1686	0
Arpin	102.666667	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	1697	0
H2-T10	102.333333	0	0	0	0	0	0	0	0	0	0	193	0	120	0	0	0	0	1529	0
Arhgap24	102.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1840	0
Nfkbia	101.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1835	0
Tyk2	101.333333	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	1742	0
Tlr2	101.277778	0	0	0	0	0	0	0	0	0	0	185	0	107	0	181	0	0	1350	0
Trappc3	101.000000	0	0	0	0	0	0	0	0	0	0	151	0	156	0	0	0	0	1511	0
Map7d1	101.000000	0	0	0	0	0	0	0	0	0	0	151	0	156	0	0	0	0	1511	0
H2-Q8	100.888889	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	1746	0
H2-Q6	100.888889	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	1746	0
Vipr1	100.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1808	0
Ncoa2	100.444444	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	1724	0
Lyzl4	100.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1808	0
Nedd4	100.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807	0
Dnmt1	100.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1801	0
Brox	100.000000	228	0	245	0	0	0	287	229	146	186	0	0	0	0	0	0	0	479	0
Aida	100.000000	228	0	245	0	0	0	287	229	146	186	0	0	0	0	0	0	0	479	0
Cxcl1	99.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1799	0
Cbr3	99.888889	0	0	0	0	0	0	0	0	0	0	255	257	360	319	376	0	0	231	0
Ltbp4	99.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1795	0
Arhgap26	99.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1793	0
Klf4	99.444444	0	0	0	0	0	0	0	0	0	0	0	303	374	234	216	305	221	137	0
Eri3	99.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1782	0
Cd70	99.000000	0	0	0	0	0	0	0	0	0	0	180	0	87	0	156	0	0	1359	0
Bbc3	98.888889	0	0	0	0	0	0	0	0	0	0	50	0	210	0	293	0	0	1227	0
Malt1	98.388889	0	0	0	0	0	0	0	0	0	0	0	158	363	0	145	0	0	1105	0
Tnfsf15	98.333333	0	0	0	0	0	0	0	0	0	0	122	0	0	83	131	0	0	1434	0
G3bp1	98.111111	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	1638	0
Rbm19	98.055556	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	1675	0
Nr1d2	97.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1763	0
Arhgdib	97.388889	0	0	0	0	0	0	0	0	0	0	325	0	79	0	91	0	0	1258	0
Pacc1	97.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749	0
Fpr2	97.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1747	0
Fpr1	97.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1747	0
Dgkg	97.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1746	0
Zfp811	96.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1744	0
Gramd1b	96.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1738	0
Rel	96.444444	0	0	0	0	0	0	0	0	0	0	0	0	153	120	109	0	0	1354	0
H2-Q9	96.388889	0	0	0	0	0	0	0	0	0	0	94	0	0	0	102	0	0	1539	0
H2-Q7	96.388889	0	0	0	0	0	0	0	0	0	0	94	0	0	0	102	0	0	1539	0
Alox12	96.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1732	0
Lcn2	96.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	0
Parp14	95.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1721	0
Camp	95.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1713	0
Ttc24	94.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1709	0
Iqgap3	94.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1709	0
Il27	94.944444	0	0	0	0	0	0	0	0	0	0	64	0	0	0	125	0	0	1520	0
Mllt6	94.722222	0	0	0	0	0	0	0	0	0	0	95	108	0	70	0	0	0	1432	0
Grk3	94.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1705	0
B2m	94.722222	0	0	0	0	0	0	0	0	0	0	0	87	149	110	116	0	0	1243	0
Sdc4	94.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1702	0
Lrrfip1	94.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	1573	0
Sumf1	93.722222	0	0	0	0	0	0	0	0	0	0	148	263	353	222	236	206	259	0	0
Dhx33	93.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1684	0
Mki67	93.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	0
Snn	93.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1676	0
H1f10	92.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1668	0
Bcl2a1a	92.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	1555	0
Ifitm2	92.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1663	0
H2-Aa	92.222222	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	1570	0
Cd69	92.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1659	0
Sod2	92.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1657	551
Nfkb1	91.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	1521	0
Akr1b8	91.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1653	0
Sun2	91.722222	0	0	0	0	0	0	0	0	0	0	0	0	0	74	131	0	0	1446	0
Traf3	91.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1650	0
Pip4p2	91.555556	0	0	0	0	0	0	0	0	0	0	348	0	165	0	99	0	0	1036	0
Znrf1	91.500000	0	0	0	0	0	0	0	0	0	0	0	90	219	0	109	0	0	1229	0
Clec12a	91.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1647	0
Ncor2	91.222222	0	0	0	0	0	0	0	0	0	0	83	0	151	0	110	0	0	1298	0
Ino80e	91.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	1484	0
Hirip3	91.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	1484	0
Itga4	90.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637	0
Cyba	90.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	1448	0
Neurl3	90.611111	0	0	0	0	0	0	0	0	0	0	0	139	71	0	164	0	0	1257	0
Ifngr2	90.611111	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	1507	0
Tgm2	90.555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1630	0
Stat5b	89.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1619	0
Kcne3	89.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1608	0
Rfx5	89.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1607	0
Tmem125	89.055556	198	166	107	0	158	0	137	155	242	169	0	0	0	0	77	0	0	194	0
Gm13212	89.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1603	0
Lacc1	89.000000	0	0	0	0	0	0	0	0	0	0	0	0	87	0	276	0	0	1239	0
Ccdc122	89.000000	0	0	0	0	0	0	0	0	0	0	0	0	87	0	276	0	0	1239	0
Gga2	88.833333	0	0	0	0	0	0	0	0	0	0	0	0	117	0	107	0	0	1375	0
Fhit	88.611111	0	0	0	0	0	0	0	0	0	0	140	0	221	0	0	0	0	1234	0
Sppl2a	88.444444	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	1478	0
Ptprj	88.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1590	0
Tcf19	88.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1588	0
Cchcr1	88.222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1588	0
Alyref2	88.111111	383	436	0	0	0	0	339	311	0	0	0	0	0	0	0	0	0	117	0
Smurf1	87.111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1568	0
Ripk2	87.055556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1567	0
Klhl25	86.944444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1565	0
Zfp84	86.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1563	0
Tal2	86.833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1563	0
Trim29	86.388889	0	0	0	0	0	0	0	0	0	0	219	322	346	160	158	185	165	0	0
Nectin2	86.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1555	0
Rab12	86.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	1438	0
Apol7c	86.277778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1553	0
Lrch3	86.055556	0	0	0	0	0	0	0	0	0	0	0	0	108	0	125	0	0	1316	0
Adora2a	85.777778	0	0	0	0	0	0	0	0	0	0	0	0	127	0	90	0	0	1327	0
Tnfaip2	85.666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1542	0
Spi1	85.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1541	0
Pde4a	85.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1541	0
Gadd45a	85.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1530	0
Fbxw7	84.888889	0	0	0	0	0	0	0	0	0	0	0	181	312	248	186	273	0	328	0
Creb1	84.888889	0	0	0	0	0	0	0	0	0	0	0	0	0	148	156	0	0	1224	0
Plcb4	84.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1523	0
Slc2a6	84.166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1515	0
Poldip3	84.166667	212	245	0	0	0	0	215	214	0	0	0	0	122	0	0	0	0	507	0
Mycn	84.111111	0	0	0	0	0	0	0	0	0	0	0	230	311	240	128	189	259	157	0
Tpr	83.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1508	0
Odr4	83.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1508	0
Dst	83.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505	0
Bend6	83.611111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1505	0
Pgghg	83.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1503	0
