Target_genes	Rreb1|Average	SRX12298595|B_cells	STRING
Rasgrf1	1377.000000	1377	0
Slc25a21	1371.000000	1371	0
Slc18a2	1371.000000	1371	0
Zfp428	1367.000000	1367	0
Adcy8	1367.000000	1367	0
Rnf170	1366.000000	1366	0
Hook3	1366.000000	1366	0
Bmpr1a	1366.000000	1366	0
Slc30a10	1365.000000	1365	0
Ptpru	1364.000000	1364	0
Sema3c	1363.000000	1363	0
CK137956	1363.000000	1363	0
Tmem35a	1362.000000	1362	0
Mpdz	1362.000000	1362	0
Itga7	1362.000000	1362	0
Hs3st2	1361.000000	1361	0
Nkx3-1	1357.000000	1357	0
Zfp800	1356.000000	1356	0
Rab3c	1354.000000	1354	0
Zmym2	1348.000000	1348	0
Six4	1347.000000	1347	0
B4galnt2	1343.000000	1343	0
Lrat	1341.000000	1341	0
Hs6st3	1341.000000	1341	0
Cfap69	1335.000000	1335	0
Gm21188	1332.000000	1332	0
Slc47a2	1330.000000	1330	0
Phlda2	1328.000000	1328	0
Prkcz	1323.000000	1323	0
Atp6ap2	1323.000000	1323	0
Stk32c	1321.000000	1321	0
Rhou	1320.000000	1320	0
Kcnq2	1320.000000	1320	0
Shroom3	1318.000000	1318	0
Ascl2	1315.000000	1315	0
Hspa2	1313.000000	1313	0
Sulf1	1312.000000	1312	0
Klf15	1312.000000	1312	0
Ptprf	1311.000000	1311	0
Ank2	1310.000000	1310	0
Acta1	1310.000000	1310	0
Fam169a	1308.000000	1308	0
Gprc5a	1305.000000	1305	0
Ntng1	1303.000000	1303	0
Hoxc4	1302.000000	1302	0
Klf14	1297.000000	1297	0
Cfap65	1296.000000	1296	0
Lypd6b	1295.000000	1295	0
Ryr2	1294.000000	1294	0
Hspa1b	1293.000000	1293	0
Cnih3	1292.000000	1292	0
Lims2	1288.000000	1288	0
Cdk14	1288.000000	1288	0
Nsd1	1287.000000	1287	0
Cacna1a	1287.000000	1287	0
Nptx2	1285.000000	1285	0
Lhfpl3	1283.000000	1283	0
Tnr	1279.000000	1279	0
Angpt1	1277.000000	1277	0
Tacstd2	1276.000000	1276	0
Nlrp6	1275.000000	1275	0
Kazn	1273.000000	1273	0
Fnbp1l	1273.000000	1273	0
Gjc1	1272.000000	1272	0
Cacng2	1272.000000	1272	0
H3c13	1269.000000	1269	0
H2bc18	1269.000000	1269	0
Pacsin1	1265.000000	1265	0
Mapt	1261.000000	1261	0
Lrrc10b	1260.000000	1260	0
Csk	1260.000000	1260	0
Tafa3	1259.000000	1259	0
Ppm1j	1259.000000	1259	0
Zbtb7c	1255.000000	1255	0
1700001C19Rik	1254.000000	1254	0
Kl	1253.000000	1253	0
Sgcz	1251.000000	1251	0
Adra1d	1251.000000	1251	0
Gm10499	1248.000000	1248	0
Akp3	1248.000000	1248	0
Man1b1	1247.000000	1247	0
Ccdc142	1246.000000	1246	0
Itga3	1245.000000	1245	0
Edf1	1245.000000	1245	0
Gas1	1244.000000	1244	0
Sgpp2	1242.000000	1242	0
Sestd1	1242.000000	1242	0
Whamm	1240.000000	1240	0
Fsd2	1240.000000	1240	0
Sacm1l	1239.000000	1239	0
Slc7a8	1235.000000	1235	0
Cbln4	1234.000000	1234	0
Apba2	1227.000000	1227	0
Usp12	1222.000000	1222	0
Duoxa1	1222.000000	1222	0
Duox1	1222.000000	1222	0
Sfrp5	1218.000000	1218	0
Pkia	1218.000000	1218	0
Mmp9	1218.000000	1218	0
C130074G19Rik	1218.000000	1218	0
Barhl1	1217.000000	1217	0
Grin1	1214.000000	1214	0
Gm45623	1213.000000	1213	0
Ascl1	1213.000000	1213	0
Tceal8	1210.000000	1210	0
Adrb1	1210.000000	1210	0
Nhlh2	1209.000000	1209	0
Vamp2	1208.000000	1208	0
Cnpy1	1207.000000	1207	0
Pkp2	1202.000000	1202	0
Arhgap32	1202.000000	1202	0
Sox6	1200.000000	1200	0
Neurog1	1199.000000	1199	0
Csmd3	1199.000000	1199	0
Dusp6	1197.000000	1197	0
B3galnt1	1197.000000	1197	0
Map3k21	1195.000000	1195	0
BC107364	1195.000000	1195	0
Ntrk3	1194.000000	1194	0
Nr5a1	1194.000000	1194	0
Shc3	1190.000000	1190	0
Igfbp2	1190.000000	1190	0
Id1	1187.000000	1187	0
Scn4b	1186.000000	1186	0
Zfp37	1185.000000	1185	0
Dtna	1183.000000	1183	0
Cacna1s	1182.000000	1182	0
Ascl5	1182.000000	1182	0
Oacyl	1181.000000	1181	0
Chn2	1181.000000	1181	0
Epas1	1179.000000	1179	0
B4galt1	1179.000000	1179	0
Ntn1	1177.000000	1177	0
Neurod2	1177.000000	1177	0
Arhgef7	1175.000000	1175	0
Eci3	1171.000000	1171	0
Nefm	1170.000000	1170	0
Fam110c	1170.000000	1170	0
Cdc14b	1169.000000	1169	0
Tbx15	1168.000000	1168	0
Htr1f	1166.000000	1166	0
Sdc4	1165.000000	1165	0
Btbd3	1165.000000	1165	0
Gna14	1164.000000	1164	0
Nova1	1163.000000	1163	0
4833420G17Rik	1163.000000	1163	0
Hoxb9	1162.000000	1162	0
Tox2	1160.000000	1160	0
Lbx2	1160.000000	1160	0
Ecel1	1160.000000	1160	0
Fat4	1159.000000	1159	0
Med13l	1155.000000	1155	0
Htr5b	1153.000000	1153	0
Tlx2	1152.000000	1152	0
Foxq1	1152.000000	1152	0
Fgf5	1152.000000	1152	0
Edem1	1152.000000	1152	0
Dlx3	1152.000000	1152	0
Cbs	1151.000000	1151	0
Vipr1	1150.000000	1150	0
Slc4a10	1150.000000	1150	0
Nkx2-4	1150.000000	1150	0
Lyzl4	1150.000000	1150	0
Elavl4	1150.000000	1150	0
Fignl2	1149.000000	1149	0
Cxcl12	1149.000000	1149	0
Jph3	1147.000000	1147	0
Macroh2a2	1146.000000	1146	0
Kcng3	1146.000000	1146	0
Bmp2	1146.000000	1146	0
Tbx1	1144.000000	1144	0
Hoxc9	1144.000000	1144	0
Bmp8b	1143.000000	1143	0
Nudt12	1142.000000	1142	0
Lrig3	1142.000000	1142	0
Foxi3	1142.000000	1142	0
Mest	1141.000000	1141	0
Npr3	1138.000000	1138	0
Cavin1	1137.000000	1137	0
Kcnn2	1136.000000	1136	0
Dab2	1134.000000	1134	0
Amn	1134.000000	1134	0
Pou4f1	1133.000000	1133	0
Gcnt2	1133.000000	1133	0
Cnnm1	1132.000000	1132	0
Ajuba	1131.000000	1131	0
Tmem125	1129.000000	1129	0
Stox2	1129.000000	1129	0
Ptx3	1129.000000	1129	0
Igf2bp3	1129.000000	1129	0
Hcrtr2	1129.000000	1129	0
Plekhh2	1127.000000	1127	0
Kctd7	1127.000000	1127	0
Ripply2	1126.000000	1126	0
Gnao1	1126.000000	1126	0
Tesmin	1125.000000	1125	0
Tcf3	1125.000000	1125	0
Slc13a5	1125.000000	1125	0
Npas3	1125.000000	1125	0
Mpped2	1125.000000	1125	0
Trim2	1122.000000	1122	0
Myorg	1122.000000	1122	0
Nkx2-9	1118.000000	1118	0
Ildr2	1118.000000	1118	0
Apeh	1118.000000	1118	0
Hcn4	1116.000000	1116	0
Astn2	1116.000000	1116	0
Bace1	1114.000000	1114	0
Podxl	1113.000000	1113	0
Phox2a	1113.000000	1113	0
Obsl1	1112.000000	1112	0
Inha	1112.000000	1112	0
Pbx1	1111.000000	1111	0
Olig1	1111.000000	1111	0
Echdc2	1109.000000	1109	0
Dnaja4	1109.000000	1109	0
Tha1	1108.000000	1108	0
Prss16	1108.000000	1108	0
Kcna1	1107.000000	1107	0
Dab1	1106.000000	1106	0
Rnps1	1102.000000	1102	0
Col18a1	1101.000000	1101	0
Dst	1099.000000	1099	0
Cnep1r1	1099.000000	1099	0
Bend6	1099.000000	1099	0
Adrb3	1098.000000	1098	0
Slc6a17	1097.000000	1097	0
Gpr6	1096.000000	1096	0
Gpc5	1095.000000	1095	0
Dgkh	1095.000000	1095	0
Bnc1	1095.000000	1095	0
Mrps23	1093.000000	1093	0
Csrnp3	1093.000000	1093	0
Mecom	1090.000000	1090	0
Smad6	1087.000000	1087	0
Fcrlb	1086.000000	1086	0
Ror1	1085.000000	1085	0
Gcgr	1085.000000	1085	0
Foxd2	1085.000000	1085	0
Crybg1	1084.000000	1084	0
Sox4	1083.000000	1083	0
Fzd2	1082.000000	1082	0
Fev	1082.000000	1082	0
Boc	1082.000000	1082	0
Rbm24	1081.000000	1081	0
Ccdc3	1080.000000	1080	0
Mb21d2	1079.000000	1079	0
Fads6	1079.000000	1079	0
Ankrd53	1079.000000	1079	0
Pfn1	1076.000000	1076	0
Eno3	1076.000000	1076	0
Sox11	1070.000000	1070	0
Scaf11	1068.000000	1068	0
Samd11	1067.000000	1067	0
Uggt2	1065.000000	1065	0
Trim58	1065.000000	1065	0
Spata18	1064.000000	1064	0
Sgcb	1064.000000	1064	0
Mllt1	1064.000000	1064	0
Cdkn2a	1064.000000	1064	0
Frem2	1062.000000	1062	0
Ppp1r14c	1061.000000	1061	0
Npnt	1061.000000	1061	0
Nfe2l3	1060.000000	1060	0
Irf8	1060.000000	1060	0
Nsun7	1059.000000	1059	0
Tbc1d30	1056.000000	1056	0
Hoxb1	1054.000000	1054	0
Mab21l1	1053.000000	1053	0
Bhlhe23	1053.000000	1053	0
Spryd4	1052.000000	1052	0
Cdkn2b	1051.000000	1051	0
Msx2	1049.000000	1049	0
Shisa3	1048.000000	1048	0
Upp1	1047.000000	1047	0
Aif1l	1047.000000	1047	0
Lpin3	1046.000000	1046	0
Lin28b	1046.000000	1046	0
Syk	1045.000000	1045	0
Sema5b	1043.000000	1043	0
Ddah1	1038.000000	1038	0
Rimkla	1037.000000	1037	0
Chn1	1037.000000	1037	0
Ccdc184	1037.000000	1037	0
Asb8	1037.000000	1037	0
Adra2a	1037.000000	1037	0
Tnik	1036.000000	1036	0
Gpnmb	1036.000000	1036	0
Igf2bp2	1035.000000	1035	0
Fbxl7	1035.000000	1035	0
Wdr73	1034.000000	1034	0
Nmb	1034.000000	1034	0
Hpse2	1034.000000	1034	0
Vat1l	1032.000000	1032	0
Ppfibp1	1032.000000	1032	0
H2aw	1032.000000	1032	0
Colec12	1032.000000	1032	0
Col12a1	1031.000000	1031	0
Ocln	1029.000000	1029	0
Dnajc6	1029.000000	1029	0
Car4	1026.000000	1026	0
Enah	1025.000000	1025	0
Dipk1c	1025.000000	1025	0
Cebpd	1025.000000	1025	0
Kcnk9	1024.000000	1024	0
Jam3	1023.000000	1023	0
Hdac1	1023.000000	1023	0
Ciz1	1022.000000	1022	0
Vamp4	1021.000000	1021	0
Fam90a1b	1021.000000	1021	0
Cyp26a1	1021.000000	1021	0
Apoo	1021.000000	1021	0
Dlx2	1020.000000	1020	0
Cgnl1	1020.000000	1020	0
Loxl1	1018.000000	1018	0
Golm2	1018.000000	1018	0
Gbx2	1017.000000	1017	0
Cyp1b1	1017.000000	1017	0
Zfp11	1016.000000	1016	0
Nxnl2	1016.000000	1016	0
H3c6	1016.000000	1016	0
Hoxc8	1015.000000	1015	0
Grb10	1015.000000	1015	0
Dsp	1015.000000	1015	0
Wnt1	1013.000000	1013	0
Tmem229a	1011.000000	1011	0
Kcnc2	1010.000000	1010	0
Nog	1007.000000	1007	0
Cd14	1007.000000	1007	0
P3h2	1006.000000	1006	0
Cbr3	1005.000000	1005	0
Trip11	1001.000000	1001	0
Kcnk2	1001.000000	1001	0
Erg	1001.000000	1001	0
Npy	1000.000000	1000	0
Guca1a	1000.000000	1000	0
Pygb	999.000000	999	0
Osbpl6	999.000000	999	0
Slc31a2	998.000000	998	0
Fstl4	997.000000	997	0
Ltb4r1	995.000000	995	0
Dlc1	995.000000	995	0
Gm13889	994.000000	994	0
Map7	993.000000	993	0
Sgms2	992.000000	992	0
Nrg1	990.000000	990	0
Gabbr2	990.000000	990	0
B3gnt6	988.000000	988	0
Zcchc3	987.000000	987	0
Bdnf	987.000000	987	0
6820408C15Rik	987.000000	987	0
Mcc	985.000000	985	0
Npy1r	984.000000	984	0
Ublcp1	983.000000	983	0
Krt1	983.000000	983	0
Ddx59	983.000000	983	0
Tmem200a	981.000000	981	0
Lrrtm1	981.000000	981	0
Fgf4	980.000000	980	0
Obscn	979.000000	979	0
Nkx6-3	979.000000	979	0
Ptprk	978.000000	978	0
Faap100	978.000000	978	0
Pcdhgc3	977.000000	977	0
Hoatz	977.000000	977	0
Hoxb13	976.000000	976	0
Clstn2	975.000000	975	0
Stx3	974.000000	974	0
Nmnat2	974.000000	974	0
Kcnip1	974.000000	974	0
Reep1	973.000000	973	0
Tenm4	972.000000	972	0
Kmt2c	972.000000	972	0
Htr2c	972.000000	972	0
Rasef	971.000000	971	0
Ednrb	971.000000	971	0
Otop1	970.000000	970	0
Tspan9	969.000000	969	0
Tead1	969.000000	969	0
Nags	969.000000	969	0
Adgra3	969.000000	969	0
Bmpr1b	968.000000	968	0
1700025G04Rik	968.000000	968	0
Alx3	967.000000	967	0
Vstm4	966.000000	966	0
Il31ra	965.000000	965	0
Fign	965.000000	965	0
Frzb	964.000000	964	0
Tnfaip2	963.000000	963	0
Vsx2	962.000000	962	0
Galnt14	962.000000	962	0
Ffar4	962.000000	962	0
Chrm1	962.000000	962	0
Asmt	962.000000	962	0
Prob1	959.000000	959	0
Mzb1	959.000000	959	0
Gria2	959.000000	959	0
Fam83h	959.000000	959	0
Bves	959.000000	959	0
Kcnk12	958.000000	958	0
Pde10a	956.000000	956	0
Acvr2a	955.000000	955	0
Mcat	954.000000	954	0
Lpar3	954.000000	954	0
Cyfip1	954.000000	954	0
Col13a1	954.000000	954	0
Med12l	952.000000	952	0
Gxylt1	951.000000	951	0
Eya1	951.000000	951	0
Ngef	950.000000	950	0
Gpr135	949.000000	949	0
Coch	948.000000	948	0
Sdk2	947.000000	947	0
Car10	947.000000	947	0
Polm	945.000000	945	0
Barx2	945.000000	945	0
Cacna2d1	944.000000	944	0
Otud7a	943.000000	943	0
Dkk2	943.000000	943	0
Tcf21	942.000000	942	0
Crmp1	942.000000	942	0
Irs4	941.000000	941	0
Gipc2	941.000000	941	0
Rnasel	940.000000	940	0
Nrl	940.000000	940	0
Bmp7	940.000000	940	0
Sntg1	939.000000	939	0
Cacna1g	937.000000	937	0
Grid2	936.000000	936	0
Castor1	936.000000	936	0
Lingo1	935.000000	935	0
Limch1	934.000000	934	0
Abhd11	934.000000	934	0
Htr2a	933.000000	933	0
Wif1	932.000000	932	0
Pkd2	932.000000	932	0
Npm3	932.000000	932	0
Fgf8	932.000000	932	0
Dnajc12	932.000000	932	0
a	931.000000	931	0
Pcsk5	931.000000	931	0
Ndufb8	931.000000	931	0
Fndc3c1	931.000000	931	0
Steap2	930.000000	930	0
Sgce	930.000000	930	0
Peg10	930.000000	930	0
Efcab6	930.000000	930	0
Scamp1	929.000000	929	0
Steap1	928.000000	928	0
Kcnk3	928.000000	928	0
Kcna6	928.000000	928	0
Tcf7l1	927.000000	927	0
Erbb2	927.000000	927	0
Dppa3	926.000000	926	0
Tmem132c	925.000000	925	0
Foxl1	925.000000	925	0
2310009B15Rik	925.000000	925	0
Ptprg	924.000000	924	0
Fez1	924.000000	924	0
Tmem179	923.000000	923	0
Prkce	922.000000	922	0
Cdh13	922.000000	922	0
Trmt9b	921.000000	921	0
Esrrg	921.000000	921	0
Ppia	920.000000	920	0
Col5a1	920.000000	920	0
Tbx4	919.000000	919	0
Jakmip3	919.000000	919	0
Phf12	918.000000	918	0
Nynrin	918.000000	918	0
Mfap3l	917.000000	917	0
Grik2	917.000000	917	0
Fras1	917.000000	917	0
Trank1	916.000000	916	0
Gm2102	916.000000	916	0
Hoxc13	914.000000	914	0
H2-Bl	914.000000	914	0
Ola1	912.000000	912	0
Sox18	911.000000	911	0
Nelfa	911.000000	911	0
Tmem210	910.000000	910	0
Lrrc26	910.000000	910	0
Hoxd8	910.000000	910	0
Ctif	909.000000	909	0
Metap1d	907.000000	907	0
Vwa2	906.000000	906	0
Thnsl2	906.000000	906	0
Slc1a1	906.000000	906	0
Fcho2	905.000000	905	0
Synm	903.000000	903	0
Ripk3	903.000000	903	0
Adcy4	903.000000	903	0
Dcdc2a	902.000000	902	0
Grhl3	901.000000	901	0
Cdk5r2	901.000000	901	0
Esyt3	899.000000	899	0
H2-Q10	898.000000	898	0
Tmem178b	897.000000	897	0
Trim23	896.000000	896	0
Trappc13	896.000000	896	0
Shld3	896.000000	896	0
Pdzrn3	895.000000	895	0
Nkapl	895.000000	895	0
Osmr	894.000000	894	0
Arhgef5	892.000000	892	0
Kdelr3	889.000000	889	0
Slc27a2	887.000000	887	0
Dpysl4	886.000000	886	0
Doc2b	885.000000	885	0
Rgs22	884.000000	884	0
Npbwr1	884.000000	884	0
Inava	884.000000	884	0
Mnt	883.000000	883	0
Dock8	883.000000	883	0
Smarcd3	882.000000	882	0
Ccno	882.000000	882	0
Nfib	881.000000	881	0
Shisa2	880.000000	880	0
P3h4	880.000000	880	0
Hey1	880.000000	880	0
Fkbp10	880.000000	880	0
Cdr2l	880.000000	880	0
Spag6	879.000000	879	0
Sost	879.000000	879	0
Pcdh1	879.000000	879	0
Adam12	879.000000	879	0
Zdbf2	878.000000	878	0
Pfdn4	878.000000	878	0
Msantd3	878.000000	878	0
Foxo6	878.000000	878	0
Cyp24a1	878.000000	878	0
Prss12	877.000000	877	0
Ccn1	876.000000	876	0
Acot1	876.000000	876	0
Tmtc1	875.000000	875	0
Hoxc6	875.000000	875	0
Hoxc5	875.000000	875	0
Rasgrf2	873.000000	873	0
Virma	872.000000	872	0
Lrriq4	871.000000	871	0
Lrrc34	871.000000	871	0
Kcnf1	871.000000	871	0
Ddn	871.000000	871	0
Chrna7	871.000000	871	0
Wnt3a	870.000000	870	0
Sult4a1	870.000000	870	0
Insm2	870.000000	870	0
Adamtsl3	870.000000	870	0
Rhobtb3	869.000000	869	0
Ppp1r3g	869.000000	869	0
Lor	869.000000	869	0
Neurod1	868.000000	868	0
Arhgef26	868.000000	868	0
Pthlh	867.000000	867	0
Amotl2	867.000000	867	0
Adra2b	867.000000	867	0
Pih1d1	866.000000	866	0
Dennd2a	866.000000	866	0
Aldh16a1	866.000000	866	0
Caly	865.000000	865	0
Fat3	863.000000	863	0
Egf	863.000000	863	0
Des	863.000000	863	0
Unc79	862.000000	862	0
Cttnbp2	859.000000	859	0
Dpf3	856.000000	856	0
Yap1	855.000000	855	0
Pgm5	855.000000	855	0
Dpysl5	855.000000	855	0
Tril	854.000000	854	0
Hand1	854.000000	854	0
Csmd2	854.000000	854	0
Homer2	853.000000	853	0
Prodh	852.000000	852	0
Prdm16	852.000000	852	0
Gpx7	850.000000	850	0
Lypd6	849.000000	849	0
Gata2	849.000000	849	0
Pard3	848.000000	848	0
Esrrb	848.000000	848	0
Adcyap1r1	848.000000	848	0
Tpbg	847.000000	847	0
Sox7	847.000000	847	0
Ppp2r2c	847.000000	847	0
Deptor	847.000000	847	0
Pde8b	846.000000	846	0
Igsf21	846.000000	846	0
Prom1	845.000000	845	0
Foxp2	845.000000	845	0
Dio3	845.000000	845	0
Hoxc11	844.000000	844	0
Tnfrsf25	843.000000	843	0
Tekt1	843.000000	843	0
Spata3	843.000000	843	0
Proser2	843.000000	843	0
Magi2	843.000000	843	0
Fer	843.000000	843	0
Nav1	842.000000	842	0
Mtus1	841.000000	841	0
Dlx5	841.000000	841	0
Comp	841.000000	841	0
Tpd52l1	840.000000	840	0
Fst	840.000000	840	0
Vgll2	838.000000	838	0
Lypd1	836.000000	836	0
Rgmb	835.000000	835	0
Cartpt	835.000000	835	0
Rbm47	834.000000	834	0
Rax	834.000000	834	0
Kcnt1	834.000000	834	0
Kazald1	834.000000	834	0
Xkr6	831.000000	831	0
Smoc1	831.000000	831	0
Serpine2	831.000000	831	0
Btbd17	831.000000	831	0
Galnt17	829.000000	829	0
Cytip	829.000000	829	0
Wwtr1	828.000000	828	0
Slc16a9	826.000000	826	0
Lox	826.000000	826	0
Eomes	826.000000	826	0
Dlgap2	825.000000	825	0
Zcchc14	824.000000	824	0
Rnf38	824.000000	824	0
Evi5	824.000000	824	0
Epha7	824.000000	824	0
Zar1	823.000000	823	0
Snx3	823.000000	823	0
Efhd1	823.000000	823	0
Id2	821.000000	821	0
Cachd1	821.000000	821	0
Kank1	820.000000	820	0
Gjd2	820.000000	820	0
Dock1	820.000000	820	0
Tshr	819.000000	819	0
Ptpn13	819.000000	819	0
Mak	818.000000	818	0
Fam184a	818.000000	818	0
Brsk2	818.000000	818	0
Mos	817.000000	817	0
Pwwp2b	816.000000	816	0
Eml6	816.000000	816	0
Ctbp2	816.000000	816	0
Serpinb6a	815.000000	815	0
Ripk1	815.000000	815	0
Hs3st4	815.000000	815	0
BC048679	815.000000	815	0
Ap3b2	815.000000	815	0
Hoxb4	814.000000	814	0
Zfp105	813.000000	813	0
Pttg1ip	813.000000	813	0
Mesp1	813.000000	813	0
Tdrd5	812.000000	812	0
Negr1	812.000000	812	0
Epha10	812.000000	812	0
Lgr5	811.000000	811	0
Greb1l	811.000000	811	0
Gja1	810.000000	810	0
Cxcl14	810.000000	810	0
Ccdc85a	810.000000	810	0
Mast1	809.000000	809	0
Hapln2	809.000000	809	0
Auts2	808.000000	808	0
Raet1e	807.000000	807	0
Raet1a	807.000000	807	0
Mdga2	807.000000	807	0
F2r	807.000000	807	0
Bmp4	807.000000	807	0
Shox2	806.000000	806	0
Hnrnpdl	806.000000	806	0
Enoph1	806.000000	806	0
Setbp1	805.000000	805	0
Hdgfl3	805.000000	805	0
Sez6	804.000000	804	0
Ppp1r3b	804.000000	804	0
Ntrk2	804.000000	804	0
Nos2	804.000000	804	0
Gldc	804.000000	804	0
Arhgap35	804.000000	804	0
Cux2	803.000000	803	0
Foxg1	802.000000	802	0
Bmpr2	802.000000	802	0
Tcte2	800.000000	800	0
Cpeb3	800.000000	800	0
Afdn	800.000000	800	0
Hoxa1	799.000000	799	0
Cckbr	799.000000	799	0
Slc6a15	798.000000	798	0
Pcdh9	798.000000	798	0
Pax8	798.000000	798	0
Mllt10	798.000000	798	0
Cryba2	798.000000	798	0
Zfp385b	797.000000	797	0
Tjp1	797.000000	797	0
Hlx	797.000000	797	0
H60b	797.000000	797	0
Nek3	796.000000	796	0
Pabpc1l2a	795.000000	795	0
Cplx1	795.000000	795	0
Car14	795.000000	795	0
A930018P22Rik	795.000000	795	0
Mmp25	794.000000	794	0
Fzd9	793.000000	793	0
Unc5b	792.000000	792	0
Syt7	791.000000	791	0
Misp3	791.000000	791	0
Tlcd4	790.000000	790	0
Dok6	790.000000	790	0
Cbx2	789.000000	789	0
Gne	788.000000	788	0
Galr2	788.000000	788	0
Egr4	788.000000	788	0
Ppm1h	787.000000	787	0
Pm20d2	787.000000	787	0
Gsx2	787.000000	787	0
Atp6v1c2	787.000000	787	0
Speg	786.000000	786	0
Ppp1r3c	786.000000	786	0
Gldn	786.000000	786	0
Zcchc8	785.000000	785	0
Tmc5	784.000000	784	0
