Target_genes	Nfe2|Average	SRX203211|Erythroblasts	SRX18530089|Erythroid_Cells	SRX18530090|Erythroid_Cells	SRX1629386|M1	SRX203207|Megakaryocytes	SRX203208|Megakaryocytes	SRX204382|Megakaryocytes	SRX2200549|Pro-B_cells	SRX298037|Ter119_Erythrocytes	STRING
Lexm	410.222222	732	199	114	0	88	416	0	710	1433	0
Dennd2c	401.555556	1115	189	181	0	195	403	0	0	1531	0
Gclc	395.222222	684	0	0	406	374	482	210	429	972	0
Ccl1	384.888889	217	0	0	554	0	671	0	2022	0	0
Dipk2a	370.888889	809	191	208	0	103	661	0	370	996	0
1110008P14Rik	369.666667	0	0	0	383	0	0	0	2944	0	0
Sod2	367.777778	115	117	253	607	0	247	0	1613	358	0
Pla2g6	362.222222	222	0	0	525	102	0	0	2006	405	0
Htatip2	351.111111	593	195	211	0	154	422	0	534	1051	0
Bach1	346.555556	316	120	157	188	0	358	0	1351	629	0
C77080	345.222222	234	0	0	210	0	472	0	1966	225	0
Neurl1a	345.000000	0	0	0	523	0	0	0	2582	0	0
Il31ra	337.222222	610	217	201	0	337	372	416	171	711	0
Kpna1	336.666667	722	163	127	0	629	614	534	0	241	0
Gstp2	331.888889	239	232	167	167	0	107	0	1421	654	0
Abcf3	331.000000	459	106	204	215	0	175	0	1225	595	0
Abhd2	327.888889	620	160	116	204	96	320	0	804	631	0
Crtc1	321.111111	814	283	288	0	196	420	0	153	736	0
Ubc	320.222222	257	298	172	231	73	276	0	963	612	0
Pnpla8	316.444444	181	0	131	327	0	0	0	1974	235	0
Ppip5k2	314.888889	0	0	0	612	0	0	0	2222	0	0
Gin1	314.888889	0	0	0	612	0	0	0	2222	0	0
Numbl	312.666667	299	0	144	222	0	370	0	1558	221	0
Amn1	303.777778	505	119	98	247	0	284	0	844	637	0
Rasal1	302.333333	0	0	0	286	0	0	0	2435	0	0
Gdf15	301.555556	223	0	0	163	0	406	0	1776	146	0
Ankrd55	296.777778	573	116	155	0	151	709	0	610	357	0
Setd1b	296.333333	485	132	83	0	0	167	118	1173	509	0
Mtpap	296.000000	0	0	0	721	0	0	0	1943	0	0
Abhd6	294.777778	675	0	0	0	801	519	268	0	390	0
Dok3	291.777778	0	0	0	297	0	0	0	2329	0	0
Olfr806	288.666667	728	0	0	0	763	582	184	0	341	0
Ube4a	287.666667	207	108	259	417	0	176	0	1223	199	0
Cyb5a	283.444444	307	217	172	147	0	258	0	906	544	0
Ufl1	279.888889	0	0	0	363	0	0	0	2156	0	0
Spta1	279.222222	559	181	177	0	0	335	0	170	1091	0
Bcl2l11	275.888889	0	0	0	226	0	0	0	2257	0	0
Arid3b	275.222222	119	0	0	334	0	0	0	2024	0	0
Atf1	274.333333	342	380	371	0	72	407	0	458	439	0
Mlec	270.777778	0	0	0	358	0	0	0	2079	0	0
Glipr1	266.555556	0	0	0	326	0	127	0	1946	0	0
Cltc	265.777778	178	245	212	0	0	144	0	1137	476	0
Mt3	265.000000	776	118	135	0	127	553	0	386	290	0
Slc19a2	263.444444	421	106	207	0	0	275	0	739	623	0
Tmem134	263.222222	303	275	292	391	0	168	0	716	224	0
Aip	263.222222	303	275	292	391	0	168	0	716	224	0
Arap1	262.666667	0	0	0	0	0	320	0	2044	0	0
Sstr3	261.555556	133	0	0	177	0	580	0	1464	0	0
Cmklr1	258.444444	0	0	0	125	0	0	0	2201	0	0
Ppp1r1a	256.777778	0	0	0	586	0	0	0	1725	0	0
Epb41	256.555556	601	103	0	0	155	378	112	183	777	0
Plekhh3	255.111111	0	0	0	529	0	0	0	1767	0	0
Cntnap1	255.111111	0	0	0	529	0	0	0	1767	0	0
Ccr10	255.111111	0	0	0	529	0	0	0	1767	0	0
Numa1	254.111111	537	0	176	0	62	466	0	652	394	0
Notch3	254.111111	129	0	0	262	0	162	0	1734	0	0
Arrdc3	253.444444	0	0	0	206	0	0	0	2075	0	0
Cat	249.333333	609	154	100	0	97	379	0	287	618	0
Poln	248.888889	0	0	0	249	0	0	0	1991	0	0
Haus3	248.888889	0	0	0	249	0	0	0	1991	0	0
Blmh	248.555556	0	0	0	449	0	0	0	1788	0	0
Abcb6	248.444444	268	305	242	203	120	0	0	639	459	0
Cox20	248.333333	291	0	97	0	0	309	0	986	552	0
Taldo1	240.666667	405	342	299	0	167	263	0	207	483	0
Trim58	240.000000	621	152	108	0	0	268	0	0	1011	0
Tmem95	237.444444	0	0	0	0	0	0	0	2137	0	0
Kctd11	237.444444	0	0	0	0	0	0	0	2137	0	0
Slc3a2	235.555556	0	0	0	234	0	0	0	1886	0	0
Psmc5	234.111111	136	0	0	274	0	0	0	1697	0	0
Ftsj3	234.111111	136	0	0	274	0	0	0	1697	0	0
Arrb2	233.888889	0	0	0	194	0	0	0	1911	0	0
Fam104a	233.000000	594	158	99	0	141	333	0	0	772	0
D11Wsu47e	233.000000	594	158	99	0	141	333	0	0	772	0
Cxcl10	230.666667	407	0	224	0	0	375	0	544	526	0
Cd300c	230.444444	0	0	0	185	0	212	0	1677	0	0
Abi2	229.666667	0	0	0	691	0	0	0	1376	0	0
Dnaja2	229.555556	440	93	159	243	102	308	0	418	303	0
Msh6	229.333333	217	0	127	247	0	0	0	1321	152	0
Pdpk1	225.888889	403	116	0	0	0	148	0	513	853	0
Itgb3	225.000000	0	0	0	0	0	287	1484	254	0	0
Ppbp	224.111111	0	0	0	798	0	0	0	1219	0	0
Pf4	224.111111	0	0	0	798	0	0	0	1219	0	0
Gabarapl1	223.222222	496	0	0	0	0	309	0	551	653	0
Ptgir	223.000000	0	0	0	206	0	365	0	1436	0	0
Sirt7	221.777778	0	152	0	0	0	0	0	1844	0	0
Coro2a	220.888889	0	0	0	251	0	297	0	1440	0	0
Wwox	220.333333	589	0	0	0	578	410	230	0	176	0
Adnp2	220.111111	0	0	79	548	0	0	0	1354	0	0
Aldh9a1	219.555556	0	0	0	310	0	0	0	1666	0	0
Rad23a	219.000000	0	0	0	496	0	0	0	1475	0	0
Fosl1	219.000000	749	0	0	0	0	326	0	896	0	0
Armc7	218.888889	166	0	0	266	0	230	0	879	429	0
Srxn1	217.888889	288	0	0	0	98	225	129	698	523	0
Ncor2	217.444444	0	0	0	268	0	189	0	1500	0	0
Sqstm1	216.666667	265	0	0	86	0	242	0	962	395	0
Mrc1	216.222222	0	0	0	259	0	0	0	1687	0	0
Smim3	215.666667	160	160	133	109	0	148	0	698	533	0
Enpp3	214.444444	0	0	0	382	0	0	0	1548	0	0
Nars	214.111111	358	0	0	0	0	253	0	908	408	0
Gstm4	213.666667	277	0	201	566	0	344	0	535	0	0
Zmynd8	207.333333	355	0	103	0	0	417	0	633	358	0
Abcc4	206.888889	297	0	0	186	0	318	0	178	883	0
Mbd2	206.555556	380	154	137	0	74	300	0	0	814	0
Naaladl1	205.888889	309	0	124	0	0	0	0	0	1420	0
Arl14	204.777778	0	0	0	510	0	0	0	1333	0	0
Arhgef18	200.666667	0	0	0	468	0	0	0	1338	0	0
Creld1	200.555556	360	0	0	0	0	436	0	595	414	0
H6pd	200.222222	311	0	0	0	0	297	0	1194	0	0
St6gal1	200.111111	0	0	0	0	0	0	0	1801	0	0
Cdh10	200.111111	0	0	0	282	0	0	0	1519	0	0
Prdm1	199.444444	0	0	0	617	0	0	0	1178	0	0
Ahr	199.222222	0	0	0	297	0	0	0	1496	0	0
Mmadhc	198.777778	333	104	224	0	0	427	0	551	150	0
Serpinb9	197.555556	286	209	278	0	0	232	0	231	542	0
Col16a1	197.111111	0	0	0	428	0	0	0	1346	0	0
Plec	196.888889	0	0	0	284	0	0	0	1488	0	0
Ubb	196.444444	332	246	174	0	93	154	0	295	474	0
H3c6	195.444444	0	136	174	101	0	0	0	1212	136	0
Atrnl1	194.777778	0	0	0	478	0	0	0	1275	0	0
Gclm	194.444444	202	157	143	611	119	172	0	0	346	0
Haspin	194.222222	0	0	0	0	0	0	0	1748	0	0
Hacd4	194.222222	0	0	0	141	0	229	0	1378	0	0
Vstm4	193.666667	0	0	0	176	0	0	498	1069	0	0
C1ql1	193.666667	0	0	0	0	0	0	0	1743	0	0
Ypel5	190.333333	281	274	469	0	0	208	0	193	288	0
Ptges3	189.888889	605	0	0	0	103	178	230	336	257	0
Mmp9	189.555556	0	0	0	325	0	0	0	1381	0	0
Washc2	189.111111	0	0	0	0	0	0	0	230	1472	0
Oasl1	188.888889	399	0	0	0	667	634	0	0	0	0
Spns2	188.000000	0	0	0	0	0	0	0	1692	0	0
Zfp963	187.777778	0	0	0	142	0	91	0	1307	150	0
Tbk1	187.222222	126	90	227	0	0	0	0	1242	0	0
Samd11	187.222222	0	0	0	0	0	0	0	1685	0	0
Ulk1	185.333333	0	0	0	187	0	0	0	1481	0	0
Mettl7a1	184.555556	0	0	0	318	0	124	0	937	282	0
Wdyhv1	181.444444	0	0	0	487	0	0	0	1146	0	0
Gstm3	181.444444	263	0	0	212	0	463	0	695	0	0
Ksr1	180.222222	0	0	0	175	0	0	0	1447	0	0
Stk40	180.000000	170	89	0	0	0	218	0	808	335	0
Pkd1	177.333333	142	0	100	0	0	0	0	847	507	0
Loxl3	176.888889	0	0	0	342	0	0	196	1054	0	0
Dok1	176.888889	0	0	0	342	0	0	196	1054	0	0
Gstp1	176.444444	0	0	0	167	0	0	0	1421	0	0
Tef	176.222222	0	0	0	243	0	0	0	752	591	0
Slc16a6	175.888889	0	0	0	198	0	0	0	1385	0	0
Arsg	175.888889	0	0	0	198	0	0	0	1385	0	0
Ikbkg	175.666667	287	123	0	0	0	387	0	279	505	0
G6pdx	175.666667	287	123	0	0	0	387	0	279	505	0
Mcoln2	174.888889	0	0	88	0	0	456	0	1030	0	0
Zwint	174.555556	0	0	102	0	0	141	0	1116	212	0
Vps13b	173.444444	0	0	0	321	0	0	0	1240	0	0
Ppp4r1	173.444444	0	0	0	189	0	0	0	1372	0	0
Ilf3	172.555556	0	0	0	0	0	0	0	0	1553	0
Impact	172.444444	265	0	0	0	0	80	0	805	402	0
Mtf2	172.222222	208	0	152	0	0	443	187	560	0	0
Nf2	170.555556	0	0	0	237	0	0	0	1298	0	0
Rad9a	170.444444	0	0	0	111	0	0	0	751	672	0
Pithd1	170.333333	237	172	174	0	0	0	0	221	729	0
Metrnl	170.333333	0	0	0	0	0	0	0	1533	0	0
Fkbpl	168.555556	380	0	0	0	151	209	0	345	432	0
Atf6b	168.555556	380	0	0	0	151	209	0	345	432	0
St7	168.222222	0	167	117	0	0	101	0	925	204	0
Arih2	168.000000	310	106	235	0	0	439	0	177	245	0
Aspscr1	167.777778	101	112	108	109	0	101	0	979	0	0
Tspo2	167.666667	237	103	0	142	0	0	0	749	278	0
Glrx	167.666667	207	0	0	0	0	110	0	875	317	0
Kmt2d	167.555556	446	0	0	0	0	211	0	653	198	0
Akr1a1	166.444444	274	0	0	0	0	343	0	881	0	0
Eif3d	166.222222	0	0	0	149	0	0	0	1347	0	0
Psme2	165.777778	200	326	230	0	0	174	0	197	365	0
Emc9	165.777778	200	326	230	0	0	174	0	197	365	0
Asf1a	165.666667	172	211	262	0	93	0	0	485	268	0
Armc5	165.666667	0	0	0	157	0	0	0	1334	0	0
9130023H24Rik	165.666667	0	0	0	157	0	0	0	1334	0	0
Mrvi1	165.111111	285	120	112	0	0	388	0	237	344	0
Sesn3	164.555556	0	0	0	305	0	0	0	1176	0	0
Far1	164.444444	0	0	0	290	0	0	0	1190	0	0
Oser1	164.111111	365	0	0	0	162	166	131	214	439	0
Ino80	163.666667	197	0	0	0	0	162	0	601	513	0
Ap2m1	163.555556	0	0	0	282	0	0	0	1190	0	0
Zfp869	163.111111	248	146	0	0	166	114	0	388	406	0
Tnrc18	163.111111	0	0	0	0	0	0	0	1468	0	0
Dnajc28	163.000000	0	0	0	260	0	0	0	1207	0	0
Park7	162.666667	0	0	0	595	0	0	0	869	0	0
Mthfd1l	162.444444	280	135	277	0	0	275	0	122	373	0
Rit1	161.888889	117	299	334	0	0	225	0	482	0	0
Hp1bp3	161.888889	0	0	0	0	0	107	0	1350	0	0
Dthd1	161.666667	0	0	0	326	0	0	0	1129	0	0
Zbtb6	161.444444	0	0	129	242	0	0	0	1082	0	0
Sspn	160.888889	183	0	0	0	148	217	603	0	297	0
Coro6	160.555556	0	0	0	94	0	0	0	1351	0	0
Spg11	160.444444	0	0	0	211	0	0	0	1233	0	0
Katnal1	160.444444	0	0	0	364	0	0	0	873	207	0
Cdc42ep3	159.777778	0	0	67	0	0	0	0	1137	234	0
Tial1	159.333333	0	125	166	195	0	0	0	771	177	0
Pola2	159.333333	407	82	117	0	0	136	0	0	692	0
Oxr1	159.000000	0	0	0	209	0	0	0	1222	0	0
Tmem209	158.777778	193	177	349	0	0	96	0	614	0	0
Ssmem1	158.777778	193	177	349	0	0	96	0	614	0	0
Uck2	158.000000	252	112	176	0	0	169	0	713	0	0
Klhl21	158.000000	183	0	0	0	0	122	125	292	700	0
Rheb	157.666667	154	0	0	0	119	161	110	486	389	0
Smim4	157.555556	0	0	0	0	0	0	0	1418	0	0
Nt5dc2	157.555556	0	0	0	0	0	0	0	1418	0	0
Aldoa	157.444444	0	148	213	127	0	0	91	838	0	0
Wdr91	156.888889	352	61	109	0	0	356	0	362	172	0
Sertad2	156.777778	396	114	136	0	0	285	0	218	262	0
Pusl1	156.777778	154	0	0	185	0	123	0	949	0	0
Acap3	156.777778	154	0	0	185	0	123	0	949	0	0
Zbtb37	156.666667	144	116	103	0	0	213	0	232	602	0
Akna	156.666667	0	0	0	0	0	149	0	1261	0	0
Il12rb1	155.777778	0	0	0	0	0	0	0	1402	0	0
Slc22a23	155.444444	259	196	262	0	0	232	0	0	450	0
Tnpo2	155.111111	0	0	0	190	0	154	0	758	294	0
Dpf2	154.333333	172	134	139	0	0	136	0	502	306	0
Ak1	154.111111	0	0	0	117	0	0	0	1270	0	0
Fdps	153.444444	0	0	0	181	0	0	0	1200	0	0
Sbk1	153.333333	0	0	0	328	0	0	0	1052	0	0
Mafk	152.666667	157	0	0	0	0	151	0	820	246	0
Ly96	152.444444	0	0	0	125	0	0	0	1247	0	0
Tubb4b	152.222222	378	0	0	0	0	176	0	270	546	0
Wdr62	152.111111	0	0	0	0	0	0	0	1282	87	0
Slc11a2	152.000000	0	0	0	156	0	0	0	1212	0	0
Sgo1	151.666667	0	0	0	0	0	0	233	230	902	0
Esr1	151.333333	338	0	0	0	380	276	198	170	0	0
Fam222a	150.888889	0	0	0	0	0	0	0	1358	0	0
Srprb	150.444444	155	0	104	135	0	0	0	759	201	0
Tmx2	150.222222	0	0	0	183	0	0	0	1169	0	0
Med19	150.222222	0	0	0	183	0	0	0	1169	0	0
Ptcd3	149.777778	0	0	0	214	0	0	0	1134	0	0
Polr1a	149.777778	0	0	0	214	0	0	0	1134	0	0
Unkl	149.111111	128	167	129	0	0	193	0	515	210	0
Grk6	148.222222	353	112	106	0	0	154	0	192	417	0
Scrt1	147.777778	0	0	0	0	0	0	0	1330	0	0
Gskip	147.777778	0	0	0	0	0	0	0	1330	0	0
Atg2b	147.777778	0	0	0	0	0	0	0	1330	0	0
Anxa7	147.555556	92	0	112	108	0	0	0	911	105	0
Kansl2	147.222222	125	122	163	0	0	209	0	550	156	0
Rmnd5a	146.777778	0	0	0	171	0	0	0	1150	0	0
Hes1	146.666667	122	0	0	0	0	176	0	1022	0	0
Tmem131l	146.555556	217	132	124	0	0	0	0	139	707	0
Tctex1d4	146.444444	0	0	0	314	0	200	0	804	0	0
Btbd19	146.444444	0	0	0	314	0	200	0	804	0	0
Fbxo30	146.111111	82	394	247	161	0	107	0	324	0	0
Bicdl1	146.111111	0	0	0	0	0	0	0	1315	0	0
Smarcc1	145.666667	0	0	0	257	0	0	0	1054	0	0
Treml4	145.444444	312	0	117	0	73	347	0	0	460	0
Plekho1	145.000000	0	0	0	190	0	0	0	1115	0	0
Spdef	144.444444	0	0	0	213	0	0	0	1087	0	0
Mad1l1	143.888889	0	0	0	0	0	0	0	1295	0	0
Zfp143	143.555556	153	0	0	0	176	155	0	808	0	0
Smim40	141.222222	0	175	109	0	0	0	0	729	258	0
Chpf2	140.333333	150	0	0	0	0	247	0	697	169	0
Rspo1	140.111111	0	0	0	133	0	0	0	1128	0	0
Xkr8	139.888889	345	0	175	0	0	327	0	412	0	0
Dnajb9	139.777778	262	0	0	0	102	123	0	257	514	0
Sord	137.888889	268	0	0	0	0	315	0	658	0	0
Nfia	137.000000	0	0	0	650	0	0	0	583	0	0
Tmcc1	136.333333	227	0	0	0	0	461	0	539	0	0
Poc1b	135.333333	0	0	0	216	0	0	0	1002	0	0
Pak1ip1	135.333333	173	205	430	0	0	171	0	0	239	0
Galnt4	135.333333	0	0	0	216	0	0	0	1002	0	0
Sec61b	135.222222	0	0	0	0	0	0	0	1217	0	0
Alg2	135.222222	0	0	0	0	0	0	0	1217	0	0
Lrrfip2	134.333333	100	179	194	0	0	206	0	379	151	0
BC005537	134.222222	171	0	118	0	0	138	0	417	364	0
Lrrfip1	134.111111	0	0	0	0	0	0	0	1207	0	0
Cnbp	134.111111	226	0	136	0	0	286	0	290	269	0
Hbb-bs	134.000000	201	0	0	0	0	0	0	0	1005	0
Hbb-b1	134.000000	201	0	0	0	0	0	0	0	1005	0
Toporsl	133.666667	0	0	0	142	0	0	0	1061	0	0
Rpl22l1	133.666667	244	0	0	0	0	193	0	375	391	0
Colgalt2	133.222222	0	0	0	0	0	0	0	1199	0	0
Zp3	132.777778	0	0	0	0	78	440	0	478	199	0
Ssc4d	132.777778	0	0	0	0	78	440	0	478	199	0
Cmbl	132.777778	0	0	0	285	0	0	0	910	0	0
Ccdc84	132.555556	0	0	0	96	0	0	0	1097	0	0
Clk1	132.222222	0	0	0	180	0	0	0	1010	0	0
H2-DMa	132.000000	295	0	0	0	0	254	0	426	213	0
Brd2	132.000000	295	0	0	0	0	254	0	426	213	0
Ptdss1	131.777778	98	0	0	0	0	81	0	1007	0	0
Prdx6	131.777778	268	186	142	0	0	178	0	138	274	0
Pgrmc2	131.777778	0	0	0	246	0	0	0	940	0	0
Mterf3	131.777778	98	0	0	0	0	81	0	1007	0	0
Tmem79	131.666667	0	113	102	127	0	0	0	843	0	0
Smg5	131.666667	0	113	102	127	0	0	0	843	0	0
Ryr1	131.666667	0	0	0	0	0	0	201	984	0	0
Clybl	131.666667	141	177	167	0	0	0	0	314	386	0
Pcyox1l	131.111111	0	0	0	381	0	0	0	799	0	0
Csf2ra	130.888889	359	0	0	0	480	251	0	88	0	0
Grsf1	130.777778	0	0	0	225	0	0	0	952	0	0
Tcp11	130.555556	0	0	0	0	0	0	0	999	176	0
Fnbp1	130.222222	0	0	0	137	0	0	188	847	0	0
Tomt	129.111111	0	0	0	0	0	0	0	0	1162	0
Lamtor1	129.111111	0	0	0	0	0	0	0	0	1162	0
Zrsr1	128.000000	125	0	0	0	0	255	178	0	594	0
Commd1	128.000000	125	0	0	0	0	255	178	0	594	0
Angpt1	127.888889	135	0	0	0	0	426	0	590	0	0
Dnm3	127.333333	0	0	0	405	0	0	0	741	0	0
Zfp790	127.000000	133	0	0	0	0	138	0	696	176	0
Zfp566	126.555556	0	107	118	216	0	0	0	698	0	0
Zfp260	126.555556	0	107	118	216	0	0	0	698	0	0
Szrd1	126.555556	0	0	0	236	0	0	0	903	0	0
Napa	126.555556	0	0	0	0	0	0	0	817	322	0
Acot7	126.333333	0	0	0	0	0	153	0	984	0	0
Tulp2	126.222222	379	185	168	0	0	0	0	0	404	0
Nucb1	126.222222	379	185	168	0	0	0	0	0	404	0
Zfp532	125.888889	0	0	0	0	0	0	0	1133	0	0
Zfp598	124.888889	342	0	0	0	252	0	224	306	0	0
Tnp2	124.888889	0	0	0	387	0	0	0	737	0	0
Socs1	124.888889	0	0	0	387	0	0	0	737	0	0
Prm3	124.888889	0	0	0	387	0	0	0	737	0	0
Prm2	124.888889	0	0	0	387	0	0	0	737	0	0
Scml4	124.777778	0	0	0	287	0	0	0	836	0	0
Csnk2a1	124.111111	0	0	0	0	0	127	0	839	151	0
Mfsd1	124.000000	0	0	0	0	0	0	0	0	1116	0
Maz	123.666667	143	78	129	0	0	190	0	573	0	0
Eif4e	123.666667	0	0	0	170	0	0	0	426	517	0
Tspo	123.444444	348	0	112	0	0	106	0	0	545	0
Fbxw8	123.444444	0	0	0	0	0	0	0	1111	0	0
Ei24	123.333333	0	0	0	187	0	0	0	923	0	0
Cisd2	123.222222	0	0	117	0	0	0	0	992	0	0
Pik3r1	122.444444	0	0	0	0	0	0	0	1102	0	0
Gh	122.111111	0	0	0	461	0	0	0	638	0	0
Arhgef4	122.111111	0	0	0	0	0	259	0	840	0	0
Atp6v0c	121.666667	0	0	0	0	0	0	0	0	1095	0
Amdhd2	121.666667	0	0	0	0	0	0	0	0	1095	0
Vmn2r102	121.444444	161	0	0	0	396	536	0	0	0	0
Fgf9	121.444444	0	0	0	0	0	0	0	1093	0	0
Trim80	121.333333	243	0	0	0	0	130	0	719	0	0
Sds	121.000000	0	0	0	234	0	0	0	855	0	0
Pbk	120.888889	0	0	0	108	0	0	138	842	0	0
Tnip3	120.666667	0	0	0	0	0	296	0	790	0	0
Cox16	120.666667	0	0	0	0	0	0	0	1086	0	0
Gzmm	120.444444	197	0	0	0	0	307	0	440	140	0
Cdc34	120.444444	197	0	0	0	0	307	0	440	140	0
Ddx5	120.222222	0	0	0	0	0	0	0	841	241	0
Cep95	120.222222	0	0	0	0	0	0	0	841	241	0
Ring1	120.000000	0	0	0	0	0	0	0	922	158	0
Aadacl2fm1	119.888889	490	0	0	0	0	335	254	0	0	0
Psma1	117.444444	200	0	0	0	0	96	0	401	360	0
Alkbh5	117.444444	310	0	104	0	0	0	0	404	239	0
Zfp407	117.333333	0	226	140	0	0	0	0	690	0	0
Nupr1	117.222222	0	0	0	0	0	0	0	1055	0	0
Gm7244	117.000000	0	0	0	0	0	0	0	1053	0	0
Layn	116.555556	0	0	0	0	0	0	0	1049	0	0
Slc22a4	116.444444	497	0	100	0	0	0	0	0	451	0
Clasp2	116.333333	0	0	0	176	0	0	0	871	0	0
Rtn3	116.222222	0	0	0	284	0	0	0	762	0	0
Trpv4	116.111111	0	0	0	0	0	217	0	828	0	0
Gapdh	116.111111	182	0	0	0	0	316	0	403	144	0
Itga9	115.888889	0	0	0	0	0	0	0	1043	0	0
Kdm6a	115.777778	0	112	249	0	0	0	0	170	511	0
Nrd1	115.111111	0	0	0	0	0	0	0	261	775	0
Scrt2	114.888889	0	0	0	0	0	0	0	1034	0	0
Olfr646	114.888889	0	0	0	301	0	0	0	733	0	0
Arhgdib	114.888889	161	0	0	0	0	265	0	608	0	0
Agfg1	114.888889	0	205	212	0	0	0	0	617	0	0
Pld2	114.777778	0	0	0	0	0	0	168	865	0	0
Olfr522	114.666667	0	0	0	0	0	0	0	1032	0	0
Slc35e2	114.555556	0	0	0	0	0	97	0	934	0	0
Lamp1	114.444444	0	0	0	0	0	0	0	0	1030	0
Slc38a7	114.333333	0	0	0	0	0	0	0	1029	0	0
Fam169a	114.222222	0	0	0	0	0	201	0	827	0	0
Olfr1359	114.111111	0	84	161	0	0	135	0	647	0	0
Zer1	114.000000	155	0	0	0	0	0	0	504	367	0
Igf1	113.888889	0	0	0	0	0	0	0	1025	0	0
Pir	113.000000	402	0	0	0	90	0	0	0	525	0
Pip4p1	112.666667	0	0	0	0	0	0	0	0	1014	0
Psma2	112.555556	252	0	178	0	0	0	0	228	355	0
Mrpl32	112.555556	252	0	178	0	0	0	0	228	355	0
Gm1070	112.555556	0	0	0	173	0	0	0	840	0	0
Zfand5	112.444444	191	229	115	0	0	0	0	329	148	0
Secisbp2	111.888889	193	100	166	0	0	0	0	378	170	0
Cks2	111.888889	193	100	166	0	0	0	0	378	170	0
Ptpn18	111.777778	0	0	0	132	0	0	0	874	0	0
Txnl1	111.666667	212	0	0	0	0	185	100	130	378	0
Fmn1	111.444444	0	0	0	554	0	122	0	327	0	0
Zfp267	111.333333	0	0	0	475	0	0	0	527	0	0
Rilpl2	111.222222	0	0	0	0	0	152	0	849	0	0
Zcwpw1	110.333333	203	127	123	0	0	187	0	353	0	0
Mepce	110.333333	203	127	123	0	0	187	0	353	0	0
Srsf2	110.000000	249	0	0	135	0	223	146	0	237	0
Mfsd11	110.000000	249	0	0	135	0	223	146	0	237	0
Exoc4	110.000000	0	0	0	0	0	0	0	990	0	0
Nfic	109.666667	0	0	0	0	0	0	0	987	0	0
Phf5a	109.555556	0	0	0	129	0	0	0	857	0	0
Aco2	109.555556	0	0	0	129	0	0	0	857	0	0
Sp3	109.444444	0	106	104	0	0	214	0	561	0	0
Pgd	109.222222	108	120	178	0	0	182	0	395	0	0
Mpp4	109.222222	0	0	0	0	0	0	0	983	0	0
Fech	109.000000	237	159	198	0	0	0	0	0	387	0
Nynrin	108.888889	0	0	0	0	0	0	0	980	0	0
Capn12	108.666667	307	174	204	0	0	125	0	0	168	0
Osm	108.555556	0	0	0	0	0	0	0	977	0	0
Olfr1052	108.444444	0	0	0	573	0	0	0	403	0	0
Stard10	108.333333	0	0	0	0	0	0	0	975	0	0
Prr5l	108.222222	0	0	0	0	0	0	0	672	302	0
Gtf2a1	108.222222	0	105	146	0	0	0	0	447	276	0
Oaz1	107.444444	211	108	104	0	0	241	0	0	303	0
Trim25	107.111111	0	104	128	211	0	0	0	521	0	0
Canx	106.555556	261	106	146	0	0	134	0	0	312	0
