Target_genes	Bcl6|Average	SRX094460|Liver	SRX094461|Liver	SRX094462|Liver	SRX094463|Liver	SRX094464|Liver	SRX094465|Liver	SRX094466|Liver	SRX016344|Macrophages	SRX028980|Macrophages	SRX028981|Macrophages	SRX112905|Macrophages	SRX6095747|mESC_derived_neural_cells	SRX6095749|mESC_derived_neural_cells	SRX6095751|mESC_derived_neural_cells	ERX383750|Pancreas	ERX383751|Pancreas	SRX1158860|Tfh	SRX353402|Th9	SRX353403|Th9	SRX1158861|Unclassified	STRING
Il4i1b	117.000000	753	1135	0	269	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf5	117.000000	753	1135	0	269	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp385b	116.750000	447	696	300	0	238	138	0	0	0	0	0	0	0	0	0	0	328	0	0	188	0
Snrpc	115.500000	814	741	305	0	221	0	0	0	0	0	105	0	0	0	0	0	0	0	0	124	0
Crebzf	113.900000	466	484	177	0	0	0	0	0	0	169	86	0	0	225	0	0	380	0	0	291	0
Amt	110.800000	565	932	371	0	0	0	0	0	0	0	231	0	0	0	0	0	117	0	0	0	0
Eci3	110.700000	835	532	175	332	163	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dad1	110.650000	881	644	318	0	233	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Abhd4	110.650000	881	644	318	0	233	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Atp2b2	109.400000	507	769	307	262	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0
Slc4a4	108.850000	884	868	258	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptcd2	108.200000	644	776	224	0	246	99	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0
Mrps27	108.200000	644	776	224	0	246	99	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0
Cdkn1a	107.250000	484	633	169	109	176	344	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0
Taok3	106.550000	618	785	200	240	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	129	0
Ell	105.950000	633	656	352	170	129	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcyl1	105.400000	562	821	225	195	159	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	104.950000	0	0	0	0	0	0	0	0	197	187	368	0	0	0	0	0	164	232	951	0	0
Rnpepl1	104.850000	449	661	130	271	233	219	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0
Csad	103.900000	633	848	265	258	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0
Lcat	103.850000	730	834	237	0	0	165	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Trim6	103.250000	686	196	213	280	261	305	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Prlr	103.200000	1096	431	214	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmb10	103.150000	730	834	237	0	0	165	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0
Hamp	102.200000	141	334	0	514	179	612	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synpo	100.400000	587	796	295	142	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tpcn1	100.150000	878	670	147	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iqcd	100.150000	878	670	147	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B4galnt1	99.000000	551	935	184	199	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Wdr11	98.450000	859	424	350	0	163	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dusp28	98.150000	449	661	130	271	233	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankmy1	98.150000	449	661	130	271	233	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp707	97.450000	609	785	452	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0
St6galnac6	96.200000	666	653	103	0	90	114	0	0	0	0	180	0	0	0	0	0	118	0	0	0	0
Ctbp2	96.100000	512	748	364	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	161	0
Tchhl1	95.450000	559	787	426	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Akt1	94.350000	605	685	0	227	182	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf1	94.100000	270	460	255	0	0	0	0	105	103	0	549	0	0	0	0	0	0	0	140	0	0
Unc93a2	93.800000	721	688	223	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigyf2	93.350000	646	715	186	0	160	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0
A630076J17Rik	92.600000	426	1011	290	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc93a	91.950000	637	696	235	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aoc1	91.900000	634	740	302	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fbxl19	91.600000	599	604	278	0	0	125	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0
Errfi1	90.700000	298	230	0	448	0	415	229	0	0	0	0	0	0	0	0	0	194	0	0	0	0
Ttpa	90.550000	500	551	359	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	135	0
Bmp1	89.950000	670	703	240	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0
Cds2	89.700000	560	588	172	156	0	181	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Apoa5	88.300000	420	323	162	135	126	159	0	0	0	0	214	0	0	0	0	0	117	0	0	110	0
Uhrf1bp1l	87.450000	875	685	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c12	87.350000	122	133	0	138	0	0	0	0	0	0	0	163	232	176	0	0	567	0	0	216	0
Slc16a7	86.700000	640	580	377	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Psmd3	86.600000	451	376	0	0	0	0	0	0	0	0	0	165	240	377	0	0	0	0	123	0	0
Pafah2	86.250000	508	286	168	0	0	0	0	0	0	0	0	90	0	0	0	0	371	0	0	302	0
Slc29a1	85.900000	547	796	220	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gstt3	85.850000	467	693	440	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam25c	85.750000	529	743	277	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpia	85.700000	447	581	228	216	114	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angptl8	85.650000	125	184	0	284	0	584	83	0	0	0	0	0	0	0	0	0	318	0	0	135	0
Vmn2r102	85.350000	0	159	129	0	0	0	0	181	165	0	0	181	200	0	0	0	124	0	0	568	0
Rfx5	83.850000	717	663	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0
Mbl2	83.800000	734	630	210	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsp90b1	82.850000	645	384	265	0	213	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tent5c	82.750000	0	0	0	0	327	0	178	181	0	0	194	0	0	0	0	0	308	0	0	467	0
Tm9sf2	82.200000	359	731	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0
Sspn	81.550000	0	0	0	0	0	0	0	104	85	0	266	0	98	0	0	0	116	198	764	0	0
Cbr3	81.350000	151	0	0	307	0	0	0	0	0	0	0	0	206	213	0	0	461	0	0	289	0
Ski	81.050000	554	553	333	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahsg	79.800000	175	224	140	227	215	365	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gbp7	79.700000	598	199	0	362	0	0	0	65	0	0	370	0	0	0	0	0	0	0	0	0	0
Itih2	79.500000	452	611	363	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
H4c11	79.350000	113	140	0	244	108	0	120	0	0	0	0	144	284	284	0	0	150	0	0	0	0
Gcdh	79.300000	526	630	212	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0
Fam210b	78.200000	281	697	217	160	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crcp	78.150000	428	556	274	115	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0
B4galt1	77.900000	637	361	206	207	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp219	77.000000	254	252	0	0	0	240	0	0	0	0	0	212	164	418	0	0	0	0	0	0	0
Zpr1	76.950000	420	323	162	135	126	159	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0
Hacl1	76.500000	897	320	139	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btd	76.500000	897	320	139	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tle1	76.350000	392	579	274	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agtr1a	75.850000	336	725	264	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Cyp2b9	75.750000	239	400	156	0	0	222	0	0	0	0	0	0	0	0	0	0	376	0	0	122	0
Slc25a51	75.300000	334	716	363	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp25	75.250000	382	388	122	0	346	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pck1	75.150000	221	222	0	225	0	97	268	0	0	0	0	0	0	0	0	0	308	0	0	162	0
Bcl6	75.000000	699	150	0	0	0	0	0	0	0	0	162	193	114	182	0	0	0	0	0	0	0
Prkdc	74.550000	389	274	0	145	0	0	0	277	0	0	246	0	0	0	0	0	160	0	0	0	0
Xpot	74.350000	518	518	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec2d	74.250000	351	296	0	147	142	283	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorbs1	74.150000	0	0	0	0	0	0	0	0	0	0	0	202	260	0	0	0	646	0	0	375	0
H4c3	74.100000	177	204	92	124	116	215	0	0	0	0	0	116	206	232	0	0	0	0	0	0	0
H1f6	74.100000	177	204	92	124	116	215	0	0	0	0	0	116	206	232	0	0	0	0	0	0	0
Cerk	74.100000	409	559	259	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4bc24	74.000000	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
H2bc23	74.000000	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
H2ac24	74.000000	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
H2ac23	74.000000	164	264	0	191	130	226	0	0	0	0	0	0	142	185	0	0	178	0	0	0	0
Ap1m1	74.000000	479	493	115	0	253	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdx1	73.750000	823	335	0	163	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0
Rsad2	73.400000	670	539	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nipal1	73.200000	576	740	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tbc1d10b	73.150000	353	386	207	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	153	141	0
Mylpf	73.150000	353	386	207	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	153	141	0
H2bc6	72.950000	230	244	0	244	0	246	150	0	0	0	0	0	155	190	0	0	0	0	0	0	0
Atp6v0d2	72.900000	278	452	223	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	288	0
Lmnb2	72.650000	0	82	0	0	0	0	0	0	0	0	0	655	125	225	0	0	286	0	0	80	0
Znhit1	72.300000	164	212	0	252	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	335	0
Plod3	72.300000	164	212	0	252	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	335	0
Uckl1	72.200000	420	458	135	112	108	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dapk3	72.200000	214	511	0	0	198	0	0	0	0	0	0	0	133	253	0	0	135	0	0	0	0
Tnfsf14	72.100000	637	557	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin52	72.100000	250	324	0	364	0	297	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0
Aldh6a1	72.100000	250	324	0	364	0	297	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0
Ubc	72.000000	268	167	0	118	284	191	228	0	0	0	0	0	82	102	0	0	0	0	0	0	0
St6gal1	71.600000	432	604	235	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0
Dffb	71.550000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	0	761	0
Cep104	71.550000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	670	0	0	761	0
Spin1	71.500000	397	637	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyl1	71.100000	466	701	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ier2	71.100000	271	469	177	0	0	0	0	0	0	0	0	183	128	194	0	0	0	0	0	0	0
Vwa2	71.000000	474	546	154	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem53	70.950000	382	570	234	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0
Armh1	70.950000	382	570	234	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0
Sult1a1	70.850000	419	718	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bag2	70.850000	360	674	240	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0
Map3k21	70.750000	198	374	188	0	169	94	0	0	0	0	0	0	0	0	0	0	231	0	0	161	0
Cd163l1	70.750000	0	0	0	0	0	0	0	0	0	0	0	234	238	0	0	0	618	0	0	325	0
Tat	70.450000	193	246	0	304	76	209	270	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Dhx35	70.350000	518	623	155	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Il6ra	70.300000	452	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0
Tspan9	69.850000	616	441	0	140	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0
Rassf7	69.550000	548	621	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmntd2	69.550000	548	621	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zkscan14	69.250000	481	231	212	0	374	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Prkacb	69.200000	297	337	160	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	188	0
1810037I17Rik	69.000000	659	0	0	0	0	0	0	0	0	0	0	216	149	356	0	0	0	0	0	0	0
Samd9l	68.700000	348	287	0	168	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	216	0
Prr16	68.700000	360	712	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcat2	68.650000	373	504	211	133	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0
Rhobtb1	68.550000	275	223	0	0	0	0	0	140	154	0	429	0	0	0	0	0	150	0	0	0	0
Acy1	68.550000	109	152	0	0	0	0	0	115	131	0	763	0	0	0	0	0	101	0	0	0	0
Cyp4a31	68.300000	566	586	127	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0
Cyp3a41a	67.900000	583	420	0	177	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0
Mgll	67.750000	374	710	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdk1	67.650000	347	697	159	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Wdr3	67.400000	541	659	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp19	67.350000	440	744	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zkscan6	67.300000	286	411	216	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0
E330021D16Rik	67.000000	466	404	90	216	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptgds	66.700000	441	446	115	221	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
H4c18	66.650000	164	264	0	186	130	128	0	0	0	0	0	0	98	185	0	0	178	0	0	0	0
1600014C10Rik	66.650000	271	281	180	168	0	226	0	0	0	0	0	0	0	0	0	0	97	0	0	110	0
Samd4	66.600000	470	394	236	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0
Myc	66.450000	432	522	246	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lnx1	66.050000	418	687	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fth1	65.900000	551	520	174	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0
Hacd1	65.400000	525	605	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4c4	65.200000	230	244	0	244	0	246	150	0	0	0	0	0	0	190	0	0	0	0	0	0	0
Zkscan5	64.900000	481	231	212	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspe1	64.750000	561	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0
Hspd1	64.750000	561	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0
Fabp1	64.650000	269	445	165	121	0	141	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brpf1	64.600000	434	552	182	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Fndc3a	64.550000	538	528	0	126	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
Rdh16f2	64.450000	496	496	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptpa	63.950000	516	460	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Crat	63.950000	516	460	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0
Sdc4	63.850000	312	431	0	99	0	161	82	0	0	0	0	0	0	0	0	0	192	0	0	0	0
Ing1	63.500000	351	611	209	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0
Mfsd4b5	63.300000	158	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444	0	0	340	0
Vpreb3	63.000000	274	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	115	0
Gm867	63.000000	274	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	115	0
Cyp8b1	62.900000	182	703	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt11	62.650000	316	280	0	85	0	171	0	0	0	0	187	127	0	0	0	0	87	0	0	0	0
Atxn7l1	62.650000	114	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	411	0
Acsl5	62.550000	350	405	180	152	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
Slc35a5	62.500000	414	569	156	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Atg3	62.500000	414	569	156	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Gclm	62.450000	666	276	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kdm5c	62.150000	469	263	101	112	174	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0
Taar1	61.250000	418	491	166	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
Pmf1	61.050000	556	508	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930033H14Rik	61.050000	275	223	0	0	0	0	0	140	154	0	429	0	0	0	0	0	0	0	0	0	0
Serpina3k	60.950000	206	207	0	0	193	460	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp36	60.900000	271	175	0	0	0	144	221	0	0	0	0	0	0	0	0	0	272	0	0	135	0
Zfp395	60.850000	398	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0
Gcnt2	60.750000	329	298	166	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	148	0
Rps29	60.650000	147	0	0	165	0	0	0	370	0	0	186	0	0	0	0	0	0	196	149	0	0
