Target_genes	Prdm1|Average	SRX316287|CD8+_T_cells	SRX1131938|Plasmablasts	SRX1131939|Plasmablasts	SRX885786|Small_intestine	SRX885787|Small_intestine	SRX1465782|Th17_Cells	SRX1465783|Treg	STRING
Prdm16	695.571429	0	442	0	2057	2370	0	0	0
Glul	690.571429	0	1116	0	1688	2030	0	0	0
Nub1	686.571429	0	929	572	1708	1597	0	0	0
Flt3l	680.285714	0	558	348	1635	2221	0	0	0
Zbtb6	674.714286	0	1732	621	1147	1223	0	0	0
Parp4	670.000000	0	710	401	1608	1971	0	0	0
Cenpj	670.000000	0	710	401	1608	1971	0	0	0
Leprotl1	662.857143	0	695	416	1759	1770	0	0	0
Il18bp	657.285714	0	380	177	1929	2115	0	0	0
Trim21	654.428571	0	895	488	1240	1958	0	0	0
Kdm3a	649.428571	0	765	254	1679	1848	0	0	0
Slc12a7	645.714286	0	309	0	2103	2108	0	0	0
Lck	645.714286	0	539	0	1715	2266	0	0	0
Spib	639.857143	0	2748	1731	0	0	0	0	0
Fnip1	637.428571	0	562	0	2196	1704	0	0	0
B9d2	628.857143	0	134	0	2068	2200	0	0	0
Slc37a1	626.142857	0	1036	262	1300	1785	0	0	0
Aars2	625.285714	0	1636	470	1103	1168	0	0	0
Spata32	624.857143	0	1344	309	1142	1579	0	0	0
Srpk2	623.571429	0	844	197	2107	1217	0	0	0
Nr3c2	619.714286	0	687	0	1725	1926	0	0	0
Elac2	616.142857	0	1932	794	683	904	0	0	0
Srsf3	615.142857	0	1321	282	1235	1468	0	0	0
Cltc	612.857143	0	1897	657	676	1060	0	0	0
Wdr59	603.571429	0	1369	424	1204	1228	0	0	0
Csta2	599.571429	0	1016	163	1626	1392	0	0	0
Olfr741	597.714286	0	303	181	1793	1907	0	0	0
Exoc3l4	596.714286	0	290	115	1931	1841	0	0	0
Myc	595.714286	0	920	500	1284	1466	0	0	567
Calm2	595.000000	0	1980	760	669	756	0	0	0
Nfix	593.571429	0	742	0	1513	1900	0	0	0
Marchf5	590.857143	0	411	0	1935	1790	0	0	0
Cpeb3	590.857143	0	411	0	1935	1790	0	0	0
Ccnt2	589.714286	0	754	152	1353	1869	0	0	0
Smarca5	585.000000	0	430	0	1713	1952	0	0	0
Sult1c2	580.285714	0	268	150	1743	1901	0	0	0
Smim14	580.285714	0	1634	501	929	998	0	0	0
Rufy3	574.714286	0	739	348	1299	1637	0	0	0
Psmg4	573.142857	0	883	404	1197	1528	0	0	0
Tasor2	571.857143	0	1263	360	887	1493	0	0	0
Kcnb1	567.428571	0	754	300	1230	1688	0	0	0
Pgam1	566.000000	0	1336	343	925	1358	0	0	0
Serpinb9	564.571429	0	536	277	1422	1717	0	0	0
Zup1	560.714286	0	1532	868	798	727	0	0	0
Tmem125	558.857143	0	774	473	807	965	452	441	0
Trim80	557.714286	0	316	0	1884	1704	0	0	0
Slc45a4	557.571429	0	1698	722	801	682	0	0	0
Abca3	557.000000	0	2500	1399	0	0	0	0	0
Abca17	557.000000	0	2500	1399	0	0	0	0	0
Kcnn4	556.142857	0	2170	1397	145	181	0	0	0
Dnmt3a	556.000000	0	1854	556	875	607	0	0	0
Mllt11	552.285714	0	1367	552	1032	915	0	0	0
Cdc42se1	552.285714	0	1367	552	1032	915	0	0	0
Frmd4a	544.857143	0	684	343	1361	1426	0	0	0
Phc2	541.000000	0	1743	1045	589	410	0	0	0
Wfdc21	539.285714	0	2530	1245	0	0	0	0	0
Tuba1b	539.000000	0	948	290	1063	1472	0	0	0
Uap1	538.428571	0	0	0	1642	2127	0	0	0
Cadps2	535.142857	0	148	0	1652	1946	0	0	0
Grcc10	521.571429	0	1527	267	869	988	0	0	0
Zc3h12a	520.571429	0	269	0	1591	1784	0	0	0
Rnf31	519.857143	0	344	150	1216	1929	0	0	0
Psme2	519.857143	0	344	150	1216	1929	0	0	0
Slc25a22	515.428571	0	592	0	1409	1607	0	0	0
Cnpy3	510.428571	0	2504	1069	0	0	0	0	0
Lamp1	509.000000	0	1052	289	1032	1085	105	0	0
Pard3	502.428571	0	0	0	1452	2065	0	0	0
Smdt1	500.285714	0	1451	632	573	846	0	0	0
Pheta2	500.285714	0	1451	632	573	846	0	0	0
Erap1	499.000000	0	562	357	1085	1489	0	0	0
Znhit1	497.571429	0	312	129	1313	1729	0	0	0
Plod3	497.571429	0	312	129	1313	1729	0	0	0
Gripap1	486.000000	0	902	309	1122	1069	0	0	0
Unc93b1	483.142857	0	1516	842	444	580	0	0	0
Ap1g1	479.142857	0	777	235	1300	1042	0	0	0
Kpna1	478.428571	0	897	895	0	0	782	775	0
Olfr806	476.428571	953	312	603	226	260	474	507	0
Ppp1r37	475.714286	0	0	0	1784	1546	0	0	0
Ggnbp1	474.285714	0	275	214	1376	1455	0	0	0
Bak1	474.285714	0	275	214	1376	1455	0	0	0
Znfx1	471.714286	0	195	0	1148	1959	0	0	0
Hyal2	470.000000	0	331	0	1415	1544	0	0	0
Zfp608	464.857143	0	1221	414	654	965	0	0	0
Ugt2b5	462.428571	0	0	0	1610	1627	0	0	0
Abhd6	462.000000	888	303	541	149	225	593	535	0
Sqle	460.857143	0	124	0	1543	1559	0	0	0
Tspan2	459.428571	0	2580	636	0	0	0	0	0
Trim45	459.428571	0	986	574	874	782	0	0	0
Rbm38	457.428571	0	1967	1235	0	0	0	0	0
Dek	456.142857	0	2334	859	0	0	0	0	0
Txn1	454.142857	0	245	111	1459	1364	0	0	0
Agap2	452.000000	0	0	0	1602	1562	0	0	0
Nbn	451.285714	0	1333	753	461	612	0	0	0
Asmt	451.285714	0	656	311	225	377	870	720	0
Adgrg7	447.000000	0	0	0	1327	1802	0	0	0
Ccbe1	446.571429	0	0	0	1425	1701	0	0	0
Stat1	446.285714	0	925	370	849	980	0	0	0
Asf1a	446.000000	0	475	142	1065	1440	0	0	0
Vps13a	444.428571	0	1699	640	423	349	0	0	0
Rinl	444.000000	0	1744	835	224	305	0	0	0
Nufip1	441.714286	0	714	273	980	1125	0	0	0
Gpalpp1	441.714286	0	714	273	980	1125	0	0	0
Senp7	441.000000	0	368	0	1266	1453	0	0	0
Ccnd3	440.714286	0	2041	631	236	177	0	0	0
Lsg1	440.571429	0	1931	474	423	256	0	0	0
Fgl2	436.428571	0	2027	1028	0	0	0	0	0
Atxn7	435.285714	0	135	0	1145	1767	0	0	0
Cdk5rap3	434.571429	0	471	258	884	1429	0	0	0
Nedd4	434.285714	0	1963	872	205	0	0	0	0
Whamm	434.142857	0	244	0	1017	1778	0	0	0
Fsd2	434.142857	0	244	0	1017	1778	0	0	0
Oas3	432.000000	0	274	250	1242	1258	0	0	0
Etfbkmt	432.000000	0	0	0	1761	1263	0	0	0
Olfr1564	431.142857	0	1332	303	600	783	0	0	0
Cbfa2t3	430.142857	0	2047	964	0	0	0	0	0
Chd3	429.000000	0	0	0	1432	1571	0	0	0
Lif	428.714286	0	189	0	1495	1198	0	119	0
Phykpl	428.000000	0	1095	385	868	648	0	0	0
Esrp1	427.714286	0	0	0	1312	1682	0	0	0
Rita1	425.285714	0	0	0	1223	1754	0	0	0
Ddx54	425.285714	0	0	0	1223	1754	0	0	0
Prkce	425.142857	0	512	152	1090	1222	0	0	0
Tusc2	422.714286	0	0	0	1415	1544	0	0	0
Krt8	422.571429	0	254	0	1155	1549	0	0	0
Bmp2k	422.000000	0	1916	1038	0	0	0	0	0
Dtnbp1	421.142857	0	2053	895	0	0	0	0	0
Rubcn	420.142857	0	1943	998	0	0	0	0	0
H2bc13	420.142857	0	948	321	1025	647	0	0	0
B3gnt3	420.000000	0	351	0	1278	1311	0	0	0
Tedc1	418.000000	0	470	0	1089	1367	0	0	0
Crip1	418.000000	0	470	0	1089	1367	0	0	0
Tnfsf15	417.142857	0	1519	373	624	404	0	0	0
Rps28	416.714286	0	476	551	717	1173	0	0	0
Ndufa7	416.714286	0	476	551	717	1173	0	0	0
Atp8b1	415.285714	0	0	0	1581	1326	0	0	0
Tmod3	412.428571	0	1106	273	760	748	0	0	0
Gse1	412.285714	0	1068	277	698	843	0	0	0
Gns	411.285714	0	1728	628	256	267	0	0	0
Ptms	408.142857	0	119	0	1332	1406	0	0	0
Olig3	405.857143	0	1060	365	807	609	0	0	0
Myrfl	404.428571	0	0	0	1346	1485	0	0	0
Spint1	402.285714	0	134	0	1226	1456	0	0	0
Mlkl	400.714286	0	712	150	1078	865	0	0	0
Tcea3	400.000000	0	177	0	1184	1439	0	0	0
Nampt	398.857143	0	205	0	1185	1402	0	0	0
Esr1	398.142857	702	645	301	627	512	0	0	0
Bcl2l14	395.714286	0	723	112	1017	918	0	0	0
Mpc2	395.571429	0	676	191	897	1005	0	0	0
Dcaf6	395.571429	0	676	191	897	1005	0	0	0
Lrp1	394.714286	0	724	286	844	909	0	0	0
Elmod2	394.285714	0	0	0	1466	1294	0	0	0
Cwf19l2	392.142857	0	157	0	1452	1136	0	0	0
Acot11	391.428571	0	0	0	1437	1303	0	0	0
Ptk2	385.000000	0	1660	763	272	0	0	0	0
Sspn	384.714286	0	342	543	338	574	456	440	0
Lta	384.428571	0	1878	813	0	0	0	0	0
Nckipsd	384.000000	0	1670	665	175	178	0	0	0
Asb13	381.857143	0	1173	427	626	447	0	0	0
Mosmo	381.285714	0	1807	862	0	0	0	0	0
Cdh17	380.857143	0	1833	833	0	0	0	0	0
Hapln4	376.000000	0	465	132	1229	806	0	0	0
Ebf1	375.142857	0	1406	1049	0	171	0	0	0
Uqcrh	374.714286	0	1244	558	422	399	0	0	0
Lrrc41	374.714286	0	1244	558	422	399	0	0	0
Cd274	372.714286	0	1053	478	632	446	0	0	0
Cox10	372.142857	0	637	150	851	967	0	0	0
Dusp10	370.285714	0	699	161	773	959	0	0	0
1700056E22Rik	370.285714	0	699	161	773	959	0	0	0
Il31ra	368.142857	0	586	420	0	249	673	649	0
Trmo	366.714286	0	745	422	748	652	0	0	0
Smad2	366.571429	0	1670	896	0	0	0	0	0
Uvrag	365.142857	0	723	873	343	617	0	0	0
Mrps33	365.142857	0	835	343	509	869	0	0	0
AI661453	364.000000	0	0	0	1073	1475	0	0	0
1700001C19Rik	364.000000	0	0	0	1073	1475	0	0	0
Vwa5a	363.571429	0	388	143	926	1088	0	0	0
Trak1	363.142857	0	1585	461	219	277	0	0	0
Cdc14a	361.000000	0	1447	305	329	446	0	0	0
Tgfbr3	359.428571	0	497	0	942	1077	0	0	0
Grn	359.000000	0	1331	637	351	194	0	0	0
Bcat2	358.714286	0	403	252	826	1030	0	0	0
Psma4	358.571429	0	551	152	850	957	0	0	0
AY074887	358.571429	0	551	152	850	957	0	0	0
Sulf2	357.285714	0	0	0	1154	1347	0	0	0
Zbtb37	355.714286	0	627	354	694	815	0	0	0
Tlr9	355.428571	0	1612	876	0	0	0	0	0
Dnajc27	355.142857	0	950	392	455	689	0	0	0
Hspbp1	353.714286	0	756	298	631	791	0	0	0
Cfap77	352.000000	0	795	396	537	736	0	0	0
Erbb2	351.428571	0	0	0	1103	1357	0	0	0
Hdac10	350.428571	0	1607	846	0	0	0	0	0
Smndc1	350.142857	0	1553	468	159	271	0	0	0
Nucb2	349.428571	0	1869	577	0	0	0	0	0
Elf1	347.714286	0	1006	483	548	397	0	0	0
Efcab2	347.142857	0	822	291	635	682	0	0	0
Ets1	346.857143	0	1386	530	179	333	0	0	0
Rasa1	346.714286	0	711	249	791	676	0	0	0
Ifit3b	345.571429	0	1331	680	250	158	0	0	0
Tcf19	345.142857	0	928	192	585	711	0	0	0
Cchcr1	345.142857	0	928	192	585	711	0	0	0
Vcpip1	344.714286	0	803	326	477	807	0	0	0
Dhx9	343.571429	0	1722	683	0	0	0	0	0
Sh2b3	342.285714	0	1533	748	0	0	115	0	0
Plekha3	340.428571	0	425	0	736	1222	0	0	0
Fkbp7	340.428571	0	425	0	736	1222	0	0	0
Zfp46	340.142857	0	180	0	1006	1195	0	0	0
Slfn1	339.142857	0	1602	772	0	0	0	0	0
Tuba3b	338.857143	0	705	354	657	656	0	0	0
Zfp217	338.142857	0	1960	407	0	0	0	0	0
Wwox	337.428571	889	136	576	0	107	271	383	0
Pdcd6	337.285714	0	567	225	697	872	0	0	0
Mcur1	336.285714	0	948	337	578	491	0	0	0
Snx32	334.285714	0	558	302	817	663	0	0	0
Gbp2	333.142857	0	433	272	873	754	0	0	0
Txn2	332.714286	0	1683	646	0	0	0	0	0
Wls	331.571429	0	473	145	834	869	0	0	0
Pltp	331.571429	0	362	108	860	991	0	0	0
Zfp202	329.857143	0	297	248	957	807	0	0	0
Pear1	329.857143	0	1680	629	0	0	0	0	0
Ttpal	329.428571	0	1337	595	188	186	0	0	0
Phactr4	328.714286	0	1180	229	343	549	0	0	0
Tcf15	328.571429	0	0	0	1129	1171	0	0	0
Rrs1	328.428571	0	1606	426	127	140	0	0	0
Wdfy2	327.857143	0	430	152	736	977	0	0	0
Prickle2	327.571429	0	0	0	1011	1282	0	0	0
Tsc22d1	327.428571	0	0	0	1149	1143	0	0	0
Cnp	327.000000	0	1300	466	271	252	0	0	0
Sap130	326.428571	0	144	0	841	1300	0	0	0
Icosl	326.142857	0	575	88	1036	584	0	0	0
Optn	325.000000	0	0	0	1211	1064	0	0	0
Ttll4	324.428571	0	369	155	712	1035	0	0	0
Rrp9	324.285714	0	1325	590	179	176	0	0	0
Parp3	324.285714	0	1325	590	179	176	0	0	0
Pot1b	323.714286	0	319	200	906	841	0	0	0
Snx10	323.428571	0	1450	442	197	175	0	0	0
Il1rap	323.142857	0	758	194	633	677	0	0	0
Ccdc6	321.571429	0	1150	191	664	246	0	0	0
Btla	321.285714	0	1713	536	0	0	0	0	0
Hrk	320.857143	0	666	247	605	728	0	0	0
A530032D15Rik	320.428571	0	1338	905	0	0	0	0	0
Ptcd2	319.714286	0	459	123	759	897	0	0	0
Mrps27	319.714286	0	459	123	759	897	0	0	0
Smc6	318.714286	0	1024	292	341	574	0	0	0
Gen1	318.714286	0	1024	292	341	574	0	0	0
Nmi	318.571429	0	379	266	739	846	0	0	0
Atad2b	318.000000	0	1220	365	367	274	0	0	0
Zc3h18	317.714286	0	0	0	1073	1151	0	0	0
Pnkp	317.142857	0	1119	368	342	391	0	0	0
Piezo1	317.142857	0	203	0	927	1090	0	0	0
Prelid2	316.285714	0	557	0	593	1064	0	0	0
Max	316.285714	0	555	118	715	826	0	0	0
Serbp1	313.285714	0	1646	547	0	0	0	0	0
Tlr5	313.142857	0	0	0	1029	1163	0	0	0
Rbm43	312.857143	0	625	229	726	610	0	0	0
Pmpcb	312.714286	0	1288	278	265	358	0	0	0
Adar	309.571429	0	205	133	781	1048	0	0	0
Sp4	309.000000	0	834	363	441	525	0	0	0
Arf4	309.000000	0	990	396	490	287	0	0	0
Ell3	308.285714	0	1500	658	0	0	0	0	0
Erlin1	308.142857	0	802	216	560	579	0	0	0
Nup205	307.857143	0	1385	290	205	275	0	0	0
Cep70	307.571429	0	586	276	617	674	0	0	0
Slc37a3	305.000000	0	255	0	894	986	0	0	0
Rab19	305.000000	0	255	0	894	986	0	0	0
Clec2i	304.285714	0	1515	506	0	0	109	0	0
BC035044	304.285714	0	1515	506	0	0	109	0	0
Ube2b	303.571429	0	333	0	553	1239	0	0	0
Rfx7	303.571429	0	919	164	634	408	0	0	0
Cdkl3	303.571429	0	333	0	553	1239	0	0	0
Ly86	303.000000	0	1823	298	0	0	0	0	0
E030030I06Rik	302.857143	0	306	0	792	1022	0	0	0
Iapp	301.714286	0	0	0	882	1230	0	0	0
Cep43	301.571429	0	1308	803	0	0	0	0	0
Cbx5	300.857143	0	1155	335	357	259	0	0	0
Tln1	300.000000	0	339	184	773	804	0	0	0
Creb3	300.000000	0	339	184	773	804	0	0	0
Depdc1b	298.714286	0	713	252	479	647	0	0	0
Dock5	297.142857	0	0	0	972	1108	0	0	0
Ifit3	296.428571	0	1124	643	114	194	0	0	0
Tbc1d1	295.428571	0	879	298	603	288	0	0	0
Arhgef16	295.285714	0	0	0	936	1131	0	0	0
Has3	294.571429	0	116	96	965	885	0	0	0
Treml2	294.000000	0	1572	486	0	0	0	0	0
Nlrp1b	294.000000	0	1455	603	0	0	0	0	0
Zfp318	292.714286	0	1227	462	221	139	0	0	0
Lef1	291.000000	0	717	326	626	368	0	0	0
Trim31	289.428571	0	0	0	1018	1008	0	0	0
Tnpo1	289.428571	0	1488	538	0	0	0	0	0
Sumo1	289.285714	0	551	0	672	802	0	0	0
Enpp4	289.142857	0	0	0	1016	1008	0	0	0
Sh3bp5	287.857143	0	581	121	644	669	0	0	0
Arhgap27	287.428571	0	682	259	561	510	0	0	0
Brd4	287.285714	0	305	0	902	804	0	0	0
Pkmyt1	286.000000	0	437	0	858	707	0	0	0
Tubg1	285.428571	0	1192	419	242	145	0	0	0
Retreg3	285.428571	0	1192	419	242	145	0	0	0
Rgl1	285.142857	0	581	0	602	813	0	0	0
Lgals2	285.000000	0	0	0	870	1125	0	0	0
Gstz1	282.714286	0	0	0	805	1174	0	0	0
S1pr4	282.428571	0	296	0	844	837	0	0	0
Ncln	282.428571	0	296	0	844	837	0	0	0
Ythdf2	280.857143	0	707	0	701	558	0	0	0
Cd2	280.428571	0	1179	784	0	0	0	0	0
Polk	279.857143	0	876	342	217	524	0	0	0
Cert1	279.857143	0	876	342	217	524	0	0	0
Cdc42ep4	279.714286	0	970	311	393	284	0	0	0
Pdlim1	279.428571	0	185	182	939	650	0	0	0
Hivep2	278.714286	0	1455	496	0	0	0	0	0
Spi1	278.571429	0	1130	503	149	168	0	0	0
Bin3	277.571429	0	1270	498	175	0	0	0	0
Nr3c1	276.714286	0	1401	536	0	0	0	0	0
Cyb5a	275.285714	0	379	125	569	854	0	0	0
Nup160	274.857143	0	1453	471	0	0	0	0	0
Gdpgp1	274.857143	0	598	166	704	456	0	0	0
Cib1	274.857143	0	598	166	704	456	0	0	0
Slc39a7	274.285714	0	793	252	441	434	0	0	0
Rxrb	274.285714	0	793	252	441	434	0	0	0
Col11a2	274.285714	0	793	252	441	434	0	0	0
Ogfr	273.714286	0	385	0	589	942	0	0	0
Myl12a	272.428571	0	1243	571	0	93	0	0	0
Nadk2	272.285714	0	277	139	853	637	0	0	0
Trim34a	272.142857	0	777	390	495	243	0	0	0
Dipk1a	271.285714	0	860	226	468	345	0	0	0
Uhmk1	270.571429	0	677	230	533	454	0	0	0
Wdr27	269.857143	0	1201	329	149	210	0	0	0
1600012H06Rik	269.857143	0	1201	329	149	210	0	0	0
Top2b	268.571429	0	1431	449	0	0	0	0	0
Map3k19	268.428571	0	1361	518	0	0	0	0	0
Celf2	268.285714	0	1391	487	0	0	0	0	0
Bank1	267.571429	0	1512	361	0	0	0	0	0
Setd2	267.428571	0	1505	367	0	0	0	0	0
Prdx6	267.000000	0	684	314	469	402	0	0	0
Zbtb22	266.142857	0	319	173	627	744	0	0	0
Tapbp	266.142857	0	319	173	627	744	0	0	0
Sectm1a	266.142857	0	1104	347	224	188	0	0	0
Sypl	265.714286	0	1430	430	0	0	0	0	0
Rnh1	265.285714	0	1422	435	0	0	0	0	0
Ccni	264.714286	0	269	0	581	1003	0	0	0
2010109A12Rik	264.714286	0	269	0	581	1003	0	0	0
Tmem138	263.857143	0	1419	428	0	0	0	0	0
Gm11437	263.857143	0	0	0	966	881	0	0	0
Cyb561a3	263.857143	0	1419	428	0	0	0	0	0
BC029722	263.857143	0	439	149	471	788	0	0	0
Rnf19b	263.571429	0	615	252	615	363	0	0	0
Hsp90ab1	263.142857	0	181	0	556	1105	0	0	0
Plpp2	263.000000	0	308	163	510	860	0	0	0
Cdca7l	262.857143	0	407	0	713	720	0	0	0
Krt20	261.428571	0	0	0	779	1051	0	0	0
Csgalnact2	261.142857	0	127	0	855	846	0	0	0
Rsad2	260.571429	0	875	407	249	293	0	0	0
Atp6v1b1	260.142857	0	0	0	872	949	0	0	0
Saraf	258.000000	0	167	0	836	803	0	0	0
Hnrnpf	257.857143	0	510	0	528	767	0	0	0
Timm10b	257.000000	0	956	359	184	300	0	0	0
Arfip2	257.000000	0	956	359	184	300	0	0	0
Slc39a1	255.714286	0	825	297	415	253	0	0	0
Creb3l4	255.714286	0	825	297	415	253	0	0	0
Zfp944	255.428571	0	373	226	442	747	0	0	0
Zfp758	255.428571	0	373	226	442	747	0	0	0
Hivep1	255.142857	0	438	0	543	805	0	0	0
Sh3kbp1	254.428571	0	707	176	418	480	0	0	0
Pbk	254.142857	0	1080	157	202	340	0	0	0
Nemf	253.428571	0	713	365	218	252	226	0	0
Arhgap17	253.000000	0	1331	440	0	0	0	0	0
Mamstr	252.571429	0	903	307	236	322	0	0	0
Spns1	250.285714	0	610	529	142	471	0	0	0
Hspa1b	250.142857	0	1200	431	120	0	0	0	0
Ifna13	250.000000	0	589	235	192	401	162	171	0
Git1	249.857143	0	742	129	402	476	0	0	0
Ankrd13b	249.857143	0	742	129	402	476	0	0	0
Tap2	249.285714	0	311	130	572	732	0	0	0
Cd22	249.142857	0	1440	304	0	0	0	0	0
Camk2d	249.142857	0	1234	510	0	0	0	0	0
Dock8	248.285714	0	1287	451	0	0	0	0	0
Bcl11a	248.142857	0	128	0	708	901	0	0	0
Sp140	246.857143	0	773	468	261	226	0	0	0
Sp110	246.857143	0	773	468	261	226	0	0	0
Rps20	246.142857	0	317	0	683	723	0	0	0
Ggps1	246.142857	0	127	113	757	726	0	0	0
Arid4b	246.142857	0	127	113	757	726	0	0	0
Hectd2	245.857143	0	240	0	615	866	0	0	0
Map3k5	245.714286	0	1256	153	103	208	0	0	0
Art4	245.428571	0	134	0	758	826	0	0	0
Cmpk2	243.285714	0	939	236	142	386	0	0	0
Adss	242.428571	0	1323	374	0	0	0	0	0
Spef1	240.714286	0	0	0	915	770	0	0	0
Cenpb	240.714286	0	0	0	915	770	0	0	0
Ttc25	240.142857	0	1068	613	0	0	0	0	0
Zkscan1	240.000000	0	634	179	426	441	0	0	0
Sidt2	240.000000	0	1381	299	0	0	0	0	0
Pde1b	239.714286	0	618	375	370	315	0	0	0
Fdft1	239.428571	0	0	0	858	818	0	0	0
Btg1	239.428571	0	1270	406	0	0	0	0	0
Themis2	238.714286	0	1259	412	0	0	0	0	0
Sdk1	238.428571	0	701	0	298	670	0	0	0
Slamf7	238.285714	0	979	689	0	0	0	0	0
Nr1h2	237.000000	0	627	100	415	517	0	0	0
Trmt112	236.571429	0	725	461	202	268	0	0	0
Prdx5	236.571429	0	725	461	202	268	0	0	0
Caprin1	236.142857	0	1224	429	0	0	0	0	0
Lhx8	236.000000	0	0	0	730	922	0	0	0
Vav3	235.000000	0	0	0	781	864	0	0	0
H2bc21	234.571429	0	1225	259	0	158	0	0	0
H2ac21	234.571429	0	1225	259	0	158	0	0	0
H2ac20	234.571429	0	1225	259	0	158	0	0	0
Fbxo40	234.571429	0	1480	162	0	0	0	0	0
Slc15a4	233.857143	0	1017	107	204	309	0	0	0
Mafk	233.857143	0	772	0	564	301	0	0	0
Tnfsf13b	233.571429	0	0	0	971	664	0	0	0
Ciita	233.285714	0	789	163	324	357	0	0	463
