Target_genes	Atf3|Average	SRX15561941|C2C12	SRX122483|Dendritic_Cells	SRX122484|Dendritic_Cells	SRX122485|Dendritic_Cells	SRX122486|Dendritic_Cells	SRX122487|Dendritic_Cells	SRX122488|Dendritic_Cells	SRX122489|Dendritic_Cells	SRX122490|Dendritic_Cells	SRX122491|Dendritic_Cells	SRX122492|Dendritic_Cells	SRX2901300|Macrophages	SRX2901301|Macrophages	SRX2901302|Macrophages	SRX2901303|Macrophages	SRX2901304|Macrophages	SRX450305|Macrophages	SRX450306|Macrophages	SRX450309|Macrophages	SRX475801|Macrophages	SRX475802|Macrophages	SRX475803|Macrophages	SRX475804|Macrophages	SRX475805|Macrophages	SRX475806|Macrophages	SRX8245912|Macrophages	SRX8245913|Macrophages	SRX8245926|Macrophages	SRX8245927|Macrophages	SRX672451|Pancreas	STRING
Opa3	299.233333	0	0	0	0	0	0	0	0	0	0	0	636	1238	1757	2513	2036	0	0	0	0	0	0	0	0	0	0	0	419	171	207	0
Hcar2	297.100000	0	0	0	0	0	0	0	0	0	0	0	649	455	482	1337	1213	0	0	0	0	0	0	0	0	0	1246	630	1805	1096	0	0
Asmt	294.933333	0	0	0	0	0	0	0	0	0	0	0	391	454	406	607	543	113	0	0	816	914	850	810	880	709	419	297	279	186	174	0
Nudt18	294.333333	0	0	0	0	0	0	0	0	0	0	0	991	986	1051	1954	1917	95	0	0	0	0	0	0	0	0	297	0	746	502	291	0
Nfil3	294.100000	0	0	0	0	0	0	0	0	0	0	0	964	646	865	2030	1843	0	0	0	0	0	0	0	0	0	0	0	1494	848	133	0
Iars	291.700000	0	0	0	0	0	0	0	0	0	0	0	1341	1267	890	744	965	0	0	0	0	0	0	0	0	0	1046	212	1442	844	0	0
Dus2	291.566667	0	0	0	0	0	0	0	0	0	0	0	968	1067	1218	1667	1649	100	0	0	0	0	80	0	0	0	0	0	1204	507	287	0
Ddx28	291.566667	0	0	0	0	0	0	0	0	0	0	0	968	1067	1218	1667	1649	100	0	0	0	0	80	0	0	0	0	0	1204	507	287	0
Hgf	290.866667	0	0	0	0	0	0	0	0	0	0	0	721	832	1120	1715	1156	0	0	0	0	0	0	0	0	0	615	108	1473	986	0	0
Lmna	289.266667	0	0	0	0	0	0	0	0	0	0	0	1166	1074	1212	1777	1410	0	0	0	0	0	0	0	0	0	288	0	881	557	313	0
Trib3	288.300000	0	0	0	0	0	0	0	0	0	0	0	666	530	579	1268	1059	270	305	248	761	541	689	0	427	460	0	0	505	182	159	0
Slc1a4	286.133333	0	0	0	0	0	0	0	0	0	0	0	1318	1191	858	939	838	0	0	0	0	0	0	0	0	0	789	288	1389	974	0	0
Zfand2a	285.933333	0	0	0	0	0	0	0	0	0	0	0	951	1351	1746	2251	1632	0	0	0	0	0	0	0	0	0	159	0	231	139	118	0
Nktr	284.466667	0	0	0	0	0	0	0	0	0	0	0	1054	881	1083	1653	1322	0	0	0	0	0	0	0	0	0	520	150	1028	701	142	0
Rcc2	284.066667	0	0	0	0	0	0	0	0	0	0	0	1519	1193	929	1768	1188	0	0	0	0	0	0	0	0	0	335	0	935	448	207	0
Fkbpl	284.033333	0	0	0	0	0	0	0	0	0	0	0	1104	971	1056	1864	1385	0	0	0	0	0	0	0	0	0	137	0	1231	773	0	0
Abhd6	282.466667	0	0	0	0	0	0	0	0	0	0	0	261	174	141	299	232	1036	599	714	932	753	979	660	818	876	0	0	0	0	0	0
Htatip2	282.433333	0	0	0	0	0	0	0	0	0	0	0	1052	701	1230	1893	1725	0	0	0	0	0	0	0	0	0	327	0	971	574	0	0
Dhrs9	282.300000	0	0	0	0	0	0	0	0	0	0	0	1096	928	1220	2182	1480	91	0	0	0	0	0	0	0	0	0	0	967	336	169	0
Slamf9	278.966667	0	0	0	0	0	0	0	0	0	0	0	849	1022	484	1866	1466	0	0	0	0	0	0	0	0	0	627	256	1096	703	0	0
Gramd1b	278.700000	0	0	0	0	0	0	0	0	0	0	0	701	937	854	1545	1275	0	179	0	197	0	222	0	0	0	546	152	1034	595	124	0
Ifitm6	277.233333	0	0	0	0	0	0	0	0	0	0	0	1234	556	942	1418	1204	0	0	0	0	0	0	0	0	0	587	204	1434	738	0	0
Mefv	274.200000	0	0	0	0	0	0	0	0	0	0	0	679	917	1156	1934	1475	0	0	0	0	0	0	0	0	0	319	0	1115	631	0	0
Rbm39	272.966667	0	0	0	0	0	0	0	0	0	0	0	1379	1415	1404	1614	1377	0	0	0	0	0	0	0	0	0	170	0	511	319	0	0
Tas2r143	272.666667	0	0	0	0	0	0	0	0	0	0	0	771	669	883	1346	1022	0	0	0	0	0	0	0	0	0	922	228	1428	911	0	0
Dgkz	271.466667	0	0	0	0	0	0	0	0	0	0	0	921	650	1108	1973	1734	0	0	0	0	0	0	0	0	0	203	107	925	523	0	0
Dlg4	271.433333	0	0	0	0	0	0	0	0	0	0	0	347	360	496	656	468	197	135	192	962	695	980	398	549	666	239	0	551	252	0	0
Tgfbr2	271.400000	0	0	0	0	0	0	0	0	0	0	0	784	784	878	1605	1422	0	0	0	0	0	0	0	0	0	573	200	1202	694	0	0
9930111J21Rik2	271.266667	0	0	0	188	0	0	0	0	0	0	0	483	581	1135	1856	1672	0	0	0	0	0	0	0	0	0	463	104	895	761	0	0
Nlrp3	270.966667	0	0	0	0	0	0	0	0	0	0	0	790	841	915	1140	1140	0	0	0	0	0	0	0	0	0	928	335	1166	874	0	0
Fgd3	268.500000	0	0	0	0	0	0	0	0	0	0	0	997	980	738	1076	1128	0	0	0	0	0	0	0	0	0	759	263	1265	849	0	0
Bbs5	268.100000	0	0	0	0	0	0	0	0	0	0	0	846	858	894	1244	1132	0	0	0	0	0	0	0	0	0	768	270	1248	783	0	0
Uqcrq	268.066667	0	0	0	0	0	0	0	0	0	0	0	1012	907	1128	1904	1690	0	0	0	0	0	0	0	0	0	0	0	693	410	298	0
Gdf9	268.066667	0	0	0	0	0	0	0	0	0	0	0	1012	907	1128	1904	1690	0	0	0	0	0	0	0	0	0	0	0	693	410	298	0
Furin	266.833333	0	0	0	0	0	0	0	0	0	0	0	885	874	1073	1343	952	0	0	0	0	0	0	0	0	0	559	143	1449	634	93	0
Mcemp1	264.600000	0	0	0	0	0	0	0	0	0	0	0	795	825	632	722	577	0	0	0	0	0	0	0	0	0	1187	445	1672	1083	0	0
Slc44a1	264.000000	0	0	0	0	0	0	0	0	0	0	0	740	876	1201	1686	1966	0	0	0	0	0	0	0	0	0	78	0	1012	361	0	0
Rela	263.833333	0	0	0	0	0	0	0	0	0	0	0	1027	1023	1073	1604	1290	0	0	0	0	0	0	0	0	0	296	0	834	614	154	0
Zfp598	262.866667	0	0	0	0	0	0	0	0	0	0	0	1127	720	797	1132	951	0	0	0	227	0	259	0	0	0	418	148	1152	955	0	0
Vrk1	262.766667	0	0	0	0	0	0	0	0	0	0	0	1003	793	496	589	646	0	0	0	0	0	0	0	0	0	1207	454	1574	1121	0	0
Cln3	262.766667	0	0	0	0	0	0	0	0	0	0	0	998	727	1025	2014	1410	0	0	0	0	0	0	0	0	0	361	0	931	417	0	0
Apobr	262.766667	0	0	0	0	0	0	0	0	0	0	0	998	727	1025	2014	1410	0	0	0	0	0	0	0	0	0	361	0	931	417	0	0
C3ar1	262.200000	0	0	0	0	0	0	0	0	0	0	0	963	694	1059	1293	1401	0	0	0	0	0	0	0	0	0	517	187	1210	542	0	0
Slc25a37	261.066667	0	0	0	0	0	0	0	0	0	0	0	813	710	806	1303	1227	0	0	0	0	0	0	0	0	0	425	143	1470	935	0	0
Trib1	260.466667	0	0	0	0	0	0	0	0	0	0	0	883	725	963	1317	1363	0	0	0	0	0	0	0	0	0	600	245	1157	561	0	0
Rmi2	260.433333	0	0	0	0	0	0	0	0	0	0	0	487	385	381	925	832	0	0	0	507	257	388	0	360	254	552	247	1492	746	0	0
Ambp	259.833333	0	0	0	0	0	0	0	0	0	0	0	999	823	943	2011	1683	0	0	0	0	0	0	0	0	0	254	0	670	412	0	0
Lair1	259.266667	0	0	0	0	0	0	0	0	0	0	0	667	928	1155	1561	1365	0	0	0	0	0	0	0	0	0	521	124	826	631	0	0
Flvcr2	258.966667	0	0	0	0	0	0	0	0	0	0	0	816	846	924	1547	1274	0	0	0	0	0	128	0	0	0	371	0	1164	699	0	0
Gcnt2	258.866667	0	0	0	0	0	0	0	0	0	0	0	895	575	682	1311	1403	0	0	0	0	0	0	0	0	0	525	244	1301	720	110	0
Tank	257.666667	0	0	0	0	0	0	0	0	0	0	0	724	473	698	1234	1320	0	0	0	0	0	0	0	0	0	795	377	1369	740	0	0
Slc17a8	257.200000	0	0	0	0	0	0	0	0	0	0	0	683	672	1155	1720	1419	0	0	0	0	0	0	0	0	0	136	0	1300	631	0	0
Egr1	257.000000	0	0	0	0	0	0	0	0	0	0	0	970	788	633	852	801	0	0	0	0	0	0	0	0	0	916	275	1454	862	159	507
Klra2	256.700000	0	0	0	0	0	0	0	0	0	0	0	502	450	1068	1663	1550	0	0	0	0	0	0	0	0	0	500	143	1264	561	0	0
Fadd	256.366667	0	0	0	0	0	0	0	0	0	0	0	740	878	1146	2001	1850	0	0	0	0	0	0	0	0	0	0	0	747	329	0	0
Rmc1	255.633333	0	0	0	0	0	0	0	0	0	0	0	853	802	1118	1808	1655	0	0	0	0	0	0	0	0	0	166	0	839	310	118	0
Sirpb1b	255.600000	0	0	0	0	0	0	0	0	0	0	0	633	539	581	1094	1095	0	0	0	0	0	0	0	0	0	802	532	1513	879	0	0
Srxn1	255.333333	0	0	0	0	0	0	0	0	0	0	0	854	822	906	1730	1598	0	0	0	0	0	0	0	0	0	199	0	700	371	480	0
Irf2	254.900000	0	0	0	0	0	0	0	0	0	0	0	1368	864	875	1282	704	0	0	0	0	0	0	0	0	0	459	231	1036	828	0	0
Fosb	253.000000	0	0	0	0	0	0	0	0	0	0	0	1547	1200	871	1184	896	0	0	0	0	0	101	0	0	0	269	0	732	658	132	0
Ndst1	252.900000	0	0	0	0	0	0	0	0	0	0	0	816	539	776	1321	1084	0	0	0	0	0	0	0	0	0	636	354	1211	704	146	0
Parvb	252.700000	0	0	0	0	0	0	0	0	0	0	0	798	737	927	1612	1463	0	0	0	0	0	0	0	0	0	414	235	946	449	0	0
Txndc2	250.600000	0	0	0	0	0	0	0	0	0	0	0	550	719	950	1926	1891	0	0	0	0	0	0	0	0	0	146	122	716	498	0	0
Akirin2	250.366667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	294	510	708	697	903	929	1055	399	584	819	133	0	194	0	0	0
Fbxw7	250.200000	0	0	0	0	0	0	0	0	0	0	0	200	174	296	384	317	583	234	557	838	746	918	310	562	803	247	0	211	126	0	0
Slc15a3	250.100000	0	0	0	0	0	0	0	0	0	0	0	956	672	683	1746	1467	0	0	0	0	0	0	0	0	0	441	121	814	603	0	0
Sirt2	249.800000	0	0	0	0	0	0	0	0	0	0	0	642	619	700	1494	1261	0	0	0	0	0	0	0	0	0	592	165	1366	655	0	0
Nfkbib	249.800000	0	0	0	0	0	0	0	0	0	0	0	642	619	700	1494	1261	0	0	0	0	0	0	0	0	0	592	165	1366	655	0	0
Cd33	249.766667	0	0	0	0	0	0	0	0	0	0	0	728	348	675	1719	1696	0	0	0	0	0	0	0	0	0	254	0	1373	700	0	0
Tmem33	249.433333	0	0	0	0	0	0	0	0	0	0	0	179	194	232	418	363	291	309	393	801	678	669	221	506	601	309	0	757	562	0	0
Il1b	249.000000	0	0	0	0	0	0	0	0	0	0	0	495	474	658	1793	1583	0	237	167	191	0	292	0	0	0	268	115	777	420	0	0
H1f8	247.666667	0	0	0	0	0	0	0	0	0	0	0	822	939	1116	1642	1647	0	0	0	0	0	0	0	0	0	0	0	857	407	0	0
Olfr806	247.533333	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	1052	693	763	840	764	938	559	783	820	0	0	0	0	0	0
Anxa4	247.366667	0	0	0	0	0	0	0	0	0	0	0	733	501	701	1139	998	0	0	0	0	0	0	0	0	0	507	288	1543	1011	0	0
Mtmr11	247.000000	0	0	0	0	0	0	0	0	0	0	0	1173	1067	1104	1442	1127	0	0	0	0	0	0	0	0	0	313	0	719	465	0	0
Orai2	245.800000	0	0	0	0	0	0	0	0	0	0	0	808	662	783	1154	1195	0	0	0	0	0	0	0	0	0	700	290	1114	668	0	0
Guca2b	243.200000	0	0	0	0	0	0	0	0	0	0	0	539	881	1292	1972	1687	74	0	0	0	0	0	0	0	0	0	0	545	306	0	0
Gsap	243.100000	0	0	0	0	0	0	0	0	0	0	0	642	615	713	1265	1533	0	0	0	0	0	0	0	0	0	590	147	1191	597	0	0
Polr2m	242.333333	0	0	0	0	0	0	0	0	0	0	0	877	598	886	1020	731	0	0	0	0	0	0	0	0	0	782	205	1278	893	0	0
Pxk	242.166667	0	0	0	0	0	0	0	0	0	0	0	695	438	591	1331	1132	0	0	0	0	0	0	0	0	0	833	360	1235	650	0	0
Cd36	240.533333	0	0	0	0	0	0	0	0	0	0	0	552	467	564	1522	1287	0	0	0	0	0	0	0	0	0	690	270	1195	669	0	0
Capg	240.466667	0	0	0	0	0	0	0	0	0	0	0	648	672	797	1320	1280	0	167	144	0	0	0	0	0	0	466	184	969	567	0	0
Atp8b4	239.733333	0	0	0	0	0	0	0	0	0	0	0	925	984	1042	1575	1317	0	0	0	0	0	0	0	0	0	266	0	753	330	0	0
D5Ertd579e	239.166667	0	0	0	0	0	0	0	0	0	0	0	468	536	497	540	419	0	0	0	582	243	295	221	344	363	721	170	1044	732	0	0
Coq5	239.133333	0	0	0	0	0	0	0	0	0	0	0	769	874	786	971	935	0	0	0	0	0	0	0	0	0	638	248	1139	814	0	0
Trcg1	237.966667	0	0	0	0	0	0	0	0	0	0	0	746	658	762	1027	1125	0	0	0	0	0	0	0	0	0	320	0	1705	796	0	0
Lgals3	237.933333	0	0	0	0	0	0	0	0	0	0	0	888	912	1184	1522	808	0	0	0	0	0	0	0	0	0	497	214	718	395	0	0
Taco1	237.800000	0	0	0	0	0	0	0	0	0	0	0	1131	1045	565	888	498	0	0	0	0	0	0	0	0	0	611	187	1146	897	166	0
9930111J21Rik1	237.733333	0	0	0	173	0	0	0	0	0	0	0	396	450	843	1663	1452	0	0	0	0	0	0	0	0	0	395	104	895	761	0	0
Sh2d6	237.666667	0	0	0	0	0	0	0	0	0	0	0	735	503	731	1482	1537	0	0	0	0	0	0	0	0	0	87	0	1410	645	0	0
Fdxr	237.266667	0	0	0	0	0	0	0	0	0	0	0	895	1009	602	661	540	0	0	0	0	0	0	0	0	0	780	223	1374	888	146	0
Nt5dc3	235.800000	0	0	0	0	0	0	0	0	0	0	0	792	888	867	1395	988	0	0	0	0	0	0	0	0	0	476	138	1036	494	0	0
Arid5a	235.600000	0	0	0	0	0	0	0	0	0	0	0	659	633	1270	1720	1379	0	0	0	0	0	0	0	0	0	306	0	516	411	174	0
Ticam1	235.200000	0	0	0	0	0	0	0	0	0	0	0	728	754	1043	1558	1454	0	0	0	0	0	0	0	0	0	286	92	686	303	152	0
Xrcc6	234.633333	0	0	0	0	0	0	0	0	0	0	0	961	1207	879	639	563	0	0	0	154	0	155	0	0	0	422	122	1038	759	140	0
Desi1	234.633333	0	0	0	0	0	0	0	0	0	0	0	961	1207	879	639	563	0	0	0	154	0	155	0	0	0	422	122	1038	759	140	0
Emp3	234.500000	0	0	0	0	0	0	0	0	0	0	0	780	1037	1205	1609	1607	0	0	0	0	0	0	0	0	0	146	0	397	254	0	0
Ccdc114	234.500000	0	0	0	0	0	0	0	0	0	0	0	780	1037	1205	1609	1607	0	0	0	0	0	0	0	0	0	146	0	397	254	0	0
Slc39a13	234.233333	0	0	0	0	0	0	0	0	0	0	0	601	1201	1058	1240	981	0	0	0	0	0	0	0	0	0	476	105	872	493	0	0
Ccr3	233.700000	0	0	0	0	0	0	0	0	0	0	0	653	757	1136	2005	1993	0	0	0	0	0	0	0	0	0	161	0	306	0	0	0
Pitpnb	233.266667	0	0	0	0	0	0	0	0	0	0	0	1239	1227	804	852	610	0	0	0	0	0	0	0	0	0	361	0	1029	678	198	0
Gpr35	232.966667	0	0	0	0	0	0	0	0	0	0	0	621	683	954	1459	1162	0	111	0	0	0	0	0	0	0	429	138	917	515	0	0
Lrrc8d	232.800000	0	0	0	0	0	0	0	0	0	0	0	656	460	429	804	980	0	0	0	0	0	0	0	0	0	959	196	1457	1043	0	0
Tnip1	232.766667	0	0	0	0	0	0	0	0	0	0	0	923	789	575	1079	1111	0	0	0	0	0	0	0	0	0	588	137	1211	570	0	0
Tmem229b	232.633333	0	0	0	0	0	0	0	0	0	0	0	504	748	1018	1571	1414	0	0	0	0	0	0	0	0	0	336	312	812	264	0	0
Evl	232.600000	0	0	0	0	0	0	0	0	0	0	0	235	435	462	1506	1491	0	0	0	0	0	0	0	0	0	607	196	1412	634	0	0
Fcrlb	232.400000	0	0	0	0	0	0	0	0	0	0	0	406	665	1095	1823	1657	0	0	0	0	0	0	0	0	0	0	0	859	467	0	0
Dusp8	232.366667	0	0	0	0	0	0	0	0	0	0	0	627	1039	1137	1887	1485	0	0	0	0	0	0	0	0	0	0	0	305	199	292	0
Slc25a44	231.900000	0	0	0	0	0	0	0	0	0	0	0	417	687	939	1427	1467	0	0	0	0	0	0	0	0	0	298	199	806	717	0	0
Knl1	231.200000	0	168	0	0	0	0	0	0	0	0	0	1144	951	570	647	630	50	0	0	227	164	209	0	0	0	393	145	1058	580	0	0
Rcan1	230.866667	0	0	0	0	0	0	0	0	0	0	0	562	629	881	1654	1455	0	0	0	0	0	0	0	0	0	296	110	925	298	116	0
C5ar1	230.366667	0	0	0	0	0	0	0	0	0	0	0	575	655	718	1316	1347	0	0	0	0	0	0	0	0	0	480	194	1142	484	0	0
Clcn3	229.666667	0	0	0	0	0	0	0	0	0	0	0	787	847	1009	1447	1303	0	0	0	0	0	0	0	0	0	0	0	801	505	191	0
Stmn4	229.500000	0	0	0	0	0	0	0	0	0	0	0	944	728	887	1908	1515	0	0	0	0	0	0	0	0	0	0	0	617	286	0	0
Prr5l	229.466667	0	0	0	0	0	0	0	0	0	0	0	446	502	984	1639	1155	0	196	0	136	0	229	0	0	0	219	0	973	405	0	0
