Target_genes	Mlxipl|Average	SRX15941723|Liver	SRX15941725|Liver	SRX6099407|Liver	SRX6099408|Liver	SRX6099409|Liver	SRX6099410|Liver	SRX6099411|Liver	SRX6099412|Liver	SRX6099413|Liver	SRX6099414|Liver	SRX6099415|Liver	SRX6099416|Liver	SRX6099417|Liver	SRX6099418|Liver	STRING
Laptm4a	881.071429	398	178	0	0	0	0	1201	1445	1132	1587	1574	2148	1197	1475	0
Prdx3	870.642857	649	340	0	0	0	0	1302	1830	1307	1709	1244	1414	995	1399	0
Pbx4	867.928571	772	281	0	95	0	0	1227	1679	1226	1614	1089	1364	1208	1596	0
Dusp4	861.142857	337	108	0	0	0	0	1322	1662	1688	1544	1290	1730	979	1396	0
Vgll4	834.142857	457	375	0	0	0	0	1317	1674	1400	1549	1159	1373	1080	1294	0
Bri3	831.000000	1100	551	208	126	0	0	1389	1387	1358	1616	737	756	1117	1289	0
Sos1	807.357143	763	442	0	102	0	0	988	1492	1070	1560	870	1530	1047	1439	0
Slc30a10	803.428571	906	977	0	0	0	0	1074	1397	1282	1583	694	996	1007	1332	0
Zadh2	801.642857	783	474	0	0	0	0	1186	1386	1162	1538	1053	1632	829	1180	0
Tshz1	801.642857	783	474	0	0	0	0	1186	1386	1162	1538	1053	1632	829	1180	0
Slc25a44	801.285714	1194	809	0	0	0	0	1097	1402	1015	1207	880	1178	1151	1285	0
Dixdc1	800.000000	768	436	0	0	0	0	1377	1783	1362	1745	782	975	882	1090	0
F3	799.428571	1125	747	0	0	0	0	1297	1493	1096	1463	736	1038	960	1237	0
Rmnd5a	797.285714	1098	841	0	0	0	0	1179	1406	1200	1569	866	1135	811	1057	0
Cct8	788.857143	893	523	0	0	0	0	1049	1314	1107	1279	1060	1464	1031	1324	0
Srd5a1	787.571429	207	282	0	0	0	0	1324	1507	1421	1439	1283	1398	917	1248	0
Nsun2	787.571429	207	282	0	0	0	0	1324	1507	1421	1439	1283	1398	917	1248	0
Nme6	780.857143	361	153	0	0	0	0	1100	1401	1178	1413	1133	1551	1105	1537	0
Ahsg	780.642857	1138	648	0	0	0	0	1102	1546	1265	1563	630	1128	743	1166	0
Thumpd3	773.785714	338	258	0	0	0	0	1159	1222	1493	1435	1260	1286	1123	1259	0
Nampt	770.785714	749	406	0	0	0	0	1492	1604	1344	1443	766	1146	795	1046	0
Slc35g1	766.785714	627	559	0	0	0	0	1437	1658	838	1456	842	898	958	1462	0
Zc3h15	765.642857	523	489	0	0	0	0	1360	1453	1080	1444	1206	1320	939	905	0
Tsnax	749.785714	311	289	0	0	0	0	791	1213	1020	1431	1223	1642	1101	1476	0
Slc25a47	747.428571	647	430	0	0	0	0	1079	1241	1235	1205	948	1193	1103	1383	0
Cisd3	746.928571	1100	865	0	0	0	0	1158	1367	1091	1203	992	1091	641	949	0
Csde1	743.214286	716	457	0	0	0	0	1114	1554	1209	1514	779	1290	788	984	0
Thrsp	739.000000	1007	677	0	0	0	0	961	1296	1084	1259	540	836	1318	1368	0
Slc37a4	736.357143	1247	696	0	0	0	0	1123	1249	1063	1249	614	1020	888	1160	0
Elovl6	734.714286	621	469	0	0	0	0	1268	1265	1255	1227	813	994	1046	1328	0
Parp2	730.000000	288	259	108	124	0	0	912	1368	939	1307	1208	1381	1007	1319	0
Ptpmt1	729.214286	472	303	0	0	0	0	1191	1544	970	1406	810	1160	967	1386	0
Smoc1	722.928571	327	285	0	0	0	0	1417	1541	1183	1419	885	1198	696	1170	0
Rpia	714.142857	616	396	0	0	0	0	1150	1296	1120	1447	920	1202	749	1102	0
Sephs2	710.857143	1165	779	0	130	0	0	968	1292	938	1081	667	936	824	1172	0
Fbxl20	710.285714	570	261	0	0	0	0	960	1348	1258	1597	715	1000	951	1284	0
Ppl	710.214286	876	729	0	0	0	0	975	1120	829	1270	1054	1186	759	1145	0
Rorc	699.785714	1355	1157	0	0	0	0	1069	1240	1044	1066	700	695	688	783	0
Prxl2a	686.428571	436	269	0	0	0	0	1288	1486	1108	1316	694	1085	833	1095	0
Rdh1	684.500000	645	319	0	0	0	0	1420	1635	745	1434	611	1096	586	1092	0
Zfp36l2	682.928571	1515	702	0	89	0	0	974	1386	799	921	486	851	815	1023	0
Lima1	677.000000	236	379	0	0	0	0	1348	1441	934	1209	766	1121	882	1162	0
Id2	676.214286	512	352	0	211	0	0	1119	1285	1101	1225	776	911	943	1032	0
Dhrs7	672.928571	930	567	0	174	0	0	942	1063	962	971	880	1063	894	975	0
Ran	668.500000	447	322	0	0	0	0	1023	1208	922	1033	1200	1337	860	1007	0
Eif6	668.142857	642	368	0	77	0	0	630	1249	836	1243	883	1341	974	1111	0
Mid1ip1	658.571429	796	446	0	0	0	0	683	1310	731	1353	746	1223	675	1257	0
Snx8	657.928571	488	370	0	0	0	0	1032	1301	833	1012	1017	1285	725	1148	0
Rnase4	657.571429	446	316	0	0	0	0	1192	1529	939	1240	696	1221	687	940	0
Ang	657.571429	446	316	0	0	0	0	1192	1529	939	1240	696	1221	687	940	0
Slc10a3	655.571429	184	152	0	0	0	0	1242	1448	1269	1291	807	1065	760	960	0
Gm44504	655.571429	184	152	0	0	0	0	1242	1448	1269	1291	807	1065	760	960	0
Spry1	653.785714	157	0	0	0	0	0	1001	1201	1070	1279	1082	1249	881	1233	0
Hmg20b	650.500000	573	421	0	0	0	0	1180	1393	1080	1317	800	837	612	894	0
Gipc3	650.500000	573	421	0	0	0	0	1180	1393	1080	1317	800	837	612	894	0
Lipt1	647.571429	435	246	0	0	0	0	945	1306	1021	1215	917	1164	797	1020	0
Mttp	647.071429	590	280	0	0	0	0	657	866	870	1305	891	1342	867	1391	0
Eef2k	646.857143	561	428	0	0	0	0	1248	1573	1112	1555	370	893	465	851	0
Chdh	646.571429	865	607	0	0	0	0	858	1104	927	1134	679	1017	854	1007	0
Lipg	634.500000	308	212	0	0	0	0	1007	1153	886	1260	930	1236	758	1133	0
Sirt3	634.000000	620	631	0	0	0	0	915	1171	837	1333	664	834	650	1221	0
Psmd13	634.000000	620	631	0	0	0	0	915	1171	837	1333	664	834	650	1221	0
Pank1	630.285714	867	638	0	0	0	0	765	1349	694	1231	693	1062	592	933	0
Nsmf	629.857143	805	445	0	125	0	0	805	1067	739	841	793	1164	868	1166	0
Tm6sf2	628.071429	736	360	0	0	0	0	1019	1336	1032	1483	579	994	487	767	0
Bhlhe40	628.000000	405	292	133	0	0	0	1364	1421	897	1029	994	938	671	648	0
Ccdc33	624.785714	1544	846	0	0	0	0	666	860	678	999	374	867	710	1203	0
Slc35a4	621.642857	323	306	0	135	0	0	870	1369	1131	1147	697	955	852	918	0
Apbb3	621.642857	323	306	0	135	0	0	870	1369	1131	1147	697	955	852	918	0
Pcid2	618.000000	281	190	0	0	0	0	989	1271	1318	1570	749	998	607	679	0
Cul4a	618.000000	281	190	0	0	0	0	989	1271	1318	1570	749	998	607	679	0
Adipor2	615.785714	581	515	0	0	0	0	917	1498	685	986	483	849	854	1253	0
Eif4g1	615.642857	604	534	0	0	0	0	924	1289	960	1173	547	946	602	1040	0
Actb	607.857143	539	259	0	0	0	0	913	1269	1103	1224	754	1162	524	763	0
Sord	607.071429	742	519	0	0	0	0	1263	1345	774	847	635	656	762	956	0
Thsd1	604.500000	821	511	0	0	0	0	643	718	696	1058	1050	1530	660	776	0
Klhdc7a	602.857143	647	410	0	0	0	0	1179	1399	878	1145	612	694	636	840	0
Snrpd3	602.500000	550	382	0	0	0	0	928	1236	953	1164	488	1078	729	927	0
Gucd1	602.500000	550	382	0	0	0	0	928	1236	953	1164	488	1078	729	927	0
Xpot	601.071429	608	542	0	0	0	0	899	1153	732	905	842	963	769	1002	0
Angptl8	599.071429	814	500	0	130	0	0	789	1098	730	745	741	1054	772	1014	0
Gm12500	597.857143	812	432	0	0	0	0	895	902	770	1001	962	1146	614	836	0
Ampd2	597.857143	812	432	0	0	0	0	895	902	770	1001	962	1146	614	836	0
Shpk	593.428571	514	432	0	0	0	0	893	1215	891	1105	563	1131	619	945	0
Ctns	593.428571	514	432	0	0	0	0	893	1215	891	1105	563	1131	619	945	0
Coq8a	592.214286	387	323	0	0	0	0	861	867	765	983	1018	1279	839	969	0
Vpreb3	591.785714	213	0	0	0	0	0	1113	1303	670	952	864	1079	889	1202	0
Gm867	591.785714	213	0	0	0	0	0	1113	1303	670	952	864	1079	889	1202	0
Zfp292	590.857143	345	352	0	0	0	0	1134	1322	971	861	788	837	847	815	0
Ppp1r3b	588.714286	685	544	0	0	0	0	779	1291	739	1041	542	988	509	1124	0
Tcstv3	587.500000	778	550	0	806	302	1157	469	1118	180	925	201	843	230	666	0
Lgals9	587.357143	291	169	0	0	0	0	590	1083	606	1003	757	1356	1019	1349	0
Mxd4	587.071429	316	262	0	0	0	0	767	790	775	1000	1074	1358	800	1077	0
Mllt1	586.642857	898	309	0	0	0	0	1361	1776	838	980	478	547	402	624	0
Gask1a	585.357143	545	156	0	0	0	0	491	585	801	1203	1085	1390	823	1116	0
Taok3	578.571429	611	350	0	0	0	0	854	1133	826	1201	699	805	713	908	0
Suds3	578.571429	611	350	0	0	0	0	854	1133	826	1201	699	805	713	908	0
Rfx5	577.000000	658	347	0	0	0	0	931	1054	723	982	827	1078	695	783	0
Rad50	576.071429	490	436	0	0	0	0	827	1069	808	1008	863	1150	735	679	0
Gadd45g	574.714286	423	532	0	0	0	0	863	1067	682	794	940	1272	701	772	0
Nfe2l2	569.500000	718	466	0	0	0	0	830	1073	805	976	741	906	575	883	0
Hspa9	567.357143	334	394	0	0	0	0	868	1329	778	1056	748	850	619	967	0
Aldob	566.500000	1344	369	0	0	0	0	1006	1430	1037	1259	362	488	268	368	0
Ptgds	565.928571	501	432	0	146	498	575	429	558	684	959	641	961	602	937	0
Cstf1	564.142857	500	416	0	95	0	0	808	1012	790	975	653	949	775	925	0
Aurka	564.142857	500	416	0	95	0	0	808	1012	790	975	653	949	775	925	0
Pbld1	564.000000	575	362	0	0	0	0	860	1236	775	1109	570	693	732	984	0
Trak1	563.785714	558	502	0	0	0	0	885	1049	960	979	765	870	508	817	0
Fam160a2	562.857143	0	0	0	0	0	0	966	1231	1159	1158	878	1186	635	667	0
Cnga4	562.857143	0	0	0	0	0	0	966	1231	1159	1158	878	1186	635	667	0
Wwc2	560.000000	223	250	0	0	0	0	1033	1169	961	1083	867	1023	594	637	0
Yy1	558.428571	206	140	0	0	0	0	959	1250	898	1074	736	804	679	1072	0
Capn9	557.142857	644	394	0	0	0	0	993	1160	1068	1029	530	687	613	682	0
Agt	557.142857	644	394	0	0	0	0	993	1160	1068	1029	530	687	613	682	0
Scaf1	554.785714	533	519	0	0	0	0	869	1017	789	1149	681	924	480	806	0
Rras	554.785714	533	519	0	0	0	0	869	1017	789	1149	681	924	480	806	0
Myoc	554.785714	660	448	0	0	0	0	997	1217	908	1003	310	683	488	1053	0
Tnk2	553.714286	152	148	0	0	0	0	1040	1195	620	761	973	1400	580	883	0
Slc39a6	553.357143	471	160	0	0	0	0	947	997	877	948	785	1061	812	689	0
Elp2	553.357143	471	160	0	0	0	0	947	997	877	948	785	1061	812	689	0
Slc26a1	553.142857	439	374	0	0	0	0	1058	1290	708	1049	498	649	743	936	0
Egln3	553.142857	519	267	0	0	0	0	1026	1160	1186	1350	421	775	401	639	0
Cdc42	548.357143	287	260	0	0	0	0	976	1094	897	1257	734	799	646	727	0
Fnip2	545.285714	708	478	0	0	0	0	872	1093	867	1120	409	480	725	882	0
Gid4	544.928571	261	107	0	0	0	0	717	912	816	995	873	1162	779	1007	0
Fasn	543.000000	525	338	0	0	0	0	790	1062	551	878	1003	938	647	870	0
Irs2	542.500000	463	242	0	0	0	0	922	1120	836	957	476	864	741	974	0
Mbd3	542.071429	539	584	0	0	0	0	844	918	696	913	809	1031	649	606	0
Ints7	541.857143	912	502	0	0	0	0	830	1006	855	1076	731	679	363	632	0
Dtl	541.857143	912	502	0	0	0	0	830	1006	855	1076	731	679	363	632	0
Slc6a13	538.785714	212	200	0	0	0	0	756	1150	791	1105	461	922	760	1186	0
Ppp2ca	528.928571	316	324	0	0	0	0	870	1008	1021	1310	563	778	471	744	0
Aqp4	528.285714	524	286	0	0	0	0	974	1114	757	1084	666	823	470	698	0
Eef2	525.285714	524	584	0	0	0	0	816	966	638	701	674	1015	652	784	0
Rnh1	523.214286	296	269	0	91	0	0	771	982	725	896	700	1157	599	839	0
Jade2	521.000000	259	172	0	0	0	0	788	999	886	1182	725	857	573	853	0
Il17rb	520.857143	865	607	0	0	0	0	858	936	614	860	468	749	566	769	0
Car14	520.071429	530	451	0	0	0	0	985	1184	623	816	680	856	496	660	0
Saa3	516.928571	389	456	0	0	0	0	794	867	560	895	528	1035	701	1012	0
Sec24a	512.785714	422	340	0	0	0	0	994	1064	669	842	622	799	544	883	0
Cdc42ep4	512.642857	580	342	0	0	0	0	1126	1432	654	814	338	617	535	739	0
Vkorc1l1	512.214286	767	375	0	0	0	0	905	740	605	926	583	914	563	793	0
C77080	512.142857	626	455	0	0	0	0	955	1261	683	944	422	418	632	774	0
Tnfaip8l1	511.500000	173	0	0	0	0	0	700	944	886	942	853	1206	721	736	0
Cyp2e1	511.428571	1041	659	0	0	0	0	635	866	792	1013	418	542	488	706	0
Leap2	511.142857	554	241	0	0	0	0	941	936	965	1119	609	732	532	527	0
Zbtb39	510.928571	522	486	0	0	0	0	723	1025	888	1025	405	480	811	788	0
Klf15	510.500000	507	368	0	0	0	0	798	928	616	976	595	734	689	936	0
Dapk2	508.642857	553	494	0	0	0	0	813	1389	636	1024	219	633	529	831	0
Prodh	507.000000	427	369	0	0	0	0	825	1011	565	942	645	927	476	911	0
Zhx1	506.142857	515	343	0	0	0	0	678	820	759	889	806	861	588	827	0
Atf7	505.357143	422	357	0	0	0	0	836	955	591	767	659	931	570	987	0
Necap1	503.642857	361	235	0	0	0	0	744	1326	631	1376	320	818	374	866	0
Slc2a4	503.500000	549	182	0	0	0	0	628	1146	691	1107	670	923	428	725	0
Tedc2	502.857143	594	295	0	0	0	0	679	987	713	877	431	617	806	1041	0
Agpat2	502.285714	680	444	0	0	0	0	713	899	777	783	648	862	511	715	0
Septin9	501.071429	722	464	0	0	0	0	809	855	734	1006	347	566	703	809	0
Ube2q1	500.500000	301	263	0	0	0	0	824	933	743	1035	577	756	684	891	0
Fam131c	500.142857	588	477	0	0	0	0	884	1079	696	1063	458	722	320	715	0
Mup21	499.000000	304	157	0	0	0	0	768	1170	803	952	450	588	758	1036	0
Camsap2	498.428571	264	191	0	0	0	0	737	950	643	957	827	1109	670	630	0
Ropn1l	497.785714	238	174	0	0	0	0	961	1226	656	804	718	799	625	768	0
Gys2	496.357143	660	441	0	0	0	0	739	968	817	813	491	597	616	807	0
Adprh	487.571429	878	399	0	0	0	0	939	990	702	890	435	633	373	587	0
Idh1	487.000000	541	255	0	0	0	0	725	844	569	809	762	955	568	790	0
Atp2b2	486.000000	809	465	0	0	0	0	652	1132	667	904	540	606	380	649	0
Cyp26a1	485.357143	711	440	0	0	0	185	544	950	549	869	492	885	521	649	0
Epp13	484.785714	0	134	0	0	0	0	760	835	753	892	607	862	808	1136	0
Map4k1	484.285714	376	233	0	0	0	0	1016	1270	755	974	408	615	380	753	0
Eif3k	484.285714	376	233	0	0	0	0	1016	1270	755	974	408	615	380	753	0
Opa3	482.571429	587	457	0	0	0	0	679	802	791	703	631	827	568	711	0
Zc2hc1c	482.357143	532	374	0	0	0	0	596	756	888	974	494	833	499	807	0
Acyp1	482.357143	532	374	0	0	0	0	596	756	888	974	494	833	499	807	0
Rnf39	482.000000	731	448	0	0	0	0	643	864	645	845	488	934	398	752	0
Acnat2	480.857143	402	221	0	0	0	0	762	740	879	937	391	904	696	800	0
Xpo7	478.000000	654	511	0	0	0	0	745	1064	834	913	409	619	432	511	0
Tomm20	477.500000	358	325	0	0	0	0	794	959	642	876	635	901	490	705	0
Me1	472.285714	222	208	0	0	0	0	823	1096	450	563	687	1040	721	802	0
Hsf4	471.357143	263	208	0	0	0	0	952	1013	682	975	671	602	553	680	0
Fbxl8	471.357143	263	208	0	0	0	0	952	1013	682	975	671	602	553	680	0
Hspa1l	471.142857	503	363	0	0	0	0	537	822	657	705	609	704	830	866	0
Hspa1a	471.142857	503	363	0	0	0	0	537	822	657	705	609	704	830	866	0
Cited2	468.714286	275	283	0	0	0	0	890	979	579	670	616	867	664	739	0
Gnat1	466.071429	804	516	0	0	0	0	588	821	634	954	560	562	452	634	0
Bsg	463.000000	432	354	0	0	0	0	740	766	670	785	681	826	441	787	0
Mob3c	460.642857	372	399	0	0	0	0	683	874	673	887	589	741	493	738	0
Klb	460.285714	349	201	0	0	0	0	891	1206	564	780	459	678	466	850	0
Pcx	457.857143	365	169	0	0	0	0	612	815	685	833	603	973	506	849	0
Usp36	456.571429	249	259	0	0	0	0	815	911	768	953	552	882	477	526	0
Tgfbr2	456.285714	753	354	0	0	0	0	409	648	723	1095	367	643	563	833	0
Gtf3a	455.142857	445	316	0	0	0	0	844	1002	703	787	505	774	451	545	0
Pikfyve	454.428571	238	102	0	0	0	0	725	844	569	809	762	955	568	790	0
1810055G02Rik	451.000000	365	298	0	0	0	0	647	722	638	747	596	939	547	815	0
Rapgef1	450.285714	374	210	0	0	0	0	764	1123	715	804	380	630	541	763	0
Rtp4	449.642857	463	405	0	0	0	0	334	510	691	818	489	975	614	996	0
Nudt19	448.142857	310	264	0	0	0	0	731	817	820	765	660	742	603	562	0
Zfp141	447.857143	628	614	0	0	0	0	631	964	540	855	451	490	373	724	0
Abhd6	446.000000	0	0	391	556	635	554	602	685	480	513	465	451	399	513	0
Crkl	444.428571	428	224	0	0	0	0	599	760	620	947	712	795	466	671	0
Polr3k	444.214286	132	0	0	0	0	0	558	726	690	905	767	1175	444	822	0
Map4	443.857143	253	252	0	0	0	0	751	908	740	965	437	864	510	534	0
Hes1	443.357143	237	145	0	0	0	0	671	817	693	706	687	909	557	785	0
Mknk1	442.928571	259	119	0	0	0	0	823	993	579	870	725	837	425	571	0
Ddo	442.785714	498	326	0	0	0	0	649	854	580	865	485	746	500	696	0
Usp28	440.500000	397	289	0	0	0	0	772	938	652	972	565	601	446	535	0
Hoga1	439.928571	350	335	0	0	0	0	648	884	670	1018	408	647	459	740	0
Chd9	439.214286	1376	557	0	0	0	0	725	911	541	731	240	366	266	436	0
Gcnt2	439.142857	513	232	0	0	0	0	652	1106	424	813	417	641	528	822	0
Ftl1	437.142857	616	376	0	0	0	0	579	858	526	819	431	676	522	717	0
Tbc1d24	436.928571	260	234	0	0	0	0	969	998	603	753	573	595	524	608	0
Ntn3	436.928571	260	234	0	0	0	0	969	998	603	753	573	595	524	608	0
Crcp	435.642857	702	536	0	0	0	0	439	596	572	570	312	613	751	1008	0
Fgd4	434.785714	386	275	0	0	0	0	541	497	572	842	553	1026	527	868	0
Itprid2	434.285714	732	340	0	0	0	0	787	1075	685	729	232	500	463	537	0
Sfxn5	434.142857	565	337	0	0	0	0	463	761	511	829	581	789	554	688	0
Pcdh12	433.928571	276	94	0	0	0	0	521	772	877	1161	629	795	514	436	0
Bahcc1	433.857143	376	136	0	0	0	0	532	697	649	859	760	783	588	694	0
Rpp14	431.500000	313	192	0	0	0	0	521	994	670	992	528	797	431	603	0
Htd2	431.500000	313	192	0	0	0	0	521	994	670	992	528	797	431	603	0
Glrx3	431.071429	409	276	0	0	0	0	623	699	777	815	607	772	469	588	0
Pip4p1	429.500000	242	150	0	0	0	0	533	897	649	904	534	832	559	713	0
Slc22a1	429.214286	228	0	0	0	0	0	801	822	1016	1410	297	450	399	586	0
Slc25a48	425.428571	902	633	0	0	0	0	590	733	766	699	324	486	375	448	0
Pla2g6	425.357143	380	384	0	0	0	0	642	781	580	909	498	665	573	543	0
Bckdhb	425.285714	819	274	0	0	0	0	701	943	751	938	201	361	403	563	0
Slc6a6	424.428571	627	395	0	0	0	0	685	996	658	545	318	371	622	725	0
G6pc	423.428571	652	395	0	0	0	0	829	1017	523	705	338	378	452	639	0
Ptch1	422.857143	855	641	0	0	0	0	442	568	655	715	559	495	519	471	0
Agtr1a	422.714286	284	0	0	0	0	0	855	1147	689	1048	344	531	415	605	0
Rrm2	422.071429	565	526	0	0	0	0	497	747	360	666	434	516	629	969	0
Pcgf5	421.785714	238	182	0	0	0	0	496	824	621	767	563	816	613	785	0
Mef2d	421.285714	249	253	0	0	0	0	683	974	565	896	450	807	325	696	0
Ldha	420.571429	661	345	0	0	0	0	684	962	450	771	318	535	452	710	0
Tmem125	419.214286	298	328	405	487	459	470	356	617	274	489	318	513	308	547	0
Slc25a13	418.642857	601	436	0	0	0	0	509	821	447	652	547	751	466	631	0
Il4ra	417.928571	745	596	0	0	0	0	544	888	377	776	363	595	394	573	0
Itgb5	414.357143	513	344	0	0	0	0	492	808	466	687	497	978	387	629	0
Tbcb	414.214286	539	473	0	0	0	0	657	791	489	673	364	532	521	760	0
Saysd1	414.214286	318	197	0	0	0	0	643	745	659	971	480	754	388	644	0
Polr2i	414.214286	539	473	0	0	0	0	657	791	489	673	364	532	521	760	0
Ovol3	414.214286	539	473	0	0	0	0	657	791	489	673	364	532	521	760	0
Usp20	413.428571	1021	822	0	0	0	0	349	653	431	754	322	654	330	452	0
BC005624	413.428571	1021	822	0	0	0	0	349	653	431	754	322	654	330	452	0
Nars	413.142857	90	0	0	0	0	0	485	655	607	735	900	1114	556	642	0
Snx10	410.357143	209	93	0	0	0	0	509	696	599	718	703	888	515	815	0
Zfp12	410.285714	175	0	0	0	0	0	530	911	623	689	816	1009	527	464	0
Iws1	410.000000	558	211	0	0	0	0	677	807	586	753	266	490	575	817	0
Umps	407.214286	545	242	0	0	0	0	802	958	659	848	270	331	437	609	0
Acmsd	406.642857	369	349	0	0	0	0	507	931	630	652	382	665	524	684	0
Lekr1	406.571429	370	128	0	0	0	0	832	1063	549	725	453	529	513	530	0
Spag4	405.642857	437	251	0	0	0	0	581	914	633	985	369	595	349	565	0
Pts	405.071429	207	175	0	0	0	0	678	708	653	689	415	959	539	648	0
Bbox1	405.000000	436	264	0	0	0	0	777	1009	506	812	327	413	523	603	0
Arrb2	404.357143	505	232	0	0	0	0	517	830	517	865	533	769	307	586	0
Gpd1	404.214286	525	523	0	0	0	0	870	738	436	586	354	578	432	617	0
Bcar1	404.214286	597	354	0	0	0	0	724	1037	546	754	327	432	312	576	0
Ciart	404.071429	345	165	0	0	0	0	549	797	563	846	616	753	449	574	0
Rabgap1l	402.500000	305	128	0	0	0	0	778	1201	717	961	212	394	405	534	0
Fbxo46	402.357143	209	0	0	0	0	0	618	591	677	707	880	984	489	478	0
Bhmg1	402.357143	209	0	0	0	0	0	618	591	677	707	880	984	489	478	0
Fkbp8	402.071429	1120	642	0	86	0	0	528	858	345	569	278	365	399	439	0
Lap3	401.928571	265	239	0	0	0	0	896	958	728	787	414	459	389	492	0
Tmcc1	400.857143	164	211	0	0	0	0	799	743	691	682	703	654	458	507	0
Top3a	400.428571	142	0	0	0	0	0	453	808	425	702	687	1076	422	891	0
Smcr8	400.428571	142	0	0	0	0	0	453	808	425	702	687	1076	422	891	0
Ilvbl	399.928571	377	262	0	0	0	0	539	655	452	555	482	947	583	747	0
Cxcl1	399.928571	340	208	0	0	0	0	623	945	580	740	394	577	428	764	0
Stom	399.500000	244	221	0	0	0	0	677	741	577	676	641	796	486	534	0
