Target_genes	Hoxc10|Average	SRX7416182|Embryoid_Bodies	SRX7416183|Embryoid_Bodies	SRX7416184|Embryoid_Bodies	SRX7416196|Embryoid_Bodies	SRX7416197|Embryoid_Bodies	SRX7416198|Embryoid_Bodies	SRX7416199|Embryoid_Bodies	SRX9099736|Embryoid_Bodies	SRX9099737|Embryoid_Bodies	SRX9099740|Embryoid_Bodies	SRX9099741|Embryoid_Bodies	SRX3229107|Hindlimb	SRX3229108|Hindlimb	STRING
Olfr958	441.538462	0	0	0	0	0	0	0	1009	1465	1620	1646	0	0	0
Adam28	441.000000	0	0	0	0	0	0	0	1033	1551	1820	1329	0	0	0
Krt222	434.538462	0	0	1526	370	191	439	327	533	860	591	812	0	0	0
Dnah12	433.846154	0	0	0	0	0	0	0	980	1552	1569	1539	0	0	0
Zfp800	431.692308	0	0	0	0	0	0	0	973	1542	1589	1508	0	0	0
Hoxd9	425.538462	0	0	0	0	0	0	0	1294	1488	1252	1498	0	0	0
Meis1	425.153846	0	0	192	0	0	165	0	976	1177	1599	1418	0	0	0
Fzd10	423.769231	0	0	595	130	0	141	0	911	1312	913	1507	0	0	0
Ctbs	420.153846	0	0	218	0	0	0	0	1031	1424	1598	1191	0	0	0
Lrrtm2	418.769231	0	0	525	156	84	249	148	830	1144	1192	1116	0	0	0
Hnrnpd	413.000000	0	0	476	0	0	0	0	985	1363	1108	1437	0	0	0
Slc9b2	411.692308	0	0	2164	498	122	446	371	411	530	482	328	0	0	0
Klhl5	411.692308	0	0	719	147	214	160	143	659	1076	1024	1210	0	0	0
Map4	409.076923	0	0	1917	502	185	330	285	453	857	275	514	0	0	0
Stard3nl	407.076923	0	0	0	0	0	0	0	813	1455	1629	1395	0	0	0
Dsg1c	406.692308	0	0	0	0	0	0	0	806	1653	1466	1362	0	0	0
Tas2r114	404.307692	0	0	0	0	0	0	0	950	1315	1382	1609	0	0	0
Tas2r105	404.307692	0	0	0	0	0	0	0	950	1315	1382	1609	0	0	0
Tas2r104	404.307692	0	0	0	0	0	0	0	950	1315	1382	1609	0	0	0
Serpinb12	400.307692	0	0	0	0	0	0	0	864	1412	1711	1217	0	0	0
Irx1	399.076923	0	76	2268	459	0	369	438	345	591	304	338	0	0	0
Mrps18c	398.615385	0	0	0	0	0	110	111	859	1379	1297	1426	0	0	0
Helq	398.615385	0	0	0	0	0	110	111	859	1379	1297	1426	0	0	0
Olfr155	394.384615	0	0	0	0	0	0	0	919	1366	1550	1292	0	0	0
Map4k5	394.384615	0	193	2650	574	230	492	405	0	292	178	113	0	0	0
Atl1	394.384615	0	193	2650	574	230	492	405	0	292	178	113	0	0	0
Aig1	392.461538	0	0	0	0	0	0	0	662	1415	1607	1418	0	0	0
Gnat3	392.076923	0	0	1650	429	144	389	411	601	628	407	438	0	0	0
Synpo	391.923077	0	436	1752	478	462	653	499	250	179	162	224	0	0	0
Bend4	391.384615	0	106	1638	517	265	311	112	359	699	415	666	0	0	0
Dytn	391.307692	0	0	0	0	0	0	0	1051	1711	950	1375	0	0	0
Atp1b4	391.230769	0	212	1981	557	677	668	419	85	218	135	134	0	0	0
Fcrlb	390.461538	0	0	0	0	0	0	0	875	1255	1608	1338	0	0	0
Mageb16	390.384615	0	0	0	0	0	0	0	1043	1129	1634	1269	0	0	0
Zdhhc2	389.846154	0	140	2212	958	661	563	534	0	0	0	0	0	0	0
Olfr110	389.307692	0	0	0	0	0	0	0	833	1341	1656	1231	0	0	0
Foxn3	388.000000	0	0	1824	532	280	622	467	364	501	230	224	0	0	0
Clec5a	385.846154	0	0	0	0	0	0	0	1010	1384	1314	1308	0	0	0
Art3	384.461538	0	143	2729	418	299	383	408	141	188	126	163	0	0	0
Calu	383.384615	0	0	0	0	0	73	0	884	1308	1347	1372	0	0	0
Pot1a	382.384615	0	0	0	0	0	0	0	853	1388	1478	1252	0	0	0
Olfr788	381.153846	0	0	0	0	0	0	0	641	1377	1762	1175	0	0	0
Gm884	378.076923	0	0	0	0	0	0	0	738	1255	1466	1456	0	0	0
Psd3	376.076923	0	149	1345	497	354	542	443	318	550	156	535	0	0	0
Chd2	375.153846	0	0	193	0	0	218	0	860	1170	1195	1241	0	0	0
Skap1	374.769231	0	0	204	0	0	0	0	869	1466	954	1379	0	0	0
Olfr172	374.384615	0	0	744	0	0	0	0	569	1222	1339	993	0	0	0
Gse1	372.769231	0	118	1124	340	188	350	348	448	709	562	659	0	0	0
Dtna	371.461538	0	0	0	0	0	0	0	1046	1105	1611	1067	0	0	0
Nr6a1	365.769231	0	0	897	184	181	166	94	536	1002	564	1131	0	0	0
Jph1	364.307692	0	0	0	0	0	0	0	773	1280	1520	1163	0	0	0
Popdc3	363.153846	0	0	0	0	0	0	0	762	1381	1353	1225	0	0	0
Fyn	363.076923	0	247	1236	351	352	533	304	565	369	309	454	0	0	0
Pkn2	362.615385	0	0	0	0	0	0	0	940	1140	1307	1327	0	0	0
Clvs2	362.615385	0	0	247	0	0	0	0	641	1223	1232	1371	0	0	0
Ntn1	360.000000	0	0	2418	480	193	441	227	244	242	279	156	0	0	0
Lyrm9	358.692308	0	148	1681	331	263	574	445	384	280	322	235	0	0	0
Iars2	358.230769	0	0	0	0	0	0	0	826	1261	1294	1276	0	0	0
Bpnt1	358.230769	0	0	0	0	0	0	0	826	1261	1294	1276	0	0	0
Smad4	357.307692	0	0	0	0	0	0	0	964	1340	1065	1276	0	0	0
Cntnap2	356.307692	0	0	1378	0	0	234	170	637	758	696	759	0	0	0
Vmn2r65	355.384615	0	0	0	0	0	0	0	966	1339	1195	1120	0	0	0
Cp	354.769231	0	0	0	0	0	0	0	857	1276	1252	1227	0	0	0
Uncx	354.153846	0	0	549	0	0	0	0	595	1144	1265	1051	0	0	0
Chmp3	351.615385	0	0	140	0	90	0	0	812	1297	1098	1134	0	0	0
Vps26c	350.923077	0	0	0	0	0	76	0	735	1328	1175	1248	0	0	0
Glrp1	350.461538	0	143	1874	332	267	261	167	270	427	347	468	0	0	0
Trio	350.230769	0	127	1366	347	295	583	425	306	461	267	376	0	0	0
Zfp663	349.307692	0	0	1056	403	172	376	235	449	658	548	644	0	0	0
Tecrl	347.615385	0	0	138	0	0	0	0	962	1327	1050	1042	0	0	0
Nptx2	347.076923	0	0	379	125	0	158	0	801	1149	713	1187	0	0	0
Rorb	346.538462	0	0	223	0	0	0	0	737	1260	1220	1065	0	0	0
Zc3hav1l	344.000000	0	0	0	0	0	99	132	786	1129	1186	1140	0	0	0
Kpna1	343.615385	190	810	210	374	684	679	600	207	280	230	203	0	0	0
Sft2d1	343.384615	0	0	0	0	0	0	0	1024	1154	1150	1136	0	0	0
Garre1	341.846154	0	113	679	135	0	155	151	526	984	910	791	0	0	0
Man1a2	340.461538	0	0	470	196	0	264	224	667	1026	779	800	0	0	0
Kmt2e	339.923077	0	0	209	0	0	0	0	824	1099	1087	1200	0	0	0
Olfr1248	337.846154	0	0	0	0	0	0	0	748	1172	1418	1054	0	0	0
Lect2	337.230769	0	93	2598	492	272	617	312	0	0	0	0	0	0	0
Cdh12	336.923077	0	0	240	0	0	0	0	772	1165	1157	1046	0	0	0
Olfr1465	336.846154	0	0	0	0	0	0	0	742	1360	1183	1094	0	0	0
Pou3f2	336.153846	0	76	721	213	158	305	194	702	708	711	582	0	0	0
Abcg2	335.923077	0	0	111	0	0	0	0	699	1224	1208	1125	0	0	0
Synj1	334.538462	0	0	0	0	0	0	89	768	1125	1067	1300	0	0	0
Crb1	333.307692	0	277	1479	539	371	581	467	195	188	140	96	0	0	0
Apcs	333.307692	0	0	2178	372	337	463	301	283	169	230	0	0	0	0
Olfr1249	329.076923	0	0	135	0	0	0	0	774	935	1354	1080	0	0	0
Olfr898	328.846154	0	0	357	0	0	0	0	563	1231	1048	1076	0	0	0
Atp5g2	327.230769	0	0	1649	360	166	572	304	273	449	161	320	0	0	0
Zfp292	326.615385	0	0	743	0	86	105	0	720	900	851	841	0	0	0
Tnfsf13b	326.153846	0	0	1854	489	314	652	459	198	192	82	0	0	0	0
Arfgef1	325.538462	0	134	1938	500	201	394	296	253	208	159	149	0	0	0
Anxa10	325.538462	0	0	0	0	0	0	0	652	1205	1166	1209	0	0	0
Oacyl	325.384615	0	128	1159	414	305	430	288	282	540	251	433	0	0	0
Olfr891	325.153846	0	0	140	0	0	0	0	632	1220	1160	1075	0	0	0
Scn1a	324.076923	0	172	1547	519	402	649	500	130	169	0	125	0	0	0
St8sia2	322.230769	0	260	1591	174	0	436	427	327	403	234	337	0	0	0
Csrnp3	322.230769	0	110	1031	424	281	430	368	310	393	364	478	0	0	0
Papss1	321.384615	0	0	0	0	0	0	0	917	1233	977	1051	0	0	0
Tpbg	321.307692	0	0	1529	336	85	223	123	475	517	379	510	0	0	0
Olfr1245	319.076923	0	0	0	0	0	0	0	622	1218	1186	1122	0	0	0
Olfr1158	318.923077	0	0	741	168	0	0	0	561	788	882	1006	0	0	0
Pld5	317.846154	0	0	0	0	0	0	0	900	1047	1133	1052	0	0	0
Hoxc9	317.615385	0	0	0	0	0	0	0	695	1254	943	1237	0	0	0
Smad1	316.384615	0	114	1043	195	226	262	171	361	617	562	562	0	0	0
Tti2	315.692308	0	236	879	468	241	544	427	263	396	325	325	0	0	0
Olfr592	315.153846	0	0	0	0	0	0	0	936	1247	1130	784	0	0	0
Tmf1	313.384615	0	0	0	81	0	0	0	689	1207	1077	1020	0	0	0
Lrrn3	311.615385	0	168	1590	349	232	312	373	207	377	264	179	0	0	0
Hnrnpa1l2-ps2	311.461538	0	0	1616	679	591	681	482	0	0	0	0	0	0	0
Zfp503	311.000000	0	86	1330	548	163	411	522	87	240	148	166	152	190	0
Olfr1019	310.384615	0	0	0	0	0	0	0	516	1212	1196	1111	0	0	0
Hsdl2	309.923077	0	0	879	192	86	226	0	463	679	812	692	0	0	0
Prim2	309.230769	0	0	0	0	0	0	0	834	843	1168	1175	0	0	0
Emcn	308.538462	0	0	1162	0	0	0	138	783	651	791	486	0	0	0
Hoxd3	308.153846	0	122	1376	416	395	504	381	193	384	0	235	0	0	0
Sprr2d	306.230769	0	0	0	0	0	0	0	711	1204	1075	991	0	0	0
Irx2	306.153846	0	0	0	0	0	0	0	791	957	1166	1066	0	0	0
Ctnnd1	306.000000	0	0	183	0	0	0	0	809	980	1023	983	0	0	0
Rbm25	305.461538	0	534	1217	348	269	448	457	206	198	0	116	178	0	0
Pcdhgb7	304.692308	0	0	0	0	0	0	0	638	1005	1201	1117	0	0	0
Pcdhga11	304.692308	0	0	0	0	0	0	0	638	1005	1201	1117	0	0	0
Crp	304.307692	0	117	1549	359	213	377	306	227	304	263	241	0	0	0
Olfr1133	304.000000	0	0	0	0	0	0	0	800	1044	1108	1000	0	0	0
Olfr1311	303.923077	0	0	0	0	0	0	0	849	1199	1040	863	0	0	0
Olfr1240	303.461538	0	0	0	0	0	0	0	691	1078	1240	936	0	0	0
Zfp24	300.384615	0	0	0	0	0	0	0	608	1197	843	1257	0	0	0
Thrb	299.615385	0	87	1137	296	112	243	0	228	591	619	582	0	0	0
9930021J03Rik	299.538462	0	0	441	129	0	0	0	718	808	862	936	0	0	0
Olfr1095	299.000000	0	0	0	0	0	0	0	849	950	990	1098	0	0	0
Oxr1	298.846154	0	0	182	0	0	114	81	493	916	1061	1038	0	0	0
Olfr785	298.846154	0	0	0	0	0	0	0	592	1147	1120	1026	0	0	0
Ppp3ca	298.615385	0	0	761	252	186	282	225	551	564	356	549	156	0	0
Clasp2	297.615385	0	175	1173	576	367	604	457	105	132	184	96	0	0	0
Lpgat1	297.538462	0	156	2586	211	0	546	369	0	0	0	0	0	0	0
Dct	296.538462	0	0	742	239	169	301	226	442	772	384	580	0	0	0
Dlg5	295.923077	0	0	181	0	0	0	0	633	1247	606	1180	0	0	0
Rhbdd1	295.461538	0	0	1665	389	127	127	136	358	350	376	313	0	0	0
Tmem156	294.538462	0	0	1284	113	0	163	108	460	628	632	441	0	0	0
Calcr	293.461538	0	0	0	0	0	0	0	711	1088	1124	892	0	0	0
Mbp	293.384615	0	186	1906	303	172	287	237	228	188	144	163	0	0	0
Snca	293.000000	0	0	853	78	0	0	0	542	1020	528	788	0	0	0
Alyref2	292.769231	0	0	1336	425	591	543	527	162	126	0	96	0	0	0
Copz1	292.538462	0	0	2551	838	0	414	0	0	0	0	0	0	0	0
Prl7a2	292.461538	0	0	0	0	0	0	0	554	1140	1069	1039	0	0	0
Thsd4	291.923077	0	0	1303	0	0	226	145	464	732	386	539	0	0	0
Pik3r4	291.846154	0	0	1999	218	94	426	517	166	211	0	163	0	0	0
Sumf1	288.615385	0	129	813	197	135	305	0	723	459	353	520	0	118	0
Gnao1	288.230769	0	0	0	0	0	0	0	619	1122	985	1021	0	0	0
Prl7c1	287.923077	0	0	0	0	0	0	0	514	852	1461	916	0	0	0
Olfr1217	287.923077	0	0	0	0	0	0	0	557	922	1259	1005	0	0	0
Gsx2	287.384615	0	0	701	0	0	167	141	407	820	439	1061	0	0	0
Sulf1	287.076923	0	0	330	108	0	0	0	575	871	888	960	0	0	0
Zfp317	286.769231	0	0	69	0	0	0	0	605	1037	1089	928	0	0	0
Adh6b	286.769231	0	0	1569	417	220	346	248	207	324	162	235	0	0	0
Olfr466	285.538462	0	0	0	0	0	0	0	461	1115	981	1155	0	0	0
Notch1	282.615385	0	165	1570	380	197	454	346	168	179	0	215	0	0	0
Slc31a2	282.153846	0	0	1903	529	232	364	339	177	124	0	0	0	0	0
Elavl4	282.153846	0	173	987	300	307	434	334	252	314	236	331	0	0	0
Nlgn1	281.384615	0	0	0	0	0	0	0	794	1023	872	969	0	0	0
Pax8	281.230769	0	194	1405	489	373	361	208	267	188	171	0	0	0	0
Pigg	280.538462	0	0	0	0	0	0	0	633	991	886	1137	0	0	0
Klhl42	280.461538	0	0	0	0	0	0	0	564	1094	1321	667	0	0	0
Prdm13	280.307692	0	206	1433	371	139	231	251	184	408	136	285	0	0	0
Hoxd8	279.615385	0	96	920	702	563	700	562	0	0	0	0	92	0	0
Lemd2	279.076923	0	86	1199	589	185	270	193	267	364	169	306	0	0	0
Ikzf5	279.076923	0	0	0	0	0	129	0	667	982	826	1024	0	0	0
Acadsb	279.076923	0	0	0	0	0	129	0	667	982	826	1024	0	0	0
Cemip2	278.307692	0	190	1543	422	208	320	328	139	168	133	167	0	0	0
Cdk12	278.230769	0	0	0	0	0	0	0	702	1001	796	1118	0	0	0
Snx5	277.923077	0	0	131	147	167	296	171	531	772	544	854	0	0	0
Mgme1	277.923077	0	0	131	147	167	296	171	531	772	544	854	0	0	0
Pla2g12b	277.615385	0	0	0	0	0	0	0	615	1046	833	1115	0	0	0
Dbpht2	277.461538	0	0	0	0	0	0	0	607	1004	1029	967	0	0	0
Cbfa2t2	276.923077	0	0	0	0	0	0	0	736	987	672	1205	0	0	0
Olfr812	276.384615	0	0	0	0	0	0	0	698	974	913	1008	0	0	0
Vta1	276.000000	0	143	1286	296	372	343	403	140	227	185	193	0	0	0
Skint11	274.615385	0	0	0	0	0	0	0	555	1103	1073	839	0	0	0
Nt5dc3	273.538462	0	0	154	0	0	0	0	702	957	836	907	0	0	0
Asmt	273.000000	201	286	0	205	155	272	282	187	208	271	134	706	642	0
Trib2	272.461538	0	131	1125	378	287	453	267	131	290	131	200	149	0	0
Lrig3	272.384615	0	0	129	0	0	0	0	694	957	795	966	0	0	0
Ptdss1	272.230769	0	0	88	0	0	97	109	600	892	1004	749	0	0	0
Mterf3	272.230769	0	0	88	0	0	97	109	600	892	1004	749	0	0	0
Krtap19-1	271.923077	0	0	873	352	233	830	484	0	306	214	243	0	0	0
Gm15517	271.538462	0	98	1191	175	0	193	250	500	404	428	291	0	0	0
Rnf217	270.769231	0	0	174	0	0	0	0	430	863	1024	1029	0	0	0
Tmem107	270.615385	0	0	409	177	157	272	113	398	696	627	669	0	0	0
Tas2r125	269.307692	0	0	0	0	0	0	0	633	904	1059	905	0	0	0
Olfr889	268.692308	0	0	0	0	0	0	0	572	941	998	982	0	0	0
Olfr888	268.692308	0	0	0	0	0	0	0	572	941	998	982	0	0	0
Hoxb6	268.384615	0	212	1114	579	410	724	450	0	0	0	0	0	0	0
Gab2	268.307692	0	0	646	0	0	109	0	572	777	615	769	0	0	0
Olfr1250	267.846154	0	0	0	0	0	0	0	499	996	1103	884	0	0	0
Vnn1	267.461538	0	0	0	0	0	0	0	549	881	1102	945	0	0	0
Tob1	266.769231	0	89	1083	245	119	193	227	334	489	276	413	0	0	0
Mttp	266.384615	0	0	98	0	0	110	0	547	1120	651	937	0	0	0
Cd28	266.307692	0	0	0	0	0	0	0	487	1018	887	1070	0	0	0
Cacna1c	265.538462	0	0	418	0	0	152	0	673	938	282	989	0	0	0
Mllt3	265.307692	0	132	1541	487	162	385	480	133	0	0	129	0	0	0
Htr1f	264.461538	0	0	0	0	0	0	0	592	866	1131	849	0	0	0
Igip	263.461538	0	0	0	0	0	0	0	625	868	955	977	0	0	0
Tle3	263.230769	0	123	1210	304	229	394	258	225	243	153	283	0	0	0
Olfr27	263.230769	0	0	0	0	0	0	0	675	943	771	1033	0	0	0
Marveld3	262.461538	0	0	1261	240	152	317	150	344	345	153	450	0	0	0
Pde4b	261.846154	0	0	270	0	0	0	0	494	945	831	864	0	0	0
Acer3	261.538462	0	0	0	0	0	0	0	645	856	950	949	0	0	0
Olfr1136	260.000000	0	0	0	0	0	0	0	704	749	925	1002	0	0	0
Fbxo22	259.692308	0	0	0	0	0	0	0	550	1049	840	937	0	0	0
St8sia4	259.538462	0	0	1751	146	0	294	172	260	266	338	147	0	0	0
Sema6d	259.461538	0	0	1023	0	0	153	178	567	537	459	456	0	0	0
Tmem125	259.230769	83	210	130	147	89	409	534	157	238	162	0	572	639	0
Olfr137	258.923077	0	0	0	0	0	0	0	621	1013	827	905	0	0	0
Fer	258.769231	0	0	1224	122	0	119	90	335	561	347	566	0	0	0
Grid2	258.538462	0	0	1042	420	282	398	253	0	374	293	299	0	0	0
Vmn1r236	258.307692	0	0	0	0	0	0	0	629	982	973	774	0	0	0
Snap25	258.153846	0	0	280	0	0	0	0	631	833	759	853	0	0	0
Vmn2r35	256.846154	0	0	0	0	0	0	0	294	1099	978	968	0	0	0
Slc6a15	256.615385	0	0	0	0	0	0	0	472	934	952	978	0	0	0
Abhd6	256.538462	834	830	170	307	383	413	398	0	0	0	0	0	0	0
Aff3	256.230769	0	0	892	123	0	291	138	298	544	470	575	0	0	0
G2e3	255.692308	0	0	2038	309	92	368	150	99	146	0	122	0	0	0
Cbx5	255.615385	0	0	292	0	0	95	0	577	665	948	746	0	0	0
Serpinb8	255.076923	0	0	628	0	0	0	0	400	852	689	747	0	0	0
Ero1a	253.769231	0	0	0	0	0	0	0	535	1032	747	985	0	0	0
Dcbld2	253.461538	0	122	1593	308	190	117	269	213	186	297	0	0	0	0
Pheta1	252.000000	0	0	0	0	0	0	0	570	857	1178	671	0	0	0
Rgs2	251.923077	0	0	0	0	0	0	0	469	911	907	988	0	0	0
Mitf	250.615385	0	0	686	193	0	335	148	519	468	603	306	0	0	0
Plch1	250.538462	0	0	1143	179	150	257	225	297	361	303	342	0	0	0
Mgmt	250.000000	0	0	184	0	0	0	0	538	821	733	974	0	0	0
Nxph2	249.000000	0	0	0	0	0	0	0	481	781	905	1070	0	0	0
Exoc6b	249.000000	0	0	503	0	0	0	99	602	917	453	663	0	0	0
Ttr	248.538462	0	0	1184	0	0	0	0	407	601	621	418	0	0	0
Zc3h12c	248.384615	0	0	839	326	322	266	169	250	390	287	380	0	0	0
Mrps9	247.923077	0	0	0	0	0	0	0	562	936	858	867	0	0	0
Atp11c	247.692308	0	0	176	0	0	0	0	571	746	956	771	0	0	0
Pla2g2d	246.615385	0	0	1349	167	179	163	217	376	280	282	193	0	0	0
C3ar1	246.230769	0	0	0	0	0	0	0	466	939	906	890	0	0	0
Olfr619	245.846154	0	0	0	0	0	0	0	364	946	1045	841	0	0	0
Myo10	245.615385	0	0	531	185	132	269	171	377	847	221	460	0	0	0
Lrrc19	245.384615	0	0	0	0	0	0	0	682	906	561	1041	0	0	0
Oxnad1	244.461538	0	203	1450	291	103	437	306	145	119	124	0	0	0	0
