Target_genes	Arnt|Average	SRX6386420|4T1	SRX6386421|4T1	SRX6386422|4T1	SRX6386423|4T1	SRX8844237|EpiSC	SRX8844238|EpiSC	SRX8844239|EpiSC	SRX8844240|EpiSC	SRX6386412|ES_cells	SRX6386413|ES_cells	SRX6386414|ES_cells	SRX6386415|ES_cells	SRX6386416|ES_cells	SRX6386417|ES_cells	SRX6386418|ES_cells	SRX6386419|ES_cells	STRING
Hikeshi	910.937500	2078	2591	1923	1588	0	0	0	0	570	530	951	932	677	865	1000	870	0
Hk2	897.625000	1809	2489	2002	1514	0	0	0	0	511	745	1159	1085	608	661	923	856	0
Kdm6b	888.500000	2152	2529	2103	1847	0	0	0	0	270	356	1218	761	584	673	723	1000	0
Mettl23	872.562500	2246	2482	1950	1702	0	0	0	0	255	320	1144	693	647	556	776	1190	0
Bhlhe40	871.625000	1557	1720	1353	1052	0	0	0	0	227	658	1290	1116	1033	976	1468	1496	0
G2e3	867.625000	1699	2329	1374	1346	0	0	0	0	314	506	1074	922	1026	978	1146	1168	0
Gabpb2	865.312500	2151	2580	2302	1996	0	0	0	0	342	517	993	759	468	484	535	718	0
Zfp292	860.625000	2042	2578	1762	1791	0	0	0	0	433	441	904	935	483	723	849	829	0
Nampt	856.375000	1899	2503	1521	1236	0	0	0	0	195	552	1204	904	660	780	1071	1177	0
Mrpl45	841.750000	1897	2350	1906	1668	0	0	0	0	394	346	1224	847	579	538	767	952	0
Gapdh	836.312500	1785	1823	1563	1734	0	0	0	0	202	400	1058	772	778	792	1219	1255	0
Asph	833.125000	2158	2788	1709	1502	0	0	0	0	128	379	972	899	644	595	665	891	0
Map3k1	831.000000	2183	2505	1889	1783	0	0	0	0	208	356	870	800	389	696	814	803	0
Slc2a1	824.250000	1683	1752	1506	1393	0	0	0	0	319	544	954	825	905	856	1114	1337	0
Atxn7l2	810.187500	1839	2582	1660	1589	0	0	0	0	338	540	1013	834	651	414	706	797	0
Ndufa4l2	809.687500	0	0	0	0	0	0	0	0	954	926	2355	1808	1544	1563	1838	1967	0
Pfkp	807.875000	1884	2528	1531	1412	0	0	0	0	230	359	1040	794	423	592	1033	1100	0
Espn	805.750000	1853	2459	1565	1422	0	0	0	0	98	417	951	546	800	864	1158	759	0
Naa16	798.000000	1849	2492	1798	1499	0	0	0	0	281	404	817	449	632	685	848	1014	0
Mif	797.625000	1647	1964	1427	947	0	0	0	0	251	797	1267	1093	738	703	908	1020	0
Sap30	792.250000	2037	2527	2066	2007	0	0	0	0	178	249	646	356	781	466	472	891	0
Mthfd1l	789.000000	2130	2445	1922	1465	0	0	0	0	398	383	1132	636	410	458	627	618	0
Cldn34d	787.187500	1115	2056	1371	358	1720	1680	1503	1606	0	190	135	129	0	308	231	193	0
Pkp2	784.687500	2042	2729	1979	1858	0	0	0	0	0	258	714	424	503	524	722	802	0
Lonp1	784.687500	2074	2406	1959	1732	0	0	0	0	206	366	944	482	326	571	634	855	0
Catsperd	784.687500	2074	2406	1959	1732	0	0	0	0	206	366	944	482	326	571	634	855	0
Mfsd8	783.000000	1663	2296	1531	1264	0	0	0	0	607	610	1189	951	584	468	650	715	0
Kdm4b	782.312500	1541	2244	1485	1353	0	0	0	0	388	458	1098	1004	611	684	862	789	0
Pcgf5	779.375000	1756	2260	1426	1211	0	0	0	0	332	425	751	568	932	759	910	1140	0
Cbln3	750.375000	1383	2198	1312	1226	0	0	0	0	221	317	1143	959	637	442	1016	1152	0
Atp11b	748.750000	1944	2576	1764	1260	0	0	0	0	177	227	722	573	582	623	651	881	0
Kank3	741.937500	0	220	0	0	0	0	0	0	928	1180	2096	1407	1501	1292	1785	1462	0
Aoc3	737.312500	0	0	0	0	0	0	0	0	925	1227	2418	2003	958	1150	1515	1601	0
Hilpda	730.500000	2069	2304	2086	1990	0	0	0	0	98	265	602	343	330	403	630	568	0
Wsb1	721.937500	1799	2532	1784	1415	0	0	0	0	284	447	720	582	391	388	537	672	0
Efna1	720.562500	1877	2454	1940	1613	0	0	0	0	197	385	644	358	359	493	403	806	0
Tpi1	718.125000	1428	1943	1209	961	0	0	0	0	404	652	1334	1022	452	572	635	878	0
Spsb2	718.125000	1428	1943	1209	961	0	0	0	0	404	652	1334	1022	452	572	635	878	0
Plekha2	716.625000	2047	2389	1781	1621	0	0	0	0	116	194	508	394	387	718	597	714	0
Tcp1	703.187500	2331	2687	1955	1900	0	0	0	0	151	167	298	319	343	316	346	438	0
Mrpl18	703.187500	2331	2687	1955	1900	0	0	0	0	151	167	298	319	343	316	346	438	0
P4hb	696.625000	1780	2188	1729	1631	0	0	0	0	268	160	752	674	338	435	467	724	0
Dnmt3l	690.812500	247	1158	385	291	0	0	0	0	533	815	1141	1290	1220	911	1634	1428	0
Triobp	688.625000	1777	1833	1598	1583	0	0	0	0	243	271	773	418	651	523	538	810	0
Nadk2	686.625000	1800	2376	1672	1504	0	0	0	0	101	336	770	504	408	410	499	606	0
Iba57	678.000000	1906	2447	1745	1542	0	0	0	0	137	299	563	298	314	278	718	601	0
Ddit4	676.187500	1236	1725	1035	932	0	0	0	0	320	537	1075	769	589	638	911	1052	0
Ywhae	674.000000	1167	1969	1084	803	0	0	0	0	389	384	982	607	574	767	1017	1041	0
Ak4	672.125000	1436	2049	1235	927	0	0	0	0	388	500	1026	890	446	483	784	590	0
Vdac1	662.875000	1774	2486	1648	1838	0	0	0	0	0	243	516	319	507	451	371	453	0
Me2	662.125000	2027	2578	1795	1819	0	0	0	0	162	242	362	419	213	181	315	481	0
Ldc1	660.062500	792	1163	560	353	0	0	0	0	252	488	814	708	985	1221	1453	1772	0
Rnf7	640.812500	2158	2424	1860	1614	0	0	0	0	110	206	490	296	221	348	263	263	0
Foxo3	640.062500	1796	2276	1538	1142	0	0	0	0	145	134	620	455	428	402	686	619	0
Rbpj	634.250000	2464	2471	2244	2225	0	0	0	0	0	143	152	0	0	0	155	294	0
Atr	632.375000	1832	2539	1340	1279	0	0	0	0	159	225	397	314	402	377	747	507	0
1700065D16Rik	632.375000	1832	2539	1340	1279	0	0	0	0	159	225	397	314	402	377	747	507	0
Anxa2	631.812500	1461	1832	1287	1241	0	0	0	0	151	338	649	455	494	654	639	908	0
Kmt5b	631.750000	1569	2030	1553	1418	0	0	0	0	140	268	594	425	398	513	753	447	0
Kpna1	631.687500	717	643	351	201	961	1015	656	843	561	462	663	642	534	812	501	545	0
Galk1	631.562500	1882	2644	1966	1484	0	0	0	0	177	243	457	419	191	161	198	283	0
Micall2	611.875000	2151	2549	1803	1856	0	0	0	0	0	0	0	0	332	347	286	466	0
Agbl5	610.687500	1488	2243	1251	1236	0	0	0	0	0	367	692	363	417	407	669	638	0
Upp1	609.437500	155	664	183	0	0	0	0	0	578	752	1823	1479	799	1137	1203	978	0
Eid1	608.187500	2044	2608	1975	2095	0	0	0	0	0	0	396	112	72	0	212	217	0
Pcm1	600.187500	1710	2083	1157	1242	0	0	0	0	104	0	367	368	522	599	825	626	0
Naa80	598.687500	2329	2442	2444	2364	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyal3	598.687500	2329	2442	2444	2364	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyal1	598.687500	2329	2442	2444	2364	0	0	0	0	0	0	0	0	0	0	0	0	0
Itpk1	594.375000	2039	2396	2107	1934	0	0	0	0	0	0	0	0	239	218	320	257	0
Hk1	592.062500	1823	2549	1551	1332	0	0	0	0	0	123	452	387	282	436	296	242	0
Hjurp	591.000000	1958	2161	2263	2282	0	0	0	0	0	0	323	103	0	103	115	148	0
A730008H23Rik	591.000000	1958	2161	2263	2282	0	0	0	0	0	0	323	103	0	103	115	148	0
Mpp2	590.250000	1209	2021	1254	918	0	0	0	0	231	441	630	523	462	429	542	784	0
Rnf217	590.062500	1939	2574	1311	1520	0	0	0	0	0	137	174	202	331	322	421	510	0
Ccng2	583.750000	1399	1725	1324	1026	0	0	0	0	309	274	755	376	434	483	626	609	0
Bhlhe41	583.562500	2110	2313	1865	1740	0	0	0	0	0	248	172	113	137	140	240	259	0
Acp5	583.375000	1602	2299	1261	1149	0	0	0	0	152	264	601	333	362	418	555	338	0
Stc2	582.187500	495	1112	380	423	0	0	0	0	560	873	1535	1178	611	709	620	819	0
Dars	580.250000	1368	2012	1204	1226	0	0	0	0	212	229	684	384	379	432	508	646	0
Spesp1	578.625000	2114	2819	2258	2067	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcl7b	577.437500	1706	2290	1500	1446	0	0	0	0	175	238	455	284	222	259	208	456	0
Bnip1	575.000000	1397	2238	1467	1450	0	0	0	0	171	296	451	264	268	397	366	435	0
Cep295	574.187500	2239	2614	1810	1447	0	0	0	0	0	146	130	262	0	228	129	182	0
Mt1	571.812500	1594	2262	1332	1377	0	0	0	0	0	122	349	223	409	513	629	339	0
Spidr	566.000000	1644	2099	1051	1218	0	0	0	0	119	214	732	318	165	314	493	689	0
Kctd11	565.062500	2138	2174	2385	2344	0	0	0	0	0	0	0	0	0	0	0	0	0
Rabggta	565.000000	2162	2578	2091	2209	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmo	563.187500	1467	2084	1230	1092	0	0	0	0	228	361	456	457	207	466	426	537	0
Tubb5	557.812500	1530	2075	1522	910	0	0	0	0	218	149	553	389	219	313	465	582	0
Mdc1	557.812500	1530	2075	1522	910	0	0	0	0	218	149	553	389	219	313	465	582	0
Sf3b1	552.875000	1448	2305	1070	1108	0	0	0	0	177	238	373	270	342	414	507	594	0
Eno2	547.687500	2284	2641	2065	1773	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfaip3	546.125000	1822	2354	1373	1467	0	0	0	0	120	144	248	228	173	156	330	323	0
Cyp1b1	545.937500	1942	2620	2089	1850	0	0	0	0	0	0	0	0	0	0	110	124	0
Mbd3	542.937500	1125	1482	828	680	0	0	0	0	211	484	676	460	721	387	713	920	0
Stc1	542.250000	1364	2270	1262	1300	0	0	0	0	124	192	397	241	213	352	573	388	0
Dynll1	541.562500	1380	2066	1008	1005	0	0	0	0	0	247	721	330	500	263	492	653	0
Cox8a	540.125000	0	242	0	0	0	0	0	0	499	671	1288	1143	1157	948	1338	1356	0
Srebf1	539.062500	1386	2333	1142	1099	0	0	0	0	128	201	566	489	127	261	485	408	0
Tet2	528.812500	1069	1826	768	866	0	0	0	0	98	249	901	623	374	363	669	655	0
Zfp609	526.312500	1395	2262	1312	1123	0	0	0	0	242	226	433	159	224	344	342	359	0
Ufsp2	524.500000	2042	2574	1965	1811	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	524.500000	2042	2574	1965	1811	0	0	0	0	0	0	0	0	0	0	0	0	0
Narf	516.437500	784	1310	835	603	145	243	0	111	405	520	377	742	553	448	566	621	0
Bcar1	515.375000	1740	2181	1361	1462	0	0	0	0	0	156	337	147	266	246	129	221	0
Ppp1r3c	514.125000	224	532	179	122	0	0	0	0	351	631	1196	788	901	901	1211	1190	0
Gpr39	513.375000	2081	2503	1805	1825	0	0	0	0	0	0	0	0	0	0	0	0	0
Lekr1	504.500000	1799	2106	1641	1647	0	0	0	0	0	0	0	94	161	168	181	275	0
Hrob	500.812500	1641	2017	1367	1361	0	0	0	0	0	0	306	229	282	325	265	220	0
Fzd7	498.000000	691	1425	715	550	0	0	0	0	276	528	737	582	443	539	714	768	0
Zfp653	495.437500	1329	2263	1289	966	0	0	0	0	111	153	576	242	249	223	348	178	0
Zan	494.937500	280	736	281	287	0	0	0	0	142	141	403	270	980	1230	1406	1763	0
Epo	494.937500	280	736	281	287	0	0	0	0	142	141	403	270	980	1230	1406	1763	0
Lman1l	490.937500	1874	2310	1436	1473	0	0	0	0	0	0	0	0	146	222	210	184	0
Ntmt1	485.187500	1669	2170	1292	1274	0	0	0	0	0	0	320	0	221	171	270	376	0
Tpd52	479.437500	1419	2031	1195	1011	0	0	0	0	0	130	413	216	225	180	400	451	0
Strip1	479.312500	1308	1967	1222	1090	0	0	0	0	0	246	397	244	253	247	448	247	0
Arrb1	474.437500	2024	2526	1579	1462	0	0	0	0	0	0	0	0	0	0	0	0	0
Marchf9	469.437500	1109	1609	900	803	0	0	0	0	133	207	443	247	505	470	420	665	0
Cdk4	469.437500	1109	1609	900	803	0	0	0	0	133	207	443	247	505	470	420	665	0
Ldhc	466.812500	1108	2036	1278	769	0	0	0	0	0	0	292	180	393	341	537	535	0
Ppp1r3e	464.187500	1789	2139	1054	1158	0	0	0	0	0	0	258	257	136	150	245	241	0
Ifi211	461.437500	1459	2135	1665	1322	0	0	0	0	0	0	235	270	0	0	179	118	0
Znrf4	460.062500	1625	2485	1619	1190	0	0	0	0	0	0	215	227	0	0	0	0	0
Cry2	458.625000	1368	2125	1439	1277	0	0	0	0	0	0	183	172	131	81	241	321	0
Exoc7	458.062500	1766	2448	1652	1463	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptch1	456.000000	977	1342	673	819	0	0	0	0	0	295	487	353	396	424	940	590	0
Zfp446	452.375000	1411	1875	1042	766	0	0	0	0	0	205	411	140	288	253	283	564	0
Mxi1	450.062500	898	1538	787	656	0	0	0	0	115	147	329	422	317	558	666	768	0
Prelid2	448.000000	865	1578	908	649	0	0	0	0	182	215	595	292	392	368	659	465	0
Nup50	447.625000	1089	1688	768	865	0	0	0	0	196	81	457	504	207	329	582	396	0
Gls	447.250000	907	1552	619	631	0	0	0	0	171	269	588	324	525	501	528	541	0
Eef2	443.750000	714	1727	792	650	0	0	0	0	91	228	520	309	389	405	750	525	0
Map2k7	443.687500	1670	2334	1157	1266	0	0	0	0	0	0	173	127	175	0	0	197	0
Gtf2e2	441.437500	1294	1715	1086	1021	0	0	0	0	0	154	306	234	141	330	376	406	0
Vps37a	439.687500	1213	1900	946	742	0	0	0	0	0	160	292	427	164	329	429	433	0
Cnot7	439.687500	1213	1900	946	742	0	0	0	0	0	160	292	427	164	329	429	433	0
Loxl2	439.125000	0	0	0	0	0	0	0	0	468	709	1029	1117	768	851	1043	1041	0
Fam13b	438.062500	1903	1835	1569	1702	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuba1b	431.062500	1315	1926	952	727	0	0	0	0	144	215	367	238	182	206	216	409	0
Abhd18	429.875000	876	1412	706	581	0	0	0	0	364	441	407	591	328	321	410	441	0
Stt3b	428.562500	1234	1785	962	875	0	0	0	0	76	174	295	189	247	243	340	437	0
Kdm2b	427.625000	338	925	344	291	0	0	0	0	405	418	1158	599	483	599	634	648	0
Fam117b	425.750000	1241	1750	1049	899	0	0	0	0	0	95	246	190	207	277	295	563	0
Lgals3	424.875000	1652	2319	1514	1313	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap29	424.750000	1073	2066	917	556	0	0	0	0	177	259	471	224	157	219	281	396	0
Saysd1	423.437500	1312	2108	950	870	0	0	0	0	134	0	372	182	147	187	287	226	0
Ppp1cb	422.375000	1020	1879	1156	734	0	0	0	0	0	204	479	329	305	171	213	268	0
Nos2	421.375000	1545	2252	1522	1423	0	0	0	0	0	0	0	0	0	0	0	0	0
Jarid2	418.812500	1118	1882	963	821	0	0	0	0	0	0	250	251	220	309	369	518	0
Eif1b	416.687500	1188	1910	1086	746	0	0	0	0	146	328	276	205	153	155	222	252	0
Il31ra	416.125000	418	336	239	0	706	627	215	361	324	555	657	639	371	507	311	392	0
Tnk1	411.562500	0	1084	466	422	0	0	0	0	0	489	1010	527	804	0	971	812	0
Clca2	410.187500	1573	2307	1399	1284	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap22	409.625000	1644	2021	1166	1041	0	0	0	0	0	0	0	0	112	148	167	255	0
Mkrn1	409.375000	0	0	0	0	0	0	0	0	322	824	845	966	804	816	921	1052	0
Gpr35	405.375000	1424	2399	1338	1120	0	0	0	0	0	0	0	0	0	0	0	205	0
Pms2	401.687500	954	1708	895	741	0	0	0	0	134	0	768	300	181	195	301	250	0
Aimp2	401.687500	954	1708	895	741	0	0	0	0	134	0	768	300	181	195	301	250	0
Emsy	400.812500	1091	1763	978	680	0	0	0	0	0	178	432	166	119	251	366	389	0
Adipor2	398.750000	1306	2146	1254	1262	0	0	0	0	0	0	0	0	0	124	181	107	0
Fosl2	396.625000	1205	1658	1107	1102	0	0	0	0	0	0	160	0	202	216	305	391	0
Vwa1	390.062500	1126	1720	982	739	0	0	0	0	0	0	338	267	270	248	235	316	0
Gzf1	389.375000	1032	1624	924	679	0	0	0	0	0	0	349	326	213	255	409	419	0
Serpine1	387.000000	1329	1945	1296	1078	0	0	0	0	0	0	0	0	173	0	179	192	0
Phospho1	385.375000	1431	2251	1217	1025	0	0	0	0	0	0	119	0	0	0	0	123	0
Insig2	379.500000	940	1623	1185	906	0	0	0	0	0	0	296	206	189	221	255	251	0
Ifi204	377.562500	1347	1855	1292	1083	0	0	0	0	0	0	135	179	0	0	0	150	0
Cd47	376.875000	1070	1529	792	798	0	0	0	0	0	97	322	116	310	227	358	411	0
Sap18b	374.937500	1329	1804	895	835	0	0	0	0	0	0	173	144	200	0	333	286	0
Sap18	374.937500	1329	1804	895	835	0	0	0	0	0	0	173	144	200	0	333	286	0
Eif4ebp1	374.500000	1141	1785	1012	961	0	0	0	0	0	0	254	70	148	214	168	239	0
Kcnab2	373.750000	1715	2130	935	1200	0	0	0	0	0	0	0	0	0	0	0	0	0
Pvr	373.062500	297	644	287	381	0	0	0	0	237	361	790	550	437	661	718	606	0
Noxo1	371.750000	1054	1882	755	872	0	0	0	0	0	0	233	302	241	128	236	245	0
Gfer	371.750000	1054	1882	755	872	0	0	0	0	0	0	233	302	241	128	236	245	0
Mllt10	369.937500	1045	1755	1083	743	0	0	0	0	0	0	258	138	196	225	218	258	0
Setd5	369.562500	997	1178	535	621	0	0	0	0	99	172	360	316	361	326	434	514	0
Mgat5b	368.187500	1388	2331	1214	958	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnmt	365.500000	1023	1636	940	681	0	0	0	0	0	86	359	184	189	176	201	373	0
Fam210a	365.500000	1023	1636	940	681	0	0	0	0	0	86	359	184	189	176	201	373	0
Trim27	360.562500	0	0	0	0	0	0	0	0	247	311	632	422	898	957	1017	1285	0
Dbnl	360.375000	648	1547	608	685	0	0	0	0	166	113	312	218	245	328	496	400	0
Ttc41	360.062500	1072	1507	961	825	0	0	0	0	0	152	314	218	144	196	195	177	0
Hsp90b1	360.062500	1072	1507	961	825	0	0	0	0	0	152	314	218	144	196	195	177	0
Tusc3	360.000000	1245	1631	1049	908	0	0	0	0	0	0	195	0	182	121	187	242	0
Maz	359.562500	855	1686	812	747	0	0	0	0	0	206	623	199	0	216	172	237	0
1700016C15Rik	355.375000	0	0	0	0	0	0	0	0	165	223	652	493	825	936	1242	1150	0
Vars	354.187500	901	1538	875	816	0	0	0	0	0	218	223	167	0	208	301	420	0
D17H6S56E-5	354.187500	901	1538	875	816	0	0	0	0	0	218	223	167	0	208	301	420	0
Nek1	351.437500	914	1415	655	741	0	0	0	0	0	0	240	166	324	334	407	427	0
Cisd3	351.187500	1310	1944	943	906	0	0	0	0	0	0	167	0	0	0	150	199	0
Ciart	349.125000	790	1654	728	417	0	0	0	0	111	250	342	198	253	140	294	409	0
Tdgf1	347.312500	0	0	0	0	0	0	0	0	477	429	815	752	886	741	704	753	0
Lrrc2	347.312500	0	0	0	0	0	0	0	0	477	429	815	752	886	741	704	753	0
Rwdd2b	346.687500	0	0	0	0	0	0	0	0	406	629	1221	1018	494	426	584	769	0
Ltn1	346.687500	0	0	0	0	0	0	0	0	406	629	1221	1018	494	426	584	769	0
Aire	343.312500	0	0	0	0	0	0	0	0	0	0	1141	1290	0	0	1634	1428	0
Phf10	341.750000	935	1377	824	660	0	0	0	0	0	163	240	330	127	153	235	424	0
Zfp607b	339.750000	1093	1692	759	699	0	0	0	0	0	0	198	102	118	231	293	251	0
Yy1	339.375000	1416	1920	1252	842	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v0d1	339.187500	763	1255	586	501	0	0	0	0	174	192	309	191	261	322	322	551	0
Agrp	339.187500	763	1255	586	501	0	0	0	0	174	192	309	191	261	322	322	551	0
Metap1d	337.312500	1121	1855	852	925	0	0	0	0	0	0	185	167	119	0	0	173	0
Dixdc1	337.187500	1239	1613	1196	1082	0	0	0	0	0	0	102	0	0	0	0	163	0
Klhl3	336.625000	1413	2030	1000	943	0	0	0	0	0	0	0	0	0	0	0	0	0
Proser2	334.312500	1069	1556	847	617	0	0	0	0	0	171	307	115	0	170	189	308	0
Msra	333.437500	854	1485	630	490	0	0	0	0	0	0	273	264	245	398	325	371	0
Cdkn1a	331.750000	1323	1828	1095	1062	0	0	0	0	0	0	0	0	0	0	0	0	0
Srsf1	331.625000	1236	1700	726	847	0	0	0	0	0	0	177	138	0	112	157	213	0
Ets1	329.312500	1256	1821	1090	1102	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbno2	328.812500	1385	1753	975	1148	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid2	328.125000	832	1271	614	457	0	0	0	0	0	151	353	106	287	373	468	338	0
P2rx7	327.562500	689	1034	429	517	0	0	0	0	0	0	0	0	526	649	572	825	0
Uspl1	327.500000	1313	1868	913	726	0	0	0	0	0	0	169	177	0	0	74	0	0
Acp6	324.937500	237	796	254	173	0	0	0	0	216	257	510	471	475	406	747	657	0
Psd	323.937500	658	1045	504	480	0	0	0	0	179	268	465	284	133	292	434	441	0
Ncaph2	323.937500	530	1152	640	406	0	0	0	0	182	103	169	178	363	402	578	480	0
Lmf2	323.937500	530	1152	640	406	0	0	0	0	182	103	169	178	363	402	578	480	0
Fbxl15	323.937500	658	1045	504	480	0	0	0	0	179	268	465	284	133	292	434	441	0
Asmt	323.312500	809	671	429	170	735	508	448	583	0	0	353	98	118	251	0	0	0
1700013G24Rik	323.187500	1201	1903	1093	974	0	0	0	0	0	0	0	0	0	0	0	0	0
Trappc5	322.750000	1008	2289	1116	751	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcor	322.750000	1008	2289	1116	751	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyrk1a	322.500000	0	0	0	0	0	0	0	0	0	0	271	166	803	1014	1435	1471	0
Cavin3	322.500000	516	1068	479	336	0	0	0	0	183	231	420	386	436	259	261	585	0
