Target_genes	Chd2|Average	DRX001066|C2C12	SRX140389|CH12	DRX000343|ES_cells	SRX6784012|ES_cells	SRX6784013|ES_cells	SRX140392|MEL	STRING
Prdx1	1135.166667	0	1930	0	1475	1483	1923	0
Slc39a9	1133.500000	0	2058	0	1153	1573	2017	0
Erh	1133.500000	0	2058	0	1153	1573	2017	0
Ankfy1	1131.666667	0	1720	0	1570	1844	1656	0
Ube2d3	1131.166667	0	1419	0	1631	1862	1875	0
Clec11a	1130.333333	0	2198	0	1252	1269	2063	0
Ppil1	1128.166667	0	2090	0	1317	1425	1937	0
BC004004	1128.166667	0	2090	0	1317	1425	1937	0
Fubp1	1126.333333	0	1480	0	1590	1814	1874	0
Dnajb4	1126.333333	0	1480	0	1590	1814	1874	0
Rpl26	1125.833333	0	1580	0	1653	2038	1484	0
Asph	1124.500000	0	1826	0	1173	1687	2061	0
Puf60	1123.833333	0	2065	0	1142	1479	2057	0
Spdl1	1118.666667	0	1731	0	1356	1772	1853	0
Rc3h2	1118.333333	0	2029	0	1115	1516	2050	0
Slc39a3	1113.500000	0	2148	0	1409	1139	1985	0
Rab5b	1111.500000	0	2074	0	1482	1323	1790	0
Rpp38	1109.000000	0	1877	0	1366	1598	1813	0
Acbd7	1109.000000	0	1877	0	1366	1598	1813	0
Mms22l	1108.833333	0	2135	0	1116	1205	2197	0
Ift74	1108.500000	0	2226	0	1213	933	2279	0
Vps4b	1106.833333	0	2149	0	1308	1431	1753	0
Tpp1	1106.000000	0	2419	0	848	1059	2310	0
Abhd2	1103.333333	0	2022	0	1266	1498	1834	0
Luc7l2	1103.000000	0	1795	0	1462	1698	1663	0
Mtfp1	1101.000000	0	1888	0	1165	1731	1822	0
Sipa1l1	1098.833333	0	2155	0	931	1379	2128	0
Gpatch3	1097.833333	0	1818	0	1230	1534	2005	0
Ska3	1097.333333	0	2057	0	1132	1437	1958	0
Sharpin	1097.333333	0	1839	0	1629	1362	1754	0
Mrpl57	1097.333333	0	2057	0	1132	1437	1958	0
Maf1	1097.333333	0	1839	0	1629	1362	1754	0
Gm35339	1097.333333	0	1839	0	1629	1362	1754	0
Spc25	1095.166667	0	2299	0	750	1303	2219	0
G6pc2	1095.166667	0	2299	0	750	1303	2219	0
Tpm2	1095.000000	0	2309	0	1145	1036	2080	0
Npm1	1093.500000	0	1762	0	1407	1645	1747	0
Tmem94	1093.166667	0	2208	0	1230	1221	1900	0
Rpl10a	1091.666667	0	1684	0	1588	1525	1753	0
Zfp689	1089.666667	0	1980	0	1404	1328	1826	0
Tepsin	1088.833333	0	1971	0	1490	1216	1856	0
Ndufaf8	1088.833333	0	1971	0	1490	1216	1856	0
Ikzf5	1086.666667	0	2353	0	967	1001	2199	0
Acadsb	1086.666667	0	2353	0	967	1001	2199	0
Tmem134	1081.833333	0	1656	0	1301	1867	1667	0
Aip	1081.833333	0	1656	0	1301	1867	1667	0
Zzz3	1080.500000	0	1745	0	1052	1652	2034	0
Nudt2	1078.666667	0	2065	0	1192	1329	1886	0
Kif24	1078.666667	0	2065	0	1192	1329	1886	0
Gmppa	1078.333333	0	2325	0	909	788	2448	0
Mre11a	1077.500000	0	1955	0	1501	1713	1296	0
Ankrd49	1077.500000	0	1955	0	1501	1713	1296	0
Vdac3	1077.166667	0	2013	0	1185	1546	1719	0
Polr2e	1075.833333	0	2229	0	996	1070	2160	0
Tab3	1074.166667	0	2495	0	690	1166	2094	0
Thada	1071.500000	0	2177	0	959	1345	1948	0
Dguok	1071.000000	0	2231	0	933	1206	2056	0
Kazald1	1070.333333	0	1982	0	1138	1600	1702	0
Srcap	1067.833333	0	1975	0	1054	1307	2071	0
Ddhd2	1067.500000	0	2069	0	1073	1288	1975	0
Cul5	1067.333333	0	1933	0	1120	1390	1961	0
Cct5	1065.166667	0	1860	0	1123	1599	1809	0
Atpsckmt	1065.166667	0	1860	0	1123	1599	1809	0
Rab33b	1064.666667	0	2015	0	1224	1305	1844	0
Naa25	1063.833333	0	1982	0	1073	1327	2001	0
Tmem88	1063.166667	0	1433	0	1588	1853	1505	0
Naa38	1063.166667	0	1433	0	1588	1853	1505	0
Cyb5d1	1063.166667	0	1433	0	1588	1853	1505	0
Ngdn	1060.666667	0	1860	0	1450	1215	1839	0
Agl	1059.666667	0	2174	0	925	1190	2069	0
Ssr4	1059.166667	0	2111	0	1144	1158	1942	0
Idh3g	1059.166667	0	2111	0	1144	1158	1942	0
Ercc6l2	1058.000000	0	1783	0	1186	1679	1700	0
Map3k7	1055.500000	0	2169	0	1156	1242	1766	0
Cox14	1055.500000	0	2099	0	1151	1277	1806	0
Tasor2	1054.666667	0	2138	0	1079	958	2153	0
H2-M3	1052.166667	0	1893	0	1213	1251	1956	0
Mettl16	1052.000000	0	1850	0	1303	1321	1838	0
Ptpn4	1051.166667	0	2151	0	794	1287	2075	0
Srp19	1049.500000	0	2145	0	1073	1002	2077	0
Pnpla6	1041.166667	0	2083	0	780	1423	1961	0
Sap18b	1040.000000	0	2174	0	844	1097	2125	0
Sap18	1040.000000	0	2174	0	844	1097	2125	0
Slc39a7	1034.500000	0	1925	0	1144	1200	1938	0
Rxrb	1034.500000	0	1925	0	1144	1200	1938	0
H2-Ke6	1034.500000	0	1925	0	1144	1200	1938	0
Nfatc2ip	1034.166667	0	1887	0	1070	1255	1993	0
Nanp	1031.333333	0	2008	0	806	1398	1976	0
Nupl1	1029.166667	0	1892	0	1135	1209	1939	0
Rps28	1028.666667	0	1752	0	1288	1582	1550	0
Rnf4	1028.666667	0	2021	0	932	1468	1751	0
Ndufa7	1028.666667	0	1752	0	1288	1582	1550	0
Icmt	1028.500000	0	2312	0	808	1082	1969	0
Gm5165	1027.833333	0	1645	0	1267	1324	1931	0
Smarca5	1025.166667	0	1403	0	1812	1956	980	0
Mak16	1022.000000	0	2122	0	927	950	2133	0
H2-Eb1	1020.000000	0	1542	0	1465	1082	2031	0
Herc1	1019.666667	0	1979	0	962	1424	1753	0
Prpf4	1019.166667	0	2023	0	895	1011	2186	0
Cdc26	1019.166667	0	2023	0	895	1011	2186	0
Ramac	1018.500000	0	2176	0	925	996	2014	0
Ints9	1017.833333	0	1767	0	1172	1411	1757	0
Hmbox1	1017.833333	0	1767	0	1172	1411	1757	0
Srsf10	1013.500000	0	1864	0	1160	1424	1633	0
Wdr73	1012.166667	0	2282	0	667	959	2165	0
Nmb	1012.166667	0	2282	0	667	959	2165	0
Thap1	1008.166667	0	2149	0	823	1017	2060	0
Spsb3	1008.166667	0	1791	0	1071	1394	1793	0
Nubp2	1008.166667	0	1791	0	1071	1394	1793	0
Yipf3	1006.666667	0	1937	0	909	1282	1912	0
Polr1c	1006.666667	0	1937	0	909	1282	1912	0
Asxl1	1005.333333	0	1716	0	1123	1491	1702	0
Zwilch	1004.833333	0	1618	0	1352	1449	1610	0
Rpl4	1004.833333	0	1618	0	1352	1449	1610	0
Trappc2	1004.500000	0	2179	0	766	1120	1962	0
Ofd1	1004.500000	0	2179	0	766	1120	1962	0
Tubgcp5	1001.333333	0	1983	0	855	1407	1763	0
Mysm1	997.000000	0	2284	0	709	933	2056	0
Timm13	994.833333	0	1926	0	887	1139	2017	0
Cdc20	994.333333	0	2108	0	759	1173	1926	0
Slc15a4	993.666667	0	1982	0	1003	910	2067	0
Ppp4r3b	993.333333	0	1804	0	1092	1257	1807	0
Pbld2	993.166667	0	1905	0	1055	1056	1943	0
Hnrnph3	993.166667	0	1905	0	1055	1056	1943	0
Smdt1	993.000000	0	1923	0	1005	1489	1541	0
Pheta2	993.000000	0	1923	0	1005	1489	1541	0
Ino80	990.833333	0	1903	0	900	1191	1951	0
Adnp	989.833333	0	1691	0	1222	1289	1737	0
Snrpg	987.166667	0	1958	0	1025	987	1953	0
Zfp91	987.000000	0	1749	0	1017	1440	1716	0
Lpxn	987.000000	0	1749	0	1017	1440	1716	0
Pik3r2	986.166667	0	1911	0	622	1267	2117	0
Rnf5	982.666667	0	1714	0	1565	1154	1463	0
Agpat1	982.666667	0	1714	0	1565	1154	1463	0
Top2a	982.166667	0	1860	0	1152	1120	1761	0
Rpl12	979.500000	0	1508	0	1297	1531	1541	0
Lrsam1	979.500000	0	1508	0	1297	1531	1541	0
Ankrd54	977.500000	0	1750	0	1356	1110	1649	0
Glce	976.333333	0	2056	0	768	1290	1744	0
Nfyc	974.666667	0	1952	0	891	954	2051	0
Nol11	974.000000	0	2080	0	915	838	2011	0
Nop58	972.000000	0	2043	0	1105	768	1916	0
Mrtfb	969.333333	0	2062	0	822	926	2006	0
Bzw1	968.333333	0	1928	0	944	913	2025	0
Hnrnpc	966.000000	0	1617	0	1377	1240	1562	0
Evi5l	966.000000	0	1872	0	820	983	2121	0
Get4	964.833333	0	1937	0	878	1241	1733	0
Sec62	963.166667	0	2150	0	866	955	1808	0
Slc12a2	960.666667	0	2087	0	939	830	1908	0
Dars	960.000000	0	1889	0	892	1100	1879	0
Rbm15	959.833333	0	1599	0	1142	1332	1686	0
Tmem129	959.166667	0	1946	0	1046	1044	1719	0
Tacc3	959.166667	0	1946	0	1046	1044	1719	0
Chmp4b	958.333333	0	1742	0	979	1141	1888	0
Septin7	955.333333	0	1790	0	910	1277	1755	0
Zfp691	950.500000	0	2015	0	1294	991	1403	0
Sh3gl1	946.833333	0	1850	0	806	1264	1761	0
Chaf1a	946.833333	0	1850	0	806	1264	1761	0
Pibf1	945.666667	0	2123	0	739	972	1840	0
Dis3	945.666667	0	2123	0	739	972	1840	0
Banp	944.666667	0	1642	0	1007	1486	1533	0
Ralbp1	943.333333	0	1978	0	652	1169	1861	0
Bckdk	942.333333	0	2192	0	664	782	2016	0
Cdc45	940.666667	0	1709	0	836	1304	1795	0
Ube2d2a	939.500000	0	2103	0	804	784	1946	0
Taok1	939.500000	0	1886	0	910	1011	1830	0
Lsm8	934.333333	0	2141	0	564	1001	1900	0
Arntl	932.666667	0	1658	0	1479	997	1462	0
Zfp386	928.666667	0	2059	0	1015	814	1684	0
Tmem18	928.333333	0	2163	0	742	845	1820	0
Vmp1	927.166667	0	2027	0	681	999	1856	0
Ptrh2	927.166667	0	2027	0	681	999	1856	0
Tmem79	926.333333	0	1876	0	904	1047	1731	0
Smg5	926.333333	0	1876	0	904	1047	1731	0
Rmi1	925.666667	0	1811	0	1101	777	1865	0
Hnrnpk	925.666667	0	1811	0	1101	777	1865	0
Mpc2	922.333333	0	1862	0	716	1072	1884	0
Dcaf6	922.333333	0	1862	0	716	1072	1884	0
Dnajc27	922.166667	0	1962	0	839	956	1776	0
Top2b	921.833333	0	1906	0	823	923	1879	0
H2-Q4	921.500000	0	2199	0	706	497	2127	0
Ube2v1	919.666667	0	1806	0	1037	708	1967	0
Mrps14	919.000000	0	1904	0	761	1251	1598	0
Hells	915.666667	0	1925	0	850	911	1808	0
BC051142	912.833333	0	1955	0	934	742	1846	0
Clptm1	911.500000	0	1926	0	961	781	1801	0
Rfx1	910.666667	0	1666	0	1032	913	1853	0
Strip1	910.333333	0	1980	0	616	900	1966	0
Brox	909.500000	291	1233	205	892	1171	1665	0
Aida	909.500000	291	1233	205	892	1171	1665	0
Phf5a	908.500000	0	1851	0	1038	734	1828	0
Aco2	908.500000	0	1851	0	1038	734	1828	0
Atf7	907.833333	0	1827	0	730	1208	1682	0
Khsrp	907.500000	0	1604	0	1105	1083	1653	0
Zfp33b	905.666667	0	2195	0	1107	935	1197	0
Ergic2	905.333333	0	1890	0	717	893	1932	0
Kif5a	903.000000	0	2071	0	564	805	1978	0
Dctn2	903.000000	0	2071	0	564	805	1978	0
Mbtps1	900.333333	0	1956	0	734	784	1928	0
Wnk1	897.333333	0	1880	0	736	891	1877	0
Btn2a2	891.333333	0	2079	0	866	903	1500	0
Psph	890.833333	0	1852	0	784	936	1773	0
Cct6a	890.833333	0	1852	0	784	936	1773	0
Cd2bp2	888.166667	0	1853	0	771	654	2051	0
Pmf1	888.000000	0	1804	0	851	1058	1615	0
Zmym3	887.500000	0	2138	0	584	979	1624	0
Camk2d	887.166667	0	2026	0	1577	1720	0	0
Ncapg	886.666667	0	2000	0	645	933	1742	0
Ankhd1	881.000000	0	1695	0	1203	781	1607	0
Pop7	880.666667	0	1967	0	782	690	1845	0
Tmem127	879.333333	0	2058	0	649	799	1770	0
Ciao1	879.333333	0	2058	0	649	799	1770	0
Mxi1	879.166667	0	1803	0	977	684	1811	0
Cldn34d	879.000000	444	1619	0	806	1109	1296	0
Rab6a	878.833333	0	1850	0	543	1362	1518	0
Lsm14a	878.333333	0	1820	0	969	817	1664	0
Yod1	876.333333	0	1660	0	886	1051	1661	0
Pfkfb2	876.333333	0	1660	0	886	1051	1661	0
Rpl17	876.000000	0	1741	0	734	1095	1686	0
Ogfod1	873.500000	0	1859	0	1130	726	1526	0
Nudt21	873.500000	0	1859	0	1130	726	1526	0
Tom1l2	868.333333	0	1658	0	1103	836	1613	0
Drc3	868.333333	0	1658	0	1103	836	1613	0
Exosc10	868.000000	0	2028	0	763	776	1641	0
Tcerg1	867.166667	0	1818	0	869	766	1750	0
Casq1	867.000000	0	2356	0	545	452	1849	0
Mob1b	866.666667	0	1828	0	799	1075	1498	0
Matr3	866.666667	0	1550	0	850	1241	1559	0
Rab5c	865.166667	0	1963	0	525	861	1842	0
Slc25a11	864.333333	0	1297	0	1343	1206	1340	0
Rnf167	864.333333	0	1297	0	1343	1206	1340	0
Rps15a	862.666667	0	1825	0	1034	952	1365	0
Zswim3	860.666667	0	1715	0	894	857	1698	0
Acot8	860.666667	0	1715	0	894	857	1698	0
Gm12258	860.000000	0	1703	0	1049	937	1471	0
Nprl3	859.666667	0	1743	0	970	935	1510	0
Gm51425	855.166667	0	1518	0	986	859	1768	0
Kpna2	855.000000	0	1817	0	994	606	1713	0
Enkd1	854.000000	0	1919	0	893	726	1586	0
4933405L10Rik	854.000000	0	1919	0	893	726	1586	0
Akap1	853.333333	0	1649	0	665	1029	1777	0
Brf1	852.666667	0	2103	0	661	593	1759	0
Arid4a	851.833333	0	1420	0	1152	1098	1441	0
Ppcdc	851.166667	0	1971	0	629	607	1900	0
Relch	850.500000	0	1760	0	711	1013	1619	0
Pign	850.500000	0	1760	0	711	1013	1619	0
Ttc32	849.500000	0	1887	0	824	709	1677	0
Tmem107	843.666667	0	1467	0	950	1230	1415	0
Nlk	842.166667	0	1589	0	1151	722	1591	0
Med24	842.166667	0	1762	0	837	794	1660	0
Lrch4	841.666667	0	1354	0	1286	932	1478	0
Fbxo24	841.666667	0	1354	0	1286	932	1478	0
Cic	841.333333	0	1337	0	1268	978	1465	0
Tcam1	839.833333	0	1689	0	892	911	1547	0
Smarcd2	839.833333	0	1689	0	892	911	1547	0
H2-Aa	837.833333	0	2087	0	864	1011	1065	0
Tmem183a	837.333333	0	2018	0	730	726	1550	0
Mfsd13b	836.500000	0	1622	0	1098	887	1412	0
H2-L	836.500000	0	1650	0	696	703	1970	0
H2-D1	836.500000	0	1650	0	696	703	1970	0
Cdr2	836.500000	0	1622	0	1098	887	1412	0
Troap	836.333333	0	1925	0	562	768	1763	0
1110004F10Rik	835.500000	0	1998	0	379	660	1976	0
Sult2b1	833.000000	0	1415	0	829	825	1929	0
Siah1b	832.333333	0	1927	0	580	539	1948	0
Ell	830.666667	0	1715	0	571	1224	1474	0
Usp47	830.500000	0	1945	0	792	657	1589	0
Aga	829.000000	0	1693	0	645	773	1863	0
Ncapg2	827.166667	0	2075	0	372	718	1798	0
H2-DMb1	827.166667	0	2275	0	878	654	1156	0
Rps21	826.666667	0	1808	0	981	623	1548	0
Churc1	825.500000	0	2000	0	559	539	1855	0
Dnajc12	824.666667	0	1807	0	580	1011	1550	0
Tcf3	823.833333	0	1313	0	639	1411	1580	0
Cdca8	821.666667	0	1801	0	706	609	1814	0
9930104L06Rik	821.666667	0	1801	0	706	609	1814	0
Csde1	820.166667	0	1702	0	823	912	1484	0
Mucl3	819.666667	0	1469	0	1300	702	1447	0
Drg1	819.666667	0	1787	0	716	825	1590	0
Dzip3	815.833333	0	1462	0	926	1005	1502	0
Cip2a	815.833333	0	1462	0	926	1005	1502	0
3110082I17Rik	813.333333	0	1791	0	998	784	1307	0
Rfx5	811.666667	0	2012	0	393	656	1809	0
Ccdc62	810.333333	0	1904	0	658	712	1588	0
Med1	810.166667	0	1736	0	676	641	1808	0
Slc5a6	809.833333	0	1823	0	583	744	1709	0
Atraid	809.833333	0	1823	0	583	744	1709	0
Etfa	809.666667	0	1763	0	725	878	1492	0
Cep350	809.666667	0	1849	0	720	724	1565	0
Trim26	808.000000	0	1953	0	556	601	1738	0
Gpr19	806.833333	0	1823	0	664	916	1438	0
Lyrm7	805.333333	0	1575	0	706	822	1729	0
Ehd1	804.833333	0	1386	0	864	947	1632	0
Nup153	802.500000	0	2275	0	470	223	1847	0
Srrt	800.333333	0	1715	0	577	680	1830	0
Poldip3	798.500000	0	1718	0	665	570	1838	0
Huwe1	798.000000	0	1541	0	712	1100	1435	0
Rcc1l	797.833333	0	2289	0	252	212	2034	0
Timm17a	797.333333	0	1856	0	438	665	1825	0
Kdm4d	797.333333	0	1927	0	513	509	1835	0
Cwc15	797.333333	0	1927	0	513	509	1835	0
Rps6	797.166667	0	2067	0	745	778	1193	0
Mrpl40	797.166667	0	1666	0	781	913	1423	0
Hira	797.166667	0	1666	0	781	913	1423	0
Magt1	794.500000	0	1545	0	641	710	1871	0
Cox7b	794.500000	0	1545	0	641	710	1871	0
Bod1	794.166667	0	1977	0	362	489	1937	0
Phb	793.833333	0	1976	0	347	722	1718	0
Osbp	793.166667	0	1607	0	830	863	1459	0
Map2k2	792.500000	0	1871	0	687	598	1599	0
Rfesd	789.000000	0	1847	0	628	740	1519	0
Nptn	787.500000	0	1899	0	645	683	1498	0
Rab11b	787.000000	0	1561	0	916	663	1582	0
Stip1	785.666667	0	1571	0	696	990	1457	0
Tlcd1	785.166667	0	1334	0	1063	949	1365	0
Rpl23a	785.166667	0	1334	0	1063	949	1365	0
Rab34	785.166667	0	1334	0	1063	949	1365	0
B2m	784.833333	0	1872	0	567	475	1795	0
Traf2	784.666667	0	1327	0	869	850	1662	0
Ahctf1	784.666667	0	1879	0	613	731	1485	0
Klhdc8b	784.166667	0	2183	0	490	296	1736	0
Ccdc71	784.166667	0	2183	0	490	296	1736	0
Eif2ak3	781.000000	0	1590	0	882	687	1527	0
Ap2a1	776.166667	0	1717	0	992	632	1316	0
Spata33	774.833333	0	2146	0	424	507	1572	0
Chmp1a	774.833333	0	2146	0	424	507	1572	0
G3bp1	774.000000	0	1607	0	722	747	1568	0
Pcmtd1	773.333333	0	1987	0	489	633	1531	0
Gga1	773.333333	0	1979	0	434	438	1789	0
H2-Ob	773.166667	0	2097	0	233	162	2147	0
Stx4a	772.666667	0	1410	0	751	841	1634	0
Fbh1	772.333333	0	1650	0	931	655	1398	0
Ankrd16	772.333333	0	1650	0	931	655	1398	0
Poc5	765.000000	0	1677	0	854	624	1435	0
Myef2	764.833333	0	0	0	1221	1382	1986	0
Snrpf	762.000000	0	1971	0	717	508	1376	0
Shprh	761.666667	0	2009	0	453	426	1682	0
Marchf7	761.333333	0	2068	0	614	562	1324	0
Hdac6	761.000000	0	1490	0	519	745	1812	0
Suv39h1	757.500000	0	1722	0	386	742	1695	0
Fundc2	756.000000	0	1847	0	548	500	1641	0
F8	756.000000	0	1847	0	548	500	1641	0
H2-Q9	754.166667	0	2074	0	744	878	829	0
H2-Q7	754.166667	0	2074	0	744	878	829	0
Pabpn1	753.333333	0	1681	0	847	607	1385	0
Gid8	752.333333	0	1990	0	547	496	1481	0
Dido1	752.333333	0	1990	0	547	496	1481	0
Stt3a	750.833333	0	1686	0	810	537	1472	0
Ccz1	750.833333	0	1839	0	544	747	1375	0
Isoc2b	750.333333	0	1549	0	927	790	1236	0
Dolpp1	749.000000	0	1444	0	1087	671	1292	0
Snrnp200	746.500000	0	1921	0	639	677	1242	0
1810024B03Rik	746.500000	0	1921	0	639	677	1242	0
Pcnt	745.666667	0	1787	0	433	875	1379	0
Cd2ap	744.000000	0	1923	0	570	590	1381	0
Ttc23	743.166667	0	1717	0	494	552	1696	0
Lrrc28	743.166667	0	1717	0	494	552	1696	0
Vcp	742.666667	0	1877	0	448	297	1834	0
Prdx4	742.500000	0	1842	0	354	498	1761	0
Thap7	739.666667	0	1714	0	464	584	1676	0
Mafg	736.166667	0	1587	0	555	785	1490	0
Cand1	734.833333	0	1583	0	557	638	1631	0
Etf1	734.666667	0	1761	0	464	576	1607	0
Nmd3	733.833333	0	1672	0	567	516	1648	0
Atp5g1	732.000000	0	1549	0	681	767	1395	0
