Target_genes	Gata1|Average	SRX079887|Embryonic_erythroblasts	SRX079888|Embryonic_erythroblasts	SRX145055|Embryonic_erythroblasts	SRX3889813|Embryonic_erythroblasts	SRX3889814|Embryonic_erythroblasts	SRX145066|Embryonic_megakaryocytes	SRX6797012|Erythroblasts	SRX6797015|Erythroblasts	SRX6797018|Erythroblasts	SRX6797021|Erythroblasts	SRX6797024|Erythroblasts	SRX6797027|Erythroblasts	SRX6797030|Erythroblasts	SRX6797033|Erythroblasts	SRX6797036|Erythroblasts	SRX6797039|Erythroblasts	SRX744012|Erythroblasts	SRX744013|Erythroblasts	SRX744014|Erythroblasts	SRX744015|Erythroblasts	SRX10916763|Erythrocytes	SRX10916762|Erythroid_Cells	SRX18530072|Erythroid_Cells	SRX18530073|Erythroid_Cells	SRX18530074|Erythroid_Cells	SRX8785799|ES_cells	SRX8785800|ES_cells	SRX340954|FDCPmix	SRX340957|FDCPmix	SRX340962|FDCPmix	SRX340963|FDCPmix	SRX340966|FDCPmix	SRX340967|FDCPmix	SRX100316|G1E	SRX145061|G1E	SRX9519540|G1E	SRX9519541|G1E	SRX013185|G1E-ER4+E2	SRX10714839|G1E-ER4+E2	SRX10714840|G1E-ER4+E2	SRX130172|G1E-ER4+E2	SRX130174|G1E-ER4+E2	SRX145052|G1E-ER4+E2	SRX181742|G1E-ER4+E2	SRX181743|G1E-ER4+E2	SRX181744|G1E-ER4+E2	SRX181745|G1E-ER4+E2	SRX181748|G1E-ER4+E2	SRX181749|G1E-ER4+E2	SRX8820360|G1E-ER4+E2	SRX8820361|G1E-ER4+E2	SRX816546|G1ME	SRX816547|G1ME	SRX816548|G1ME	SRX4513890|HPC-7	SRX4513891|HPC-7	SRX140370|MEL	SRX188828|MEL	SRX3889826|MEL	SRX3889827|MEL	SRX015120|MEL86	SRX18530081|mESC_derived_erythroid_cells	SRX18530083|mESC_derived_erythroid_cells	SRX18530084|mESC_derived_erythroid_cells	SRX1035393|mESC_derived_haematopoietic_progenitor	SRX118001|mESC_derived_haematopoietic_progenitor	SRX118002|mESC_derived_haematopoietic_progenitor	SRX118003|mESC_derived_haematopoietic_progenitor	SRX118004|mESC_derived_haematopoietic_progenitor	SRX118005|mESC_derived_haematopoietic_progenitor	SRX1431659|mESC_derived_haematopoietic_progenitor	SRX298036|Ter119_Erythrocytes	STRING
Fpgs	604.527778	906	1107	1533	2555	2914	507	545	550	550	196	136	260	1151	1776	864	2297	0	0	0	0	876	638	159	0	174	187	410	0	283	0	0	0	0	0	0	493	248	698	0	0	0	708	1221	349	315	929	134	788	0	285	578	1306	987	0	0	0	1329	1876	1430	737	0	1422	2157	3265	108	0	0	0	214	134	1006	235	0
Zfp207	601.611111	2017	1700	2250	1407	2570	560	664	600	623	150	278	255	882	1465	986	2084	0	112	0	0	1096	550	154	0	233	0	0	0	525	203	154	0	0	261	0	233	0	676	308	216	0	691	963	1102	1156	801	536	841	414	0	983	1077	748	0	0	0	1788	1335	1405	1023	0	653	1035	1482	0	268	0	352	173	171	813	294	0
Trim10	596.986111	1333	1101	1897	2252	2724	0	340	306	366	316	367	251	1349	1571	722	1512	267	376	0	116	610	761	402	113	440	0	0	0	382	0	0	0	0	0	0	801	198	992	371	406	0	994	1407	492	448	941	285	969	212	96	2532	365	118	0	0	0	2070	2256	1596	197	142	830	1753	1250	158	0	0	0	0	0	759	471	0
Trim15	592.166667	1333	1101	1897	2252	2724	0	340	306	366	192	144	251	1349	1571	722	1512	267	376	0	116	610	761	402	113	440	0	0	0	382	0	0	0	0	0	0	801	198	992	371	406	0	994	1407	492	448	941	285	969	212	96	2532	365	118	0	0	0	2070	2256	1596	197	142	830	1753	1250	158	0	0	0	0	0	759	471	0
Crlf3	591.805556	1124	790	1421	1506	2061	320	547	450	668	360	214	251	933	1570	833	1823	121	146	0	0	465	360	407	117	502	86	355	0	386	78	162	0	172	0	0	1420	963	890	128	191	96	857	1319	916	902	953	589	915	342	0	1587	1279	970	0	0	0	1592	1734	1423	597	313	512	903	775	0	412	161	402	187	304	534	216	0
Tmem107	578.500000	1385	1139	1820	2251	2415	420	428	357	482	373	128	317	864	1023	842	1754	260	257	0	62	292	232	367	101	479	497	444	0	161	0	0	0	0	109	0	976	487	1240	163	151	0	1265	1473	1780	1532	1593	954	1142	662	0	786	1093	908	0	0	0	984	756	887	346	0	342	640	1090	0	0	0	103	0	175	717	148	0
Rpp25	575.375000	473	408	767	2156	2791	0	346	391	501	129	106	306	1171	1812	959	2258	138	0	0	117	573	475	153	0	150	203	166	0	591	0	0	0	0	0	0	836	525	463	287	0	0	459	698	685	342	596	465	354	0	330	2621	832	783	0	0	0	2291	2249	1692	692	371	774	1604	2240	88	262	0	155	217	231	746	399	0
5730455P16Rik	567.750000	2017	1700	2250	1407	2570	560	664	600	623	150	278	255	882	1465	986	2084	0	0	0	0	1096	550	154	0	233	0	0	0	525	203	154	0	0	136	0	233	0	676	0	0	0	691	963	1102	1156	801	536	841	414	0	269	1077	748	0	0	0	1788	1335	1405	1023	0	653	1035	519	0	268	0	352	173	171	813	294	0
Mrm1	567.541667	1214	984	1599	1480	2231	0	376	349	498	153	165	252	1148	1641	683	1448	373	425	0	168	453	796	319	0	353	0	0	0	0	0	0	0	0	118	0	1578	869	843	539	520	0	870	1340	1305	971	1075	881	857	388	0	2403	406	0	0	0	0	1751	1766	647	161	233	592	1247	884	0	174	127	180	188	229	313	300	0
Samd14	567.472222	1080	684	1429	739	1665	271	322	306	382	284	373	240	953	1648	619	1364	312	533	0	175	423	598	530	192	638	237	265	0	172	0	0	0	0	0	0	1330	928	698	830	662	0	681	1311	1334	997	1123	954	1157	403	0	1852	471	399	0	0	0	1978	1723	937	253	168	1003	1524	658	0	219	0	306	0	105	186	234	0
Mfsd2b	567.111111	1427	1050	1703	2780	2829	222	534	323	509	155	106	209	680	1015	784	1786	0	142	0	0	374	314	280	245	460	0	299	0	831	0	0	0	0	180	0	432	273	472	0	153	0	510	835	638	449	793	327	784	168	0	1143	1694	1723	0	0	0	1879	1625	920	380	0	375	869	3718	0	105	0	231	0	168	931	0	0
Kpna1	566.319444	943	972	1072	981	1106	1013	0	0	364	571	341	324	132	0	504	0	653	1059	1098	1220	0	0	331	595	945	547	737	436	577	270	224	248	169	1021	930	262	268	998	0	0	718	930	1094	1157	813	1182	1073	1355	1014	1075	1191	770	1032	324	0	0	824	981	184	189	201	0	0	386	273	269	159	839	203	264	955	409	0
Cpox	565.666667	981	678	1335	2339	2692	0	264	235	446	110	79	210	969	1396	581	1803	208	197	0	0	511	749	277	0	412	151	159	0	426	0	0	0	0	130	0	1272	1076	790	407	342	0	879	1323	739	658	1166	599	839	297	170	2228	755	185	0	0	0	1348	866	775	0	0	589	1273	3494	0	233	0	151	154	110	238	434	0
Art4	559.500000	1541	1006	1755	2524	3005	0	220	139	387	105	90	200	1044	1471	654	1164	243	307	0	118	614	940	355	94	419	139	221	0	272	0	0	0	0	0	0	803	615	1010	474	242	0	1034	1252	892	825	1251	826	628	315	0	2254	593	0	0	0	0	1078	1149	326	0	0	451	968	1520	0	382	0	343	463	407	613	543	0
Mob3a	557.500000	612	602	1068	2165	2366	163	364	242	448	104	83	214	942	1442	688	1663	320	261	0	111	587	481	276	0	263	333	329	0	465	0	0	0	0	0	0	1323	1061	641	383	420	0	658	1136	831	499	776	513	729	155	174	2518	1050	810	0	0	0	1525	1570	1008	414	338	731	1095	1903	0	322	0	198	0	0	585	182	0
Izumo4	557.500000	612	602	1068	2165	2366	163	364	242	448	104	83	214	942	1442	688	1663	320	261	0	111	587	481	276	0	263	333	329	0	465	0	0	0	0	0	0	1323	1061	641	383	420	0	658	1136	831	499	776	513	729	155	174	2518	1050	810	0	0	0	1525	1570	1008	414	338	731	1095	1903	0	322	0	198	0	0	585	182	0
Slc6a9	551.736111	1092	1089	1493	2037	2281	0	370	303	442	118	97	225	821	1267	774	1613	204	166	0	0	483	695	267	0	264	0	0	0	560	0	99	0	0	0	0	1005	669	864	181	158	0	909	1186	680	407	800	463	686	249	0	2116	418	193	0	0	0	1730	1953	1232	426	218	566	710	2770	0	301	119	257	397	331	206	765	0
Clcn3	547.458333	1576	1119	1844	1618	2848	298	332	245	325	0	120	236	694	1208	484	1323	149	161	0	0	647	1107	240	0	286	188	283	0	235	0	0	0	0	246	0	1009	386	826	204	219	0	805	1385	796	581	830	295	1069	416	0	1556	803	289	0	0	0	1406	1548	763	320	0	865	1537	726	0	403	230	388	320	271	788	571	0
Hk1	539.750000	1201	837	1542	1601	2008	0	1344	1352	1287	1239	1259	1253	2522	3111	1343	2797	181	0	0	0	240	280	366	79	316	0	0	0	124	0	0	0	0	0	0	169	0	550	139	0	0	582	877	513	320	686	176	393	0	0	1218	430	0	0	0	0	1601	1055	364	0	0	642	785	547	0	293	0	217	149	163	375	336	0
Tal1	518.611111	601	634	1143	2467	2770	0	456	334	517	219	175	286	1076	1500	864	1331	0	0	0	0	902	811	85	0	151	265	292	0	323	0	0	0	70	0	0	962	801	154	160	0	0	155	733	0	0	628	144	572	0	98	2138	1056	776	0	0	0	569	1766	1734	708	0	1032	1526	3405	0	0	0	0	0	0	800	151	0
Ppox	514.902778	867	889	1416	2096	2396	0	308	320	486	114	163	255	1140	1608	812	1870	98	165	0	0	491	614	397	0	459	0	0	0	224	0	0	0	0	0	0	839	552	540	149	150	0	563	1038	841	476	753	547	432	101	0	1913	292	0	0	0	0	2086	1884	1093	175	172	724	1285	1399	0	140	177	282	260	354	190	478	0
Hmbs	513.097222	1279	1051	1695	1775	2163	267	450	380	386	57	114	199	1077	1816	837	1975	0	121	0	87	517	554	189	0	215	0	0	0	264	0	0	0	0	148	0	723	332	554	172	0	0	569	1193	869	592	866	343	837	226	0	1616	668	321	0	0	0	1938	1721	1286	348	0	487	496	1606	0	213	0	282	0	0	579	490	0
E2f2	507.805556	1297	1018	1702	1753	2152	0	477	499	438	614	545	608	716	1349	1057	1555	217	240	0	0	241	564	182	0	202	0	139	0	477	0	0	0	0	0	0	1311	911	699	212	204	0	729	1313	609	244	1199	188	1035	368	0	1790	699	472	0	0	0	939	959	1009	308	0	0	0	1891	0	259	0	0	336	205	119	512	0
Cd59a	505.625000	1031	887	1429	2177	2768	309	684	799	866	225	381	461	1449	2153	1218	2434	206	181	0	0	445	310	549	0	488	0	86	0	887	0	0	0	0	0	0	386	97	331	161	110	0	314	481	421	507	572	288	220	185	152	1166	350	193	0	0	0	1998	1702	1074	189	310	265	660	411	0	111	0	121	171	91	462	483	0
Tnfaip8	497.208333	1140	707	1333	1499	2188	403	415	458	445	841	736	808	731	1119	612	1060	0	0	0	0	368	331	334	160	409	139	289	0	369	0	112	0	0	0	0	856	495	414	247	190	0	422	801	745	372	730	497	623	233	0	1501	649	422	0	0	0	1491	1588	1028	318	272	426	926	1047	0	470	124	438	348	348	228	544	0
Mettl6	494.527778	779	297	847	614	1342	0	463	298	422	89	112	141	1079	1817	809	1946	241	370	0	0	139	281	590	159	565	0	143	0	202	0	0	0	0	0	0	1204	1114	628	377	344	0	636	1060	1260	1228	1091	1176	552	252	139	2112	472	192	0	0	0	2332	1493	552	0	0	406	1169	782	0	261	113	313	273	159	171	0	0
Eaf1	494.527778	779	297	847	614	1342	0	463	298	422	89	112	141	1079	1817	809	1946	241	370	0	0	139	281	590	159	565	0	143	0	202	0	0	0	0	0	0	1204	1114	628	377	344	0	636	1060	1260	1228	1091	1176	552	252	139	2112	472	192	0	0	0	2332	1493	552	0	0	406	1169	782	0	261	113	313	273	159	171	0	0
Frmd4a	490.347222	1630	1202	1837	1456	2033	144	297	310	351	559	418	469	836	1192	690	1397	163	205	0	0	441	580	268	0	404	0	0	0	555	0	0	0	0	0	0	731	455	471	267	171	0	428	839	418	378	519	276	759	0	113	2052	682	482	0	0	0	1488	1590	1080	213	0	623	1182	966	0	353	0	159	204	295	265	409	0
Otub2	486.902778	766	609	1142	1010	2072	0	404	342	321	524	357	305	1159	1465	744	1662	233	567	0	151	564	551	543	258	759	0	0	0	150	0	0	0	0	102	0	1173	883	242	540	389	0	251	584	889	822	725	673	225	193	131	1549	502	0	0	0	0	2200	1671	940	151	174	664	1149	402	0	255	0	267	215	202	236	0	0
Nrtn	486.777778	655	575	1036	1876	2122	0	237	291	345	311	174	206	767	990	593	1346	0	193	0	0	499	396	0	0	176	0	265	0	531	0	0	0	0	124	0	690	641	345	185	0	0	338	917	211	250	717	255	487	0	271	2317	688	406	0	0	0	1508	1985	1653	353	0	583	1497	3001	0	472	186	0	226	260	898	0	0
Dus3l	486.777778	655	575	1036	1876	2122	0	237	291	345	311	174	206	767	990	593	1346	0	193	0	0	499	396	0	0	176	0	265	0	531	0	0	0	0	124	0	690	641	345	185	0	0	338	917	211	250	717	255	487	0	271	2317	688	406	0	0	0	1508	1985	1653	353	0	583	1497	3001	0	472	186	0	226	260	898	0	0
Mylk3	482.375000	765	578	1102	1547	2099	0	363	310	463	150	75	194	857	1467	620	1700	236	270	0	120	185	324	418	0	400	0	155	0	207	0	0	0	0	0	0	1368	706	776	274	264	0	781	1198	1279	895	1132	1138	759	380	145	1600	817	574	0	0	0	1608	1431	365	118	214	222	244	405	0	253	146	235	190	226	288	95	0
Smdt1	481.986111	643	450	936	1213	2060	0	172	314	359	0	0	104	858	1402	780	1635	0	230	0	0	382	547	393	0	432	152	226	0	236	0	0	0	0	0	0	1180	980	566	325	215	0	532	829	777	451	680	661	788	224	225	2050	819	351	0	0	0	1984	1685	1079	523	189	651	1434	654	0	263	0	190	0	174	256	444	0
Pheta2	481.986111	643	450	936	1213	2060	0	172	314	359	0	0	104	858	1402	780	1635	0	230	0	0	382	547	393	0	432	152	226	0	236	0	0	0	0	0	0	1180	980	566	325	215	0	532	829	777	451	680	661	788	224	225	2050	819	351	0	0	0	1984	1685	1079	523	189	651	1434	654	0	263	0	190	0	174	256	444	0
Naga	481.986111	643	450	936	1213	2060	0	172	314	359	0	0	104	858	1402	780	1635	0	230	0	0	382	547	393	0	432	152	226	0	236	0	0	0	0	0	0	1180	980	566	325	215	0	532	829	777	451	680	661	788	224	225	2050	819	351	0	0	0	1984	1685	1079	523	189	651	1434	654	0	263	0	190	0	174	256	444	0
Ppp1r15a	478.805556	1078	677	1348	1500	2108	220	279	211	376	101	0	186	790	1353	542	1156	0	188	0	0	396	777	224	0	225	264	219	0	388	0	0	0	0	0	0	795	414	903	110	131	0	897	1115	954	455	953	627	977	316	0	1660	680	740	0	0	0	1315	1608	875	338	0	468	1130	950	0	151	0	148	0	206	346	606	0
Plekha4	478.805556	1078	677	1348	1500	2108	220	279	211	376	101	0	186	790	1353	542	1156	0	188	0	0	396	777	224	0	225	264	219	0	388	0	0	0	0	0	0	795	414	903	110	131	0	897	1115	954	455	953	627	977	316	0	1660	680	740	0	0	0	1315	1608	875	338	0	468	1130	950	0	151	0	148	0	206	346	606	0
Pnpo	478.486111	708	410	906	1440	2357	0	271	279	152	0	0	132	748	1231	333	1053	305	244	0	126	314	297	436	124	486	112	184	0	124	0	0	0	0	0	0	1677	1407	681	451	345	0	658	1129	1295	1034	1048	818	691	202	319	1919	788	234	0	0	0	1800	1504	610	150	302	536	598	618	0	164	0	114	108	107	372	0	0
Sde2	478.027778	534	405	881	2385	2693	237	250	253	497	144	0	251	719	1277	670	1702	0	0	0	0	340	489	0	0	0	287	593	0	692	0	0	0	0	295	0	999	737	188	173	151	0	228	591	246	197	360	105	493	0	0	1915	675	678	0	0	0	1232	1538	1434	474	179	669	1339	3550	0	169	0	0	0	0	213	291	0
Vamp8	477.597222	679	471	973	1600	2164	0	452	311	367	168	186	267	883	1751	756	1841	345	268	0	143	161	459	471	0	467	148	182	0	102	0	0	0	0	0	0	1487	1233	515	577	613	0	508	1086	670	558	807	549	650	184	93	2218	697	441	0	0	0	1402	1605	1001	384	183	0	237	552	0	0	0	0	126	152	244	0	0
Rmdn3	474.652778	1155	855	1481	1161	1973	0	328	253	438	137	99	214	1011	1471	675	1423	118	146	0	0	376	455	395	137	483	0	0	0	222	0	79	0	0	129	0	644	197	632	452	453	0	648	1165	944	848	842	542	767	278	0	1532	381	149	0	0	0	2012	1808	727	122	160	472	1145	560	0	303	0	332	0	233	336	277	0
Npc2	474.361111	1200	716	1413	2480	2786	390	478	337	382	145	103	296	532	1156	572	1516	0	0	0	0	623	657	183	0	251	141	198	0	259	0	0	0	0	145	0	432	213	269	173	163	0	285	707	250	276	335	86	511	0	195	569	863	1037	0	0	0	1483	1738	749	314	0	922	1511	3340	0	0	0	0	139	0	517	118	0
Isca2	474.361111	1200	716	1413	2480	2786	390	478	337	382	145	103	296	532	1156	572	1516	0	0	0	0	623	657	183	0	251	141	198	0	259	0	0	0	0	145	0	432	213	269	173	163	0	285	707	250	276	335	86	511	0	195	569	863	1037	0	0	0	1483	1738	749	314	0	922	1511	3340	0	0	0	0	139	0	517	118	0
Ankrd9	473.777778	1097	698	1293	1444	2168	0	400	244	405	106	88	253	874	1538	516	1561	343	339	0	138	176	343	363	0	277	0	0	0	427	0	0	0	0	0	0	1078	847	791	392	435	0	774	1142	1050	672	1005	561	879	215	0	1748	529	0	0	0	0	1483	1437	694	0	321	196	513	1002	0	317	0	199	109	222	0	410	0
Ctse	473.402778	1309	1336	1886	600	2858	0	175	339	566	143	166	146	996	1607	688	1496	0	119	0	0	0	358	248	0	310	0	0	0	164	0	0	0	0	0	0	849	711	697	0	0	94	686	964	1033	996	938	1015	486	238	260	1559	202	0	0	0	0	2172	1730	978	131	0	293	503	291	0	393	107	359	270	332	0	288	0
Hscb	468.472222	1175	993	1643	2212	2157	501	246	207	291	91	50	196	580	1083	484	1366	0	0	0	0	600	624	174	0	360	0	155	0	389	0	0	0	0	118	0	498	236	308	157	175	0	293	620	250	296	409	322	678	168	0	932	983	456	0	0	0	1544	1463	1151	621	211	1186	2081	2227	0	0	0	0	148	0	361	261	0
Chek2	468.472222	1175	993	1643	2212	2157	501	246	207	291	91	50	196	580	1083	484	1366	0	0	0	0	600	624	174	0	360	0	155	0	389	0	0	0	0	118	0	498	236	308	157	175	0	293	620	250	296	409	322	678	168	0	932	983	456	0	0	0	1544	1463	1151	621	211	1186	2081	2227	0	0	0	0	148	0	361	261	0
Ache	461.194444	810	345	923	851	1580	79	316	257	396	153	169	142	821	1428	636	1431	480	492	0	104	215	208	371	0	488	79	116	0	220	0	0	0	0	0	0	1034	859	857	367	240	0	872	1199	1511	837	966	695	959	593	80	1778	593	168	0	0	0	1612	1170	651	163	195	318	618	538	0	180	0	270	64	88	302	319	0
Tedc2	460.652778	685	544	1096	748	1337	118	223	224	235	0	109	105	732	890	591	1199	216	326	0	106	224	161	308	0	554	218	183	0	143	0	0	0	0	0	0	1331	973	842	493	503	0	854	1049	1125	1055	901	653	987	439	223	1732	794	739	0	0	0	1714	1161	629	275	0	786	1449	765	0	155	0	0	0	0	265	0	0
Arhgap23	457.875000	443	433	763	1416	1479	0	198	316	446	88	121	237	925	1224	501	874	505	435	0	169	544	244	235	126	487	0	0	0	0	0	0	0	0	0	0	1288	852	624	649	661	0	665	1116	802	528	911	383	670	213	107	2039	373	0	0	0	0	1812	1578	1263	160	291	469	965	734	0	239	0	411	384	396	175	0	0
Tmem86b	457.125000	747	558	1112	1632	2254	79	193	281	361	117	78	145	663	1337	475	1593	0	0	0	0	276	386	272	0	254	0	0	0	396	0	0	0	0	0	0	1058	564	861	0	0	0	860	1089	931	558	753	804	719	168	189	1977	482	500	0	0	0	1652	1860	866	253	141	447	814	892	0	314	0	212	250	0	327	163	0
Nadk2	456.902778	988	883	1435	1592	2140	0	318	206	459	200	107	229	800	1262	695	1260	0	191	0	0	308	684	250	128	267	0	127	0	304	0	0	0	0	0	0	860	570	684	191	171	0	681	1111	749	355	857	459	716	174	201	2005	335	149	0	0	0	1301	1377	889	225	334	453	919	589	0	175	149	165	230	206	533	251	0
Ufsp1	455.222222	810	345	923	851	1580	79	316	257	396	153	0	142	821	1428	636	1431	480	492	0	104	215	208	371	0	488	79	116	0	220	0	0	0	0	0	0	1034	859	857	367	240	0	872	1199	1511	837	966	695	959	593	80	1778	593	168	0	0	0	1612	1170	651	163	195	318	618	277	0	180	0	270	64	88	302	319	0
Got1	453.291667	794	784	1228	1566	2397	267	288	133	434	88	118	135	845	1715	601	1798	0	0	0	0	0	604	307	0	530	0	71	0	431	0	0	0	0	0	0	461	270	253	0	0	0	276	688	573	310	744	0	576	0	93	778	635	510	0	0	0	2239	1915	1083	552	0	737	1362	2440	0	169	0	0	0	0	382	457	0
4930503B20Rik	453.138889	0	0	0	175	352	0	638	699	745	1026	995	1032	1225	1905	986	2057	0	156	0	162	0	0	128	0	94	0	0	109	439	165	136	0	138	0	0	1035	720	1082	150	155	0	1110	1359	2179	1927	1637	1626	1017	516	0	1002	912	469	0	0	0	1350	287	212	0	0	0	0	121	0	275	0	0	0	0	123	0	0
Epor	452.291667	554	487	734	1910	2062	102	169	119	421	150	85	198	732	1291	654	1413	159	0	0	0	346	408	135	0	0	146	255	0	191	0	0	0	0	0	0	937	621	612	0	151	0	627	1089	299	335	809	262	831	91	0	1862	539	430	0	0	0	1217	1411	1395	885	225	429	1206	2771	0	194	0	0	237	0	218	161	0
Cmas	448.486111	433	361	786	430	1263	257	1157	1376	1256	1540	1549	1489	847	1061	1429	1115	210	198	0	0	237	532	315	192	543	118	0	0	0	0	0	0	0	149	0	664	239	234	606	496	0	242	527	493	342	496	227	620	182	0	996	205	148	0	0	0	1951	1736	774	405	0	306	723	489	0	0	0	254	0	0	93	0	0
