Target_genes	Smad3|Average	SRX14617681|CH12	SRX14617689|CH12	SRX14617690|CH12	SRX14617691|CH12	SRX14617703|CH12	SRX14617704|CH12	SRX9912241|CH12	SRX9912242|CH12	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|ES_cells	SRX026255|ES_cells	SRX026256|ES_cells	SRX026257|ES_cells	SRX477547|ES_cells	SRX5251387|ES_cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	SRX15279811|TCMK-1	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Tmem125	252.187500	442	383	602	612	384	412	596	143	191	227	191	235	263	258	218	0	0	0	101	124	353	0	0	0	0	0	0	1525	228	246	0	336	0
Esyt1	247.718750	159	0	105	0	110	120	150	0	0	0	0	0	2039	1935	193	0	0	0	0	0	2455	0	173	0	0	172	0	0	136	180	0	0	0
Hif1a	246.968750	110	0	85	0	125	124	160	0	0	0	0	0	1951	1937	393	0	0	0	0	0	2564	0	271	183	0	0	0	0	0	0	0	0	0
Tle6	246.875000	120	0	0	0	0	0	0	0	0	0	0	0	2206	2448	0	0	165	0	165	0	2190	0	0	0	0	0	0	606	0	0	0	0	0
Eapp	244.031250	469	317	702	542	602	403	184	0	271	0	119	0	361	340	101	195	288	140	0	0	283	0	466	388	0	293	0	0	320	394	213	418	0
Ccny	242.343750	697	0	107	102	459	424	200	0	0	0	0	0	1062	2316	144	145	483	0	232	0	958	0	132	92	0	0	0	78	0	124	0	0	0
Tle4	242.250000	114	0	120	131	0	133	141	0	0	0	0	0	2078	2175	0	0	126	0	0	0	2109	0	119	0	0	0	0	506	0	0	0	0	0
Lefty2	238.687500	0	0	0	0	0	0	0	0	0	0	0	0	299	1795	0	932	1220	482	771	268	1871	0	0	0	0	0	0	0	0	0	0	0	0
Sh2d5	236.906250	173	0	0	0	171	106	0	0	0	0	0	0	2100	2076	175	87	128	0	141	0	2424	0	0	0	0	0	0	0	0	0	0	0	0
Midn	236.875000	203	0	0	0	99	89	0	0	0	0	0	0	2282	2170	128	0	0	0	0	0	2134	0	0	0	0	0	0	0	151	157	0	167	0
Utp14b	235.718750	450	0	0	0	302	397	208	0	0	0	0	0	1334	1563	198	0	139	0	236	0	1644	0	434	234	0	159	0	0	123	122	0	0	0
Acsl3	235.718750	450	0	0	0	302	397	208	0	0	0	0	0	1334	1563	198	0	139	0	236	0	1644	0	434	234	0	159	0	0	123	122	0	0	0
Tex14	233.937500	526	412	740	539	457	381	122	0	138	0	122	0	271	246	119	297	330	95	146	0	115	0	423	387	0	307	0	0	291	382	228	412	0
Kansl3	229.781250	924	438	1109	743	791	856	434	0	0	0	0	0	666	538	163	0	0	0	174	0	354	0	163	0	0	0	0	0	0	0	0	0	0
Fer1l5	229.781250	924	438	1109	743	791	856	434	0	0	0	0	0	666	538	163	0	0	0	174	0	354	0	163	0	0	0	0	0	0	0	0	0	0
Srm	228.937500	134	0	0	0	146	145	135	0	0	0	0	0	1918	2164	171	0	0	0	0	0	2513	0	0	0	0	0	0	0	0	0	0	0	0
Rdm1	228.125000	887	490	651	701	538	610	0	170	0	0	0	0	188	206	131	0	195	0	0	0	189	0	281	406	0	265	0	0	383	320	271	418	0
Id3	224.562500	341	0	0	0	221	228	191	0	0	0	0	0	1328	1530	291	0	160	0	224	185	1574	0	121	0	0	0	0	0	154	228	179	231	0
Tle1	223.500000	0	0	0	0	0	0	0	0	0	0	0	0	2065	2146	160	0	0	0	0	0	2057	0	0	0	0	0	0	724	0	0	0	0	0
Taf12	222.812500	524	355	602	435	549	343	71	0	0	0	0	0	428	426	160	0	196	85	140	0	334	0	316	419	0	325	0	0	297	460	230	435	0
Nrarp	221.593750	350	86	102	81	405	203	149	0	0	0	0	0	1751	1603	200	0	0	0	0	0	2161	0	0	0	0	0	0	0	0	0	0	0	0
Klf10	219.375000	257	0	0	0	230	171	120	0	0	0	0	0	1718	1718	257	0	96	0	0	0	2017	0	167	151	0	0	0	118	0	0	0	0	0
Slc20a1	216.093750	187	0	0	0	107	80	94	0	0	0	0	0	1598	1553	167	0	0	0	0	0	2505	0	218	0	0	0	0	0	118	172	0	116	0
Ccdc107	215.437500	801	559	927	734	903	439	0	200	0	0	0	0	607	594	290	0	0	0	127	0	333	0	219	0	0	0	0	0	0	161	0	0	0
Pbk	215.000000	186	0	131	77	165	176	228	0	0	0	0	0	1820	2145	109	0	0	0	0	0	1843	0	0	0	0	0	0	0	0	0	0	0	0
Klf6	214.531250	0	0	0	0	0	0	0	0	0	0	0	0	1759	1593	224	0	0	0	0	0	2196	0	214	0	0	0	0	0	244	276	107	252	0
Mtf2	213.218750	973	0	128	135	761	736	293	0	0	0	0	0	522	1324	242	109	264	0	239	147	392	0	176	93	0	0	0	0	0	148	0	141	0
Txlna	211.687500	78	0	0	0	0	0	0	0	0	0	0	0	1766	1895	173	0	0	0	0	0	2862	0	0	0	0	0	0	0	0	0	0	0	0
Poldip3	210.875000	396	337	660	504	606	384	0	0	110	0	0	0	460	399	114	0	158	0	0	0	201	0	307	337	0	170	0	0	450	417	274	464	0
Nphs1	208.906250	0	0	0	0	0	0	0	0	0	0	0	0	424	2083	0	679	1025	202	633	178	1461	0	0	0	0	0	0	0	0	0	0	0	0
Esrp1	208.312500	0	0	0	0	0	0	0	0	0	0	0	0	2341	2188	0	0	0	0	0	0	2137	0	0	0	0	0	0	0	0	0	0	0	0
Megf9	207.281250	0	0	0	0	0	0	0	0	0	0	0	0	1892	1975	120	0	0	0	0	0	2464	0	71	0	0	0	0	0	0	111	0	0	0
Eps15	207.125000	808	484	691	642	539	573	406	0	0	0	0	0	702	747	196	0	0	0	279	0	561	0	0	0	0	0	0	0	0	0	0	0	0
Smad7	206.468750	999	0	0	0	820	949	298	0	0	0	0	0	451	1350	111	101	323	0	247	0	591	0	212	0	0	155	0	0	0	0	0	0	0
Fam25c	201.781250	0	0	0	0	0	0	0	0	0	0	0	0	356	2473	0	498	693	183	305	196	1753	0	0	0	0	0	0	0	0	0	0	0	0
Tle2	198.937500	162	0	0	0	125	158	0	0	0	0	0	0	1656	1785	324	0	0	0	78	0	1850	0	0	0	0	0	0	228	0	0	0	0	0
Gadd45g	198.656250	0	0	0	0	0	0	0	0	0	0	0	0	1047	1066	251	0	166	0	152	0	1564	0	672	389	119	311	0	0	172	170	81	197	0
Per1	196.281250	0	0	0	0	0	0	0	0	0	0	0	0	1681	1715	589	0	0	0	0	0	2296	0	0	0	0	0	0	0	0	0	0	0	0
Cltc	195.593750	720	0	283	125	539	708	320	0	0	0	0	0	746	1286	253	0	174	0	194	0	731	0	110	0	0	0	0	0	70	0	0	0	0
Pitx3	195.312500	0	0	0	0	0	0	130	0	0	0	0	0	1639	1818	215	0	0	0	0	0	2448	0	0	0	0	0	0	0	0	0	0	0	0
Gbf1	195.312500	0	0	0	0	0	0	130	0	0	0	0	0	1639	1818	215	0	0	0	0	0	2448	0	0	0	0	0	0	0	0	0	0	0	0
Inafm2	193.250000	0	0	0	0	0	109	82	0	0	0	0	0	1868	1825	302	0	0	0	217	0	1641	0	140	0	0	0	0	0	0	0	0	0	0
Pde4a	192.437500	1631	214	284	305	1487	1264	256	0	0	0	0	0	194	282	94	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc88a	191.593750	682	0	164	125	391	629	462	0	0	0	0	0	621	1367	210	0	0	0	154	0	355	0	196	188	0	123	0	162	130	172	0	0	0
Kmt2a	191.468750	766	274	362	405	665	646	563	0	0	0	0	0	560	1111	102	0	0	0	110	0	290	0	0	81	0	0	0	0	0	104	0	88	0
Tmem107	188.968750	385	442	636	490	544	363	0	0	0	0	0	0	170	249	70	0	244	0	0	0	121	0	322	465	0	0	0	0	405	418	241	482	0
Zfp280d	188.843750	961	369	655	514	901	950	640	0	0	0	0	0	251	362	125	0	0	0	0	0	160	0	155	0	0	0	0	0	0	0	0	0	0
Mxd4	188.531250	0	0	0	0	95	0	0	0	0	0	0	0	1492	1391	250	0	0	0	0	0	2566	0	0	0	0	122	0	0	0	0	0	117	0
Prdm15	186.750000	644	688	1049	971	921	948	205	0	0	0	0	0	153	275	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0
Kmt5b	186.500000	133	0	0	0	196	169	193	0	0	0	0	0	825	732	128	0	0	0	0	0	1476	0	717	274	0	503	0	0	170	263	0	189	0
Ass1	186.281250	395	0	0	0	480	282	84	0	0	0	0	0	1152	1145	0	0	0	0	121	0	2302	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad4	186.250000	1250	0	92	0	1136	1210	344	0	0	0	0	0	463	999	0	0	0	0	111	0	355	0	0	0	0	0	0	0	0	0	0	0	0
Sgpl1	185.531250	138	0	0	0	128	0	161	0	0	0	0	0	1554	1684	172	0	0	0	0	0	1593	0	210	0	0	0	0	0	116	87	0	94	0
Hoxb13	185.156250	0	0	0	0	0	0	0	0	0	0	0	0	517	1755	0	700	898	177	299	122	1457	0	0	0	0	0	0	0	0	0	0	0	0
Ints10	185.093750	768	529	745	751	609	590	241	0	0	0	0	0	471	646	114	0	0	0	95	0	252	0	112	0	0	0	0	0	0	0	0	0	0
Tnks1bp1	184.093750	98	0	0	0	0	0	0	0	0	0	0	0	1864	1669	260	0	0	0	0	0	1817	0	0	0	0	0	0	0	0	0	0	183	0
Tut7	183.437500	613	301	396	432	593	483	283	0	0	0	0	0	662	911	184	0	0	0	0	0	704	0	0	0	0	115	0	87	0	106	0	0	0
Alyref2	182.843750	564	230	530	529	523	258	192	0	0	0	0	0	451	334	93	0	171	0	0	0	286	0	193	316	0	131	0	0	228	323	222	277	0
Gtf3c6	182.500000	200	132	309	234	248	205	103	0	0	0	0	0	107	167	104	218	299	0	0	0	88	0	367	640	0	200	0	0	607	474	514	624	0
Ptdss1	181.562500	648	0	0	0	770	572	138	0	0	0	0	0	948	1067	148	0	0	0	0	0	1326	0	93	0	0	0	0	0	0	100	0	0	0
Mterf3	181.562500	648	0	0	0	770	572	138	0	0	0	0	0	948	1067	148	0	0	0	0	0	1326	0	93	0	0	0	0	0	0	100	0	0	0
Defb41	180.687500	0	0	0	0	0	105	0	0	0	0	0	0	172	2722	0	339	545	126	0	0	1773	0	0	0	0	0	0	0	0	0	0	0	0
Zfp131	179.625000	104	0	0	0	0	112	152	0	0	0	0	0	1741	1845	0	0	0	0	0	0	1794	0	0	0	0	0	0	0	0	0	0	0	0
Pitx2	179.593750	0	0	0	0	0	0	0	0	0	0	0	0	409	1269	0	865	1212	494	913	0	585	0	0	0	0	0	0	0	0	0	0	0	0
Lypla1	179.156250	163	0	0	0	175	126	201	0	0	0	0	0	469	2130	110	244	408	0	659	0	826	0	149	0	0	0	0	0	0	73	0	0	0
Mnt	178.125000	336	0	415	194	211	349	0	0	0	0	0	0	1108	1052	171	0	107	0	95	0	1662	0	0	0	0	0	0	0	0	0	0	0	0
Naa16	176.937500	798	0	122	0	727	522	294	0	0	0	0	0	395	558	220	0	0	0	0	0	1302	0	168	0	0	0	0	0	143	138	118	157	0
Radil	176.906250	128	0	0	0	0	153	0	0	0	0	0	0	188	2608	202	474	721	225	181	0	781	0	0	0	0	0	0	0	0	0	0	0	0
Nanos3	175.000000	611	0	0	0	436	583	109	0	0	0	0	0	264	1645	0	244	598	0	344	0	766	0	0	0	0	0	0	0	0	0	0	0	0
Calm2	174.562500	718	0	98	129	645	714	297	0	0	0	0	0	465	884	0	0	0	0	101	0	150	0	335	0	0	119	0	0	210	286	146	289	0
Cndp2	174.125000	0	0	0	0	0	97	94	0	0	0	0	0	1406	1716	101	0	0	0	0	0	2158	0	0	0	0	0	0	0	0	0	0	0	0
Ssbp2	173.968750	293	0	145	94	196	178	127	0	0	0	0	0	1250	1556	130	0	0	0	154	0	1355	0	0	0	0	0	0	0	0	89	0	0	0
Pdk2	173.625000	0	0	0	0	0	0	0	0	0	0	0	0	1382	1740	220	0	0	0	0	0	2214	0	0	0	0	0	0	0	0	0	0	0	0
Kcnab2	173.500000	140	0	153	0	0	0	0	0	0	0	0	0	1266	1302	198	0	0	0	0	0	2493	0	0	0	0	0	0	0	0	0	0	0	0
Nphp4	173.031250	140	0	153	0	0	0	0	0	0	0	0	0	1266	1302	183	0	0	0	0	0	2493	0	0	0	0	0	0	0	0	0	0	0	0
Sptbn4	172.750000	96	85	0	0	0	122	0	0	0	0	0	0	1361	1469	297	0	0	0	0	0	1992	0	106	0	0	0	0	0	0	0	0	0	0
BC107364	172.687500	718	468	697	660	649	596	182	0	0	0	0	0	232	177	0	231	348	0	114	0	95	0	123	236	0	0	0	0	0	0	0	0	0
Kras	172.500000	217	0	0	0	178	333	134	0	0	0	0	0	1275	1386	162	0	0	0	199	0	1636	0	0	0	0	0	0	0	0	0	0	0	0
Hes1	171.000000	324	0	0	0	200	276	190	0	0	0	0	0	920	801	117	138	151	0	404	0	1764	0	187	0	0	0	0	0	0	0	0	0	0
Wwox	170.812500	554	349	504	443	469	201	140	0	0	0	0	0	188	223	298	0	228	390	137	0	0	254	0	181	362	183	362	0	0	0	0	0	0
Atad2b	170.406250	930	0	0	130	841	1023	417	0	0	0	0	0	301	723	213	0	118	0	171	0	133	0	242	0	0	0	0	128	0	83	0	0	0
Lrig1	169.656250	0	0	0	0	0	0	0	0	0	0	0	0	1427	1592	233	0	0	0	83	0	1991	0	0	0	0	0	0	0	0	103	0	0	0
Cnbp	168.375000	98	0	0	0	0	76	274	0	0	0	0	0	1505	1268	286	0	0	0	0	0	1770	0	0	0	0	0	0	0	0	111	0	0	0
Ttc9	167.437500	0	0	0	0	0	0	0	0	0	0	0	0	1758	1765	84	0	0	0	0	0	1751	0	0	0	0	0	0	0	0	0	0	0	0
Scaf11	165.875000	429	0	286	148	498	429	628	98	0	0	0	0	540	1039	248	0	0	0	0	0	784	0	107	0	0	0	0	0	0	74	0	0	0
Sppl2a	164.968750	117	0	0	0	138	132	98	0	0	0	0	0	1509	1333	0	0	0	0	102	0	1616	0	0	0	0	0	0	0	87	147	0	0	0
Tent4a	164.312500	564	0	0	0	371	412	175	0	0	0	0	0	506	1851	130	101	246	0	189	0	553	0	0	0	0	0	0	160	0	0	0	0	0
Slc30a1	163.812500	0	0	0	0	0	95	116	0	0	0	0	0	1477	1637	122	0	0	0	0	0	1795	0	0	0	0	0	0	0	0	0	0	0	0
Crlf2	161.781250	110	0	0	0	116	0	0	0	0	0	0	0	1523	1597	119	0	0	0	0	0	1547	0	0	0	0	0	0	165	0	0	0	0	0
Abhd6	160.687500	0	0	0	176	0	0	0	0	0	0	0	0	561	678	260	0	0	284	0	272	646	366	295	206	430	361	484	0	0	0	0	123	0
Sirt4	160.218750	540	235	498	573	525	319	0	0	0	0	0	0	240	160	222	0	93	0	155	0	0	0	258	214	0	159	0	0	220	299	141	276	0
Mt2	159.343750	0	0	0	0	0	0	0	0	0	0	0	0	1483	1232	162	0	0	0	121	0	1648	0	0	150	0	0	0	0	76	133	0	94	0
Hes6	158.718750	363	0	0	0	311	282	0	0	0	0	0	0	323	1517	168	156	626	0	642	0	378	0	0	0	0	0	0	0	104	104	0	105	0
Tdgf1	158.187500	0	0	0	0	0	0	0	0	0	0	0	0	182	1810	0	446	581	327	476	226	1014	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc2	158.187500	0	0	0	0	0	0	0	0	0	0	0	0	182	1810	0	446	581	327	476	226	1014	0	0	0	0	0	0	0	0	0	0	0	0
Olfr697	157.500000	0	0	0	0	0	0	0	0	0	0	0	0	133	2500	0	182	307	0	0	92	1826	0	0	0	0	0	0	0	0	0	0	0	0
B3gntl1	157.218750	114	0	0	0	0	0	136	0	0	0	0	0	877	1377	154	0	0	0	0	0	2242	0	0	0	0	0	0	0	0	131	0	0	0
Tlr2	155.593750	1523	0	0	0	1330	1184	120	0	0	0	0	0	306	317	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0
Ubr7	155.281250	108	0	106	0	122	96	174	0	0	0	0	0	248	2520	0	238	493	104	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0
Gon7	155.281250	108	0	106	0	122	96	174	0	0	0	0	0	248	2520	0	238	493	104	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0
Gm20604	155.281250	108	0	106	0	122	96	174	0	0	0	0	0	248	2520	0	238	493	104	0	0	760	0	0	0	0	0	0	0	0	0	0	0	0
Srsf7	154.843750	223	0	0	103	98	189	151	0	0	0	0	0	200	334	278	0	98	0	81	0	147	0	702	309	0	399	0	84	351	542	241	425	0
Phlpp1	153.406250	113	0	0	0	0	114	127	0	0	0	0	0	1591	1173	250	0	0	0	0	0	1541	0	0	0	0	0	0	0	0	0	0	0	0
Ing1	153.125000	87	0	0	0	0	163	77	0	0	0	0	0	168	204	127	0	0	0	0	0	134	0	886	515	99	479	95	0	416	412	439	599	0
Olfm2	152.562500	940	0	0	0	811	816	178	0	0	0	0	0	383	1196	94	0	138	0	0	0	227	0	0	0	0	0	0	99	0	0	0	0	0
Gm3448	152.375000	501	69	214	154	266	274	417	0	0	0	0	0	660	628	557	0	97	0	291	0	291	0	231	146	0	80	0	0	0	0	0	0	0
Gm3417	152.375000	501	69	214	154	266	274	417	0	0	0	0	0	660	628	557	0	97	0	291	0	291	0	231	146	0	80	0	0	0	0	0	0	0
Lgr4	152.187500	0	0	0	0	0	63	167	0	0	0	0	0	424	2185	136	215	380	103	77	0	531	0	252	0	0	95	0	0	0	106	0	136	0
Lfng	151.812500	0	0	0	0	0	92	0	0	0	0	0	0	975	946	190	0	77	0	110	0	1955	0	186	138	0	0	0	189	0	0	0	0	0
Zfand3	151.375000	162	0	104	0	107	121	184	0	0	0	0	0	1089	1271	152	0	0	0	0	0	1052	0	0	0	0	149	0	0	186	166	0	101	0
Fgd4	150.750000	0	0	0	0	0	0	0	0	0	0	0	0	407	2204	201	136	410	0	0	0	1466	0	0	0	0	0	0	0	0	0	0	0	0
Usp3	150.187500	623	398	436	299	377	480	311	0	0	0	0	0	390	738	262	0	102	0	139	0	251	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h10	149.531250	410	0	357	460	539	661	365	372	0	0	0	0	144	168	224	0	0	0	0	0	0	0	217	152	0	148	0	0	157	196	0	215	0
Rpl41	149.531250	410	0	357	460	539	661	365	372	0	0	0	0	144	168	224	0	0	0	0	0	0	0	217	152	0	148	0	0	157	196	0	215	0
Tle3	149.281250	368	0	0	0	301	295	0	0	0	0	0	0	920	954	147	0	0	0	78	0	1082	0	122	0	0	0	0	510	0	0	0	0	0
Grcc10	149.218750	389	280	436	409	534	422	138	0	0	0	0	0	224	278	280	0	81	0	0	0	181	0	207	183	0	96	0	0	124	168	141	204	0
Exd1	148.062500	318	156	412	505	466	361	404	0	0	0	0	0	612	839	276	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0
Chp1	148.062500	318	156	412	505	466	361	404	0	0	0	0	0	612	839	276	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0
G3bp2	146.937500	191	0	112	0	186	133	190	108	0	0	0	0	930	996	296	0	0	0	0	0	1394	0	0	166	0	0	0	0	0	0	0	0	0
Tjp3	146.843750	614	323	478	318	335	445	157	0	0	0	0	0	309	455	398	0	0	0	208	0	161	0	250	0	0	0	0	0	0	119	0	129	0
Pabpc1	145.062500	167	0	122	168	150	232	438	201	0	0	0	0	366	512	190	0	0	0	206	0	220	0	245	179	0	264	0	97	206	289	134	256	0
Stat3	145.000000	403	0	0	0	213	157	85	0	0	0	0	0	836	666	254	0	111	0	170	0	1423	0	107	0	0	0	0	0	0	112	0	103	0
Ptpn6	144.812500	389	280	436	409	534	422	0	0	0	0	0	0	224	263	216	0	81	0	0	0	257	0	207	183	0	96	0	0	124	168	141	204	0
Urgcp	144.406250	177	0	65	0	140	163	302	0	0	0	0	0	292	954	269	135	209	0	333	0	343	0	354	174	0	100	0	0	235	246	0	130	0
Pdlim7	144.250000	813	0	0	0	692	577	0	0	0	0	0	0	240	462	223	0	196	0	0	0	178	0	414	189	0	155	0	0	236	241	0	0	0
Kdm6b	143.718750	783	0	0	0	394	291	0	0	0	0	0	0	891	970	182	0	0	0	134	0	871	0	0	0	0	0	0	0	0	83	0	0	0
Srp19	143.687500	220	0	173	0	203	197	183	0	0	0	0	0	722	766	184	0	150	0	91	0	1168	0	108	90	0	0	0	0	97	118	0	128	0
1190007I07Rik	143.218750	127	0	82	85	131	143	189	0	0	0	0	0	1090	1156	80	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0
Nodal	143.187500	0	0	0	0	0	0	0	0	0	0	0	0	293	2031	0	212	776	188	480	192	410	0	0	0	0	0	0	0	0	0	0	0	0
Rps29	142.687500	114	235	0	0	122	131	458	148	0	0	1680	0	156	254	310	178	265	0	200	0	118	0	0	0	0	0	0	197	0	0	0	0	0
Kdm2b	142.531250	0	0	0	0	0	0	130	0	0	0	0	0	1181	1155	136	0	0	0	0	0	1672	0	110	0	0	177	0	0	0	0	0	0	0
Xkr7	142.437500	797	370	582	399	586	561	178	0	0	0	0	0	293	423	0	0	0	0	166	0	203	0	0	0	0	0	0	0	0	0	0	0	0
Ogdhl	142.125000	976	0	0	84	724	825	250	0	0	0	0	0	333	952	0	0	200	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0
Nemf	141.875000	136	198	0	0	77	114	359	199	0	0	1652	0	126	234	245	232	328	0	348	0	0	0	0	0	0	0	0	179	0	113	0	0	0
Sh3glb1	141.343750	443	198	288	215	296	332	561	203	0	0	0	0	376	1108	137	0	0	0	124	0	242	0	0	0	0	0	0	0	0	0	0	0	0
Calm1	141.093750	322	0	154	0	238	212	303	0	0	0	0	0	319	629	101	0	169	0	245	0	264	0	294	232	0	188	0	0	211	296	89	249	0
Uso1	141.031250	191	0	0	0	186	112	134	108	0	0	0	0	930	996	296	0	0	0	0	0	1394	0	0	166	0	0	0	0	0	0	0	0	0
Pou5f1	140.531250	0	0	0	0	0	0	0	0	0	0	0	0	505	1083	0	422	617	80	994	201	595	0	0	0	0	0	0	0	0	0	0	0	0
Arid5a	139.750000	204	0	0	0	178	207	129	0	0	0	0	0	159	372	163	0	0	0	0	0	0	0	850	476	0	436	0	0	338	428	189	343	0
Slc45a3	139.656250	209	0	0	0	130	171	0	0	0	0	0	0	1350	1482	0	0	0	0	0	0	1127	0	0	0	0	0	0	0	0	0	0	0	0
Tatdn2	139.250000	160	0	0	0	167	144	0	0	0	0	0	0	785	884	361	0	0	0	0	0	1669	0	80	0	0	0	0	0	120	0	0	86	0
Pdia3	139.250000	262	0	0	0	144	182	158	0	0	0	0	0	850	874	281	0	0	0	146	0	1160	0	173	0	0	106	0	0	0	120	0	0	0
Catsper2	139.250000	262	0	0	0	144	182	158	0	0	0	0	0	850	874	281	0	0	0	146	0	1160	0	173	0	0	106	0	0	0	120	0	0	0
