Target_genes	FOXO1|Average	SRX1012536|B_cells	SRX1012537|B_cells	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX10475880|Hep_G2	SRX10475881|Hep_G2	SRX3230384|Hep_G2	SRX5548891|HUVEC	SRX5548892|HUVEC	SRX359830|LoVo	SRX9674621|Myoblasts	SRX9674623|Myoblasts	SRX9674625|Myoblasts	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	SRX9674615|RH-30	SRX9674611|Rh-4	SRX9674613|Rh-4	SRX9674619|SMS-CTR	SRX7570799|SU-DHL-4	SRX7570800|SU-DHL-4	SRX7570801|SU-DHL-4	SRX9674617|Unclassified	STRING
JUNB	239.960000	0	105	162	0	0	465	545	877	219	79	83	0	0	156	0	0	370	0	0	0	0	1171	986	781	0	0
SSH2	239.920000	193	144	0	0	0	0	133	212	128	0	207	0	0	361	309	0	795	250	321	225	0	937	1050	733	0	0
CELF2	238.400000	365	196	0	0	0	0	0	0	0	0	121	0	0	466	171	0	378	0	0	0	0	1521	1420	1322	0	0
SLC43A2	238.280000	253	186	0	0	0	144	367	794	520	0	196	0	0	0	0	0	319	0	0	0	0	1289	1082	807	0	0
EFCAB5	238.280000	193	144	0	0	0	0	127	212	128	0	172	0	0	361	309	0	795	250	321	225	0	937	1050	733	0	0
IRF2BPL	236.680000	0	0	0	0	0	412	213	594	199	0	266	0	0	891	459	0	579	146	879	575	0	225	278	201	0	0
NR4A3	236.280000	0	0	0	0	0	150	65	0	0	0	115	0	0	1338	760	0	1437	426	474	258	0	337	245	302	0	0
FAM151B	236.280000	0	0	0	0	0	0	164	107	0	0	100	0	0	1086	778	0	312	736	1606	1018	0	0	0	0	0	0
CWF19L1	236.040000	0	0	0	0	0	0	121	134	0	0	0	0	0	1920	1166	0	0	719	1180	661	0	0	0	0	0	0
AQP1	235.680000	0	0	0	0	0	0	0	0	0	0	0	0	0	1217	1091	0	0	1248	1477	859	0	0	0	0	0	0
ETV5	235.120000	194	158	0	0	0	206	238	197	0	0	253	0	0	0	0	0	507	0	0	0	0	1585	1542	998	0	0
ELMO1	235.120000	0	0	0	0	0	0	98	129	0	0	176	0	0	429	261	0	509	420	1706	1130	0	360	343	317	0	0
NDUFAF6	235.040000	0	0	0	0	0	0	217	272	0	0	318	0	0	241	86	0	1565	0	0	0	0	1036	1219	922	0	0
SOX12	234.920000	0	0	0	0	0	0	262	258	0	0	0	0	0	0	52	0	1230	0	0	0	0	1422	1333	1316	0	0
HEXB	234.840000	0	0	0	0	0	224	264	344	0	0	151	0	0	1571	786	0	421	242	1009	859	0	0	0	0	0	0
BCAT1	234.320000	0	0	0	0	0	194	190	112	0	0	168	0	0	1548	1388	0	335	457	948	518	0	0	0	0	0	0
WDR48	234.120000	219	0	0	0	0	540	722	793	186	0	425	0	0	0	0	0	117	0	0	0	0	1134	982	735	0	0
SCN11A	234.120000	219	0	0	0	0	540	722	793	186	0	425	0	0	0	0	0	117	0	0	0	0	1134	982	735	0	0
DCAF11	233.640000	92	0	0	0	0	167	622	828	286	0	374	0	0	188	113	0	791	0	160	0	0	754	669	797	0	0
IL16	232.640000	403	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	1614	1731	1531	0	0
LEP	232.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	205	107	0	1337	0	0	0	0	1330	1603	1218	0	0
MAP1LC3B	231.600000	92	0	0	0	0	287	464	445	279	0	103	0	0	910	573	0	1009	0	399	216	0	324	417	272	0	0
AMZ2	231.520000	0	0	0	0	0	0	249	109	0	0	171	0	0	1470	687	0	715	881	1006	500	0	0	0	0	0	0
UBE2B	230.200000	113	0	123	0	0	245	376	463	100	0	182	0	0	0	0	0	423	0	0	0	0	1279	1439	1012	0	0
CDKL3	230.200000	113	0	123	0	0	245	376	463	100	0	182	0	0	0	0	0	423	0	0	0	0	1279	1439	1012	0	0
TSFM	229.400000	170	88	0	0	0	372	667	729	394	0	302	0	0	131	0	0	203	342	119	0	0	843	713	662	0	0
PPM1A	229.320000	0	0	0	0	0	0	0	129	0	0	149	0	0	337	131	0	2063	0	0	0	0	1073	1054	797	0	0
NEGR1	228.880000	0	0	0	0	0	165	83	0	0	0	299	0	355	1393	1203	0	0	707	845	672	0	0	0	0	0	0
STK11	228.760000	0	0	0	0	0	146	258	423	199	0	134	0	0	0	0	0	1213	0	0	0	0	1305	1135	906	0	0
TTC39C	227.640000	305	208	0	0	0	470	156	388	89	0	172	0	0	0	0	0	229	0	0	0	0	1471	1601	602	0	0
C16orf72	227.280000	0	0	0	0	0	0	417	226	0	0	0	0	0	1376	725	0	519	508	1269	642	0	0	0	0	0	0
OSTF1	227.080000	0	0	0	0	0	0	0	0	0	0	0	0	322	1823	1226	0	240	525	1035	506	0	0	0	0	0	0
NMRK1	227.080000	0	0	0	0	0	0	0	0	0	0	0	0	322	1823	1226	0	240	525	1035	506	0	0	0	0	0	0
SLC7A7	226.600000	0	0	0	0	0	91	0	204	0	0	212	0	0	1318	756	0	412	494	1323	855	0	0	0	0	0	0
SMIM30	225.480000	0	0	0	0	0	0	110	116	0	0	78	0	0	1734	1281	0	0	401	1184	733	0	0	0	0	0	0
TRIB1	224.400000	0	0	0	0	0	1068	627	717	199	0	271	0	0	79	0	0	972	0	0	0	0	503	657	517	0	0
COL23A1	224.360000	0	0	0	0	0	0	287	143	0	247	296	0	207	304	364	0	387	0	824	792	254	559	339	383	223	0
BTD	223.720000	258	229	0	0	0	144	211	335	144	0	168	0	0	0	0	0	120	0	0	0	0	1312	1391	1281	0	0
RHOQ	223.320000	168	98	0	0	0	139	101	189	0	0	0	0	0	1167	547	0	0	346	581	146	0	686	767	648	0	0
ATP6V1E2	223.320000	168	98	0	0	0	139	101	189	0	0	0	0	0	1167	547	0	0	346	581	146	0	686	767	648	0	0
TSC1	223.040000	118	0	0	142	0	138	418	259	0	0	245	0	0	162	0	0	0	0	0	0	0	1542	1323	1229	0	0
KCNMB2	222.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	1729	2071	1675	0	0
KIZ	221.720000	0	123	0	121	0	235	775	753	0	0	446	0	0	128	0	0	76	0	0	0	0	1132	863	891	0	0
PLEKHM3	221.680000	277	115	0	0	0	371	1164	1286	403	0	482	0	0	262	183	0	323	0	122	0	0	136	223	195	0	0
LIMS1	221.680000	227	124	0	0	0	462	198	0	121	0	242	0	0	1307	978	0	275	422	353	0	0	313	253	267	0	0
ZNF106	221.360000	0	0	0	0	0	88	76	141	0	0	185	0	168	2056	1004	0	131	363	721	406	0	71	124	0	0	0
HBB	221.080000	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	449	0	0	0	0	1718	1757	1483	0	0
SSTR5	220.920000	0	0	0	0	0	237	261	639	166	0	143	0	0	519	333	0	2065	0	781	379	0	0	0	0	0	0
IQSEC3	220.240000	0	0	0	0	0	281	1890	2298	0	0	152	0	0	112	0	0	654	0	0	119	0	0	0	0	0	0
PTTG1IP	219.600000	0	0	0	0	0	145	231	405	104	0	79	0	0	1608	1212	0	239	0	1024	443	0	0	0	0	0	0
RABGAP1L	219.480000	175	0	0	0	0	267	114	130	0	0	142	0	0	153	0	0	1138	0	0	0	0	1400	1083	885	0	0
VPS36	219.080000	161	0	0	0	0	131	274	163	0	0	144	0	0	195	110	0	2585	0	0	0	0	791	594	329	0	0
NCF1	218.680000	571	317	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	1428	1829	1130	0	0
LAPTM5	218.320000	506	314	0	0	0	0	0	0	0	0	0	0	0	356	154	0	1680	0	0	0	0	786	944	718	0	0
DHX40	218.320000	138	119	0	0	0	273	761	500	123	0	211	0	0	0	0	0	0	0	0	0	0	1189	975	1169	0	0
DNAJB2	217.800000	291	0	0	0	0	295	157	206	0	0	202	0	0	0	0	0	2103	0	0	0	0	602	1068	521	0	0
RBM17	217.720000	282	114	0	0	93	379	650	888	188	0	0	0	0	252	82	0	0	0	0	0	0	1003	864	648	0	0
NINJ2	217.720000	0	0	0	0	0	80	418	1418	401	0	107	0	0	404	153	0	2127	0	0	0	0	144	0	191	0	0
VASN	217.120000	0	0	0	0	0	0	82	281	0	0	0	0	0	0	0	0	110	0	0	0	0	1538	1912	1505	0	0
NKIRAS1	216.600000	0	0	0	0	0	277	237	291	112	0	221	0	0	366	353	0	1110	0	81	0	0	886	848	633	0	0
POLR1H	216.360000	0	0	0	0	0	402	237	299	2243	0	64	0	0	927	480	0	0	125	301	331	0	0	0	0	0	0
SNAI2	216.320000	0	0	0	0	0	277	119	165	0	0	0	0	0	2076	1448	0	161	0	698	464	0	0	0	0	0	0
LNPEP	216.240000	341	0	0	0	0	0	245	241	0	0	309	0	0	909	464	0	1776	0	289	0	0	213	333	286	0	0
DAAM1	216.160000	0	0	0	0	0	0	292	525	162	0	209	0	117	1045	687	0	339	494	938	596	0	0	0	0	0	0
PDE4D	216.000000	286	0	0	0	0	388	174	172	0	0	202	0	0	1144	657	0	471	211	880	461	0	0	354	0	0	0
